"recordnum_license","license_no","business_name","address","city","state","postal_code","latitude","longitude","phone_number","license_status","recordnum_insp","insp_type","insp_subtype","action_date","action_sequence","action_status","code","violation_description","violation_comments","violation_key","last_table_update","neighborhood","community_council_neighborhood"
"H202000108","FSO-024359-C3S","""3T LEARNING ACADEMY""","7523 READING RD","CINCINNATI","OH","45237","39.198168096315186","-84.4584758629466","513-761-0031","LICENSE","CFSI222214","ROUTINE","STANDARD INSPECTION","2022-08-01T00:00:00.000","A025909482","Abated On-Site","3717-1-02.4(C)(17)","""3717-1-02.4(C)(17) - Violation - PIC Duties -response plan for vomiting/diarrhea

No/inadequate written procedures for response to vomiting/diarrheal events.""","""PIC Duties -response plan for vomiting/diarrhea

No/inadequate written procedures for response to vomiting/diarrheal events.""","HF18010253","2022-08-02T00:00:00.000","ROSELAWN",
"H200801566","RFE-014716-C1S","""A TO Z WIRELESS & GROCERY""","3351 READING RD","CINCINNATI","OH","45229","39.140056641133945","-84.4940764889041","513-861-4450","LICENSE","CFSI224201","ROUTINE","STANDARD INSPECTION","2022-08-26T00:00:00.000","A026017166","Not Abated","3717-1-05.4(N)(2)","""3717-1-05.4(N)(2) - Violation - Refuse/recyclables/returnables-covered outside

Outdoor refuse/recyclables/returnables receptacles are not covered with tight fitting lids or doors.""","""Observed an uncovered dumpster at the back of the facility. 

Keep dumpster lids closed to prevent any potential pest issues.""","HF18612235","2022-08-26T00:00:00.000","AVONDALE",
"H201100075","RFE-017854-C3S","""GILBERT MARATHON""","2340 GILBERT AV","CINCINNATI","OH","45206","39.12395374074685","-84.490950874948","513-281-6790","LICENSE","CFSI221428","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016203","Not Abated","3717-1-04.2(I)","""3717-1-04.2(I) - Violation - Sanitizing solutions-testing devices.

There is no test kit available for measuring the concentration of the sanitizer.""","""Sanitizing solutions-testing devices.

Observed no test kit available for measuring the concentration of the sanitizer (food contact surface sanitizer).""","HF18551310","2022-08-26T00:00:00.000","WALNUT HILLS",
"H200801566","RFE-014716-C1S","""A TO Z WIRELESS & GROCERY""","3351 READING RD","CINCINNATI","OH","45229","39.140056641133945","-84.4940764889041","513-861-4450","LICENSE","CFSI224201","ROUTINE","STANDARD INSPECTION","2022-08-26T00:00:00.000","A026017165","Not Abated","3717-1-06.4(A)","""3717-1-06.4(A) - Violation - Facilities: Maintenance: Good repair

The physical facilities were not maintained in good repair.""","""Observed damaged floor tiles in the facility. 

Repair/replace the tiles. Eliminate all gaps.""","HF18622580","2022-08-26T00:00:00.000","AVONDALE",
"H201100075","RFE-017854-C3S","""GILBERT MARATHON""","2340 GILBERT AV","CINCINNATI","OH","45206","39.12395374074685","-84.490950874948","513-281-6790","LICENSE","CFSI221428","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016198","Not Abated","3717-1-05.1(O)(2)","""3717-1-05.1(O)(2) - Violation - Using handwashing facility-Other purposes

Handwashing facility is being used for purposes other than handwashing. ""","""OBSERVATION: Observed drinks in hand washing sink by three compartment sink. 
CORRECTIVE ACTION: Drinks were removed from handwashing sink.""","HF18101930","2022-08-26T00:00:00.000","WALNUT HILLS",
"H201500428","RFE-021429-C4L","""KROGER #465""","4613 MARBURG AV","CINCINNATI","OH","45209","39.15999526635042","-84.4256432527152","513-721-8080","PAID","CFSI213219","ROUTINE","STANDARD INSPECTION","2022-03-30T00:00:00.000","A025364444","Not Abated","3717-1-06.4(B)(1)","""3717-1-06.4(B)(1) - Violation - Facilities: Cleaning: Frequency 

The physical facilities are not cleaned as often as necessary to keep them clean.""","""Dirty walls in the deli area  by the mop sink 
""","HF18622585","2022-03-30T00:00:00.000","OAKLEY",
"H201100075","RFE-017854-C3S","""GILBERT MARATHON""","2340 GILBERT AV","CINCINNATI","OH","45206","39.12395374074685","-84.490950874948","513-281-6790","LICENSE","CFSI221428","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016197","Not Abated","3717-1-06.2(B)","""3717-1-06.2(B) - Violation - Facilities-handwashing cleanser availability

Each handwashing lavatory did not have a supply of hand cleanser.""","""Facilities-handwashing cleanser availability

Each handwashing lavatory did not have a supply of hand cleanser (handwashing sink by three compartment sink).""","HF18102480","2022-08-26T00:00:00.000","WALNUT HILLS",
"H201100075","RFE-017854-C3S","""GILBERT MARATHON""","2340 GILBERT AV","CINCINNATI","OH","45206","39.12395374074685","-84.490950874948","513-281-6790","LICENSE","CFSI221428","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016193","Not Abated","3717-1-03.1(A)(3)","""3717-1-03.1(A)(3) - Violation - Approved Sources-properly labeled

Food is not properly labeled on the container or package.""","""OBSERVATION: Observed sandwiches that were from Chesters, packaged for retail sale that were not properly labeled. 
CORRECTIVE ACTION: PIC voluntarily discarded sandwiches as there was no cold holding equipment in facility where sandwiches could be held inaccessible to consumers (WIC was out of temperature and other refrigerators were branded and products could not be placed in them per PIC).""","HF18110265","2022-08-26T00:00:00.000","WALNUT HILLS",
"H201100075","RFE-017854-C3S","""GILBERT MARATHON""","2340 GILBERT AV","CINCINNATI","OH","45206","39.12395374074685","-84.490950874948","513-281-6790","LICENSE","CFSI221428","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016201","Not Abated","3717-1-03.4(F)(1)(b)","""3717-1-03.4(F)(1)(b) - Violation - TCS-cold holding

TCS foods were being held at temperatures >41° F.""","""OBSERVATION: Observed milk holding at 53°F and 54°F for an unknown period of time in walk-in-cooler. 
CORRECTIVE ACTION: Milk was voluntarily discarded by operator (see voluntary destruction form).""","HF18220815","2022-08-26T00:00:00.000","WALNUT HILLS",
"H201800290","FSO-023253-C3S","""URBANA CAFÉ""","2714 WOODBURN AV","CINCINNATI","OH","45206","39.128197204022754","-84.4776123661126","513-514-0460","LICENSE","CFSI223908","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016179","Not Abated","3717-1-03.2(C)(1)(a)","""3717-1-03.2(C)(1)(a) - Violation - Preventing Contamination by Separation, Packaging, and Segregation

Ready-to-eat food was not protected from cross-contamination by raw animal food.""","""OBSERVATION: Observed batters containing raw egg per PIC stored over ready to eat foods in reach in coolers. 
CORRECTIVE ACTION: PIC rearranged products.""","HF18150454","2022-08-26T00:00:00.000","EAST WALNUT HILLS",
"H200800669","FSO-005998-C4S","""FRISCH PRICE HILL #8""","5216 GLENWAY AV","CINCINNATI","OH","45238","39.12388253712347","-84.6026043679542","513-471-6726","PAID","CFSI213271","ROUTINE","STANDARD INSPECTION","2022-03-30T00:00:00.000","A025365080","Not Abated","3717-1-05.1(S)(2)","""3717-1-05.1(S)(2) - Violation - Plumbing system-maintained in good repair

Plumbing system is not maintained in good repair.""","""There is a leak from the backflow prevention device of mop sink. Replace/repair.
""","HF18581965","2022-03-30T00:00:00.000","WEST PRICE HILL",
"H201800290","FSO-023253-C3S","""URBANA CAFÉ""","2714 WOODBURN AV","CINCINNATI","OH","45206","39.128197204022754","-84.4776123661126","513-514-0460","LICENSE","CFSI223908","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016182","Not Abated","3717-1-04.4(M)","""3717-1-04.4(M) - Violation - Mechanical warewashing-sanitization pressure.

The flow pressure in a warewashing machine was not adequate.""","""Mechanical warewashing-sanitization pressure.

The flow pressure in a warewashing machine was not adequate. Observed flow pressure not within manufacturers recommended range.""","HF18161415","2022-08-26T00:00:00.000","EAST WALNUT HILLS",
"H201800290","FSO-023253-C3S","""URBANA CAFÉ""","2714 WOODBURN AV","CINCINNATI","OH","45206","39.128197204022754","-84.4776123661126","513-514-0460","LICENSE","CFSI223908","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016184","Not Abated","3717-1-03.4(F)(1)(b)","""3717-1-03.4(F)(1)(b) - Violation - TCS-cold holding

TCS foods were being held at temperatures >41° F.""","""OBSERVATION: Observed cold brew coffee holding at 73°F that started brewing process yesterday at 1:30 PM (no microbiological report provided). 
CORRECTIVE ACTION: Facility voluntarily discarded cold brew coffee.""","HF18220815","2022-08-26T00:00:00.000","EAST WALNUT HILLS",
"H202000238","FSO-024510-C4S","""F & N GOODE CHICKEN TENDERS""","2612 SHORT VINE ST","CINCINNATI","OH","45219","39.12964170529818","-84.5092358822622",,"PAID","CFSI222885","ROUTINE","STANDARD INSPECTION","2022-04-21T00:00:00.000","A025461610","Not Abated","3717-1-04.4(A)(1)","""3717-1-04.4(A)(1) - Violation - Equipment-good repair and proper adjustment.

Equipment and/or components were not maintained in good working order.""","""1. Blown light underneath ventilation hood.
2. Mechanical dishmachine was not properly dispensing sanitizer. ""","HF18541340","2022-04-21T00:00:00.000","CORRYVILLE",
"H202000238","FSO-024510-C4S","""F & N GOODE CHICKEN TENDERS""","2612 SHORT VINE ST","CINCINNATI","OH","45219","39.12964170529818","-84.5092358822622",,"PAID","CFSI222885","ROUTINE","STANDARD INSPECTION","2022-04-21T00:00:00.000","A025461607","Not Abated","3717-1-04.4(A)(1)","""3717-1-04.4(A)(1) - Violation - Equipment-good repair and proper adjustment.

Equipment and/or components were not maintained in good working order.""","""Blown light underneath ventilation hood.""","HF18541340","2022-04-21T00:00:00.000","CORRYVILLE",
"H201800290","FSO-023253-C3S","""URBANA CAFÉ""","2714 WOODBURN AV","CINCINNATI","OH","45206","39.128197204022754","-84.4776123661126","513-514-0460","LICENSE","CFSI223908","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016188","Abated On-Site","3717-1-03.4(F)(1)(b)","""3717-1-03.4(F)(1)(b) - Violation - TCS-cold holding

TCS foods were being held at temperatures >41° F.""","""OBSERVATION: Observed cold brew coffee holding at 73°F that started brewing process yesterday at 1:30 PM (no microbiological report provided). 
CORRECTIVE ACTION: Facility voluntarily discarded cold brew coffee.""","HF18220815","2022-08-26T00:00:00.000","EAST WALNUT HILLS",
"H201800290","FSO-023253-C3S","""URBANA CAFÉ""","2714 WOODBURN AV","CINCINNATI","OH","45206","39.128197204022754","-84.4776123661126","513-514-0460","LICENSE","CFSI223908","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016183","Not Abated","3717-1-06.4(K)","""3717-1-06.4(K) - Violation - Facilities: Pest control: 

The presence of insects, rodents, and other pests is not being adequately controlled or minimized.""","""OBSERVATION: Observed small flying insects around mop sink in back area. 
CORRECTIVE ACTION: Ensure that presence of pests is appropriately minimized.""","HF18452645","2022-08-26T00:00:00.000","EAST WALNUT HILLS",
"H201100143","FSO-018683-C4S","""BEST BBQ""","3200 WOODBURN AV","CINCINNATI","OH","45207","39.13579669351165","-84.4756538772579","513 221-0417","PAID","CFSI163202","ROUTINE","STANDARD INSPECTION","2017-03-27T00:00:00.000","A017946542","Not Abated","3717-1-06.2(B)","""3717-1-06.2(B) - Violation - Facilities-handwashing cleanser availability


Each handwashing lavatory did not have a supply of hand cleanser.""","""No soap at handsinks""","HLE162480V","2017-03-27T00:00:00.000","EVANSTON",
"H202000238","FSO-024510-C4S","""F & N GOODE CHICKEN TENDERS""","2612 SHORT VINE ST","CINCINNATI","OH","45219","39.12964170529818","-84.5092358822622",,"PAID","CFSI222885","ROUTINE","STANDARD INSPECTION","2022-04-21T00:00:00.000","A025461605","Not Abated","3717-1-03.2(D)","""3717-1-03.2(D) - Violation - Food Storage containers-common name ID

Working containers of food are not properly labeled.""","""Spice packets in bulk container under the prep table were unlabeled.""","HF18440495","2022-04-21T00:00:00.000","CORRYVILLE",
"H201300065","FSO-019717-C4S","""THE BASE CAMP""","3400 VINE ST","CINCINNATI","OH","45220","39.14274024879595","-84.5091623280725","513-475-6160","LICENSE","CFSI221719","ROUTINE","STANDARD INSPECTION","2022-06-28T00:00:00.000","A025750220","Not Abated","3717-1-06.1(K)(2)(a)","""3717-1-06.1(K)(2)(a) - Violation - Facilities-insect control device location

Insect control devices are located over a food preparation area""","""Observed the 'bug zapper' stored above the prep table and food equipment. 

Relocate the insect control device away from food and food contact surfaces.""","HF18452410","2022-06-28T00:00:00.000","AVONDALE",
"H201800290","FSO-023253-C3S","""URBANA CAFÉ""","2714 WOODBURN AV","CINCINNATI","OH","45206","39.128197204022754","-84.4776123661126","513-514-0460","LICENSE","CFSI223908","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016185","Not Abated","3717-1-06.4(K)","""3717-1-06.4(K) - Violation - Facilities: Pest control: 

The presence of insects, rodents, and other pests is not being adequately controlled or minimized.""","""OBSERVATION: Observed small flying insects around mop sink in back area. 
CORRECTIVE ACTION: Ensure that presence of pests is appropriately minimized. PIC planned on contacting licensed pest control service. ""","HF18452645","2022-08-26T00:00:00.000","EAST WALNUT HILLS",
"H200900094","FSO-017335-C3S","""REDTREE GALLERY""","3210 MADISON RD","CINCINNATI","OH","45209","39.15510986602672","-84.4271178591504","513-321-8733","LICENSE","CFSI223775","ROUTINE","STANDARD INSPECTION","2022-06-28T00:00:00.000","A025749862","Not Abated","3717-1-03.2(K)","""3717-1-03.2(K) - Violation - In-use utensils-between-use storage

In-use utensils are improperly stored.""","""In-use utensils-between-use storage

In-use utensils are improperly stored.   Discontinue storing scoop in sugar""","HF18500535","2022-06-28T00:00:00.000","OAKLEY",
"H201800290","FSO-023253-C3S","""URBANA CAFÉ""","2714 WOODBURN AV","CINCINNATI","OH","45206","39.128197204022754","-84.4776123661126","513-514-0460","LICENSE","CFSI223908","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016180","Not Abated","3717-1-02.3(C)","""3717-1-02.3(C)  - Violation - Hair restraints,  effectiveness

Food employee(s) did not have their hair effectively restrained.""","""Observed food employee handling food without having hair properly restrained by wearing a hair restraint.""","HF18470100","2022-08-26T00:00:00.000","EAST WALNUT HILLS",
"H200900094","FSO-017335-C3S","""REDTREE GALLERY""","3210 MADISON RD","CINCINNATI","OH","45209","39.15510986602672","-84.4271178591504","513-321-8733","LICENSE","CFSI223775","ROUTINE","STANDARD INSPECTION","2022-06-28T00:00:00.000","A025749865","Abated On-Site","3717-1-03.2(K)","""3717-1-03.2(K) - Violation - In-use utensils-between-use storage

In-use utensils are improperly stored.""","""In-use utensils-between-use storage

In-use utensils are improperly stored.   Discontinue storing scoop in sugar""","HF18500535","2022-06-28T00:00:00.000","OAKLEY",
"H201800290","FSO-023253-C3S","""URBANA CAFÉ""","2714 WOODBURN AV","CINCINNATI","OH","45206","39.128197204022754","-84.4776123661126","513-514-0460","LICENSE","CFSI223908","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016181","Not Abated","3717-1-04.2(H)(2)","""3717-1-04.2(H)(2) - Violation - Temperature indicator-mechanical warewashing.

Irreversible registering temperature indicator is missing or not readily accessible.""","""Temperature indicator-mechanical warewashing.

Irreversible registering temperature indicator for dishwasher was not observed at time of inspection.""","HF18551307","2022-08-26T00:00:00.000","EAST WALNUT HILLS",
"H202000163","RFE-024426-C1S","""GLENWAY PONY KEG""","4931 GLENWAY AV","CINCINNATI","OH","45238","39.11958071674793","-84.6002334425703","(513) 828-8263","LICENSE","CFSI224158","ROUTINE","STANDARD INSPECTION","2022-08-25T00:00:00.000","A026016456","Not Abated","3717-1-04.5(A)(2)(3)","""3717-1-04.5(A)(3) - Violation - Equipment cleanliness-Nonfood-contact

Non-food contact surfaces are dirty.""","""Equipment cleanliness-Nonfood-contact

Observed the fans in the walk-in cooler soiled with the debris.""","HF18561465","2022-08-26T00:00:00.000","WEST PRICE HILL",
"H202000238","FSO-024510-C4S","""F & N GOODE CHICKEN TENDERS""","2612 SHORT VINE ST","CINCINNATI","OH","45219","39.12964170529818","-84.5092358822622",,"PAID","CFSI222885","ROUTINE","STANDARD INSPECTION","2022-04-21T00:00:00.000","A025461604","Not Abated","3717-1-06.2(E)","""3717-1-06.2(E) - Violation - Facilities-handwashing signage

A handwashing sign was not posted at all handwashing lavatories.""","""No """"Wash Hands"""" sign at the handsink in the prep area.""","HF18102495","2022-04-21T00:00:00.000","CORRYVILLE",
"H201200141","FSO-019270-C4S","""MARIBELLE'S EAT & DRINK""","3235 MADISON RD","CINCINNATI","OH","45209","39.154786840668244","-84.4268903131463","513 321-9111","RENEWAL","CFSI163420","ROUTINE","STANDARD INSPECTION","2017-02-10T00:00:00.000","A017768220","Abated","3717-1-04.4(B)","""3717-1-04.4(B) - Violation - Cutting surfaces.

Cutting surface(s) unable to be effectively cleaned and sanitized.""","""Violation has been abated""","HLE161355V","2017-02-13T00:00:00.000","OAKLEY",
"H200800669","FSO-005998-C4S","""FRISCH PRICE HILL #8""","5216 GLENWAY AV","CINCINNATI","OH","45238","39.12388253712347","-84.6026043679542","513-471-6726","PAID","CFSI213271","ROUTINE","STANDARD INSPECTION","2022-03-30T00:00:00.000","A025365081","Not Abated","3717-1-05.1(S)(2)","""3717-1-05.1(S)(2) - Violation - Plumbing system-maintained in good repair

Plumbing system is not maintained in good repair.""","""There is a leak from the backflow prevention device of mop sink. Replace/repair.""","HF18581965","2022-03-30T00:00:00.000","WEST PRICE HILL",
"H201200141","FSO-019270-C4S","""MARIBELLE'S EAT & DRINK""","3235 MADISON RD","CINCINNATI","OH","45209","39.154786840668244","-84.4268903131463","513 321-9111","RENEWAL","CFSI163420","ROUTINE","STANDARD INSPECTION","2017-02-10T00:00:00.000","A017768221","Abated","3717-1-06.4(A)","""3717-1-06.4(A) - Violation - Facilities: Maintenance: Good repair



The physical facilities were not maintained in good repair.""","""Violation has been abated""","HLE162580V","2017-02-13T00:00:00.000","OAKLEY",
"H200800669","FSO-005998-C4S","""FRISCH PRICE HILL #8""","5216 GLENWAY AV","CINCINNATI","OH","45238","39.12388253712347","-84.6026043679542","513-471-6726","PAID","CFSI213271","ROUTINE","STANDARD INSPECTION","2022-03-30T00:00:00.000","A025365078","Not Abated","3717-1-06.4(A)","""3717-1-06.4(A) - Violation - Facilities: Maintenance: Good repair

The physical facilities were not maintained in good repair.""","""Broken cove base in dishroom. Repair.""","HF18622580","2022-03-30T00:00:00.000","WEST PRICE HILL",
"H201000050","FSO-017888-C4S","""CANCUN MEXICAN GRILLE""","5034 GLENCROSSING WY","CINCINNATI","OH","45238","39.13045343428925","-84.6106819037365","513-347-6800","RENEWAL","CFSI213258","ROUTINE","STANDARD INSPECTION","2022-02-24T00:00:00.000","A025244782","Abated On-Site","3717-1-02.3(C)","""3717-1-02.3(C)  - Violation - Hair restraints,  effectiveness

Food employee(s) did not have their hair effectively restrained.""","""Observed an employee preparing food without a hair net/covering.""","HF18470100","2022-02-28T00:00:00.000","WESTWOOD",
"H200800696","FSO-006255-C4S","""MERCY FRANCISCAN AT WEST PARK""","2950 WEST PARK DR","CINCINNATI","OH","45238","39.13045562343732","-84.5987634259028","513-451-8900","RENEWAL","CFSI210367","ROUTINE","STANDARD INSPECTION","2022-02-23T00:00:00.000","A025244722","Not Abated","3717-1-03.2(D)","""3717-1-03.2(D) - Violation - Food Storage containers-common name ID

Working containers of food are not properly labeled.""","""A bulk container of Breadcrumbs were unlabeled.""","HF18440495","2022-02-28T00:00:00.000","WESTWOOD",
"H200800522","FSO-004732-C4L","""UNIVERSITY OF CINCINNATI""","234 GOODMAN ST","CINCINNATI","OH","45219","39.13736528244302","-84.5034722007898","513-584-4525","LICENSE","CFSI220453","ROUTINE","STANDARD INSPECTION","2022-08-15T00:00:00.000","A025965197","Abated On-Site","3717-1-02.3(A)","""3717-1-02.3(A) - Violation - Food contamination-eating

Employees were eating, drinking or using tobacco in non-designated areas.""","""Observed personal food items (energy drink) stored among food items intended for a high risk population. 

Do not store personal items in close proximity to items for the high risk population.


Designate a separate area and equipment.""","HF18060085","2022-08-15T00:00:00.000","CORRYVILLE",
"H200900094","FSO-017335-C3S","""REDTREE GALLERY""","3210 MADISON RD","CINCINNATI","OH","45209","39.15510986602672","-84.4271178591504","513-321-8733","LICENSE","CFSI223775","ROUTINE","STANDARD INSPECTION","2022-06-28T00:00:00.000","A025749855","Not Abated","3717-1-04.2(B)(1)","""3717-1-04.2(B)(1) - Violation - Manual warewashing-sink compartment requirements.

There is no 3-compartment sink in the facility. ""","""Manual warewashing-sink compartment requirements.

There is no 3-compartment sink in the facility.""","HF18551255","2022-06-28T00:00:00.000","OAKLEY",
"H201000050","FSO-017888-C4S","""CANCUN MEXICAN GRILLE""","5034 GLENCROSSING WY","CINCINNATI","OH","45238","39.13045343428925","-84.6106819037365","513-347-6800","RENEWAL","CFSI213258","ROUTINE","STANDARD INSPECTION","2022-02-24T00:00:00.000","A025245167","Not Abated","3717-1-02.3(C)","""3717-1-02.3(C)  - Violation - Hair restraints,  effectiveness

Food employee(s) did not have their hair effectively restrained.""","""Observed an employee preparing food without a hair net/covering.""","HF18470100","2022-02-28T00:00:00.000","WESTWOOD",
"H202100299","FSO-024994-C3S","""COMFORT SUITES & MAINSTAY""","2347 READING RD","CINCINNATI","OH","45202","39.12469686416639","-84.5021769432786",,"RENEWAL","CFSI214107","ROUTINE","STANDARD INSPECTION","2022-02-10T00:00:00.000","A025177443","Not Abated","3717-1-06.4(H)","""3717-1-06.4(H) - Violation - Facilities-Cleaning plumbing fixtures

Plumbing fixtures are being kept clean and maintained.""","""Observed stained sink in kitchen. Clean it thoroughly.""","HF18602625","2022-02-14T00:00:00.000","MT. AUBURN",
"H201000210","FSO-018260-C3S","""LAROSA'S PIZZERIA""","3400 VINE ST","CINCINNATI","OH","45220","39.142742993769126","-84.5091624065176","513-475-6160","LICENSE","CFSI221603","ROUTINE","STANDARD INSPECTION","2022-06-28T00:00:00.000","A025750985","Not Abated","3717-1-04.4(A)(1)","""3717-1-04.4(A)(1) - Violation - Equipment-good repair and proper adjustment.

Equipment and/or components were not maintained in good working order.""","""Observed burned out bulbs under the ventilation hood. 

Repair/replace the bulbs.""","HF18541340","2022-06-28T00:00:00.000","AVONDALE",
"H201000210","FSO-018260-C3S","""LAROSA'S PIZZERIA""","3400 VINE ST","CINCINNATI","OH","45220","39.142742993769126","-84.5091624065176","513-475-6160","LICENSE","CFSI221603","ROUTINE","STANDARD INSPECTION","2022-06-28T00:00:00.000","A025750984","Not Abated","3717-1-06.4(B)(1)","""3717-1-06.4(B)(1) - Violation - Facilities: Cleaning: Frequency 

The physical facilities are not cleaned as often as necessary to keep them clean.""","""Clean the floor area behind the pizza oven. 

Observed food debris in this area.""","HF18622585","2022-06-28T00:00:00.000","AVONDALE",
