"account","description","fund","department","function","approved","actual","fiscal_year","account_id"
"1100-335-33504-0000-0000","TRANSPORT NETWORK CO. ACT","OPERATING FUND","ALCOHOLIC BEVERAGE","INTERGOVERNMENTAL","10000.00","13901.26","2016","1100-335-33504-0000-0000_2016"
"1100-341-34100-0000-0050","BDS,COMS,SIGN&PLAT","OPERATING FUND","SUBDIVISION PERMITS","CHARGES FOR SERVICES","75000.00","125886.22","2016","1100-341-34100-0000-0050_2016"
"1100-341-34105-0000-0050","ROAD/DRAINAGE INSP","OPERATING FUND","ROAD INSPECTION FEES","CHARGES FOR SERVICES","216540.00","182656.92","2016","1100-341-34105-0000-0050_2016"
"1100-341-34108-0000-0050","BUILDING REVIEW FEES","OPERATING FUND","BUILDING REVIEW FEES","CHARGES FOR SERVICES","750000.00","910546.50","2016","1100-341-34108-0000-0050_2016"
"1100-341-34109-0000-0050","RE-INSPECTION FEES","OPERATING FUND","RE-INSPECTION FEES","CHARGES FOR SERVICES","10000.00","27200.00","2016","1100-341-34109-0000-0050_2016"
"1100-341-34114-0000-0030","INCID RPTS/ADMIN FEES","OPERATING FUND","INCIDENT REPORTS/ADMIN FE","CHARGES FOR SERVICES","15000.00","14160.00","2016","1100-341-34114-0000-0030_2016"
"1100-341-34200-0000-0030","POLICING AGREEMENTS","OPERATING FUND","POLICING AGREEMENTS","CHARGES FOR SERVICES","142699.00","142699.04","2016","1100-341-34200-0000-0030_2016"
"1100-341-34201-0000-0030","CHAS-E COOPER FIRE DI","OPERATING FUND","CHAS COUNTY-E COOPER FIRE","CHARGES FOR SERVICES","145000.00","145000.00","2016","1100-341-34201-0000-0030_2016"
"1100-341-34203-0000-0030","FIRE RESP/STANDBY FEE","OPERATING FUND","FIRE RESPONSE/STANDBY FEE","CHARGES FOR SERVICES","45000.00","45000.00","2016","1100-341-34203-0000-0030_2016"
"1100-341-34204-0000-0030","FIRE RE-INSPECTION FEE","OPERATING FUND","FIRE RE-INSPECTION FEES","CHARGES FOR SERVICES","200.00","0.00","2016","1100-341-34204-0000-0030_2016"
"1100-341-34700-0000-0060","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","1080449.00","1285516.38","2016","1100-341-34700-0000-0060_2016"
,,,,,,,,
"1100-341-34700-0000-4515","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","922865.00","882831.64","2016","1100-341-34700-0000-4515_2016"
"1100-341-34700-0000-4516","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","65663.00","68800.05","2016","1100-341-34700-0000-4516_2016"
"1100-341-34700-0000-4517","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","478539.00","274628.15","2016","1100-341-34700-0000-4517_2016"
"1100-341-34700-0000-4518","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","5301.00","5596.00","2016","1100-341-34700-0000-4518_2016"
"1100-341-34701-0000-0060","RECREATION SPONS FEE","OPERATING FUND","RECREATION SPONSOR FEES","CHARGES FOR SERVICES","60000.00","71484.50","2016","1100-341-34701-0000-0060_2016"
"1100-341-34702-0000-0060","REC CONCESSIONS SALE","OPERATING FUND","RECREATION CONCESSION SAL","CHARGES FOR SERVICES","3950.00","5821.40","2016","1100-341-34702-0000-0060_2016"
,,,,,,,,
,,,,,,,,
"1100-341-34704-0000-0060","CHAS CO SENIOR CTR $","OPERATING FUND","CHAS CO SENIOR CTR $","CHARGES FOR SERVICES","40000.00","40000.00","2016","1100-341-34704-0000-0060_2016"
"1100-351-35100-0000-0030","FINES & FORFEITURES","OPERATING FUND","FINES & FORFEITURES","FINES & FORFEITURES","424000.00","497867.20","2016","1100-351-35100-0000-0030_2016"
"1100-361-36100-0000-0000","INTEREST EARNED","OPERATING FUND","INTEREST EARNED","INTEREST","35000.00","106609.21","2016","1100-361-36100-0000-0000_2016"
"1100-362-36200-0000-0060","FACILITY RENTAL FEES","OPERATING FUND","FACILITY RENTAL FEES","RENTAL FEES","208555.00","227393.71","2016","1100-362-36200-0000-0060_2016"
"1100-370-37000-0000-0000","SPEC EVENTS REVENUE","OPERATING FUND","SPECIAL EVENTS REVENUE","OTHER REVENUES","40000.00","45762.99","2016","1100-370-37000-0000-0000_2016"
"1100-370-37500-0000-0000","INS & LOSS CONTROL","OPERATING FUND","LOSS CONTROL/INSURANCE CL","OTHER REVENUES","200000.00","274113.69","2016","1100-370-37500-0000-0000_2016"
"1100-370-38000-0000-0000","MISC REVENUE","OPERATING FUND","MISCELLANEOUS REVENUE","OTHER REVENUES","50000.00","77087.50","2016","1100-370-38000-0000-0000_2016"
"1100-391-39100-0000-1207","TRANSF FM STORMWAT","OPERATING FUND","INTERFUND TRANSFERS IN","OPERATING TRANSFER IN","18871.00","18871.00","2016","1100-391-39100-0000-1207_2016"
"1100-391-39100-0000-1208","TRANSF FM HOSP TAX","OPERATING FUND","INTERFUND TRANSFERS IN","OPERATING TRANSFER IN","178416.00","178416.00","2016","1100-391-39100-0000-1208_2016"
"1100-391-39100-0000-1234","OPER TRANSFER IN","OPERATING FUND","INTERFUND TRANSFERS IN","OPERATING TRANSFER IN","0.00","4914.50","2016","1100-391-39100-0000-1234_2016"
"1100-391-39100-0000-1258","TRNSF FM CAROLINA PK","OPERATING FUND","INTERFUND TRANSFERS IN","OPERATING TRANSFER IN","589153.00","589153.00","2016","1100-391-39100-0000-1258_2016"
"1100-391-39100-0000-1350","OPER TRANSFER TIF","OPERATING FUND","INTERFUND TRANSFERS IN","OPERATING TRANSFER IN","1634007.00","1634007.00","2016","1100-391-39100-0000-1350_2016"
"1100-391-39101-0000-1250","TRANSF FM FIRE IMPACT","OPERATING FUND","TRANSF FM FIRE IMPACT","OPERATING TRANSFER IN","132300.00","132300.00","2016","1100-391-39101-0000-1250_2016"
"1100-391-39102-0000-1250","TRANSF FM TRANSP IMP","OPERATING FUND","TRANSF FM TRANSP IMP","OPERATING TRANSFER IN","600000.00","600000.00","2016","1100-391-39102-0000-1250_2016"
"1100-391-39103-0000-1250","TRANSF FM RECREA IMP","OPERATING FUND","TRANSF FM RECREA IMP","OPERATING TRANSFER IN","269156.00","269156.00","2016","1100-391-39103-0000-1250_2016"
"1100-391-39104-0000-1250","TRANSF FM SANITATION IMPACT","OPERATING FUND","TAG GRANT MATCH","OPERATING TRANSFER IN","100000.00","100000.00","2016","1100-391-39104-0000-1250_2016"
"1100-391-39110-0000-1205","OPER TRSF ATAX PAYR","OPERATING FUND","OPER TRANSFER PAYROLL","OPERATING TRANSFER IN","256741.00","256741.00","2016","1100-391-39110-0000-1205_2016"
"1100-391-39110-0000-1207","OPER TRSF STRMWA PA","OPERATING FUND","OPER TRANSFER PAYROLL","OPERATING TRANSFER IN","681590.00","681590.00","2016","1100-391-39110-0000-1207_2016"
"1100-391-39110-0000-1208","OPER TRNS HOSP PAYR","OPERATING FUND","OPER TRANSFER PAYROLL","OPERATING TRANSFER IN","3065797.00","3065797.00","2016","1100-391-39110-0000-1208_2016"
"1100-391-39110-0000-1265","OPER TRNS ATAX PAYR","OPERATING FUND","OPER TRANSFER PAYROLL","OPERATING TRANSFER IN","239505.00","239505.00","2016","1100-391-39110-0000-1265_2016"
"1100-392-39200-0000-0000","PROC FM SALE OF ASSET","OPERATING FUND","PROCEEDS FROM SALE OF ASS","SALE OF ASSETS","70000.00","161069.73","2016","1100-392-39200-0000-0000_2016"
"1100-398-39800-0000-0000","FUND BAL RESERVE","OPERATING FUND","FUND BALANCE RESERVE","FUND BAL APPROPRIATION","3268731.00","0.00","2016","1100-398-39800-0000-0000_2016"
"1100-311-31100-0000-0000","CURRENT TAXES","OPERATING FUND","CURRENT TAXES","PROPERTY & OTHER TAXES","19966401.00","21838687.07","2017","1100-311-31100-0000-0000_2017"
"1100-311-31101-0000-0000","DELINQUENT TAXES","OPERATING FUND","DELINQUENT TAXES","PROPERTY & OTHER TAXES","401313.00","465134.18","2017","1100-311-31101-0000-0000_2017"
,,,,,,,,
"1100-311-31102-0000-0000","HOMESTEAD EXEMPT","OPERATING FUND","HOMESTEAD EXEMPT","PROPERTY & OTHER TAXES","335000.00","396326.91","2017","1100-311-31102-0000-0000_2017"
"1100-311-31300-0000-0000","LOCAL OP SALES-ROLLB","OPERATING FUND","LOCAL OPT SALES TAX-ROLLB","PROPERTY & OTHER TAXES","5301000.00","5344402.51","2017","1100-311-31300-0000-0000_2017"
"1100-311-31301-0000-0000","LOC SALE TAX-MUNICIP","OPERATING FUND","LOCAL SALES TAX-MUNICIPAL","PROPERTY & OTHER TAXES","3851036.00","4353775.81","2017","1100-311-31301-0000-0000_2017"
"1100-311-31900-0000-0000","TAX PENALTIES","OPERATING FUND","TAX PENALTIES","PROPERTY & OTHER TAXES","60197.00","69770.14","2017","1100-311-31900-0000-0000_2017"
"1100-311-33900-0000-0000","PMT IN LIEU / MCP","OPERATING FUND","PMT IN LIEU / MCP","PROPERTY & OTHER TAXES","295830.00","248432.45","2017","1100-311-33900-0000-0000_2017"
"1100-321-32100-0000-0000","BUSINESS LICENSES","OPERATING FUND","BUSINESS LICENSES","LICENSES & PERMITS","11145301.00","12406945.91","2017","1100-321-32100-0000-0000_2017"
"1100-321-32101-0000-0000","PUBLIC UTIL LICENSES","OPERATING FUND","PUBLIC UTILITIES LIC","LICENSES & PERMITS","6713513.00","6804148.67","2017","1100-321-32101-0000-0000_2017"
"1100-321-32102-0000-0000","INSURANCE LICENSES","OPERATING FUND","INSURANCE LICENSES","LICENSES & PERMITS","7746801.00","7745757.63","2017","1100-321-32102-0000-0000_2017"
"1100-321-32103-0000-0000","CATV CABLE FRANC FEE","OPERATING FUND","CATV CABLE FRANCHISE","LICENSES & PERMITS","1377718.00","1390919.26","2017","1100-321-32103-0000-0000_2017"
"1100-321-32200-0000-0050","BUILDING PERMITS","OPERATING FUND","BUILDING PERMITS","LICENSES & PERMITS","1400000.00","2401003.00","2017","1100-321-32200-0000-0050_2017"
"1100-321-32201-0000-0050","ELECTRICAL PERMITS","OPERATING FUND","ELECTRICAL PERMITS","LICENSES & PERMITS","90000.00","150753.00","2017","1100-321-32201-0000-0050_2017"
"1100-321-32202-0000-0050","PLUMBING PERMITS","OPERATING FUND","PLUBMING PERMITS","LICENSES & PERMITS","65000.00","96284.00","2017","1100-321-32202-0000-0050_2017"
,,,,,,,,
,,,,,,,,
"1100-321-32203-0000-0050","MECHANICAL PERMITS","OPERATING FUND","MECHANICAL PERMITS","LICENSES & PERMITS","105000.00","156988.00","2017","1100-321-32203-0000-0050_2017"
"1100-331-33100-9500-0372","FEMA - 2016 HURRICANE","OPERATING FUND","ARRA EECBG","FEDERAL AWARD GRANTS","0.00","917964.93","2017","1100-331-33100-9500-0372_2017"
"1100-334-33127-9600-0361","2015 FLOODING - STATE","OPERATING FUND","FEMA - 2015 FLOODING","STATE GRANT AWARDS","0.00","31489.14","2017","1100-334-33127-9600-0361_2017"
"1100-334-33400-9600-0372","FEMA 2016 HURRICANE","OPERATING FUND","STATE PARD GRANT","STATE GRANT AWARDS","0.00","240311.96","2017","1100-334-33400-9600-0372_2017"
"1100-335-33500-0000-0000","STATE SHARED REVEN","OPERATING FUND","STATE SHARED REVENUE","INTERGOVERNMENTAL","1400000.00","1553723.14","2017","1100-335-33500-0000-0000_2017"
"1100-335-33501-0000-0070","SCDOT MAINTEN REVEN","OPERATING FUND","SCDOT MAINTENANCE","INTERGOVERNMENTAL","111125.00","111202.17","2017","1100-335-33501-0000-0070_2017"
"1100-335-33502-0000-0000","MERCHANTS INV REIMB","OPERATING FUND","MERCHANTS INVENTORY","INTERGOVERNMENTAL","70000.00","69968.61","2017","1100-335-33502-0000-0000_2017"
"1100-335-33503-0000-0000","ACCOMM TAX-STATE","OPERATING FUND","ACCOMMODATIONS TAX-STATE","INTERGOVERNMENTAL","84971.00","101170.90","2017","1100-335-33503-0000-0000_2017"
"1100-335-33504-0000-0000","TRANSPORT NETWORK CO. ACT","OPERATING FUND","ALCOHOLIC BEVERAGE","INTERGOVERNMENTAL","22000.00","31361.61","2017","1100-335-33504-0000-0000_2017"
"1100-341-34100-0000-0050","BDS,COMS,SIGN&PLAT","OPERATING FUND","SUBDIVISION PERMITS","CHARGES FOR SERVICES","75000.00","102786.70","2017","1100-341-34100-0000-0050_2017"
"1100-341-34105-0000-0050","ROAD/DRAINAGE INSP","OPERATING FUND","ROAD INSPECTION FEES","CHARGES FOR SERVICES","140000.00","199033.42","2017","1100-341-34105-0000-0050_2017"
"1100-341-34108-0000-0050","BUILDING REVIEW FEES","OPERATING FUND","BUILDING REVIEW FEES","CHARGES FOR SERVICES","750000.00","1141577.30","2017","1100-341-34108-0000-0050_2017"
"1100-341-34109-0000-0050","RE-INSPECTION FEES","OPERATING FUND","RE-INSPECTION FEES","CHARGES FOR SERVICES","10000.00","12400.00","2017","1100-341-34109-0000-0050_2017"
"1100-341-34114-0000-0030","INCID RPTS/ADMIN FEES","OPERATING FUND","INCIDENT REPORTS/ADMIN FE","CHARGES FOR SERVICES","15000.00","13490.00","2017","1100-341-34114-0000-0030_2017"
"1100-341-34200-0000-0030","POLICING AGREEMENTS","OPERATING FUND","POLICING AGREEMENTS","CHARGES FOR SERVICES","142699.00","146518.03","2017","1100-341-34200-0000-0030_2017"
"1100-341-34201-0000-0030","CHAS-E COOPER FIRE DI","OPERATING FUND","CHAS COUNTY-E COOPER FIRE","CHARGES FOR SERVICES","145000.00","145000.00","2017","1100-341-34201-0000-0030_2017"
"1100-341-34203-0000-0030","FIRE RESP/STANDBY FEE","OPERATING FUND","FIRE RESPONSE/STANDBY FEE","CHARGES FOR SERVICES","45000.00","46125.00","2017","1100-341-34203-0000-0030_2017"
"1100-341-34204-0000-0030","FIRE RE-INSPECTION FEE","OPERATING FUND","FIRE RE-INSPECTION FEES","CHARGES FOR SERVICES","0.00","900.00","2017","1100-341-34204-0000-0030_2017"
"1100-341-34700-0000-0060","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","1252649.00","1313030.43","2017","1100-341-34700-0000-0060_2017"
"1100-341-34700-0000-4515","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","941322.00","788743.23","2017","1100-341-34700-0000-4515_2017"
"1100-341-34700-0000-4516","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","66976.00","57533.06","2017","1100-341-34700-0000-4516_2017"
"1100-341-34700-0000-4517","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","330911.00","457375.36","2017","1100-341-34700-0000-4517_2017"
"1100-341-34700-0000-4518","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","2500.00","0.00","2017","1100-341-34700-0000-4518_2017"
"1100-341-34701-0000-0060","RECREATION SPONS FEE","OPERATING FUND","RECREATION SPONSOR FEES","CHARGES FOR SERVICES","61200.00","67679.50","2017","1100-341-34701-0000-0060_2017"
"1100-341-34702-0000-0060","REC CONCESSIONS SALE","OPERATING FUND","RECREATION CONCESSION SAL","CHARGES FOR SERVICES","4029.00","6520.08","2017","1100-341-34702-0000-0060_2017"
"1100-341-34704-0000-0060","CHAS CO SENIOR CTR $","OPERATING FUND","CHAS CO SENIOR CTR $","CHARGES FOR SERVICES","40000.00","0.00","2017","1100-341-34704-0000-0060_2017"
"1100-351-35100-0000-0030","FINES & FORFEITURES","OPERATING FUND","FINES & FORFEITURES","FINES & FORFEITURES","475000.00","503864.33","2017","1100-351-35100-0000-0030_2017"
"1100-361-36100-0000-0000","INTEREST EARNED","OPERATING FUND","INTEREST EARNED","INTEREST","40000.00","234276.01","2017","1100-361-36100-0000-0000_2017"
"1100-362-36200-0000-0060","FACILITY RENTAL FEES","OPERATING FUND","FACILITY RENTAL FEES","RENTAL FEES","208555.00","337871.67","2017","1100-362-36200-0000-0060_2017"
"1100-370-37000-0000-0000","SPEC EVENTS REVENUE","OPERATING FUND","SPECIAL EVENTS REVENUE","OTHER REVENUES","40000.00","50515.62","2017","1100-370-37000-0000-0000_2017"
"1100-370-37500-0000-0000","INS & LOSS CONTROL","OPERATING FUND","LOSS CONTROL/INSURANCE CL","OTHER REVENUES","200000.00","362594.08","2017","1100-370-37500-0000-0000_2017"
"1100-370-38000-0000-0000","MISC REVENUE","OPERATING FUND","MISCELLANEOUS REVENUE","OTHER REVENUES","50000.00","87660.43","2017","1100-370-38000-0000-0000_2017"
"1100-391-39100-0000-1234","OPER TRANSFER IN","OPERATING FUND","INTERFUND TRANSFERS IN","OPERATING TRANSFER IN","0.00","105519.40","2017","1100-391-39100-0000-1234_2017"
"1100-391-39110-0000-1205","OPER TRSF ATAX PAYR","OPERATING FUND","OPER TRANSFER PAYROLL","OPERATING TRANSFER IN","289999.00","289999.00","2017","1100-391-39110-0000-1205_2017"
"1100-391-39110-0000-1207","OPER TRSF STRMWA PA","OPERATING FUND","OPER TRANSFER PAYROLL","OPERATING TRANSFER IN","971938.00","971938.00","2017","1100-391-39110-0000-1207_2017"
"1100-391-39110-0000-1208","OPER TRNS HOSP PAYR","OPERATING FUND","OPER TRANSFER PAYROLL","OPERATING TRANSFER IN","3744443.00","3744443.00","2017","1100-391-39110-0000-1208_2017"
,,,,,,,,
,,,,,,,,
,,,,,,,,
"1100-391-39110-0000-1265","OPER TRNS ATAX PAYR","OPERATING FUND","OPER TRANSFER PAYROLL","OPERATING TRANSFER IN","271798.00","271798.00","2017","1100-391-39110-0000-1265_2017"
"1100-392-39200-0000-0000","PROC FM SALE OF ASSET","OPERATING FUND","PROCEEDS FROM SALE OF ASS","SALE OF ASSETS","100000.00","39658.90","2017","1100-392-39200-0000-0000_2017"
"1100-398-39800-0000-0000","FUND BAL RESERVE","OPERATING FUND","FUND BALANCE RESERVE","FUND BAL APPROPRIATION","6812298.00","0.00","2017","1100-398-39800-0000-0000_2017"
"1100-391-39110-0000-1205","OPER TRSF ATAX PAYR","OPERATING FUND","OPER TRANSFER PAYROLL","OPERATING TRANSFER IN","271285","271285","2019","1100-391-39110-0000-1205_2019"
,,,,,,,,
"1100-321-32102-0000-0000","INSURANCE LICENSES","OPERATING FUND","INSURANCE LICENSES","LICENSES & PERMITS","7981221.00","8228665.89","2018","1100-321-32102-0000-0000_2018"
"1100-331-33100-9500-2117","BVP FED GRANT","OPERATING FUND","ARRA EECBG","FEDERAL AWARD GRANTS","13863.00","696.23","2018","1100-331-33100-9500-2117_2018"
"1100-331-33100-9500-2135","AET FED GRANT","OPERATING FUND","ARRA EECBG","FEDERAL AWARD GRANTS","3020.00","0.00","2018","1100-331-33100-9500-2135_2018"
"1100-334-33400-9600-5120","RACE WEEK GRANT","OPERATING FUND","STATE PARD GRANT","STATE GRANT AWARDS","650.00","650.00","2018","1100-334-33400-9600-5120_2018"
"1100-334-33400-9600-5122","US SMIM MASTER GRANT","OPERATING FUND","STATE PARD GRANT","STATE GRANT AWARDS","2400.00","0.00","2018","1100-334-33400-9600-5122_2018"
"1100-341-34700-0000-4515","REC PROGRAM FEE","OPERATING FUND","RECREATION PROGRAM FEES","CHARGES FOR SERVICES","833576","611270.11","2020","1100-341-34700-0000-4515_2020"
"1100-335-33500-0000-0000","STATE SHARED REVEN","OPERATING FUND","toWN EVENTS","INTERGOVERNMENTAL","1532385","1206389.16","2020","1100-335-33500-0000-0000_2020"
"1100-341-34706-0000-0060","TOWN EVENTS","OPERATING FUND","TOWN EVENTS","CHARGES FOR SERVICES","16000","18160","2019","1100-341-34706-0000-0060_2019"
"1100-331-33100-0000-0000","GRANT AWARDS","OPERATING FUND","ARRA EECBG","FEDERAL AWARD GRANTS","138221","0","2020","1100-331-33100-0000-0000_2020"
"1100-398-36400-9900-0000","FUND BALANCE DONATION REV","OPERATING FUND","DONATIONS","FUND BAL APPROPRIATION","140530.00","0.00","2018","1100-398-36400-9900-0000_2018"
"1100-398-39800-0000-1320","FUND BALANCE FOR CAPITAL FUND","OPERATING FUND","FUND BALANCE RESERVE","FUND BAL APPROPRIATION","110011.00","0.00","2018","1100-398-39800-0000-1320_2018"
"1100-398-39800-9500-2117","BVP GRANT","OPERATING FUND","FUND BALANCE RESERVE","FUND BAL APPROPRIATION","13863.00","0.00","2018","1100-398-39800-9500-2117_2018"
"1100-341-34203-0000-0030","FIRE RESP/STANDBY FEE","OPERATING FUND","FIRE RESPONSE/STANDBY FEE","CHARGES FOR SERVICES","46125","47278","2018","1100-341-34203-0000-0030_2018"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
