"account","description","fund","department","function","object","approved","actual","fiscal_year","account_id"
"1100-430-43000-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","PUBLIC SERVICES","PUBLIC SERVICES","OVERTIME","220777.00","194075.22","2016","1100-430-43000-1300-0000_2016"
"1100-431-43100-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","TRANSPORTATION DEPARTMENT","ROADS & TRANSPORTATION","OVERTIME","500.00","95.11","2016","1100-431-43100-1300-0000_2016"
"1100-450-45100-1300-0000","OVERTIME ALLOTMENT","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","OVERTIME","8240.00","9668.66","2016","1100-450-45100-1300-0000_2016"
"1100-410-41900-2100-0000","GRP HEALTH INS PROG","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","GROUP HEALTH INS","6492252.00","6492252.00","2016","1100-410-41900-2100-0000_2016"
"1100-410-41900-2115-0000","RETIREE HEALTH INS","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","RETIREE HEALTH INS","992964.00","992964.00","2016","1100-410-41900-2115-0000_2016"
"1100-410-41900-2125-0000","EMPLO WELLNES PROG","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","EMPLOYEE WELLNESS","25700.00","25700.00","2016","1100-410-41900-2125-0000_2016"
"1100-410-41900-2130-0000","LIFE INSURANCE EXP","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","LIFE INSURANCE EXP","30000.00","30902.63","2016","1100-410-41900-2130-0000_2016"
"1100-410-41100-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","GENERAL GOVERNMENT","GENERAL GOVERNMENT","SOCIAL SEC MATCH EXP","90472.00","74621.56","2016","1100-410-41100-2200-0000_2016"
"1100-410-41510-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","FINANCIAL SERVICES","GENERAL GOVERNMENT","SOCIAL SEC MATCH EXP","30948.00","28759.27","2016","1100-410-41510-2200-0000_2016"
"1100-410-41512-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","INFORMATION TECHNOLOGY","GENERAL GOVERNMENT","SOCIAL SEC MATCH EXP","20812.00","15694.71","2016","1100-410-41512-2200-0000_2016"
"1100-410-41515-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","BUSINESS LICENSE","GENERAL GOVERNMENT","SOCIAL SEC MATCH EXP","18612.00","17684.30","2016","1100-410-41515-2200-0000_2016"
"1100-410-41518-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","PURCHASING","GENERAL GOVERNMENT","SOCIAL SEC MATCH EXP","28003.00","23808.50","2016","1100-410-41518-2200-0000_2016"
"1100-410-41550-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","HUMAN RESOURCES","GENERAL GOVERNMENT","SOCIAL SEC MATCH EXP","24446.00","23552.82","2016","1100-410-41550-2200-0000_2016"
"1100-410-41565-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","CULT AFFAIRS & TOURISM","GENERAL GOVERNMENT","SOCIAL SEC MATCH EXP","14307.00","12989.29","2016","1100-410-41565-2200-0000_2016"
"1100-410-41900-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","SOCIAL SEC MATCH EXP","16917.00","16193.35","2016","1100-410-41900-2200-0000_2016"
"1100-412-41600-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","MUNICIPAL COURT","JUDICIAL SERVICES","SOCIAL SEC MATCH EXP","41513.00","38566.34","2016","1100-412-41600-2200-0000_2016"
"1100-412-41700-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","LEGAL DEPARTMENT","JUDICIAL SERVICES","SOCIAL SEC MATCH EXP","13951.00","13361.08","2016","1100-412-41700-2200-0000_2016"
"1100-418-41800-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","PLANNING AND DEVELOPMENT","PLANNING & DEVELOPMENT","SOCIAL SEC MATCH EXP","132555.00","124558.73","2016","1100-418-41800-2200-0000_2016"
"1100-420-42100-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","POLICE DEPARTMENT","PUBLIC SAFETY","SOCIAL SEC MATCH EXP","598349.00","567534.17","2016","1100-420-42100-2200-0000_2016"
"1100-420-42200-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","FIRE DEPARTMENT","PUBLIC SAFETY","SOCIAL SEC MATCH EXP","475647.00","435209.40","2016","1100-420-42200-2200-0000_2016"
"1100-430-43000-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","PUBLIC SERVICES","PUBLIC SERVICES","SOCIAL SEC MATCH EXP","388673.00","344078.91","2016","1100-430-43000-2200-0000_2016"
"1100-431-43100-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","TRANSPORTATION DEPARTMENT","ROADS & TRANSPORTATION","SOCIAL SEC MATCH EXP","42410.00","39331.71","2016","1100-431-43100-2200-0000_2016"
"1100-450-45100-2200-0000","SOCIAL SEC MATCH EXP","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SOCIAL SEC MATCH EXP","124110.00","118311.91","2016","1100-450-45100-2200-0000_2016"
"1100-450-45100-2200-4515","SOCIAL SEC MATCH EXP","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SOCIAL SEC MATCH EXP","50271.00","47390.56","2016","1100-450-45100-2200-4515_2016"
"1100-450-45100-2200-4516","SOCIAL SEC MATCH EXP","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SOCIAL SEC MATCH EXP","13770.00","15039.79","2016","1100-450-45100-2200-4516_2016"
"1100-450-45100-2200-4517","SOCIAL SEC MATCH EXP","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SOCIAL SEC MATCH EXP","18743.00","15145.91","2016","1100-450-45100-2200-4517_2016"
"1100-450-45100-2200-4518","SOCIAL SEC MATCH EXP","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SOCIAL SEC MATCH EXP","13770.00","14692.72","2016","1100-450-45100-2200-4518_2016"
"1100-410-41100-2300-0000","STATE RETIRE MATCH","OPERATING FUND","GENERAL GOVERNMENT","GENERAL GOVERNMENT","STATE RETIRE MATCH","130801.00","110964.09","2016","1100-410-41100-2300-0000_2016"
"1100-410-41510-2300-0000","STATE RETIRE MATCH","OPERATING FUND","FINANCIAL SERVICES","GENERAL GOVERNMENT","STATE RETIRE MATCH","44743.00","43395.22","2016","1100-410-41510-2300-0000_2016"
"1100-410-41512-2300-0000","STATE RETIRE MATCH","OPERATING FUND","INFORMATION TECHNOLOGY","GENERAL GOVERNMENT","STATE RETIRE MATCH","30089.00","23830.13","2016","1100-410-41512-2300-0000_2016"
"1100-410-41515-2300-0000","STATE RETIRE MATCH","OPERATING FUND","BUSINESS LICENSE","GENERAL GOVERNMENT","STATE RETIRE MATCH","26908.00","26726.15","2016","1100-410-41515-2300-0000_2016"
"1100-410-41518-2300-0000","STATE RETIRE MATCH","OPERATING FUND","PURCHASING","GENERAL GOVERNMENT","STATE RETIRE MATCH","40485.00","35637.42","2016","1100-410-41518-2300-0000_2016"
"1100-410-41550-2300-0000","STATE RETIRE MATCH","OPERATING FUND","HUMAN RESOURCES","GENERAL GOVERNMENT","STATE RETIRE MATCH","35343.00","35242.52","2016","1100-410-41550-2300-0000_2016"
"1100-410-41565-2300-0000","STATE RETIRE MATCH","OPERATING FUND","CULT AFFAIRS & TOURISM","GENERAL GOVERNMENT","STATE RETIRE MATCH","20684.00","20476.56","2016","1100-410-41565-2300-0000_2016"
"1100-412-41600-2300-0000","STATE RETIRE MATCH","OPERATING FUND","MUNICIPAL COURT","JUDICIAL SERVICES","STATE RETIRE MATCH","59235.00","57902.48","2016","1100-412-41600-2300-0000_2016"
"1100-412-41700-2300-0000","STATE RETIRE MATCH","OPERATING FUND","LEGAL DEPARTMENT","JUDICIAL SERVICES","STATE RETIRE MATCH","20170.00","19547.12","2016","1100-412-41700-2300-0000_2016"
"1100-418-41800-2300-0000","STATE RETIRE MATCH","OPERATING FUND","PLANNING AND DEVELOPMENT","PLANNING & DEVELOPMENT","STATE RETIRE MATCH","191638.00","183691.14","2016","1100-418-41800-2300-0000_2016"
"1100-420-42100-2300-0000","STATE RETIRE MATCH","OPERATING FUND","POLICE DEPARTMENT","PUBLIC SAFETY","STATE RETIRE MATCH","90851.00","83398.00","2016","1100-420-42100-2300-0000_2016"
"1100-420-42200-2300-0000","STATE RETIRE MATCH","OPERATING FUND","FIRE DEPARTMENT","PUBLIC SAFETY","STATE RETIRE MATCH","31444.00","18142.58","2016","1100-420-42200-2300-0000_2016"
"1100-430-43000-2300-0000","STATE RETIRE MATCH","OPERATING FUND","PUBLIC SERVICES","PUBLIC SERVICES","STATE RETIRE MATCH","561926.00","520261.41","2016","1100-430-43000-2300-0000_2016"
"1100-431-43100-2300-0000","STATE RETIRE MATCH","OPERATING FUND","TRANSPORTATION DEPARTMENT","ROADS & TRANSPORTATION","STATE RETIRE MATCH","61314.00","57753.04","2016","1100-431-43100-2300-0000_2016"
"1100-450-45100-2300-0000","STATE RETIRE MATCH","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","STATE RETIRE MATCH","179432.00","180042.01","2016","1100-450-45100-2300-0000_2016"
"1100-450-45100-2300-4515","STATE RETIRE MATCH","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","STATE RETIRE MATCH","5000.00","10521.00","2016","1100-450-45100-2300-4515_2016"
"1100-450-45100-2300-4516","STATE RETIRE MATCH","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","STATE RETIRE MATCH","3751.00","3309.80","2016","1100-450-45100-2300-4516_2016"
"1100-450-45100-2300-4517","STATE RETIRE MATCH","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","STATE RETIRE MATCH","4320.00","3834.44","2016","1100-450-45100-2300-4517_2016"
"1100-450-45100-2300-4518","STATE RETIRE MATCH","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","STATE RETIRE MATCH","2000.00","0.00","2016","1100-450-45100-2300-4518_2016"
"1100-412-41600-2310-0000","POLICE RETIREMENT","OPERATING FUND","MUNICIPAL COURT","JUDICIAL SERVICES","POLICE RETIREMENT","972.00","1002.12","2016","1100-412-41600-2310-0000_2016"
"1100-420-42100-2310-0000","POLICE RETIREMENT","OPERATING FUND","POLICE DEPARTMENT","PUBLIC SAFETY","POLICE RETIREMENT","944984.00","968121.53","2016","1100-420-42100-2310-0000_2016"
"1100-420-42200-2310-0000","POLICE RETIREMENT","OPERATING FUND","FIRE DEPARTMENT","PUBLIC SAFETY","POLICE RETIREMENT","815237.00","795394.57","2016","1100-420-42200-2310-0000_2016"
"1100-410-41900-2400-0000","TUITION REIMBURS","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","EDUCATIONAL COMPENSATION","35000.00","29933.60","2016","1100-410-41900-2400-0000_2016"
"1100-410-41900-2500-0000","UNEMPLOY BENE EXP","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","UNEMPLOYMENT BENEFITS","10000.00","-299.91","2016","1100-410-41900-2500-0000_2016"
"1100-410-41900-2600-0000","WORKERS COMP PREM","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","WORKERS COMPENSATION","553067.00","341026.09","2016","1100-410-41900-2600-0000_2016"
"1100-410-41900-2610-0000","WORKERS COMP DED.","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","WORKERS COMP DEDUCT","349384.00","349383.73","2016","1100-410-41900-2610-0000_2016"
"1100-410-41100-3100-0000","ELECTION EXPENSES","OPERATING FUND","GENERAL GOVERNMENT","GENERAL GOVERNMENT","ELECTION EXPENSES","48476.00","48475.52","2016","1100-410-41100-3100-0000_2016"
"1100-412-41600-3110-0000","JURY COMPENSATION","OPERATING FUND","MUNICIPAL COURT","JUDICIAL SERVICES","JURY COMPENSATION","600.00","260.00","2016","1100-412-41600-3110-0000_2016"
"1100-412-41700-3200-0000","LEGAL FEES","OPERATING FUND","LEGAL DEPARTMENT","JUDICIAL SERVICES","LEGAL FEES","575000.00","289741.17","2016","1100-412-41700-3200-0000_2016"
"1100-410-41510-3210-0000","AUDIT SERVICES","OPERATING FUND","FINANCIAL SERVICES","GENERAL GOVERNMENT","AUDIT SERVICES","115000.00","92960.00","2016","1100-410-41510-3210-0000_2016"
"1100-410-41100-3220-0000","EMPLOYEE PHYSICALS","OPERATING FUND","GENERAL GOVERNMENT","GENERAL GOVERNMENT","EMPLOYEE PHYSICALS","850.00","350.00","2016","1100-410-41100-3220-0000_2016"
"1100-412-41600-3220-0000","EMPLOYEE PHYSICALS","OPERATING FUND","MUNICIPAL COURT","JUDICIAL SERVICES","EMPLOYEE PHYSICALS","100.00","35.00","2016","1100-412-41600-3220-0000_2016"
"1100-420-42100-3220-0000","EMPLOYEE PHYSICALS","OPERATING FUND","POLICE DEPARTMENT","PUBLIC SAFETY","EMPLOYEE PHYSICALS","14850.00","13965.03","2016","1100-420-42100-3220-0000_2016"
"1100-420-42200-3220-0000","EMPLOYEE PHYSICALS","OPERATING FUND","FIRE DEPARTMENT","PUBLIC SAFETY","EMPLOYEE PHYSICALS","34500.00","9075.67","2016","1100-420-42200-3220-0000_2016"
"1100-430-43000-3220-0000","EMPLOYEE PHYSICALS","OPERATING FUND","PUBLIC SERVICES","PUBLIC SERVICES","EMPLOYEE PHYSICALS","9500.00","6797.20","2016","1100-430-43000-3220-0000_2016"
"1100-450-45100-3220-0000","EMPLOYEE PHYSICALS","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","EMPLOYEE PHYSICALS","4600.00","4515.00","2016","1100-450-45100-3220-0000_2016"
"1100-410-41100-3300-0000","CONTRAC SERVICES","OPERATING FUND","GENERAL GOVERNMENT","GENERAL GOVERNMENT","CONTRACT SERVICES","82740.00","63443.75","2016","1100-410-41100-3300-0000_2016"
"1100-410-41510-3300-0000","CONTRAC SERVICES","OPERATING FUND","FINANCIAL SERVICES","GENERAL GOVERNMENT","CONTRACT SERVICES","6400.00","2773.21","2016","1100-410-41510-3300-0000_2016"
"1100-410-41512-3300-0000","CONTRAC SERVICES","OPERATING FUND","INFORMATION TECHNOLOGY","GENERAL GOVERNMENT","CONTRACT SERVICES","760690.00","703915.42","2016","1100-410-41512-3300-0000_2016"
"1100-410-41515-3300-0000","CONTRAC SERVICES","OPERATING FUND","BUSINESS LICENSE","GENERAL GOVERNMENT","CONTRACT SERVICES","7285.00","1582.84","2016","1100-410-41515-3300-0000_2016"
"1100-410-41518-3300-0000","CONTRAC SERVICES","OPERATING FUND","PURCHASING","GENERAL GOVERNMENT","CONTRACT SERVICES","2500.00","817.67","2016","1100-410-41518-3300-0000_2016"
"1100-410-41550-3300-0000","CONTRAC SERVICES","OPERATING FUND","HUMAN RESOURCES","GENERAL GOVERNMENT","CONTRACT SERVICES","67319.00","59625.65","2016","1100-410-41550-3300-0000_2016"
"1100-410-41565-3300-0000","CONTRAC SERVICES","OPERATING FUND","CULT AFFAIRS & TOURISM","GENERAL GOVERNMENT","CONTRACT SERVICES","3600.00","3600.00","2016","1100-410-41565-3300-0000_2016"
"1100-412-41600-3300-0000","CONTRAC SERVICES","OPERATING FUND","MUNICIPAL COURT","JUDICIAL SERVICES","CONTRACT SERVICES","30850.00","25225.35","2016","1100-412-41600-3300-0000_2016"
"1100-412-41700-3300-0000","CONTRAC SERVICES","OPERATING FUND","LEGAL DEPARTMENT","JUDICIAL SERVICES","CONTRACT SERVICES","400360.00","380283.64","2016","1100-412-41700-3300-0000_2016"
"1100-418-41800-3300-0000","CONTRAC SERVICES","OPERATING FUND","PLANNING AND DEVELOPMENT","PLANNING & DEVELOPMENT","CONTRACT SERVICES","86300.00","61543.67","2016","1100-418-41800-3300-0000_2016"
"1100-420-42100-3300-0000","CONTRAC SERVICES","OPERATING FUND","POLICE DEPARTMENT","PUBLIC SAFETY","CONTRACT SERVICES","39418.00","34445.96","2016","1100-420-42100-3300-0000_2016"
"1100-420-42200-3300-0000","CONTRAC SERVICES","OPERATING FUND","FIRE DEPARTMENT","PUBLIC SAFETY","CONTRACT SERVICES","27425.00","26194.28","2016","1100-420-42200-3300-0000_2016"
"1100-430-43000-3300-0000","CONTRAC SERVICES","OPERATING FUND","PUBLIC SERVICES","PUBLIC SERVICES","CONTRACT SERVICES","1469623.00","1282712.81","2016","1100-430-43000-3300-0000_2016"
"1100-431-43100-3300-0000","CONTRAC SERVICES","OPERATING FUND","TRANSPORTATION DEPARTMENT","ROADS & TRANSPORTATION","CONTRACT SERVICES","109780.00","108598.30","2016","1100-431-43100-3300-0000_2016"
"1100-450-45100-3300-0000","CONTRAC SERVICES","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","CONTRACT SERVICES","63625.00","57065.91","2016","1100-450-45100-3300-0000_2016"
"1100-450-45100-3310-0000","ATHL PROG CONTR SER","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","ATHLETIC PROGRAM CONTR. S","217500.00","193542.74","2016","1100-450-45100-3310-0000_2016"
"1100-450-45100-3310-4516","ATHLETIC PROGRAM CONTR","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","ATHLETIC PROGRAM CONTR. S","45964.00","39429.87","2016","1100-450-45100-3310-4516_2016"
"1100-410-41900-3311-0000","EMPLOYEE ASSISTANCE","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","EMPLOYEE ASSISTANCE PROG","23000.00","23000.00","2016","1100-410-41900-3311-0000_2016"
"1100-450-45100-3320-0000","TOUR CONTRACT SERV","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","TOURNAMENT CONTRACT SERV","360.00","0.00","2016","1100-450-45100-3320-0000_2016"
"1100-450-45100-3330-0000","OTHER PROG CONTRAC","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","OTHER PROGRAM CONTRACTUAL","17550.00","8014.53","2016","1100-450-45100-3330-0000_2016"
"1100-450-45100-3330-4517","OTHER PROGRAM CONTRACTUAL","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","OTHER PROGRAM CONTRACTUAL","42090.00","13113.81","2016","1100-450-45100-3330-4517_2016"
"1100-450-45100-3340-4518","AQUATIC PROGRAM CONT SERV","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","AQUATIC PROGRAM CONTR SER","3990.00","1231.38","2016","1100-450-45100-3340-4518_2016"
"1100-450-45100-3360-0000","CAMP CONTRAC SERV","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","CAMP CONTRACTUAL SERVICES","29000.00","22875.48","2016","1100-450-45100-3360-0000_2016"
"1100-450-45100-3360-4517","CAMP CONTRACTUAL SERVICES","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","CAMP CONTRACTUAL SERVICES","203137.00","186207.66","2016","1100-450-45100-3360-4517_2016"
"1100-450-45100-3370-0000","SR PROG - CONT SERV","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SENIOR PROGRAMS CONT SERV","2000.00","1131.50","2016","1100-450-45100-3370-0000_2016"
"1100-450-45100-3370-4517","SENIOR PROGRAMS CONT SERV","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","SENIOR PROGRAMS CONT SERV","83950.00","80907.99","2016","1100-450-45100-3370-4517_2016"
"1100-410-41900-3385-0000","FLEET MANAGE CONTR","OPERATING FUND","NONDEPARTMENTAL","GENERAL GOVERNMENT","FLEET MANAGEMENT CONTRACT","1068037.00","1066701.07","2016","1100-410-41900-3385-0000_2016"
"1100-450-45100-3390-0000","TENNIS CONTRACTUAL SERV","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","TENNIS CONTRACTUAL SERV","5500.00","2982.74","2016","1100-450-45100-3390-0000_2016"
"1100-430-43000-3800-0000","ALHAMBRA SERVICES","OPERATING FUND","PUBLIC SERVICES","PUBLIC SERVICES","ALHAMBRA SERVICES","41634.00","38332.54","2016","1100-430-43000-3800-0000_2016"
"1100-410-41100-4110-0000","WATER UTILITIES EXP","OPERATING FUND","GENERAL GOVERNMENT","GENERAL GOVERNMENT","WATER UTILITIES EXPENSE","11130.00","10327.07","2016","1100-410-41100-4110-0000_2016"
"1100-420-42100-4110-0000","WATER UTILITIES EXP","OPERATING FUND","POLICE DEPARTMENT","PUBLIC SAFETY","WATER UTILITIES EXPENSE","1653.00","1632.42","2016","1100-420-42100-4110-0000_2016"
"1100-420-42200-4110-0000","WATER UTILITIES EXP","OPERATING FUND","FIRE DEPARTMENT","PUBLIC SAFETY","WATER UTILITIES EXPENSE","14622.00","12403.04","2016","1100-420-42200-4110-0000_2016"
"1100-430-43000-4110-0000","WATER UTILITIES EXP","OPERATING FUND","PUBLIC SERVICES","PUBLIC SERVICES","WATER UTILITIES EXPENSE","210000.00","93239.31","2016","1100-430-43000-4110-0000_2016"
"1100-450-45100-4110-0000","WATER UTILITIES EXP","OPERATING FUND","RECREATION DEPARTMENT","CULTURE & RECREATION","WATER UTILITIES EXPENSE","175000.00","91911.11","2016","1100-450-45100-4110-0000_2016"
"1100-430-43000-4300-0000","REPAIR & MAINT ROADS","OPERATING FUND","PUBLIC SERVICES","PUBLIC SERVICES","R&M SERVICES","40000.00","33138.30","2016","1100-430-43000-4300-0000_2016"
