"job_title","department","earnings"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","125878.34"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","124885.58"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","124476.0"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","124212.0"
"OPERATIONS SERVICES DIRECTOR","OPERATION SERVICES","124155.77"
"POLICE LIEUTENANT","INVESTIGATIONS","124154.44"
"POLICE SERGEANT","OFFICE OF THE CHIEF","123897.46"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","123473.13"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","123287.45"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","123190.72"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","122776.11"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","122683.84"
"ELECTRIC SYS DESIGN AND IT MGR","UT ELEC SYSTEM DESIGN & IT DIV","122665.04"
"POLICE SERGEANT","PATROL","122302.34"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","122232.0"
"DIR SAFTY, SECURTY & RISK MGMT","SAFETY, SECURITY, & RISK MGMT.","121866.77"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","121631.19"
"PROCESS/SYSTEMS SUPERVISOR","UT PROCESS & SUPERVIS CNTR DIV","121396.02"
"UTIL CUST CONNECTIONS MGR","UTILITIES CUSTOMER CONNECTIONS","121272.72"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","120844.65"
"POLICE SERGEANT","INVESTIGATIONS","120815.48"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","120663.93"
"INFORMATION SECURITY ARCHITECT","INFORMATION TECHNOLOGY","120632.76"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","120619.62"
"PDT DEPUTY DIRECTOR","PDT ADMINISTRATION","120601.03"
"WTR RESOURCS/TREATMNT OPNS MGR","UT WATER PRODUCTION DIV","120598.29"
"EXECUTIVE DIRECTOR DDA","DOWNTOWN DEVELOPMENT AUTHORITY","120528.83"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","119518.84"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","119268.9"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","119033.77"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","118767.43"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","118738.76"
"COMM DEV & NEIGH SVCS DIRECTOR","COMM DEV & NEIGHBORHOOD SVCS","118553.0"
"POLICE SERGEANT","PATROL","118528.63"
"POLICE SERGEANT","INVESTIGATIONS","118423.56"
"IT DIR-INFRASTRUCTURE SVS","INFORMATION TECHNOLOGY","118390.06"
"ECONOMIC HEALTH DIRECTOR","ECONOMIC HEALTH OFFICE","118084.02"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","118042.84"
"DIR OF PURCHASING & RISK MGMT","PURCHASING","117844.33"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","117689.96"
"POLICE OFFICER","PATROL","117657.0"
"STANDARDS ENGINEERING MGR","UT STANDARDS ENGINEERING DIV","117651.52"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","117623.76"
"ASST HUMAN RESOURCES DIRECTOR","HUMAN RESOURCES","117320.86"
"POLICE SERGEANT","PATROL","117235.75"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","117076.27"
"POLICE SERGEANT","PATROL","117068.59"
"MGR OF CAPITAL PROJECTS","ENGINEERING","116924.77"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","116897.73"
"POLICE OFFICER","PATROL","116809.71"
"POLICE CORPORAL","PATROL","116801.46"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","116596.24"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","116360.14"
"CITY TRAFFIC ENGINEER","TRAFFIC","116302.79"
"SR DATABASE ADMINISTRATOR","INFORMATION TECHNOLOGY","116152.99"
"WATER SYSTEMS ENG MGR","UT WATER UTL ENGINEERING DIV","116117.79"
"CHIEF ENGINEER","UT WATER SYSTEMS ENGR DIV","115612.58"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","115348.52"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","115087.28"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","115067.39"
"POLICE SERGEANT","PATROL","114873.32"
"POLICE CORPORAL","PATROL","114685.27"
"POLICE SERGEANT","PATROL","114480.08"
"TRANSFORT/DAR GENERAL MANAGER","TRANSFORT / PARKING SERVICES","114348.53"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","114161.63"
"SR DATABASE ADMINISTRATOR","INFORMATION TECHNOLOGY","113917.69"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","113837.04"
"WATER PRODUCTION MANAGER","UT WATER PRODUCTION DIV","113137.32"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","112542.89"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","112225.72"
"ACCOUNTING DIRECTOR","ACCOUNTING AND TREASURY","112137.48"
"UTIL STRATEGIC FINANCE DIR","UTILITY FINANCIAL OPERATIONS","111809.87"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","111805.84"
"SR ELECTRICAL ENGINEER","UT ELECTRIC SYSTEMS ENG DIV","111508.66"
"POLICE SERGEANT","PATROL","111472.08"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","111428.86"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","111387.5"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","111075.46"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","110914.75"
"POLICE SERGEANT","PATROL","110741.22"
"WATER RECLAM / BIOSOLIDS MGR","UT WTR RECLAMA & BIOSOLIDS DIV","110654.78"
"DIR INFRSTRCTRE SVCS/CITY ENGR","ENGINEERING","110476.25"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","110008.96"
"ASST OPERATIONS SERVICES DIR","OPERATION SERVICES","109860.14"
"ENVIRONMENTAL SERVICES DIRECTR","ENVIRONMENTAL SERVICES","109647.28"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","109590.41"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","109588.81"
"POLICE SERGEANT","PATROL","109549.5"
"POLICE ASSISTANT CHIEF","OFFICE OF THE CHIEF","109468.97"
"NATURAL AREAS DIRECTOR","NATURAL AREAS","109381.03"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","109271.9"
"POLICE OFFICER","INVESTIGATIONS","109079.11"
"ELECTRIC FIELD SERVICE MANAGER","ELECTRIC FIELD SERVICES","108961.98"
"POLICE SERGEANT","OFFICE OF THE CHIEF","108892.95"
"ENERGY SERVICES MANAGER","UTILITIES CUSTOMER CONNECTIONS","108609.7"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","108547.18"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","108431.15"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","108425.48"
"STREETS SUPERINTENDENT","STREETS","108421.9"
"DIR OF PARK PLANNING & DEV","PARK PLANNING & DEVELOPMENT","108241.5"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","108237.98"
"IT MANAGER","POUDRE FIRE AUTHORITY","107993.36"
"SR ELECTRICAL ENGINEER","L&P OPERATIONS SERVICE UNIT","107960.45"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","107929.61"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","107868.81"
"POLICE OFFICER","PATROL","107795.78"
"POLICE OFFICER","PATROL","107488.36"
"POLICE OFFICER","PATROL","107261.62"
"IT DIRECTOR - APPLICATION SVCS","INFORMATION TECHNOLOGY","107059.03"
"SMART GRID & SYS OPERATION MGR","L&P OPERATIONS SERVICE UNIT","107015.0"
"WATER RESOURCES MANAGER","UT WATER RESOURCES DIV","106953.32"
"INTERIM CHIEF OF POLICE","OFFICE OF THE CHIEF","106799.97"
"POLICE OFFICER","INVESTIGATIONS","106754.32"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","106742.13"
"POLICE OFFICER","INVESTIGATIONS","106738.43"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","106450.92"
"APPLICATION SVCS MGR-UTILITIES","INFORMATION TECHNOLOGY","106410.31"
"SR NETWORK ENGINEER","INFORMATION TECHNOLOGY","106351.95"
"SUBSTATION ELEC/COMM SPEC","UT ELEC SYSTEM DESIGN & IT DIV","106180.82"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","105858.98"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","105849.93"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","105608.37"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","105428.58"
"DEPUTY DIRECTOR","LIBRARY DISTRICT","105293.19"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","105244.31"
"PAVEMENT MGMT PROGRAM MGR","STREETS","105128.48"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","105080.5"
"INFORMATION SERVICES MANAGER","INFORMATION TECHNOLOGY","104973.2"
"POLICE OFFICER","PATROL","104754.27"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","104729.6"
"POLICE OFFICER","INVESTIGATIONS","104615.86"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","104577.07"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","104407.14"
"RECREATION DIRECTOR","RECREATION","104350.46"
"POLICE CORPORAL","PATROL","104266.04"
"POLICE SERGEANT","INVESTIGATIONS","104150.54"
"STRATEGIC FINANCE DIRECTOR","FINANCE ADMINISTRATION","104146.02"
"BUDGET DIRECTOR","BUDGET","104132.76"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","104052.62"
"DEVELOPMENT REVIEW MANAGER","ENGINEERING","104043.63"
"SR NETWORK ENGINEER","INFORMATION TECHNOLOGY","103990.83"
"ASST FIRE MARSHALL-NON ROTATE","POUDRE FIRE AUTHORITY","103970.0"
"WATER ENG FIELD OPERATIONS MGR","UT WATER SYSTEMS ENGR DIV","103902.61"
"CITY CLERK","CITY CLERK'S OFFICE","103832.16"
"ENVIRONMENTAL REG AFFAIRS MGR","UT ENVIRO REGULATORY AFFAIRS","103824.6"
"SR SOFTWARE ENGINEER","INFORMATION TECHNOLOGY","103735.28"
"DIRECTOR OF PARKS","PARKS","103734.11"
"POLICE SERGEANT","PATROL","103704.59"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","103588.37"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","103476.12"
"SR SOFTWARE ENGINEER","INFORMATION TECHNOLOGY","103398.45"
"DIR OF SOCIAL SUSTAINABILITY","SOCIAL SUSTAINABILITY","103367.77"
"POLICE OFFICER","PATROL","103318.89"
"ASST FIRE MARSHALL-NON ROTATE","POUDRE FIRE AUTHORITY","103298.0"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","103295.1"
"POLICE OFFICER","PATROL","103142.03"
"POLICE OFFICER","INVESTIGATIONS","103123.47"
"POLICE OFFICER","PATROL","103077.35"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","102953.06"
"LINE EQUIPMENT CREW CHIEF","ELECTRIC FIELD SERVICES","102800.01"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","102759.37"
"PLANNING MANAGER","COMM DEV & NEIGHBORHOOD SVCS","102749.58"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","102729.9"
"POLICE OFFICER","PATROL","102714.32"
"POLICE OFFICER","PATROL","102686.44"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","102551.3"
"POLICE OFFICER","PATROL","102486.07"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","102422.42"
"POLLUTION CONTROL SERVICE SUPV","UT WATER QUALITY SERVICES DIV","102313.01"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","102170.48"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","102126.03"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","102106.3"
"POLICE OFFICER","PATROL","102105.47"
"POLICE OFFICER","INVESTIGATIONS","101887.11"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","101553.72"
"CONTROLLER","ACCOUNTING AND TREASURY","101468.23"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","101124.76"
"POLICE OFFICER","PATROL","101119.46"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","101063.5"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","100942.52"
"SUPERVISORY ELECT SYS OPERATOR","L&P OPERATIONS SERVICE UNIT","100826.73"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","100816.78"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","100765.15"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","100641.83"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","100613.02"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","100516.1"
"POLICE OFFICER","PATROL","100481.31"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","100361.65"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","100337.58"
"POLICE OFFICER","PATROL","100301.45"
"POLICE OFFICER","PATROL","100244.44"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","100202.25"
"POLICE OFFICER","PATROL","99945.99"
"PAVEMENT ENGINEER","STREETS","99745.95"
"ENERGY SERVICES SUPERVISOR","UTILITIES CUSTOMER CONNECTIONS","99673.9"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","99632.75"
"POLICE OFFICER","INVESTIGATIONS","99606.86"
"LABORATORY SUPERVISOR","UT WATER QUALITY SERVICES DIV","99522.78"
"SERVICES CREW CHIEF","ELECTRIC FIELD SERVICES","99488.72"
"ASST CITY TRAFFIC ENGINEER","TRAFFIC","99460.74"
"SYSTEMS ADMINISTRATION MGR","INFORMATION TECHNOLOGY","99450.87"
"POLICE OFFICER","INVESTIGATIONS","99437.35"
"POLICE OFFICER","PATROL","99161.87"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","99142.81"
"MUNICIPAL JUDGE-INACTIVE","MUNICIPAL COURT","99012.47"
"POLICE OFFICER","INVESTIGATIONS","99009.54"
"POLICE CORPORAL","PATROL","98959.28"
"BUYER","PURCHASING","15497.28"
"SPECIAL SERVICES SUPERVISOR","ELECTRIC FIELD SERVICES","98902.03"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","98897.04"
"CIVIL ENGINEER III","ENGINEERING","98850.25"
"CIVIL ENGINEER III","UT DISTRIBUTION SYSTEM DIV","98682.64"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","98669.36"
"NATURAL AREAS MANAGER","NATURAL AREAS","98586.4"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","98534.68"
"POLICE OFFICER","INVESTIGATIONS","98509.5"
"POLICE OFFICER","INVESTIGATIONS","98422.52"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","98220.75"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","98212.18"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","98108.4"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","98002.76"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","97946.13"
"POLICE OFFICER","INVESTIGATIONS","97931.76"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","97893.98"
"POLICE OFFICER","PATROL","97861.06"
"POLICE CORPORAL","PATROL","97853.94"
"SR DATABASE ANALYST","INFORMATION TECHNOLOGY","97850.31"
"CONTROL & DATA SYSTEMS ENG","UT PROCESS & SUPERVIS CNTR DIV","97611.08"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","97548.66"
"POLICE OFFICER","INVESTIGATIONS","97432.91"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","97378.8"
"POLICE PSYCHOLOGIST","OFFICE OF THE CHIEF","97263.5"
"POLICE OFFICER","PATROL","97168.38"
"POLICE OFFICER","INVESTIGATIONS","97118.89"
"POLICE OFFICER","PATROL","97060.42"
"POLICE OFFICER","PATROL","97002.43"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","96909.56"
"FINANCE OFFICER","LIBRARY DISTRICT","96884.35"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","96860.3"
"SR DATABASE ANALYST","INFORMATION TECHNOLOGY","96833.03"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","96798.47"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","96733.98"
"METER SYSTEMS SUPERVISOR","UT STANDARDS ENGINEERING DIV","96563.65"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","96407.3"
"WATER UTIL FIELD OPNS SUPNTNDT","UT DISTRIBUTION SYSTEM DIV","96368.94"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","96352.79"
"POLICE OFFICER","INVESTIGATIONS","96349.59"
"POLICE CORPORAL","PATROL","96347.25"
"CIVIL ENGINEER III","UT WATER UTL ENGINEERING DIV","96306.25"
"EMERGENCY MEDICAL SVCS COORD","POUDRE FIRE AUTHORITY","96214.0"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","96100.2"
"CIVIL ENGINEER III","ENGINEERING","95981.0"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","95980.76"
"CIVIL ENGINEER III","UT WATER SYSTEMS ENGR DIV","95945.25"
"POLICE OFFICER","PATROL","95774.22"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","95728.24"
"POLICE OFFICER","OFFICE OF THE CHIEF","95682.27"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","95634.57"
"ELECTRIC DIST SAFETY SUPV","ELECTRIC FIELD SERVICES","95612.74"
"POLICE OFFICER","PATROL","95601.72"
"LINEWORKER EQUIPMENT SPEC","ELECTRIC FIELD SERVICES","95376.05"
"POLICE OFFICER","PATROL","95342.95"
"POLICE OFFICER","INVESTIGATIONS","95273.93"
"POLICE OFFICER","OFFICE OF THE CHIEF","95255.5"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","95134.78"
"POLICE OFFICER","PATROL","95107.69"
"POLICE OFFICER","PATROL","95095.1"
"POLICE OFFICER","INVESTIGATIONS","95092.71"
"SR NETWORK ENGINEER","INFORMATION TECHNOLOGY","95067.74"
"CIVIL ENGINEER III","PARK PLANNING & DEVELOPMENT","95017.5"
"PAYROLL & P2P PROJ MGR","ACCOUNTING AND TREASURY","94985.58"
"SYSTEMS ADMINISTRATOR","INFORMATION TECHNOLOGY","94960.15"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","94925.0"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","94907.06"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","94897.18"
"SR ELECTRIC SYSTEMS OPERATOR","L&P OPERATIONS SERVICE UNIT","94752.1"
"SPECIAL PROJECTS ENGINEER","ENGINEERING","94714.0"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","94680.57"
"TRAFFIC SYSTEMS ENGINEER","TRAFFIC","94614.95"
"POLICE OFFICER","PATROL","94477.16"
"POLICE OFFICER","OFFICE OF THE CHIEF","94458.57"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","94444.06"
"ASSET MANAGER","ENGINEERING","94311.67"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","94296.61"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","94210.44"
"POLICE OFFICER","PATROL","94177.93"
"WATER UTIL FIELD OPNS SUPNTNDT","UT COLLECTION SYSTEM DIV","94115.02"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","94112.91"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","94050.3"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","94021.93"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","93957.29"
"POLICE SYSTEMS ANALYST","INFORMATION TECHNOLOGY","93935.84"
"POLICE OFFICER","PATROL","93897.93"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","93839.3"
"POLICE OFFICER","PATROL","93759.94"
"POLICE OFFICER","PATROL","93755.78"
"POLICE OFFICER","INVESTIGATIONS","93736.2"
"COMM/PUBLIC INVOLVMNT DIRECTOR","COMM. & PUBLIC INVOLVEMENT","93723.48"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","93701.6"
"INFORMATION SERVICES MANAGER","INFORMATION TECHNOLOGY","93660.52"
"SPECIAL PROJECTS MANAGER","UT WATER SYSTEMS ENGR DIV","93517.87"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","93433.36"
"POLICE OFFICER","PATROL","93398.63"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","93363.27"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","93315.33"
"POLICE OFFICER","INVESTIGATIONS","93286.92"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","93273.5"
"WATER TRTMNT PLANT SUPERINTNDT","UT WATER PRODUCTION DIV","93211.46"
"POLICE OFFICER","PATROL","93175.34"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","93135.69"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","93130.66"
"ELECTRICAL SERVICES SUPERVISOR","ELECTRIC FIELD SERVICES","93130.04"
"POLICE DEPUTY CHIEF","POLICE INFORMATION SERVICES","93111.81"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","93089.29"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","93000.9"
"POLICE OFFICER","PATROL","92990.09"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","92947.29"
"INFORMATION SERVICES MANAGER","INFORMATION TECHNOLOGY","92940.34"
"POLICE OFFICER","PATROL","92936.75"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","92928.82"
"POLICE OFFICER","PATROL","92899.11"
"POLICE OFFICER","PATROL","92874.89"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","92844.62"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","92775.42"
"POLICE OFFICER","INVESTIGATIONS","92764.74"
"FC MOVES PROGRAM MANAGER","FC MOVES","92431.67"
