"department","earnings","job_title"
"PATROL","132526.22","POLICE SERGEANT"
"INVESTIGATIONS","132344.09","POLICE LIEUTENANT"
"PATROL","131868.44","POLICE SERGEANT"
"POUDRE FIRE AUTHORITY","131553.81","FIREFIGHTER 40 HOUR (SPECIAL)"
"POUDRE FIRE AUTHORITY","131547.3","CAPTAIN II - 40 HR/WK"
"POUDRE FIRE AUTHORITY","131448.09","BATTALION CHIEF I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","130952.3","TRAINING CAPTAIN - 40 HR/WK"
"POUDRE FIRE AUTHORITY","130623.27","BATTALION CHIEF I - 56 HR/WK"
"LIBRARY DISTRICT","130000.0","LIBRARY DIRECTOR"
"POUDRE FIRE AUTHORITY","129145.92","BATTALION CHIEF II - 40 HR/WK"
"PATROL","129078.65","POLICE SERGEANT"
"PATROL","128743.89","POLICE SERGEANT"
"INVESTIGATIONS","128639.03","POLICE SERGEANT"
"POUDRE FIRE AUTHORITY","128236.6","DIVISION CHIEF"
"POUDRE FIRE AUTHORITY","128122.16","BATTALION CHIEF II - 40 HR/WK"
"OFFICE OF THE CHIEF","128078.91","CHIEF OF POLICE"
"POUDRE FIRE AUTHORITY","128013.31","BATTALION CHIEF I - 56 HR/WK"
"PATROL","127873.78","POLICE SERGEANT"
"INVESTIGATIONS","127452.64","POLICE SERGEANT"
"POUDRE FIRE AUTHORITY","127363.45","BATTALION CHIEF II - 40 HR/WK"
"POLICE INFORMATION SERVICES","127276.12","EMERGENCY SERVICES COMM MGR"
"ELECTRIC FIELD SERVICES","125878.34","SUPERVISORY CREW CHIEF"
"POUDRE FIRE AUTHORITY","124885.58","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","124476.0","BATTALION CHIEF II - 40 HR/WK"
"POUDRE FIRE AUTHORITY","124212.0","BATTALION CHIEF II - 40 HR/WK"
"OPERATION SERVICES","124155.77","OPERATIONS SERVICES DIRECTOR"
"INVESTIGATIONS","124154.44","POLICE LIEUTENANT"
"OFFICE OF THE CHIEF","123897.46","POLICE SERGEANT"
"POUDRE FIRE AUTHORITY","123473.13","CAPTAIN I - 56 HR/WK"
"CITY ATTORNEY'S OFFICE","123287.45","SR ASSISTANT CITY ATTORNEY"
"POUDRE FIRE AUTHORITY","123190.72","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","122776.11","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","122683.84","CAPTAIN I - 56 HR/WK"
"UT ELEC SYSTEM DESIGN & IT DIV","122665.04","ELECTRIC SYS DESIGN AND IT MGR"
"PATROL","122302.34","POLICE SERGEANT"
"POUDRE FIRE AUTHORITY","122232.0","CAPTAIN I - 56 HR/WK"
"SAFETY, SECURITY, & RISK MGMT.","121866.77","DIR SAFTY, SECURTY & RISK MGMT"
"POUDRE FIRE AUTHORITY","121631.19","CAPTAIN I - 56 HR/WK"
"UT PROCESS & SUPERVIS CNTR DIV","121396.02","PROCESS/SYSTEMS SUPERVISOR"
"UTILITIES CUSTOMER CONNECTIONS","121272.72","UTIL CUST CONNECTIONS MGR"
"POUDRE FIRE AUTHORITY","120844.65","CAPTAIN I - 56 HR/WK"
"INVESTIGATIONS","120815.48","POLICE SERGEANT"
"POUDRE FIRE AUTHORITY","120663.93","CAPTAIN I - 56 HR/WK"
"INFORMATION TECHNOLOGY","120632.76","INFORMATION SECURITY ARCHITECT"
"POUDRE FIRE AUTHORITY","120619.62","CAPTAIN II - 40 HR/WK"
"PDT ADMINISTRATION","120601.03","PDT DEPUTY DIRECTOR"
"UT WATER PRODUCTION DIV","120598.29","WTR RESOURCS/TREATMNT OPNS MGR"
"DOWNTOWN DEVELOPMENT AUTHORITY","120528.83","EXECUTIVE DIRECTOR DDA"
"POUDRE FIRE AUTHORITY","119518.84","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","119268.9","CAPTAIN I - 56 HR/WK"
"ELECTRIC FIELD SERVICES","119033.77","LINE CREW CHIEF"
"POUDRE FIRE AUTHORITY","118767.43","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","118738.76","CAPTAIN I - 56 HR/WK"
"COMM DEV & NEIGHBORHOOD SVCS","118553.0","COMM DEV & NEIGH SVCS DIRECTOR"
"PATROL","118528.63","POLICE SERGEANT"
"INVESTIGATIONS","118423.56","POLICE SERGEANT"
"INFORMATION TECHNOLOGY","118390.06","IT DIR-INFRASTRUCTURE SVS"
"ECONOMIC HEALTH OFFICE","118084.02","ECONOMIC HEALTH DIRECTOR"
"ELECTRIC FIELD SERVICES","118042.84","SUPERVISORY CREW CHIEF"
"PURCHASING","117844.33","DIR OF PURCHASING & RISK MGMT"
"POUDRE FIRE AUTHORITY","117689.96","TRAINING CAPTAIN - 40 HR/WK"
"PATROL","117657.0","POLICE OFFICER"
"UT STANDARDS ENGINEERING DIV","117651.52","STANDARDS ENGINEERING MGR"
"POUDRE FIRE AUTHORITY","117623.76","CAPTAIN I - 56 HR/WK"
"HUMAN RESOURCES","117320.86","ASST HUMAN RESOURCES DIRECTOR"
"PATROL","117235.75","POLICE SERGEANT"
"POUDRE FIRE AUTHORITY","117076.27","CAPTAIN I - 56 HR/WK"
"PATROL","117068.59","POLICE SERGEANT"
"ENGINEERING","116924.77","MGR OF CAPITAL PROJECTS"
"POUDRE FIRE AUTHORITY","116897.73","CAPTAIN I - 56 HR/WK"
"PATROL","116809.71","POLICE OFFICER"
"PATROL","116801.46","POLICE CORPORAL"
"POUDRE FIRE AUTHORITY","116596.24","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","116360.14","CAPTAIN I - 56 HR/WK"
"TRAFFIC","116302.79","CITY TRAFFIC ENGINEER"
"INFORMATION TECHNOLOGY","116152.99","SR DATABASE ADMINISTRATOR"
"UT WATER UTL ENGINEERING DIV","116117.79","WATER SYSTEMS ENG MGR"
"UT WATER SYSTEMS ENGR DIV","115612.58","CHIEF ENGINEER"
"POUDRE FIRE AUTHORITY","115348.52","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","115087.28","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","115067.39","CAPTAIN I - 56 HR/WK"
"PATROL","114873.32","POLICE SERGEANT"
"PATROL","114685.27","POLICE CORPORAL"
"PATROL","114480.08","POLICE SERGEANT"
"TRANSFORT / PARKING SERVICES","114348.53","TRANSFORT/DAR GENERAL MANAGER"
"POUDRE FIRE AUTHORITY","114161.63","CAPTAIN I - 56 HR/WK"
"INFORMATION TECHNOLOGY","113917.69","SR DATABASE ADMINISTRATOR"
"POUDRE FIRE AUTHORITY","113837.04","CAPTAIN I - 56 HR/WK"
"UT WATER PRODUCTION DIV","113137.32","WATER PRODUCTION MANAGER"
"POUDRE FIRE AUTHORITY","112542.89","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","112225.72","FIREFIGHTER II - 56 HR/WK"
"ACCOUNTING AND TREASURY","112137.48","ACCOUNTING DIRECTOR"
"UTILITY FINANCIAL OPERATIONS","111809.87","UTIL STRATEGIC FINANCE DIR"
"POUDRE FIRE AUTHORITY","111805.84","CAPTAIN I - 56 HR/WK"
"UT ELECTRIC SYSTEMS ENG DIV","111508.66","SR ELECTRICAL ENGINEER"
"PATROL","111472.08","POLICE SERGEANT"
"POUDRE FIRE AUTHORITY","111428.86","CAPTAIN I - 56 HR/WK"
"CITY ATTORNEY'S OFFICE","111387.5","ASSISTANT CITY ATTORNEY II"
"POUDRE FIRE AUTHORITY","111075.46","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","110914.75","FIREFIGHTER 40 HOUR (SPECIAL)"
"PATROL","110741.22","POLICE SERGEANT"
"UT WTR RECLAMA & BIOSOLIDS DIV","110654.78","WATER RECLAM / BIOSOLIDS MGR"
"ENGINEERING","110476.25","DIR INFRSTRCTRE SVCS/CITY ENGR"
"POUDRE FIRE AUTHORITY","110008.96","CAPTAIN I - 56 HR/WK"
"OPERATION SERVICES","109860.14","ASST OPERATIONS SERVICES DIR"
"ENVIRONMENTAL SERVICES","109647.28","ENVIRONMENTAL SERVICES DIRECTR"
"POUDRE FIRE AUTHORITY","109590.41","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","109588.81","FIREFIGHTER II - 56 HR/WK"
"PATROL","109549.5","POLICE SERGEANT"
"OFFICE OF THE CHIEF","109468.97","POLICE ASSISTANT CHIEF"
"NATURAL AREAS","109381.03","NATURAL AREAS DIRECTOR"
"POUDRE FIRE AUTHORITY","109271.9","CAPTAIN I - 56 HR/WK"
"INVESTIGATIONS","109079.11","POLICE OFFICER"
"ELECTRIC FIELD SERVICES","108961.98","ELECTRIC FIELD SERVICE MANAGER"
"OFFICE OF THE CHIEF","108892.95","POLICE SERGEANT"
"UTILITIES CUSTOMER CONNECTIONS","108609.7","ENERGY SERVICES MANAGER"
"ELECTRIC FIELD SERVICES","108547.18","LINE CREW CHIEF"
"POUDRE FIRE AUTHORITY","108431.15","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","108425.48","FIREFIGHTER II - 56 HR/WK"
"STREETS","108421.9","STREETS SUPERINTENDENT"
"PARK PLANNING & DEVELOPMENT","108241.5","DIR OF PARK PLANNING & DEV"
"ELECTRIC FIELD SERVICES","108237.98","ELECTRIC LINEWORKER"
"POUDRE FIRE AUTHORITY","107993.36","IT MANAGER"
"L&P OPERATIONS SERVICE UNIT","107960.45","SR ELECTRICAL ENGINEER"
"ELECTRIC FIELD SERVICES","107929.61","LINE CREW CHIEF"
"POUDRE FIRE AUTHORITY","107868.81","CAPTAIN I - 56 HR/WK"
"PATROL","107795.78","POLICE OFFICER"
"PATROL","107488.36","POLICE OFFICER"
"PATROL","107261.62","POLICE OFFICER"
"INFORMATION TECHNOLOGY","107059.03","IT DIRECTOR - APPLICATION SVCS"
"L&P OPERATIONS SERVICE UNIT","107015.0","SMART GRID & SYS OPERATION MGR"
"UT WATER RESOURCES DIV","106953.32","WATER RESOURCES MANAGER"
"OFFICE OF THE CHIEF","106799.97","INTERIM CHIEF OF POLICE"
"INVESTIGATIONS","106754.32","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","106742.13","CAPTAIN I - 56 HR/WK"
"INVESTIGATIONS","106738.43","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","106450.92","CAPTAIN I - 56 HR/WK"
"INFORMATION TECHNOLOGY","106410.31","APPLICATION SVCS MGR-UTILITIES"
"INFORMATION TECHNOLOGY","106351.95","SR NETWORK ENGINEER"
"UT ELEC SYSTEM DESIGN & IT DIV","106180.82","SUBSTATION ELEC/COMM SPEC"
"POUDRE FIRE AUTHORITY","105858.98","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","105849.93","FIREFIGHTER 40 HOUR (SPECIAL)"
"POUDRE FIRE AUTHORITY","105608.37","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","105428.58","CAPTAIN I - 56 HR/WK"
"LIBRARY DISTRICT","105293.19","DEPUTY DIRECTOR"
"POUDRE FIRE AUTHORITY","105244.31","FIREFIGHTER II - 56 HR/WK"
"STREETS","105128.48","PAVEMENT MGMT PROGRAM MGR"
"POUDRE FIRE AUTHORITY","105080.5","FIREFIGHTER II - 56 HR/WK"
"INFORMATION TECHNOLOGY","104973.2","INFORMATION SERVICES MANAGER"
"PATROL","104754.27","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","104729.6","FIREFIGHTER II - 56 HR/WK"
"INVESTIGATIONS","104615.86","POLICE OFFICER"
"ELECTRIC FIELD SERVICES","104577.07","LINE CREW CHIEF"
"ELECTRIC FIELD SERVICES","104407.14","LINE CREW CHIEF"
"RECREATION","104350.46","RECREATION DIRECTOR"
"PATROL","104266.04","POLICE CORPORAL"
"INVESTIGATIONS","104150.54","POLICE SERGEANT"
"FINANCE ADMINISTRATION","104146.02","STRATEGIC FINANCE DIRECTOR"
"BUDGET","104132.76","BUDGET DIRECTOR"
"POUDRE FIRE AUTHORITY","104052.62","FIREFIGHTER II - 56 HR/WK"
"ENGINEERING","104043.63","DEVELOPMENT REVIEW MANAGER"
"INFORMATION TECHNOLOGY","103990.83","SR NETWORK ENGINEER"
"POUDRE FIRE AUTHORITY","103970.0","ASST FIRE MARSHALL-NON ROTATE"
"UT WATER SYSTEMS ENGR DIV","103902.61","WATER ENG FIELD OPERATIONS MGR"
"CITY CLERK'S OFFICE","103832.16","CITY CLERK"
"UT ENVIRO REGULATORY AFFAIRS","103824.6","ENVIRONMENTAL REG AFFAIRS MGR"
"INFORMATION TECHNOLOGY","103735.28","SR SOFTWARE ENGINEER"
"PARKS","103734.11","DIRECTOR OF PARKS"
"PATROL","103704.59","POLICE SERGEANT"
"ELECTRIC FIELD SERVICES","103588.37","ELECTRIC LINEWORKER"
"ELECTRIC FIELD SERVICES","103476.12","LINE CREW CHIEF"
"INFORMATION TECHNOLOGY","103398.45","SR SOFTWARE ENGINEER"
"SOCIAL SUSTAINABILITY","103367.77","DIR OF SOCIAL SUSTAINABILITY"
"PATROL","103318.89","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","103298.0","ASST FIRE MARSHALL-NON ROTATE"
"POLICE INFORMATION SERVICES","103295.1","EMERG SERVICES DISPATCH SUPV"
"PATROL","103142.03","POLICE OFFICER"
"INVESTIGATIONS","103123.47","POLICE OFFICER"
"PATROL","103077.35","POLICE OFFICER"
"ELECTRIC FIELD SERVICES","102953.06","LINE CREW CHIEF"
"ELECTRIC FIELD SERVICES","102800.01","LINE EQUIPMENT CREW CHIEF"
"POUDRE FIRE AUTHORITY","102759.37","FIREFIGHTER II - 56 HR/WK"
"COMM DEV & NEIGHBORHOOD SVCS","102749.58","PLANNING MANAGER"
"POUDRE FIRE AUTHORITY","102729.9","CAPTAIN I - 56 HR/WK"
"PATROL","102714.32","POLICE OFFICER"
"PATROL","102686.44","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","102551.3","CAPTAIN II - 40 HR/WK"
"PATROL","102486.07","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","102422.42","FIREFIGHTER II - 56 HR/WK"
"UT WATER QUALITY SERVICES DIV","102313.01","POLLUTION CONTROL SERVICE SUPV"
"POUDRE FIRE AUTHORITY","102170.48","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","102126.03","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","102106.3","CAPTAIN I - 56 HR/WK"
"PATROL","102105.47","POLICE OFFICER"
"INVESTIGATIONS","101887.11","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","101553.72","FIREFIGHTER II - 56 HR/WK"
"ACCOUNTING AND TREASURY","101468.23","CONTROLLER"
"INFORMATION TECHNOLOGY","101124.76","SYSTEMS ANALYST"
"PATROL","101119.46","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","101063.5","FIREFIGHTER II - 56 HR/WK"
"POLICE INFORMATION SERVICES","100942.52","EMERG SERVICES DISPATCH SUPV"
"L&P OPERATIONS SERVICE UNIT","100826.73","SUPERVISORY ELECT SYS OPERATOR"
"POUDRE FIRE AUTHORITY","100816.78","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","100765.15","CAPTAIN I - 56 HR/WK"
"ELECTRIC FIELD SERVICES","100641.83","ELECTRIC LINEWORKER"
"POUDRE FIRE AUTHORITY","100613.02","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","100516.1","FIREFIGHTER II - 56 HR/WK"
"PATROL","100481.31","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","100361.65","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","100337.58","FIRE INSPECT COORD - 56 HR/WK"
"PATROL","100301.45","POLICE OFFICER"
"PATROL","100244.44","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","100202.25","FIREFIGHTER II - 56 HR/WK"
"PATROL","99945.99","POLICE OFFICER"
"STREETS","99745.95","PAVEMENT ENGINEER"
"UTILITIES CUSTOMER CONNECTIONS","99673.9","ENERGY SERVICES SUPERVISOR"
"POUDRE FIRE AUTHORITY","99632.75","FIREFIGHTER II - 56 HR/WK"
"INVESTIGATIONS","99606.86","POLICE OFFICER"
"UT WATER QUALITY SERVICES DIV","99522.78","LABORATORY SUPERVISOR"
"ELECTRIC FIELD SERVICES","99488.72","SERVICES CREW CHIEF"
"TRAFFIC","99460.74","ASST CITY TRAFFIC ENGINEER"
"INFORMATION TECHNOLOGY","99450.87","SYSTEMS ADMINISTRATION MGR"
"INVESTIGATIONS","99437.35","POLICE OFFICER"
"PATROL","99161.87","POLICE OFFICER"
"ELECTRIC FIELD SERVICES","99142.81","ELECTRIC LINEWORKER"
"MUNICIPAL COURT","99012.47","MUNICIPAL JUDGE-INACTIVE"
"INVESTIGATIONS","99009.54","POLICE OFFICER"
"PATROL","98959.28","POLICE CORPORAL"
"PURCHASING","15497.28","BUYER"
"ELECTRIC FIELD SERVICES","98902.03","SPECIAL SERVICES SUPERVISOR"
"POUDRE FIRE AUTHORITY","98897.04","FIREFIGHTER II - 56 HR/WK"
"ENGINEERING","98850.25","CIVIL ENGINEER III"
"UT DISTRIBUTION SYSTEM DIV","98682.64","CIVIL ENGINEER III"
"POUDRE FIRE AUTHORITY","98669.36","FIRE INSPECT COORD - 56 HR/WK"
"NATURAL AREAS","98586.4","NATURAL AREAS MANAGER"
"POUDRE FIRE AUTHORITY","98534.68","FIREFIGHTER II - 56 HR/WK"
"INVESTIGATIONS","98509.5","POLICE OFFICER"
"INVESTIGATIONS","98422.52","POLICE OFFICER"
"CITY ATTORNEY'S OFFICE","98220.75","ASSISTANT CITY ATTORNEY II"
"POUDRE FIRE AUTHORITY","98212.18","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","98108.4","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","98002.76","FIREFIGHTER II - 56 HR/WK"
"ELECTRIC FIELD SERVICES","97946.13","ELECTRIC LINEWORKER"
"INVESTIGATIONS","97931.76","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","97893.98","CAPTAIN I - 56 HR/WK"
"PATROL","97861.06","POLICE OFFICER"
"PATROL","97853.94","POLICE CORPORAL"
"INFORMATION TECHNOLOGY","97850.31","SR DATABASE ANALYST"
"UT PROCESS & SUPERVIS CNTR DIV","97611.08","CONTROL & DATA SYSTEMS ENG"
"POUDRE FIRE AUTHORITY","97548.66","FIREFIGHTER II - 56 HR/WK"
"INVESTIGATIONS","97432.91","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","97378.8","FIREFIGHTER II - 56 HR/WK"
"OFFICE OF THE CHIEF","97263.5","POLICE PSYCHOLOGIST"
"PATROL","97168.38","POLICE OFFICER"
"INVESTIGATIONS","97118.89","POLICE OFFICER"
"PATROL","97060.42","POLICE OFFICER"
"PATROL","97002.43","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","96909.56","FIREFIGHTER II - 56 HR/WK"
"LIBRARY DISTRICT","96884.35","FINANCE OFFICER"
"POUDRE FIRE AUTHORITY","96860.3","FIREFIGHTER II - 56 HR/WK"
"INFORMATION TECHNOLOGY","96833.03","SR DATABASE ANALYST"
"ELECTRIC FIELD SERVICES","96798.47","LINE CREW CHIEF"
"POUDRE FIRE AUTHORITY","96733.98","FIREFIGHTER II - 56 HR/WK"
"UT STANDARDS ENGINEERING DIV","96563.65","METER SYSTEMS SUPERVISOR"
"POUDRE FIRE AUTHORITY","96407.3","FIREFIGHTER II - 56 HR/WK"
"UT DISTRIBUTION SYSTEM DIV","96368.94","WATER UTIL FIELD OPNS SUPNTNDT"
"POUDRE FIRE AUTHORITY","96352.79","FIREFIGHTER II - 56 HR/WK"
"INVESTIGATIONS","96349.59","POLICE OFFICER"
"PATROL","96347.25","POLICE CORPORAL"
"UT WATER UTL ENGINEERING DIV","96306.25","CIVIL ENGINEER III"
"POUDRE FIRE AUTHORITY","96214.0","EMERGENCY MEDICAL SVCS COORD"
"POUDRE FIRE AUTHORITY","96100.2","FIREFIGHTER II - 56 HR/WK"
"ENGINEERING","95981.0","CIVIL ENGINEER III"
"POUDRE FIRE AUTHORITY","95980.76","FIREFIGHTER II - 56 HR/WK"
"UT WATER SYSTEMS ENGR DIV","95945.25","CIVIL ENGINEER III"
"PATROL","95774.22","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","95728.24","FIREFIGHTER II - 56 HR/WK"
"OFFICE OF THE CHIEF","95682.27","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","95634.57","FIREFIGHTER II - 56 HR/WK"
"ELECTRIC FIELD SERVICES","95612.74","ELECTRIC DIST SAFETY SUPV"
"PATROL","95601.72","POLICE OFFICER"
"ELECTRIC FIELD SERVICES","95376.05","LINEWORKER EQUIPMENT SPEC"
"PATROL","95342.95","POLICE OFFICER"
"INVESTIGATIONS","95273.93","POLICE OFFICER"
"OFFICE OF THE CHIEF","95255.5","POLICE OFFICER"
"ELECTRIC FIELD SERVICES","95134.78","ELECTRIC LINEWORKER"
"PATROL","95107.69","POLICE OFFICER"
"PATROL","95095.1","POLICE OFFICER"
"INVESTIGATIONS","95092.71","POLICE OFFICER"
"INFORMATION TECHNOLOGY","95067.74","SR NETWORK ENGINEER"
"PARK PLANNING & DEVELOPMENT","95017.5","CIVIL ENGINEER III"
"ACCOUNTING AND TREASURY","94985.58","PAYROLL & P2P PROJ MGR"
"INFORMATION TECHNOLOGY","94960.15","SYSTEMS ADMINISTRATOR"
"POUDRE FIRE AUTHORITY","94925.0","FIREFIGHTER II - 56 HR/WK"
"ELECTRIC FIELD SERVICES","94907.06","ELECTRIC LINEWORKER"
"POUDRE FIRE AUTHORITY","94897.18","FIREFIGHTER II - 56 HR/WK"
"L&P OPERATIONS SERVICE UNIT","94752.1","SR ELECTRIC SYSTEMS OPERATOR"
"ENGINEERING","94714.0","SPECIAL PROJECTS ENGINEER"
"POUDRE FIRE AUTHORITY","94680.57","FIREFIGHTER II - 56 HR/WK"
"TRAFFIC","94614.95","TRAFFIC SYSTEMS ENGINEER"
"PATROL","94477.16","POLICE OFFICER"
"OFFICE OF THE CHIEF","94458.57","POLICE OFFICER"
"ELECTRIC FIELD SERVICES","94444.06","ELECTRIC LINEWORKER"
"ENGINEERING","94311.67","ASSET MANAGER"
"POUDRE FIRE AUTHORITY","94296.61","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","94210.44","FIREFIGHTER II - 56 HR/WK"
"PATROL","94177.93","POLICE OFFICER"
"UT COLLECTION SYSTEM DIV","94115.02","WATER UTIL FIELD OPNS SUPNTNDT"
"POUDRE FIRE AUTHORITY","94112.91","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","94050.3","FIREFIGHTER II - 56 HR/WK"
"ELECTRIC FIELD SERVICES","94021.93","ELECTRIC LINEWORKER"
"POUDRE FIRE AUTHORITY","93957.29","FIREFIGHTER II - 56 HR/WK"
"INFORMATION TECHNOLOGY","93935.84","POLICE SYSTEMS ANALYST"
"PATROL","93897.93","POLICE OFFICER"
"CITY ATTORNEY'S OFFICE","93839.3","ASSISTANT CITY ATTORNEY II"
"PATROL","93759.94","POLICE OFFICER"
"PATROL","93755.78","POLICE OFFICER"
"INVESTIGATIONS","93736.2","POLICE OFFICER"
"COMM. & PUBLIC INVOLVEMENT","93723.48","COMM/PUBLIC INVOLVMNT DIRECTOR"
"POUDRE FIRE AUTHORITY","93701.6","FIREFIGHTER II - 56 HR/WK"
"INFORMATION TECHNOLOGY","93660.52","INFORMATION SERVICES MANAGER"
"UT WATER SYSTEMS ENGR DIV","93517.87","SPECIAL PROJECTS MANAGER"
"POUDRE FIRE AUTHORITY","93433.36","FIREFIGHTER II - 56 HR/WK"
"PATROL","93398.63","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","93363.27","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","93315.33","FIREFIGHTER 40 HOUR (SPECIAL)"
"INVESTIGATIONS","93286.92","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","93273.5","FIREFIGHTER II - 56 HR/WK"
"UT WATER PRODUCTION DIV","93211.46","WATER TRTMNT PLANT SUPERINTNDT"
"PATROL","93175.34","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","93135.69","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","93130.66","FIREFIGHTER II - 56 HR/WK"
"ELECTRIC FIELD SERVICES","93130.04","ELECTRICAL SERVICES SUPERVISOR"
"POLICE INFORMATION SERVICES","93111.81","POLICE DEPUTY CHIEF"
"POUDRE FIRE AUTHORITY","93089.29","FIREFIGHTER I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","93000.9","DIVISION CHIEF"
"PATROL","92990.09","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","92947.29","FIREFIGHTER II - 56 HR/WK"
"INFORMATION TECHNOLOGY","92940.34","INFORMATION SERVICES MANAGER"
"PATROL","92936.75","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","92928.82","FIRE INSPECT COORD - 56 HR/WK"
"PATROL","92899.11","POLICE OFFICER"
"PATROL","92874.89","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","92844.62","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","92775.42","FIREFIGHTER II - 56 HR/WK"
"INVESTIGATIONS","92764.74","POLICE OFFICER"
"FC MOVES","92431.67","FC MOVES PROGRAM MANAGER"
