"fiscal_year","fund","department","unit","revenue_source","revenue_type","adopted_amount","amended_amount","actual_amount"
"2013","Community Dev Block Grant","Neighborhood Improvement","Housing Program Delivery Costs","Other Miscellaneous Revenues","Miscellaneous Revenues","0","2421.4","2421.4"
"2013","Community Dev Block Grant","Neighborhood Improvement","Block Grant Administration","Transfer From General Fund","Non-Revenues","0","1911.27","1911.27"
"2013","Community Dev Block Grant","Neighborhood Improvement","Housing Program Delivery Costs","Property Rentals","Charges for Services","0","4005","4005"
"2013","Community Dev Block Grant","Neighborhood Improvement","Block Grant Administration","Community Development Blk Grnt","Intergovernmental Revenues","1303371","1303371","2084236.59"
"2013","Community Dev Block Grant","Neighborhood Improvement","2011 Supportive Housing Grant - Mbh","Fed Grant-Physical Environment","Intergovernmental Revenues","201.33","201.33","0"
"2013","Community Redevelopment Agency","Community Redevelopment Agency","Cra - 5Th Ave./Pleasant St.","Trans From 5Th Ave Tif","Non-Revenues","196487","349768.41","349768.41"
"2013","Community Redevelopment Agency","Community Redevelopment Agency","Cra - Eastside District","T/F-Eastside Trust Fund (621)","Non-Revenues","170559","160198","160198.36"
"2013","Community Redevelopment Agency","Community Redevelopment Agency","Cra-Downtown","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-25190"
"2013","Community Redevelopment Agency","Community Redevelopment Agency","Cra-Downtown","Other Miscellaneous Revenues","Miscellaneous Revenues","0","0","10.93"
"2013","Community Redevelopment Agency","Community Redevelopment Agency","Cra - College Park/Univ Height","Transfer From Cp/Uh","Non-Revenues","779987","784917","784917"
"2013","Community Redevelopment Agency","Community Redevelopment Agency","Cra-Downtown","Interest On Investments","Miscellaneous Revenues","0","0","3710.84"
"2013","Community Redevelopment Agency","Community Redevelopment Agency","Cra-Downtown","Transfer-Dwntwn Redev Trust Fd","Non-Revenues","493170","538647","538647"
"2013","Community Redevelopment Agency","Community Redevelopment Agency","Cra-Downtown","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-319"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Downtown Plaza Events","Other Contributions&Donations","Miscellaneous Revenues","6000","6000","0"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Downtown Festival & Art Show","Other Contributions&Donations","Miscellaneous Revenues","18000","18000","19822"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Asian Festival","Ticket Sales-Cultural Services","Charges for Services","12500","12500","0"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Downtown Festival & Art Show","Registration Fee-Cultural Svcs","Charges for Services","75900","75900","70983.16"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Hoggetowne Medieval Faire","Ticket Sales-Cultural Services","Charges for Services","284000","284000","290151.93"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Tench Building","Tench Building Rental","Charges for Services","12000","12000","11194.44"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Hoggetowne Medieval Faire","Other Contributions&Donations","Miscellaneous Revenues","2000","2000","16021.11"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Juried Exhibition","Entry Fees","Charges for Services","0","0","455"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Hoggetowne Medieval Faire","Interest On Investments","Miscellaneous Revenues","0","0","3897.34"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Downtown Plaza Events","Rental Income-Cultural Service","Charges for Services","0","0","4476.5"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Hoggetowne Medieval Faire","Registration Fee-Cultural Svcs","Charges for Services","40112","40112","48299.1"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Jazz Fest","Other Contributions&Donations","Miscellaneous Revenues","7000","7000","0"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Hoggetowne Medieval Faire","Gain/Loss On Investments","Miscellaneous Revenues","6094","6094","-346"
"2013","Cultural Affairs Projects Fund","Parks, Recreation & Cultural Affairs","Hoggetowne Medieval Faire","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-12348"
"2013","Deferred Compensation Trust","Non-Departmental","Trust Funds","Interest On Investments","Miscellaneous Revenues","0","0","8286650.78"
"2013","Deferred Compensation Trust","Non-Departmental","Trust Funds","Rollover 401K/401A Or 457K","Non-Revenues","0","0","2044597.36"
"2013","Deferred Compensation Trust","Non-Departmental","Trust Funds","Employee Contributions","Non-Revenues","0","0","4087231.18"
"2013","Depot Ave Stormwater Park Debt Svc Fund","Non-Departmental","Debt Service","Gain/Loss On Investments","Miscellaneous Revenues","3308","3308","-967"
"2013","Depot Ave Stormwater Park Debt Svc Fund","Non-Departmental","Debt Service","Proceeds Of Long Term Debt","Non-Revenues","0","266552","266551.55"
"2013","Depot Ave Stormwater Park Debt Svc Fund","Non-Departmental","Debt Service","Interest On Investments","Miscellaneous Revenues","0","0","11618.91"
"2013","Depot Ave Stormwater Park Debt Svc Fund","Non-Departmental","Debt Service","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-19393"
"2013","Depot Ave Stormwater Park Debt Svc Fund","Non-Departmental","Debt Service","Trans Fr Stormwater Mgmt.","Non-Revenues","270516","270516","270516"
"2013","Depot Stormwater Park-SRF Loan","Public Works","Environmental Management","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-508"
"2013","Depot Stormwater Park-SRF Loan","Public Works","Environmental Management","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-8586"
"2013","Depot Stormwater Park-SRF Loan","Public Works","Depot Park-Phase 2 Regional Stormwater Treatment System","State Grants - Capital Proj.","Intergovernmental Revenues","989002.5","989002.5","0"
"2013","Depot Stormwater Park-SRF Loan","Public Works","Environmental Management","T/F-Depot Ave Sw Pk Debt Service (229)","Non-Revenues","0","266552","266551.55"
"2013","Depot Stormwater Park-SRF Loan","Public Works","Depot Park Interceptor Project","Loan-Cw State Revolving Fund","Miscellaneous Revenues","60000","60000","0"
"2013","Depot Stormwater Park-SRF Loan","Public Works","Environmental Management","Interest On Investments","Miscellaneous Revenues","0","0","2406.45"
"2013","Disability  Pension Plan","Non-Departmental","Employee Disability-Gru","Gain/Loss On Investments","Miscellaneous Revenues","510000","510000","716031.22"
"2013","Disability  Pension Plan","Non-Departmental","Employee Disability-Gru","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","330861.89"
"2013","Disability  Pension Plan","Non-Departmental","Employee Disability-Gru","Gru Employer Contrib-Retirees","Internal Service Charges","300000","300000","162282.44"
"2013","Disability  Pension Plan","Non-Departmental","Employee Disability-Gru","Gg Employer Contrib - Retirees","Internal Service Charges","200000","200000","116641.21"
"2013","Disability  Pension Plan","Non-Departmental","Employee Disability-Gru","Interest On Investments","Miscellaneous Revenues","125000","125000","119561.2"
"2013","Downtown Pkg Garage-Sales Tax","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","879.21"
"2013","Downtown Pkg Garage-Sales Tax","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-2836"
"2013","Downtown Pkg Garage-Sales Tax","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-71"
"2013","Drop Plan Pension Trust","Non-Departmental","Trust Funds","Interest On Investments","Miscellaneous Revenues","0","0","2306.21"
"2013","Economic Development Fund","Community Redevelopment Agency","Gainesville Technological Incubator","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-13944"
"2013","Economic Development Fund","Community Redevelopment Agency","Gainesville Technological Incubator","Interest On Investments","Miscellaneous Revenues","0","0","2366.66"
"2013","Economic Development Fund","Community Redevelopment Agency","Gainesville Technological Incubator","Other Miscellaneous Revenues","Miscellaneous Revenues","70","70","54.08"
"2013","Economic Development Fund","Community Redevelopment Agency","Gainesville Technological Incubator","Gain/Loss On Investments","Miscellaneous Revenues","1800","1800","-148"
"2013","Economic Development Fund","Community Redevelopment Agency","Gainesville Technological Incubator","Transfer From General Fund","Non-Revenues","50000","50000","50000"
"2013","Economic Development Fund","Community Redevelopment Agency","Gainesville Technological Incubator","Rental Of City Property","Charges for Services","190000","190000","300532.11"
"2013","Employees Health & Accident Fd","Risk Management","Risk Management","Rehab Premiums","Non-Revenues","5150000","8192020","7372167.36"
"2013","Employees Health & Accident Fd","Risk Management","Risk Management","Employee Contributions","Non-Revenues","4619170","4619170","4774294.23"
"2013","Employees Health & Accident Fd","Risk Management","Risk Management","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-434854"
"2013","Employees Health & Accident Fd","Risk Management","Risk Management","Life Insurance Contribution","Non-Revenues","250000","250000","172382.35"
"2013","Employees Health & Accident Fd","Risk Management","Risk Management","Interest On Investments","Miscellaneous Revenues","100000","100000","128471.87"
"2013","Employees Health & Accident Fd","Risk Management","Risk Management","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-14670.77"
"2013","Employees Health & Accident Fd","Risk Management","Risk Management","Employer Contributions","Non-Revenues","11092500","8050480","8182773.76"
"2013","Employees Health & Accident Fd","Risk Management","Risk Management","Other Miscellaneous Revenues","Miscellaneous Revenues","0","0","873852.13"
"2013","Employees Health & Accident Fd","Risk Management","Risk Management","Flex Plan Contributions","Non-Revenues","925000","925000","898687.31"
"2013","Energy Conservation Capital Projects Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-265"
"2013","Energy Conservation Capital Projects Fund","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-5077"
"2013","Energy Conservation Capital Projects Fund","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","3193.48"
"2013","Evergreen Cemetery Exp Trust Fund","Non-Departmental","Trust Funds","Cemetery-Perpetual Care","Charges for Services","8000","8000","3952.95"
"2013","Evergreen Cemetery Exp Trust Fund","Non-Departmental","Trust Funds","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","267888.81"
"2013","Evergreen Cemetery Exp Trust Fund","Non-Departmental","Trust Funds","Interest On Investments","Miscellaneous Revenues","25500","25500","26808.68"
"2013","FAPS Projects-Ffgfc 02","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","1665.36"
"2013","FAPS Projects-Ffgfc 02","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-5664"
"2013","FAPS Projects-Ffgfc 02","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-136"
"2013","Federal Law Enf. Cont.Forfeit.","Police","Joint Aviation Unit","Insurance Recovery","Miscellaneous Revenues","0","0","35607.73"
"2013","Federal Law Enf. Cont.Forfeit.","Police","Office Of The Chief Of Police","Trans Fr Fleet Fund 501","Non-Revenues","0","25956.55","25956.55"
"2013","Federal Law Enf. Cont.Forfeit.","Police","Office Of The Chief Of Police","Interest On Investments","Miscellaneous Revenues","0","0","120541.9"
"2013","Federal Law Enf. Cont.Forfeit.","Police","Office Of The Chief Of Police","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-9940"
"2013","Federal Law Enf. Cont.Forfeit.","Police","Office Of The Chief Of Police","Transfer From General Fund","Non-Revenues","0","2280","2280"
"2013","Federal Law Enf. Cont.Forfeit.","Police","Office Of The Chief Of Police","Federal-Confiscated Property","Fines & Forfeitures","0","0","701671.86"
"2013","Federal Law Enf. Cont.Forfeit.","Police","Gpd Scheduling Software","T/F Arra Grants (112)","Non-Revenues","0","634.36","634.36"
"2013","FFGFC 02 Capital Projects Fund","Community Redevelopment Agency","Old Train Depot Project","Fdot-Lapa Grant","Intergovernmental Revenues","136718.73","136718.73","136718.73"
"2013","FFGFC 02 Capital Projects Fund","Community Redevelopment Agency","Depot Park Tree Mitigation Account","Contributions From Gru","Non-Revenues","3860","3860","0"
"2013","FFGFC 02 Capital Projects Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-2929"
"2013","FFGFC 02 Capital Projects Fund","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","35588.82"
"2013","FFGFC 02 Capital Projects Fund","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-113085"
"2013","FFGFC 05 Capital Projects Fund","Non-Departmental","Capital Projects","T/F -Federal L.E.C.F. (109)","Non-Revenues","1830333.89","1830333.89","1324208.32"
"2013","FFGFC 05 Capital Projects Fund","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","10172.73"
"2013","FFGFC 05 Capital Projects Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-1519"
"2013","FFGFC 05 Capital Projects Fund","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-49490"
"2013","FFGFC of 2005","Non-Departmental","Debt Service","Interest On Investments","Miscellaneous Revenues","0","0","2153.35"
"2013","FFGFC of 2005","Non-Departmental","Debt Service","Gain/Loss On Investments","Miscellaneous Revenues","151","151","-280"
"2013","FFGFC of 2005","Non-Departmental","Debt Service","Trans Fr Stormwater Mgmt.","Non-Revenues","15000","15000","15000"
"2013","FFGFC of 2005","Non-Departmental","Debt Service","Transfer From General Fund","Non-Revenues","411934","411934","411934"
"2013","FFGFC of 2005","Non-Departmental","Debt Service","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-927"
"2013","FFGFC of 2007","Non-Departmental","Debt Service","Interest On Investments","Miscellaneous Revenues","0","0","512.96"
"2013","FFGFC of 2007","Non-Departmental","Debt Service","Transfer From General Fund","Non-Revenues","116605","117873.39","117873.39"
"2013","FFGFC of 2007","Non-Departmental","Debt Service","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-1"
"2013","FFGFC of 2007","Non-Departmental","Debt Service","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-70"
"2013","Fire Assessment","Fire Rescue","Emergency Operations","Fire Assessment","Permits, Fees & Special Assessments","5195403","5156310.55","5156310.55"
"2013","Firefighters Retirement","Non-Departmental","Trust Funds","Broker Refunds","Miscellaneous Revenues","5550","5550","1032.21"
"2013","Firefighters Retirement","Non-Departmental","Trust Funds","Interest On Investments","Miscellaneous Revenues","650000","650000","938406.35"
"2013","Firefighters Retirement","Non-Departmental","Trust Funds","Retiree Drop Pay-Redeposited To Drop Plan","Non-Revenues","0","0","792337.39"
"2013","Firefighters Retirement","Non-Departmental","Trust Funds","Employer Contributions","Non-Revenues","1275000","1275000","1331719.85"
"2013","Firefighters Retirement","Non-Departmental","Trust Funds","Employer Contrib-Ins Premium Tax","Non-Revenues","640000","640000","573439.2"
"2013","Firefighters Retirement","Non-Departmental","Trust Funds","Employee Contributions","Non-Revenues","675000","675000","686919.98"
"2013","Firefighters Retirement","Non-Departmental","Trust Funds","Gain/Loss On Investments","Miscellaneous Revenues","1700000","1700000","2900274.22"
"2013","Firefighters Retirement","Non-Departmental","Trust Funds","Unrealized Gain/Loss","Miscellaneous Revenues","5100000","5100000","7401871.46"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Cost Recovery-Gru/Labor","Internal Service Charges","1009094","1009094","822044.85"
"2013","Fleet Management Services Fund","General Services","Fleet Operations","Proceeds-Scrap Metal Recycling","Miscellaneous Revenues","0","0","1880.34"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Cost Recovery-Gru/Fleet Svc.","Internal Service Charges","0","0","1117.36"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Ge.Govt./Fleet Svcs. Variable","Internal Service Charges","0","0","5237.39"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Other Miscellaneous Revenues","Miscellaneous Revenues","0","0","8639.86"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Interest On Investments","Miscellaneous Revenues","0","0","25617.04"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Cost Recovery-Gru/Parts","Internal Service Charges","535174","535174","621900.1"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Cost Recovery-G.G./Out.Labor","Internal Service Charges","193752","193752","350003.87"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Cost Recovery-Gru/Out. Labor","Internal Service Charges","190000","190000","411736.62"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-93478"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Cost Recovery-Gen.Govt./Parts","Internal Service Charges","657509","657509","588339.47"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Cost Recovery-G.G./Labor","Internal Service Charges","669779","669779","597604.03"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-2848.26"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Cost Recovery-Gen.Govt./Fuel","Internal Service Charges","877960","877960","751113.24"
"2013","Fleet Management Services Fund","General Services","General Services Administration","Cost Recovery-Gru/Fuel","Internal Service Charges","1421370","1421370","1329187.64"
"2013","Fleet Replacement Fund","Budget & Finance Department","Gru-Strategic Planning","Proceeds-Surplus Equip.","Miscellaneous Revenues","0","0","404842.26"
"2013","Fleet Replacement Fund","Fire Rescue","Fixed Assets","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-11521.34"
"2013","Fleet Replacement Fund","General Services","Fixed Assets","Capital Contributions","Non-Revenues","0","0","6221062.97"
"2013","Fleet Replacement Fund","General Services","General Services Administration","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-548622"
"2013","Fleet Replacement Fund","General Services","Fixed Assets","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-27676.52"
"2013","Fleet Replacement Fund","General Services","General Services Administration","Other Miscellaneous Revenues","Miscellaneous Revenues","0","0","2255"
"2013","Fleet Replacement Fund","General Services","General Services Administration","Interest On Investments","Miscellaneous Revenues","0","0","158499.63"
"2013","Fleet Replacement Fund","General Services","General Services Administration","Capital Contributions","Non-Revenues","243029","243029","0"
"2013","Fleet Replacement Fund","General Services","General Services Administration","Gen.Govt./Fleet Svc.Fixed","Internal Service Charges","2580760","2580760","2523730.78"
"2013","Fleet Replacement Fund","General Services","General Services Administration","Gain/Loss On Investments","Miscellaneous Revenues","43586","43586","-16805.63"
"2013","Fleet Replacement Fund","Public Works","Traffic  Operations","T/F-Rts:Campus Dev. Ag. Fund","Non-Revenues","0","292018","0"
"2013","Florida Building Code Enforcement Enterprise Fund","Building Inspection","Building Inspection","Miscellaneous Permits","Permits, Fees & Special Assessments","0","0","-55.25"
"2013","Florida Building Code Enforcement Enterprise Fund","Building Inspection","Building Inspection","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-536.02"
"2013","Florida Building Code Enforcement Enterprise Fund","Building Inspection","Building Inspection","Building Permits","Permits, Fees & Special Assessments","0","0","55.25"
"2013","Florida Building Code Enforcement Enterprise Fund","Building Inspection","Building Inspection","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-255638"
