"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Parts-Motor Equipment","38.39","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Parts-Motor Equipment","29.93","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","1.48","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","O'reilly Automotive Stores Inc","Internal Services","Parts-Motor Equipment","42.3","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","O'reilly Automotive Stores Inc","Internal Services","Parts-Motor Equipment","5.04","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","157.5","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","212.34","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","200.74","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","39.51","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","5.5","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","18","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","131.26","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","48.31","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beard Equipment Company","Internal Services","Parts-Motor Equipment","311.99","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Rev Rtc","Internal Services","Parts-Motor Equipment","2125.46","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Rev Rtc","Internal Services","Parts-Motor Equipment","337.03","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Police Officers Retirement","Non-Departmental","Trust Funds","Acs Human Resources Solutions Inc","Law Enforcement","Actuarial Fees","1331.19","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","90.45","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","-143.75","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","-57.5","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","-143.75","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","101.2","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","17.8","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","135.35","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","1.56","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","94.9","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","135.35","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","22.45","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Tom Nehl Gmc Truck Co","Internal Services","Parts-Motor Equipment","473.25","2016-09-18T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","West Publishing","Legal Counsel","Insurance Public Officials","163.82","2016-09-18T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","West Publishing","Legal Counsel","Insurance Public Officials","858.02","2016-09-18T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","City Of Gainesville","Legal Counsel","Insurance Public Officials","81","2016-09-18T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","City Of Gainesville","Legal Counsel","Insurance Public Officials","19","2016-09-18T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Bio-Cycle Llc","Other General Government","Materials And Supplies","39","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Showcase Advertising Inc","Internal Services","Parts-Motor Equipment","147","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Materials And Supplies","57.06","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","15.4","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Materials And Supplies","6.98","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","13.58","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Hardware - Fleet","14.42","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fastenal Company","Internal Services","Materials And Supplies","13.6","2016-09-18T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","1944","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","990.73","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","27.5","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","-13","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","986.24","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","160","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","41.5","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Raneys Truck Parts Inc","Internal Services","Parts-Motor Equipment","25.93","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Southern Sewer Equipment Sales","Internal Services","Parts-Motor Equipment","54.94","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Southern Sewer Equipment Sales","Internal Services","Parts-Motor Equipment","319.18","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","241.68","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","23.54","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","15.62","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","87.42","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","37.4","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","254.1","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","71.43","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","254.1","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","411.28","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","194.27","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Municipal Products And Service Inc","Internal Services","Parts-Motor Equipment","73.79","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Municipal Products And Service Inc","Internal Services","Parts-Motor Equipment","119","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","O'reilly Automotive Stores Inc","Internal Services","Materials And Supplies","13.74","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Earl W Colvard Inc","Internal Services","Parts-Motor Equipment","622.43","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Earl W Colvard Inc","Internal Services","Parts-Motor Equipment","3855.15","2016-09-25T00:00:00.000","September","12","2016","Payables"
"GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Siemens Financial Services Inc","Other General Government","Principal","7718.5","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Sunbelt Rentals Inc","Flood Control","Materials And Supplies","2770","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Sunbelt Rentals Inc","Flood Control","Materials And Supplies","2770","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Sunbelt Rentals Inc","Flood Control","Materials And Supplies","2056","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Sunbelt Rentals Inc","Flood Control","Materials And Supplies","621.69","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Mosquito Control","Shongaloo Fisheries","Health","Materials And Supplies","300","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Boyd & Son Inc","Flood Control","Materials And Supplies","79","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","12.99","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","V E Whitehurst & Sons Inc","Flood Control","Materials And Supplies","60.19","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Ferguson Enterprises","Flood Control","Materials And Supplies","7646","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Mosquito Control","Clarke Mosquito Control Products Inc","Health","Materials And Supplies","4080","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Street Sweeping Section","Environmental Products Of Florida","Flood Control","Materials And Supplies","3875","2016-09-18T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","13.34","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Mosquito Control","Fl License/tag/asmt","Health","Fleet Service Cost-Variable","120.49","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Environmental Management","Mister Paper Inc.","Flood Control","Materials And Supplies","186.75","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","53.7","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Lowes #02365","Flood Control","Materials And Supplies","5.6","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","82.99","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","B & M Equipment Rental","Flood Control","Materials And Supplies","57.6","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Signs By Tomorrow","Flood Control","Materials And Supplies","92.9","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","20","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Rogers Welding And Repair","Flood Control","Materials And Supplies","400","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Rogers Welding And Repair","Flood Control","Materials And Supplies","1150","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Lewisgoetzco Inc","Flood Control","Materials And Supplies","334.08","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Ferguson Undrdrnd #44","Flood Control","Materials And Supplies","118","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Ferguson Undrdrnd #44","Flood Control","Materials And Supplies","696","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","35.92","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","135.92","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","In  Grovin Farms","Flood Control","Materials And Supplies","819.72","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Thompson's Sod","Flood Control","Materials And Supplies","108.77","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","25.47","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","382.53","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","B & M Equipment Rental","Flood Control","Materials And Supplies","90.58","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Lewisgoetzco Inc","Flood Control","Materials And Supplies","-32.39","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","29.14","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ag Pro Llc","Internal Services","Parts-Motor Equipment","91.57","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Goodyear Tire Rubber Company","Internal Services","Parts-Motor Equipment","319.24","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Goodyear Tire Rubber Company","Internal Services","Parts-Motor Equipment","208.18","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Goodyear Tire Rubber Company","Internal Services","Parts-Motor Equipment","518.84","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Goodyear Tire Rubber Company","Internal Services","Parts-Motor Equipment","762.78","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Goodyear Tire Rubber Company","Internal Services","Parts-Motor Equipment","232.92","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Probilling Funding Service","Internal Services","Parts-Motor Equipment","15.07","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beard Equipment Company","Internal Services","Parts-Motor Equipment","26.77","2016-09-25T00:00:00.000","September","12","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Advanced Tire Service Llc","Internal Services","Parts-Motor Equipment","2130","2016-09-25T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","415.75","2016-09-25T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","604.01","2016-09-25T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","400","2016-09-25T00:00:00.000","September","12","2016","Payables"
"General Insurance Fund","City Attorney","City Attorney","Gainesville Open Mr","Legal Counsel","Insurance Public Officials","53","2016-09-25T00:00:00.000","September","12","2016","Visa"
"General Insurance Fund","City Attorney","City Attorney","Stand Up Mri Of Tallah","Legal Counsel","Insurance Public Officials","146","2016-09-25T00:00:00.000","September","12","2016","Visa"
"General Insurance Fund","City Attorney","City Attorney","A1 Imaging Centers Llc","Legal Counsel","Insurance Public Officials","50","2016-09-25T00:00:00.000","September","12","2016","Visa"
"General Insurance Fund","City Attorney","City Attorney","Office Depot #1165","Legal Counsel","Materials And Supplies","-29.28","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Police Officers Retirement","Non-Departmental","Trust Funds","The Trophy Shop","Law Enforcement","Materials And Supplies","31.85","2016-09-25T00:00:00.000","September","12","2016","Visa"
"The General Fund","City Attorney","City Attorney","The Breakers Hotel","Legal Counsel","Travel & Training","230","2019-08-25T00:00:00.000","August","11","2019","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Administration","Vzwrlss My Vz Vb P","Internal Services","Materials And Supplies","242.85","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Buick Gmc","Internal Services","Parts-Motor Equipment","536.05","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Parts House-9","Internal Services","Parts-Motor Equipment","2378.36","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ring Power H E Service","Internal Services","Parts-Motor Equipment","1492.95","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Administration","Wm Supercenter #538","Internal Services","Materials And Supplies","81.34","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","33.37","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","33.83","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","42.42","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ten-8 Fire Equipment","Internal Services","Parts-Motor Equipment","158.38","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","105.78","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Myers Tire Supply.com","Internal Services","Hardware - Fleet","225.03","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ditch Witch","Internal Services","Parts-Motor Equipment","21.68","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Strate Welding Supply Co","Internal Services","Materials And Supplies","35.11","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","40.8","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","108.92","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ten-8 Fire Equipment","Internal Services","Parts-Motor Equipment","227.2","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Jd Sanders Rv Center","Internal Services","Parts-Motor Equipment","675","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Polaris Of Gainesville","Internal Services","Parts-Motor Equipment","54.99","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Lowes #02365","Flood Control","Materials And Supplies","48.16","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","B & M Equipment Rental","Flood Control","Materials And Supplies","222.45","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","1899-12-31T00:46:17.000","Flood Control","Materials And Supplies","6.29","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","24.85","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Wal-Mart #0538","Flood Control","Materials And Supplies","21.92","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Hd Supply White Cap #222","Flood Control","Materials And Supplies","5.86","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","-4.5","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","In  Grovin Farms","Flood Control","Materials And Supplies","102.47","2016-09-25T00:00:00.000","September","12","2016","Visa"
