"fiscal_year","revenue_source","revenue_type","department","unit","fund","fund_type","adopted_amount","uniqueid"
"2021","Property Tax Inc.-County","Taxes","Gainesville Community Redevelopement Agency","Cra-Operating","Gainesville Community Reinvestment Area","Expendable Trust","0","20210005317906510620t"
"2021","Gcra Building Rental Income - Property Tax","Intergovernmental Revenues","Gainesville Community Redevelopement Agency","Gainesville Community Reinvestment Area (Gcra) Building Rent","Gainesville Community Reinvestment Area","Expendable Trust","0","20212021337907909620t"
"2021","Gcra Building Rental Income - Property Tax","Intergovernmental Revenues","Gainesville Community Redevelopement Agency","Gainesville Community Reinvestment Area (Gcra) Building Rent","Gainesville Community Reinvestment Area","Expendable Trust","0","20212089337907909620t"
"2021","Interest On Investments","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Cra-Operating","Gainesville Community Reinvestment Area","Expendable Trust","0","20216001367906510620t"
"2021","Rental Of City Property","Charges For Services","Gainesville Community Redevelopement Agency","Cra-Operating","Gainesville Community Reinvestment Area","Expendable Trust","0","20216201347906510620t"
"2021","Rental Of City Property","Charges For Services","Gainesville Community Redevelopement Agency","Gainesville Community Reinvestment Area (Gcra) Building Rent","Gainesville Community Reinvestment Area","Expendable Trust","0","20216201347907909620t"
"2021","Transfer-Dwntwn Redev Trust Fd (610)","Non-Revenues","Gainesville Community Redevelopement Agency","Cra-Operating","Gainesville Community Reinvestment Area","Expendable Trust","0","20217410387906510620t"
"2021","Trans From 5th Ave Tif (613)","Non-Revenues","Gainesville Community Redevelopement Agency","Cra-Operating","Gainesville Community Reinvestment Area","Expendable Trust","0","20217411387906510620t"
"2021","Transfer From Cp/uh","Non-Revenues","Gainesville Community Redevelopement Agency","Cra-Operating","Gainesville Community Reinvestment Area","Expendable Trust","0","20217454387906510620t"
"2021","T/f-Eastside Trust Fund (621)","Non-Revenues","Gainesville Community Redevelopement Agency","Cra-Operating","Gainesville Community Reinvestment Area","Expendable Trust","0","20217466387906510620t"
"2021","Property Tax Inc.-County","Taxes","Gainesville Community Redevelopement Agency","Cra - Eastside District","Tax Increment - Eastside","Expendable Trust","0","20210005317906570621t"
"2021","Document Reprod. Fees","Charges For Services","Gainesville Community Redevelopement Agency","Cra - Eastside District","Tax Increment - Eastside","Expendable Trust","0","20213405347906570621t"
"2021","Interest On Investments","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Cra - Eastside District","Tax Increment - Eastside","Expendable Trust","0","20216001367906570621t"
"2021","Gain/loss On Investments","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Cra - Eastside District","Tax Increment - Eastside","Expendable Trust","0","20216006367906570621t"
"2021","Rental Of City Property","Charges For Services","Gainesville Community Redevelopement Agency","Cra - Eastside District","Tax Increment - Eastside","Expendable Trust","0","20216201347906570621t"
"2021","Rental Of City Property","Charges For Services","Gainesville Community Redevelopement Agency","Hawthorne Road Cafe","Tax Increment - Eastside","Expendable Trust","0","2021620134790w923621t"
"2021","General Pension-Indirect Services","Charges For Services","Budget & Finance Department","Budget","The General Fund","The General Fund","56604.45","20214920347707785001g"
"2021","Police Pension-Indirect Services","Charges For Services","Budget & Finance Department","Budget","The General Fund","The General Fund","49900.2","20214921347707785001g"
"2021","Fire Pension-Indirect Services","Charges For Services","Budget & Finance Department","Budget","The General Fund","The General Fund","42150.15","20214922347707785001g"
"2021","Interest On Investments","Miscellaneous Revenues","Budget & Finance Department","Treasury","The General Fund","The General Fund","428432","20216001367707770001g"
"2021","Rental Of City Property","Charges For Services","Budget & Finance Department","Treasury","The General Fund","The General Fund","49554.11","20216201347707770001g"
"2021","Rental Lease-Catalyst","Miscellaneous Revenues","Budget & Finance Department","Treasury","The General Fund","The General Fund","228903","20216210367707770001g"
"2021","Proceeds-Surplus Equip.","Miscellaneous Revenues","Budget & Finance Department","Treasury","The General Fund","The General Fund","10101","20216801367707770001g"
"2021","Other Miscellaneous Revenues","Miscellaneous Revenues","Budget & Finance Department","Treasury","The General Fund","The General Fund","83046.64","20217201367707770001g"
"2021","Trans-From Misc. Special Rev (123)","Non-Revenues","Budget & Finance Department","Accounting","The General Fund","The General Fund","400000","20217401387707780001g"
"2021","Trans-From School X Grds. Trt.","Non-Revenues","Budget & Finance Department","Accounting","The General Fund","The General Fund","40000","20217403387707780001g"
"2021","Trans-From Evergreen Cemetery","Non-Revenues","Budget & Finance Department","Accounting","The General Fund","The General Fund","160000","20217406387707780001g"
"2021","Trans From Solid Waste (420)","Non-Revenues","Budget & Finance Department","Accounting","The General Fund","The General Fund","300000","20217420387707780001g"
"2021","Transfer From Rts (450)","Non-Revenues","Budget & Finance Department","Accounting","The General Fund","The General Fund","99999","20217423387707780001g"
"2021","Trans-From Cra 620","Non-Revenues","Budget & Finance Department","Accounting","The General Fund","The General Fund","72568.75","20217450387707780001g"
"2021","T/f-Logt Cpf(341)","Non-Revenues","Budget & Finance Department","Accounting","The General Fund","The General Fund","233637.35","20217511387707780001g"
"2021","T/f Ironwood Surcharge Fund (418)","Non-Revenues","Budget & Finance Department","Accounting","The General Fund","The General Fund","19976.75","20217515387707780001g"
"2021","General Fund Transfer From Gru","Non-Revenues","Budget & Finance Department","Accounting","The General Fund","The General Fund","38285013","20217600387707780001g"
"2021","Insurance Tax Revenue","Non-Revenues","Budget & Finance Department","Treasury","The General Fund","The General Fund","1265357","20218212387707770001g"
"2021","Rental Of City Property","Charges For Services","Budget & Finance Department","Rad Women's","Misc. Special Revenues","Special Revenue Funds","250000","2021620134770g296123r"
"2021","Local Option Gas Tax-Add 5 Cents","Taxes","Budget & Finance Department","Budget","Additional 5 Cents Logt Capital Projects Fund","Capital Projects Funds","1900860","20210204317707785341c"
"2021","Registration Fees","Charges For Services","Equity & Inclusion","Equal Opportunity","The General Fund","The General Fund","5999","20214670347807810001g"
"2021","Transfer From General Fund (001)","Non-Revenues","Gainesville Community Redevelopement Agency","Gainesville Technological Incubator","Economic Development Fund","Special Revenue Funds","12000","20217408387906560114r"
"2021","County Contribution","Intergovernmental Revenues","Gainesville Community Redevelopement Agency","Cra-Operating","Gainesville Community Reinvestment Area","Expendable Trust","4091460.39","20212804337906510620t"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Regional Transit System","Butler Plaza, Pod C, Pet #Db-15-35 Spl","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034680vm37116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Regional Transit System","The Starr Apartments Development (Pet #Db-14-118 Spl)","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034680vt57116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Regional Transit System","The Standard (Pet #Db-13-112 Spl)","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034680vt58116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Regional Transit System","The Retreat (Pet #Db-15-5 Spl)","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034680vt59116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Regional Transit System","Gainesville Ridge, Pet #Db-15-46 Spl","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034680vt60116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Regional Transit System","Woodbury Row Phase 3, Pet #Db-16-127 Spa","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034680vt69116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Regional Transit System","The Hub On Campus, Pet #Pb-17-60 Sup","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034680vt71116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Regional Transit System","Integra Twenty Four, Pet #Db-17-72","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034680vt79116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Public Works","Rc, Mob, Phase V - Building 8b (Pet #Ad-14-141, Spl)","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034800p322116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Public Works","Comfort Temp, Pet #Ad-15-11 Spa","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034800p323116r"
"2021","Trans Concurrency Dev. Fees","Charges For Services","Public Works","Gainesville Ridge, Pet #Db-15-46 Spl","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406034800vm81116r"
"2021","Transportation Mobility Program Area Fees (Tmpa)","Charges For Services","Public Works","Fairfield Inns And Suites Hotel, Pet #Pb-16-39 Sup","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406534800c019116r"
"2021","Transportation Mobility Program Area Fees (Tmpa)","Charges For Services","Public Works","Serenola Manor Apartments, Pet #Db-16-48 Spl","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406534800c410116r"
"2021","Transportation Mobility Program Area Fees (Tmpa)","Charges For Services","Transportation & Mobility","Pet Db-19-00027 Walker Furniture Building Addition","Trans. Concurrency Exc. Area","Special Revenue Funds","0","2021406534805c205116r"
"2021","Local Option Gas Tax","Taxes","Regional Transit System","Fdot Section 5310 (Fain #Fl-2018-120-00) Snr/disabled Asst.","Regional Transit System Fund","Enterprise Funds","0","2021020131680uj01450e"
"2021","Local Option Gas Tax","Taxes","Regional Transit System","Fdot Section 5311 Jpa (Contr #G1712) - Rural Paratransit","Regional Transit System Fund","Enterprise Funds","0","2021020131680uj02450e"
"2021","Local Option Gas Tax","Taxes","Regional Transit System","Fy20 Uafg 5307 Grant-Oa-Fl-2019-091-00","Regional Transit System Fund","Enterprise Funds","0","2021020131680uk07450e"
"2021","Local Option Gas Tax","Taxes","Regional Transit System","Fy20 5310 Grant #G1l19 Senior/disabled Assistance","Regional Transit System Fund","Enterprise Funds","0","2021020131680uk20450e"
"2021","Local Option Gas Tax","Taxes","Regional Transit System","Fy20 5311 Grant #G1l18 Senior/disabled Assistance","Regional Transit System Fund","Enterprise Funds","0","2021020131680uk21450e"
"2021","Local Option Gas Tax","Taxes","Regional Transit System","Fy20 Fdot Section 5311 Cares Act Emergency Funding (G1m45)","Regional Transit System Fund","Enterprise Funds","0","2021020131680uk34450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef: Acquire Shop Equipment - Fy2012 Uafg (Fl-90-X798-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ue41450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef: Acquire Mob Surv/security - Fy2012 Uafg (Fl-90-X798-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ue42450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Bus - Replc 40ft Bus - Fy2017 Uafg (Fl-2018-009-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui02450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Bus - Route Signing - Fy2017 Uafg (Fl-2018-009-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui03450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Bus - Passenger Shelters - Fy2017 Uafg (Fl-2018-009-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui04450e"
"2021","Other Contributions&donations","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Sponsorship Of Triathlon","Tax Increment - Eastside","Expendable Trust","0","2021700236790w930621t"
"2021","Transfer From General Fund (001)","Non-Revenues","Gainesville Community Redevelopement Agency","Cra - Eastside District","Tax Increment - Eastside","Expendable Trust","0","20217408387906570621t"
"2021","T/f-Eastside Trust Fund (621)","Non-Revenues","Gainesville Community Redevelopement Agency","Cra - Eastside District","Tax Increment - Eastside","Expendable Trust","0","20217466387906570621t"
"2021","T/f-Ffgfc Of 05 (230)","Non-Revenues","Gainesville Community Redevelopement Agency","Cra - Eastside District","Tax Increment - Eastside","Expendable Trust","0","20217471387906570621t"
"2021","Gain/loss:disposition Of F/a","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Fixed Assets","General Fixed Assets Group","Gen Fixed Asset Group","0","20216610367906599901f"
"2021","Gain/loss:disposition Of F/a","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Fixed Assets","General Fixed Assets Group","Gen Fixed Asset Group","0","20216610367907998901f"
"2021","Gain/loss:disposition Of F/a","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Fixed Assets","General Fixed Assets Group","Gen Fixed Asset Group","0","20216610367907999901f"
"2021","Capital Contributions","Non-Revenues","Gainesville Community Redevelopement Agency","Fixed Assets","General Fixed Assets Group","Gen Fixed Asset Group","0","20218700387906599901f"
"2021","Fdot-Traffic Signal Maint","Intergovernmental Revenues","Public Works","Gis Services","The General Fund","The General Fund","0","20212411338008059001g"
"2021","Fdot-St Light Maint Agrmnt","Intergovernmental Revenues","Public Works","Gis Services","The General Fund","The General Fund","0","20212414338008059001g"
"2021","Document Reprod. Fees","Charges For Services","Public Works","Pw Administrative Services","The General Fund","The General Fund","0","20213405348008010001g"
"2021","Football Game Day Services-Uaa","Charges For Services","Public Works","Pw Administrative Services","The General Fund","The General Fund","0","20213420348008010001g"
"2021","Traffic Signal Contract-County","Charges For Services","Public Works","Gis Services","The General Fund","The General Fund","0","20213603348008059001g"
"2021","Other Street Proj.-Labor","Charges For Services","Public Works","Streets Special Projects","The General Fund","The General Fund","0","20214002348008027001g"
"2021","Other St Prj.-Materials Reimb.","Charges For Services","Public Works","Streets Special Projects","The General Fund","The General Fund","0","20214016348008027001g"
"2021","Traffic Eng Projects Reimb.","Charges For Services","Public Works","Traffic Signs And Markings","The General Fund","The General Fund","0","20214045348008053001g"
"2021","Traffic Eng Projects Reimb.","Charges For Services","Public Works","Gis Services","The General Fund","The General Fund","0","20214045348008059001g"
"2021","Traffic Review Fees","Charges For Services","Public Works","Traffic Signs And Markings","The General Fund","The General Fund","0","20214061348008053001g"
"2021","Traffic Review Fees","Charges For Services","Public Works","Gis Services","The General Fund","The General Fund","0","20214061348008059001g"
"2021","Development Review Fees","Charges For Services","Public Works","Engineering Services","The General Fund","The General Fund","0","20214062348008019001g"
"2021","Row Fees (Cst)","Charges For Services","Public Works","Row Utility/obstruction Permitting","The General Fund","The General Fund","0","20214067348008085001g"
"2021","Proceeds-Sale Of Surplus Land","Miscellaneous Revenues","Public Works","Pw Administrative Services","The General Fund","The General Fund","0","20216601368008010001g"
"2021","Proceeds-Surplus Equip.","Miscellaneous Revenues","Public Works","Operations-Maintenance/construct.","The General Fund","The General Fund","0","20216801368008021001g"
"2021","Other Miscellaneous Revenues","Miscellaneous Revenues","Public Works","Engineering Services","The General Fund","The General Fund","0","20217201368008019001g"
"2021","Other Miscellaneous Revenues","Miscellaneous Revenues","Public Works","Operations-Maintenance/construct.","The General Fund","The General Fund","0","20217201368008021001g"
"2021","Other Miscellaneous Revenues","Miscellaneous Revenues","Public Works","Traffic Signs And Markings","The General Fund","The General Fund","0","20217201368008053001g"
"2021","Other Miscellaneous Revenues","Miscellaneous Revenues","Public Works","Gis Services","The General Fund","The General Fund","0","20217201368008059001g"
"2021","Banner Revenue","Miscellaneous Revenues","Public Works","Gis Services","The General Fund","The General Fund","0","20217216368008059001g"
"2021","Insurance Recovery","Miscellaneous Revenues","Public Works","Operations-Maintenance/construct.","The General Fund","The General Fund","0","20217275368008021001g"
"2021","Transfer From General Fund (001)","Non-Revenues","Gainesville Community Redevelopement Agency","Cra-Operating","Gainesville Community Reinvestment Area","Expendable Trust","3325657.89","20217408387906510620t"
"2021","Fdot-St Light Maint Agrmnt","Intergovernmental Revenues","Public Works","Transportation & Strategic  Planning","The General Fund","The General Fund","654150","20212414338008050001g"
"2021","Environmental Review Fees","Charges For Services","Public Works","Environmental Services/review","The General Fund","The General Fund","1102","20214063348008018001g"
"2021","Row Fees (Cst)","Charges For Services","Public Works","Engineering Services","The General Fund","The General Fund","71742","20214067348008019001g"
"2021","Interest On Special Assessment","Miscellaneous Revenues","Public Works","Pw Administrative Services","Street,sidewalk&ditch Imp.","Special Revenue Funds","400","20216004368008010113r"
"2021","Gain/loss On Investments","Miscellaneous Revenues","Public Works","Pw Administrative Services","Street,sidewalk&ditch Imp.","Special Revenue Funds","2000","20216006368008010113r"
"2021","Special Assessments","Miscellaneous Revenues","Public Works","Pw Administrative Services","Street,sidewalk&ditch Imp.","Special Revenue Funds","1000","20216401368008010113r"
"2021","Interest On Investments","Miscellaneous Revenues","Public Works","Pw Administrative Services","Trans. Concurrency Exc. Area","Special Revenue Funds","35000","20216001368008010116r"
"2021","Tree Mitigation Revenue","Permits, Fees & Special Assessments","Public Works","Tree Mitigation","Tree Mitigation Fund","Special Revenue Funds","32129.46","2021320232800i500140r"
"2021","Transfer From General Fund (001)","Non-Revenues","Public Works","Sidewalk Construction","General Capital Projects Fund","Capital Projects Funds","100000","2021740838800m187302c"
"2021","Transfer From General Fund (001)","Non-Revenues","Public Works","New Roadway Resurfacing Program","Roadway Resurfacing Program (Rrp) Fund","Capital Projects Funds","642554","2021740838800r401353c"
"2021","Trans From Solid Waste (420)","Non-Revenues","Public Works","New Roadway Resurfacing Program","Roadway Resurfacing Program (Rrp) Fund","Capital Projects Funds","1429515","2021742038800r401353c"
"2021","Stormwater Mgmt.fees","Charges For Services","Public Works","Pw Administrative Services","Stormwater Management Utility","Enterprise Funds","7327549","20213830348008010413e"
"2021","Other Miscellaneous Revenues","Miscellaneous Revenues","Public Works","Pw Administrative Services","Stormwater Management Utility","Enterprise Funds","5990","20217201368008010413e"
"2021","Stormwater Mgmt.fees","Charges For Services","Public Works","Pw Administrative Services","Stormwater Management Surcharge Capital Projects Fund","Enterprise Funds","1248660","20213830348008010414e"
"2021","Interest On Investments","Miscellaneous Revenues","Public Works","Pw Administrative Services","Stormwater Management Surcharge Capital Projects Fund","Enterprise Funds","150000","20216001368008010414e"
"2021","Franchise Fees-Solid Waste","Taxes","Public Works","Refuse Collection","Solid Waste Enterprise Fund","Enterprise Funds","1128489","20210404318008080420e"
"2021","Sale Of Garbage Bags","Charges For Services","Public Works","Refuse Collection","Solid Waste Enterprise Fund","Enterprise Funds","90000","20213418348008080420e"
"2021","Football Game Day Services-Uaa","Charges For Services","Public Works","Refuse Collection","Solid Waste Enterprise Fund","Enterprise Funds","27000","20213420348008080420e"
"2021","Refuse Collections","Charges For Services","Public Works","Refuse Collection","Solid Waste Enterprise Fund","Enterprise Funds","8870937","20213810348008080420e"
"2021","Recycling","Charges For Services","Public Works","Refuse Collection","Solid Waste Enterprise Fund","Enterprise Funds","60000","20213811348008080420e"
"2021","Gain/loss On Investments","Miscellaneous Revenues","Public Works","Refuse Collection","Solid Waste Enterprise Fund","Enterprise Funds","70000","20216006368008080420e"
"2021","Transfer From General Fund (001)","Non-Revenues","Public Works","Refuse Collection","Solid Waste Enterprise Fund","Enterprise Funds","6400","20217408388008080420e"
"2021","Fdot-Traffic Signal Maint","Intergovernmental Revenues","Transportation & Mobility","Traffic Signals","The General Fund","The General Fund","751209","20212411338058051001g"
"2021","Contribution From Mtpo","Intergovernmental Revenues","Transportation & Mobility","Community Bike Program","The General Fund","The General Fund","14464","20212813338058054001g"
"2021","Traffic Signal Contract-County","Charges For Services","Transportation & Mobility","Traffic Signals","The General Fund","The General Fund","244874","20213603348058051001g"
"2021","Parking Meter & Smart Card","Charges For Services","Transportation & Mobility","Parking Garage","The General Fund","The General Fund","163142","20214001348058056001g"
"2021","Parking Decals & Permits","Charges For Services","Transportation & Mobility","Parking Garage","The General Fund","The General Fund","3870.28","20214003348058056001g"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Adp Hardware - Fy2017 Uafg (Fl-2018-009-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui05450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Misc Support Equipment - Fy2017 Uafg (Fl-2018-009-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui08450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Oci - Preventative Maint. - Fy2017 Uafg (Fl-2018-009-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui10450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Bus - Replc 40ft Bus - Fy2018 Uafg (Fl-2018-032-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui14450e"
"2021","T/f-Tcea Fund (116)","Non-Revenues","Public Works","Cigp - Sw 40th, Sw 34th To Archer","Misc. Grants Fund","Special Revenue Funds","0","2021747338800x761115r"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Bus - Replacement Van - Fy2018 Uafg (Fl-2018-032-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui15450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Bus - Service Van - Fy2018 Uafg (Fl-2018-032-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui16450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Misc Support Equipment - Fy2018 Uafg (Fl-2018-032-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui18450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sce - Radios - Fy2018 Uafg (Fl-2018-032-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui19450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Bus - Passenger Shelters - Fy2018 Uafg (Fl-2018-094-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui22450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Adp Hardware - Fy2018 Uafg (Fl-2018-094-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui23450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Adp Software - Fy2018 Uafg (Fl-2018-094-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui24450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Mob Surv/security - Fy2018 Uafg (Fl-2018-094-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui25450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Support Vehicles - Fy2018 Uafg (Fl-2018-094-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui26450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Misc Support Equipment - Fy2018 Uafg (Fl-2018-094-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui27450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sce - Radios - Fy2018 Uafg (Fl-2018-094-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui28450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Mp  - Metro Planning - Fy2018 Uafg (Fl-2018-094-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui30450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Bus - Van For Svc Expansion - Fy2015 Suaca (Fl-2018-073-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui89450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Adp Hardware - Fy2015 Suaca (Fl-2018-073-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui90450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sef - Adp Software - Fy2015 Suaca (Fl-2018-073-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui91450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Sce - Radios - Fy2015 Suaca (Fl-2018-073-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680ui92450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Fy20 Fta 5339(c) Lo/no Emission-Rs Fl-2019-089-00","Regional Transit System Fund","Enterprise Funds","0","2021160233680uk01450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Fy20 Fta 5339(c) Lo/no Emission Oci (Fl-2019-089-00)","Regional Transit System Fund","Enterprise Funds","0","2021160233680uk02450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Fy20 Uafg 5307 Grant-Rs-Fl-2019-091-00","Regional Transit System Fund","Enterprise Funds","0","2021160233680uk03450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Fy20 Uafg 5307 Grant-S/s/t-Fl-2019-091-00","Regional Transit System Fund","Enterprise Funds","0","2021160233680uk04450e"
"2021","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Fy20 Uafg 5307 Grant-Sef (Adp Hardware)-Fl-2019-091-00","Regional Transit System Fund","Enterprise Funds","0","2021160233680uk05450e"
"2021","Insurance Recovery","Miscellaneous Revenues","Public Works","Traffic Signs And Markings","The General Fund","The General Fund","0","20217275368008053001g"
"2021","T/f Fy2019 Proposed Bond (360)","Non-Revenues","Public Works","Right Of Way Maintenance","The General Fund","The General Fund","0","20217440388008028001g"
"2021","Transfer From Greenspace","Non-Revenues","Public Works","Right Of Way Maintenance","The General Fund","The General Fund","0","20217445388008028001g"
"2021","Interest On Investments","Miscellaneous Revenues","Public Works","Pw Administrative Services","Street,sidewalk&ditch Imp.","Special Revenue Funds","0","20216001368008010113r"
