"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Lift U Division Of Hogan Manufacturing Inc","Transit Systems","Inventory Purchases","860.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gillig Corporation","Transit Systems","Inventory Purchases","1058.16","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","Utilities-Elect,Sewer,Water","1176.86","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","Utilities-Elect,Sewer,Water","1176.86","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Precision Transmission Inc","Transit Systems","Inventory Purchases","1204.35","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Fleet Net Corporation","Transit Systems","Other Contractual Services","1320.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Lift U Division Of Hogan Manufacturing Inc","Transit Systems","Inventory Purchases","1454.91","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Randall Industries","Transit Systems","Inventory Purchases","1485.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Prevost Car (Us) Inc","Transit Systems","Inventory Purchases","2155.94","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","Utilities-Elect,Sewer,Water","2257.51","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Heavy Duty Lift & Equipment Inc","Transit Systems","Inventory Purchases","2260.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gillig Corporation","Transit Systems","Inventory Purchases","2357.79","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gillig Corporation","Transit Systems","Inventory Purchases","2828.22","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Dales Tire Inc","Transit Systems","Tires And Tubes","6495.60","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Cei Group Inc","Transit Systems","Collision Expense","7801.80","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Dales Tire Inc","Transit Systems","Tires And Tubes","8660.80","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","T.R.S. Access Charge","9631.95","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Gainesville Regional Utilities","Transit Systems","Utilities-Elect,Sewer,Water","10328.55","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Solid Waste Enterprise Fund","Public Works","Refuse Collection","Copyfax Of Gainesville Inc","Garbage/Solid Waste Disposal","Printing And Binding","92.60","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Solid Waste Enterprise Fund","Public Works","Refuse Collection","Cellco Partnership","Garbage/Solid Waste Disposal","Telephone","200.23","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Cellco Partnership","Flood Control","Telephone","43.56","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","98.40","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Environmental Systems Research Institute Inc","Flood Control","Professional Services","116.50","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Other Contractual Services","418.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Other Contractual Services","497.42","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Other Contractual Services","551.76","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Frederick D Smith","Flood Control","External Legal Services","1937.50","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ec Driver & Associates Inc","Flood Control","Professional Services","2349.09","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Paynes Prairie Sheetflow Restoration","First American Title Insurance Company","Flood Control","Land And Land Improvements","15546.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Budget & Finance Department","Budget and Finance - Administration","Bloomberg Finance Lp","Financial & Administrative","Other Contractual Services","5925.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","General Services","General Services Administration","Copyfax Of Gainesville Inc","Other General Government","Other Contractual Services","46.29","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Non-Departmental","Alachua Co Street Light Trans","Alachua County Board Of County Commissioners","Road & Street Facilities","Other Contractual Services","77902.02","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Parks, Recreation & Cultural Affairs Administration","Clay Electric Cooperative Inc","Parks & Recreation","Utilities-Elect,Sewer,Water","14.91","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Aquatics","Sams Club Direct","Parks & Recreation","Materials And Supplies","27.72","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Parks, Recreation & Cultural Affairs Administration","Sams Club Direct","Parks & Recreation","Materials And Supplies","28.94","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Cultural Operations","Sams Club Direct","Cultural Services","Materials And Supplies","33.02","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Nature Operations","Gainesville Regional Utilities","Special Recreation Facilities","Utilities-Elect,Sewer,Water","45.79","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Aquatics","Sams Club Direct","Parks & Recreation","Materials And Supplies","98.38","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Facilities","Cristiane Machado","Parks & Recreation","Other Contractual Services","120.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Facilities","Sams Club Direct","Parks & Recreation","Materials And Supplies","120.04","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Facilities","Sams Club Direct","Parks & Recreation","Materials And Supplies","140.43","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Nature Operations","Gainesville Regional Utilities","Special Recreation Facilities","Utilities-Elect,Sewer,Water","333.89","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Cultural Operations","Mary S Staples","Cultural Services","Other Contractual Services","504.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Sports","Gainesville Regional Utilities","Parks & Recreation","Utilities-Elect,Sewer,Water","560.65","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Sports","Gainesville Regional Utilities","Parks & Recreation","Utilities-Elect,Sewer,Water","1107.75","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Visual Arts & Interpret Prg","Mallory Oconnor","Cultural Services","Other Contractual Services","3000.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Parks, Recreation & Cultural Affairs","Facilities","Gator Coin-Op Inc","Parks & Recreation","Materials And Supplies","10285.35","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Police","Community Resource Div.","Black On Black Crime Task Force","Law Enforcement","Other Contractual Services","78.52","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Police","Community Resource Div.","Black On Black Crime Task Force","Law Enforcement","Other Contractual Services","78.52","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Police","Community Resource Div.","Sherry Estes","Law Enforcement","Materials And Supplies","375.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Police","Community Resource Div.","Monique Bergeron","Law Enforcement","Other Contractual Services","500.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Police","Community Resource Div.","Anthony Gratto","Law Enforcement","Other Contractual Services","704.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Police","Community Resource Div.","Monique Bergeron","Law Enforcement","Other Contractual Services","850.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Police","Community Resource Div.","Monique Bergeron","Law Enforcement","Other Contractual Services","1000.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Police","Community Resource Div.","Monique Bergeron","Law Enforcement","Other Contractual Services","1025.00","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Transportation Planning","Cellco Partnership","Road & Street Facilities","Telephone","8.24","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Transportation Planning","Cellco Partnership","Road & Street Facilities","Telephone","8.24","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Traffic  Operations","Copyfax Of Gainesville Inc","Road & Street Facilities","Printing And Binding","23.15","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Engineering Services","Copyfax Of Gainesville Inc","Road & Street Facilities","Printing And Binding","23.15","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","PW Administrative Services","Cellco Partnership","Road & Street Facilities","Telephone","49.90","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Traffic  Operations","Cellco Partnership","Road & Street Facilities","Telephone","53.77","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Transportation Planning","Cellco Partnership","Road & Street Facilities","Telephone","65.92","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Traffic Management System","Cellco Partnership","Road & Street Facilities","Telephone","76.02","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Operations-Support Services","Cellco Partnership","Road & Street Facilities","Telephone","80.17","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Engineering Services","Ricoh Americas Corporation","Road & Street Facilities","Printing And Binding","98.40","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Transportation Planning","Ricoh Americas Corporation","Road & Street Facilities","Printing And Binding","98.40","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Transportation Planning","Environmental Systems Research Institute Inc","Road & Street Facilities","Professional Services","116.50","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Traffic Management System","Environmental Systems Research Institute Inc","Road & Street Facilities","Professional Services","116.50","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Engineering Services","Cellco Partnership","Road & Street Facilities","Telephone","118.09","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Engineering Services","Temp Force Inc","Road & Street Facilities","Other Contractual Services","167.20","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Engineering Services","Temp Force Inc","Road & Street Facilities","Other Contractual Services","192.28","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Engineering Services","Temp Force Inc","Road & Street Facilities","Other Contractual Services","217.36","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","PW Administrative Services","Temp Force Inc","Road & Street Facilities","Other Contractual Services","250.80","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Traffic  Operations","Temp Force Inc","Road & Street Facilities","Manpower Services(Temp Help)","271.48","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","PW Administrative Services","Temp Force Inc","Road & Street Facilities","Other Contractual Services","305.14","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","PW Administrative Services","Temp Force Inc","Road & Street Facilities","Other Contractual Services","334.40","2011-10-09T00:00:00.000","October","1","2012","Payables"
"The General Fund","Public Works","Traffic  Operations","Temp Force Inc","Road & Street Facilities","Manpower Services(Temp Help)","493.60","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Wild Spaces Public Places 1/2 c. Sales Tax-Land Acquisition","Parks, Recreation & Cultural Affairs","FL Title Property Acquistion","Salter, Feiber, Yenser, Murphy And Hutson Pa","Parks & Recreation","Land And Land Improvements","426593.58","2011-10-09T00:00:00.000","October","1","2012","Payables"
"Police Officers Retirement","Non-Departmental","Trust Funds","Vantagepoint Transfer Agents 457","Law Enforcement","DROP Interest Distribution/Rollover","1966.57","2011-10-10T00:00:00.000","October","1","2012","Payables"
"Police Officers Retirement","Non-Departmental","Trust Funds","Vantagepoint Transfer Agents 457","Law Enforcement","DROP Interest Distribution/Rollover","5106.60","2011-10-10T00:00:00.000","October","1","2012","Payables"
"Police Officers Retirement","Non-Departmental","Trust Funds","Vantagepoint Transfer Agents 457","Law Enforcement","DROP Principal Distribution/Rollover","64807.40","2011-10-10T00:00:00.000","October","1","2012","Payables"
"Police Officers Retirement","Non-Departmental","Trust Funds","Vantagepoint Transfer Agents 457","Law Enforcement","DROP Principal Distribution/Rollover","114081.60","2011-10-10T00:00:00.000","October","1","2012","Payables"
"39th Ave. Garage Expansion","General Services","Centralized Garage","Advanced Reprographics, Inc.","Other General Government","Improvements Other Than Bldg","14.25","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Art In Public Places","Parks, Recreation & Cultural Affairs","Art In Public Places Projects","Laura A Namm-Nesmith","Cultural Services","Professional Services","5040.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"CIRB of 2005-CIP Fund","Police","GPD-Headquarters Annex Project","Mobile Mini Inc","Law Enforcement","Other Contractual Services","291.66","2011-10-16T00:00:00.000","October","1","2012","Payables"
"CIRB of 2005-CIP Fund","Police","GPD-Headquarters Annex Project","Mobile Mini Inc","Law Enforcement","Other Contractual Services","665.75","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Housing Program Delivery Costs","Equidata Inc","Housing & Urban Development","Other Contractual Services","63.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Relocation Payment/ Assistance","Shirley Hubbard","Housing & Urban Development","Other Contractual Services","100.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Block Grant Administration","Konica Minolta Business Solutions","Other Economic Environment","Rental-Equipment","318.01","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Relocation Payment/ Assistance","Patrick Mitchell Landscaping Inc","Housing & Urban Development","Other Contractual Services","336.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Rehab Loans & Grants","American Management Resources Corporation","Housing & Urban Development","Other Contractual Services","350.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Pleasant Place","Pleasant Place Inc","Other Human Services","Other Grants And Aids","833.33","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Pleasant Place","Pleasant Place Inc","Other Human Services","Other Grants And Aids","833.33","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Pleasant Place","Pleasant Place Inc","Other Human Services","Other Grants And Aids","833.33","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Pleasant Place","Pleasant Place Inc","Other Human Services","Other Grants And Aids","833.33","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Bread of the Mighty Food Bank-Kids Cafe Prg","Bread Of The Mighty Food Bank Inc","Housing & Urban Development","Other Grants And Aids","1240.72","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Neighborhood Improvement","Bread of the Mighty Food Bank","Bread Of The Mighty Food Bank Inc","Other Human Services","Other Grants And Aids","2500.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Public Works","Duval Neighborhood Project","Vulcan Materials Company","Other Human Services","Materials And Supplies","74.50","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Public Works","Duval Neighborhood Project","Vulcan Materials Company","Other Human Services","Materials And Supplies","186.25","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Community Dev Block Grant","Public Works","Duval Neighborhood Project","Vulcan Materials Company","Other Human Services","Materials And Supplies","260.75","2011-10-16T00:00:00.000","October","1","2012","Payables"
