"fiscal_year","revenue_source","revenue_type","department","unit","fund","fund_type","proposed_amount","adopted_amount","amended_amount","actual_amount","unique_id"
"2011","Document Reprod. Fees","Charges for Services","Budget & Finance Department","Purchasing","The General Fund","The General Fund",,"0","0","552.91","P2018-38"
"2011","Other Miscellaneous Revenues","Miscellaneous Revenues","Community Redevelopment Agency","Demolitions/Lot Clearing","The General Fund","The General Fund",,"0","0","526.32","P2018-139"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Capital Project Surcharge","Golf Course Surcharge/Capital Projects Fund","Enterprise Funds",,"0","0","510.19","P2018-496"
"2011","Other Contributions&Donations","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Natural Resource Management","The General Fund","The General Fund",,"0","0","510","P2018-553"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Non-Departmental","Trust Funds","Evergreen Cemetery Exp Trust Fund","Expendable Trust",,"0","0","392.38","P2018-461"
"2011","Fed Grant-Fema","Intergovernmental Revenues","Public Works","Fema-Hmgp-Clear Lake Lift St. Drainage","Misc. Grants Fund","Special Revenue Funds",,"0","0","372","P2018-752"
"2011","Spec Events Processing","Charges for Services","Parks, Recreation & Cultural Affairs","Misc Special Events/Support","The General Fund","The General Fund",,"0","0","319","P2018-551"
"2011","Other Miscellaneous Revenues","Miscellaneous Revenues","Public Works","Traffic  Operations","The General Fund","The General Fund",,"0","0","315.3","P2018-834"
"2011","Refund Of Prior Year Expenditures","Miscellaneous Revenues","Clerk Of The City Commission","Clerk Of Commission","The General Fund","The General Fund",,"0","0","315.1","P2018-95"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","GPD-Energy Conservation Master Lease","Debt Service Funds",,"0","0","304.59","P2018-351"
"2011","Other Miscellaneous Revenues","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Golf Course Operations","Golf Course Enterprise Fund","Enterprise Funds",,"0","0","300","P2018-528"
"2011","Homeless Donation Meter","Miscellaneous Revenues","Neighborhood Improvement","Homeless Donation Meter Program","Misc. Special Revenues","Special Revenue Funds",,"0","0","289.99","P2018-279"
"2011","Trans From Solid Waste","Non-Revenues","Public Works","Arra Eisa '07: Pwd-Trans Street Light Led'S","American Recovery and Reinvestment Act (ARRA)","Capital Projects Funds",,"0","0","287.72","P2018-726"
"2011","Gain/Loss On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","FFGFC of 2007","Debt Service Funds",,"0","0","216.49","P2018-350"
"2011","Document Reprod. Fees","Charges for Services","Human Resources","Employee Relations","The General Fund","The General Fund",,"0","0","213.72","P2018-241"
"2011","Code Enf Citation-$2 Training","Fines & Forfeitures","Neighborhood Improvement","Code Enforcement","The General Fund","The General Fund",,"0","0","166","P2018-269"
"2011","Discounts/Scholarships Given","Charges for Services","Parks, Recreation & Cultural Affairs","Athletics","The General Fund","The General Fund",,"0","0","157","P2018-492"
"2011","Refund Of Prior Year Expenditures","Miscellaneous Revenues","Budget & Finance Department","Billings & Collections","The General Fund","The General Fund",,"0","0","155.88","P2018-19"
"2011","Banner Revenue","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Recreation Programs","Misc. Special Revenues","Special Revenue Funds",,"0","0","150","P2018-567"
"2020","Qualifying Fees","Charges For Services","Clerk Of The City Commission","Clerk Of Commission","The General Fund","The General Fund",,"0","0","2059.44","20204675347207210001G"
"2020","Handicap Parking Fines","Fines And Forfeits","Police","Office Of The Chief Of Police","The General Fund","The General Fund",,"530","530","0","20205804358108110001G"
"2020","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Guaranteed Ent Ref/rv Bonds 94","Debt Service Funds",,"0","0","70.61","20206001369909984217D"
"2020","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Cirn Of Fy20","Debt Service Funds",,"0","0","15.59","20206001369909984246D"
"2020","Other Contributions&donations","Miscellaneous Revenues","Police","Specialty Units","The General Fund","The General Fund",,"0","4749.19","4749.19","20207002368108150001G"
"2020","Trans From 5th Ave Tif (613)","Non-Revenues","Office Of Housing & Community Development","Block Grant Administration","Urban Development Action Grant","Special Revenue Funds",,"0","0","301393.75","20207411386206210103R"
"2020","T/f -Federal L.e.c.f. (109)","Non-Revenues","Police","Office Of The Chief Of Police","The General Fund","The General Fund",,"0","85000","85000","20207446388108110001G"
"2011","Unrealized Gain/Loss","Miscellaneous Revenues","Public Works","Pw Administrative Services","Street,Sidewalk&Ditch Imp.","Special Revenue Funds",,"0","0","-99","P2018-808"
"2020","Capital Surcharge","Charges For Services","Parks, Recreation & Cultural Affairs","Capital Project Surcharge","General Capital Projects Fund","Capital Projects Funds",,"0","0","142190","2020348534850I100302C"
"2020","Interest On Investments","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Golf Course Renovations","General Capital Projects Fund","Capital Projects Funds",,"0","0","18","2020600136850I200302C"
"2020","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Capital Improvement Revenue Bond 2010","Debt Service Funds",,"0","0","467","20206001369909984237D"
"2020","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Pen Obl Bonds 2021","Debt Service Funds",,"0","0","2600","20206001369909984247D"
"2020","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Pension Obligation Bond-S2003a","Debt Service Funds",,"0","0","816","20206001369909984226D"
"2020","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Capital Improvement Revenue Bond Series 2014","Debt Service Funds",,"0","0","899","20206001369909984242D"
"2020","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Capital Imp Rev Refunding (Cirn) Note 2016a (5c Gas Tax)","Debt Service Funds",,"0","0","631","20206001369909984243D"
"2020","Interest On Investments","Miscellaneous Revenues","Technology & Innovation","It - Administration","Technology Administration Fund","Internal Service Funds",,"0","0","2305","20206001367607640510I"
"2020","Gain/loss:disposition Of F/a","Miscellaneous Revenues","Budget & Finance Department","Cip","General Fixed Assets Group","Gen Fixed Asset Group",,"0","0","139813","20206610367700080901F"
"2020","Insurance Recovery","Miscellaneous Revenues","Public Works","Operations-Maintenance/construct.","The General Fund","The General Fund",,"0","0","304","20207275368008021001G"
"2020","Transfer From General Fund (001)","Non-Revenues","Parks, Recreation & Cultural Affairs","Capital Project Surcharge","General Capital Projects Fund","Capital Projects Funds",,"0","0","77372","2020740838850I100302C"
"2020","Transfer From General Fund (001)","Non-Revenues","Public Works","Watercourse Maintenance","Stormwater Management Utility","Enterprise Funds",,"0","100000","100000","20207408388008025413E"
"2020","Transfer From Police Pension (607)","Non-Revenues","Non-Departmental","Trust Funds","Police Share Plan/premium Tax Reserve","Pension Funds",,"0","0","18933","20207416389909981628P"
"2020","Trans From Fire Pension","Non-Revenues","Non-Departmental","Trust Funds","Fire Share Plan/premium Tax Reserve","Pension Funds",,"0","0","7012","20207424389909981629P"
"2020","Transfer From 302","Non-Revenues","Public Works","Watercourse Maintenance","Stormwater Management Utility","Enterprise Funds",,"0","20528.68","20528.68","20207439388008025413E"
"2020","Trans From New Smu Capital Project Fund (414)","Non-Revenues","Public Works","Se 4th Street","Cirn 2016b-Add'l 5 Cent Gas Tax Capital","Capital Projects Funds",,"0","255170.98","255170.98","2020749438800M170356C"
"2020","Local Option Gax Tax","Taxes","Regional Transit System","Fy20 Uafg 5307 Grant-Oa-Fl-2020-108-00","Regional Transit System Fund","Enterprise Funds",,"0","1800000","1800000","2020020131680UL14450E"
"2020","Fta 5307 Urbanized Formula Grant","Intergovernmental Revenues","Regional Transit System","Fy20 Uafg 5307 Grant-Oa-Fl-2020-108-00","Regional Transit System Fund","Enterprise Funds",,"0","1800000","1800000","2020160233680UL14450E"
"2011","St Grant-Public Safety","Intergovernmental Revenues","Police","Fy07 Dui Enforcement Grant","Misc. Grants Fund","Special Revenue Funds",,"-6706.39","0","-11","P2018-650"
"2020","Vending Machine Revenue","Charges For Services","Public Works","Parking Garage","The General Fund","The General Fund",,"1155","0","0","20204623348008056001G"
"2020","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Cirb Of Fy17","Debt Service Funds",,"0","0","599","20206001369909984245D"
"2020","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Revenue Refunding Note 2014","Debt Service Funds",,"0","0","365","20206001369909984241D"
"2020","Unrealized Gain/loss","Miscellaneous Revenues","Non-Departmental","Trust Funds","Evergreen Cemetery Exp Trust Fund","Expendable Trust",,"0","0","113681.61","20206008369909981602T"
"2020","Debt Issuance","Non-Revenues","Non-Departmental","Debt Service","Pen Obl Bonds 2021","Debt Service Funds",,"0","205511912.05","2060450","20208004389909984247D"
"2020","Transfer From General Fund (001)","Non-Revenues","Non-Departmental","Debt Service","Cirn Of Fy20","Debt Service Funds",,"0","643468.21","0","20207408389909984246D"
"2020","Transfer From 302","Non-Revenues","Sustainable Development","Gnvcares","Small Business Loan Fund","Special Revenue Funds",,"0","40000","40000","2020743938660D679121R"
"2020","Employee Contributions","Non-Revenues","Non-Departmental","Trust Funds","Roth Ira","Agency Funds",,"0","0","1088887.99","20208202389909981627A"
"2020","Fed Grant-Other Transportation","Intergovernmental Revenues","Regional Transit System","Fdot Section 5310 (Fain #1001-2016-16) Wheelchair Securement","Regional Transit System Fund","Enterprise Funds",,"4441.6","4441.6","0","2020164033680UH87450E"
"2020","St Grant-Public Safety","Intergovernmental Revenues","Police","Fy05 Dui Enforcement Specialist Grant","Misc. Grants Fund","Special Revenue Funds",,"2905.59","0","0","2020223033810X508115R"
"2020","T/f Pens Obl Bonds 2021 (247)","Non-Revenues","Non-Departmental","Trust Funds","Firefighters Retirement","Pension Funds",,"0","20780818.85","0","20207524389909981608P"
"2020","T/f Pens Obl Bonds 2021 (247)","Non-Revenues","Non-Departmental","Trust Funds","General Pension Fund","Pension Funds",,"0","158672340.75","0","20207524389909981604P"
"2020","T/f Pens Obl Bonds 2021 (247)","Non-Revenues","Non-Departmental","Trust Funds","Police Officers Retirement","Pension Funds",,"0","25448107.1","0","20207524389909981607P"
"2021","Interest On Investments","Miscellaneous Revenues","Sustainable Development","Tree Mitigation","Tree Mitigation Fund","Special Revenue Funds",,"0","0","1683","2021600136660I500140R"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Guaranteed Ent Ref/rv Bonds 94","Debt Service Funds",,"0","0","4","20216001369909984217D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Pension Obligation Bond-S2003a","Debt Service Funds",,"0","0","1506","20216001369909984226D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Cirb Of 2005-Cip Fund","Capital Projects Funds",,"0","0","78","20216001369909985335C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Campus Development Agreement Capital Projects Fund","Capital Projects Funds",,"0","0","503","20216001369909985339C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Energy Conservation Capital Projects Fund","Capital Projects Funds",,"0","0","5","20216001369909985340C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Additional 5 Cents Logt Capital Projects Fund","Capital Projects Funds",,"0","0","1013","20216001369909985341C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Logt Bonded Transportation Capital Projects Fund","Capital Projects Funds",,"0","0","222","20216001369909985342C"
"2021","Interest On Investments","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Wspp Administration","Wild Spaces Public Places 1/2 C. Sales Tax-Land Acquisition","Capital Projects Funds",,"0","0","66","2021600136850B050346C"
"2021","Interest On Investments","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Sc Site Work-City Funded","Senior Recreation Center","Capital Projects Funds",,"0","0","9","2021600136850M351347C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Cirb 2010 Capital Proj Fund","Capital Projects Funds",,"0","0","180","20216001369909985348C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Facilities Maintenance Recurring (Fmrp) Fund","Capital Projects Funds",,"0","0","521","20216001369909985351C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Equipment Replacement (Erp) Fund","Capital Projects Funds",,"0","0","551","20216001369909985352C"
"2021","Interest On Investments","Miscellaneous Revenues","Public Works","New Roadway Resurfacing Program","Roadway Resurfacing Program (Rrp) Fund","Capital Projects Funds",,"0","0","1067","2021600136800R400353C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Cirb Of 2014-Cip Fund","Capital Projects Funds",,"0","0","251","20216001369909985354C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Capital Imp-Beazer Settlement","Capital Projects Funds",,"0","0","8","20216001369909985355C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Cirn 2016b-Add'l 5 Cent Gas Tax Capital","Capital Projects Funds",,"0","0","1011","20216001369909984356C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Cirb Of Fy2017","Capital Projects Funds",,"0","0","82","20216001369909984357C"
"2021","Interest On Investments","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Wspp Contingency  2017-2025","Wild Spaces Public Places 1/2 C. Sales Tax 2017-2025","Capital Projects Funds",,"0","0","5243","2021600136850B101358C"
"2021","Trans From Gru","Non-Revenues","Parks, Recreation & Cultural Affairs","Wspp Donationsfrom Outside Orgainzations","Wild Spaces Public Places 1/2 C. Sales Tax 2017-2025","Capital Projects Funds",,"0","44843.47","0","2021760438850B115358C"
"2021","Interest On Investments","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Wspp 2017-2025 Joint Projects W/county","Wild Spaces Public Places-Joint Projects W/county 2017-2025","Capital Projects Funds",,"0","0","810","2021600136850B102359C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Cirn Of Fy2020","Capital Projects Funds",,"0","0","2189","20216001369909984360C"
"2021","Interest On Investments","Miscellaneous Revenues","Parks, Recreation & Cultural Affairs","Capital Project Surcharge","Golf Course Surcharge/capital Projects Fund","Enterprise Funds",,"0","0","15","2021600136850I100418E"
"2021","Interest On Investments","Miscellaneous Revenues","Public Works","Refuse Collection","Solid Waste Enterprise Fund","Enterprise Funds",,"0","0","2068","20216001368008080420E"
"2021","Penalties-Franchise Fees","Taxes","Public Works","Refuse Collection","Solid Waste Enterprise Fund","Enterprise Funds",,"0","0","396.69","20210409318008080420E"
"2021","City Match","Non-Revenues","Regional Transit System","Fy20 5310 Grant #1001-2020-18 Senior/disabled Assistance","Regional Transit System Fund","Enterprise Funds",,"0","7672","0","2021450338680UL22450E"
"2021","Other Miscellaneous Revenues","Miscellaneous Revenues","Regional Transit System","Rts-Administration","Regional Transit System Fund","Enterprise Funds",,"0","0","396.2","20217201366806810450E"
"2021","Rental Income- Rts","Charges For Services","Regional Transit System","Rts-Administration","Regional Transit System Fund","Enterprise Funds",,"0","0","18331.06","20216212346806810450E"
"2021","Uf-Transportation Fees","Charges For Services","Regional Transit System","Ptga Funds From Fdot For Route 33 (Contr#g1803","Regional Transit System Fund","Enterprise Funds",,"0","0","273544.49","2021403734680UJ05450E"
"2021","Uf-Transportation Fees","Charges For Services","Regional Transit System","Ptga Funds From Fdot For Holiday Route Service (Contr#g1785)","Regional Transit System Fund","Enterprise Funds",,"0","0","14680.87","2021403734680UJ06450E"
"2021","Santa Fe College","Charges For Services","Regional Transit System","Ptga Funds From Fdot For Route 800 (Contr#g1784","Regional Transit System Fund","Enterprise Funds",,"0","0","12688.75","2021403534680UJ03450E"
"2021","St Grant-Transportation","Intergovernmental Revenues","Regional Transit System","Fy21 Fdot Svc Dev Agreement Autonomous Vehicle Project","Regional Transit System Fund","Enterprise Funds",,"0","608172","0","2021224033680UL16450E"
"2021","Fed Grant-Other Transportation","Intergovernmental Revenues","Regional Transit System","Fy20 Fta 5339(c) Low-No Emission Grant-Rs-Fl-2021-012-00","Regional Transit System Fund","Enterprise Funds",,"0","1037000","0","2021164033680UL17450E"
"2021","Fed Grant-Other Transportation","Intergovernmental Revenues","Regional Transit System","Fy20 Fta 5339(c) Low-No Emission Grant-Sef-Fl-2021-012-00","Regional Transit System Fund","Enterprise Funds",,"0","16920","0","2021164033680UL18450E"
"2021","Fed Grant-Other Transportation","Intergovernmental Revenues","Regional Transit System","Fy20 Fta 5339(c) Low-No Emission Grant-Sef-Fl-2021-012-00","Regional Transit System Fund","Enterprise Funds",,"0","41200","0","2021164033680UL19450E"
"2021","Fed Grant-Other Transportation","Intergovernmental Revenues","Regional Transit System","Fy20 Fta 5339(c) Low-No Emission Grant-Oci-Fl-2021-012-00","Regional Transit System Fund","Enterprise Funds",,"0","107000","0","2021164033680UL20450E"
"2021","Fed Grant-Other Transportation","Intergovernmental Revenues","Regional Transit System","Fy20 Fta 5339(c) Low-No Emission Grant-Oci-Fl-2021-012-00","Regional Transit System Fund","Enterprise Funds",,"0","3500","0","2021164033680UL21450E"
"2021","Local Option Gas Tax","Taxes","Regional Transit System","Ptga Funds From Fdot For Route 601(contr#g1786)","Regional Transit System Fund","Enterprise Funds",,"0","0","58384.76","2021020131680UJ07450E"
"2021","Interest On Investments","Miscellaneous Revenues","Fleet Management","Fleet Administration","Fleet Replacement Fund","Internal Service Funds",,"0","0","2727","20216001368408410501I"
"2021","Transfer From General Fund (001)","Non-Revenues","Fire Rescue","Emergency Management","Fleet Replacement Fund","Internal Service Funds",,"0","68500","0","20217408388208240501I"
"2021","Proceeds-Surplus Equip.","Miscellaneous Revenues","Budget & Finance Department","Surplus","Fleet Replacement Fund","Internal Service Funds",,"0","0","120292.98","20216801367700070501I"
"2021","Insurance Recovery","Miscellaneous Revenues","Fleet Management","Fleet Administration","Fleet Replacement Fund","Internal Service Funds",,"0","0","12300","20217275368408410501I"
"2021","Gain/loss:disposition Of F/a","Miscellaneous Revenues","Fleet Management","Fixed Assets","Fleet Replacement Fund","Internal Service Funds",,"0","0","6807.93","20216610368408499501I"
"2021","Interest On Investments","Miscellaneous Revenues","Fleet Management","Fleet Administration","Fleet Management Services Fund","Internal Service Funds",,"0","0","-62714.48","20216001368408410502I"
"2021","Proceeds-Scrap Metal Recycling","Miscellaneous Revenues","Fleet Management","Fleet Operations","Fleet Management Services Fund","Internal Service Funds",,"0","0","6711.6","20216805368408420502I"
"2021","Interest On Investments","Miscellaneous Revenues","Office Of Risk Management","Risk Management","General Insurance Fund","Internal Service Funds",,"0","0","4065","20216001369209210503I"
"2021","Interest On Investments","Miscellaneous Revenues","Technology & Innovation","It - Administration","Technology Administration Fund","Internal Service Funds",,"0","0","468","20216001367607640510I"
"2021","Interest On Investments","Miscellaneous Revenues","Technology & Innovation","It - Administration","Technology Capital Improvement Fund","Internal Service Funds",,"0","0","704","20216001367607640511I"
"2021","T/f- Ffgfc 02 Rec Proj (328)","Non-Revenues","Technology & Innovation","Erp/technology Investment","Technology Capital Improvement Fund","Internal Service Funds",,"0","24996.6","0","2021750338760M240511I"
"2021","T/f-Cirb Of 2005 Cpf (335)","Non-Revenues","Technology & Innovation","Erp/technology Investment","Technology Capital Improvement Fund","Internal Service Funds",,"0","121813.81","0","2021747838760M240511I"
"2021","T/f Fy2019 Proposed Bond (360)","Non-Revenues","Technology & Innovation","Erp/technology Investment","Technology Capital Improvement Fund","Internal Service Funds",,"0","1119988.22","0","2021744038760M240511I"
"2021","Unrealized Gain/loss","Miscellaneous Revenues","Non-Departmental","Trust Funds","Evergreen Cemetery Exp Trust Fund","Expendable Trust",,"0","0","169299.41","20216008369909981602T"
"2021","Employee Contrb-Pension Buy Back","Non-Revenues","Non-Departmental","Trust Funds","General Pension Fund","Pension Funds",,"0","0","112400","20218224389909981604P"
"2021","Interest On Investments","Miscellaneous Revenues","Gainesville Community Redevelopement Agency","Cra-Operating","Tax Increment - Downtown","Expendable Trust",,"0","0","1327","20216001367906510610T"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Depot Ave Stormwater Park Debt Svc Fund","Debt Service Funds",,"0","0","161","20216001369909984229D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Gpd-Energy Conservation Master Lease","Debt Service Funds",,"0","0","14","20216001369909984233D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Capital Improvement Revenue Note 2009 Debt Service Fund","Debt Service Funds",,"0","0","5","20216001369909984236D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Capital Improvement Revenue Bond 2010","Debt Service Funds",,"0","0","120","20216001369909984237D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Revenue Refunding Note 2014","Debt Service Funds",,"0","0","633","20216001369909984241D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Capital Improvement Revenue Bond Series 2014","Debt Service Funds",,"0","0","401","20216001369909984242D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Capital Imp Rev Refunding (Cirn) Note 2016a (5c Gas Tax)","Debt Service Funds",,"0","0","108","20216001369909984243D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Capital Imp Rev (Cirn) Note 2016b (5c Gas Tax)","Debt Service Funds",,"0","0","21","20216001369909984244D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Cirb Of Fy17","Debt Service Funds",,"0","0","302","20216001369909984245D"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Debt Service","Cirn Of Fy20","Debt Service Funds",,"0","0","243","20216001369909984246D"
"2021","Capital Surcharge","Charges For Services","Parks, Recreation & Cultural Affairs","Capital Project Surcharge","General Capital Projects Fund","Capital Projects Funds",,"0","0","65230","2021348534850I100302C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Greenspace Aquisition And Community Improvement Fund","Capital Projects Funds",,"0","0","67","20216001369909985306C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Ffgfc 02 Capital Projects Fund","Capital Projects Funds",,"0","0","35","20216001369909985328C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Faps Projects-Ffgfc 02","Capital Projects Funds",,"0","0","3","20216001369909985330C"
"2021","Interest On Investments","Miscellaneous Revenues","Non-Departmental","Capital Projects","Ffgfc 05 Capital Projects Fund","Capital Projects Funds",,"0","0","40","20216001369909985332C"
"2021","Row Permit Fees","Charges For Services","Public Works","Row Utility/obstruction Permitting","The General Fund","The General Fund",,"0","0","58837.53","20214068348008085001G"
"2021","Rental Of City Property","Charges For Services","Parks, Recreation & Cultural Affairs","Bo Diddley Plaza","The General Fund","The General Fund",,"0","0","2172.56","20216201348508600001G"
"2021","T/f Gen Cap Proj Fund (302)","Non-Revenues","Sustainable Development","Demolition/boards & Seals (Codes)","The General Fund","The General Fund",,"0","31443.75","31443.75","20217405386606649001G"
"2021","Refund Of Prior Year Expenditures","Miscellaneous Revenues","City Attorney","City Attorney","The General Fund","The General Fund",,"0","0","269.66","20217277367507520001G"
"2021","Insurance Recovery","Miscellaneous Revenues","Transportation & Mobility","Traffic Signals","The General Fund","The General Fund",,"0","0","15525.03","20217275368058051001G"
"2021","Other Miscellaneous Revenues","Miscellaneous Revenues","Transportation & Mobility","Traffic Signals","The General Fund","The General Fund",,"0","0","95.03","20217201368058051001G"
