"intake_date","source","language","request_type","topic","outcome","industry","city","state","zip","borough_name","community_district","council_district"
"2021-04-26T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-11-19T00:00:00.000","Email","English","Information Request","Other","Information Provided",,,,,,,
"2019-12-28T00:00:00.000","Email","English","Information Request","Commuter Benefits","Information Provided",,,,,,,
"2021-11-22T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2018-09-10T00:00:00.000",,"English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2014-11-12T00:00:00.000","Walk-In","French Creole","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-08-25T00:00:00.000","Call from Hotline","English","Information Request","Unemployment Insurance","Information Provided",,,,,,,
"2020-09-11T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2015-01-23T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-05-29T00:00:00.000","E-form from Mayor's Office","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-06-29T00:00:00.000","Call from Hotline","Hungarian","Information Request","Other","Information Provided",,,,,,,
"2021-02-12T00:00:00.000","Call from Hotline","English","Information Request","Workers' Compensation","Information Provided",,,,,,,
"2016-06-29T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2015-03-31T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-09-29T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-11-13T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-12-29T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-04-02T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Multiple Outcomes (2)","Temporary Help Services","North Philadelphia","PA","19130","Outside NYC",,
"2020-01-07T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-05-08T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2017-08-24T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-01-25T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-08-10T00:00:00.000","E-form from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-04-01T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-07-02T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-12-03T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-10-14T00:00:00.000","Call from Hotline","English","Information Request","Health & Safety","Information Provided",,,"NY",,"Queens",,
"2016-04-19T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-09-22T00:00:00.000","Call from Hotline","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-07-20T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-12-01T00:00:00.000","Call from 311","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-12-03T00:00:00.000","Call from 311","English","Information Request","Temporary Schedule Change","Information Provided",,,,,,,
"2021-06-21T00:00:00.000","Direct Call","English","Information Request","Fair Scheduling - Retail","Information Provided",,,,,,,
"2014-10-01T00:00:00.000","Direct Call","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-01-02T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2019-12-05T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2017-10-04T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-04-22T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-10-13T00:00:00.000","Direct Call","English","Information Request","Other","Information Provided",,,,,,,
"2021-12-22T00:00:00.000","Email","English","Information Request","Multiple Topics (2)","Information Provided",,,,,,,
"2021-01-29T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-11-15T00:00:00.000","Mail","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-05-11T00:00:00.000","Email","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2018-07-23T00:00:00.000","Email","English","Information Request","Other","Information Provided",,,,,,,
"2021-09-14T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Multiple Outcomes (2)","Elementary and Secondary Schools","Crown Heights","NY","11213","Brooklyn","8","36"
"2017-02-16T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-04-15T00:00:00.000",,"English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2015-09-08T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-09-17T00:00:00.000","Email","English","Information Request","Other","Information Provided",,,,,,,
"2018-10-24T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-05-15T00:00:00.000","Direct Call","Spanish","Information Request","Unemployment Insurance","Information Provided",,,,,,,
"2020-03-09T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-10-05T00:00:00.000","Call from Hotline","English","Information Request","Multiple Topics (3)","Information Provided",,,,,,,
"2021-08-13T00:00:00.000","Email","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2016-01-13T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2015-08-11T00:00:00.000","Call from 311","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-04-05T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Assigned for Review",,,,,,,
"2017-12-07T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-09-18T00:00:00.000","Call from Hotline","English","Information Request","Health & Safety","Information Provided",,"New York","NY","10001","Manhattan","5","3"
"2019-08-06T00:00:00.000","Call from 311","English","Information Request","Commuter Benefits","Information Provided",,,,,,,
"2020-06-08T00:00:00.000","Call from Hotline","English","Information Request","Health & Safety","Multiple Outcomes (2)",,,,,,,
"2019-11-06T00:00:00.000","Call from 311","English","Information Request","Commuter Benefits","Information Provided",,,,,,,
"2018-07-17T00:00:00.000","Call from 311","English","Information Request","Temporary Schedule Change","Information Provided",,,,,,,
"2020-04-08T00:00:00.000","Email","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2020-04-27T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-08-14T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-06-22T00:00:00.000","Email","English","Information Request","Wage & Hour","Assigned for Referral Review",,,,,,,
"2020-03-13T00:00:00.000",,"English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-03-22T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-03-12T00:00:00.000","Call from 311","English","Information Request","Multiple Topics (3)","Information Provided",,,,,,,
"2021-10-14T00:00:00.000","Email","English","Information Request","Fair Scheduling - Fast Food","Information Provided",,,,,,,
"2017-06-22T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-06-30T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-04-15T00:00:00.000","E-form from Mayor's Office","English","Information Request","Multiple Topics (2)","Multiple Outcomes (2)",,,,,,,
"2021-03-26T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Assigned for Review",,"Williamsburg","NY","11249","Brooklyn","1","33"
"2018-11-27T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2015-03-03T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-08-04T00:00:00.000","Call from Hotline","Spanish","Information Request","Other","Information Provided",,,,,,,
"2014-12-19T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-01-17T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-10-29T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-08-15T00:00:00.000","Call from 311","English","Information Request","Fair Workweek","Information Provided",,,,,,,
"2021-01-26T00:00:00.000","Direct Call","English","Information Request","Other","Information Provided",,,,,,,
"2014-09-04T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-02-24T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2017-10-02T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2015-02-03T00:00:00.000","Call from 311","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-07-24T00:00:00.000","Call from Hotline","English","Information Request","Unemployment Insurance","Information Provided",,,,,,,
"2022-01-19T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-07-11T00:00:00.000","Email","English","Information Request","Fair Workweek","Information Provided",,,,,,,
"2014-12-22T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-10-07T00:00:00.000","Walk-In","English","Information Request","Wage & Hour","Multiple Outcomes (2)",,,,,,,
"2019-09-06T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-02-06T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-04-05T00:00:00.000",,"English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-07-16T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2020-10-20T00:00:00.000","Call from Hotline","English","Information Request","Other","Information Provided",,,,,,,
"2019-02-26T00:00:00.000","Email","English","Information Request","Wage & Hour","Assigned for Referral Review",,,,,,,
"2021-01-28T00:00:00.000","Call from Hotline","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2015-03-17T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-04-06T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-06-01T00:00:00.000","Direct Call","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2020-11-24T00:00:00.000","Call from Hotline","English","Information Request","Health & Safety","Information Provided",,,,,,,
"2020-09-09T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2015-12-24T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2015-04-24T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2014-12-10T00:00:00.000","E-form from Mayor's Office","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2022-02-16T00:00:00.000","Email","English","Information Request","Delivery Workers Law","Information Provided",,,,,,,
"2018-02-09T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-03-18T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-03-19T00:00:00.000","Direct Call","English","Information Request","Other","Information Provided",,,,,,,
"2022-02-28T00:00:00.000","Email","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2019-10-17T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2014-11-19T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-10-25T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-02-26T00:00:00.000","Call from 311","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-09-17T00:00:00.000","Call from Hotline","English","Information Request","Other","Information Provided",,,,,,,
"2020-05-04T00:00:00.000","Call from 311","English","Information Request","Other","Information Provided",,,,,,,
"2016-01-14T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-02-22T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-05-07T00:00:00.000","Call from 311","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2019-05-29T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-03-09T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Multiple Outcomes (2)","Offices of Physicians (except Mental Health Specialists)","Eltingville","NY","10312","Staten Island","3","51"
"2015-08-20T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-02-28T00:00:00.000","Email","English","Information Request","Fair Workweek","Information Provided",,,,,,,
"2020-04-28T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2022-01-07T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2015-03-30T00:00:00.000","Direct Call","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-12-28T00:00:00.000","Email","English","Information Request","Multiple Topics (3)","Information Provided",,,,,,,
"2016-08-03T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-12-28T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Multiple Outcomes (2)","Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","East Williamsburg","NY","11237","Brooklyn",,
"2020-11-24T00:00:00.000","Direct Call","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2020-03-04T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2019-07-29T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2016-05-16T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-07-08T00:00:00.000","Call from Hotline","English","Information Request","Other","Information Provided",,,,,,,
"2014-09-02T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2022-01-26T00:00:00.000","Email","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2017-04-10T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2017-07-11T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-06-25T00:00:00.000","Call from 311","English","Information Request","Multiple Topics (2)","Multiple Outcomes (2)",,,,,,,
"2020-06-10T00:00:00.000","Call from Hotline","Spanish","Information Request","Health & Safety","Information Provided",,,,,,,
"2021-06-22T00:00:00.000","Direct Call","English","Information Request","Multiple Topics (4)","Information Provided",,,,,,,
"2020-12-01T00:00:00.000","Call from Hotline","English","Information Request","Multiple Topics (3)","Information Provided",,,,,,,
"2020-12-15T00:00:00.000","Call from Hotline","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2017-08-08T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-12-18T00:00:00.000","Call from Hotline","Spanish","Information Request","Paid Safe and Sick Leave","Multiple Outcomes (2)","Janitorial Services","Center Moriches","NY","11934","Outside NYC",,
"2017-08-18T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-02-08T00:00:00.000","Call from Hotline","English","Information Request","Unemployment Insurance","Information Provided",,,,,,,
"2021-11-16T00:00:00.000","Email","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2021-12-05T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-07-13T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2017-07-26T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-02-18T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Assigned for Referral Review",,,,,,,
"2016-12-13T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2017-01-06T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-05-04T00:00:00.000","Call from Hotline","English","Information Request","Unemployment Insurance","Information Provided",,,,,,,
"2021-12-14T00:00:00.000","Direct Call","English","Information Request","Other","Information Provided",,,,,,,
"2020-08-28T00:00:00.000","Call from Hotline","English","Information Request","Multiple Topics (2)","Information Provided",,,,,,,
"2021-04-06T00:00:00.000","Direct Call","English","Information Request","Multiple Topics (2)","Information Provided",,,,,,,
"2020-04-14T00:00:00.000","Call from 311","English","Information Request","Multiple Topics (2)","Information Provided",,,,,,,
"2014-10-31T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-04-22T00:00:00.000","Email","English","Information Request","Other","Information Provided",,,,,,,
"2021-12-17T00:00:00.000","Direct Call","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2018-02-07T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-08-26T00:00:00.000","Call from Hotline","English","Information Request","Health & Safety","Information Provided",,,,,,,
"2017-06-08T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-06-11T00:00:00.000","Call from Hotline","English","Information Request","Unemployment Insurance","Information Provided",,,,,,,
"2022-02-16T00:00:00.000","Call from 311","English","Information Request","Other","Information Provided",,,,,,,
"2015-09-25T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-03-17T00:00:00.000","Call from 311","English","Information Request","Other","Information Provided",,,,,,,
"2014-10-20T00:00:00.000","Call from 311","English","Outreach Request","Paid Safe and Sick Leave","Assigned for Outreach Review",,,,,,,
"2021-06-17T00:00:00.000","Email","English","Information Request","Other","Information Provided",,,,,,,
"2019-10-15T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-12-28T00:00:00.000","Email","English","Information Request","Other","Information Provided",,,,,,,
"2018-05-03T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-07-01T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Assigned for Review",,,,,,,
"2017-01-03T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-01-06T00:00:00.000","Call from Hotline","English","Information Request","Unemployment Insurance","Information Provided",,,,,,,
"2019-01-10T00:00:00.000","Email","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2015-01-02T00:00:00.000","Call from 311","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-09-10T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-09-10T00:00:00.000","Call from Hotline","English","Information Request","Workers' Compensation","Information Provided",,,,,,,
"2018-12-12T00:00:00.000","Call from 311","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2020-07-27T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-03-12T00:00:00.000","Call from 311","English","Information Request","Multiple Topics (2)","Information Provided",,,,,,,
"2019-08-05T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-01-05T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-07-24T00:00:00.000","Call from Hotline","English","Information Request","Health & Safety","Information Provided",,,,,,,
"2021-06-22T00:00:00.000","Call from 311","English","Information Request","Workers' Compensation","Information Provided",,,,,,,
"2021-06-28T00:00:00.000","Call from Hotline","English","Information Request","Other","Information Provided",,,,,,,
"2018-07-10T00:00:00.000","Call from 311","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2021-05-19T00:00:00.000",,"English","Information Request","Paid Safe and Sick Leave","Information Provided",,"East Bronx","NY","10465","Bronx","10","13"
"2020-11-13T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-07-01T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-03-22T00:00:00.000","Call from Hotline","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-12-01T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-03-11T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-09-14T00:00:00.000","Email","English","Information Request","Multiple Topics (2)","Information Provided",,,,,,,
"2020-12-02T00:00:00.000","Call from 311","English","Information Request","Multiple Topics (2)","Information Provided",,,,,,,
"2019-01-18T00:00:00.000","Email","English","Information Request","Commuter Benefits","Information Provided",,,,,,,
"2014-11-19T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-07-20T00:00:00.000","Email","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2020-12-01T00:00:00.000","Direct Call","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2018-01-26T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-05-29T00:00:00.000","E-form from Mayor's Office","English","Information Request","Health & Safety","Information Provided",,,,,,,
"2017-08-24T00:00:00.000","Call from 311","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-03-31T00:00:00.000","Email","English","Information Request","Health & Safety","Information Provided",,,,,,,
"2022-02-15T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-06-05T00:00:00.000","Direct Call","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2019-07-03T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-10-03T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-08-19T00:00:00.000","Direct Call","English","Information Request","Multiple Topics (2)","Multiple Outcomes (2)",,,,,,,
"2020-04-01T00:00:00.000","Call from 311","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2018-03-05T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-07-02T00:00:00.000","Email","English","Information Request","Fair Workweek","Information Provided",,,,,,,
"2021-08-19T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-06-12T00:00:00.000","Call from Hotline","English","Information Request","Multiple Topics (3)","Information Provided","Other Management Consulting Services","Brooklyn","NY","11201","Brooklyn",,
"2019-10-22T00:00:00.000","Email","English","Information Request","Wage & Hour","Information Provided",,,,,,,
"2019-01-28T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-10-15T00:00:00.000","Direct Call","English","Information Request","Freelance Isn't Free","Information Provided",,,,,,,
"2018-05-29T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2016-09-14T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2021-12-06T00:00:00.000","Email","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-04-14T00:00:00.000","Direct Call","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2019-04-23T00:00:00.000","Call from 311","English","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-03-10T00:00:00.000","E-form from 311","Spanish","Information Request","Paid Safe and Sick Leave","Information Provided",,,,,,,
"2020-06-05T00:00:00.000","Call from 311","Spanish","Information Request","Other","Information Provided",,,,,,,
