State,City,Zip,Location 1
MD,Westminster,21158,"Westminster, MD 21158
(39.636641, -77.030959)"
IN,Michigan City,46360,"Michigan City, IN 46360
(41.698043, -86.880933)"
CA,Bakersfield,93309,"Bakersfield, CA 93309
(35.341212, -119.065592)"
AZ,Tucson,85747,"Tucson, AZ 85747
(32.111822, -110.765371)"
NJ,Bound Brook,08805,"Bound Brook, NJ 08805
(40.570618, -74.539874)"
MI,Marne,49435,"Marne, MI 49435
(43.030554, -85.83738)"
NJ,Ringwood,07456,"Ringwood, NJ 07456
(41.099648, -74.269369)"
VA,Winchester,22602,"Winchester, VA 22602
(39.156649, -78.248927)"
VA,Virginia Beach,23464,"Virginia Beach, VA 23464
(36.799235, -76.177819)"
GA,Lawrenceville,30043,"Lawrenceville, GA 30043
(33.99971, -84.013712)"
MS,Vicksburg,39180,"Vicksburg, MS 39180
(32.277451, -90.847873)"
NJ,Clinton,08809,"Clinton, NJ 08809
(40.642466, -74.91486)"
WA,Port Orchard,98367,"Port Orchard, WA 98367
(47.466778, -122.658901)"
NJ,Glassboro,08028,"Glassboro, NJ 08028
(39.699899, -75.11946)"
FL,Ormond Beach,32176,"Ormond Beach, FL 32176
(29.325457, -81.059501)"
MO,House Springs,63051,"House Springs, MO 63051
(38.405181, -90.564325)"
VA,Arlington,22205,"Arlington, VA 22205
(38.883854, -77.139669)"
PA,Narberth,19072,"Narberth, PA 19072
(40.021089, -75.257997)"
WV,Weirton,26062,"Weirton, WV 26062
(40.415825, -80.565276)"
CA,Hesperia,92345,"Hesperia, CA 92345
(34.415572, -117.306687)"
WV,Weirton,26062,"Weirton, WV 26062
(40.415825, -80.565276)"
CA,Hayward,94541,"Hayward, CA 94541
(37.674148, -122.087822)"
PA,Jersey Shore,17740,"Jersey Shore, PA 17740
(41.21415, -77.256277)"
NY,Tonawanda,14150,"Tonawanda, NY 14150
(42.999597, -78.867291)"
WV,Romney,26757,"Romney, WV 26757
(39.341641, -78.720298)"
TX,Grand Prairie,75052,"Grand Prairie, TX 75052
(32.671978, -97.026752)"
MD,Chevy Chase,20815,"Chevy Chase, MD 20815
(38.982537, -77.079131)"
NY,Little Falls,13365,"Little Falls, NY 13365
(43.060591, -74.847449)"
NY,Southold,11971,"Southold, NY 11971
(41.058985, -72.422945)"
IL,Chicago,60649,"Chicago, IL 60649
(41.762202, -87.571522)"
WA,Edmonds,98026,"Edmonds, WA 98026
(47.829439, -122.333046)"
CA,Windsor,95492,"Windsor, CA 95492
(38.541541, -122.809202)"
VA,Gloucester,23061,"Gloucester, VA 23061
(37.427865, -76.53844)"
TN,Nashville,37205,"Nashville, TN 37205
(36.112469, -86.867263)"
MD,Lusby,20657,"Lusby, MD 20657
(38.374211, -76.435487)"
TX,Portland,78374,"Portland, TX 78374
(27.916354, -97.301965)"
TX,Laredo,78043,"Laredo, TX 78043
(27.505852, -99.26932)"
NC,Fremont,27830,"Fremont, NC 27830
(35.548864, -77.958209)"
OH,Solon,44139,"Solon, OH 44139
(41.386354, -81.441757)"
AR,Farmington,72730,"Farmington, AR 72730
(36.033187, -94.261889)"
NY,Binghamton,13905,"Binghamton, NY 13905
(42.142291, -75.93522)"
NH,Milford,03055,"Milford, NH 03055
(42.825261, -71.667914)"
VA,Fredericksburg,22401,"Fredericksburg, VA 22401
(38.298754, -77.483128)"
FL,Milton,32571,"Milton, FL 32571
(30.647436, -87.17)"
NC,Nashville,27856,"Nashville, NC 27856
(35.989965, -77.976044)"
MD,Ijamsville,21754,"Ijamsville, MD 21754
(39.337555, -77.305634)"
CO,Colorado Springs,80918,"Colorado Springs, CO 80918
(38.912572, -104.775074)"
DC,Washington,20019,"Washington, DC 20019
(38.891575, -76.939259)"
SC,Columbia,29209,"Columbia, SC 29209
(33.961698, -80.940968)"
OH,Cincinnati,45223,"Cincinnati, OH 45223
(39.165238, -84.547839)"
SC,Clover,29710,"Clover, SC 29710
(35.106484, -81.193726)"
KY,Lexington,40503,"Lexington, KY 40503
(38.005566, -84.535153)"
NY,Syosset,11791,"Syosset, NY 11791
(40.818622, -73.502403)"
FL,Hollywood,33027,"Hollywood, FL 33027
(25.982118, -80.34059)"
PA,Bryn Mawr,19010,"Bryn Mawr, PA 19010
(40.023593, -75.328662)"
IL,Springfield,62702,"Springfield, IL 62702
(39.820114, -89.644946)"
MD,Bladensburg,20710,"Bladensburg, MD 20710
(38.941681, -76.927354)"
NY,Victor,14564,"Victor, NY 14564
(42.992095, -77.424895)"
OH,Delaware,43015,"Delaware, OH 43015
(40.290095, -83.065767)"
FL,Saint Petersburg,33711,"Saint Petersburg, FL 33711
(27.740556, -82.687412)"
MA,Arlington,02476,"Arlington, MA 02476
(42.416034, -71.176886)"
TX,Frisco,75035,"Frisco, TX 75035
(33.148007, -96.773918)"
NC,Fayetteville,28303,"Fayetteville, NC 28303
(35.08382, -78.956936)"
IA,Norwalk,50211,"Norwalk, IA 50211
(41.462357, -93.690896)"
TX,Round Rock,78681,"Round Rock, TX 78681
(30.519443, -97.718684)"
MN,Hugo,55038,"Hugo, MN 55038
(45.164938, -92.99925)"
NJ,Irvington,07111,"Irvington, NJ 07111
(40.724807, -74.231487)"
NC,Winston Salem,27101,"Winston Salem, NC 27101
(36.105055, -80.217997)"
VA,Alexandria,22312,"Alexandria, VA 22312
(38.817308, -77.153179)"
OK,Tulsa,74114,"Tulsa, OK 74114
(36.126637, -95.94467)"
CA,Santa Cruz,95065,"Santa Cruz, CA 95065
(37.022998, -121.984553)"
MD,Rockville,20850,"Rockville, MD 20850
(39.092462, -77.178614)"
CA,Redondo Beach,90278,"Redondo Beach, CA 90278
(33.87238, -118.371402)"
IA,Elberon,52225,"Elberon, IA 52225
(42.010997, -92.327216)"
ME,Bangor,04401,"Bangor, ME 04401
(44.831413, -68.821019)"
MS,Winona,38967,"Winona, MS 38967
(33.48429, -89.736978)"
CT,West Haven,06516,"West Haven, CT 06516
(41.270813, -72.965936)"
FL,Pembroke Pines,33082,"Pembroke Pines, FL 33082
(26.007689, -80.361962)"
KY,Morganfield,42437,"Morganfield, KY 42437
(37.661886, -87.912124)"
IL,Rockford,61107,"Rockford, IL 61107
(42.281496, -89.019403)"
CA,San Dimas,91773,"San Dimas, CA 91773
(34.100651, -117.814842)"
NH,Merrimack,03054,"Merrimack, NH 03054
(42.857362, -71.51436)"
NC,Maysville,28555,"Maysville, NC 28555
(34.86269, -77.237354)"
DE,Wilmington,19805,"Wilmington, DE 19805
(39.744809, -75.588638)"
CA,Eureka,95501,"Eureka, CA 95501
(40.793421, -124.157467)"
CA,Manteca,95337,"Manteca, CA 95337
(37.766311, -121.233996)"
SC,Darlington,29540,"Darlington, SC 29540
(34.379788, -79.878598)"
WA,Bremerton,98312,"Bremerton, WA 98312
(47.57271, -122.724682)"
NH,Goffstown,03045,"Goffstown, NH 03045
(43.016934, -71.562731)"
AR,North Little Rock,72118,"North Little Rock, AR 72118
(34.826501, -92.312163)"
MO,Jefferson City,65109,"Jefferson City, MO 65109
(38.56984, -92.259232)"
OH,Cleveland,44109,"Cleveland, OH 44109
(41.444908, -81.701359)"
MD,Bowie,20715,"Bowie, MD 20715
(38.980842, -76.741403)"
NY,White Plains,10606,"White Plains, NY 10606
(41.023584, -73.777334)"
LA,West Monroe,71291,"West Monroe, LA 71291
(32.535362, -92.18479)"
OH,Chagrin Falls,44022,"Chagrin Falls, OH 44022
(41.442888, -81.402077)"
MI,Fraser,48026,"Fraser, MI 48026
(42.537678, -82.950228)"
TX,Little Elm,75068,"Little Elm, TX 75068
(33.178421, -96.937143)"
FL,Kissimmee,34744,"Kissimmee, FL 34744
(28.304336, -81.352018)"
SC,Barnwell,29812,"Barnwell, SC 29812
(33.219623, -81.361057)"
OR,Gold Hill,97525,"Gold Hill, OR 97525
(42.435592, -123.078636)"
CT,Berlin,06037,"Berlin, CT 06037
(41.617558, -72.768041)"
FL,Longwood,32779,"Longwood, FL 32779
(28.708266, -81.414999)"
MI,Jackson,49201,"Jackson, MI 49201
(42.250379, -84.38673)"
VA,Fairfax,22030,"Fairfax, VA 22030
(38.844553, -77.337993)"
NC,Charlotte,28273,"Charlotte, NC 28273
(35.127074, -80.947813)"
NY,Buffalo,14223,"Buffalo, NY 14223
(42.973445, -78.845988)"
MI,Holly,48442,"Holly, MI 48442
(42.796752, -83.603984)"
PA,Philadelphia,19118,"Philadelphia, PA 19118
(40.073321, -75.209942)"
AZ,Tucson,85743,"Tucson, AZ 85743
(32.332302, -111.161103)"
PA,Sellersville,18960,"Sellersville, PA 18960
(40.362423, -75.318287)"
MD,Ellicott City,21042,"Ellicott City, MD 21042
(39.274072, -76.875159)"
KS,Lawrence,66047,"Lawrence, KS 66047
(38.901081, -95.32474)"
AR,Foreman,71836,"Foreman, AR 71836
(33.735849, -94.402709)"
NY,Buffalo,14224,"Buffalo, NY 14224
(42.836052, -78.749996)"
VT,Hinesburg,05461,"Hinesburg, VT 05461
(44.326788, -73.094218)"
MA,Westwood,02090,"Westwood, MA 02090
(42.218192, -71.207299)"
CA,Sacramento,95816,"Sacramento, CA 95816
(38.57219, -121.467691)"
MN,Spicer,56288,"Spicer, MN 56288
(45.244107, -94.940771)"
UT,Provo,84604,"Provo, UT 84604
(40.304645, -111.634286)"
PA,Meadville,16335,"Meadville, PA 16335
(41.632921, -80.155943)"
TX,Belton,76513,"Belton, TX 76513
(31.06641, -97.48871)"
MS,Diberville,39540,"Diberville, MS 39540
(30.442171, -88.898696)"
NY,Chatham,12037,"Chatham, NY 12037
(42.34325, -73.56938)"
FL,Davenport,33897,"Davenport, FL 33897
(28.300347, -81.669615)"
FL,Edgewater,32141,"Edgewater, FL 32141
(28.938871, -80.896694)"
IL,Peoria,61615,"Peoria, IL 61615
(40.775433, -89.639114)"
VA,Hampton,23669,"Hampton, VA 23669
(37.04218, -76.343109)"
AZ,Mesa,85206,"Mesa, AZ 85206
(33.399471, -111.717785)"
NY,Bronx,10473,"Bronx, NY 10473
(40.819283, -73.856919)"
HI,Mililani,96789,"Mililani, HI 96789
(21.457482, -158.005589)"
SD,Sioux Falls,57107,"Sioux Falls, SD 57107
(43.58865, -96.806738)"
MA,Plymouth,02360,"Plymouth, MA 02360
(41.886602, -70.62855)"
NC,Franklin,28734,"Franklin, NC 28734
(35.181362, -83.396618)"
NY,East Aurora,14052,"East Aurora, NY 14052
(42.770882, -78.595599)"
CA,Palm Desert,92260,"Palm Desert, CA 92260
(33.72127, -116.384343)"
CA,Riverside,92501,"Riverside, CA 92501
(33.99431, -117.370777)"
VA,Bedford,24523,"Bedford, VA 24523
(37.331231, -79.521172)"
NY,Flushing,11358,"Flushing, NY 11358
(40.760971, -73.796208)"
KS,Hays,67601,"Hays, KS 67601
(38.85847, -99.333908)"
WA,Everett,98204,"Everett, WA 98204
(47.899424, -122.255648)"
IL,Champaign,61820,"Champaign, IL 61820
(40.112597, -88.244388)"
FL,Hollywood,33019,"Hollywood, FL 33019
(26.015375, -80.123389)"
OR,South Beach,97366,"South Beach, OR 97366
(44.57736, -124.059682)"
SC,Columbia,29223,"Columbia, SC 29223
(34.076751, -80.893601)"
FL,Saint Petersburg,33710,"Saint Petersburg, FL 33710
(27.789498, -82.725048)"
CA,Orinda,94563,"Orinda, CA 94563
(37.878896, -122.181998)"
AZ,Avondale,85323,"Avondale, AZ 85323
(33.428589, -112.320299)"
IL,Belleville,62226,"Belleville, IL 62226
(38.540407, -90.00035)"
IL,Chicago,60649,"Chicago, IL 60649
(41.762202, -87.571522)"
WA,Seattle,98166,"Seattle, WA 98166
(47.45507, -122.349394)"
TN,Mount Juliet,37122,"Mount Juliet, TN 37122
(36.187906, -86.500085)"
PA,Pottstown,19465,"Pottstown, PA 19465
(40.204878, -75.663912)"
NC,Raleigh,27615,"Raleigh, NC 27615
(35.895425, -78.63613)"
IA,Iowa City,52246,"Iowa City, IA 52246
(41.651299, -91.577698)"
IL,Evanston,60202,"Evanston, IL 60202
(42.03074, -87.688934)"
VT,Bristol,05443,"Bristol, VT 05443
(44.135563, -73.045521)"
WI,Elm Grove,53122,"Elm Grove, WI 53122
(43.048311, -88.086582)"
VA,Vienna,22181,"Vienna, VA 22181
(38.899737, -77.290521)"
MA,Uxbridge,01569,"Uxbridge, MA 01569
(42.061776, -71.634285)"
NY,Mahopac,10541,"Mahopac, NY 10541
(41.373567, -73.750913)"
SC,Summerville,29483,"Summerville, SC 29483
(33.045775, -80.189049)"
IL,Marion,62959,"Marion, IL 62959
(37.716516, -88.917225)"
OH,Cleveland,44110,"Cleveland, OH 44110
(41.563976, -81.572548)"
CA,Grass Valley,95945,"Grass Valley, CA 95945
(39.204393, -120.981879)"
NY,Brooklyn,11235,"Brooklyn, NY 11235
(40.584205, -73.950101)"
HI,Pahoa,96778,"Pahoa, HI 96778
(19.474737, -154.946493)"
AZ,Chandler,85225,"Chandler, AZ 85225
(33.317153, -111.830762)"
FL,Miami,33128,"Miami, FL 33128
(25.776532, -80.203847)"
MA,Hingham,02043,"Hingham, MA 02043
(42.220535, -70.88726)"
WA,Maple Valley,98038,"Maple Valley, WA 98038
(47.393554, -122.02812)"
SC,Longs,29568,"Longs, SC 29568
(33.898071, -78.757883)"
MS,Clarksdale,38614,"Clarksdale, MS 38614
(34.169926, -90.607317)"
SC,Rock Hill,29732,"Rock Hill, SC 29732
(34.96883, -81.065495)"
NE,Hastings,68901,"Hastings, NE 68901
(40.591591, -98.388214)"
VA,Hopewell,23860,"Hopewell, VA 23860
(37.283714, -77.272356)"
NC,Holly Springs,27540,"Holly Springs, NC 27540
(35.629412, -78.843875)"
PA,Zionsville,18092,"Zionsville, PA 18092
(40.468741, -75.519019)"
MI,Linwood,48634,"Linwood, MI 48634
(43.749865, -84.04624)"
MI,Montague,49437,"Montague, MI 49437
(43.455517, -86.379159)"
NY,Kirkville,13082,"Kirkville, NY 13082
(43.098765, -75.952327)"
KY,Murray,42071,"Murray, KY 42071
(36.623316, -88.28867)"
NC,Winterville,28590,"Winterville, NC 28590
(35.530632, -77.403064)"
CA,Eureka,95503,"Eureka, CA 95503
(40.757005, -124.147251)"
OR,Beaverton,97007,"Beaverton, OR 97007
(45.463288, -122.861631)"
CA,Salinas,93908,"Salinas, CA 93908
(36.611316, -121.66841)"
NY,Buffalo,14218,"Buffalo, NY 14218
(42.818699, -78.818268)"
PA,Lansdowne,19050,"Lansdowne, PA 19050
(39.938503, -75.265639)"
FL,Hernando,34442,"Hernando, FL 34442
(28.920494, -82.399485)"
NY,Lake Grove,11755,"Lake Grove, NY 11755
(40.857024, -73.117204)"
NV,Las Vegas,89130,"Las Vegas, NV 89130
(36.254871, -115.226712)"
WY,Torrington,82240,"Torrington, WY 82240
(42.01639, -104.201953)"
MD,Potomac,20854,"Potomac, MD 20854
(39.038266, -77.203413)"
NY,New York,10025,"New York, NY 10025
(40.797862, -73.96578)"
CA,Newport Beach,92663,"Newport Beach, CA 92663
(33.623244, -117.931855)"
CA,Sacramento,95828,"Sacramento, CA 95828
(38.484836, -121.399547)"
OH,Cleveland,44110,"Cleveland, OH 44110
(41.563976, -81.572548)"
AZ,Sahuarita,85629,"Sahuarita, AZ 85629
(31.953883, -110.977704)"
CO,Englewood,80111,"Englewood, CO 80111
(39.612472, -104.881366)"
SC,Summerville,29483,"Summerville, SC 29483
(33.045775, -80.189049)"
VA,Springfield,22152,"Springfield, VA 22152
(38.775227, -77.23259)"
IL,Riverdale,60827,"Riverdale, IL 60827
(41.650765, -87.633087)"
NM,Las Cruces,88012,"Las Cruces, NM 88012
(32.480815, -106.748844)"
TX,Dallas,75248,"Dallas, TX 75248
(32.968706, -96.792632)"
WA,Seattle,98122,"Seattle, WA 98122
(47.61065, -122.303413)"
FL,Ormond Beach,32174,"Ormond Beach, FL 32174
(29.292022, -81.126181)"
KY,Louisville,40220,"Louisville, KY 40220
(38.214712, -85.620151)"
CA,Compton,90220,"Compton, CA 90220
(33.88366, -118.237067)"
WA,Lake Stevens,98258,"Lake Stevens, WA 98258
(48.016305, -122.085999)"
IL,Lake Villa,60046,"Lake Villa, IL 60046
(42.41234, -88.057183)"
MI,Waterford,48327,"Waterford, MI 48327
(42.644425, -83.411674)"
IL,Chicago,60615,"Chicago, IL 60615
(41.801993, -87.602725)"
MD,Rockville,20850,"Rockville, MD 20850
(39.092462, -77.178614)"
TX,El Paso,79925,"El Paso, TX 79925
(31.782123, -106.366004)"
FL,Miami,33186,"Miami, FL 33186
(25.658709, -80.40682)"
CA,Huntington Beach,92646,"Huntington Beach, CA 92646
(33.667231, -117.968323)"
VA,Reston,20194,"Reston, VA 20194
(38.97896, -77.346119)"
WA,Vancouver,98663,"Vancouver, WA 98663
(45.650422, -122.661302)"
MI,Alger,48610,"Alger, MI 48610
(44.143139, -84.158007)"
ME,North Waterboro,04061,"North Waterboro, ME 04061
(43.640385, -70.733535)"
AZ,Tucson,85741,"Tucson, AZ 85741
(32.335949, -111.039609)"
NV,Las Vegas,89117,"Las Vegas, NV 89117
(36.142139, -115.281961)"
MO,Carthage,64836,"Carthage, MO 64836
(37.169949, -94.295758)"
CA,Santa Rosa,95405,"Santa Rosa, CA 95405
(38.439152, -122.672541)"
MI,Sherwood,49089,"Sherwood, MI 49089
(42.01006, -85.231369)"
OR,Portland,97213,"Portland, OR 97213
(45.537521, -122.600376)"
TX,Longview,75605,"Longview, TX 75605
(32.566843, -94.73478)"
MA,Belmont,02478,"Belmont, MA 02478
(42.392841, -71.175549)"
ID,Boise,83702,"Boise, ID 83702
(43.634045, -116.200757)"
TX,Red Oak,75154,"Red Oak, TX 75154
(32.527906, -96.82136)"
MD,Ellicott City,21043,"Ellicott City, MD 21043
(39.254581, -76.799968)"
MN,Savage,55378,"Savage, MN 55378
(44.75558, -93.360101)"
ME,Limerick,04048,"Limerick, ME 04048
(43.685298, -70.777923)"
OH,Willard,44890,"Willard, OH 44890
(41.079247, -82.722211)"
MD,Baltimore,21213,"Baltimore, MD 21213
(39.314032, -76.579331)"
NC,Matthews,28105,"Matthews, NC 28105
(35.11737, -80.714752)"
MI,Byron Center,49315,"Byron Center, MI 49315
(42.8096, -85.720292)"
NY,Elmira,14904,"Elmira, NY 14904
(42.071696, -76.804105)"
OH,Willard,44890,"Willard, OH 44890
(41.079247, -82.722211)"
PA,King Of Prussia,19406,"King Of Prussia, PA 19406
(40.093249, -75.38198)"
MN,Hastings,55033,"Hastings, MN 55033
(44.718403, -92.862984)"
CA,Visalia,93291,"Visalia, CA 93291
(36.356493, -119.354121)"
MD,Silver Spring,20910,"Silver Spring, MD 20910
(39.001851, -77.034885)"
TN,Knoxville,37921,"Knoxville, TN 37921
(35.97667, -83.988787)"
FL,Jacksonville,32209,"Jacksonville, FL 32209
(30.358292, -81.692344)"
ID,Eagle,83616,"Eagle, ID 83616
(43.719807, -116.379733)"
MD,Frederick,21703,"Frederick, MD 21703
(39.382213, -77.457141)"
GA,Conyers,30013,"Conyers, GA 30013
(33.633811, -83.98143)"
IA,Webster City,50595,"Webster City, IA 50595
(42.463274, -93.822009)"
WA,Seattle,98105,"Seattle, WA 98105
(47.663771, -122.298657)"
IL,Moline,61265,"Moline, IL 61265
(41.486327, -90.49526)"
CA,San Jose,95122,"San Jose, CA 95122
(37.329377, -121.835218)"
NJ,Beachwood,08722,"Beachwood, NJ 08722
(39.929992, -74.198133)"
OR,Elgin,97827,"Elgin, OR 97827
(45.699909, -117.928587)"
TX,Spicewood,78669,"Spicewood, TX 78669
(30.431305, -98.097163)"
KY,Frankfort,40601,"Frankfort, KY 40601
(38.207497, -84.876417)"
MS,Terry,39170,"Terry, MS 39170
(32.118142, -90.331741)"
AZ,Gilbert,85297,"Gilbert, AZ 85297
(33.277195, -111.725908)"
NY,Trumansburg,14886,"Trumansburg, NY 14886
(42.509918, -76.681095)"
AL,Fort Rucker,36362,"Fort Rucker, AL 36362
(31.354341, -85.718543)"
MS,Vicksburg,39180,"Vicksburg, MS 39180
(32.277451, -90.847873)"
NY,Pearl River,10965,"Pearl River, NY 10965
(41.062283, -74.014437)"
FL,Fort Lauderdale,33319,"Fort Lauderdale, FL 33319
(26.183269, -80.225408)"
CT,West Simsbury,06092,"West Simsbury, CT 06092
(41.864288, -72.858543)"
WI,Neenah,54956,"Neenah, WI 54956
(44.184145, -88.502076)"
MD,Dunkirk,20754,"Dunkirk, MD 20754
(38.739804, -76.651474)"
MD,Chevy Chase,20815,"Chevy Chase, MD 20815
(38.982537, -77.079131)"
MD,Edgewood,21040,"Edgewood, MD 21040
(39.431781, -76.300499)"
IA,Le Claire,52753,"Le Claire, IA 52753
(41.613557, -90.378456)"
TX,Leander,78645,"Leander, TX 78645
(30.450977, -97.976433)"
OH,Wellington,44090,"Wellington, OH 44090
(41.166952, -82.226748)"
TX,Webster,77598,"Webster, TX 77598
(29.540146, -95.136635)"
MD,Columbia,21045,"Columbia, MD 21045
(39.205278, -76.827645)"
GA,Conyers,30094,"Conyers, GA 30094
(33.614319, -84.049907)"
NY,New York,10033,"New York, NY 10033
(40.849955, -73.936182)"
CA,Sacramento,95838,"Sacramento, CA 95838
(38.642566, -121.442478)"
TN,Ooltewah,37363,"Ooltewah, TN 37363
(35.095049, -85.075731)"
NY,Watertown,13601,"Watertown, NY 13601
(43.977155, -75.916148)"
CA,Salinas,93907,"Salinas, CA 93907
(36.771091, -121.664391)"
WI,Beloit,53511,"Beloit, WI 53511
(42.536877, -89.059679)"
MN,Adrian,56110,"Adrian, MN 56110
(43.615606, -95.933438)"
VA,Fredericksburg,22408,"Fredericksburg, VA 22408
(38.233532, -77.462084)"
KS,Manhattan,66502,"Manhattan, KS 66502
(39.171709, -96.557276)"
MO,Saint Louis,63120,"Saint Louis, MO 63120
(38.69188, -90.260056)"
FL,Jasper,32052,"Jasper, FL 32052
(30.483344, -82.958184)"
OH,Cleveland,44128,"Cleveland, OH 44128
(41.438483, -81.544909)"
AR,Little Rock,72204,"Little Rock, AR 72204
(34.725187, -92.348886)"
IN,Fort Wayne,46825,"Fort Wayne, IN 46825
(41.153535, -85.125471)"
MI,New Baltimore,48047,"New Baltimore, MI 48047
(42.675261, -82.77923)"
MD,Silver Spring,20903,"Silver Spring, MD 20903
(39.016139, -76.982897)"
MD,Hyattsville,20781,"Hyattsville, MD 20781
(38.944165, -76.934531)"
MO,Pacific,63069,"Pacific, MO 63069
(38.485166, -90.735457)"
GA,Tallapoosa,30176,"Tallapoosa, GA 30176
(33.756613, -85.297519)"
NY,Bronx,10457,"Bronx, NY 10457
(40.846788, -73.899203)"
NY,Jamaica,11434,"Jamaica, NY 11434
(40.676003, -73.775656)"
NC,Chapel Hill,27516,"Chapel Hill, NC 27516
(35.913829, -79.126787)"
CA,Fair Oaks,95628,"Fair Oaks, CA 95628
(38.655104, -121.259702)"
VT,Stowe,05672,"Stowe, VT 05672
(44.476364, -72.705388)"
NC,Durham,27703,"Durham, NC 27703
(35.962856, -78.827304)"
RI,Providence,02906,"Providence, RI 02906
(41.837622, -71.394468)"
GA,Douglasville,30134,"Douglasville, GA 30134
(33.773718, -84.77099)"
NY,Islandia,11749,"Islandia, NY 11749
(40.807149, -73.173128)"
TX,San Antonio,78233,"San Antonio, TX 78233
(29.553181, -98.366284)"
NC,Durham,27703,"Durham, NC 27703
(35.962856, -78.827304)"
FL,Jacksonville,32218,"Jacksonville, FL 32218
(30.462007, -81.66104)"
CA,Mcclellan,95652,"Mcclellan, CA 95652
(38.660631, -121.3997)"
WA,Sammamish,98075,"Sammamish, WA 98075
(47.586173, -122.028168)"
CA,Bakersfield,93307,"Bakersfield, CA 93307
(35.277962, -118.942809)"
CA,El Sobrante,94803,"El Sobrante, CA 94803
(37.966915, -122.289275)"
IA,Cedar Rapids,52402,"Cedar Rapids, IA 52402
(42.022021, -91.657619)"
CA,Martinez,94553,"Martinez, CA 94553
(37.990808, -122.129782)"
