"inci_no","agency","inci_pri","time_received","monthbegin","inci_type","inci_type_description","zone","time_dispatched","time_en_route","time_at_scene","ym","ymdh","mmss","dispo_cd_desc","unit","year","month","responsetimeseconds","responsetimeminutes"
"8CO0023110","P","2","2018-03-13T19:45:32.000","2018-03-01T00:00:00.000","911","911 HANGUP","2",,,,"201803","2018031319","4733","CANCELLED",,"2018","3",,
"9CO0007178","P","2","2019-01-25T16:31:41.000","2019-01-01T00:00:00.000","911","911 HANGUP","1",,,,"201901","2019012516","3148","CANCELLED",,"2019","1",,
"8CO0043756","P","2","2018-05-20T14:33:20.000","2018-05-01T00:00:00.000","911","911 HANGUP","3",,,,"201805","2018052014","3433","CANCELLED",,"2018","5",,
"8CO0104265","P","2","2018-11-30T05:39:52.000","2018-11-01T00:00:00.000","AC","AUDIBLE COM ALRM","1","2018-11-30T05:50:31.000","2018-11-30T05:50:45.000","2018-11-30T05:51:51.000","201811","2018113005","5643","ALARM PERSONNEL MALF","341","2018","11","719","12"
"8CO0097680","P","2","2018-11-07T03:27:40.000","2018-11-01T00:00:00.000","AC","AUDIBLE COM ALRM","4","2018-11-07T04:08:41.000","2018-11-07T04:11:40.000","2018-11-07T04:18:57.000","201811","2018110704","2554","ALARM UNKNOWN MALF","211","2018","11","3077","51.3"
"8CO0037518","P","3","2018-04-29T12:24:54.000","2018-04-01T00:00:00.000","653M","ANNOYING CALLS","3","2018-04-29T12:38:28.000","2018-04-29T12:38:36.000","2018-04-29T12:41:45.000","201804","2018042912","5418","NO REPORT TAKEN","132","2018","4","1011","16.9"
"8CO0032418","P","4","2018-04-13T00:10:30.000","2018-04-01T00:00:00.000","COMPCK","COMPLIANCE CHECK","9999","2018-04-13T00:10:30.000","2018-04-13T00:10:30.000","2018-04-13T00:10:30.000","201804","2018041302","212","NO REPORT TAKEN","PAC16","2018","4","0","0"
"8CO0053578","P","4","2018-06-20T18:41:38.000","2018-06-01T00:00:00.000","FU","FOLLOW UP","1","2018-06-20T18:41:38.000","2018-06-20T18:41:38.000","2018-06-20T18:41:38.000","201806","2018062019","1131","NO REPORT TAKEN","K54","2018","6","0","0"
"8CO0016831","P","3","2018-02-21T17:38:21.000","2018-02-01T00:00:00.000","CC","CITIZEN CONTACT","2","2018-02-21T18:30:42.000",,"2018-02-21T18:31:19.000","201802","2018022118","4149","NO REPORT TAKEN","321","2018","2","3178","53"
"8CO0036217","P","4","2018-04-25T07:37:15.000","2018-04-01T00:00:00.000","TS","TRAFFIC STOP","3","2018-04-25T07:37:15.000","2018-04-25T07:37:15.000","2018-04-25T07:37:15.000","201804","2018042507","4311","CITE ISSUED","M27","2018","4","0","0"
"8CO0084914","P","4","2018-09-27T17:21:59.000","2018-09-01T00:00:00.000","PROPCK","PROPERTY CHECK","1","2018-09-27T17:21:59.000","2018-09-27T17:21:59.000","2018-09-27T17:21:59.000","201809","2018092717","2300","NO REPORT TAKEN","211","2018","9","0","0"
"8CO0016774","P","4","2018-02-21T14:22:44.000","2018-02-01T00:00:00.000","ADDTL","ADDITIONAL INFO","1","2018-02-21T15:41:30.000",,"2018-02-21T15:44:00.000","201802","2018022116","3323","ADDTL INFO REPORT","112","2018","2","4876","81.3"
"8CO0094898","P","4","2018-10-29T09:32:26.000","2018-10-01T00:00:00.000","PROPCK","PROPERTY CHECK","1","2018-10-29T09:32:26.000","2018-10-29T09:32:26.000","2018-10-29T09:32:26.000","201810","2018102909","3527","NO REPORT TAKEN","A10","2018","10","0","0"
"9CO0007245","P","3","2019-01-25T19:48:11.000","2019-01-01T00:00:00.000","KEEP","KEEP THE PEACE","1","2019-01-25T19:59:00.000","2019-01-25T19:59:13.000","2019-01-25T20:05:35.000","201901","2019012520","4103","NO REPORT TAKEN","313","2019","1","1044","17.4"
"8CO0095732","P","2","2018-10-31T20:51:50.000","2018-10-01T00:00:00.000","911","911 HANGUP","3",,,,"201810","2018103120","5250","CANCELLED",,"2018","10",,
"8CO0108624","P","2","2018-12-15T03:24:51.000","2018-12-01T00:00:00.000","911","911 HANGUP","3",,,,"201812","2018121503","2755","OUTSIDE JURISDICTION",,"2018","12",,
"8CO0028279","P","2","2018-03-30T15:48:39.000","2018-03-01T00:00:00.000","415VER","DIST/VERBAL","2","2018-03-30T15:49:11.000","2018-03-30T15:49:16.000","2018-03-30T15:52:30.000","201803","2018033015","5833","NO REPORT TAKEN","121","2018","3","231","3.9"
"9CO0000496","P","3","2019-01-02T19:29:02.000","2019-01-01T00:00:00.000","415","DIST THE PEACE","2","2019-01-02T19:34:39.000","2019-01-02T19:34:39.000","2019-01-02T19:34:39.000","201901","2019010219","4437","NO REPORT TAKEN","311","2019","1","337","5.6"
"8CO0104343","P","3","2018-11-30T11:47:50.000","2018-11-01T00:00:00.000","23110","THROW OBJ - VEH","3",,,,"201811","2018113011","5532","PATROL INFORMATION",,"2018","11",,
"9CO0003911","P","4","2019-01-15T07:11:21.000","2019-01-01T00:00:00.000","FU","FOLLOW UP","1","2019-01-15T07:11:21.000","2019-01-15T07:11:21.000","2019-01-15T07:11:21.000","201901","2019011507","2822","NO REPORT TAKEN","125","2019","1","0","0"
"8CO0101877","P","4","2018-11-21T12:16:55.000","2018-11-01T00:00:00.000","VC","VEHICLE CHECK","3","2018-11-21T12:16:55.000","2018-11-21T12:16:55.000","2018-11-21T12:16:55.000","201811","2018112113","744","VEHICLE STORED","M28","2018","11","0","0"
"8CO0038145","P","2","2018-05-01T18:30:33.000","2018-05-01T00:00:00.000","AC","AUDIBLE COM ALRM","1","2018-05-01T18:39:05.000","2018-05-01T18:42:05.000","2018-05-01T18:56:18.000","201805","2018050118","5903","ALARM UNKNOWN MALF","311","2018","5","1545","25.8"
"8CO0053797","P","4","2018-06-21T13:14:09.000","2018-06-01T00:00:00.000","10851R","RECOVERED VEH","2","2018-06-21T13:14:09.000","2018-06-21T13:14:09.000","2018-06-21T13:14:09.000","201806","2018062114","24","VEHICLE STORED","P4","2018","6","0","0"
"8CO0083024","P","4","2018-09-21T14:45:16.000","2018-09-01T00:00:00.000","FU","FOLLOW UP","1","2018-09-21T14:45:16.000","2018-09-21T14:45:16.000","2018-09-21T14:45:16.000","201809","2018092115","4816","ADDTL INFO REPORT","121","2018","9","0","0"
"8CO0077740","P","4","2018-09-04T12:03:33.000","2018-09-01T00:00:00.000","487P","GRAND THEFT PAST","1","2018-09-04T12:08:22.000",,"2018-09-04T12:13:37.000","201809","2018090412","2621","NO REPORT TAKEN","111","2018","9","604","10.1"
"9CO0011846","P","4","2019-02-09T16:48:32.000","2019-02-01T00:00:00.000","ADDTL","ADDITIONAL INFO","1","2019-02-09T17:10:46.000","2019-02-09T17:10:50.000","2019-02-09T17:21:47.000","201902","2019020917","5910","NO REPORT TAKEN","212","2019","2","1995","33.2"
"8CO0092650","P","2","2018-10-22T08:45:39.000","2018-10-01T00:00:00.000","AC","AUDIBLE COM ALRM","1","2018-10-22T08:47:07.000","2018-10-22T08:51:17.000","2018-10-22T08:54:33.000","201810","2018102209","43","ALARM UNKNOWN MALF","111","2018","10","534","8.9"
"9CO0002219","P","2","2019-01-08T23:44:40.000","2019-01-01T00:00:00.000","911","911 HANGUP","3",,,,"201901","2019010823","4510","CANCELLED",,"2019","1",,
"8CO0111737","P","4","2018-12-25T16:22:52.000","2018-12-01T00:00:00.000","530P","MAIL THEFT","3","2018-12-25T16:26:00.000","2018-12-25T16:29:35.000","2018-12-25T17:10:49.000","201812","2018122517","3106","NO REPORT TAKEN","131","2018","12","2877","48"
"8CO0050917","P","2","2018-06-12T18:08:05.000","2018-06-01T00:00:00.000","911","911 HANGUP","2",,,,"201806","2018061218","1614","CANCELLED",,"2018","6",,
"8CO0021221","P","4","2018-03-08T04:43:44.000","2018-03-01T00:00:00.000","TS","TRAFFIC STOP","4","2018-03-08T04:43:44.000","2018-03-08T04:43:44.000","2018-03-08T04:43:44.000","201803","2018030804","5044","ADVISED","345","2018","3","0","0"
"8CO0098156","P","2","2018-11-08T17:03:44.000","2018-11-01T00:00:00.000","AR","AUDIBLE RES ALRM","3","2018-11-08T18:19:21.000","2018-11-08T17:04:29.000","2018-11-08T18:30:45.000","201811","2018110818","3539","NO REPORT TAKEN","231","2018","11","5221","87"
"8CO0084877","P","3","2018-09-27T15:26:36.000","2018-09-01T00:00:00.000","AREA","AREA CHECK","3",,,,"201809","2018092715","3826","PATROL INFORMATION",,"2018","9",,
"8CO0002118","P","4","2018-01-07T21:07:33.000","2018-01-01T00:00:00.000","PROPCK","PROPERTY CHECK","1","2018-01-07T21:07:33.000","2018-01-07T21:07:33.000","2018-01-07T21:07:33.000","201801","2018010721","1102","NO REPORT TAKEN","231","2018","1","0","0"
"8CO0112315","P","4","2018-12-27T20:09:34.000","2018-12-01T00:00:00.000","VC","VEHICLE CHECK","1","2018-12-27T20:09:34.000","2018-12-27T20:09:34.000","2018-12-27T20:09:34.000","201812","2018122720","1801","ADVISED","312","2018","12","0","0"
"8CO0084047","P","3","2018-09-25T03:58:05.000","2018-09-01T00:00:00.000","AREA","AREA CHECK","1","2018-09-25T04:02:06.000","2018-09-25T04:02:11.000","2018-09-25T04:04:39.000","201809","2018092504","2207","NO REPORT TAKEN","311","2018","9","394","6.6"
"8CO0012800","P","2","2018-02-08T08:36:35.000","2018-02-01T00:00:00.000","AR","AUDIBLE RES ALRM","3","2018-02-08T08:37:53.000","2018-02-08T08:38:33.000","2018-02-08T08:43:21.000","201802","2018020808","4749","ALARM PERSONNEL MALF","131","2018","2","406","6.8"
"8CO0006685","P","4","2018-01-20T21:06:30.000","2018-01-01T00:00:00.000","TS","TRAFFIC STOP","1","2018-01-20T21:06:30.000","2018-01-20T21:06:30.000","2018-01-20T21:06:30.000","201801","2018012021","2118","CITE ISSUED","312","2018","1","0","0"
"8CO0099762","P","3","2018-11-14T02:13:53.000","2018-11-01T00:00:00.000","415","DIST THE PEACE","2","2018-11-14T02:15:07.000","2018-11-14T02:15:17.000","2018-11-14T02:19:43.000","201811","2018111402","2840","NO REPORT TAKEN","321","2018","11","350","5.8"
"9CO0003909","P","4","2019-01-15T06:57:53.000","2019-01-01T00:00:00.000","TS","TRAFFIC STOP","4","2019-01-15T06:57:53.000","2019-01-15T06:57:53.000","2019-01-15T06:57:53.000","201901","2019011507","1051","CITE ISSUED","M27","2019","1","0","0"
"9CO0011340","P","4","2019-02-08T05:28:13.000","2019-02-01T00:00:00.000","488P","PETTY THEFT PAST","2",,,,"201902","2019020806","2311","CANCELLED",,"2019","2",,
"8CO0051318","P","3","2018-06-13T20:45:13.000","2018-06-01T00:00:00.000","HSVIOL","H&S CODE VIOL","4",,,,"201806","2018061320","4955","PATROL INFORMATION",,"2018","6",,
"8NO0000186","P","4","2018-06-24T12:23:51.000","2018-06-01T00:00:00.000","PATINF","PATROL INFO","RSO",,,,"201806","2018062412","2431","PATROL INFORMATION",,"2018","6",,
"8CO0002942","P","1","2018-01-10T13:28:43.000","2018-01-01T00:00:00.000","STRUCT","STRUCTURE FIRE","4","2018-01-10T13:29:31.000",,"2018-01-10T13:36:26.000","201801","2018011013","3858","NO REPORT TAKEN","M54","2018","1","463","7.7"
"8CO0058209","P","2","2018-07-04T22:22:38.000","2018-07-01T00:00:00.000","911","911 HANGUP","2",,,,"201807","2018070422","2257","CANCELLED",,"2018","7",,
"8CO0051251","P","2","2018-06-13T16:20:00.000","2018-06-01T00:00:00.000","911","911 HANGUP","3",,,,"201806","2018061316","2102","CANCELLED",,"2018","6",,
"8CO0006298","P","2","2018-01-19T19:42:55.000","2018-01-01T00:00:00.000","AR","AUDIBLE RES ALRM","4","2018-01-19T19:43:26.000","2018-01-19T19:43:45.000","2018-01-19T19:53:30.000","201801","2018011919","5920","ALARM UNKNOWN MALF","341","2018","1","635","10.6"
"8CO0017306","P","4","2018-02-23T09:48:48.000","2018-02-01T00:00:00.000","TS","TRAFFIC STOP","2","2018-02-23T09:48:48.000","2018-02-23T09:48:48.000","2018-02-23T09:48:48.000","201802","2018022309","5411","ADVISED","121","2018","2","0","0"
"9CO0001478","P","2","2019-01-06T16:32:58.000","2019-01-01T00:00:00.000","911","911 HANGUP","1",,,,"201901","2019010616","3804","CANCELLED",,"2019","1",,
"8CO0080007","P","3","2018-09-11T18:52:15.000","2018-09-01T00:00:00.000","KEEP","KEEP THE PEACE","1","2018-09-11T18:55:47.000","2018-09-11T18:55:54.000","2018-09-11T19:06:04.000","201809","2018091119","2741","NO REPORT TAKEN","312","2018","9","829","13.8"
"8CO0087922","P","4","2018-10-07T10:06:24.000","2018-10-01T00:00:00.000","PATINF","PATROL INFO","4",,,,"201810","2018100710","732","PATROL INFORMATION",,"2018","10",,
"8CO0106014","P","2","2018-12-05T22:10:59.000","2018-12-01T00:00:00.000","415DV","DOMESTIC DISTURB","4","2018-12-05T22:13:49.000","2018-12-05T22:14:05.000","2018-12-05T22:20:59.000","201812","2018120522","4012","NO REPORT TAKEN","341","2018","12","600","10"
"8CO0034064","P","3","2018-04-18T08:11:54.000","2018-04-01T00:00:00.000","415","DIST THE PEACE","3","2018-04-18T08:12:27.000","2018-04-18T08:12:44.000","2018-04-18T08:17:15.000","201804","2018041809","252","NO REPORT TAKEN","131","2018","4","321","5.3"
"8CO0021159","P","4","2018-03-07T21:15:35.000","2018-03-01T00:00:00.000","PROPCK","PROPERTY CHECK","2","2018-03-07T21:15:35.000","2018-03-07T21:15:35.000","2018-03-07T21:15:35.000","201803","2018030721","3247","NO REPORT TAKEN","321","2018","3","0","0"
"8CO0058536","P","4","2018-07-05T20:46:42.000","2018-07-01T00:00:00.000","PATINF","PATROL INFO","2",,,,"201807","2018070520","5339","PATROL INFORMATION",,"2018","7",,
"8CO0078734","P","3","2018-09-07T15:04:10.000","2018-09-01T00:00:00.000","488","PETTY THEFT","1","2018-09-07T15:40:49.000","2018-09-07T15:40:49.000","2018-09-07T15:40:49.000","201809","2018090715","5934","NO REPORT TAKEN","241","2018","9","2199","36.6"
"8CO0091252","P","2","2018-10-17T19:37:35.000","2018-10-01T00:00:00.000","911","911 HANGUP","1",,,,"201810","2018101719","3837","CANCELLED",,"2018","10",,
"8CO0070584","P","4","2018-08-13T13:21:51.000","2018-08-01T00:00:00.000","OVC","OC VEH CHK","1","2018-08-13T13:21:51.000","2018-08-13T13:21:51.000","2018-08-13T13:21:51.000","201808","2018081313","2419","NO REPORT TAKEN","121","2018","8","0","0"
"8CO0108317","P","4","2018-12-14T07:22:52.000","2018-12-01T00:00:00.000","FP","FOUND PROPERTY","3","2018-12-14T07:28:56.000","2018-12-14T07:37:42.000","2018-12-14T07:43:27.000","201812","2018121410","1018","REPORT TAKEN","132","2018","12","1235","20.6"
"8CO0049064","P","4","2018-06-06T16:15:33.000","2018-06-01T00:00:00.000","1182P","T/C NON INJ PAST","2","2018-06-06T16:15:37.000",,,"201806","2018060616","1544","REPORT TAKEN","TSB","2018","6",,
"8CO0017515","P","2","2018-02-23T21:35:30.000","2018-02-01T00:00:00.000","AC","AUDIBLE COM ALRM","1","2018-02-23T21:35:49.000","2018-02-23T21:35:59.000","2018-02-23T21:41:35.000","201802","2018022321","4549","ALARM UNKNOWN MALF","311","2018","2","365","6.1"
"8CO0024884","P","4","2018-03-19T19:09:25.000","2018-03-01T00:00:00.000","TS","TRAFFIC STOP","1","2018-03-19T19:09:25.000","2018-03-19T19:09:25.000","2018-03-19T19:09:25.000","201803","2018031919","1936","CITE ISSUED","343","2018","3","0","0"
"8CO0063943","P","4","2018-07-23T10:46:27.000","2018-07-01T00:00:00.000","TS","TRAFFIC STOP","1","2018-07-23T10:46:27.000","2018-07-23T10:46:27.000","2018-07-23T10:46:27.000","201807","2018072310","5159","ADVISED","142","2018","7","0","0"
"8CO0022538","P","1","2018-03-11T23:25:41.000","2018-03-01T00:00:00.000","242DV","DOMESTIC VIOLENC","1","2018-03-11T23:25:47.000","2018-03-11T23:25:57.000","2018-03-11T23:29:33.000","201803","2018031200","1156","FI TAKEN","312","2018","3","232","3.9"
"8CO0013109","P","4","2018-02-09T09:34:32.000","2018-02-01T00:00:00.000","CS","CITE SIGN OFF","1","2018-02-09T10:06:45.000","2018-02-09T10:06:45.000","2018-02-09T10:06:45.000","201802","2018020910","5008","NO REPORT TAKEN","M54","2018","2","1933","32.2"
"8CO0050247","P","3","2018-06-10T17:09:30.000","2018-06-01T00:00:00.000","KEEP","KEEP THE PEACE","4","2018-06-10T18:56:23.000","2018-06-10T19:01:41.000","2018-06-10T19:10:12.000","201806","2018061019","3824","NO REPORT TAKEN","341","2018","6","7242","120.7"
"8CO0100816","P","3","2018-11-17T17:39:11.000","2018-11-01T00:00:00.000","AREA","AREA CHECK","1","2018-11-17T17:40:23.000","2018-11-17T17:40:28.000",,"201811","2018111717","4526","GONE ON ARRIVAL","211","2018","11",,
"8CO0100123","P","2","2018-11-15T10:04:38.000","2018-11-01T00:00:00.000","451P","ARSON PAST","3","2018-11-15T10:07:42.000",,"2018-11-15T10:37:15.000","201811","2018111511","1427","NO REPORT TAKEN","131","2018","11","1957","32.6"
"8CO0036613","P","4","2018-04-26T15:47:46.000","2018-04-01T00:00:00.000","PATINF","PATROL INFO","1",,,,"201804","2018042615","4845","PATROL INFORMATION",,"2018","4",,
"8CO0007336","P","3","2018-01-22T22:16:15.000","2018-01-01T00:00:00.000","AREA","AREA CHECK","4","2018-01-22T22:24:35.000","2018-01-22T22:24:39.000","2018-01-22T22:25:34.000","201801","2018012222","3150","NO REPORT TAKEN","342","2018","1","559","9.3"
"8CO0056107","P","3","2018-06-29T00:01:13.000","2018-06-01T00:00:00.000","SUSPP","SUSP PERSON","2","2018-06-29T00:03:52.000","2018-06-29T00:03:52.000","2018-06-29T00:03:52.000","201806","2018062900","817","NO REPORT TAKEN","321","2018","6","159","2.6"
"8CO0079334","P","4","2018-09-09T15:39:13.000","2018-09-01T00:00:00.000","FU","FOLLOW UP","3","2018-09-09T15:39:13.000","2018-09-09T15:39:13.000","2018-09-09T15:39:13.000","201809","2018090915","4953","ADDTL INFO REPORT","131","2018","9","0","0"
"8CO0100513","P","4","2018-11-16T16:35:23.000","2018-11-01T00:00:00.000","594P","VANDALISM PAST","4","2018-11-16T16:35:30.000",,,"201811","2018111616","3541","REPORT TAKEN","TSB","2018","11",,
"8CO0048939","P","2","2018-06-06T10:09:14.000","2018-06-01T00:00:00.000","911","911 HANGUP","4",,,,"201806","2018060610","1053","CANCELLED",,"2018","6",,
"8CO0019225","P","4","2018-03-01T15:47:20.000","2018-03-01T00:00:00.000","TS","TRAFFIC STOP","3","2018-03-01T15:47:20.000","2018-03-01T15:47:20.000","2018-03-01T15:47:20.000","201803","2018030115","5004","CITE ISSUED","M24","2018","3","0","0"
"8CO0048245","P","4","2018-06-04T07:51:04.000","2018-06-01T00:00:00.000","459CP","BURG COMM PAST","2","2018-06-04T08:08:41.000","2018-06-04T08:08:45.000","2018-06-04T08:16:31.000","201806","2018060408","3734","REPORT TAKEN","125","2018","6","1527","25.4"
"8CO0022721","P","1","2018-03-12T14:38:10.000","2018-03-01T00:00:00.000","415PHY","DIST/PHYSICAL","3","2018-03-12T14:38:22.000","2018-03-12T14:38:49.000","2018-03-12T14:44:29.000","201803","2018031215","518","NO REPORT TAKEN","231","2018","3","379","6.3"
"8CO0067723","P","2","2018-08-04T06:16:48.000","2018-08-01T00:00:00.000","AC","AUDIBLE COM ALRM","4",,,,"201808","2018080406","3805","CANCELLED",,"2018","8",,
"8CO0084455","P","4","2018-09-26T10:05:46.000","2018-09-01T00:00:00.000","459VP","BURG VEH PAST","2",,,,"201809","2018092610","716","CANCELLED",,"2018","9",,
"8CO0014424","P","4","2018-02-13T19:53:36.000","2018-02-01T00:00:00.000","PROPCK","PROPERTY CHECK","4","2018-02-13T19:53:36.000","2018-02-13T19:53:36.000","2018-02-13T19:53:36.000","201802","2018021319","5436","NO REPORT TAKEN","341","2018","2","0","0"
"8CO0026762","P","2","2018-03-25T21:25:38.000","2018-03-01T00:00:00.000","911","911 HANGUP","3",,,,"201803","2018032521","2817","CANCELLED",,"2018","3",,
"8CO0051673","P","4","2018-06-14T21:14:40.000","2018-06-01T00:00:00.000","TS","TRAFFIC STOP","3","2018-06-14T21:14:40.000","2018-06-14T21:14:40.000","2018-06-14T21:14:40.000","201806","2018061421","1941","CITE ISSUED","M24","2018","6","0","0"
"8CO0108879","P","4","2018-12-16T00:03:15.000","2018-12-01T00:00:00.000","TS","TRAFFIC STOP","2","2018-12-16T00:03:15.000","2018-12-16T00:03:15.000","2018-12-16T00:03:15.000","201812","2018121600","406","NO REPORT TAKEN","322","2018","12","0","0"
"8CO0112380","P","2","2018-12-28T04:28:08.000","2018-12-01T00:00:00.000","911","911 HANGUP","1",,,,"201812","2018122804","3145","CANCELLED",,"2018","12",,
"8CO0027242","P","2","2018-03-27T12:16:04.000","2018-03-01T00:00:00.000","911","911 HANGUP","3",,,,"201803","2018032712","1608","CANCELLED",,"2018","3",,
