"fiscal_year","budget_unit","budget_unit_title","account_code","description","_1st_rev_subacct_title","_2nd_rev_subacct_title","approved_amount","revenues_to_date","balance_remaining"
"18","104870","TOURISM/EXPLORATION CTR","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","341.18","-341.18"
"18","104935","APTS ABOVE STATES ATTOR","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"19","649070","SECT 5311-GENRL-ANNAPOLIS","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","38400","15188.06","23211.94"
"19","656050","SSTAP-DRIVER","33175","ST SSTAP OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","124899","39436.1","85462.9"
"18","200000","SANITARY ADMINISTRATION","35712","DEVELOPMT REVIEW-SANITARY","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","2000","1279.53","720.47"
"19","142110","BOE GROUNDSKEEPING","37346","MAINTENANCE CHGS","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","330037","330037","0"
"18","200000","SANITARY ADMINISTRATION","35709","CONNECTION FEES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","9000","6000","3000"
"19","870010","OPEB TRUST-QAC LIBRARY","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","132.36","-132.36"
"19","590010","EDC REVOLVING LOAN FUND","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","1635.12","-1635.12"
"18","122000","ENGINEERING DIVISION","35612","DEVELOPMT REVIEW-P.WORKS","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","75000","48238.07","26761.93"
"18","105620","DIV LAND USE & ZONING","35210","BUILDING APPEALS BD FILE","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","0","0","0"
"19","104500","GENERAL SERVICES","39217","HUNTING LEASES","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","12092","-12092"
"19","278000","SKI ASSESSMENTS","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","10394498.38","-10394498.38"
"19","111000","DETENTION CENTER","35430","HOME DETENTION FEES","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","12000","2234","9766"
"18","105620","DIV LAND USE & ZONING","35230","IMPACT FEE - 2% ADMIN FEE","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","0","0","0"
"19","649050","SECT 5311-DRIVR-ANNAPOLIS","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","51220","20549.69","30670.31"
"19","510010","LAW LIBRARY FUND","35102","COURT FEES","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","10000","7988.06","2011.94"
"18","105620","DIV LAND USE & ZONING","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","634.8","-634.8"
"19","480010","CAPITAL PROJECTS-ROADS","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","3202.01","-3202.01"
"18","110000","SHERIFF'S OFFICE","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","480010","CAPITAL PROJECTS-ROADS","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","1382.94","-1382.94"
"19","655040","ACCESS TO JOBS-ADMIN","36090","OTHER AGING CHGS","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","0","5100","-5100"
"19","615020","MFP - MD ACCESS POINT","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","80161","38959","41202"
"19","609010","VEIP-VULNERABLE & ELDERLY","33145","ST ELDERLY OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","3817","992","2825"
"19","433100","GRASONVILLE- RESIDENTIAL","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","8800","14472.38","-5672.38"
"18","110000","SHERIFF'S OFFICE","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","103.59","-103.59"
"18","110000","SHERIFF'S OFFICE","39030","RESTR DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","196.68","-196.68"
"18","110000","SHERIFF'S OFFICE","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","110000","SHERIFF'S OFFICE","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","36.7","-36.7"
"18","320010","BAY BRIDGE AIRPORT OPERAT","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","4896","4435","461"
"18","200000","SANITARY ADMINISTRATION","35735","INSPECTION FEES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","50000","265571.09","-215571.09"
"19","225000","RESTRICTED FUND-SEWER","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","5317.38","-5317.38"
"18","110012","PORT SECURITY GRANT","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","320010","BAY BRIDGE AIRPORT OPERAT","39016","T-HANGAR RENT","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","190000","241010.5","-51010.5"
"18","110040","SHERIFF CONFISCATED FED $","37851","CONFISCATED CASH ASSTS","T-FINES & FORFEITURES",,"0","0","0"
"18","110040","SHERIFF CONFISCATED FED $","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","110042","REIMBURSABL SPECIAL EVENT","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","210010","KNSG WTR ADMINISTRATION","35706","WATER METER CHGS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","25000","20195","4805"
"19","636010","SENIOR CENTERS-GENERAL","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","8000","3000","5000"
"18","110047","MARIJUANA ERADICATION","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","350.56","-350.56"
"19","225000","RESTRICTED FUND-SEWER","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","20784.11","-20784.11"
"18","110520","DESEM - EMERG MGMT","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"19","278000","SKI ASSESSMENTS","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","922368.38","-922368.38"
"18","110530","DESEMS - MEDICAL SERV","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","199000","GENERAL REVENUE","31002","TRADERS","T-LICENSES & PERMITS REV",,"77215","3249.7","73965.3"
"18","110530","DESEMS - MEDICAL SERV","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","920","-920"
"18","110530","DESEMS - MEDICAL SERV","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","110530","DESEMS - MEDICAL SERV","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","110540","DESCOM - COMMUNICATIONS","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","657090","SECT 5311-CAPITAL GRANTS","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","33020","11786.77","21233.23"
"18","110540","DESCOM - COMMUNICATIONS","36367","SODAS/LANCE FOOD FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"18","110540","DESCOM - COMMUNICATIONS","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","110540","DESCOM - COMMUNICATIONS","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","110560","DES - ADMIN","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","110560","DES - ADMIN","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"19","652050","SECT 5311-DRIVR-GRASONVLL","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","0","0","0"
"18","110575","DES - MIEMSS","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","111000","DETENTION CENTER","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","111000","DETENTION CENTER","35427","R&B-FED REIMBURSMT","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","0","447","-447"
"19","110571","DES - SLA EMPG","32105","FED SLA/ADMIN OP GRANT","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","110827","54867.11","55959.89"
"18","111000","DETENTION CENTER","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","227000","RESTRICTED FUNDS- WATER","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","309.32","-309.32"
"18","201000","KNSG WW NON-OPERATING","38851","GAIN/LOSS-DISPOSAL C.ASST","T-MISCELLANEOUS REV","T-GAIN/LOSS-DISPSL/C.ASST","0","25000","-25000"
"18","111500","ANIMAL CONTROL","31042","ANIMAL LIC / POSTAGE","T-LICENSES & PERMITS REV",,"0","3","-3"
"18","111500","ANIMAL CONTROL","31043","MICROCHIP","T-LICENSES & PERMITS REV",,"0","0","0"
"18","111500","ANIMAL CONTROL","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","610010","OMBUDSMAN","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","1761","0","1761"
"19","228000","BNR/ENR SWR RESTRICTED","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","274.6","-274.6"
"18","111500","ANIMAL CONTROL","39030","RESTR DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","120000","PUBLIC WORKS ADMIN","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","120000","PUBLIC WORKS ADMIN","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","120000","PUBLIC WORKS ADMIN","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","120000","PUBLIC WORKS ADMIN","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","32.38","-32.38"
"18","121010","SOLID WASTE ADMINISTRATN","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","121020","TRANSFER","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","201000","KNSG WW NON-OPERATING","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","-25000","25000"
"19","435100","GOODWILL- RESIDENTIAL","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","99500","25233.93","74266.07"
"18","199000","GENERAL REVENUE","39245","OVER/SHORT","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","-166.19","166.19"
"18","123000","ROADS ADMINISTRATION","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","123000","ROADS ADMINISTRATION","35612","DEVELOPMT REVIEW-P.WORKS","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","0","-500","500"
"18","123000","ROADS ADMINISTRATION","35626","CASH DEP AGMT(CDA) RECPTS","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","0","0","0"
"19","718000","CO-FUNDED CWF REVLV LOANS","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","810.28","-810.28"
"18","123000","ROADS ADMINISTRATION","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","123000","ROADS ADMINISTRATION","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"19","300000","BLUE HERON GOLF COURSE OP","36356","RENTAL CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","80000","52377","27623"
"19","436750","CHVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","1888","-1888"
"19","611010","OMBUDSMAN STATE INITIATIV","33140","ST DEPT OF AGING OP","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","5445","1337","4108"
"18","141000","RECREATION GENERAL OPERAT","36368","TOURNAMENT/PARK RENTS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"18","141000","RECREATION GENERAL OPERAT","39055","ADVERTISING REVENUE","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","900","-900"
"19","199000","GENERAL REVENUE","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","261037","19782.44","241254.56"
"18","141110","LEAGUES","36494","MERCHANDISE SALE-TAXABLE","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"19","621020","FAMILY CAREGIVER-INFO","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","11582","0","11582"
"19","480010","CAPITAL PROJECTS-ROADS","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","224.5","-224.5"
"19","565010","GROVE CREEK DREDGING","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","119.86","-119.86"
"18","142000","PARK MAINTENANCE","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","110000","SHERIFF'S OFFICE","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","-878.72","878.72"
"18","142000","PARK MAINTENANCE","36303","PARKS & REC-USER CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"18","142000","PARK MAINTENANCE","36304","PARKS & REC-COMM SVC FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","500","375","125"
"18","142000","PARK MAINTENANCE","36367","SODAS/LANCE FOOD FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","100","0","100"
"18","142000","PARK MAINTENANCE","36368","TOURNAMENT/PARK RENTS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"18","142000","PARK MAINTENANCE","36369","BLEACHER RENTS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","300","430","-130"
"19","320010","BAY BRIDGE AIRPORT OPERAT","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","692.57","-692.57"
"19","199000","GENERAL REVENUE","30301","ADMISSION & AMUSEMENT TX","T-TAXES","T-OTHER LOCAL TAXES REV","170000","102465.53","67534.47"
"19","649050","SECT 5311-DRIVR-ANNAPOLIS","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","24188","7267.84","16920.16"
"19","155315","MATAPEAKE  CLUB HS OP","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","750","-750"
"18","142000","PARK MAINTENANCE","37804","COURT-ORDERED RESTITUTION","T-FINES & FORFEITURES",,"0","450","-450"
"18","142000","PARK MAINTENANCE","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","402.6","-402.6"
"18","142000","PARK MAINTENANCE","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","142000","PARK MAINTENANCE","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","412000","PUBLIC WORKS","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","142000","PARK MAINTENANCE","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","227000","RESTRICTED FUNDS- WATER","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","156273.04","-156273.04"
"19","320010","BAY BRIDGE AIRPORT OPERAT","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0.17","-0.17"
"18","142007","MATAPEAKE CLUBHOUSE","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","142014","LAND MGMT-CONQUEST PRESER","37804","COURT-ORDERED RESTITUTION","T-FINES & FORFEITURES",,"0","0","0"
"19","210010","KNSG WTR ADMINISTRATION","35735","INSPECTION FEES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","1500","1375","125"
"19","330010","PUBLIC LANDINGS OPERATING","36371","MATAPEAKE USER CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","75000","53168.15","21831.85"
"19","560010","PRICE'S CREEK DREDGING","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","124.15","-124.15"
"19","110000","SHERIFF'S OFFICE","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","10958.04","-10958.04"
"18","150050","WEED CONTROL","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","955.7","-955.7"
"19","682055","CHARACTER COUNTS!","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","2236","-2236"
"19","412000","PUBLIC WORKS","39041","RUBBLE SURCHARGE FEES","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","33217.19","-33217.19"
"19","550010","CRITICAL AREA/FOREST CONS","35225","NON-REFUNDBL/PYMT IN LIEU","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","0","9905","-9905"
"18","155315","MATAPEAKE  CLUB HS OP","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","600","-600"
"19","682045","HEALTHY FAM/HOME VISITING","33410","COMM PART HEALTH FAM/MSDE","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","296372","298512.99","-2140.99"
"19","320010","BAY BRIDGE AIRPORT OPERAT","39219","IMPROVED GROUND RENT","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","5689","2762.28","2926.72"
"18","165040","AID TO AGENCIES","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","105010","LIQUOR BOARD","31001","BEER, WINE & LIQUOR","T-LICENSES & PERMITS REV",,"102000","2230","99770"
"19","201000","KNSG WW NON-OPERATING","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","1059710.1","-1059710.1"
"18","180000","OTHER SOURCES / USES","37808","3-YR-OLD TAX SALE DEP REV","T-FINES & FORFEITURES",,"0","0","0"
"19","204000","SKI WW ADMINISTRATION","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","1.28","-1.28"
"19","650050","SECT 5311-DRIVR-SR CTR RT","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","24186","7267","16919"
"18","199000","GENERAL REVENUE","30108","CONSERVATION CREDITS","T-TAXES","T-LOCAL PROPERTY TAX REV","0","-662.44","662.44"
"19","110000","SHERIFF'S OFFICE","33115","ST POLICE PROTECTION OP","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","350000","174950.5","175049.5"
"19","655050","ACCESS TO JOBS-DRIVER","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","57063","23229","33834"
"19","199000","GENERAL REVENUE","31004","MARRIAGE","T-LICENSES & PERMITS REV",,"5000","8570","-3570"
"18","101540","FAMILY SERVICES COORD","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","165997","150864.6","15132.4"
"19","268000","BNR/ENR SWR DEBT SERVICE","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","6046.13","-6046.13"
"19","225000","RESTRICTED FUND-SEWER","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","25342.33","-25342.33"
"19","618040","HOME DELIVERED MEALS-GEN","33165","ST NUTRITION OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","23476","5869","17607"
"18","199000","GENERAL REVENUE","30309","IDOT RECORDATION TAX","T-TAXES","T-OTHER LOCAL TAXES REV","0","0","0"
"19","718000","CO-FUNDED CWF REVLV LOANS","30302","RECORDATION TX","T-TAXES","T-OTHER LOCAL TAXES REV","200000","96388.66","103611.34"
"19","142000","PARK MAINTENANCE","36304","PARKS & REC-COMM SVC FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","225","-225"
"19","199000","GENERAL REVENUE","30135","RAILROADS & P.UTILITIES","T-TAXES","T-LOCAL PROPERTY TAX REV","1653000","1810276.37","-157276.37"
"19","650050","SECT 5311-DRIVR-SR CTR RT","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","16482","7147","9335"
"19","199000","GENERAL REVENUE","30306","COUNTY TRANSFER TAX","T-TAXES","T-OTHER LOCAL TAXES REV","2002880","1145187.88","857692.12"
"18","199000","GENERAL REVENUE","38102","INTEREST INCOME-USERS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"19","123000","ROADS ADMINISTRATION","30510","HIGHWAY USER TX-SHARED","T-TAXES-STATE SHARED REV",,"531866","766640.08","-234774.08"
"19","615010","MONEY FOLLOWS THE PERSON","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","2750","1237.5","1512.5"
"19","105010","LIQUOR BOARD","37802","FINES","T-FINES & FORFEITURES",,"1000","1000","0"
"19","199000","GENERAL REVENUE","30302","RECORDATION TX","T-TAXES","T-OTHER LOCAL TAXES REV","5327551","3134419.11","2193131.89"
"18","200000","SANITARY ADMINISTRATION","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
