"file_number","file_name","location_acres","decision_date","planning_area","location_description","dld_reviewer","ded_reviewer","use_type_1","square_feet_1","use_type_2","square_feet_2","use_type_3","square_feet_3","coordinates"
"SDP-02-121","CROSSROADS CHURCH OF THE NAZARENE","10.293","2003-07-21T00:00:00.000","Ellicott City","SW SIDE OF ROGERS AVE OPPOSITE OLD FREDERICK RD","J. Anders","C. Edmondson","Church Expansion","17955",,,,,"(39.2981, -76.8137)"
"SDP-05-091","PATAPSCO VALLEY BUSINESS CENTER","30.304","2005-07-05T00:00:00.000","Elkridge","E SIDE COCA COLA DR N OF PARK CIRCLE DR","M. Antol","J. Smith","Industrial/Office","135984",,,,,"(39.1854, -76.7301)"
"SDP-04-079","GRACE COMMUNITY CHURCH","34.06","2004-08-03T00:00:00.000","Southeast","SOUTH SIDE OF PROPOSED MD 216","B. Luber","M. Jascewsky","Church","76642",,,,,"(39.1439, -76.913)"
"SDP-08-092","RIVERS CORPORATE PARK","9.3","2009-05-29T00:00:00.000","Columbia","TERMINUS OF RIVERWOOD DR","M. Antol","P. Thompson","Office","69136",,,,,"(39.1713, -76.8762)"
"SDP-02-056","ALBERTA GARY METHODIST CHURCH","1.472","2002-10-11T00:00:00.000","Columbia","N SIDE GUILFORD RD 2400' W OF THE INTERSECTION W/OAKLAND MILLS RD","B. Barth","P. Thompson","Parking Lot","0",,,,,"(39.1651, -76.8351)"
"SDP-01-081","VILLAGE OF OWEN BROWN","3.028","2001-09-27T00:00:00.000","Columbia","TERMINUS OF HILLSIDE CT","J. Hartner","P. Thompson","Office","45311",,,,,"(39.1961, -76.8548)"
"SDP-11-030","Mango Grove Redevelopment","0.679","2011-08-15T00:00:00.000","Columbia","SW QUADRANT RT 175 & DOBBIN RD","D. Boellner","J. Pancholi","Retail Site","2723","Restaurant","2007",,,"(39.1976, -76.8191)"
"SDP-00-048","HOWARD BUSINESS PARK","35.11","2000-06-12T00:00:00.000","Elkridge","TERMINUS OF DORSEY RUN RD S OF LOCUST AVE","B. Luber","Not Assigned","Mass Grading","0",,,,,"(39.1745, -76.7547)"
"SDP-07-093","B B & T BANK","1.11","2008-05-14T00:00:00.000","Southeast","W SIDE OF MONTPELIER RD AT JOHNS HOPKINS RD","D. Jones","C. Edmondson","Bank","3994",,,,,"(39.16, -76.8939)"
"SDP-06-148","MAPLE LAWN FARMS","8.532","2007-02-01T00:00:00.000","Southeast","E SIDE OF MAPLE LAWN BLVD OPPOSITE IAGER BLVD","K. Sheubrooks","C. Edmondson","Office","118980",,,,,"(39.1582, -76.9031)"
"SDP-05-153","PATAPSCO VALLEY BUSINESS CENTER","64.277","2006-07-06T00:00:00.000","Elkridge","HI TECH DR AT COCA COLA DR","M. Antol","J. Smith","Warehouse","671140","Office","50690",,,"(39.1902, -76.7335)"
"SDP-16-017","HOWARD SQUARE","5.46","2017-06-08T00:00:00.000","Elkridge","PORT CAPITAL DR AT WASHINGTON BLVD","T. Maenhardt","J. Pancholi","Retail Site","22304",,,,,"(39.1741, -76.7803)"
"SDP-03-046","GTW'S WAVERLY WOODS","6.715","2003-12-15T00:00:00.000","Ellicott City","SOUTH SIDE OF WARWICK WAY AT MARRIOTTSVILLE RD","B. Luber","P. Thompson","Retail Site","33240","Office","36000",,,"(39.3088, -76.8972)"
"SDP-10-049","GLENWOOD FIRE STATION","3","2011-05-25T00:00:00.000","Rural West","N SIDE CARRS MILL RD 500' W OF MD RT 97","J. Manion-Farrar","P. Thompson","Fire Station","9950",,,,,"(39.3033, -77.0225)"
"SDP-06-105","GTW'S WAVERLY WOODS","9.799","2007-06-22T00:00:00.000","Ellicott City","NORTH OF BIRMINGHAM WAY / WARWICK WAY INTERSECTION","T. Maenhardt","P. Thompson","Stormwater Man. Pond","0",,,,,"(39.3111, -76.8895)"
"SDP-05-019","HIGH RIDGE PARK","7.4","2005-02-16T00:00:00.000","Southeast","TERMINUS OF SUPERIOR AVE & E OF I-95","H. Bernadzikowski","C. Edmondson","Park Facilities","0",,,,,"(39.1139, -76.8645)"
"SDP-03-070","ST. JAMES UNITED METHODIST CHURCH","0.5","2004-03-01T00:00:00.000","Rural West","N SIDE OLD FREDERICK RD OPPOSITE ST. JAMES RD","J. Anders","J. Smith","Church School","6480",,,,,"(39.3197, -76.9447)"
"SDP-99-170","HOLLIFIELD ESTATES","0.338","2000-10-13T00:00:00.000","Ellicott City","N SIDE OF OLD FREDERICK RD W OF THE COUNTY LINE","Not Assigned","Not Assigned","Pumping Station","139",,,,,"(39.3107, -76.7954)"
"SDP-03-006","MAPLE LAWN FARMS","60.95","2003-01-06T00:00:00.000","Southeast","NW SIDE OF RT 29 & RT 216","K. Sheubrooks","Not Assigned","Mass Grading","0",,,,,"(39.1522, -76.9003)"
"SDP-01-057","MAIER INDUSTRAL PARK","1.39","2001-04-19T00:00:00.000","Southeast","EAST SIDE OF US RT 1 AT MAIER RD","Not Assigned","Not Assigned","Gas Station/Convenience Store","2960",,,,,"(39.1206, -76.8266)"
"SDP-06-071","YMCA BUILDING EXPANSION","4.64","2007-04-04T00:00:00.000","Ellicott City","N SIDE OF MONTGOMERY RD OPPOSITE LONG GATE PKY","K. Sheubrooks","P. Thompson","Health Club/Fitness Center","39792",,,,,"(39.2523, -76.8137)"
"SDP-00-073","SOUTH COLUMBIA BAPTIST CHURCH","9.786","2000-07-03T00:00:00.000","Columbia","S SIDE OF GUILFORD RD 200' E OF BROKEN LAND PKY","Not Assigned","Not Assigned","Church Expansion","12592",,,,,"(39.1672, -76.8576)"
"SDP-07-094","HARWOOD INDUSTRIAL PARK","7.088","2008-08-08T00:00:00.000","Elkridge","E SIDE MACAW CT","M. Antol","J. Witmer","Warehouse","18056","Office","6344",,,"(39.1973, -76.7282)"
"SDP-99-119","FREESTATE","9.196","2001-06-25T00:00:00.000","Southeast","SE QUADRANT OF GORMAN RD & FREESTATE DR","H. Bernadzikowski","Not Assigned","Warehouse","105550","Office","19620",,,"(39.1308, -76.8224)"
"SDP-16-040","TROY HILL CORP CENTER PAR A-30","2","2017-01-30T00:00:00.000","Elkridge","PARCEL WITHIN TROY HILL DR LOOP","N. Haines","Not Assigned","Shopping Center","15990",,,,,"(39.1942, -76.7498)"
"SDP-04-134","GLENWOOD COMMUNITY CENTER","189.65","2005-01-24T00:00:00.000","Rural West","NW QUADRANT CARRS MILL RD & RT 97","K. Sheubrooks","M. Jascewsky","Community Center","53961",,,,,"(39.3066, -77.0289)"
"SDP-05-023","VILLAGE OF RIVER HILL","1.01","2005-01-24T00:00:00.000","Columbia","N SIDE OF GREAT STAR DR AT MD RT 108","B. Barth","P. Thompson","Bank","3479",,,,,"(39.2105, -76.9381)"
"SDP-13-065","THE WELLNESS CENTER OF HOWARD COUNTY","2.727","2014-06-12T00:00:00.000","Elkridge","MARSHALEE DR S OF AVALON DR","J. Manion-Farrar","N. Yan","Day Care","13000",,,,,"(39.2088, -76.7806)"
"SDP-02-083","LYNDWOOD SQUARE","6.19","2002-08-16T00:00:00.000","Elkridge","W SIDE OF MARSHALEE DR 1400' S OF AVALON DR","M. Antol","A. Girma","Mass Grading","0",,,,,"(39.2081, -76.7792)"
"SDP-01-098","MOTIVA ENTERPRISES","1.319","2002-04-17T00:00:00.000","Columbia","S SIDE TEN OAKS RD ABOUT 100' WEST OF MD 108","H. Bernadzikowski","Not Assigned","Gas Station/Convenience Store","4070","Car Wash","1108",,,"(39.2062, -76.9434)"
"SDP-10-024","Waverly Woods Service Station","12.87","2010-05-05T00:00:00.000","Ellicott City","SOUTH OF WARWICK WAY, AT ITS INTERSECTON WITH BIRMINGHAM WAY","Not Assigned","P. Thompson","Gas Station/Convenience Store","2800",,,,,"(39.3081, -76.8902)"
"SDP-02-020","CENTRAL BOOKING & DISTRICT COURT","6","2003-03-18T00:00:00.000","Elkridge","E SIDE OF WATERLOO RD 1500' S OF US RT 1","B. Luber","P. Thompson","Booking Facility","9940",,,,,"(39.1677, -76.7807)"
"SDP-03-090","WOODMONT ACADEMY","66.1","2003-08-28T00:00:00.000","Rural West","N SIDE OF FREDERICK RD 950' W OF MCKENDREE RD","B. Luber","M. Jascewsky","School","27417",,,,,"(39.3191, -77.0037)"
"SDP-00-057","TOWN CENTER - THE MALL IN COLUMBIA","9","2000-03-20T00:00:00.000","Columbia","INTER. OF LITTLE PATUXENT PKY & GOV. WARFIELD PKY","Not Assigned","M. Kovach","Retail Site","78700","Movie Theatre","57500",,,"(39.2164, -76.8633)"
"SDP-05-030","SCHUSTER CONCRETE","4.99","2005-10-04T00:00:00.000","Southeast","S SIDE OF GUILFORD RD OPPOSITE DORSEY RUN RD","D. Jones","C. Edmondson","Concrete Plant","1776",,,,,"(39.1316, -76.7987)"
"SDP-02-079","ROUTE 108 COMMERCIAL","1.34","2002-07-19T00:00:00.000","Columbia","SW OF WATERLOO RD & SNOWDEN RIVER PKY","M. Antol","M. Kovach","Restaurant","3919",,,,,"(39.2095, -76.7998)"
"SDP-09-061","TRINITY HOMES @ CYPRESS SPRINGS","33.15","2010-02-02T00:00:00.000","Elkridge","S SIDE LAWYERS HILL RD S OF OLD LAWYERS HILL RD","T. Maenhardt","J. Pancholi","Forest Mitigation Bank","0",,,,,"(39.2152, -76.7182)"
"SDP-99-130","POTOMAC ABATEMENT INDUSTRIAL PARK","12.59","2000-08-07T00:00:00.000","Elkridge","S SIDE OF KIT KAT RD 1800' S OF US RT 1","Not Assigned","Not Assigned","Warehouse/Office","52400",,,,,"(39.1746, -76.7684)"
"SDP-09-035","FULTON ELEVATED WATER TANK","3.52","2009-04-23T00:00:00.000","Rural West","SCAGGSVILLE RD 980' WEST OF WESTSIDE BLVD","J. Boone","P. Thompson","Government Facilities","5000",,,,,"(39.1487, -76.913)"
"SDP-04-096","MAPLE LAWN","3.847","2004-08-20T00:00:00.000","Southeast","NW QUADRANT MAPLE LAWN BLVD & MD RT 216","K. Sheubrooks","M. Kovach","Retail Site","10941","Restaurant","9747","Bank","3400","(39.1481, -76.9073)"
"SDP-08-019","BRAMPTON HILLS","1.52","2009-01-07T00:00:00.000","Ellicott City","NW SIDE WIDDUP CT","M. Antol","P. Thompson","S.W.M. Facility","0",,,,,"(39.244, -76.8084)"
"SDP-14-066","HOWARD COMMUNITY COLLEGE S.E.T. BLDG","117.84","2015-01-06T00:00:00.000","Columbia","S OF LITTLE PATUXENT PKY OPPOSITE HARPERS FARM RD","B. Barth","P. Thompson","School Addition","144786",,,,,"(39.2119, -76.8779)"
"SDP-99-131","ROUNDING 3RD FAM. ENTERTAINMENT CTR","4.13","2000-02-04T00:00:00.000","Elkridge","S SIDE OF AMBERTON DR OPPOSITE SELNICK DR","Not Assigned","Not Assigned","Storage/Maintenance","2353",,,,,"(39.1898, -76.7529)"
"SDP-04-111","COLUMBIA TOWN CENTER","2.2","2004-06-08T00:00:00.000","Columbia","INTER. OF LITTLE PATUXENT PKY & GOV. WARFIELD PKY","H. Bernadzikowski","M. Kovach","Parking Lot","0",,,,,"(39.217, -76.8624)"
"SDP-14-059","DONALDSON FUNERAL HOME","3.195","2016-03-03T00:00:00.000","Rural West","W SIDE CLARKSVILLE PIKE S OF RT. 32","B. Barth","P. Thompson","Funeral Home","15981",,,,,"(39.2021, -76.9443)"
"SDP-05-152","MT. HEBRON PRESBYTERIAN CHURCH","7.9","2006-11-06T00:00:00.000","Ellicott City","W SIDE MT. HEBRON DR AT CALVIN CIR","M. Antol","P. Thompson","Parking Lot","0",,,,,"(39.3057, -76.8316)"
"SDP-06-014","VILLAGE OF RIVER HILL","1.703","2006-08-31T00:00:00.000","Columbia","E SIDE MD RT 108 N OF GREAT STAR DR","M. Antol","P. Thompson","Restaurant","5629",,,,,"(39.2111, -76.9376)"
"SDP-05-129","GBCWFM","14.11","2006-03-17T00:00:00.000","Southeast","APPROX. 1600' S. OF THE INTERSECTION OF POCOMOKE AVE. AND ASSATEAGUE DRIVE","M. Antol","M. Jascewsky","Truck Terminal","0",,,,,"(39.1644, -76.7821)"
"SDP-01-032","BALTIMORE WASHINGTON TECH CENTER","61.43","2001-11-30T00:00:00.000","Southeast","SOUTHEASTERN CORNER OF THE COUNTY","Not Assigned","A. Girma","Mass Grading","0",,,,,"(39.1065, -76.8345)"
"SDP-04-016","AYERS CORPORATION","2.124","2004-03-05T00:00:00.000","Southeast","SE SIDE DORSEY RUN RD 700' SW OF RT 175","B. Luber","A. Girma","Storage (Manu/Ind)","4000",,,,,"(39.1525, -76.7799)"
"SDP-13-077","DEMIREL PLAZA","2.0848","2015-07-07T00:00:00.000","Ellicott City","S SIDE OF FREDERICK RD W OF CENTENNIAL LN","D. Boellner","H. Pandullo","Office","12300",,,,,"(39.2781, -76.8622)"
"SDP-16-018","MERRIWEATHER POST PAVILLION & MERRIWEATHER PARK","4.08","2016-03-02T00:00:00.000","Columbia","AREA AROUND MERRIWEATHER POST PAVILLION","D. Jones","H. Pandullo","Office","13027","Commercial/Retail","35903",,,"(39.2085, -76.8619)"
"SDP-00-078","COLUMBIA ROUTE 108 COMMERCIAL","2.69","2000-10-27T00:00:00.000","Columbia","NW OF SNOWDEN RIVER PKY & RT 108","Not Assigned","M. Kovach","Assisted Living","28200",,,,,"(39.211, -76.8013)"
"SDP-07-051","CHERRYTREE PARK","7.994","2007-05-22T00:00:00.000","Southeast","W SIDE OF ICE CRYSTAL DR","K. Sheubrooks","C. Edmondson","Mass Grading","0",,,,,"(39.1421, -76.9028)"
"SDP-04-123","CHERRY TREE FARM","4.9","2004-12-27T00:00:00.000","Southeast","S SIDE OF SAND CHERRY LN W OF EARLY BUD WAY","K. Sheubrooks","J. Smith","Stream Restoration","0",,,,,"(39.1394, -76.8972)"
"SDP-14-007","MAPLE LAWN FARMS BUSINESS DIST AREA 2","5.7","2014-09-09T00:00:00.000","Southeast","E SIDE MAPLE LAWN BLVD","D. Jones","C. Edmondson","Office","130629",,,,,"(39.1519, -76.9021)"
"SDP-15-069","CVS/PHARMACY","4.04","2016-11-03T00:00:00.000","Elkridge","WASHINGTON BLVD OPPOSITE PORT CAPITAL DR","J. Boone","H. Pandullo","Pharmacy","13281",,,,,"(39.1743, -76.7776)"
"SDP-00-144","MEADOWRIDGE BUSINESS PARK","4.62","2001-11-02T00:00:00.000","Elkridge","NW SIDE US RT 1 S OF MEADOWRIDGE RD","J. Anders","Not Assigned","Warehouse","30000","Office","0",,,"(39.1836, -76.7659)"
"SDP-09-002","ROBINSON NATURE CENTER","18.4","2009-01-14T00:00:00.000","Columbia","W SIDE CEDAR LN OPPOSITE HARRIET TUBMAN LN","B. Barth","C. Edmondson","Nature Center","29675",,,,,"(39.1901, -76.8946)"
"SDP-04-023","SHALLOW RUN","11.918","2005-03-31T00:00:00.000","Elkridge","SOUTHWEST OF THE INTERSECTION OF HANOVER ROAD AND RACE ROAD","M. Antol","J. Smith","Industrial/Office","0",,,,,"(39.189, -76.7259)"
"SDP-02-116","OAKLAND EXECUTIVE PARK","6.86","2003-03-13T00:00:00.000","Columbia","NW QUADRANT OF MD RT 108 & CENTRE PARK DR","M. Antol","P. Thompson","Supermarket","56123","Retail Site","6300",,,"(39.2274, -76.8174)"
"SDP-11-041","Linwood Center, Inc.","4.19","2012-01-11T00:00:00.000","Ellicott City","TERMINUS OF MARTHA BUSH DRIVE","T. Maenhardt","H. Pandullo","School Addition","34278",,,,,"(39.2768, -76.8017)"
"SDP-01-054","STAYTON BUSINESS CENTER II","9.99","2001-08-17T00:00:00.000","Southeast","N SIDE OF STAYTON DR 1000' E OF GUILFORD RD","Not Assigned","Not Assigned","Warehouse","90376","Office","22594",,,"(39.1449, -76.8046)"
"SDP-01-045","NORBEL SCHOOL","8.447","2001-03-09T00:00:00.000","Elkridge","E OF OLD WASHINGTON BLVD 800' S OF ST AUGUSTINE AV","K. Sheubrooks","P. Thompson","School Addition","3680",,,,,"(39.2077, -76.7187)"
"SDP-00-056","HOWARD COMMUNITY COLLEGE","1.8","2000-03-08T00:00:00.000","Columbia","N SIDE OF HICKORY RIDGE RD OPPOSITE HIGH BEAM CT","Not Assigned","P. Thompson","Day Care","14750",,,,,"(39.2098, -76.8779)"
"SDP-10-081","COLLEGE AVENUE PUMPING STATION","20.297","2011-03-30T00:00:00.000","Ellicott City","NE SIDE COLLEGE AVE OPPOSITE HIGH CASTLE RD","B. Luber","J. Witmer","Forest Mitigation Bank","0",,,,,"(39.2546, -76.7836)"
"SDP-04-157","CHERRYTREE PARK - PH. III","0.227","2005-09-02T00:00:00.000","Southeast","SE QUADRANT US RT 29 & MD RT 216","K. Sheubrooks","M. Jascewsky","Pumping Station","200",,,,,"(39.1405, -76.9036)"
"SDP-05-087","COLUMBIA GATEWAY","7.71","2005-06-14T00:00:00.000","Columbia","TERMINUS OF LEE DEFOREST DR","M. Antol","M. Kovach","Warehouse","6500","Office","123500",,,"(39.1732, -76.8221)"
"SDP-08-015","PENSKE","17.47","2008-08-28T00:00:00.000","Southeast","SE SIDE US RT 1 N OF GUILFORD RD","J. Manion-Farrar","J. Pancholi","Car/Truck Repair Shop","0","Car/Truck Rental Office","21701",,,"(39.1456, -76.8068)"
"SDP-02-074","GTW'S WAVERLY WOODS","11.288","2002-06-25T00:00:00.000","Ellicott City","S SIDE WARWICK WAY E OF MARRIOTTSVILLE RD","S. Bennett","P. Thompson","Office","58000","Day Care","8000",,,"(39.307, -76.8952)"
"SDP-03-080","TOWN CENTER","9.06","2003-10-16T00:00:00.000","Columbia","S SIDE OF GOV. WARFIELD PKY OPPOSITE WINDSTREAM DR","M. Antol","M. Kovach","Roadway","0","Parcel (Commercial)","0",,,"(39.2191, -76.8624)"
"SDP-08-068","ALTA AT REGENCY CREST (ROGERS AVE. SENIOR HOUSING)","6.686","2009-12-17T00:00:00.000","Ellicott City","NORTHEAST CORNER OF ROGERS AVE. AT OAK WEST DRIVE","M. Antol","N. Yan","Community Room/Bldg","6566",,,,,"(39.2811, -76.8081)"
"SDP-01-111","CENTRAL TRANSPORT","8.3","2002-01-11T00:00:00.000","Elkridge","S SIDE OF BROOKDALE DR AT US RT 1","B. Luber","M. Jascewsky","Truck Terminal","16500",,,,,"(39.1792, -76.768)"
"SDP-00-139","OAKLAND RIDGE INDUSTRIAL PARK","1.14","2000-12-06T00:00:00.000","Columbia","TERMINUS OF RUMSEY RD","Not Assigned","Not Assigned","Office","18240",,,,,"(39.2355, -76.8226)"
"SDP-08-054","EMERSON","13.075","2008-10-22T00:00:00.000","Southeast","S SIDE OF GORMAN ROAD W SIDE OF ETERNAL RINGS DR & E OF I-95","K. Sheubrooks","A. Sharma","Mass Grading","0",,,,,"(39.1365, -76.848)"
"SDP-15-005","NAPA WASHINGTON","10.939","2016-05-16T00:00:00.000","Southeast","E SIDE OF WASHINGTON BLVD N OF DAVIS LN","J. Wellen","J. Pancholi","Warehouse","22798","Retail Site","1761","Office","5456","(39.1122, -76.8342)"
"SDP-04-012","MONTPELIER RESEARCH PARK","2","2004-05-12T00:00:00.000","Southeast","E SIDE OF MONTPELIER RD N OF JOHNS HOPKINS RD","H. Bernadzikowski","P. Thompson","Retail Site","20040",,,,,"(39.1606, -76.8922)"
"SDP-14-051","OWEN BROWN INTERFAITH CENTER - UUCC","2.192","2014-11-25T00:00:00.000","Columbia","N SIDE OF CRADLEROCK WAY","P. Britt-Fendlay","P. Thompson","Church Expansion","11664",,,,,"(39.1872, -76.8452)"
"SDP-11-003","Troy Park Phase I","47.82","2013-02-04T00:00:00.000","Elkridge","TERMINUS OF MANSION LN","J. Boone","C. Edmondson","Park","0",,,,,"(39.1961, -76.7611)"
"SDP-01-014","DORSEY RUN INDUSTRIAL PARK","26.88","2001-05-25T00:00:00.000","Southeast","TERMINUS OF PATUXENT RANGE ROAD","Not Assigned","Not Assigned","Warehouse","142800",,,,,"(39.1444, -76.7858)"
"SDP-06-010","BENSON EAST","13.33","2006-12-20T00:00:00.000","Columbia","SE QUADRANT OF WATERLOO RD & LARK BROWN RD","B. Barth","A. Sharma","Home Improvement/Retail","169328",,,,,"(39.183, -76.7924)"
"SDP-04-101","2 GO CONVENIENCE STORE","0.607","2004-06-17T00:00:00.000","Southeast","SW CORNER OF US 1 & HOWARD ST.","M. Antol","P. Thompson","Convenience Store","1656",,,,,"(39.1362, -76.8155)"
"SDP-05-107","RIDGLEYS RUN COMMUNITY CENTER","11.99","2006-03-02T00:00:00.000","Southeast","N SIDE MISSION RD NW OF PLEASANT CHASE RD","B. Luber","M. Jascewsky","Community Center","5836",,,,,"(39.1678, -76.8005)"
"SDP-10-021","Ellicott Gardens -Temporary Parking","2.53","2010-02-19T00:00:00.000","Elkridge","E SIDE WATERLOO RD N OF FALLS RUN RD","M. Antol","A. Sharma","Parking Lot","0",,,,,"(39.2203, -76.8063)"
"SDP-07-092","SHIPLEY'S GRANT","2.52","2008-02-08T00:00:00.000","Elkridge","WATERLOO RD OPPOSITE BROTHERS PARTNERSHIP CT","M. Antol","A. Sharma","Pathway","0","Fountain/Landscape Feature","0",,,"(39.2156, -76.8012)"
"SDP-06-024","MONTGOMERY STATION","1.287","2006-10-31T00:00:00.000","Ellicott City","SW SIDE MONTGOMERY RD OPPOSITE HALE HAVEN DR","B. Barth","A. Sharma","Storage Building","3175","Shopping Center","10200","Office","3500","(39.2373, -76.7999)"
"SDP-03-093","WIN KELLY MITSUBISHI","2.5","2003-12-22T00:00:00.000","Columbia","TERMINUS OF AUTO DR","H. Bernadzikowski","P. Thompson","Auto Retail Sales/Service","15570",,,,,"(39.2114, -76.9447)"
"SDP-13-045","Goddard School","0.985","2014-05-27T00:00:00.000","Elkridge","WATERLOO RD S OF MONTGOMERY RUN RD","Not Assigned","N. Yan","Day Care","9506",,,,,"(39.2163, -76.8046)"
"SDP-05-124","EMERSON","2.6","2006-04-07T00:00:00.000","Southeast","E SIDE OF PALACE HALL DR","K. Sheubrooks","M. Kovach","PAR","0",,,,,"(39.1366, -76.8554)"
"SDP-08-082","CORRIDOR 95 BUSINESS PARK","39.55","2013-05-03T00:00:00.000","Elkridge","SE CORNER OF I-95 AND MD 100","D. Boellner","C. Edmondson","Office","108000",,,,,"(39.1907, -76.7705)"
"SDP-06-095","COLUMBIA GATEWAY","0.81","2007-05-11T00:00:00.000","Columbia","COLUMBIA GATEWAY DR OPPOSITE ELI WITNEY DR","C. Heidler","M. Kovach","Restaurant","4592",,,,,"(39.1844, -76.8029)"
"SDP-15-068","COLUMBIA TOWN CENTER - CRESCENT PROP","4.389","2015-12-18T00:00:00.000","Columbia","SE QUADRANT LITTLE PATUXENT PKY & BROKEN LAND PKY","J. Manion-Farrar","H. Pandullo","Retail Site","4000","Restaurant","16000","Office","333500","(39.2106, -76.8661)"
"SDP-01-028","ALTERNATIVE LEARNING CENTER","44.66","2001-06-07T00:00:00.000","Columbia",,"H. Bernadzikowski","P. Thompson","School","61421",,,,,"(39.2368, -76.8908)"
"SDP-03-096","DOBBIN ROAD COMMERCIAL CENTER","1.51","2003-08-12T00:00:00.000","Columbia","SW QUADRANT OF RT 175 & DOBBIN RD","N. Haines","M. Kovach","Restaurant","4295",,,,,"(39.1977, -76.8184)"
