"project_name","date_received","meeting_date","meeting_time","meeting_location_place","meeting_location_address","meeting_location_city","meeting_location_zip","proposed_units","proposed_acres","sign_code","sign_year","locationdescription","taxmap_parcel","zoning","coordinates"
"Gardner Property","2002-11-19T00:00:00.000","2002-12-05T00:00:00.000","1899-12-31T10:00:00","(On Site)","3310 St Johns Ln","Ellicott City","21042","3","1.423",,,"W SIDE ST JOHNS LN 250' N OF AMBRA CT","[TaxMap 24 Parcel 30],[TaxMap 24 Parcel 31]","R-20","(39.2804, -76.827)"
"Guendel/Aleshin Property","2003-09-04T00:00:00.000","2003-09-22T00:00:00.000","1899-12-31T18:00:00","LDE, Inc.","9250 Rumsey Rd  Ste 106","Columbia","21045","2","1.004",,,"NW SIDE OF GORMAN RD AT JOHNS HOPKINS RD","[TaxMap 41 Parcel 15]","R-20","(39.1583, -76.8837)"
"Art or Hand Craft Studio - CONDITIONAL USE","2003-11-24T00:00:00.000","2003-12-17T00:00:00.000","1899-12-31T10:00:00","(On Site)","3774 Old Columbia Pike","Ellicott City","21043",,,,,"NW OF OLD COLUMBIA PIKE","[TaxMap 25 Parcel 127]","R-VH","(39.2644, -76.7986)"
"The Oaks At Waters Edge, Phase 3","2004-09-09T00:00:00.000","2004-09-23T00:00:00.000","1899-12-31T18:00:00","Elkridge Branch Library - Meeting Room","6540 Washington Bivd","Elkridge","21075","84","6.97",,,"NORTHEAST SIDE OF PORT CAPITAL DRIVE","[TaxMap 43 Parcel 644]","B-1,R-MH","(39.1771, -76.7787)"
"Bonnie Ridge","2002-08-23T00:00:00.000","2002-09-09T00:00:00.000","1899-12-31T16:00:00","LDE, Inc.","9250 Rumsey Road  Ste 106","Columbia","21045","9","3.71",,,"TERMINUS OF CLAIRE DR","[TaxMap 38 Parcel 881]","R-12","(39.2094, -76.7217)"
"Bethel Korean Presbyterian Church - COND. USE","2002-12-10T00:00:00.000","2003-01-08T00:00:00.000","1899-12-31T19:00:00","(On Site - Small Chapel)","3165 St. John's Ln","Ellicott City","21042",,,,,"E SIDE ST. JOHNS LN OPPOSITE CHURCHGATE RD","[TaxMap 17 Parcel 1168],[TaxMap 24 Parcel 1168]","R-SI","(39.2846, -76.8268)"
"Hair Salon (Barber) - CONDITIONAL USE","2004-11-08T00:00:00.000","2004-11-22T00:00:00.000","1899-12-31T17:00:00","(On Site)","9806 Gwynn Park Dr","Ellicott City","21042",,,,,"GWYNN PARK DRIVE","[TaxMap 24 Parcel 668]","R-20","(39.2562, -76.8526)"
"Wilson Village","2006-10-23T00:00:00.000","2006-11-09T00:00:00.000","1899-12-31T18:00:00","(On Site)","15850 Old Frederick Road","Woodbine","21797","20","5.85",,,"NORTH OF OLD FREDERICK ROAD, ABOUT 300' E. OF ITS INTERS. W/MADISON STREET","[TaxMap 7 Parcel 478]","B-2","(39.3478, -77.0661)"
"Autumn View, Sec. 4 (Resub of Lot 205 into 2 lots)","2002-02-22T00:00:00.000","2002-03-08T00:00:00.000","1899-12-31T10:00:00","Land Design and Development","8000 Main Street","Ellicott City","21043",,,,,,"[TaxMap 31 Parcel 814]",,"(39.2431, -76.7809)"
"High's of Baltimore, Inc. - CONDITIONAL USE","2006-01-18T00:00:00.000","2006-02-07T00:00:00.000","7:00PM","Fulton Elementary School","11600 Scaggsville Rd","Fulton","20759",,,,,"EAST OF LIME KILN ROAD","[TaxMap 41 Parcel 486]","B-1,B-2","(39.1513, -76.9237)"
"Animal hospital - CONDITIONAL USE","2002-11-19T00:00:00.000","2002-12-02T00:00:00.000","1899-12-31T17:00:00","Glenwood library","2350 Rt 97","Cooksville","21723",,,,,"SOUTH OF RT. 144, 425' SE OF THE INTERSECTION OF RT.144 & BUSHY PARK RD","[TaxMap 8 Parcel 161]","RC-DEO","(39.3233, -77.0267)"
"Ma Property","2003-08-20T00:00:00.000","2003-09-09T00:00:00.000","1899-12-31T18:00:00","Mildenberg, Boender & Associates","5072 Dorsey Hall Dr  Ste 202","Ellicott City","21042","2","1",,,"E SIDE OF CENTENNIAL LN 350' S OF CENTURY DR","[TaxMap 24 Parcel 1037]","R-20","(39.2517, -76.8662)"
"Stone Manor  Sec. 3","2003-05-07T00:00:00.000","2003-05-29T00:00:00.000","1899-12-31T17:30:00","Land Design & Development","8000 Main St","Ellicott City","21043","15","8",,,"WEST SIDE OF NEW CUT RD 600' N OF HILLSBOROUGH RD","[TaxMap 25 Parcel 68],[TaxMap 25 Parcel 69]","R-20","(39.2513, -76.801)"
"Zoning Change Request - ZONING BOARD","2005-06-09T00:00:00.000","2005-07-18T00:00:00.000","1899-12-31T18:00:00","Norbel School","6135 Old Washington Rd","Elkridge","21075",,,,,"FRONTING ON WASHINGTON BLVD, AND NW ROUTE 1, EAST OF I-95","[TaxMap 43 Parcel 14],[TaxMap 43 Parcel 5],[TaxMap 43 Parcel 558]","B-1,M-1","(39.1818, -76.7755)"
"Wertz Property","2010-02-24T00:00:00.000","2010-03-25T00:00:00.000","6:00 P.M.","Elkridge Library","6540 Washington Blvd","Elkridge, Maryland","21075","2","1.207","R23","10","EAST SIDE OF KERGER RD","[TaxMap 31 Parcel 656]","R-20","(39.2229, -76.7728)"
"Phong Nguyen-CONDITIONAL USE (2 family dwelling)","2007-05-22T00:00:00.000","2007-06-06T00:00:00.000","1899-12-31T18:00:00","(On Site)","5620 Waterloo  Road","Columbia","21045",,,,,"SOUTHWEST BETWEEN WATERLOO ROAD AND DAVIS ROAD","[TaxMap 31 Parcel 617]","R-20","(39.2174, -76.8071)"
"Gopez Property","2017-01-12T00:00:00.000","2017-02-09T00:00:00.000","1899-12-31T18:00:00","Hammond Middle School","8100 Aladdin Drive","Laurel","20723","2","1","R30","17","SCAGGSVILLE RD AT TOWER DR","[TaxMap 46 Parcel 175]","R-20","(39.1349, -76.8771)"
"Ellinger Property","2008-01-23T00:00:00.000","2008-03-06T00:00:00.000","1899-12-31T18:00:00","Savage Branch Library","9525 Durness Lane","Laurel","20723","4","2.29","R49","8","SE SIDE MISSION RD","[TaxMap 42 Parcel 355]","R-12","(39.1557, -76.8175)"
"Buck Property","2010-06-02T00:00:00.000","2010-07-06T00:00:00.000","6:00pm","Elkridge Library","6540  Washington Blvd","Elkridge","21075","50","18.4","R33","10","MONTGOMERY RD 1000' N MARSHALEE DR","[TaxMap 37 Parcel 52],[TaxMap 37 Parcel 53],[TaxMap 37 Parcel 54]","R-20","(39.2135, -76.7616)"
"JBRK,LLC","2013-12-11T00:00:00.000","2014-01-09T00:00:00.000","1899-12-31T18:00:00","FIFTH DISTRICT VOLUNTEER FIRE DEPT CLARKSVILLE","5000 SIGNAL BELL LANE","CLARKSVILLE","21029",,,"C13","14","HOWARD ROAD","[TaxMap 27 Parcel 13],[TaxMap 28 Parcel 13]","RC-DEO","(39.2382, -77.0013)"
"Royal Farms Store #230","2016-02-24T00:00:00.000","2016-04-18T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540 Washington Blvd.","Elkridge","21075","0","4.04","N10","16","WASHINGTON BLVD OPPOSITE PORT CAPITAL DR","[TaxMap 43 Parcel 16]","B-1-CR","(39.1743, -76.7776)"
"Hope Baptist Church (CONDITIONAL USE)  Child Care","2008-07-30T00:00:00.000","2008-08-29T00:00:00.000","1899-12-31T19:00:00","Hope Baptist Church","8801 Stephens Road","Laurel","20723",,,"C06","9","EAST OF STEPHENS ROAD ABOUT 850' NORTH OF WHISKEY BOTTOM ROAD","[TaxMap 47 Parcel 141]","R-SC","(39.1296, -76.8432)"
"Pine Orchard","2016-08-29T00:00:00.000","2016-09-26T00:00:00.000","6:00 p.m.","Miller Branch Library","9421 Frederick Road","Ellicott City","21042",,,"C06","17","Pine Orchard","[TaxMap 24 Parcel 544]","R-20","(39.2795, -76.8666)"
"Grandfather's Gardens - MEETING CANCELLED","1900-01-01T00:00:00.000","2012-10-24T00:00:00.000","1899-12-31T19:00:00","MEETING CANCELLED","6030  Tamar drive","Columbia ","21045","19","5.6","R15","13","SW QUADRANT PHELPS LUCK DR & OLD ANNAPOLIS RD","[TaxMap 30 Parcel 289]","NT","(39.2252, -76.8182)"
"CARROLL/ZIEGLER BULK PAR K","2014-01-16T00:00:00.000","2014-03-10T00:00:00.000","1899-12-31T18:00:00","KAHLER HALL HARPERS CHOICE COMM ASSOC","5440 OLD TUCKER ROW","COLUMBIA","21044","36","97.7","R41","14","TERMINUS OF PUDDING LN","[TaxMap 23 Parcel 148]","RC-DEO","(39.2574, -76.8825)"
"H&H Rock Comp. (COND. USE) Gasoline-Conv. Store","2007-10-10T00:00:00.000","2007-11-19T00:00:00.000","1899-12-31T18:00:00","Elkridge Public Library","6540 Washington  Boulevard","Elkridge","21075",,,"C10","8","EAST OF MONTEVIDEO ROAD, APPROX. OPP DORSEY RUN ROAD","[TaxMap 43 Parcel 586]","M-2","(39.1649, -76.7702)"
"Syed Property","2007-02-27T00:00:00.000","2007-03-19T00:00:00.000","1899-12-31T18:00:00","Howard County Library (Elkridge Branch)","6540 Washington Boulevard","Elkridge","21075","8","5",,,,"[TaxMap 38 Parcel 554]","R-20","(39.2113, -76.7416)"
"CRISWOOD MANOR, SECTION FOUR","2014-02-27T00:00:00.000","2014-04-01T00:00:00.000","1899-12-31T18:00:00","CENTRAL BRANCH LIBRARY","10375 LITTLE PATUXENT PKWY","COLUMBIA","21044","2","1.07","R50","14","EAST OF TROTTER ROAD, ABOUT 600' SOUTH OF MD 108","[TaxMap 29 Parcel 88]","R-20","(39.2185, -76.9218)"
"Harbin Acres","2010-06-07T00:00:00.000","2010-07-07T00:00:00.000","1899-12-31T18:00:00","Glenwood Community Center/Haymeadow Room","2400  Rt 97","Cooksville","21723","3","12.4","R01","11","S SIDE OLD FREDERICK RD E OF ROUNDGATE CT","[TaxMap 8 Parcel 19],[TaxMap 8 Parcel 350]","RC-DEO","(39.3368, -77.0376)"
"Roxbury","2015-02-04T00:00:00.000","2015-03-04T00:00:00.000","6:00 p.m.","Glenwood Library","2350 Route 97","Glenwood","21723",,,"M01","15","RT 97 SOUTH OF MCKENDREE RD","[TaxMap 14 Parcel 217]","RR-DEO","(39.3007, -77.0168)"
"Nordau Subdivision - Final Plat","2007-05-14T00:00:00.000","2007-06-05T00:00:00.000","1899-12-31T18:30:00","Avantis Restaurant","8801 Washington Blvd.","Jessup","20794","4","1.49",,"7","S SIDE OF MISSION RD 1000' E OF GUILFORD RD","[TaxMap 42 Parcel 396]","R-12","(39.1564, -76.8171)"
"Sharon and Michael Benko","2012-04-10T00:00:00.000","2012-05-10T00:00:00.000","1899-12-31T18:00:00","West Friendship Volunteer Fire Department","13535 Old Frederick Road","Sykesville","21104",,,"C09","12","WELLWORTH WAY","[TaxMap 15 Parcel 235]","RR-DEO","(39.2968, -76.9508)"
"Burgess Mill Station Phase 2","2012-11-05T00:00:00.000","2012-11-28T00:00:00.000","1899-12-31T18:00:00","Roger Carter Recreational Center","3676 fels lane","ellicott city","21043","75","6.35","R24","13","SW SIDE COURT HOUSE DR E OF FELS LN","[TaxMap 25 Parcel 120],[TaxMap 25 Parcel 203]","R-A-15,R-VH","(39.2729, -76.8022)"
"Merriweather SW FDP Amendment","2015-04-06T00:00:00.000","2015-04-29T00:00:00.000","1899-12-31T18:30:00","Slayton House","10400 Cross Fox Lane","Columbia","21044","0","10.2","T02","15","S SIDE LITTLE PATUXENT PKY E OF BROKEN LAND PKY","[TaxMap 36 Parcel 452]","NT","(39.2094, -76.8621)"
"Westover Glen","2006-11-03T00:00:00.000","2006-11-21T00:00:00.000","1899-12-31T19:30:00","Savage Library","9525 Durness Lane","Laurel","20723","215","18.61",,,"EAST SIDE OF GORMAN ROAD, 1400' N OF SKYLARK BLVD","[TaxMap  Parcel ],[TaxMap 47 Parcel 4]","PSC","(39.1434, -76.8536)"
"Kindler Court","2017-10-24T00:00:00.000","2017-11-30T00:00:00.000","1899-12-31T18:00:00","Hammond High School","8800 Guilford Road","Columbia","21046","3","1","R10","18","KINDLER RD AT SINGLE WHEEL PATH","[TaxMap 42 Parcel 307]","R-12","(39.1714, -76.8706)"
"Village Towns Phase IV","2008-06-06T00:00:00.000","2008-07-17T00:00:00.000","1899-12-31T18:00:00","Deep Run Elementary School","6925 Old Waterloo Road","Elkridge","21075","43","2.1","R69","8","NE QUADRANT PORT CAPITAL DR & OLD WATERLOO RD","[TaxMap 43 Parcel 729]","R-MH","(39.1776, -76.7855)"
"Land Design and Development","2011-09-01T00:00:00.000","2011-10-17T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center - Great Room","9401  Frederick Road","Ellicott City","21042",,,"C04","12","SW SIDE OLD ANNAPOLIS RD OPPOSITE BRIARCLIFFE LN","[TaxMap 30 Parcel 86]","R-20","(39.2464, -76.8524)"
"Normandy Venture Limited Partnership","2009-11-10T00:00:00.000","2009-12-07T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401  Frederick Road","Ellicott City","21042",,,"M05","10","NW SIDE OF US RT 40, .19 MILE W. OF NORMANDY DR.","[TaxMap 18 Parcel 75]","B-2","(39.2874, -76.8078)"
"Garden Presbyterian Church","2016-09-20T00:00:00.000","2016-11-04T00:00:00.000","6:00 p.m.","Garden Presbyterian Church","8665 Old Annapolis Road","Columbia","21045",,,"C08","17","OLD ANNAPOLIS RD","[TaxMap 30 Parcel 110]","R-20","(39.2228, -76.8112)"
"Shalom Miracle Church","2012-09-24T00:00:00.000","2012-10-15T00:00:00.000","1899-12-31T18:00:00","Shalom Miracle Church","2796 Rogers Avenue","Ellicott City","21043",,,"C09","13","W SIDE ROGERS AVE OPPOSITE CHURCH LANE RD","[TaxMap 17 Parcel 558]","R-20","(39.2957, -76.8128)"
"Sabatelli Property","2014-01-29T00:00:00.000","2014-02-25T00:00:00.000","1899-12-31T19:00:00","North Laurel Community Center","9411 Whiskey Bottom Road","Laurel","20723","4","1.66","R43","14","S SIDE OLD SCAGGSVILLE RD OPPOSITE GROSS AVE","[TaxMap 50 Parcel 451]","R-SC","(39.1151, -76.8593)"
"Myers Property","2013-07-11T00:00:00.000","2013-08-07T00:00:00.000","1899-12-31T18:00:00","Waverly Woods Clubhouse","2180 Warwick Way","Woodstock","21163","6","16.201","R09","14","MARRIOTTSVILLE RD 1300 FT N OLD FREDERICK RD","[TaxMap 10 Parcel 32]","RC-DEO","(39.3214, -76.8966)"
"Hinkle Property","2015-10-27T00:00:00.000","2015-12-03T00:00:00.000","1899-12-31T18:00:00","Maple Lawn Community Center","7600 Maple Lawn Blvd","Fulton","20759","10","43.26","R32","16","SCAGGSVILLE RD S OF HALL SHOP RD","[TaxMap 40 Parcel 93]","RR-DEO","(39.1689, -76.9509)"
"Baughan Property","2012-03-22T00:00:00.000","2012-05-02T00:00:00.000","6:00pm","Elkridge Library","6540 Washington Boulevard","Elkridge","21075","3","2","R30","12","N SIDE LANDING RD 2000' SE OF ILCHESTER RD","[TaxMap 31 Parcel 758]","R-ED","(39.2346, -76.7645)"
"SIMPSON MILL( FORMERLY RIVERDALE)","2011-03-23T00:00:00.000","2011-04-14T00:00:00.000","6:00PM","HARPERS CHOICE COMMUNITY ASSOCIATION - KAHLER HALL","5440 OLD TUCKER ROW","COLUMBIA","21044","262","25.31","R18","11","E SIDE OF CEDAR LN S OF HARRIET TUBMAN LN","[TaxMap 35 Parcel 116],[TaxMap 35 Parcel 258],[TaxMap 35 Parcel 44]","POR,R-SA-8","(39.186, -76.8924)"
"Locust Chapel (Welsh Property)","2008-07-24T00:00:00.000","2008-08-25T00:00:00.000","1899-12-31T18:00:00","Elkridge Public Library","6540 Washington Blvd.","Elkridge","21075","62","36.4","R05","9","W SIDE ILCHESTER RD N OF BEECHWOOD RD","[TaxMap 31 Parcel 122],[TaxMap 31 Parcel 856]","R-20","(39.242, -76.7699)"
"Holiday Hills  Lot 19","2016-06-22T00:00:00.000","2016-07-22T00:00:00.000","1899-12-31T18:00:00","Fifth District Volunteer Fire Dept","5000 Signal Bell Lane","Clarksville","21029","2","1.05","R05","17","HUNTING LANE EAST OF LONGVIEW","[TaxMap 41 Parcel 174]","R-20","(39.1774, -76.8814)"
"WHISKEY BOTTOM POINT LOTS 1 THRU 4 & OPEN SPACE LOT 5","2009-07-27T00:00:00.000","2009-08-20T00:00:00.000","1899-12-31T18:00:00","SAVAGE LIBRARY","9525  DURNESS LANE","LAUREL","20723","4","1.72","R06","10","TERMINUS OF HOMESTRETCH CT","[TaxMap 50 Parcel 488]","R-SC","(39.1162, -76.8344)"
"Locust Chapel (Welsh Property)","2009-01-12T00:00:00.000","2009-02-11T00:00:00.000","1899-12-31T18:00:00","Taylor Village Senior Center (Great Hall)","8165 Cyprus Cedar","Ellicott City","21043","64","36.42","R23","9","NW QUADRANT BEECHWOOD RD & ILCHESTER RD","[TaxMap 31 Parcel 115]","R-20,R-ED","(39.2451, -76.7705)"
"Walker Meadows","2015-05-12T00:00:00.000","2015-06-30T00:00:00.000","1899-12-31T18:30:00","West Friendship Volunteer Fire Dept","12535 Old Frederick Road","Sykesville","21784","35","100","R42","15","TERMINUS OF MAYAPPLE TR","[TaxMap 10 Parcel 66],[TaxMap 9 Parcel 66]","RR-DEO","(39.3427, -76.9389)"
"BRANDON WOODS","2014-09-17T00:00:00.000","2014-10-17T00:00:00.000","1899-12-31T18:00:00","GRACE EPISCOPAL CHURCH","6725 MONTGOMERY ROAD","ELKRIDGE","21075","3","2.4","R14","15","TERMINUS OF WHARFF LN","[TaxMap 31 Parcel 315]","R-20","(39.2394, -76.7772)"
"PINE GROVE ADDITION","2014-05-09T00:00:00.000","2014-06-02T00:00:00.000","1899-12-31T18:00:00","NORTH LAUREL COMMUNITY CENTER","9411 WHISKEY BOTTOM ROAD","LAUREL","20723","6","1.8","R70","14","PINE RD N OF GUILFORD RD","[TaxMap 47 Parcel 50]","R-12","(39.1487, -76.8133)"
"Rogers Property","2008-11-19T00:00:00.000","2008-12-15T00:00:00.000","1899-12-31T18:00:00","Howard County Public Library, Miller Branch","9421 Frederick Road","Ellicott City","21042","68","37.3","R18","9","NORTH RIDGE ROAD 340 FT SOUTH ROGERS AVE","[TaxMap 17 Parcel 80],[TaxMap 17 Parcel 99]","R-A-15,R-ED","(39.2923, -76.8133)"
"LONGREACH VILLAGE CENTER REDEVELOP","2017-10-12T00:00:00.000","2017-11-06T00:00:00.000","1899-12-31T18:00:00","TAMAR RM STONEHOUSE","8775 CLOUDLEAP CT","COLUMBIA","21045",,"11","V01","18","SOUTH SIDE OF CLOUD LEAP CT N OF FORELAND GARTH","[TaxMap 36 Parcel 6]","NT","(39.2072, -76.8166)"
"Allview Property","2007-07-19T00:00:00.000","2007-08-27T00:00:00.000","1899-12-31T19:00:00","Columbia Library","10375 Little Patuxent Parkway","Columbia","21044","4","2.43","R07","8",,"[TaxMap 36 Parcel 432]","R-20","(39.1984, -76.8606)"
"Coleianne Property Lots 1 and 2","2013-01-08T00:00:00.000","2013-02-06T00:00:00.000","1899-12-31T18:00:00","Lisbon Volunteer Fire Company Banquet Hall","1330 Woodbine Road","Woodbine","21797","2","6.0925","R37","13","FREDERICK RD WEST OF PINK DOGWOOD CT","[TaxMap 2 Parcel 349],[TaxMap 7 Parcel 349]","RC-DEO","(39.3494, -77.1191)"
"Walmart Academy @ Store 2412","2016-06-06T00:00:00.000","2016-07-07T00:00:00.000","1899-12-31T19:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","0","0.5","N01","17","TERMINUS OF NORTH RIDGE RD AT CARLS CT","[TaxMap 24 Parcel 1085]","B-2","(39.2825, -76.8217)"
"Robert's Crossing","2015-02-12T00:00:00.000","2015-03-11T00:00:00.000","1899-12-31T18:00:00","Elkridge Senior Center","6540 Washington Blvd.","Elkridge","21075","18","5.77","R35","15","E SIDE HANOVER RD S OF SKIPTON DR","[TaxMap 38 Parcel 1009],[TaxMap 38 Parcel 273]","R-12","(39.1929, -76.7226)"
"Two Farms, Inc.","2013-10-31T00:00:00.000","2013-11-25T00:00:00.000","1899-12-31T18:00:00","Elkridge Senior Center","6540 Washington Boulevard","Elkridge","21075",,,"C11","14","NE QUADRANT WATERLOO RD & LARK BROWN RD","[TaxMap 37 Parcel 604]","B-1","(39.1892, -76.796)"
"Mullinix Feed Lot","2007-07-20T00:00:00.000","2007-08-14T00:00:00.000","1899-12-31T19:00:00","Lisbon Fire Company","1330 Route 94","Lisbon","21765","2","51.39","R05","8","WEST OF WOODBINE RD AT THE INTERSECTION OF A.E.MULLINIX RD WITH WOODBINE RD","[TaxMap 7 Parcel 129]","RC-DEO","(39.3256, -77.0941)"
"Patuxent Woods Overlook","2013-01-08T00:00:00.000","2013-02-26T00:00:00.000","1899-12-31T18:30:00","Charle E. Miller Branch Library (Avalon Room)","9421 Frederick Road","Ellicott City","21042","6","13.715","R38","13","N SIDE FREDERICK RD W OF WILLOW RIDGE LN","[TaxMap 16 Parcel 88]","RC-DEO","(39.2932, -76.9087)"
"LINWOOD NEW SCHOOL","2010-01-19T00:00:00.000","2010-02-10T00:00:00.000","7:00 P.M.","LINWOOD CENTER","3421 MARTHA BUSH DRIVE","ELLICOTT CITY","21043","1","3","N02","10","TERMINUS OF MARTHA BUSH DRIVE","[TaxMap 25 Parcel 218],[TaxMap 25 Parcel 333]","CCT,POR","(39.2768, -76.8017)"
"Grace Tech Park, Parcel A, Office Building","2011-12-13T00:00:00.000","2012-06-06T00:00:00.000","1899-12-31T18:00:00","The Meeting Room","6330 Trotter Road","Clarksville","21029","0","8.4","N04","12","GRACE DRIVE","[TaxMap 35 Parcel 145]","PEC","(39.1887, -76.9021)"
"Tata Subdivision","2010-10-04T00:00:00.000","2010-10-25T00:00:00.000","1899-12-31T06:00:00","Lisbon Fire Station","9601 Woodbine Road","Woodbine","21797","2","6.4538","R05","11","AE MULLINIX RD 1400' W OF DAISEY RD","[TaxMap 13 Parcel 156]","RC-DEO","(39.3094, -77.0666)"
"CRAWFORD PROPERTY","2014-10-20T00:00:00.000","2014-11-18T00:00:00.000","1899-12-31T18:30:00","DAYTON OAKS ELEMENTARY","4691 TEN OAKS ROAD","DAYTON","21036","23","99","R22","15","HAVILAND MILL RD","[TaxMap 33 Parcel 1],[TaxMap 33 Parcel 52],[TaxMap 34 Parcel 52],[TaxMap 39 Parcel 1],[TaxMap 39 Parcel 52],[TaxMap 40 Parcel 1],[TaxMap 40 Parcel 52]","RR-DEO","(39.1842, -77.0008)"
"Verizon Wireless","2009-08-14T00:00:00.000","2009-09-15T00:00:00.000","1899-12-31T18:00:00","Ilchester Elementary School - Media Center","4979 Ilchester Road","Ellicott City","21043",,,"C05","10","N. SIDE OF ILCHESTER RD, SW OF TALBOTS LANDING AND OPP. ILCHESTER WOODS WAY","[TaxMap 31 Parcel 557]","R-20","(39.2302, -76.7807)"
"Montgomery Patel Property","2015-06-23T00:00:00.000","2015-07-28T00:00:00.000","1899-12-31T18:00:00","Elkridge Branch Library","6540 Washington Blvd","Elkridge","21075","3","1.44","R11","16","MONTGOMERY RD WEST OF ELIBANK","[TaxMap 38 Parcel 554]","R-20","(39.2116, -76.7418)"
"Michael and Kimberly Taylor","2010-12-21T00:00:00.000","2011-01-20T00:00:00.000","6:00 p.m.","Bethany United Methodist Church","2875 Bethany Lane","Ellicott City","21042",,,"C13","11","NORTH CORNER OF OLD MILL ROAD AND ROUTE 99","[TaxMap 17 Parcel 27]","R-20","(39.2986, -76.8556)"
"Shams Property","2007-08-30T00:00:00.000","2007-09-21T00:00:00.000","1899-12-31T18:00:00","St. John's Elementary School","2960 St. John's Lane","Ellicott City","21042","6","4.62","R17","8","TERMINUS OF CHURCH LANE RD","[TaxMap 18 Parcel 237]","R-20","(39.2936, -76.7962)"
"River Watch II","2017-09-25T00:00:00.000","2017-10-16T00:00:00.000","1899-12-31T18:30:00","Melville Chapel UMC","5660 Furnace Avenue","Elkridge","21075","56","3.07","R05","18","NE SIDE FURNACE AVE 700' S OF MAIN ST","[TaxMap 38 Parcel 782]","CAC-CLI","(39.2156, -76.7062)"
"Brian Schwenk","2013-09-30T00:00:00.000","2013-10-23T00:00:00.000","6:30 p.m.","Ellicott City Senior Center","9401  Frederick Road","Ellicott City","21042",,,"C09","14","S SIDE CHURCH RD","[TaxMap 25 Parcel 283]","RR","(39.2735, -76.7981)"
"5105 Talbots Landing","2013-10-02T00:00:00.000","2013-10-30T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042","2","1.62","R22","14","S SIDE TALBOTS LANDING","[TaxMap 31 Parcel 545]","R-20","(39.2298, -76.7766)"
