"year","age_group","percent"
"1971","25-29 years","0.101893373"
"1970","25-29 years","0.101830951"
"2015","30-34 years","0.1575977"
"2014","30-34 years","0.151447781"
"2013","30-34 years","0.145"
"2012","30-34 years","0.138"
"2011","30-34 years","0.132"
"2010","30-34 years","0.125"
"2009","30-34 years","0.117"
"2008","30-34 years","0.112"
"2007","30-34 years","0.108"
"2006","30-34 years","0.106"
"2005","30-34 years","0.106"
"2004","30-34 years","0.106"
"2003","30-34 years","0.104"
"2002","30-34 years","0.102"
"2001","30-34 years","0.1"
"2000","30-34 years","0.097"
"1999","30-34 years","0.095"
"1998","30-34 years","0.096"
"1997","30-34 years","0.099"
"1996","30-34 years","0.106"
"1995","30-34 years","0.106"
"1994","30-34 years","0.106"
"1993","30-34 years","0.107"
"1992","30-34 years","0.104"
"1991","30-34 years","0.102"
"1990","30-34 years","0.101"
"1989","30-34 years","0.097"
"1988","30-34 years","0.094"
"1987","30-34 years","0.09"
"1986","30-34 years","0.085"
"1985","30-34 years","0.081"
"1984","30-34 years","0.077"
"1983","30-34 years","0.073"
"1982","30-34 years","0.069"
"1981","30-34 years","0.066"
"1980","30-34 years","0.062"
"1979","30-34 years","0.052"
"1978","30-34 years","0.049"
"1977","30-34 years","0.046"
"1976","30-34 years","0.045"
"1975","30-34 years","0.044"
"1974","30-34 years","0.044"
"1973","30-34 years","0.045"
"1972","30-34 years","0.047"
"1971","30-34 years","0.048"
"1970","30-34 years","0.048"
"2015","35+ years","0.0915501"
"2014","35+ years","0.086535358"
"2013","35+ years","0.082"
"2012","35+ years","0.078"
"2011","35+ years","0.074"
"2010","35+ years","0.071"
"2009","35+ years","0.067"
"2008","35+ years","0.065"
"2007","35+ years","0.063"
"2006","35+ years","0.063"
"2005","35+ years","0.063"
"2004","35+ years","0.063"
"2003","35+ years","0.062"
"2002","35+ years","0.061"
"2001","35+ years","0.061"
"2000","35+ years","0.06"
"1999","35+ years","0.059"
"1998","35+ years","0.058"
"1997","35+ years","0.058"
"1996","35+ years","0.061"
"1995","35+ years","0.058"
"1994","35+ years","0.056"
"1993","35+ years","0.054"
"1992","35+ years","0.051"
"1991","35+ years","0.048"
"1990","35+ years","0.045"
"1989","35+ years","0.042"
"1988","35+ years","0.041"
"1987","35+ years","0.038"
"1986","35+ years","0.036"
"1985","35+ years","0.034"
"1984","35+ years","0.032"
"1983","35+ years","0.03"
"1982","35+ years","0.028"
"1981","35+ years","0.025"
"1980","35+ years","0.024"
"1979","35+ years","0.022"
"1978","35+ years","0.022"
"1977","35+ years","0.022"
"1976","35+ years","0.023"
"1975","35+ years","0.023"
"1974","35+ years","0.025"
"1973","35+ years","0.027"
"1972","35+ years","0.028"
"1971","35+ years","0.031"
"1970","35+ years","0.031"
"2015","Less than 20 years","0.1289594"
"2014","Less than 20 years","0.139192583"
"2013","Less than 20 years","0.15367075"
"2012","Less than 20 years","0.170524826"
"2011","Less than 20 years","0.183903449"
"2010","Less than 20 years","0.200999589"
"2009","Less than 20 years","0.214006606"
"2008","Less than 20 years","0.221569288"
"2007","Less than 20 years","0.225428224"
"2006","Less than 20 years","0.227093948"
"2005","Less than 20 years","0.230514186"
"2004","Less than 20 years","0.237242287"
"2003","Less than 20 years","0.242705659"
"2002","Less than 20 years","0.254236928"
"2001","Less than 20 years","0.266459342"
"2000","Less than 20 years","0.280373381"
"1999","Less than 20 years","0.292857798"
"1998","Less than 20 years","0.301495787"
"1997","Less than 20 years","0.306814459"
"1996","Less than 20 years","0.304488751"
"1995","Less than 20 years","0.308761093"
"1994","Less than 20 years","0.305278724"
"1993","Less than 20 years","0.297457933"
"1992","Less than 20 years","0.298021188"
"1991","Less than 20 years","0.303559409"
"1990","Less than 20 years","0.30946452"
"1989","Less than 20 years","0.317939916"
"1988","Less than 20 years","0.320706576"
"1987","Less than 20 years","0.324262363"
"1986","Less than 20 years","0.330270457"
"1985","Less than 20 years","0.338465105"
"1984","Less than 20 years","0.350720123"
"1983","Less than 20 years","0.366009706"
"1982","Less than 20 years","0.376588132"
"1981","Less than 20 years","0.390075808"
"1980","Less than 20 years","0.408264701"
"1979","Less than 20 years","0.43944463"
"1978","Less than 20 years","0.457988601"
"1977","Less than 20 years","0.484390149"
"1976","Less than 20 years","0.50267037"
"1975","Less than 20 years","0.521321724"
"1974","Less than 20 years","0.529538388"
"1973","Less than 20 years","0.529830592"
"1972","Less than 20 years","0.526289683"
"1971","Less than 20 years","0.507224714"
"1970","Less than 20 years","0.501379483"
