"survey_years","sex","age_group","measure","percent","standard_error"
"2003-2004","Male","20-39","Obesity","28.0","2.2"
"2003-2004","Male","40-59","Obesity","34.8","2.5"
"2003-2004","Male","60 and over","Obesity","30.4","1.9"
"2005-2006","Male","20-39","Obesity","27.9","2.8"
"2005-2006","Male","40-59","Obesity","39.6","2.9"
"2005-2006","Male","60 and over","Obesity","32.2","2.1"
"2007-2008","Male","20-39","Obesity","27.4","1.9"
"2007-2008","Male","40-59","Obesity","34.2","2.3"
"2007-2008","Male","60 and over","Obesity","37.0","2.0"
"2009-2010","Male","20-39","Obesity","33.2","2.7"
"2009-2010","Male","40-59","Obesity","37.2","1.8"
"2009-2010","Male","60 and over","Obesity","36.6","2.4"
"2011-2012","Male","20-39","Obesity","29.0","2.6"
"2011-2012","Male","40-59","Obesity","39.4","1.6"
"2011-2012","Male","60 and over","Obesity","32.0","2.2"
"2013-2014","Male","20-39","Obesity","31.6","2.1"
"2013-2014","Male","40-59","Obesity","37.2","2.4"
"2013-2014","Male","60 and over","Obesity","37.5","3.0"
"2015-2016","Male","20-39","Obesity","34.8","2.8"
"2015-2016","Male","40-59","Obesity","40.8","2.9"
"2015-2016","Male","60 and over","Obesity","38.5","1.8"
"2017-2018","Male","20-39","Obesity","40.3","3.8"
"2017-2018","Male","40-59","Obesity","46.4","3.2"
"2017-2018","Male","60 and over","Obesity","42.2","3.3"
"1999-2000","Female","20-39","Obesity","28.3","2.0"
"1999-2000","Female","40-59","Obesity","37.7","3.3"
"1999-2000","Female","60 and over","Obesity","35.0","2.2"
"2001-2002","Female","20-39","Obesity","29.8","2.1"
"2001-2002","Female","40-59","Obesity","35.7","2.1"
"2001-2002","Female","60 and over","Obesity","35.0","2.0"
"2003-2004","Female","20-39","Obesity","28.9","2.3"
"2003-2004","Female","40-59","Obesity","38.8","2.7"
"2003-2004","Female","60 and over","Obesity","31.5","1.7"
"2005-2006","Female","20-39","Obesity","30.5","2.3"
"2005-2006","Female","40-59","Obesity","41.1","2.3"
"2005-2006","Female","60 and over","Obesity","34.4","2.3"
"2007-2008","Female","20-39","Obesity","34.0","2.5"
"2007-2008","Female","40-59","Obesity","38.1","2.2"
"2007-2008","Female","60 and over","Obesity","33.5","1.7"
"2009-2010","Female","20-39","Obesity","31.9","1.6"
"2009-2010","Female","40-59","Obesity","36.0","1.7"
"2009-2010","Female","60 and over","Obesity","42.3","1.9"
"2011-2012","Female","20-39","Obesity","31.8","1.7"
"2011-2012","Female","40-59","Obesity","39.5","2.2"
"2011-2012","Female","60 and over","Obesity","38.1","2.9"
"2013-2014","Female","20-39","Obesity","37.0","1.3"
"2013-2014","Female","40-59","Obesity","44.6","2.6"
"2013-2014","Female","60 and over","Obesity","39.4","1.9"
"2015-2016","Female","20-39","Obesity","36.5","1.6"
"2015-2016","Female","40-59","Obesity","44.7","3.1"
"2015-2016","Female","60 and over","Obesity","43.1","2.8"
"2017-2018","Female","20-39","Obesity","39.7","2.7"
"2017-2018","Female","40-59","Obesity","43.3","2.7"
"2017-2018","Female","60 and over","Obesity","43.3","3.0"
"1999-2000","All","20 and over","Hypertension","48.3","1.4"
"2001-2002","All","20 and over","Hypertension","47.3","1.3"
"2003-2004","All","20 and over","Hypertension","46.4","1.4"
"2005-2006","All","20 and over","Hypertension","45.0","1.1"
"2007-2008","All","20 and over","Hypertension","44.6","0.9"
"2009-2010","All","20 and over","Hypertension","43.5","1.2"
"2011-2012","All","20 and over","Hypertension","45.3","0.9"
"2013-2014","All","20 and over","Hypertension","43.1","0.8"
"2015-2016","All","20 and over","Hypertension","44.9","1.1"
"2017-2018","All","20 and over","Hypertension","47.1","1.4"
"1999-2000","Male","20 and over","Hypertension","53.0","1.9"
"2001-2002","Male","20 and over","Hypertension","51.4","2.2"
"2003-2004","Male","20 and over","Hypertension","50.6","1.8"
"2005-2006","Male","20 and over","Hypertension","49.1","1.4"
"2007-2008","Male","20 and over","Hypertension","48.2","1.0"
"2009-2010","Male","20 and over","Hypertension","47.0","1.7"
"2011-2012","Male","20 and over","Hypertension","49.2","1.4"
"2013-2014","Male","20 and over","Hypertension","46.6","1.3"
"2015-2016","Male","20 and over","Hypertension","48.6","1.6"
"2017-2018","Male","20 and over","Hypertension","52.8","1.8"
"1999-2000","Female","20 and over","Hypertension","43.3","1.5"
"2001-2002","Female","20 and over","Hypertension","42.9","1.2"
"2003-2004","Female","20 and over","Hypertension","41.8","1.2"
"2005-2006","Female","20 and over","Hypertension","40.4","1.3"
"2007-2008","Female","20 and over","Hypertension","40.8","1.1"
"2009-2010","Female","20 and over","Hypertension","39.8","1.1"
"2011-2012","Female","20 and over","Hypertension","41.3","1.2"
"2013-2014","Female","20 and over","Hypertension","39.7","1.1"
"2015-2016","Female","20 and over","Hypertension","41.0","1.3"
"2017-2018","Female","20 and over","Hypertension","41.2","1.5"
"1999-2000","All","20-39","Hypertension","25.2","2.1"
"1999-2000","All","40-59","Hypertension","53.5","1.6"
"1999-2000","All","60 and over","Hypertension","79.5","2.4"
"2001-2002","All","20-39","Hypertension","25.6","1.5"
"2001-2002","All","40-59","Hypertension","50.5","1.7"
"2001-2002","All","60 and over","Hypertension","79.4","1.5"
"2003-2004","All","20-39","Hypertension","21.2","1.2"
"2003-2004","All","40-59","Hypertension","53.3","2.8"
"2003-2004","All","60 and over","Hypertension","78.3","1.4"
"2005-2006","All","20-39","Hypertension","19.7","1.5"
"2005-2006","All","40-59","Hypertension","52.7","1.8"
"2005-2006","All","60 and over","Hypertension","76.0","2.0"
"2007-2008","All","20-39","Hypertension","20.4","1.4"
"2007-2008","All","40-59","Hypertension","49.7","1.5"
"2007-2008","All","60 and over","Hypertension","77.7","1.5"
"2009-2010","All","20-39","Hypertension","21.3","0.9"
"2009-2010","All","40-59","Hypertension","46.9","2.7"
"2009-2010","All","60 and over","Hypertension","76.3","1.7"
"2011-2012","All","20-39","Hypertension","22.0","1.6"
"2011-2012","All","40-59","Hypertension","51.2","0.8"
"2011-2012","All","60 and over","Hypertension","75.7","1.5"
"2013-2014","All","20-39","Hypertension","18.8","1.1"
"2013-2014","All","40-59","Hypertension","48.5","1.8"
"2013-2014","All","60 and over","Hypertension","76.2","1.5"
"2015-2016","All","20-39","Hypertension","22.1","1.8"
"2015-2016","All","40-59","Hypertension","52.0","1.7"
"2015-2016","All","60 and over","Hypertension","72.7","2.3"
"2017-2018","All","20-39","Hypertension","24.1","1.3"
"2017-2018","All","40-59","Hypertension","54.5","2.5"
"2017-2018","All","60 and over","Hypertension","74.5","1.6"
"1999-2000","Male","20-39","Hypertension","33.0","2.6"
"1999-2000","Male","40-59","Hypertension","58.1","2.5"
"1999-2000","Male","60 and over","Hypertension","79.0","3.0"
"2001-2002","Male","20-39","Hypertension","36.1","2.1"
"2001-2002","Male","40-59","Hypertension","52.6","3.1"
"2001-2002","Male","60 and over","Hypertension","75.8","1.9"
"2003-2004","Male","20-39","Hypertension","28.8","2.0"
"2003-2004","Male","40-59","Hypertension","57.4","3.3"
"2003-2004","Male","60 and over","Hypertension","76.9","2.3"
"2005-2006","Male","20-39","Hypertension","29.7","2.2"
"2005-2006","Male","40-59","Hypertension","53.6","2.5"
"2005-2006","Male","60 and over","Hypertension","75.1","2.2"
"2007-2008","Male","20-39","Hypertension","25.8","1.6"
"2007-2008","Male","40-59","Hypertension","56.1","2.2"
"2007-2008","Male","60 and over","Hypertension","74.0","2.2"
"2009-2010","Male","20-39","Hypertension","27.8","1.0"
"2009-2010","Male","40-59","Hypertension","50.9","3.4"
"2009-2010","Male","60 and over","Hypertension","73.4","2.4"
"2011-2012","Male","20-39","Hypertension","28.0","1.9"
"2011-2012","Male","40-59","Hypertension","55.5","2.3"
"2011-2012","Male","60 and over","Hypertension","75.2","2.4"
"2013-2014","Male","20-39","Hypertension","24.6","2.3"
"2013-2014","Male","40-59","Hypertension","52.0","1.3"
"2013-2014","Male","60 and over","Hypertension","75.4","2.3"
"2015-2016","Male","20-39","Hypertension","29.3","2.2"
"2015-2016","Male","40-59","Hypertension","56.5","2.9"
"2015-2016","Male","60 and over","Hypertension","68.7","3.0"
"2017-2018","Male","20-39","Hypertension","33.5","1.9"
"2017-2018","Male","40-59","Hypertension","59.4","3.4"
"2017-2018","Male","60 and over","Hypertension","75.2","3.0"
"1999-2000","Female","20-39","Hypertension","16.5","1.9"
"1999-2000","Female","40-59","Hypertension","49.1","2.3"
"1999-2000","Female","60 and over","Hypertension","80.0","2.7"
"2001-2002","Female","20-39","Hypertension","14.9","1.8"
"2001-2002","Female","40-59","Hypertension","48.3","2.4"
"2001-2002","Female","60 and over","Hypertension","82.0","1.8"
"2003-2004","Female","20-39","Hypertension","12.9","1.6"
"2003-2004","Female","40-59","Hypertension","49.2","3.0"
"2003-2004","Female","60 and over","Hypertension","79.4","1.5"
"2005-2006","Female","20-39","Hypertension","8.5","1.5"
"2005-2006","Female","40-59","Hypertension","51.9","2.7"
"2005-2006","Female","60 and over","Hypertension","76.8","2.6"
"2007-2008","Female","20-39","Hypertension","14.8","1.7"
"2007-2008","Female","40-59","Hypertension","43.7","2.2"
"2007-2008","Female","60 and over","Hypertension","80.6","1.5"
"2009-2010","Female","20-39","Hypertension","14.3","1.1"
"2009-2010","Female","40-59","Hypertension","42.9","2.5"
"2009-2010","Female","60 and over","Hypertension","78.7","1.7"
"2011-2012","Female","20-39","Hypertension","15.6","2.0"
"2011-2012","Female","40-59","Hypertension","47.0","2.3"
"2011-2012","Female","60 and over","Hypertension","76.2","2.2"
"2013-2014","Female","20-39","Hypertension","12.7","1.2"
"2013-2014","Female","40-59","Hypertension","45.2","2.7"
"2013-2014","Female","60 and over","Hypertension","76.8","1.7"
"2015-2016","Female","20-39","Hypertension","14.3","1.8"
"2015-2016","Female","40-59","Hypertension","47.7","2.2"
"2015-2016","Female","60 and over","Hypertension","76.0","2.2"
"2017-2018","Female","20-39","Hypertension","14.1","1.6"
"2017-2018","Female","40-59","Hypertension","49.9","2.4"
"2017-2018","Female","60 and over","Hypertension","73.9","2.0"
"1999-2000","All","20 and over","High Total Cholesterol","18.3","1.0"
"2001-2002","All","20 and over","High Total Cholesterol","16.5","0.8"
"2003-2004","All","20 and over","High Total Cholesterol","16.8","0.6"
"2005-2006","All","20 and over","High Total Cholesterol","15.7","0.7"
"2007-2008","All","20 and over","High Total Cholesterol","14.3","0.9"
"2009-2010","All","20 and over","High Total Cholesterol","13.4","0.7"
"2011-2012","All","20 and over","High Total Cholesterol","12.9","0.7"
"2013-2014","All","20 and over","High Total Cholesterol","11.0","0.5"
"2015-2016","All","20 and over","High Total Cholesterol","12.4","0.9"
"2017-2018","All","20 and over","High Total Cholesterol","10.5","0.8"
"1999-2000","Male","20 and over","High Total Cholesterol","17.2","1.1"
"2001-2002","Male","20 and over","High Total Cholesterol","15.8","1.3"
"2003-2004","Male","20 and over","High Total Cholesterol","16.3","0.8"
"2005-2006","Male","20 and over","High Total Cholesterol","13.8","1.0"
"2007-2008","Male","20 and over","High Total Cholesterol","13.3","1.1"
"2009-2010","Male","20 and over","High Total Cholesterol","12.2","0.9"
"2011-2012","Male","20 and over","High Total Cholesterol","11.1","0.8"
"2013-2014","Male","20 and over","High Total Cholesterol","10.1","0.6"
"2015-2016","Male","20 and over","High Total Cholesterol","11.4","0.9"
"2017-2018","Male","20 and over","High Total Cholesterol","9.7","1.2"
"1999-2000","Female","20 and over","High Total Cholesterol","19.1","1.3"
"2001-2002","Female","20 and over","High Total Cholesterol","16.7","0.8"
"2003-2004","Female","20 and over","High Total Cholesterol","17.1","1.1"
"2005-2006","Female","20 and over","High Total Cholesterol","17.3","0.7"
"2007-2008","Female","20 and over","High Total Cholesterol","15.0","1.1"
"2009-2010","Female","20 and over","High Total Cholesterol","14.3","0.8"
"2011-2012","Female","20 and over","High Total Cholesterol","14.4","0.9"
"2013-2014","Female","20 and over","High Total Cholesterol","11.7","0.8"
"2015-2016","Female","20 and over","High Total Cholesterol","13.2","1.1"
"2017-2018","Female","20 and over","High Total Cholesterol","11.1","1.0"
"1999-2000","All","20-39","High Total Cholesterol","11.0","1.5"
"1999-2000","All","40-59","High Total Cholesterol","22.7","2.1"
"1999-2000","All","60 and over","High Total Cholesterol","23.8","0.8"
"2001-2002","All","20-39","High Total Cholesterol","10.3","0.8"
"2001-2002","All","40-59","High Total Cholesterol","20.4","1.5"
"2001-2002","All","60 and over","High Total Cholesterol","20.9","1.3"
"2003-2004","All","20-39","High Total Cholesterol","10.9","0.9"
"2003-2004","All","40-59","High Total Cholesterol","21.3","1.3"
"2003-2004","All","60 and over","High Total Cholesterol","19.8","0.9"
"2005-2006","All","20-39","High Total Cholesterol","11.7","1.0"
"2005-2006","All","40-59","High Total Cholesterol","19.0","1.6"
"2005-2006","All","60 and over","High Total Cholesterol","17.1","1.4"
"2007-2008","All","20-39","High Total Cholesterol","8.8","1.1"
"2007-2008","All","40-59","High Total Cholesterol","19.0","1.3"
"2007-2008","All","60 and over","High Total Cholesterol","16.1","0.9"
"2009-2010","All","20-39","High Total Cholesterol","7.9","0.9"
"2009-2010","All","40-59","High Total Cholesterol","17.8","1.1"
"2009-2010","All","60 and over","High Total Cholesterol","15.5","1.3"
"2011-2012","All","20-39","High Total Cholesterol","7.4","0.7"
"2011-2012","All","40-59","High Total Cholesterol","18.2","1.3"
"2011-2012","All","60 and over","High Total Cholesterol","13.6","1.2"
"2013-2014","All","20-39","High Total Cholesterol","7.6","0.9"
"2013-2014","All","40-59","High Total Cholesterol","13.8","0.9"
"2013-2014","All","60 and over","High Total Cholesterol","12.3","1.0"
"2015-2016","All","20-39","High Total Cholesterol","7.9","0.8"
"2015-2016","All","40-59","High Total Cholesterol","17.1","1.5"
"2015-2016","All","60 and over","High Total Cholesterol","12.5","0.7"
"2017-2018","All","20-39","High Total Cholesterol","7.2","0.8"
"2017-2018","All","40-59","High Total Cholesterol","14.2","1.6"
"2017-2018","All","60 and over","High Total Cholesterol","10.3","1.3"
"1999-2000","Male","20-39","High Total Cholesterol","11.3","1.2"
"1999-2000","Male","40-59","High Total Cholesterol","24.8","2.3"
"1999-2000","Male","60 and over","High Total Cholesterol","15.1","1.7"
"2001-2002","Male","20-39","High Total Cholesterol","12.4","1.5"
"2001-2002","Male","40-59","High Total Cholesterol","21.8","2.7"
"2001-2002","Male","60 and over","High Total Cholesterol","11.8","1.3"
"2003-2004","Male","20-39","High Total Cholesterol","11.6","1.7"
"2003-2004","Male","40-59","High Total Cholesterol","23.3","1.4"
"2003-2004","Male","60 and over","High Total Cholesterol","12.9","1.6"
"2005-2006","Male","20-39","High Total Cholesterol","10.8","1.4"
"2005-2006","Male","40-59","High Total Cholesterol","19.2","2.0"
"2005-2006","Male","60 and over","High Total Cholesterol","10.0","1.0"
"2007-2008","Male","20-39","High Total Cholesterol","10.3","1.5"
"2007-2008","Male","40-59","High Total Cholesterol","19.5","1.8"
"2007-2008","Male","60 and over","High Total Cholesterol","8.3","0.8"
"2009-2010","Male","20-39","High Total Cholesterol","9.3","1.2"
"2009-2010","Male","40-59","High Total Cholesterol","16.7","1.7"
"2009-2010","Male","60 and over","High Total Cholesterol","9.9","1.4"
"2011-2012","Male","20-39","High Total Cholesterol","7.7","1.2"
"2011-2012","Male","40-59","High Total Cholesterol","17.3","1.3"
"2011-2012","Male","60 and over","High Total Cholesterol","6.8","1.1"
"2013-2014","Male","20-39","High Total Cholesterol","8.7","1.0"
"2013-2014","Male","40-59","High Total Cholesterol","13.2","1.1"
"2013-2014","Male","60 and over","High Total Cholesterol","7.6","1.4"
"2015-2016","Male","20-39","High Total Cholesterol","9.1","1.0"
"2015-2016","Male","40-59","High Total Cholesterol","16.5","1.9"
"2015-2016","Male","60 and over","High Total Cholesterol","6.9","1.3"
"2017-2018","Male","20-39","High Total Cholesterol","10.0","1.3"
"2017-2018","Male","40-59","High Total Cholesterol","12.3","2.5"
"2017-2018","Male","60 and over","High Total Cholesterol","5.1","1.1"
"1999-2000","Female","20-39","High Total Cholesterol","10.7","2.2"
"1999-2000","Female","40-59","High Total Cholesterol","20.7","3.3"
"1999-2000","Female","60 and over","High Total Cholesterol","30.9","1.3"
"2001-2002","Female","20-39","High Total Cholesterol","8.3","0.6"
"2001-2002","Female","40-59","High Total Cholesterol","18.9","1.8"
"2001-2002","Female","60 and over","High Total Cholesterol","27.7","1.6"
"2003-2004","Female","20-39","High Total Cholesterol","10.1","1.3"
"2003-2004","Female","40-59","High Total Cholesterol","19.4","2.2"
"2003-2004","Female","60 and over","High Total Cholesterol","25.2","1.6"
"2005-2006","Female","20-39","High Total Cholesterol","12.6","1.6"
"2005-2006","Female","40-59","High Total Cholesterol","18.8","1.9"
"2005-2006","Female","60 and over","High Total Cholesterol","23.0","2.0"
"2007-2008","Female","20-39","High Total Cholesterol","7.4","1.2"
"2007-2008","Female","40-59","High Total Cholesterol","18.6","2.0"
"2007-2008","Female","60 and over","High Total Cholesterol","22.4","1.5"
"2009-2010","Female","20-39","High Total Cholesterol","6.5","1.0"
"2009-2010","Female","40-59","High Total Cholesterol","19.0","1.2"
"2009-2010","Female","60 and over","High Total Cholesterol","20.2","1.9"
"2011-2012","Female","20-39","High Total Cholesterol","7.2","0.8"
"2011-2012","Female","40-59","High Total Cholesterol","19.1","1.7"
"2011-2012","Female","60 and over","High Total Cholesterol","19.4","2.0"
"2013-2014","Female","20-39","High Total Cholesterol","6.5","1.1"
"2013-2014","Female","40-59","High Total Cholesterol","14.4","1.6"
"2013-2014","Female","60 and over","High Total Cholesterol","16.1","1.0"
"2015-2016","Female","20-39","High Total Cholesterol","6.7","1.3"
"2015-2016","Female","40-59","High Total Cholesterol","17.7","1.4"
"2015-2016","Female","60 and over","High Total Cholesterol","17.2","1.5"
"2017-2018","Female","20-39","High Total Cholesterol","4.4","0.8"
"2017-2018","Female","40-59","High Total Cholesterol","16.0","2.1"
"2017-2018","Female","60 and over","High Total Cholesterol","14.7","2.1"
