"author","title","year_published","country","area_s","age_range","study_years","case_identification_method","case_criterion","sample_size","number_of_cases","asd_prevalence_estimate_per","confidence_interval_ci","male_female_sex_ratio","non_hispanic_white_hispanic","white_black_prevalence_ratio","diagnosis_age_range_months","diagnosis_mean_age_months","diagnosis_median_age_months","iq_score_70","adaptive_score_70","non_verbal_or_minimally_verbal","percentage_of_individual","autism_types_included","link_to_publication","cdc_calculated_values"
"Kadesjö, et al.","Brief report: autism and asperger syndrome in seven-year-old children: a total population study","1999","Sweden","Karlstad","6.7 to 7.7","1992","survey (mail)","DSM-III-R; ICD-10; autism test (ADI-R)","826","10","12.1","5.8 - 22.5","9",,,,,,"30",,,"10 (down syndrome)","autistic disorder, Asperger syndrome, other autistic-like conditions","https://www.ncbi.nlm.nih.gov/pubmed/10478732","IQ Score <70 (%); percent co-occuring conditions"
"Taylor, et al.","Autism and measles, mumps, and rubella vaccine: No epidemiological evidence for a causal association","1999","England","North Thames","0 to 15","1998","special needs registry; education records","ICD-10; clinical interpretation","492453","498","1.01","0.93 - 1.10",,,,,,"37 (core autism) 42 (atypical autism) 73 (Asperger's syndrome)",,,,,"core autism, atypical autism, Asperger syndrome","https://www.ncbi.nlm.nih.gov/pubmed/10376617","sample size; prevalence estimate; CI"
"Halfon, et al.","Prevalence and impact of parent-reported disabling mental health conditions among U.S. children","1999","USA","Nationwide","0 to 17","1992-1994","survey (in-person)","parental report; ICD-9","99513","46","0.38",,,,,,,,,,,,"infantile autism","https://pubmed.ncbi.nlm.nih.gov/10230193/","CI"
"Baird, et al.","A screening instrument for autism at 18 months of age: a 6-year follow-up study","2000","England","South East Thames","1.5 to 8","1998","survey (mail); health records; education records","ICD-10","16235","94","5.79","4.73 - 7.08","7.5",,,,,,"40",,,,"childhood autism, Asperger syndrome, PDD (including atypical autism)","https://www.ncbi.nlm.nih.gov/pubmed/10846303","number of cases; prevalence estimate; CI; IQ Score <70 (%)"
"Hillman, et al.","Prevalence of autism in Missouri: changing trends and the effect of a comprehensive state autism project","2000","USA","Missouri","0 to 15","1995","registry","DSM (not specified)",,,"0.14",,"3.2",,"1.7",,,,,,,,"autism","https://pubmed.ncbi.nlm.nih.gov/10832323/","none"
"Powell, et al.","Changes in the incidence if childhood autism and other autistic spectrum disorders in preschool children from two areas of the west midlands, UK","2000","England","West Midlands","1 to 4","1995","health records","DSM-III-R; DSM-IV; ICD-10; autism test (ADI)","29200","59","2.02","1.53 - 2.60","6",,,,,,,,,,"autistic disorder, PDD, Asperger syndrome, atypical autism, OMRS, Rett syndrome","https://www.ncbi.nlm.nih.gov/pubmed/11034456","none"
"Kielinen, et al.","Autism in Northern Finland","2000","Finland","North (Oulu and Lapland)","5 to 18","1996-1997","health records","DSM-IV; ICD-10","152732","187","1.39","1.2 - 1.57",,,,,,,"50",,,,"autism, autistic-like conditions","https://www.ncbi.nlm.nih.gov/pubmed/11095038","none"
"Magnússon, et al.","Prevalence of autism in Iceland","2001","Iceland","Nationwide","5 to 14","1997","service provider records","ICD-9; ICD-10; autism test (ADI-R, CARS)","43153","57","1.32","0.98 - 1.66","4.2",,,"26-165",,"48","84",,"39",,"infantile autism, childhood autism, atypical autism","https://www.ncbi.nlm.nih.gov/pubmed/11450814","none"
"Fombonne, et al.","Prevalence of pervasive developmental disorders in the British Nationwide survey of Child mental health","2001","United Kingdom","England; Wales; Scotland","5 to 15","1999","registry","DSM-IV; ICD-10; clinical interpretation","12529","27","2.61","1.62 - 3.60","4.8",,,,,,"44",,,"13.8 (epilepsy); 3.4 (fragile x); 0 (down's syndrome); 0 (cerebral palsy) 0 (tuberous sclerosis); 0 (congenital rubella)","PDD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/11437021","percent co-occurring conditions (fragile X only)"
"Chakrabarti, et al.","Pervasive Developmental Disorders in Preschool Children","2001","England","Staffordshire","2.5 to 6.5","1998","health records; education records","autism test (ADI-R); clinical interpretation; DSM-IV","15500","97","6.26","5.08 - 7.63",,,,"21-78","41",,"26",,"30","1 (tuberous sclerosis); 0 (fragile X); 2.1 (CP);","PDD (AD, Asperger syndrome, Rett syndrome, PDD-NOS, childhood disintegrative disorder)","https://www.ncbi.nlm.nih.gov/pubmed/11427137","percent co-occuring conditions"
"Bertrand, et al.","Prevalence of Autism in a United States Population: The Brick Township, New Jersey, Investigation","2001","USA","Brick Township, NJ","3 to 10","1998","health records; education records; other (parent referral)","DSM-IV","8996","60","6.7","5.1 - 8.7","2.7",,,,,,"49","58",,"1.67 (fragile X); 1.67 (seizure disorder)","AD, PDD-NOS, Asperger syndrome","https://www.ncbi.nlm.nih.gov/pubmed/11694696","none"
"Croen, et al.","The changing prevalence of autism in California","2002","USA","California","0 to 12","1987-1999","registry","DSM-III-R; DSM-IV","4590333","5038","1.1","1.07 - 1.13","4.5","1.7","3.9",,,,"25",,,,"full syndrome autism","https://www.ncbi.nlm.nih.gov/pubmed/12108622","IQ Score <70 (%)"
"Scott, et al.","Brief report: prevalence of autism spectrum conditions in children aged 5-11 years in Cambridgeshire, UK.","2002","England","Cambridgeshire","5 to 11","1999","education records; health records; service provider records","DSM-IV; ICD-10","34262","196","5.7","4.96 - 6.58","4",,,,,,,,,,"autism spectrum condition","https://www.ncbi.nlm.nih.gov/pubmed/12212915","none"
"Yeargin-Allsopp, et al.","Prevalence of autism in a US metropolitan area","2003","USA","Atlanta, GA","3 to 10","1996","education records; health records; service provider records","DSM-IV","289456","987","3.4","3.2 - 3.6","4",,"1",,"45",,"68",,,"8 (epilepsy); 5 (CP)","autistic disorder, PDD-NOS, Asperger syndrome","https://www.ncbi.nlm.nih.gov/pubmed/12503976","none"
"Gurney, et al.","Analysis of prevalence trends of autism spectrum disorder in Minnesota","2003","USA","Minnesota","6 to 17","1981-2002","education records","DMS-IV; clinical interpretation",,,"6.6",,,,,,,,,,,,"autism, PDD-NOS, Asperger syndrome, Rett syndrome, childhood disintegrative disorder","https://www.ncbi.nlm.nih.gov/pubmed/12860781","none"
"Lingam, et al.","Prevalence of autism and parentally reported triggers in a north east London population","2003","England","North East London","5 to 14","2000","registry; health records; education records","ICD-10","186206","567","3.05","2.80 - 3.31","4.8",,,,,"40 (childhood) 51 (atypical) 97 (Asperger's)",,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/12876158","prevalence estimate; CI"
"Webb, et al.","Prevalence of autistic spectrum disorder in children attending mainstream schools in a Welsh education authority","2003","Wales","Cardiff","7 to 11","1998","health records; survey (in-person)","clinical interpretation; ICD-10","11692","17","2.02",,,,,,,,"0",,,,"high functioning autism, asperger syndrome, PDD-NOS","https://pubmed.ncbi.nlm.nih.gov/12785438/","none"
"Geier, et al.","A comparative evaluation of the effects of MMR immunization and mercury doses from thimerosal-containing childhood vaccines on the population prevalence of autism","2004","USA","Nationwide",,,"other (government administrative data)","other (definition used by U.S. department of education)","3891494","10813","2.78","2.72 - 2.83",,,,,,,,,,,"autism","https://pubmed.ncbi.nlm.nih.gov/14976450/","CI"
"Iscasiano, et al.","Childhood autism spectrum disorder in the Barwon region: A community based study","2004","Australia","Barwon","2 to 17","2002","health records; education records","DSM-IV; clinical interpretation","45153","177","3.92","3.38 - 4.54","8.3",,,"27-195",,,"47",,"7","24.3 (ADD/ADHD); 6.2 (epilepsy); 1.6 (CP); 0 (fragile X); 0.6 (tuberous sclerosis)","ASD (autistic disorder, Asperger's syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pubmed/15569287","CI; diagnosis age range (years to months)"
"Tebruegge, et al.","Does routine health surveillance contribute to the early detection of children with pervasive developmental disorders? - An epidemiological study in Kent, U.K.","2004","England","Kent","8 to 9","2000","education records; health records","ICD-10","2536","21","8.28","5.42 - 12.63","6",,,"33-113","60","53",,,,"23.8 (ADHD); 9.5 (epilepsy)","PDD (childhood autism, Asperger's syndrome, and autistic spectrum disorder)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC375534/pdf/1471-2431-4-4.pdf","diagnosis age range, mean age, median age (years to months)"
"Lauritsen, et al.","The incidence of pervasive developmental disorders: a Danish population-based study","2004","Denmark","Nationwide","0 to 9","2001","registry","ICD-10","682397","2061","3.02","2.89 - 3.15",,,,,,,,,,,"childhood autism, atypical autism, Asperger syndrome, PDD-NOS","https://www.ncbi.nlm.nih.gov/pubmed/15697060","prevalence estimate; CI"
"Chakrabarti, et al.","Pervasive Developmental Disorders in Preschool Children: Confirmation of High Prevalence","2005","England","Stafford; Cannock","4 to 6","2002","health records","DSM-IV","10903","64","5.87","4.52 - 7.49","6.1",,,,"37.8",,"30",,,,"PDD (autistic disorder, PDD-NOS, Asperger syndrome, childhood disintegrative disorder)","https://www.ncbi.nlm.nih.gov/pubmed/15930062","none"
"Honda, et al.","Cumulative incidence of childhood autism: a total population study of better acuracy and precision","2005","Japan","Yokohama","5","1994-1997","health records","ICD-10","8250","34","4.12","2.95 - 5.75",,,,,,,,,,,"childhood autism","https://www.ncbi.nlm.nih.gov/pubmed/15686284","CI"
"Newschaffer, et al.","National autism prevalence trends from United States special education data","2005","USA","Nationwide","6","2000","other (government administrative data)","special education classification",,,"2.41",,,,,,,,,,,,"autism","https://pubmed.ncbi.nlm.nih.gov/15741352/","none"
"Jané, et al.","Parents and teachers reports of DSM-IV psychopathological symptoms in preschool children: differences between urban-rural Spanish areas","2005","Spain","Catalonia","3 to 6",,"survey (in-person)","DSM-IV","1104","19","17.2","11.04 - 26.72",,,,,,,,,,,"autistic disorder; Asperger syndrome","https://pubmed.ncbi.nlm.nih.gov/16520884/","prevalence estimate; CI"
"Zhang, et al.","Autism and mental retardation of young children in Chi","2005","China","Tianjin","2 to 6",,"health records","autism test (CARS); DSM-IV; clinical interpretation","7345","8","1.1","0.34 - 2.54","7",,,,,,"50",,,"12.5 (prematurity); 12.5 (cerebral palsy)","autistic disorder","https://www.ncbi.nlm.nih.gov/pubmed/16370317","IQ Score <70 (%)"
"Fombonne, et al.","Pervasive developmental disorders in Montreal, Quebec, Canada: Prevalence and links with immunizations","2006","Canada","Montreal; Quebec","5 to 21","1987-1998","education records","DSM-IV","27749","180","6.49","5.58 - 7.50","4.8",,,,,,,,,,"PDD (autistic disorder, PDD-NOS, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/16818529","none"
"Blanchard, et al.","Emotional, developmental, and behavioral health of American children and their families: a report from the 2003 National Survey of Children's Health","2006","USA","Nationwide","0 to 17","2003","survey (phone)","parental report","102353",,"5",,,,,,,,,,,,"autism","https://pubmed.ncbi.nlm.nih.gov/16740820/","none"
"Baird, et al.","Prevalence of disorders of the autism spectrum in a population cohort of children in South Thames: the Special Needs and Autism Project (SP)","2006","England","South Thames","9 to 10","1990-1991","registry; service provider records","ICD-10; clinical interpretation","56946","158","11.61","9.04 - 14.18","3.3",,,,,,"55",,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/16844490","none"
"Gillberg, et al.","Brief Report:"" The Autism Epidemic"". The registered prevalence of autism in a Swedish urban area","2006","Sweden","Götenburg","7 to 24","2001","registry; health records","DSM-III; DSM-III-R; DSM-IV; other (Gillberg criteria for Asperger's)","102485","546","5.33","4.88 - 5.78","3.6",,,,,,,,,,"ASD (infantile autism, autistic disorder, childhood disintegrative disorder, PDD-NOS, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/16568356","age range (months to years)"
"Harrison, et al.","Prevalence of autistic spectrum disorders in Lothian, Scotland: an estimate using the ""capture-recapture: technique","2006","Scotland","Lothian","0 to 14","2001","health records; service provider records; survey (mail)","ICD-10; DSM-IV","134661","443","4.42","3.95 - 4.89","7",,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2083098/","none"
"Ouellette-Kuntz, et al.","Prevalence of pervasive developmental disorders in two Canadian provinces","2006","Canada","Manitoba; Prince Edward Island","1 to 14","2002","service provider records; education records","ICD-9; ICD-10; DSM-III; DSM-III-R; DSM-IV","227526","662","2.91","2.70 - 3.14","3.9",,,,,"44.4 (Manitoba) 43.2 (Prince Edward Island)",,,,,"PDD/ASD (AD, PDD-NOS, Asperger syndrome, Rett syndrome, childhood disintegrative disorder)","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1741-1130.2006.00076.x","sample size; number of cases; prevalence estimate; CI; sex ratio"
"Petersen, et al.","The population prevalence of child psychiatric disorders in Danish 8- to 9-year-old children","2006","Denmark","County of Funen","8 to 9","2000","survey (mail)","DSM-IV; clinical interpretation","690","11","11",,"2.7",,,,,,,,,,"PDD (autistic disorder, Asperger syndrome)","https://pubmed.ncbi.nlm.nih.gov/16477477/","sample size; number of cases"
"Shattuck, et al.","The contribution of diagnostic substitution to the growing administrative prevalence of autism in US special education","2006","USA","Nationwide","6 to 11","2003","other (government administrative data)","other (definition used by U.S. department of education)",,,"3.1",,,,,,,,,,,,"autism","https://pubmed.ncbi.nlm.nih.gov/16585296/","none"
"Autism and Developmental Disabilities  Monitoring Network Surveillance Year 2000 Principal Investigators (CDC ADDM)","Prevalence of autism spectrum disorders - Autism and Developmental Disabilites Monitoring Network, six sites, United States, 2000","2007","USA","Arizona; Georgia; Maryland; New Jersey; South Carolina; West Virginia","8","2000","health records; education records","DSM-IV-TR; clinician interpretation","187761","1252","6.7","6.31 - 7.04",,,,"12-106",,"52-56","43",,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pubmed/17287714/","prevalence estimate; CI; IQ Score <70 (%)"
"Autism and Developmental Disabilities  Monitoring Network Surveillance Year 2002 Principal Investigators (CDC ADDM)","Prevalence of autism spectrum disorders - Autism and Developmental Disabilites Monitoring Network, 14 sites, United States, 2002","2007","USA","Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Pennsylvania; South Carolina; Utah; West Virginia; Wisconsin","8","2002","health records; education records","DSM-IV-TR; clinical interpretation","407578","2685","6.6","6.3 - 6.8",,,,,,"49-66","45",,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pubmed/17287715/","none"
"Ouellette-Kuntz, et al.","Trends for special education code assignment for autism: Implication for prevalence estimates","2007","Canada","British Colombia","4 to 9","1996-2004","education records","DSM-IV","2240537","1003","4.31","4.05 - 4.58","5.2",,,,,,,,,,"autistic disorder","https://www.ncbi.nlm.nih.gov/pubmed/17216561","CI"
"Ellefsen, et al.","Autism in the Faroe Islands. An epidemiological study","2007","Denmark","Faroe Islands","8 to 17","2002","education records; other (referral)","ICD-10; other (Gillberg criteria for Asperger's); clinical interpretation","7689","43","5.6","3.8 - 7.3","5",,,,,,"32",,,,"childhood autism, atypical autism, Asperger syndrome, childhood disintegrative disorder","https://www.ncbi.nlm.nih.gov/pubmed/17029020","age range; IQ Score <70 (%)"
"Croen, et al.","Maternal and paternal age an risk of autism spectrum disorders","2007","USA","Northern California","5 to 10","2005","health records","ICD-9","132844","593","4.5","4.12 - 4.84","5.4",,,,,,,,,,"ASD (autistic disorder, PDD-NOS, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/17404129","CI"
"Latif, et al.","Diagnostic trends in autistic spectrum disorders in the South Wales valleys","2007","Wales","Rhondda; Taff Ely districts","0 to 17","1994-2003","registry","Kanner; other (Gillberg criteria for Asperger's)","39220","240","6.12","5.39 - 6.94","5.9",,,,"66",,,,,,"ASD (Kanner autism, Asperger syndrome, 'other forms' which include atypical autism, mental retardation, fragile x, and other conditions associated with autism)","https://www.ncbi.nlm.nih.gov/pubmed/17947285","CI"
"Oliveira, et al.","Epidemiology of autism spectrum disorder in Portugal: prevalence, clinical characterization, and medical conditions","2007","Portugal","Mainland; Azores","6 to 9","2000","survey (mail)","DSM-IV; autism test (ADI-R, CARS)",,,"0.92","0.81 - 1.0","2.9",,,,,,"83",,,"15.8 (epilepsy)","ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/17880640","number of cases; prevalence estimate; CI"
"Eapen, et al.","Prevalence of pervasive developmental disorders in preschool children in the UAE","2007","United Arab Emirates","Dubai; Al Ain in Abu Dhabi Emirate; Ras Al-Khaimah","3",,"survey (unspecified)","DSM-IV","694","2","2.9","0.0 - 7.9",,,,,,,,,,,"PDD","https://www.ncbi.nlm.nih.gov/pubmed/17244665","none"
"Coo, et al.","Trends in autism prevalence: diagnostic substitution revisited","2008","Canada","British Colombia","4 to 9","2004","other (government administratove data)","special education classification","232945","1003","4.31","4.04 - 4.58",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/17975721/","CI"
"Parner, et al.","Autism prevalence trends over time in Denmark: changes in prevalence and age at diagnosis","2008","Denmark","Nationwide","9","2006","registry","ICD-10","132607","714","6.19","5.71 - 6.70",,,,,"5.3",,,,,,"ASD, childhood autism","https://pubmed.ncbi.nlm.nih.gov/19047542/","none"
"Wong, et al.","Epidemiological study of autism spectrum disorder in Chi","2008","China","Hong Kong","0 to 14","1986-2005","registry; health records","DSM-III-R; DSM-IV; autism test (CARS, ADI-R)","4247206","682","1.6","1.48 - 1.73","6.6",,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/18160559","CI"
"Williams, K. et al.","The prevalence of autism in Australia. Can it be established from existing data?","2008","Australia","Nationwide","6 to 12","2003-2004","other (government administrative data)","receipt of autism-specific services; special education classification; other (receipt of government services)","5459",,"6.25","6.13 - 6.36","4",,,,,,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pubmed/18564076","none"
"Montiel, et al.","Epidemiological findings of pervasive developmental disorders in a Venezuelan study","2008","Venezuela","Maracaibo County","3 to 9","2005-2006","health records; education records; service provider records","DSM-IV-TR","254905","430","1.7","0.1 - 2.0","3.3",,,,,,,,,"1.1 (fragile X); 0.7 (tuberous sclerosis); 4.9 (epilepsy); 0.7 (Down syndrome)","ASD (autism, Asperger syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pubmed/18308767","none"
