"data_as_of","start_week","end_week","mmwryear","mmwrweek","week_ending_date","group","indicator","jurisdiction","age_group","covid_19_deaths","total_deaths","pneumonia_deaths","influenza_deaths","pneumonia_or_influenza","pneumonia_influenza_or_covid","footnote"
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Delaware","18-64 years","0","49",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Delaware","65 years and over","0","157",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","District of Columbia","All Ages","0","95",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","District of Columbia","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","District of Columbia","18-64 years","0","33",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","District of Columbia","65 years and over","0","61",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Florida","All Ages","0","4240","246","31","277","277",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Florida","0-17 years","0","35","0",,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Florida","18-64 years","0","999","43","16","59","59",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Florida","65 years and over","0","3206","203","14","217","217",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Georgia","All Ages","0","1813","112","22","134","134",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Georgia","0-17 years","0","21","0",,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Georgia","18-64 years","0","534","29",,"35","35","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Georgia","65 years and over","0","1258","83","14","97","97",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Hawaii","All Ages","0","240","26",,"28","28","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Hawaii","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Hawaii","18-64 years","0","55",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Hawaii","65 years and over","0","182","20",,"22","22","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Idaho","All Ages","0","279","19",,"21","21","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Idaho","0-17 years","0",,,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Idaho","18-64 years","0","67",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Idaho","65 years and over","0","206","16",,"17","17","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Illinois","All Ages","0","2261","146",,"149","149","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Illinois","0-17 years","0","26",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Illinois","18-64 years","0","557","30",,"31","31","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Illinois","65 years and over","0","1678","115",,"116","116","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Indiana","All Ages","0","1445","118","13","131","131",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Indiana","0-17 years","0","23",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Indiana","18-64 years","0","347","16",,"22","22","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Indiana","65 years and over","0","1075","101",,"107","107","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Iowa","All Ages","0","667","36",,"39","39","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Iowa","0-17 years","0",,,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Iowa","18-64 years","0","148",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Iowa","65 years and over","0","511","30",,"32","32","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Kansas","All Ages","0","605","51",,"60","60","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Kansas","0-17 years","0",,"0",,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Kansas","18-64 years","0","122",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Kansas","65 years and over","0","474","44",,"51","51","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Kentucky","All Ages","0","1097","93","10","103","103",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Kentucky","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Kentucky","18-64 years","0","302","21",,"25","25","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Kentucky","65 years and over","0","787","72",,"78","78","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Louisiana","All Ages","0","930","53",,"56","56","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Louisiana","0-17 years","0","14","0",,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Louisiana","18-64 years","0","276","10","0","10","10",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Louisiana","65 years and over","0","640","43",,"45","45","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Maine","All Ages","0","325","22","0","22","22",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Maine","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Maine","18-64 years","0","61","0","0","0","0",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Maine","65 years and over","0","260","22","0","22","22",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Maryland","All Ages","0","1066","90","12","102","102",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Maryland","0-17 years","0",,"0",,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Maryland","18-64 years","0","301","21",,"27","27","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Maryland","65 years and over","0","756","69",,"74","74","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Massachusetts","All Ages","0","1215","93",,"97","97","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Massachusetts","0-17 years","0","14","0","0","0","0",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Massachusetts","18-64 years","0","258",,,"11","11","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Massachusetts","65 years and over","0","943","84",,"86","86","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Michigan","All Ages","0","2062","115","13","128","128",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Michigan","0-17 years","0","30",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Michigan","18-64 years","0","460","25",,"29","29","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Michigan","65 years and over","0","1572","89",,"95","95","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Minnesota","All Ages","0","994","62",,"69","69","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Minnesota","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Minnesota","18-64 years","0","210",,,"11","11","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Minnesota","65 years and over","0","778","54",,"58","58","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Mississippi","All Ages","0","675","61",,"63","63","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Mississippi","0-17 years","0",,"0",,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Mississippi","18-64 years","0","195","12",,"13","13","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Mississippi","65 years and over","0","471","49","0","49","49",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Missouri","All Ages","0","1266","76",,"81","81","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Missouri","0-17 years","0",,,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Missouri","18-64 years","0","299","17",,"19","19","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Missouri","65 years and over","0","960","58",,"61","61","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Montana","All Ages","0","234","15",,"16","16","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Montana","0-17 years","0",,"0","0","0","0","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Montana","18-64 years","0","51",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Montana","65 years and over","0","180","14",,"15","15","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Nebraska","All Ages","0","346","24",,"30","30","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Nebraska","0-17 years","0",,"0",,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Nebraska","18-64 years","0","69",,,,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Nebraska","65 years and over","0","271","22",,"26","26","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Nevada","All Ages","0","506","40",,"43","43","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Nevada","0-17 years","0",,,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Nevada","18-64 years","0","134","12",,"13","13","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","Nevada","65 years and over","0","367","27",,"29","29","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","New Hampshire","All Ages","0","266","18",,"19","19","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","New Hampshire","0-17 years","0","0","0","0","0","0",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","New Hampshire","18-64 years","0","53",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","New Hampshire","65 years and over","0","213","17",,"18","18","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","New Jersey","All Ages","0","1641","76",,"82","82","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","New Jersey","0-17 years","0","13","0","0","0","0",
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","New Jersey","18-64 years","0","398","15",,"19","19","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","New Jersey","65 years and over","0","1230","61",,"63","63","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"09/08/2022","12/29/2019","01/04/2020","2020","1","2020-01-04T00:00:00.000","By Week","Week-ending","New Mexico","All Ages","0","433","32","10","42","42",
