"indicator","panel","panel_num","unit","unit_num","stub_name","stub_name_num","stub_label_num","stub_label","year","year_num","age","age_num","estimate","se","flag"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","1988-1994","1","2-19 years","0","9.2","0.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","1999-2002","2","2-19 years","0","12.6","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2001-2004","3","2-19 years","0","15.1","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2003-2006","4","2-19 years","0","14.7","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2005-2008","5","2-19 years","0","14.1","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2007-2010","6","2-19 years","0","14.6","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2009-2012","7","2-19 years","0","14","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2011-2014","8","2-19 years","0","14.7","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2013-2016","9","2-19 years","0","14.7","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2015-2018","10","2-19 years","0","15.1","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","1988-1994","1","2-19 years","0","12.5","0.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","1999-2002","2","2-19 years","0","18.2","0.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2001-2004","3","2-19 years","0","18.8","0.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2003-2006","4","2-19 years","0","20.7","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2005-2008","5","2-19 years","0","20.7","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2007-2010","6","2-19 years","0","22.1","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2009-2012","7","2-19 years","0","22.1","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2011-2014","8","2-19 years","0","19.5","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2013-2016","9","2-19 years","0","20.4","1.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2015-2018","10","2-19 years","0","23.1","1.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","1988-1994","1","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","1999-2002","2","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2001-2004","3","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2003-2006","4","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2005-2008","5","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2007-2010","6","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2009-2012","7","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2011-2014","8","2-19 years","0","8.6","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2013-2016","9","2-19 years","0","9.8","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2015-2018","10","2-19 years","0","9.8","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","1988-1994","1","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","1999-2002","2","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2001-2004","3","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2003-2006","4","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2005-2008","5","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2007-2010","6","2-19 years","0","21.1","0.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2009-2012","7","2-19 years","0","21.8","0.6",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2011-2014","8","2-19 years","0","21.9","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2013-2016","9","2-19 years","0","23.6","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2015-2018","10","2-19 years","0","25.7","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","1988-1994","1","2-19 years","0","14.3","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","1999-2002","2","2-19 years","0","20","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2001-2004","3","2-19 years","0","19.4","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2003-2006","4","2-19 years","0","20.9","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2005-2008","5","2-19 years","0","21.7","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2007-2010","6","2-19 years","0","21","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2009-2012","7","2-19 years","0","21.9","0.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2011-2014","8","2-19 years","0","22.2","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2013-2016","9","2-19 years","0","24.2","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2015-2018","10","2-19 years","0","26.9","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","1988-1994","1","2-19 years","0","10.6","0.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","1999-2002","2","2-19 years","0","16","0.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2001-2004","3","2-19 years","0","16","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2003-2006","4","2-19 years","0","17.4","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2005-2008","5","2-19 years","0","17.8","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2007-2010","6","2-19 years","0","20.6","1.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2009-2012","7","2-19 years","0","21.9","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2011-2014","8","2-19 years","0","18.4","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2013-2016","9","2-19 years","0","17.9","1.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2015-2018","10","2-19 years","0","19.2","1.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","1988-1994","1","2-19 years","0","9.7","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","1999-2002","2","2-19 years","0","13.2","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2001-2004","3","2-19 years","0","16.4","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2003-2006","4","2-19 years","0","15.6","1.5",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2005-2008","5","2-19 years","0","14.5","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2007-2010","6","2-19 years","0","15.8","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2009-2012","7","2-19 years","0","14.4","1.5",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2011-2014","8","2-19 years","0","14.3","1.6",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2013-2016","9","2-19 years","0","15.3","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2015-2018","10","2-19 years","0","16","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","1988-1994","1","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","1999-2002","2","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2001-2004","3","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2003-2006","4","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2005-2008","5","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2007-2010","6","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2009-2012","7","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2011-2014","8","2-19 years","0","11.8","1.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2013-2016","9","2-19 years","0","11.9","1.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2015-2018","10","2-19 years","0","12","1.6",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","1988-1994","1","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","1999-2002","2","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2001-2004","3","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2003-2006","4","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2005-2008","5","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2007-2010","6","2-19 years","0","23.9","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2009-2012","7","2-19 years","0","23.7","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2011-2014","8","2-19 years","0","22.4","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2013-2016","9","2-19 years","0","24.3","1.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2015-2018","10","2-19 years","0","28","2.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","1988-1994","1","2-19 years","0","14.8","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","1999-2002","2","2-19 years","0","23","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2001-2004","3","2-19 years","0","22","1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2003-2006","4","2-19 years","0","23.2","1.6",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2005-2008","5","2-19 years","0","24.6","1.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2007-2010","6","2-19 years","0","24.4","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2009-2012","7","2-19 years","0","24.1","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2011-2014","8","2-19 years","0","21.8","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2013-2016","9","2-19 years","0","24.2","1.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2015-2018","10","2-19 years","0","29.2","1.9",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","1988-1994","1","2-19 years","0","8.6","1.1",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","1999-2002","2","2-19 years","0","12","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2001-2004","3","2-19 years","0","13.8","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2003-2006","4","2-19 years","0","13.7","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2005-2008","5","2-19 years","0","13.6","1.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2007-2010","6","2-19 years","0","13.3","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2009-2012","7","2-19 years","0","13.6","1.2",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2011-2014","8","2-19 years","0","15.1","1.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2013-2016","9","2-19 years","0","14.1","1.5",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2015-2018","10","2-19 years","0","14.2","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.213","Female: Not Hispanic or Latino: Asian only","1988-1994","1","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.213","Female: Not Hispanic or Latino: Asian only","1999-2002","2","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.213","Female: Not Hispanic or Latino: Asian only","2001-2004","3","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.213","Female: Not Hispanic or Latino: Asian only","2003-2006","4","2-19 years","0",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.213","Female: Not Hispanic or Latino: Asian only","2005-2008","5","2-19 years","0",,,"-"
