"indicator","unit","unit_num","stub_name","stub_name_num","stub_label","stub_label_num","year","year_num","age","age_num","estimate","se","flag"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Female: Married","3.4","1984","1","14-64 years","2.2","2.6","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Female: Divorced, separated, widowed","3.5","1984","1","14-64 years","2.2","16","0.8",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Female: Never married","3.6","1984","1","14-64 years","2.2","10.7","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","White only","4.1","1984","1","Under 65 years","4","4.6","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","Black or African American only","4.2","1984","1","Under 65 years","4","20.5","1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","American Indian or Alaska Native only","4.3","1984","1","Under 65 years","4","28.2","7.3","*"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","Asian only","4.4","1984","1","Under 65 years","4","8.7","2.1","*"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","Native Hawaiian or Other Pacific Islander only","4.5","1984","1","Under 65 years","4",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","2 or more races","4.6","1984","1","Under 65 years","4",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: All races","5.1","1984","1","Under 65 years","4","13.3","1.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: Mexican: All races","5.11","1984","1","Under 65 years","4","12.2","1.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: Puerto Rican: All races","5.12","1984","1","Under 65 years","4","31.5","4.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: Cuban: All races","5.13","1984","1","Under 65 years","4","4.8","1","*"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: Other: All races","5.14","1984","1","Under 65 years","4","7.9","1.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Not Hispanic or Latino: All races","5.2","1984","1","Under 65 years","4","6.2","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Not Hispanic or Latino: Black or African American only","5.21","1984","1","Under 65 years","4","20.7","1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Not Hispanic or Latino: White only","5.22","1984","1","Under 65 years","4","3.7","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: Below 100%","6.11","1984","1","Under 65 years","4","33","1.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 100%-199%","6.12","1984","1","Under 65 years","4","5.3","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 100%-133%","6.121","1984","1","Under 65 years","4","8.7","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 134%-199%","6.122","1984","1","Under 65 years","4","3.7","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 200%-399%","6.13","1984","1","Under 65 years","4","0.8","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 400% or more","6.14","1984","1","Under 65 years","4","0.2","0",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: Below 100%","6.21","1984","1","Under 19 years","1","42","1.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 100%-199%","6.22","1984","1","Under 19 years","1","6.5","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 100%-133%","6.221","1984","1","Under 19 years","1","10.3","0.9",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 134%-199%","6.222","1984","1","Under 19 years","1","4.7","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 200%-399%","6.23","1984","1","Under 19 years","1","1","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 400% or more","6.24","1984","1","Under 19 years","1",,,"*"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: Below 100%","6.31","1984","1","Under 18 years","2","43.3","1.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 100%-199%","6.32","1984","1","Under 18 years","2","6.6","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 100%-133%","6.321","1984","1","Under 18 years","2","10.4","0.9",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 134%-199%","6.322","1984","1","Under 18 years","2","4.8","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 200%-399%","6.33","1984","1","Under 18 years","2","1","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 400% or more","6.34","1984","1","Under 18 years","2",,,"*"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: Below 100%","6.41","1984","1","18-64 years","3","25.3","1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 100%-199%","6.42","1984","1","18-64 years","3","4.5","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 100%-133%","6.421","1984","1","18-64 years","3","7.6","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 134%-199%","6.422","1984","1","18-64 years","3","3.1","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 200%-399%","6.43","1984","1","18-64 years","3","0.7","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 400% or more","6.44","1984","1","18-64 years","3","0.2","0",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Level of difficulty (18-64 years)","7","A lot of difficulty or cannot do at all","7.1","1984","1","18-64 years","3",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Level of difficulty (18-64 years)","7","No difficulty","7.2","1984","1","18-64 years","3",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Level of difficulty (18-64 years)","7","Some difficulty","7.3","1984","1","18-64 years","3",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Geographic region","8","Northeast","8.1","1984","1","Under 65 years","4","8.6","0.9",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Geographic region","8","Midwest","8.2","1984","1","Under 65 years","4","7.4","0.7",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Geographic region","8","South","8.3","1984","1","Under 65 years","4","5.1","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Geographic region","8","West","8.4","1984","1","Under 65 years","4","7","0.7",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Location of residence","9","Within MSA","9.1","1984","1","Under 65 years","4","7.1","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Location of residence","9","Outside MSA","9.2","1984","1","Under 65 years","4","6.1","0.5",
"Medicaid coverage among persons under age 65 no additional information","Number in millions","1","Total","0","Under 65 years","0.1","1989","2","Under 65 years","4","15.4",,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Total","0","Under 65 years","0.1","1989","2","Under 65 years","4","7.2","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","Under 19 years","1.1","1989","2","Under 19 years","1","12.2","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","Under 6 years","1.11","1989","2","Under 6 years","1.1","15.7","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","6-18 years","1.12","1989","2","6-18 years","1.2","10.5","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","Under 18 years","1.2","1989","2","Under 18 years","2","12.6","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","6-17 years","1.21","1989","2","6-17 years","2.1","10.9","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","18-64 years","1.3","1989","2","18-64 years","3","4.9","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","18-44 years","1.31","1989","2","18-44 years","3.1","5.2","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","18-24 years","1.311","1989","2","18-24 years","3.11","6.8","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","19-25 years","1.312","1989","2","19-25 years","3.12","6.6","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","25-34 years","1.313","1989","2","25-34 years","3.13","5.2","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","35-44 years","1.314","1989","2","35-44 years","3.14","4","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","45-64 years","1.4","1989","2","45-64 years","3.2","4.3","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","45-54 years","1.41","1989","2","45-54 years","3.21","3.8","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","55-64 years","1.42","1989","2","55-64 years","3.22","4.9","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex","2","Male","2.1","1989","2","Under 65 years","4","5.7","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex","2","Female","2.2","1989","2","Under 65 years","4","8.6","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Male: Married","3.1","1989","2","14-64 years","2.2","1.8","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Male: Divorced, separated, widowed","3.2","1989","2","14-64 years","2.2","5.4","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Male: Never married","3.3","1989","2","14-64 years","2.2","5.6","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Female: Married","3.4","1989","2","14-64 years","2.2","3","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Female: Divorced, separated, widowed","3.5","1989","2","14-64 years","2.2","16.1","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Female: Never married","3.6","1989","2","14-64 years","2.2","11.9","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","White only","4.1","1989","2","Under 65 years","4","5.1","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","Black or African American only","4.2","1989","2","Under 65 years","4","19","0.7",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","American Indian or Alaska Native only","4.3","1989","2","Under 65 years","4","29.7","4.8",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","Asian only","4.4","1989","2","Under 65 years","4","8.8","2.5","*"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","Native Hawaiian or Other Pacific Islander only","4.5","1989","2","Under 65 years","4",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","2 or more races","4.6","1989","2","Under 65 years","4",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: All races","5.1","1989","2","Under 65 years","4","13.5","0.8",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: Mexican: All races","5.11","1989","2","Under 65 years","4","12.4","0.9",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: Puerto Rican: All races","5.12","1989","2","Under 65 years","4","27.3","3.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: Cuban: All races","5.13","1989","2","Under 65 years","4","7.7","2.1","*"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: Other: All races","5.14","1989","2","Under 65 years","4","11.1","1.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Not Hispanic or Latino: All races","5.2","1989","2","Under 65 years","4","6.5","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Not Hispanic or Latino: Black or African American only","5.21","1989","2","Under 65 years","4","19","0.7",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Not Hispanic or Latino: White only","5.22","1989","2","Under 65 years","4","4.1","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: Below 100%","6.11","1989","2","Under 65 years","4","37.6","1.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 100%-199%","6.12","1989","2","Under 65 years","4","7.5","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 100%-133%","6.121","1989","2","Under 65 years","4","11.9","0.7",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 134%-199%","6.122","1989","2","Under 65 years","4","5.6","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 200%-399%","6.13","1989","2","Under 65 years","4","1.3","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 65 years: 400% or more","6.14","1989","2","Under 65 years","4","0.5","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: Below 100%","6.21","1989","2","Under 19 years","1","45.8","1.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 100%-199%","6.22","1989","2","Under 19 years","1","8.6","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 100%-133%","6.221","1989","2","Under 19 years","1","13.4","1.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 134%-199%","6.222","1989","2","Under 19 years","1","6.3","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 200%-399%","6.23","1989","2","Under 19 years","1","1.7","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 19 years: 400% or more","6.24","1989","2","Under 19 years","1","1.2","0.3","*"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: Below 100%","6.31","1989","2","Under 18 years","2","47.8","1.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 100%-199%","6.32","1989","2","Under 18 years","2","8.7","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 100%-133%","6.321","1989","2","Under 18 years","2","13.5","1.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 134%-199%","6.322","1989","2","Under 18 years","2","6.4","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 200%-399%","6.33","1989","2","Under 18 years","2","1.7","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","Under 18 years: 400% or more","6.34","1989","2","Under 18 years","2","1.1","0.3","*"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: Below 100%","6.41","1989","2","18-64 years","3","29.1","1.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 100%-199%","6.42","1989","2","18-64 years","3","6.8","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 100%-133%","6.421","1989","2","18-64 years","3","10.8","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 134%-199%","6.422","1989","2","18-64 years","3","5.1","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 200%-399%","6.43","1989","2","18-64 years","3","1.1","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age and percent of poverty level","6","18-64 years: 400% or more","6.44","1989","2","18-64 years","3","0.4","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Level of difficulty (18-64 years)","7","A lot of difficulty or cannot do at all","7.1","1989","2","18-64 years","3",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Level of difficulty (18-64 years)","7","No difficulty","7.2","1989","2","18-64 years","3",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Level of difficulty (18-64 years)","7","Some difficulty","7.3","1989","2","18-64 years","3",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Geographic region","8","Northeast","8.1","1989","2","Under 65 years","4","6.6","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Geographic region","8","Midwest","8.2","1989","2","Under 65 years","4","7.6","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Geographic region","8","South","8.3","1989","2","Under 65 years","4","6.5","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Geographic region","8","West","8.4","1989","2","Under 65 years","4","8.5","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Location of residence","9","Within MSA","9.1","1989","2","Under 65 years","4","7","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Location of residence","9","Outside MSA","9.2","1989","2","Under 65 years","4","7.9","0.5",
"Medicaid coverage among persons under age 65 no additional information","Number in millions","1","Total","0","Under 65 years","0.1","1994","3","Under 65 years","4","25.7",,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Total","0","Under 65 years","0.1","1994","3","Under 65 years","4","11.2","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","Under 19 years","1.1","1994","3","Under 19 years","1","20.7","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","Under 6 years","1.11","1994","3","Under 6 years","1.1","28.4","0.7",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","6-18 years","1.12","1994","3","6-18 years","1.2","16.8","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","Under 18 years","1.2","1994","3","Under 18 years","2","21.2","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","6-17 years","1.21","1994","3","6-17 years","2.1","17.2","0.5",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","18-64 years","1.3","1994","3","18-64 years","3","6.8","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","18-44 years","1.31","1994","3","18-44 years","3.1","7.8","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","18-24 years","1.311","1994","3","18-24 years","3.11","10.2","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","19-25 years","1.312","1994","3","19-25 years","3.12","10.1","0.4",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","25-34 years","1.313","1994","3","25-34 years","3.13","8.3","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","35-44 years","1.314","1994","3","35-44 years","3.14","5.9","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","45-64 years","1.4","1994","3","45-64 years","3.2","4.7","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","45-54 years","1.41","1994","3","45-54 years","3.21","4","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Age","1","55-64 years","1.42","1994","3","55-64 years","3.22","5.7","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex","2","Male","2.1","1994","3","Under 65 years","4","9.2","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex","2","Female","2.2","1994","3","Under 65 years","4","13.2","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Male: Married","3.1","1994","3","14-64 years","2.2","2.5","0.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Male: Divorced, separated, widowed","3.2","1994","3","14-64 years","2.2","7.1","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Male: Never married","3.3","1994","3","14-64 years","2.2","7.8","0.3",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Female: Married","3.4","1994","3","14-64 years","2.2","4.9","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Female: Divorced, separated, widowed","3.5","1994","3","14-64 years","2.2","19.4","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Sex and marital status (14-64 years)","3","Female: Never married","3.6","1994","3","14-64 years","2.2","16.8","0.6",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","White only","4.1","1994","3","Under 65 years","4","8.3","0.2",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","Black or African American only","4.2","1994","3","Under 65 years","4","28.8","0.9",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","American Indian or Alaska Native only","4.3","1994","3","Under 65 years","4","23.5","2.8",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","Asian only","4.4","1994","3","Under 65 years","4","10","1.1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","Native Hawaiian or Other Pacific Islander only","4.5","1994","3","Under 65 years","4",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Race","4","2 or more races","4.6","1994","3","Under 65 years","4",,,"---"
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: All races","5.1","1994","3","Under 65 years","4","20.9","1",
"Medicaid coverage among persons under age 65 no additional information","Percent of population, crude","2","Hispanic origin and race","5","Hispanic or Latino: Mexican: All races","5.11","1994","3","Under 65 years","4","20.2","1.1",
