"service_category","job_category","department","job_classification","ethnicity","age_group","sex"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Professionals","DISTRICT ATTORNEY","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","Over 60","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","50 - 59","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Asian","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Not Specified","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","30 - 39","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","50 - 59","Male"
"Safety Services","Professionals","DISTRICT ATTORNEY","CRIMINALIST III","White","Under 30","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Black/African American","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","30 - 39","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","30 - 39","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Two or More Races","50 - 59","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","50 - 59","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","30 - 39","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","30 - 39","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Black/African American","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","40 - 49","Female"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Hispanic/Latino","30 - 39","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","Asian","50 - 59","Male"
"Safety Services","Protective Service Workers","DISTRICT ATTORNEY","CRIMINAL INVESTIGATOR II","White","30 - 39","Male"
"Safety Services","Professionals","DISTRICT ATTORNEY","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","MARRIAGE & FAMILY THERAPIST II","White","50 - 59","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","PSYCHIATRIC SOCIAL WORKER II","Hispanic/Latino","50 - 59","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","Small Job Classification - Omitted for Privacy","Asian","Over 60","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","PSYCHIATRIC SOCIAL WORKER II","White","50 - 59","Male"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","PROGRAM MGR II","Black/African American","30 - 39","Female"
"Health Services","Administrative Support","BEHAVIORAL HEALTH SERVICES","HEALTH SERVICES REP","Hispanic/Latino","30 - 39","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","PSYCHIATRIC SOCIAL WORKER I","White","30 - 39","Male"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","PSYCHIATRIC SOCIAL WORKER I","Not Specified","30 - 39","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","MARRIAGE & FAMILY THERAPIST II","White","30 - 39","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","MARRIAGE & FAMILY THERAPIST II","Asian","40 - 49","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","MARRIAGE & FAMILY THERAPIST II","Asian","30 - 39","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","MARRIAGE & FAMILY THERAPIST II","Two or More Races","30 - 39","Female"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","PSYCHIATRIC SOCIAL WORKER I","White","30 - 39","Male"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","MARRIAGE & FAMILY THERAPIST I","Asian","30 - 39","Male"
"Health Services","Professionals","BEHAVIORAL HEALTH SERVICES","MARRIAGE & FAMILY THERAPIST I","Asian","30 - 39","Female"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","MGMT ANALYST","Black/African American","50 - 59","Female"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","30 - 39","Male"
"Social Services","Administrative Support","SOCIAL SERVICES AGENCY","OFFICE SPECIALIST III","White","50 - 59","Female"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","30 - 39","Male"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Black/African American","50 - 59","Male"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Two or More Races","Under 30","Male"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Female"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","30 - 39","Female"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","Under 30","Male"
"Social Services","Professionals","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Female"
"Social Services","Officials and Administrators","SOCIAL SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Other","Administrative Support","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR II","Two or More Races","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","30 - 39","Male"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Not Specified","Over 60","Male"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Male"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR II","Not Specified","40 - 49","Male"
"Other","Professionals","FACILITIES","ASSOC MGMT ANALYST","Hispanic/Latino","40 - 49","Male"
"Other","Professionals","FACILITIES","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","FACILITIES","SR MGMT ANALYST","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","FACILITIES","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","FACILITIES","CAPITAL PROJECTS MGR III","Asian","50 - 59","Female"
"Other","Paraprofessionals","FACILITIES","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Male"
"Other","Professionals","FACILITIES","SR MGMT ANALYST","Hispanic/Latino","30 - 39","Female"
"Other","Paraprofessionals","FACILITIES","Small Job Classification - Omitted for Privacy","Two or More Races","30 - 39","Male"
"Other","Professionals","FACILITIES","PROGRAM MGR I","White","30 - 39","Male"
"Other","Professionals","FACILITIES","SENIOR PLANNER","White","30 - 39","Female"
"Other","Paraprofessionals","FACILITIES","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Professionals","FACILITIES","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Paraprofessionals","FACILITIES","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Professionals","FACILITIES","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Male"
"Other","Officials and Administrators","PUBLIC DEFENDER","Small Job Classification - Omitted for Privacy","Black/African American","Over 60","Male"
"Other","Professionals","PUBLIC DEFENDER","PUBLIC DEFENDER INVEST II","Hispanic/Latino","50 - 59","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Hispanic/Latino","50 - 59","Male"
"Other","Professionals","PUBLIC DEFENDER","PUBLIC DEFENDER INVEST II","Hispanic/Latino","Over 60","Male"
"Other","Paraprofessionals","PUBLIC DEFENDER","SR PARALEGAL","Hispanic/Latino","50 - 59","Female"
"Other","Professionals","PUBLIC DEFENDER","OFFICE MGMT COORD","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","PUBLIC DEFENDER","LEGAL CLERK","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","White","50 - 59","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Hispanic/Latino","50 - 59","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","White","50 - 59","Male"
"Other","Officials and Administrators","PUBLIC DEFENDER","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Paraprofessionals","PUBLIC DEFENDER","SR PARALEGAL","Black/African American","40 - 49","Female"
"Other","Paraprofessionals","PUBLIC DEFENDER","SR PARALEGAL","White","40 - 49","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Hispanic/Latino","40 - 49","Male"
"Other","Paraprofessionals","PUBLIC DEFENDER","SR PARALEGAL","Hispanic/Latino","50 - 59","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Asian","40 - 49","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Asian","40 - 49","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Hispanic/Latino","50 - 59","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Hispanic/Latino","50 - 59","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","White","40 - 49","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Hispanic/Latino","40 - 49","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","White","40 - 49","Female"
"Other","Administrative Support","PUBLIC DEFENDER","LEGAL SECRETARY II","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","White","50 - 59","Female"
"Other","Professionals","PUBLIC DEFENDER","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Not Specified","40 - 49","Female"
"Other","Professionals","PUBLIC DEFENDER","PUBLIC DEFENDER INVEST II","Not Specified","30 - 39","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","White","30 - 39","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Not Specified","30 - 39","Male"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","White","40 - 49","Female"
"Other","Administrative Support","PUBLIC DEFENDER","LEGAL CLERK","Not Specified","30 - 39","Female"
"Other","Administrative Support","PUBLIC DEFENDER","SR OFFICE SPECIALIST","Not Specified","Over 60","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Not Specified","40 - 49","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Not Specified","40 - 49","Female"
"Other","Professionals","PUBLIC DEFENDER","PUBLIC DEFENDER INVEST II","Not Specified","50 - 59","Female"
"Other","Professionals","PUBLIC DEFENDER","ATTORNEY IV- PUBLIC DEFENDER","Not Specified","50 - 59","Female"
"Other","Professionals","PUBLIC DEFENDER","PUBLIC DEFENDER INVEST II","Hispanic/Latino","40 - 49","Male"
"Other","Administrative Support","PUBLIC DEFENDER","OFFICE SPECIALIST III","Not Specified","Under 30","Female"
"Other","Professionals","PUBLIC DEFENDER","SOCIAL WORKER III","Not Specified","30 - 39","Female"
"Other","Professionals","PUBLIC DEFENDER","PUBLIC DEFENDER INVEST II","Not Specified","30 - 39","Female"
"Other","Administrative Support","PUBLIC DEFENDER","OFFICE SPECIALIST II","Hispanic/Latino","Under 30","Female"
"Other","Administrative Support","PRETRIAL SERVICES","JUSTICE SYSTEM CLERK II","Asian","Over 60","Female"
"Other","Technicians","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","Hispanic/Latino","50 - 59","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Asian","50 - 59","Male"
"Other","Administrative Support","PRETRIAL SERVICES","JUSTICE SYSTEM CLERK II","Asian","Over 60","Female"
"Other","Professionals","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","Hispanic/Latino","50 - 59","Male"
"Other","Professionals","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","PRETRIAL SERVICES","OFFICE SPECIALIST III","Hispanic/Latino","50 - 59","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","White","40 - 49","Female"
"Other","Professionals","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","Black/African American","50 - 59","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Asian","40 - 49","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Asian","40 - 49","Male"
"Other","Professionals","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Hispanic/Latino","40 - 49","Male"
"Other","Administrative Support","PRETRIAL SERVICES","JUSTICE SYSTEM CLERK II","White","Over 60","Female"
"Other","Administrative Support","PRETRIAL SERVICES","JUSTICE SYSTEM CLERK II","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Asian","40 - 49","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Asian","40 - 49","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","White","40 - 49","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Asian","30 - 39","Female"
"Other","Administrative Support","PRETRIAL SERVICES","EXEC ASSISTANT I-CONF CLERICAL","Asian","40 - 49","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","White","30 - 39","Female"
"Other","Technicians","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","Black/African American","30 - 39","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","White","30 - 39","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Not Specified","30 - 39","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Not Specified","30 - 39","Male"
"Other","Officials and Administrators","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Other","Professionals","PRETRIAL SERVICES","ADMIN SUPPORT OFFICER III","White","30 - 39","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Not Specified","30 - 39","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Asian","30 - 39","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Hispanic/Latino","40 - 49","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Asian","30 - 39","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Not Specified","30 - 39","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Not Specified","40 - 49","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Not Specified","30 - 39","Male"
"Other","Professionals","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Not Specified","40 - 49","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Not Specified","50 - 59","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Not Specified","30 - 39","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Not Specified","Over 60","Male"
"Other","Professionals","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Not Specified","50 - 59","Female"
"Other","Technicians","PRETRIAL SERVICES","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Male"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER II","Not Specified","Under 30","Female"
"Other","Professionals","PRETRIAL SERVICES","PRETRIAL SERV OFFICER III","Not Specified","40 - 49","Female"
"Safety Services","No EEO-4 Reporting","SHERIFF'S OFFICE","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Safety Services","Professionals","SHERIFF'S OFFICE","PROGRAM MANAGER III","Asian","40 - 49","Female"
"Safety Services","Officials and Administrators","SHERIFF'S OFFICE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Safety Services","Officials and Administrators","SHERIFF'S OFFICE","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Safety Services","Officials and Administrators","SHERIFF'S OFFICE","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Safety Services","Officials and Administrators","SHERIFF'S OFFICE","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","EXEC ASSISTANT II-CONF CLER","Hispanic/Latino","40 - 49","Female"
"Safety Services","Professionals","SHERIFF'S OFFICE","PROGRAM MGR II","White","50 - 59","Female"
