Hospital Name,Hospital Location,Central Line Days,Observed Infections,Predicted Infections,2015 SIR,SIR 95% CI,SIR Interpretation (2006-08 US baseline),2013 HHS Targets,Percentile on 2014 National SIR Distribution,County,HPP Region,Location 1,SIR Icon,Benchmark Icon
 1. All Oregon,Adult Cardiothoracic ICUs,8466,5,11.85,0.422,"0.155, 0.935",Statistically fewer infections,SIR Target (<0.5) Met,56-60%,,,,https://data.oregon.gov/views/4arj-uxbw/files/218e4d6f-3c28-4913-9a1a-4504cfa56826,https://data.oregon.gov/views/4arj-uxbw/files/eaf8588d-7983-4751-9adf-2582100563ce
 1. All Oregon,Adult Medical Wards,29482,24,44.22,0.543,"0.356, 0.795",Statistically fewer infections,Target Not Met,61-65%,,,,https://data.oregon.gov/views/4arj-uxbw/files/cb3b4955-85c4-4e56-9fb3-43214eca9738,
 1. All Oregon,NICU Level III,1310,1,3.28,0.305,"0.015, 1.502",Fewer infections,SIR Target (<0.5) Met,41-45%,,,,https://data.oregon.gov/views/4arj-uxbw/files/5c609999-78e1-4fbb-a5aa-14fb94d6c1d8,https://data.oregon.gov/views/4arj-uxbw/files/6b798f30-de93-4960-a5be-af1e5cd99192
Adventist Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,4570,1,7.84,0.127,"0.006, 0.629",Statistically fewer infections,SIR Target (<0.5) Met,21-25%,MULTNOMAH,Region1,"10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",https://data.oregon.gov/views/4arj-uxbw/files/00d6eb60-31ac-4ee6-bdfa-b73f30e426ba,https://data.oregon.gov/views/4arj-uxbw/files/7e0a0e4d-2b69-46a8-9873-d57bed7eda61
Adventist Medical Center,Adult Medical/Surgical ICUs,1846,0,3.88,0," , 0.773",Statistically fewer infections,SIR Target (<0.5) Met & ZERO Infections,0-25%,MULTNOMAH,Region1,"10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",https://data.oregon.gov/views/4arj-uxbw/files/640b2af3-b675-4d55-9907-e584e9de3ef8,https://data.oregon.gov/views/4arj-uxbw/files/22a72391-ef18-4a5f-8f84-c0d45edfe341
Adventist Medical Center,Adult Medical Wards,1535,1,2.3,0.434,"0.022, 2.142",Fewer infections,SIR Target (<0.5) Met,51-55%,MULTNOMAH,Region1,"10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",https://data.oregon.gov/views/4arj-uxbw/files/a28f3bef-036f-476b-ba33-32acc207b0dc,https://data.oregon.gov/views/4arj-uxbw/files/841d9ecf-d9ff-4e32-9bcc-4b22e8e5a594
Adventist Medical Center,Adult Surgical Wards,1189,0,1.66,0," , 1.800",Fewer infections,SIR Target (<0.5) Met & ZERO Infections,0-20%,MULTNOMAH,Region1,"10123 SOUTHEAST MARKET STREET
PORTLAND 97216
(45.512666, -122.5585885)",https://data.oregon.gov/views/4arj-uxbw/files/1eb074d6-ad25-4f36-a4e0-62fb0c5a1059,https://data.oregon.gov/views/4arj-uxbw/files/531e4728-b445-4d0e-8f24-9449cb75f7d5
Asante Rogue Regional Medical Center,Adult Medical Wards,1259,1,1.89,0.53,"0.026, 2.612",Fewer infections,Target Not Met,61-65%,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/4arj-uxbw/files/a5404b75-75e3-4888-82ea-d976cbbc2547,
Asante Rogue Regional Medical Center,All Neonatal ICUs Combined*,309,1,0.64,*,*,#s too small to calculate,,*,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",,
Asante Rogue Regional Medical Center,Pediatric Medical Wards,226,0,0.41,*,*,#s too small to calculate,ZERO Infections,*,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",,https://data.oregon.gov/views/4arj-uxbw/files/57d49043-264c-4856-85b7-b0a183d3afdf
Asante Rogue Regional Medical Center,Adult Medical/Surgical Wards,1138,1,1.37,0.732,"0.037, 3.612",Fewer infections,Target Not Met,76-80%,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/4arj-uxbw/files/dab361f1-95a8-4b7f-b23c-3118e9f98f73,
Asante Rogue Regional Medical Center,NICU Level II/III,309,1,0.64,*,*,#s too small to calculate,,*,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",,
Asante Rogue Regional Medical Center,Adult Cardiothoracic ICUs,2479,3,3.47,0.864,"0.220, 2.353",Fewer infections,Target Not Met,81-85%,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/4arj-uxbw/files/8c2b102c-043d-4a97-9c6b-5c4cbed8e175,
Asante Rogue Regional Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,7410,7,10.59,0.661,"0.289, 1.307",Fewer infections,Target Not Met,71-75%,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/4arj-uxbw/files/245ae385-7dc2-4945-a1f8-e2c5cad27985,
Asante Rogue Regional Medical Center,Adult Medical/Surgical ICUs,2308,2,3.46,0.578,"0.097, 1.909",Fewer infections,Target Not Met,66-70%,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/4arj-uxbw/files/31d96e68-87f7-4b16-9751-9469241e61d5,
Asante Three Rivers Medical Center,Adult Medical/Surgical ICUs,748,0,1.12,0," , 2.670",Fewer infections,SIR Target (<0.5) Met & ZERO Infections,0-25%,JOSEPHINE,Region5,"500 RAMSEY AVENUE
GRANTS PASS 97527
(42.4212882, -123.3428747)",https://data.oregon.gov/views/4arj-uxbw/files/628637dc-99a1-4817-bb71-a85b195323b8,https://data.oregon.gov/views/4arj-uxbw/files/1f673c8e-4619-4a4a-8b34-95db6fef7a66
Asante Three Rivers Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,2292,0,3.38,0," , 0.887",Statistically fewer infections,SIR Target (<0.5) Met & ZERO Infections,0-20%,JOSEPHINE,Region5,"500 RAMSEY AVENUE
GRANTS PASS 97527
(42.4212882, -123.3428747)",https://data.oregon.gov/views/4arj-uxbw/files/c7c30486-346b-45e6-ab83-f3bec0007bde,https://data.oregon.gov/views/4arj-uxbw/files/cd43fb61-34f4-4266-9499-ca19ee43e70b
Asante Three Rivers Medical Center,Adult Surgical Wards,591,0,0.83,*,*,#s too small to calculate,ZERO Infections,*,JOSEPHINE,Region5,"500 RAMSEY AVENUE
GRANTS PASS 97527
(42.4212882, -123.3428747)",,https://data.oregon.gov/views/4arj-uxbw/files/b90331ed-a33d-4f96-8ad1-a0c20f34c43d
Asante Three Rivers Medical Center,Adult Medical Wards,953,0,1.43,0," , 2.096",Fewer infections,SIR Target (<0.5) Met & ZERO Infections,0-20%,JOSEPHINE,Region5,"500 RAMSEY AVENUE
GRANTS PASS 97527
(42.4212882, -123.3428747)",https://data.oregon.gov/views/4arj-uxbw/files/cccc10ba-59f6-4cf3-9fc1-8f5521607fec,https://data.oregon.gov/views/4arj-uxbw/files/0755dafc-ad2d-4651-a40f-0e5bd1c1fa02
Ashland Community Hospital,Adult Medical/Surgical ICUs,43,0,0.06,*,*,#s too small to calculate,ZERO Infections,*,JACKSON,Region5,"280 MAPLE STREET
ASHLAND 97520
(42.2057909, -122.7247932)",,https://data.oregon.gov/views/4arj-uxbw/files/222ab8cc-a375-42ee-ab8c-9b1f7e88335c
Ashland Community Hospital,All Adult/Ped ICUs & M/S/MS Wards Combined*,230,1,0.29,*,*,#s too small to calculate,,*,JACKSON,Region5,"280 MAPLE STREET
ASHLAND 97520
(42.2057909, -122.7247932)",,
Ashland Community Hospital,Adult Medical/Surgical Wards,187,1,0.22,*,*,#s too small to calculate,,*,JACKSON,Region5,"280 MAPLE STREET
ASHLAND 97520
(42.2057909, -122.7247932)",,
Bay Area Hospital,Adult Surgical Wards,675,1,0.95,*,*,#s too small to calculate,,*,COOS,Region3,"1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",,
Bay Area Hospital,Adult Medical Wards,1554,1,2.33,0.429,"0.021, 2.116",Fewer infections,SIR Target (<0.5) Met,51-55%,COOS,Region3,"1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",https://data.oregon.gov/views/4arj-uxbw/files/b0f40c3b-0293-4f75-93f7-c1d62782f4c6,https://data.oregon.gov/views/4arj-uxbw/files/d5326534-e650-42b0-ad70-fe5aaa20226b
Bay Area Hospital,Adult Medical/Surgical ICUs,621,0,0.93,*,*,#s too small to calculate,ZERO Infections,*,COOS,Region3,"1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",,https://data.oregon.gov/views/4arj-uxbw/files/7640b74b-018f-4bb4-8d17-071896fc41fa
Bay Area Hospital,All Adult/Ped ICUs & M/S/MS Wards Combined*,2850,2,4.21,0.475,"0.080, 1.570",Fewer infections,SIR Target (<0.5) Met,56-60%,COOS,Region3,"1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",https://data.oregon.gov/views/4arj-uxbw/files/e11d6c73-dc3e-4ff6-b068-5f452d597d90,https://data.oregon.gov/views/4arj-uxbw/files/7123a3fb-b5ca-4d0d-b2a5-bfea749910e1
Columbia Memorial Hospital,All Adult/Ped ICUs & M/S/MS Wards Combined*,200,0,0.26,*,*,#s too small to calculate,ZERO Infections,*,CLATSOP,Region1,"2111 EXCHANGE STREET
ASTORIA 97103
(46.1877604, -123.8190951)",,https://data.oregon.gov/views/4arj-uxbw/files/0b6a7bd4-e921-489a-99f3-b9da40c34546
Columbia Memorial Hospital,Adult Medical/Surgical Wards,133,0,0.16,*,*,#s too small to calculate,ZERO Infections,*,CLATSOP,Region1,"2111 EXCHANGE STREET
ASTORIA 97103
(46.1877604, -123.8190951)",,https://data.oregon.gov/views/4arj-uxbw/files/fafc162f-a9b2-4c99-bd72-3008a790face
Columbia Memorial Hospital,Adult Medical/Surgical ICUs,67,0,0.1,*,*,#s too small to calculate,ZERO Infections,*,CLATSOP,Region1,"2111 EXCHANGE STREET
ASTORIA 97103
(46.1877604, -123.8190951)",,https://data.oregon.gov/views/4arj-uxbw/files/bedd7b59-f179-4b7a-9705-0775765195a1
Coquille Valley Hospital District,All Adult/Ped ICUs & M/S/MS Wards Combined*,0,0,0,*,*,#s too small to calculate,ZERO Infections,*,COOS,Region3,"940 EAST 5TH STREET
COQUILLE 97423
(43.1794727, -124.1793669)",,https://data.oregon.gov/views/4arj-uxbw/files/7a59b1fe-dcb6-4749-b6aa-b963de802629
Coquille Valley Hospital District,Adult Medical/Surgical Wards,0,0,0,*,*,#s too small to calculate,ZERO Infections,*,COOS,Region3,"940 EAST 5TH STREET
COQUILLE 97423
(43.1794727, -124.1793669)",,https://data.oregon.gov/views/4arj-uxbw/files/8d5521bd-9852-4be3-853f-2e35f9d36cc9
Cottage Grove Community Hospital,All Adult/Ped ICUs & M/S/MS Wards Combined*,15,0,0.02,*,*,#s too small to calculate,ZERO Infections,*,LANE,Region3,"1515 VILLAGE DRIVE
COTTAGE GROVE 97424
(43.8037061, -123.0394123)",,https://data.oregon.gov/views/4arj-uxbw/files/325a64c6-664d-4a45-b444-51f86c83575c
Cottage Grove Community Hospital,Adult Medical Wards,15,0,0.02,*,*,#s too small to calculate,ZERO Infections,*,LANE,Region3,"1515 VILLAGE DRIVE
COTTAGE GROVE 97424
(43.8037061, -123.0394123)",,https://data.oregon.gov/views/4arj-uxbw/files/b083bb74-c3af-49b8-8bb5-9c1fb69e0bfc
Good Samaritan Regional Medical Center,Adult Surgical Wards,1209,1,1.69,0.591,"0.030, 2.914",Fewer infections,Target Not Met,66-70%,BENTON,Region2,"3600 NORTHWEST SAMARITAN DRIVE
CORVALLIS 97330
(44.6034337, -123.2523328)",https://data.oregon.gov/views/4arj-uxbw/files/ba5bb0f1-fd96-4995-a806-7ef7d46207f4,
Good Samaritan Regional Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,3429,2,5.02,0.398,"0.067, 1.316",Fewer infections,SIR Target (<0.5) Met,51-55%,BENTON,Region2,"3600 NORTHWEST SAMARITAN DRIVE
CORVALLIS 97330
(44.6034337, -123.2523328)",https://data.oregon.gov/views/4arj-uxbw/files/e1dd7d1b-9c11-413c-8ac4-e4353fb06c5d,https://data.oregon.gov/views/4arj-uxbw/files/c93f9671-048b-4133-b4c9-5bab2db5342a
Good Samaritan Regional Medical Center,Adult Medical/Surgical ICUs,2220,1,3.33,0.3,"0.015, 1.481",Fewer infections,SIR Target (<0.5) Met,41-45%,BENTON,Region2,"3600 NORTHWEST SAMARITAN DRIVE
CORVALLIS 97330
(44.6034337, -123.2523328)",https://data.oregon.gov/views/4arj-uxbw/files/344b4d5a-67ab-495f-bed4-a3aaeb54e1e8,https://data.oregon.gov/views/4arj-uxbw/files/49374da4-7a7e-4331-881a-86184ce4eb47
Good Shepherd Medical Center,Adult Medical/Surgical Wards,166,0,0.2,*,*,#s too small to calculate,ZERO Infections,*,UMATILLA,Region9,"610 NORTHWEST 11TH STREET
HERMISTON 97838
(45.8468145, -119.3084334)",,https://data.oregon.gov/views/4arj-uxbw/files/fc4e3960-3d55-458e-a215-fef6fdd11015
Good Shepherd Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,166,0,0.2,*,*,#s too small to calculate,ZERO Infections,*,UMATILLA,Region9,"610 NORTHWEST 11TH STREET
HERMISTON 97838
(45.8468145, -119.3084334)",,https://data.oregon.gov/views/4arj-uxbw/files/174c032e-1582-4620-8d37-71d6cacdeee5
Grande Ronde Hospital,All Adult/Ped ICUs & M/S/MS Wards Combined*,115,0,0.17,*,*,#s too small to calculate,ZERO Infections,*,UNION,Region9,"900 SUNSET DRIVE
LA GRANDE 97850
(45.3195774, -118.1084603)",,https://data.oregon.gov/views/4arj-uxbw/files/c7a277b1-b88c-4b0d-a9e3-1ce0abda8670
Grande Ronde Hospital,Adult Medical/Surgical ICUs,115,0,0.17,*,*,#s too small to calculate,ZERO Infections,*,UNION,Region9,"900 SUNSET DRIVE
LA GRANDE 97850
(45.3195774, -118.1084603)",,https://data.oregon.gov/views/4arj-uxbw/files/5886093f-964c-4a98-9e69-1edb9172f6e0
Harney District Hospital,Adult Medical/Surgical Wards,90,0,0.11,*,*,#s too small to calculate,ZERO Infections,*,HARNEY,Region7,"557 WEST WASHINGTON STREET
BURNS 97720
(43.5884119, -119.0600643)",,https://data.oregon.gov/views/4arj-uxbw/files/5f76c02c-aeb7-4ce1-b92f-56e89726c3f5
Harney District Hospital,All Adult/Ped ICUs & M/S/MS Wards Combined*,90,0,0.11,*,*,#s too small to calculate,ZERO Infections,*,HARNEY,Region7,"557 WEST WASHINGTON STREET
BURNS 97720
(43.5884119, -119.0600643)",,https://data.oregon.gov/views/4arj-uxbw/files/fd0199b8-dca6-47de-b65b-aabad801e844
Kaiser Permanente Sunnyside Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,5371,4,7.52,0.532,"0.169, 1.284",Fewer infections,Target Not Met,61-65%,CLACKAMAS,Region1,"10180 SOUTHEAST SUNNYSIDE ROAD
CLACKAMAS 97015
(45.4312489, -122.5606)",https://data.oregon.gov/views/4arj-uxbw/files/45ff1d1f-0e9b-49d8-a725-7bd6cf2d6f0a,
Kaiser Permanente Sunnyside Medical Center,Adult Medical/Surgical Wards,1325,0,1.59,0," , 1.884",Fewer infections,SIR Target (<0.5) Met & ZERO Infections,0-20%,CLACKAMAS,Region1,"10180 SOUTHEAST SUNNYSIDE ROAD
CLACKAMAS 97015
(45.4312489, -122.5606)",https://data.oregon.gov/views/4arj-uxbw/files/3b15a556-6a9e-448b-bfc9-2efaa18644ef,https://data.oregon.gov/views/4arj-uxbw/files/1320e50a-5f71-4439-b139-b0b621a53562
Kaiser Permanente Sunnyside Medical Center,Adult Medical Wards,821,0,1.23,0," , 2.433",Fewer infections,SIR Target (<0.5) Met & ZERO Infections,0-20%,CLACKAMAS,Region1,"10180 SOUTHEAST SUNNYSIDE ROAD
CLACKAMAS 97015
(45.4312489, -122.5606)",https://data.oregon.gov/views/4arj-uxbw/files/ffdcdd76-2b30-4e4f-b49f-856ed0f26718,https://data.oregon.gov/views/4arj-uxbw/files/6770552c-56f1-4a00-9bfd-80d6766727ff
Kaiser Permanente Sunnyside Medical Center,Adult Cardiothoracic ICUs,968,1,1.36,0.738,"0.037, 3.639",Fewer infections,Target Not Met,81-85%,CLACKAMAS,Region1,"10180 SOUTHEAST SUNNYSIDE ROAD
CLACKAMAS 97015
(45.4312489, -122.5606)",https://data.oregon.gov/views/4arj-uxbw/files/ce53af57-a466-431f-9d07-884380e084de,
Kaiser Permanente Sunnyside Medical Center,Adult Medical/Surgical ICUs,1799,3,2.7,1.112,"0.283, 3.026",More infections,Target Not Met,91-95%,CLACKAMAS,Region1,"10180 SOUTHEAST SUNNYSIDE ROAD
CLACKAMAS 97015
(45.4312489, -122.5606)",https://data.oregon.gov/views/4arj-uxbw/files/ae9d8d33-175d-4b75-b6a5-4742a8679f8b,
Kaiser Permanente Sunnyside Medical Center,Adult Surgical Wards,458,0,0.64,*,*,#s too small to calculate,ZERO Infections,*,CLACKAMAS,Region1,"10180 SOUTHEAST SUNNYSIDE ROAD
CLACKAMAS 97015
(45.4312489, -122.5606)",,https://data.oregon.gov/views/4arj-uxbw/files/823ad992-4257-46f7-8c43-8fe4d13eb619
Kaiser Permanente Westside Medical Center,Adult Medical/Surgical Wards,1117,1,1.34,0.746,"0.037, 3.679",Fewer infections,Target Not Met,76-80%,WASHINGTON,Region1,"2875 NW STUCKI AVE
HILLSBORO 97124
(45.539113, -122.877205)",https://data.oregon.gov/views/4arj-uxbw/files/e40a70cd-7981-4437-ac85-611d9f4dff6e,
Kaiser Permanente Westside Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,1117,1,1.34,0.746,"0.037, 3.679",Fewer infections,Target Not Met,76-80%,WASHINGTON,Region1,"2875 NW STUCKI AVE
HILLSBORO 97124
(45.539113, -122.877205)",https://data.oregon.gov/views/4arj-uxbw/files/31284e6f-ef21-423e-b3a2-79f023d5aa86,
Lake District Hospital,Adult Medical/Surgical Wards,61,0,0.07,*,*,#s too small to calculate,ZERO Infections,*,LAKE,Region7,"700 SOUTH J STREET
LAKEVIEW 97630
(42.1815442, -120.3526116)",,https://data.oregon.gov/views/4arj-uxbw/files/2b022caf-9939-4361-ac9a-64fbe2fe0d5b
Lake District Hospital,All Adult/Ped ICUs & M/S/MS Wards Combined*,61,0,0.07,*,*,#s too small to calculate,ZERO Infections,*,LAKE,Region7,"700 SOUTH J STREET
LAKEVIEW 97630
(42.1815442, -120.3526116)",,https://data.oregon.gov/views/4arj-uxbw/files/03b063eb-0593-4803-b6db-5016f10ba72f
Legacy Emanuel Medical Center,NICU Level II/III,1915,4,3.6,1.111,"0.353, 2.679",More infections,Target Not Met,86-90%,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",https://data.oregon.gov/views/4arj-uxbw/files/80d81671-59df-4f9b-887c-964d1465109e,
Legacy Emanuel Medical Center,All Neonatal ICUs Combined*,1915,4,3.6,1.111,"0.353, 2.679",More infections,Target Not Met,86-90%,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",https://data.oregon.gov/views/4arj-uxbw/files/666fe1e2-e9b9-42b3-b088-58b8a3fcbcc9,
Legacy Emanuel Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,14933,14,35.65,0.393,"0.224, 0.643",Statistically fewer infections,SIR Target (<0.5) Met,51-55%,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",https://data.oregon.gov/views/4arj-uxbw/files/b077991a-8b54-4aca-83e6-6e9f73315074,https://data.oregon.gov/views/4arj-uxbw/files/af67f98a-2900-4090-be8f-43814fc57114
Legacy Emanuel Medical Center,Adult Medical/Surgical ICUs,7493,2,15.74,0.127,"0.021, 0.420",Statistically fewer infections,SIR Target (<0.5) Met,26-30%,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",https://data.oregon.gov/views/4arj-uxbw/files/e93fc9a1-efba-44ab-8111-000aa7831588,https://data.oregon.gov/views/4arj-uxbw/files/b20e1029-5cd5-4bc3-be91-eaa988715bf3
Legacy Emanuel Medical Center,Pediatric Medical/Surgical Wards,3928,8,12.18,0.657,"0.305, 1.248",Fewer infections,Target Not Met,71-75%,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",https://data.oregon.gov/views/4arj-uxbw/files/9996c953-2652-4b23-b8c5-b619ac2063a5,
Legacy Emanuel Medical Center,Pediatric Medical/Surgical ICUs,1785,3,5.36,0.56,"0.143, 1.525",Fewer infections,Target Not Met,66-70%,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",https://data.oregon.gov/views/4arj-uxbw/files/54ae7f97-52df-4d24-a29c-ac1cf77a03e9,
Legacy Emanuel Medical Center,Adult Surgical Wards,1551,1,2.17,0.461,"0.023, 2.271",Fewer infections,SIR Target (<0.5) Met,56-60%,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",https://data.oregon.gov/views/4arj-uxbw/files/0f82de2d-7977-4036-8102-02d82c236c0a,https://data.oregon.gov/views/4arj-uxbw/files/a004242d-860e-468c-9b2e-1d330ce42d42
Legacy Emanuel Medical Center,Adult Medical/Surgical Wards,176,0,0.21,*,*,#s too small to calculate,ZERO Infections,*,MULTNOMAH,Region1,"2801 NORTH GANTENBEIN AVENUE
PORTLAND 97227
(45.5435674, -122.6702704)",,https://data.oregon.gov/views/4arj-uxbw/files/cfbce0b3-dad5-4921-9ec5-08fb00fb5779
Legacy Good Samaritan Medical Center,All Adult/Ped ICUs & M/S/MS Wards Combined*,4207,2,5.91,0.338,"0.057, 1.118",Fewer infections,SIR Target (<0.5) Met,41-45%,MULTNOMAH,Region1,"1015 NORTHWEST 22ND AVENUE
PORTLAND 97210
(45.5302217, -122.6973884)",https://data.oregon.gov/views/4arj-uxbw/files/603ea59b-eced-4add-8aa2-46569dee047e,https://data.oregon.gov/views/4arj-uxbw/files/ac526959-6fa4-49a9-8084-b842b2cb1cb7
Legacy Good Samaritan Medical Center,Adult Medical/Surgical ICUs,2643,1,3.96,0.252,"0.013, 1.244",Fewer infections,SIR Target (<0.5) Met,36-40%,MULTNOMAH,Region1,"1015 NORTHWEST 22ND AVENUE
PORTLAND 97210
(45.5302217, -122.6973884)",https://data.oregon.gov/views/4arj-uxbw/files/67736962-3837-406c-b501-0e0ddd24b4fe,https://data.oregon.gov/views/4arj-uxbw/files/82fc0c26-06cf-4c00-97a7-88ff46e3f25a
