Facility Name,Type,Contact Person,Contact Phone,Waterbody,Rivermile,Location,Fee,Hours,Operates,Coordinates,icon,2010 House Districts,2010 Senate Districts,Counties
Brookings Sport Basin,pump/ dump,Harbormaster,541-469-2218,Chetco River,0.4,On transient float,0.00,24 hours,year round,"(42.051497, -124.270217)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,1,1,2321
"Charleston Boat Basin ""B"" Dock",pump/ dump,Director,541-888-2548,South Slough,0,"Transient float - halfway down ""B"" dock",0.00,24 hours,year round,"(43.346488, -124.322067)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,1,1,2320
Irrigon Marina,pump/ dump,Caretaker,541-922-3137,Columbia River,283,Middle of transient float,0.00,24 hours,seasonal,"(45.901013, -119.491776)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,57,29,722
"Charleston Boat Basin ""G"" Dock",pump/ dump,Director,541-888-2548,South Slough,0,"Transient float - end of ""G"" dock",0.00,24 hours,year round,"(43.346702, -124.325688)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,1,1,2320
Chinook Landing,pump/ dump,District Manager,503-797-1844,Columbia River,118.5,On transient float,0.00,24 hours,year round,"(45.56055, -122.444018)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,49,25,2410
Jantzen Bay Marina West,pump/ dump,Marina Manager,503-283-4942,Columbia River,106.5,On fuel float,0.00,24 hours,year round,"(45.607116, -122.678603)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
Port of Newport South Beach Marina,pump/ dump,Harbormaster,541-867-6657,Yaquina Bay,1.3,On fuel float,0.00,24 hours,year round,"(44.624339, -124.052298)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,10,5,2372
Rocky Pointe Marina #1,pump/ dump,Owner,503-543-7003,Multnomah Channel,15,On fuel float,0.00,24 hours,year round,"(45.697198, -122.86892)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,31,16,2410
Jon Storm Park,pump/ dump,Parks Facilities Manager,503-657-8299,Willamette River,25.9,On transient float,0.00,24 hours,year round,"(45.366403, -122.605759)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,37,19,2317
M. James Gleason Ramp,pump/ dump,District Manager,503-797-1844,Columbia River,109.5,North end of transient float,0.00,24 hours,seasonal,"(45.601602, -122.619291)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,44,22,2410
Boardman Marina,pump/ dump,Park Ranger,541-481-7217,Columbia River,269.5,End of transient float,0.00,24 hours,year round (weather permitting),"(45.843124, -119.711764)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,57,29,722
Pier 39,pump/ dump,Owner,503-325-2502,Columbia River,14,On transient float,0.00,24 hours,year round,"(46.196041, -123.798088)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,32,16,2318
Port of Garibaldi Sport Marina,pump/ dump,Port Manager,503-322-3292,Tillamook Bay,0,North end of transient float,0.00,24 hours,year round,"(45.557155, -123.91179)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,32,16,2412
Salmon Harbor Marina Fuel Float,pump/ dump,Harbormaster,541-271-3407,Winchester Bay,0,On fuel float,0.00,24 hours,year round,"(43.682284, -124.183211)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,9,5,2363
Warrenton Marina,pump/ dump,Harbormaster,503-861-3822,Skipanon River,1.7,On pumpout staging float,0.00,24 hours,year round,"(46.166414, -123.919168)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,32,16,2318
West Mooring Basin,pump/ dump,Harbormaster,503-325-8279,Columbia River,13.3,On fuel float,0.00,24 hours,year round,"(46.191033, -123.85485)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,32,16,
Whitcomb Creek Public Boat Launch,dump only,Parks Supervisor,541-967-3917,Green Peter Reservoir,0,Next to restroom,0.00,24 hours,,"(44.477981, -122.506793)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,17,9,2407
Port of The Dalles Marina,pump/ dump,Executive Director,541-298-4148,Columbia River,189.5,Middle of transient float,0.00,24 hours,year round,"(45.60081, -121.17132)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,59,30,2451
Port of Umatilla Marina,pump/ dump,Director of Operations,541-992-3224,Columbia River,291,On fuel float,0.00,24 hours,year round,"(45.925372, -119.331007)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,57,29,2413
East Marina,pump/ dump,Port Manager,541-997-3426,Siuslaw River,5,"On ""E"" float",0.00,24 hours,seasonal,"(43.967546, -124.101345)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,9,5,2371
Henry Hagg Lake “A” Launch Ramp,dump only,Parks Supervisor,503-359-5732,Henry Hagg Lake,0,Parking Lot near the restroom,0.00,24 hours,seasonal,"(45.488801, -123.229058)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,32,16,724
Henry Hagg Lake “C” Launch Ramp,dump only,Parks Supervisor,503-359-5733,Henry Hagg Lake,0,Parking Lot near the restroom,0.00,24 hours,seasonal,"(45.482676, -123.210187)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,32,16,724
Boones Ferry Marina,pump/ dump,Parks Manager,503-353-4421,Willamette River,39,On fuel float,0.00,24 hours,seasonal,"(45.292238, -122.774819)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,18,9,2317
Cascade Locks Marina,pump/ dump,General Manager,541-374-8619,Columbia River,149,On transient float,0.00,24 hours,seasonal,"(45.671923, -121.892038)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,52,26,2366
Hood River Port Marina,pump/ dump,Executive Director,541-386-1645,Columbia River,169,On fuel float,0.00,24 hours,seasonal,"(45.713125, -121.501839)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,52,26,2366
McCuddy’s Landing (Brown’s Landing),pump/ dump,Mike McCuddy,503-289-7879,Multnomah Channel,11.5,"End of ""old restaurant"" float",0.00,24 hours,year round,"(45.729612, -122.859819)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,31,16,2319
Scappoose Bay Marina,pump/ dump,Marina Manager,503-397-2888,Scappoose Bay,0,On transient float,0.00,24 hours,year round (weather permitting),"(45.827826, -122.836865)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,31,16,2319
Rainier City Marina ,pump/ dump,City Administrator,503-556-7301,Columbia River,67.7,On transient float,0.00,24 hours,year round (weather permitting),"(46.091033, -122.93297)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,31,16,2319
Courthouse Transient Tie-up Floats,pump/ dump,City Administrator,503-397-6272,Columbia River,86.5,River side of transient float,0.00,24 hours,year round (weather permitting),"(45.863287, -122.795311)",https://data.oregon.gov/views/5ab7-7mwk/files/R0EmRAm7W4tip8JlSJkJF8hInob5Y4x8TAga0KyBHsA,31,16,2319
Municipal Wastewater Treatment Plant,pumpout,Maintenance,541-682-8636,Upland,0,On platform,0.00,24 hours,year round,"(44.0963, -123.1127)",https://data.oregon.gov/views/5ab7-7mwk/files/HIxUeu_5ZlTGVQoqfp2UQV78MgOcrMaWh-jwSJKXSFA,13,7,2371
