Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,2010 House Districts,2010 Senate Districts,Counties
Oregon Alliance to Prevent Suicide - Executive Committee Meeting,,06/05/2023 02:30:00 PM,06/05/2023 04:00:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/executive-committee/,,,,,,
Oregon Alliance to Prevent Suicide - Data & Evaluation Committee Meeting,,06/01/2023 09:30:00 AM,06/01/2023 11:00:00 AM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,	https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09 (https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09),,,https://oregonalliancetopreventsuicide.org/data-evaluation-committee/,,,,,,
Work Session/Retiree Dinner,,05/31/2023 05:00:00 PM,05/31/2023 06:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,,Laurel Roth,5036754003,lroth@clackesd.org,,,,,,,,,,,,,,,,,
Oregon Investment Council,OIC Regular Meeting,05/31/2023 09:00:00 AM,05/31/2023 01:00:00 PM,16290 SW Upper Boones Ferry Road,Portland,OR,,,Aadrial Phillips,503-431-7956,aadrial.phillips@ost.state.or.us,,"https://www.google.com/maps/place/Oregon+State+Treasury/@45.4022289,-122.7544666,17z/data=!3m1!4b1!4m5!3m4!1s0x549572c33f67c577:0x25b9a158a656ce9a!8m2!3d45.4022289!4d-122.7522779",https://www.oregon.gov/treasury/news-data/pages/treasury-calendar.aspx,,,,,,,,,,,,,,
Tall Fescue Commission Meeting,Regular Scheduled Commission Meeting ,05/25/2023 06:00:00 PM,05/25/2023 08:00:00 PM,"Roth's Meeting Room ""O"", West Salem",Salem,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Board of Directors Regular Session,,05/24/2023 07:00:00 PM,05/24/2023 08:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,,Laurel Roth,5036754003,lroth@clackesd.org,,,,,,,,,,,,,,,,,
Budget Committee,,05/24/2023 05:00:00 PM,05/24/2023 06:30:00 PM,13455 SE 97th Ave,Clackamas,OR,,,Laurel Roth,5036754003,lroth@clackesd.org,,,,,,,,,,,,,,,,,
Ryegrass Commission Meeting ,Regular Scheduled Commission Meeting ,05/17/2023 06:00:00 PM,05/17/2023 08:00:00 PM,Cascade Grill,Albany,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Board of Directors Regular Meeting,,05/17/2023 06:00:00 PM,05/17/2023 08:00:00 PM,101 North Grape Street,Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/agendas-minutes/,,,,,,
Oregon Alliance to Prevent Suicide - Schools Committee Meeting,,05/17/2023 08:30:00 AM,05/17/2023 10:00:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/schools-committee/,,,,,,
Board Meeting,,05/12/2023 10:00:00 AM,05/12/2023 10:00:00 AM,800 NE Oregon Street Suite 445,Portland,OR,,,Nancy Schuberg,9716730198,nancy.schuberg@state.or.us,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Workforce Committee Meeting,,05/12/2023 09:00:00 AM,05/12/2023 10:00:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/workforce-committee/,,,,,,
Oregon Alliance to Prevent Suicide - Transitions of Care Committee Meeting,,05/11/2023 01:00:00 PM,05/11/2023 02:30:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/transitions-of-care-committee/,,,,,,
Budget Committee Meeting,,05/10/2023 06:00:00 PM,05/10/2023 08:00:00 PM,101 North Grape Street,Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/agendas-minutes/,,,,,,
Regular Board Meeting,,05/09/2023 06:00:00 PM,05/09/2023 08:00:00 PM,1350 Teakwood Ave,Coos Bay,OR,,Yes,Barbara Buckley,5412663951,barbarab@scesd.k12.or.us,,,,,,,true,https://sces-k12-or-us.zoom.us/j/87072392821,1-669-900-9128,870 7239 2821,https://www.scesd.k12.or.us/board-of-directors/,,,,,,
Fine Fescue Commission Meeting ,Regular Scheduled Commission Meeting ,05/08/2023 07:00:00 AM,05/08/2023 09:00:00 AM,"Roth's Meeting Room, West Salem",Salem,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Board meeting,,05/05/2023 12:30:00 PM,05/05/2023 02:00:00 PM,"1500 Liberty St SE, Ste 150",Salem,OR,,Yes,Shelley Sneed,971-701-1194,shelley.g.sneed@obo.oregon.gov,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Data & Evaluation Committee Meeting,,05/04/2023 09:30:00 AM,05/04/2023 11:00:00 AM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,	https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09 (https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09),,,https://oregonalliancetopreventsuicide.org/data-evaluation-committee/,,,,,,
Clover Commission Meeting,Regular Scheduled Commission Meeting ,05/03/2023 07:00:00 AM,05/03/2023 09:00:00 AM,"Roth's Meeting Room, West Salem",Salem,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Executive Committee Meeting,,05/01/2023 02:30:00 PM,05/01/2023 04:00:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/executive-committee/,,,,,,
Blueberry Commission Meeting,Regular Scheduled Commission Meeting ,04/24/2023 12:00:00 PM,04/24/2023 02:00:00 PM,"Roth's Meeting Room ""N"", West Salem",Salem,OR,,,Jenny Woellmer,,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Board of Directors Regular Meeting,,04/19/2023 06:00:00 PM,04/19/2023 08:00:00 PM,101 North Grape Street,Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/agendas-minutes/,,,,,,
Board of Directors Regular Session,,04/19/2023 06:00:00 PM,04/19/2023 07:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,,Laurel Roth,5036754003,lroth@clackesd.org,,,,,,,,,,,,,,,,,
Oregon Investment Council,OIC Regular Meeting,04/19/2023 09:00:00 AM,04/19/2023 01:00:00 PM,16290 SW Upper Boones Ferry Road,Portland,OR,,,Aadrial Phillips,503-431-7956,aadrial.phillips@ost.state.or.us,,"https://www.google.com/maps/place/Oregon+State+Treasury/@45.4022289,-122.7544666,17z/data=!3m1!4b1!4m5!3m4!1s0x549572c33f67c577:0x25b9a158a656ce9a!8m2!3d45.4022289!4d-122.7522779",https://www.oregon.gov/treasury/news-data/pages/treasury-calendar.aspx,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Schools Committee Meeting,,04/19/2023 08:30:00 AM,04/19/2023 10:00:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/schools-committee/,,,,,,
Oregon Alliance to Prevent Suicide - Schools Committee Meeting,,04/19/2023 08:30:00 AM,04/19/2023 10:00:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,am,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Workforce Committee Meeting,,04/14/2023 09:00:00 AM,04/14/2023 10:30:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/workforce-committee/,,,,,,
Oregon Alliance to Prevent Suicide - Transitions of Care Committee Meeting,,04/13/2023 01:00:00 PM,04/13/2023 02:30:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/transitions-of-care-committee/,,,,,,
Mint Commission Meeting,Regular Scheduled Commission Meeting ,04/13/2023 10:00:00 AM,04/13/2023 12:00:00 PM,White Buffalo Bistro,Hood River,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Ryegrass Commission Meeting ,Regular Scheduled Commission Meeting ,04/11/2023 06:00:00 PM,04/11/2023 08:00:00 PM,Cascade Grill,Albany,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Regular Board Meeting,,04/11/2023 06:00:00 PM,04/11/2023 08:00:00 PM,1350 Teakwood Ave,Coos Bay,OR,,Yes,Barbara Buckley,5412663951,barbarab@scesd.k12.or.us,,,,,,,true,https://sces-k12-or-us.zoom.us/j/87072392821,1-669-900-9128,870 7239 2821,https://www.scesd.k12.or.us/board-of-directors/,,,,,,
Tall Fescue Commission Meeting,Regular Scheduled Commission Meeting ,04/06/2023 06:00:00 PM,04/06/2023 08:00:00 PM,"Roth's Meeting Room ""O"", West Salem",Salem,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Data & Evaluation Committee Meeting,,04/06/2023 09:30:00 AM,04/06/2023 11:00:00 AM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,	https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09 (https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09),,,https://oregonalliancetopreventsuicide.org/data-evaluation-committee/,,,,,,
April 2023 Commission Meeting,,04/06/2023 08:00:00 AM,04/07/2023 12:15:00 PM,TBD,Salem,OR,,,Heidi Reinhardt,,Heidi.Reinhardt@tspc.oregon.gov,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Executive Committee Meeting,,04/03/2023 02:30:00 PM,04/03/2023 04:00:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/executive-committee/,,,,,,
Fine Fescue Commission Meeting ,Regular Scheduled Commission Meeting ,04/03/2023 07:00:00 AM,04/03/2023 09:00:00 AM,"Roth's Meeting Room, West Salem",Salem,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Clover Commission Meeting,Regular Scheduled Commission Meeting ,03/22/2023 07:00:00 AM,03/22/2023 09:00:00 AM,"Roth's Meeting Room, West Salem",Salem,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Board of Directors Regular Meeting,,03/15/2023 06:00:00 PM,03/15/2023 08:00:00 PM,101 North Grape Street,Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/agendas-minutes/,,,,,,
Oregon Alliance to Prevent Suicide - Schools Committee Meeting,,03/15/2023 08:30:00 AM,03/15/2023 10:00:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/schools-committee/,,,,,,
Regular Board Meeting,,03/14/2023 06:00:00 PM,03/14/2023 08:00:00 PM,1350 Teakwood Ave,Coos Bay,OR,,Yes,Barbara Buckley,5412663951,barbarab@scesd.k12.or.us,,,,,,,true,https://sces-k12-or-us.zoom.us/j/87072392821,1-669-900-9128,870 7239 2821,https://www.scesd.k12.or.us/board-of-directors/,,,,,,
Blueberry Commission Meeting,Regular Scheduled Commission Meeting ,03/13/2023 12:00:00 PM,03/13/2023 02:00:00 PM,"Roth's Meeting Room ""N"", West Salem",Salem,OR,,,Jenny Woellmer,,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Workforce Committee Meeting,,03/10/2023 09:00:00 AM,03/10/2023 10:30:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/workforce-committee/,,,,,,
Oregon Alliance to Prevent Suicide - Quarterly Meeting,,03/10/2023 08:45:00 AM,03/10/2023 12:30:00 PM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,,,,https://oregonalliancetopreventsuicide.org/about-us/quarterly-meetings/,,,,,,
Oregon Alliance to Prevent Suicide - Transitions of Care Committee Meeting,,03/09/2023 01:00:00 PM,03/09/2023 02:30:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/transitions-of-care-committee/,,,,,,
Mint Commission Meeting,Regular Scheduled Commission Meeting ,03/09/2023 10:00:00 AM,03/09/2023 12:00:00 PM,White Buffalo Bistro,Hood River,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Board of Directors Regular Session,,03/08/2023 06:00:00 PM,03/08/2023 07:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,,Laurel Roth,5036754003,lroth@clackesd.org,,,,,,,,,,,,,,,,,
Oregon Investment Council,OIC Regular Meeting,03/08/2023 09:00:00 AM,03/08/2023 01:00:00 PM,16290 SW Upper Boones Ferry Road,Portland,OR,,,Aadrial Phillips,503-431-7956,aadrial.phillips@ost.state.or.us,,"https://www.google.com/maps/place/Oregon+State+Treasury/@45.4022289,-122.7544666,17z/data=!3m1!4b1!4m5!3m4!1s0x549572c33f67c577:0x25b9a158a656ce9a!8m2!3d45.4022289!4d-122.7522779",https://www.oregon.gov/treasury/news-data/pages/treasury-calendar.aspx,,,,,,,,,,,,,,
Ryegrass Commission Meeting ,Regular Scheduled Commission Meeting ,03/07/2023 06:00:00 PM,03/07/2023 08:00:00 PM,Cascade Grill,Albany,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Executive Committee Meeting,,03/06/2023 02:30:00 PM,03/06/2023 04:00:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/executive-committee/,,,,,,
Oregon Alliance to Prevent Suicide - Data & Evaluation Committee Meeting,,03/02/2023 09:30:00 AM,03/02/2023 11:00:00 AM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,	https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09 (https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09),,,https://oregonalliancetopreventsuicide.org/data-evaluation-committee/,,,,,,
Resource Allocation Advisory Committee,,02/28/2023 09:00:00 AM,02/28/2023 11:00:00 AM,https://www.zoomgov.com/j/1610518061?pwd=aUp3aHpSNG9YYXdiaFFTNnllZ0Z5UT09,Portland,OR,,,Lisa Bui,,OHAResourceallocation@dhsoha.state.or.us,,,,,,,true,,,,,,,,,,
Board Meeting,,02/24/2023 10:00:00 AM,02/24/2023 02:00:00 PM,Virtual,Portland,OR,,,Nancy Schuberg,9716730198,nancy.schuberg@state.or.us,,,,,,,,,,,,,,,,,
Tall Fescue Commission Meeting,Regular Scheduled Commission Meeting ,02/23/2023 06:00:00 PM,02/23/2023 08:00:00 PM,Cascade Grill,Albany,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Board of Directors Regular Meeting,,02/15/2023 06:00:00 PM,02/15/2023 08:00:00 PM,101 North Grape Street,Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/agendas-minutes/,,,,,,
Board of Directors Regular Session,,02/15/2023 06:00:00 PM,02/15/2023 07:00:00 PM,13455 SE 97th Ave,Clackamas,OR,,,Laurel Roth,5036754003,lroth@clackesd.org,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Schools Committee Meeting,,02/15/2023 08:30:00 AM,02/15/2023 10:00:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/schools-committee/,,,,,,
Regular Board Meeting,,02/14/2023 06:00:00 PM,02/14/2023 08:00:00 PM,1350 Teakwood Ave,Coos Bay,OR,,Yes,Barbara Buckley,5412663951,barbarab@scesd.k12.or.us,,,,,,,true,https://sces-k12-or-us.zoom.us/j/87072392821,1-669-900-9128,870 7239 2821,https://www.scesd.k12.or.us/board-of-directors/,,,,,,
Fine Fescue Commission Meeting ,Regular Scheduled Commission Meeting ,02/13/2023 07:00:00 AM,02/13/2023 09:00:00 AM,"Roth's Meeting Room, West Salem",Salem,OR,,,Jenny Woellmer,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Workforce Committee Meeting,,02/10/2023 09:00:00 AM,02/10/2023 10:30:00 AM,Virtual,Salem,OR,,Yes,Annette Marcus,,amarcus@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/workforce-committee/,,,,,,
Oregon Alliance to Prevent Suicide - Transitions of Care Committee Meeting,,02/09/2023 01:00:00 PM,02/09/2023 02:30:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/transitions-of-care-committee/,,,,,,
Oregon Alliance to Prevent Suicide - Executive Committee Meeting,,02/06/2023 02:30:00 PM,02/06/2023 04:00:00 PM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09,,,https://oregonalliancetopreventsuicide.org/executive-committee/,,,,,,
Board Meeting,,02/03/2023 12:30:00 PM,02/03/2023 02:00:00 PM,"1500 Liberty St SE, Ste 150",Salem,OR,,Yes,Shelley Sneed,971-701-1194,shelley.g.sneed@obo.oregon.gov,,,,,,,,,,,,,,,,,
Oregon Alliance to Prevent Suicide - Data & Evaluation Committee Meeting,,02/02/2023 09:30:00 AM,02/02/2023 11:00:00 AM,Virtual,Salem,OR,,Yes,Jenn Fraga,,jfraga@aocmhp.org,,,,,,,true,	https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09 (https://us02web.zoom.us/j/89796541408?pwd=OGpPRVArcDhTS1MzWml3YUhaZHV3dz09),,,https://oregonalliancetopreventsuicide.org/data-evaluation-committee/,,,,,,
