"agency","meeting_title","short_description","start_date_time","end_date_time","meeting_location","city","state","details","public_comment_accepted","contact_name","phone_number","contact_email","web_link","map_link","calendar_link","ada_contact","ada_contact_phone","ada_contact_email","webinar","call_in_phone_number","call_in_access_code","agenda"
"Strawberry Commission, Oregon","OSC Regular Commission Meeting","OSC Meeting","2014-01-08T17:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","The Potential Market for Fresh Strawberries Workshops","OSC Meeting","2014-11-19T09:30:00.000","2014-11-19T19:00:00.000","Wellspring Conference Center - Woodburn, Oregon"," Woodburn","OR","The Potential Market for Fresh Strawberries Workshops

Next Live Workshop Will be Held
Wellspring Conference Center - Woodburn, Oregon
November 19, 2014 - 9:30am-7pm

This workshop is FREE and made possible in part by a Specialty Crops Block Grant from the USDA-AMS and ODA. Lunch and dinner provided.

To reserve your spot, email Lora or call 503-289-7287 by November 14th

For more details, check out the full workshop agenda in pdf format. ",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Conference Call","OSC Meeting","2013-06-28T12:00:00.000",,"Conference Call"," Aurora","OR","Conference Call Instructions
1) Dial the toll free number 1-866-779-0774
2) You will hear ""Welcome to Genesys meeting center…....""
3) Dial the meeting number starting and ending with * :   *7584553*
4) You will hear ""Please wait for entry into conference"".

If you have any difficulties with the call, dial *10* when in the Genesys center
",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Raspberry and Blackberry Commission, Oregon","ORBC Committee Meetings","OSC Meeting","2015-01-07T14:00:00.000","2015-01-07T16:00:00.000","282 NW Macleay Blvd."," Portland","OR","2 pm Communications and Product Safety Committee
3 pm Promotion Committee
282 NW Macleay Blvd. Portland, Oregon",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Strategic Planning","OSC Meeting","2013-01-08T09:30:00.000","2013-01-08T16:00:00.000","Roths West"," Salem","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular & Committee Meetings","OSC Meeting","2014-02-04T14:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR","2:00 pm Budget Committee
3:00 pm Regular Commission Meeting",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Conference Call","OSC Meeting","2012-07-10T12:00:00.000","2012-07-10T12:30:00.000","Conference Call"," Corvallis","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Commission Meeting & Budget Hearing","OSC Meeting","2013-05-09T18:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular & Committee Meetings","OSC Meeting","2014-04-03T18:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR","Committee Meetings Prior to the Commission Meeting:
Promotion 4:30
Research 5:00
Budget 5:30

Regular Commission Meeting 6:00",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Budget Committee Meeting","OSC Meeting","2013-02-05T11:00:00.000",,"Langdon Farms Golf Club"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","Potential Market for Fresh Strawberries","OSC Meeting","2014-01-29T13:00:00.000",,"Portland Expo Center • Room D202-203"," Portland","OR","The Potential Market for Fresh Strawberries
Wednesday, January 29th, 2014 •  1:00-5:00 pm
 
Sponsored by the Oregon Strawberry Commission
Admittance to this event is free
Northwest Agricultural Show • Portland Expo Center • Room D202-203
2060 N. Marine Dr. • Portland, OR
Downloadable Agenda

Workshop Overview: Oregon strawberries have always been known for their exceptional flavor. Historically they have been grown primarily for the processed market and Oregon harvested 19,000 acres of strawberries in 1957. Since then, acreage has steadily declined due to competition from other growing areas - there were 2,000 acres in 2012 with 80% destined to processed markets. However, recently there has been an increase in market demand for local, fresh, Oregon-grown strawberries and currently, there are not enough fresh acres harvested to fill demand. This is the first of two workshops the Oregon Strawberry Commission is sponsoring to introduce growers to Fresh Strawberry Market opportunities. Speakers will include growers, buyers, and researchers who will discuss fresh market strawberry varieties, the differences between processed and fresh production, harvest methods, and how to find opportunities for fresh market strawberry sales. Whether you already grow for the processed strawberry market, or don’t yet grow strawberries, you can benefit from learning about the potential market opportunities for growing fresh Oregon strawberries.
 
1:00-1:15  Sign-in
 
1:15-1:20  Welcome: Matt Unger, Oregon Strawberry Commission
 
1:20-1:50  Introduction and audience response survey: Tom Peerbolt and staff, Peerbolt Crop Management
 
1:50-2:20  The present state of the Oregon fresh strawberry market: Chad Finn, Research Geneticist, USDA-Agricultural Research Service
 
2:20-3:00  Question and answer panel—Stories from fresh strawberry growers: Unger Farms (Matt Unger), Grandpa's Fresh Market (Mike Christensen), Schedeen's (Julie or Tony Schedeen) and others TBA
 
3:00-3:15  Afternoon break
 
3:15-3:45  Question and answer panel—Interest from potential buyers: New Seasons Market (Chris Harris), Market of Choice (Gene Versteeg), Charlie's Produce (Jeremy Smith)
 
3:45-4:25  Fresh market equipment and supplies discussion: Market Supply and Distribution (John Barene), Fresh Pack Northwest (Jan Clark), Ernst Irrigation (Matt Corcoran), Unger Designs (Brian Unger), and GK Machine (Jim Wolf)
 
4:25-4:35  Future resources—Enterprise budget and Workshop 2: Peerbolt Crop Management, Oregon State University Department of Applied Economics (Clark Seavert and Cora Wahl)
 
4:35-5:00  Audience response survey and questions from audience: Peerbolt Crop Management

Attendance is free, but please RSVP by January 24th so we have enough handouts. Contact Peerbolt Crop Management by email, lora@peerbolt.com, or phone 503-289-7287 to RSVP.

This workshop is made possible, in part, by a Specialty Crops Block Grant from the USDA-AMS and ODA.
",,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Annual Growers Meeting","OSC Meeting","2013-02-20T08:00:00.000",,"North Willamette Research & Extension Center"," Aurora","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Commission Meeting & Budget Hearing","OSC Meeting","2012-05-03T17:30:00.000","2012-05-03T07:00:00.000","Langdon Farms Golf Club"," Aurora","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Annual Growers Meeting","OSC Meeting","2016-02-18T09:00:00.000","2016-02-18T15:00:00.000","North Willamette Research & Extension Center"," Aurora","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Conference Call","OSC Meeting","2014-06-27T12:00:00.000",,"Conference Call"," Corvallis","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Meeting","OSC Meeting","2015-09-23T18:00:00.000","2015-09-23T21:00:00.000","McMenamins Restaurant - 310 NE Evans St"," McMinnville","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Annual Meeting","OSC Meeting","2017-02-15T09:00:00.000","2017-02-15T14:00:00.000","North Willamette Research and Extension Center"," Aurora","OR","http://us5.campaign-archive2.com/?u=81671aff1a1d8f89fc6a4d16d&id=8412c0b678&e=f265543813",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Mtg, Budget Hearing and Committee Mtg","OSC Meeting","2018-05-02T18:00:00.000","2018-05-02T21:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR","Budget Committee 5:30 pm",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Research Pre-Proposal Mtg","OSC Meeting","2016-10-28T13:00:00.000","2016-10-28T15:00:00.000","Oregon State University"," Corvallis","OR","Where: ALS 4009 (4th Floor Ag & Life Sciences Bldg @OSU)
Date: Friday, October 28th
Time: 1:00 pm to 3:00 pm

To attend by Conference Call:
Call: 541-737-8725 (note: it is not toll free)
PIN: 57654#

Full details: http://us5.campaign-archive2.com/?u=81671aff1a1d8f89fc6a4d16d&id=30d3cefb3d&e=f265543813",,"Philip Gutt",,"pnwa@comcast.net",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular & Committee Mtg","OSC Meeting","2019-01-22T12:00:00.000","2019-01-22T15:00:00.000","McMenamins Wilsonville 30340 S.W. Boones Ferry Rd., Wilsonville, OR 97070"," McMinnville","OR","Budget 11:30 am",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Meetings","OSC Meeting","2017-03-23T18:00:00.000","2017-03-23T21:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR","Budget Committee at 5:30 pm prior to Regular Meeting",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Meeting & Budget Hearing","OSC Meeting","2017-05-04T18:00:00.000","2017-05-04T21:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR","Budget Committee 5:30 pm",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular and Committee Meeting","OSC Meeting","2016-09-29T18:00:00.000","2016-09-29T21:00:00.000","McMenamins Restaurant - 310 NE Evans St"," McMinnville","OR","Promotion Committee 5:30 pm",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Meeting","OSC Meeting","2017-09-26T06:00:00.000","2017-09-26T21:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Mtg","OSC Meeting","2018-09-26T18:00:00.000","2018-09-26T21:30:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Committee Mtg","OSC Meeting","2018-02-15T14:00:00.000","2018-02-15T15:00:00.000","North Willamette Research & Extension Center"," Aurora","OR","Directly following the OSC annual growers meeting",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular & Committee Mtg","OSC Meeting","2018-11-13T12:00:00.000","2018-11-13T15:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR","Research 11:30",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Conference Call","OSC Meeting","2016-06-30T12:00:00.000","2016-06-30T13:00:00.000","Conference Call"," Corvallis","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Commission Meeting","OSC Meeting","2012-01-18T12:00:00.000","2012-01-18T14:30:00.000","Roths West"," Salem","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Mtg and Committee Mtg","OSC Meeting","2018-01-23T12:00:00.000","2018-01-23T15:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR","Budget Meeting 11:30 am
Regular Meeting Noon",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Mtg and Committee Mtg","OSC Meeting","2017-11-09T11:30:00.000","2017-11-09T15:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR","Research 11:30 am
Regular Mtg noon",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Annual Growers Mtg","OSC Meeting","2019-02-13T08:30:00.000","2019-02-13T14:00:00.000","NWREC 15210 NE Miley Road Aurora, OR"," Aurora","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Meeting","OSC Meeting","2016-11-09T12:00:00.000","2016-11-09T15:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Committee Mtg","OSC Meeting","2017-11-15T12:00:00.000","2017-11-15T13:30:00.000","McMenamins Wilsonville 30340 S.W. Boones Ferry Rd., Wilsonville, OR"," Wilsonville","OR","Promotion Committee",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Mtg and Committee Mtg","OSC Meeting","2018-03-22T12:00:00.000","2018-03-22T15:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR","Budget Committee at 11 am",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Mtg","OSC Meeting","2018-09-26T18:00:00.000","2018-09-26T21:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC conference call","OSC Meeting","2017-07-20T12:00:00.000","2017-07-20T13:00:00.000","Conference Call"," Corvallis","OR","Contact the administrative office for dialing instructions.",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Conference Call","OSC Meeting","2018-07-20T12:00:00.000","2018-07-20T13:00:00.000","Conference Call"," Corvallis","OR","Please contact the OSC for the dialing instructions",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular and Committee Meeting","OSC Meeting","2016-03-29T18:00:00.000","2016-03-29T21:00:00.000","McMenamins Restaurant - 310 NE Evans St"," McMinnville","OR","5:30 Budget Committee
6:00 Regular Commission Meeting",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Promotion Mtg","OSC Meeting","2018-10-23T11:00:00.000","2018-10-23T13:00:00.000","McMenamins Wilsonville 30340 S.W. Boones Ferry Rd., Wilsonville, OR 97070"," Wilsonville","OR",,,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Meeting","OSC Meeting","2019-10-30T12:00:00.000","2019-10-30T15:30:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR",,,"Dana Branson",,"oregonstrawberries@gmail.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Conference Call","OSC Meeting","2019-07-19T12:00:00.000","2019-07-19T12:30:00.000","Conference Call"," Portland","OR","Conference Call to set the average price of strawberries",,"Dana Branson",,"oregonstrawberries@gmail.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Meeting","OSC Meeting","2019-09-25T18:00:00.000","2019-09-25T20:30:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR",,,"Dana Branson",,"osweetcherry@gmail.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular Meeting","OSC Meeting","2014-11-05T12:00:00.000","2014-11-05T15:00:00.000","McMenamins Restaurant"," McMinnville","OR",,,"philipgutt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Annual Growers Meeting","OSC Meeting","2012-02-28T08:30:00.000","2012-02-28T14:00:00.000","North Willamette Research & Extension Center"," Aurora","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Special Meeting","OSC Meeting","2019-04-01T18:30:00.000","2019-04-01T21:00:00.000","NWREC 15210 NE Miley Road Aurora, OR"," Aurora","OR","SPECIAL MEETING ANNOUNCEMENT
Join us to discuss the future of the commission
April 1, 2019  6:30 pm
Hors d'oeuvres Provided - RSVP Appreciated
North Willamette Research & Extension Center - 15210 N.E. Miley Rd., Aurora, OR

Estimated Time	Draft Revised Meeting Agenda 
			SPECIAL MEETING
6.30		Open Special Meeting &
		Attendee Introductions
6.35		Opening Remarks - Matt Unger, Chair
6.45		OSU Overview
6.55		USDA Overviews
7.15		IR4 Overview
7.25		Public Comment and Commission Response
8.15		Commission Action on Future of Commission
9.00		Meeting Adjournment
",,"Philip Gutt",,"pnwa@comcast.net",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Budget Committee Meeting","OSC Meeting","2012-01-18T11:00:00.000","2012-01-18T00:00:00.000","Roths West"," Salem","OR",,,"Philip GÌ_tt",,"philip@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular & Committee Mtg and Budget Hearing","OSC Meeting","2019-05-09T16:00:00.000","2019-05-09T21:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR","4.00 pm Open Regular Meeting 
4.00 pm Executive Session - ORS 192.660 (2)(f) Exempt Public Records.
5.00 pm Budget Committee
6.00 Budget Hearing
https://oregon-strawberries.org/commission/",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
"Strawberry Commission, Oregon","OSC Regular & Committee Mtg","OSC Meeting","2019-03-14T00:00:00.000","2019-03-14T03:00:00.000","McMenamins Restaurant - 310 NE Evans St, McMinnville, OR"," McMinnville","OR","11.00 Research
11.15 Budget",,"Philip Gutt",,"berries@oregon-berries.com",,,,,,,,,,
