"agency","short_description","start_date_time","end_date_time","meeting_location","city","state","details","public_comment_accepted","contact_name","phone_number","contact_email","web_link","map_link","calendar_link","ada_contact","ada_contact_phone","ada_contact_email","webinar","call_in_phone_number","call_in_access_code","agenda"
"Accountancy State Board","Review Municipal Auditor Roster Applications","2014-01-29T13:30:00.000",,"Conference Call"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","BOA, CPE Committee ","2012-09-11T13:30:00.000","2012-09-11T15:30:00.000","3218 Pringle Rd, SE, #110"," Salem","OR","August 27, 2012


NOTICE OF PUBLIC MEETING
BOARD OF ACCOUNTANCY
CONTINUING PROFESSIONAL EDUCATION (CPE) COMMITTEE

The Oregon State Board of Accountancy's Continuing Professional Education Committee (CPE) will hold its regularly scheduled meeting September 11, 2012 at 1:30 p.m. via teleconference as outlined below.

Primary agenda topics include, but are not limited to, discussion for recommendations to the Board regarding Municipal Auditor Applicants, CPE courses, and licensee reinstatements.

A request for an interpreter for the hearing impaired or any other accommodations for persons with disabilities should be made to the Board office at least 48 hours prior to the meeting.

For more information:
Cathy Orias – Phone: 503-378-2270 - Cathy.orias@state.or.us 
Heather Shepherd – 503-378-2262 - Heather.shepherd@state.or.us
Board of Accountancy Main Phone:  503-378-4181.","Yes","Cathy Orias","503-378-2270","cathy.orias@state.or.us","https://oregon.gov/boa",,,"Cathy Orias","503-378-2270","cathy.orias@state.or.us",,"877-326-2337","9901145150",
"Accountancy State Board","Discussion of Peer Review Oversight issues","2012-09-25T10:00:00.000","2012-09-25T12:00:00.000","3218 Pringle Rd SE, #110"," Salem","OR","Principal subjects to be discussed at the meeting include, but are not limited to, recommendations to the Board regarding peer review issues.","Yes","Heather Shepherd","503-378-2262","heather.shepherd@state.or.us","http://cms.oregon.egov.com/BOA/Pages/about_us.aspx",,,"David Hunter","503-378-2235","david.hunter@state.or.us",,,,
"Accountancy State Board","review of statute and rule changes","2014-01-06T10:30:00.000",,"3218 Pringle Rd SE 2nd Floor Conference Room"," Salem","OR","Task force reviews possible statutory and administrative rule changes.",,"Kimberly Fast","503.378.2268","kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Board of Accountancy Continuing Professional Education Committee","2012-11-06T13:30:00.000","2012-11-06T15:00:00.000","3218 Pringle Road SE, #110"," Salem","OR","Board of Accountancy Continuing Professional Education Committee
The Oregon State Board of Accountancy's Continuing Professional Education Committee (CPE) will hold its regularly scheduled meeting November 6, 2012 at 1:30 p.m. via teleconference as outlined below.

Primary agenda topics include, but are not limited to, discussion for recommendations to the Board regarding Municipal Auditor Applicants, CPE courses, and licensee reinstatements.

Committee members and the public may participate in this teleconference by calling the number noted below and entering the conference ID access code.  Members and the public may also attend in person at the Board of Accountancy business office located at 3218 Pringle Rd SE, Suite 110, Salem, OR  97302

Please dial:  877-326-2337
Enter Conference ID Access Code:  9901145150

A request for an interpreter for the hearing impaired or any other accommodations for persons with disabilities should be made to the Board office at least 48 hours prior to the meeting.

For more information:
Cathy Orias – Phone: 503-378-2270 - Cathy.orias@state.or.us 
Main Phone:  503-378-4181.","Yes","Cathy Orias","503-378-2270","cathy.orias@state.or.us","http://www.oregon.gov/boa/Pages/index.aspx",,,,"David Hunter","david.r.hunter@state.or.us",,"877-326-2337","9901145150",
"Accountancy State Board","Board Meeting","2012-10-21T08:30:00.000","2012-10-22T17:00:00.000","3218 Pringle Rd SE, 2nd Floor Conf Rm"," Salem","OR","The Oregon Board of Accountancy will meet for Board Work Session and Regular Board Meeting October 21-22, 2012.","Yes","Kimbely Sisk","503-378-2268","kimberly.sisk@state.or.us","http://www.oregon.gov/BOA/Pages/Public-Meeting-Notices.aspx",,,"David Hunter","503-378-4181","david.hunter@state.or.us",,,,"http://www.oregon.gov/BOA/Pages/Public-Meeting-Notices.aspx"
"Accountancy State Board","Discuss potential CPA applications","2014-04-23T09:00:00.000",,"Telephone Conference"," Salem","OR",,,"Marika Garvey",,"marika.b.garvey@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review Proposed Orders and Approve Applications","2014-05-05T08:30:00.000",,"Conference Call"," Salem","OR",,"Yes","Kimberly Fast",,"kimberly.fast@oregon.gov",,,,,,,,"1-877-326-2337","9901145150",
"Accountancy State Board","Reveiw Committee and Board activity","2014-06-02T08:30:00.000",,"Board of Accountancy Office, 2nd floor conference room"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Work Session planning meeting","2013-10-20T08:30:00.000","2013-10-20T15:00:00.000","3218 Pringle Rd Large Conference Room "," Salem","OR","Board work session and planning meeting.  Discuss various topics",,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Review applications for Municipal licenses","2014-06-24T12:00:00.000",,"Telephone Conference"," Salem","OR","Review applications for applicants applying for the municipal roster.",,"Kristen Adamson",,"kristen.m.adamson@oregon.gov",,,,,,,,"1-877-326-2337","9901145150",
"Accountancy State Board","Board of Accountancy - Regular Board Meeting","2012-10-22T08:30:00.000","2012-10-22T17:00:00.000","3218 Pringle Rd SE 2nd Floor Conf Room"," Salem",,"The Board of Accountancy will be holding a Board Work Session on October 21, 2012 and Regular Board Meeting On October 22, 2012.","Yes","Kimberly Sisk","503-378-2268","cathy.orias@state.or.us","http://www.oregon.gov/BOA/Pages/Public-Meeting-Notices.aspx",,,"David Hunter","503-378-4181","david.hunter@state.or.us",,,,"http://www.oregon.gov/BOA/Pages/Public-Meeting-Notices.aspx"
"Accountancy State Board","Review Rule and Policy Changes","2014-06-01T08:30:00.000","2014-06-01T15:00:00.000","BOA Office, 2nd Floor Conference Room"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Regular Board Meeting","2013-10-21T08:30:00.000","2013-10-21T16:00:00.000","3218 Pringle Rd SE Large Conference Rooom"," Salem","OR",,"yes","Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Regularly scheduled meeting of Qualifications Committee by Teleconference","2012-09-19T09:00:00.000","2012-09-19T10:30:00.000","3218 Pringle RD, SE, Ste. #110"," Salem","OR","Purpose of BOA Qualifications Meeting:
Principal subjects to be discussed at the meeting include, but are not limited to, recommendations to the Board regarding Certified Public Accountant Certificates and Public Accountant license applications filed with the Board of Accountancy.","Yes","Heather Shepherd","503","heather.shepherd@state.or.us","http://cms.oregon.gov/BOA/pages/meetings.aspx",,,"David Hunter","503-378-2235",,,"877-326-2337","9901145150",
"Accountancy State Board","Review Proposed Administrative Rule Changes","2014-12-11T13:00:00.000","2014-12-11T14:00:00.000","3218 Pringle Rd SE - 2nd Floor Conference"," Salem","OR",,"Yes","Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Oregon Board of Accountancy Special Board Meeting by Telephone Conference","2012-11-06T10:00:00.000","2012-11-06T12:00:00.000","3218 Pringle Rd SE, 1st Floor Conference Room"," Salem","OR","NOTICE OF PUBLIC MEETING
OREGON BOARD OF ACCOUNTANCY
Special Board Meeting by Telephone Conference
Tuesday, November 6, 2012 at 10:00 a.m.
Morrow Crane Building
3218 Pringle Rd SE, Salem, Oregon 
1st Floor Conference Room

AGENDA
Purpose of Meeting:  Consideration of DAS CIO report on the Oregon Board of Accountancy Replacement System (OBARS), the online licensing project, review and acceptance of Board meeting minutes and other items
An executive session pursuant to ORS 192.660(2)(h) to consult with legal counsel regarding potential anticipated  litigation.  Executive Sessions are closed to the public.  The Board anticipates that the public portion of the meeting will begin at approximately 10:30.
10:00 a.m.
Executive Session pursuant to ORS 192.660(2)(h)

10:30 a.m.
1.	Call to Order and approval of agenda (public meeting)
2.	Announce recording of meeting
3.	Approval of Minutes
	A.	August 6, 2012 Public Session
	B.	October 21, 2012 Public Session
	C.	October 22, 2012 Public Session
4.	Discussion on DAS CIO OBARS Review
5.	Scott Winegardner Lic # 9367 Reinstatement Application
6.	Keith Wilhelm Stipulation and Order
7.	2013 Proposed Board and Committee Meeting Calendar

*Some, but not all, Board members may appear by telephone
The meeting location is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities, should be made at least 48 hours before the meeting to Kimberly Sisk at 503.378.2268","Yes; public session portion","Kimberly Sisk","503-378-2268","kimberly.sisk@state.or.us","http://www.oregon.gov/boa/Pages/index.aspx",,,"Kimberly Sisk","503-378-2268","kimberly.sisk@state.or.us",,"877-326-2337","9901145150","http://www.oregon.gov/BOA/Pages/meetings.aspx"
"Accountancy State Board","Review compliance and licensing files","2015-10-20T08:00:00.000","2015-10-20T17:00:00.000","3218 Pringle Rd SE - Large Conference Room"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review complaints filed with the Board office","2013-07-15T08:30:00.000",,"Board Office, 2nd Floor Conference Room"," Salem","OR",,,"Bethany Reeves",,"bethany.reeves@state.or.us",,,,,,,,,,
"Accountancy State Board","Review CPA Applications","2013-05-03T10:00:00.000",,"Board Office/Telephone"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Review applications for indivuduals with experience in Industry","2015-05-05T09:00:00.000","2015-05-05T11:00:00.000","Phone Conference"," Salem","OR","Review applications for licensure for those who received experience in industry.",,"Joel Parks","503-378-2262","joel.parks@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review municipal auditor applications","2015-04-28T13:00:00.000","2015-04-28T15:00:00.000","Telephone Meeting"," Salem","OR",,,"Kristen Adamson","503-378-2264","kristen.m.adamson@oregon.gov",,,,,,,,,,
"Accountancy State Board","review complaint case files","2013-05-14T08:30:00.000",,"3218 Pringle Rd SE 2nd Floor "," Salem","OR",,,"Bethany Reeves",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Review applications for Municipal licenses","2013-09-10T13:30:00.000",,"Telephone Conference"," Salem",,,,"Heather Shepherd",,"heather.shepherd@state.or.us",,,,,,,,"1-877-326-2337","9901145150",
"Accountancy State Board","Review Municipal Auditor Applications","2014-04-22T01:30:00.000",,"Telephone Conference"," Salem","OR",,,"Kristen Adamson",,"kristen.m.adamson@oregon.gov",,,,,,,,,,
"Accountancy State Board","Peer Review Activities and Contract Review","2013-01-17T10:00:00.000","2013-01-15T12:00:00.000","Telephone Conference"," Salem","OR",,,"Kimberly Sisk","503-378-4181","kimberly.sisk@state.or.us",,,,,,,,"1-877-326-2337","9901145150",
"Accountancy State Board","Approve Minutes and discuss various topics","2013-03-18T08:30:00.000","2013-03-18T10:00:00.000","Board Office"," Salem","OR","Review minutes from February 4-5, 2013 meeting and discuss other Board related matters.",,"Kimberly Fast","503-378-2268","kimberly.fast@state.or.us",,,,"Kimberly Fast","503-378-2268","kimberly.fast@state.or.us",,"1-877-326-2337","9901145150","http://authoring-cms.oregon.egov.com/BOA/Pages/meetings.aspx"
"Accountancy State Board","review applications for licensure, discuss current topics and review disciplinary cases","2014-02-10T10:30:00.000",,"2nd Floor Conference Room 3218 Pringle Rd SE"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Review proposed rule amendments","2014-10-07T10:00:00.000",,"3218 Pringle Rd SE - Large Upstairs Conference Room"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review Disciplinary Actions","2014-11-07T08:30:00.000","2014-11-07T16:00:00.000","Board of Accountancy 3218 Pringle Rd SE","Salem","OR",,,"Bethany Reeves","503-378-2270","bethany.reeves@oregon.gov",,,,,,,,,,
"Accountancy State Board","Special Board Meeting + Executive Session","2013-05-06T08:30:00.000",,"3218 Pringle Rd SE "," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Planning and Goal Setting Statute and Rule Changes","2014-05-15T10:30:00.000",,"Board of Accountancy Office, 2nd Floor"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review applications for the municipal roster","2014-11-18T09:01:00.000","2014-11-18T09:01:00.000","Telephone Conference","Salem ","OR",,"Yes","Kristen Adamson","503-378-2264","kristen.m.adamson@oregon.gov",,,,,,,,"1-877-326-2337","269 342 3387",
"Accountancy State Board","Review Complaint files submitted to the Board","2013-01-11T08:30:00.000","2013-01-07T14:00:00.000","2nd Floor Conference Room Morrow Crane Building"," Salem","OR","The Complaints committee will meet to discuss complaints filed with the Board of Accountancy.",,"Kimberly Sisk","503-378-2268","kimberly.sisk@state.or.us",,,,,,,,"1-877-326-2337","9901145150",
"Accountancy State Board","Review applications for admission to Municipal Roster","2013-01-08T13:30:00.000","2013-01-07T15:00:00.000","Phone Conference"," Salem","OR","Review applications for admission to the Municipal Roster.",,"Kimberly Sisk",,"kimberly.sisk@state.or.us",,,,,,,,,,
"Accountancy State Board","Review applicants and disciplinary actions","2014-12-15T08:30:00.000","2014-12-15T16:00:00.000","3218 Pringle Rd SE - 2nd Floor Conference Room"," Salem","OR",,"Yes","Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Cancellation of PROC for Board of Accountancy","2012-11-08T09:00:00.000",,"3218 Pringle Rd SE"," Salem","OR","Cancellation of PROC for Board of Accountancy regular committee meeting original scheduled for November 8, 2012",,"Heather Shepherd","503-378-4181","Heather.shepherd@state.or.us",,,,,,,,,,
"Accountancy State Board",,"2016-01-29T08:30:00.000","2016-01-29T16:00:00.000","3218 Pringle Rd SE"," Salem","OR",,,"Joel Parks","503-378-2262","joel.parks@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review of peer review topics","2013-07-16T10:00:00.000",,"Telephone Conference"," Salem","OR",,,"Bethany Reeves",,"bethany.reeves@state.or.us",,,,,,,,,,
"Accountancy State Board","Review discipinary cases","2015-06-05T08:30:00.000","2015-06-05T15:00:00.000","3218 Pringle Rd SE","Salem","OR",,,"Bethany Reeves","503-3782270","bethany.reeves@oregon.gov",,,,,,,,,,
"Accountancy State Board","Board reveiw of Laws and Rules Task Force Recommendations","2014-01-10T08:30:00.000",,"3218 Pringle Rd SE 2nd Floor Conference Room"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Qualifications Committee Meeting by Telephone Conference","2012-11-14T09:00:00.000","2012-11-14T11:00:00.000","3218 Pringle Rd SE, #110"," Salem","OR","NOTICE OF PUBLIC MEETING
OREGON BOARD OF ACCOUNTANCY
Qualifications Committee Meeting by Telephone Conference

Wednesday, November 14, 2012 at 9:00 a.m.
Morrow Crane Building
3218 Pringle RD SE #110
Salem OR  97302

Purpose of Meeting:	
Principal subjects to be discussed at the meeting include, but are not limited to, recommendations to the Board regarding Certified Public Accountant certificate and Public Accountant license applications filed with the Board of Accountancy.
","Yes","Heather Shepherd","503-378-2262","heather.shepherd@state.or.us",,,,"Heather Shepherd","503-378-4181","heather.shepherd@state.or.us",,"1-877-326-2337","9901145150",
"Accountancy State Board","Regular Meeting to review disciplinary action and license files","2014-08-11T08:30:00.000","2014-08-11T17:00:00.000","3218 Pringle Rd SE"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board",,"2016-02-05T08:30:00.000","2016-02-05T16:30:00.000","3218 Pringle Rd SE - Training Center","Salem","OR","Review compliance cases, license applications and discuss current topics","yes","Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review discipinary cases","2015-04-24T08:00:00.000","2015-04-24T17:00:00.000","3218 Pringle Rd SE, Large Conference Room"," Salem","OR",,,"Bethany Reeves","503-378-2270","bethany.reeves@oregon.gov",,,,,,,,,,
"Accountancy State Board","Regular Scheduled Board Meeting","2013-02-05T08:30:00.000","2013-02-05T17:00:00.000","2nd Floor Conference Room"," Salem","OR","Meeting will be held at Board office:

3218 Pringle Rd SE
2nd Floor Conference Room","Yes","Kimberly Sisk","503-378-4181","kimberly.sisk@state.or.us",,,,,,,,,,
"Accountancy State Board","Review ORS and OAR changes","2014-01-10T08:30:00.000",,"Board Office, 3218 Pringle Rd SE Salem OR "," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board",,"2015-08-03T08:30:00.000","2015-08-03T16:00:00.000","3218 Pringle Rd SE 2nd Floor Conference Room"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Reveiw Municipal Auditor Applications","2014-02-06T11:00:00.000",,"Conference Call"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Review applications for licensure","2015-09-23T09:00:00.000","2015-09-23T14:00:00.000","3218 Pringle Rd SE   Large Conference Room"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review Settlement Proposals and Minutes","2015-03-19T10:00:00.000","2015-03-19T13:00:00.000","Conference Call / 3218 Pringle Rd SE #110","Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review applications from applicants with experience gained while employed in industry","2013-09-11T09:00:00.000",,"Telephone Conference"," Salem","OR",,,"Heather Shepherd",,"heather.shepherd@state.or.us",,,,,,,,"1-877-326-2337","9901145150",
"Accountancy State Board","Review CPA licensure applications","2014-07-16T11:00:00.000",,"3218 Pringle Rd SE "," Salem","OR",,,"Kristen Adamson",,"kristen.m.adamson@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review licensing application files","2013-04-25T10:30:00.000",,"3218 Pringle Rd SE 2nd Floor Conference Room"," Salem","OR",,,"Heather Shepherd","503-378-2262","heather.shepherd@state.or.us",,,,,,,,,,
"Accountancy State Board","Board Meeting to discuss time sensitive issues","2012-08-27T15:00:00.000","2012-08-27T16:00:00.000","3218 Pringle Rd SE. #110"," Salem","OR","Board of Accountancy will meet for the purpose of Executive Director recruitment process update, budget update and bldg. lease update.","Yes; Public Session Portion","Cathy Orias","503-378-2270","cathy.orias@state.or.us",,,,"Kimberly Sisk","503-378-2268","kimberly.sisk@state.or.us",,"877-326-2337","9901145150",
"Accountancy State Board","Review disciplinary cases","2014-07-30T08:30:00.000",,"3218 Pringle Rd SE"," Salem","OR",,,"Bethany Reeves",,"bethany.reeves@oregon.gov",,,,,,,,,,
"Accountancy State Board","Regularly scheduled Meeting to discuss current investigations and applications","2015-05-18T09:00:00.000","2015-05-19T14:00:00.000","3218 Pringle Rd SE 2nd Floor Conference Room","Salem","OR","The board will discuss the current legislative session outcomes, licensing applications, current topics and make determinations on disciplinary actions.",,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Planning","2013-02-04T08:30:00.000","2013-02-04T16:00:00.000","2nd Floor Conference Room"," Salem","OR","Meeting will be held at the Board office:

3218 Pringle Rd SE
2nd Floor Conference Room","Yes","Kimberly Sisk","503-378-4181","kimberly.sisk@state.or.us",,,,,,,,,,
"Accountancy State Board","Review disciplinary, licensing and updates","2014-10-20T08:00:00.000","2014-10-20T17:00:00.000","Oregon State University - Austin Hall, 1st Floor Event Room","Corvallis","OR",,,"Kimberly Fast",,"kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board",,"2015-10-15T10:00:00.000","2015-10-15T14:00:00.000","3218 Pringle Rd SE  Downstairs Large Conf Room","Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Monitor Peer Review Activities","2013-05-16T10:00:00.000",,"3218 Pringle Rd SE - Small Conference Room"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Review applicants for licensure","2016-01-06T09:00:00.000","2016-01-06T12:00:00.000","3218 Pringle Rd SE"," Salem","OR",,"yes","Julie Nadeau","503-378-2270","julie.nadeau@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review applications for Municipal Auditor License","2016-01-05T13:00:00.000","2016-01-05T13:45:00.000","3218 Pringle Rd SE "," Salem","OR",,,"Julie Nadeau","503-378-2270","julie.nadeau@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review compliance and licensing files","2015-10-19T08:00:00.000","2015-10-19T17:00:00.000","3218 Pringle Rd SE  Large Conference Room"," Salem","OR",,"Yes","Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Receive comments on proposed rule changes","2015-09-17T14:00:00.000","2015-09-17T16:00:00.000","3219 Pringle Rd SE Large Conference Room","Salem","OR",,"yes","Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","review municipal auditor applications","2015-11-17T13:00:00.000","2015-11-17T14:00:00.000","3218 Pringle Rd SE","Salem ","OR","Most members will attend via conference call

1-877-326-2337
CONFERENCE ID: 269 342 3387",,"Julie Nadeau","503-378-2270","julie.nadeau@oregon.gov",,,,,,,,"1-877-326-2337","269 342 3387",
"Accountancy State Board","review of licensing applications","2013-07-24T09:00:00.000",,"Telephone Conference"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Review files for licensing and disciplinary action","2014-08-12T09:00:00.000","2014-08-12T14:00:00.000","3218 Pringle Rd SE"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board",,"2015-07-29T10:00:00.000","2015-07-29T14:00:00.000","3218 Pringle Rd SE 2nd Floor Conference Room"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review applications for the municipal roster ","2015-09-22T13:00:00.000","2015-09-22T15:00:00.000","3218 Pringle Rd SE  Large Conference Room"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","discuss various planning items","2013-08-11T08:30:00.000",,"3218 Pringle Rd SE 2nd Floor Conference Room"," Salem","OR",,,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Consideration of Oral and Written Comments on Proposed Administrative Rules","2014-12-11T14:00:00.000","2014-12-11T16:00:00.000","3218 Pringle Rd SE - Telephone Conference"," Salem","OR","Consideration of Oral and Written Comments on Proposed Administrative Rules",,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,"1-877-326-2337","2693423387",
"Accountancy State Board","Review cases, applications for licensure, currrent events, budget","2015-05-18T09:00:00.000","2015-05-19T16:00:00.000","3218 Pringle Rd SE, Large Conference Room, Salem OR 97302"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Regular scheduled board meeting","2013-06-14T10:00:00.000","2013-06-04T16:00:00.000","3218 Pringle Rd SE Large Conference Room"," Salem","OR","The public portion of the meeting will convene immediately following Executive session.  The start time of 10:00 a.m. is approximate.",,"Kimberly Fast",,"kimberly.fast@state.or.us",,,,,,,,,,
"Accountancy State Board","Review possible amendments to OAR's","2015-09-30T10:00:00.000","2015-09-30T15:00:00.000","3218 Pringle Rd SE","Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Consideration of Settlement Proposal","2015-03-09T17:00:00.000","2015-03-09T17:30:00.000","Phone Conference"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,"1-877-326-2337","269 342 3387",
"Accountancy State Board","Continuing Professional Education Committee Meeting","2013-04-23T13:30:00.000",,"Board of Accountancy Office"," Salem","OR",,,"Heather Shepherd","503-378-2262","heather.shepherd@state.or.us",,,,,,,,,,
"Accountancy State Board","Discuss current topics, disciplinary action review, applications","2015-02-02T08:30:00.000","2015-02-03T17:00:00.000","3218 Pringle Rd SE  -  2nd Floor Conference Room"," Salem","OR",,"Yes","Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
"Accountancy State Board","Review Discipinary Cases ","2015-11-13T08:00:00.000","2015-11-13T16:00:00.000","3218 Pringle Rd SE  -  Large Conference Room"," Salem","OR",,,"Kimberly Fast","503-378-2268","kimberly.fast@oregon.gov",,,,,,,,,,
