County,Name,Location ,Hours,Website,Phone,icon,Type of Tyvek Permits Sold,2010 House Districts,2010 Senate Districts,Counties
Hood River County,Big Winds,"207 Front St
Hood River, OR 97031
(45.70850815800665, -121.51020241102977)",Daily 9am-5:30pm,http://www.bigwinds.com/,888-509-4210,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,Two Year Tyvek Tags,52,26,2366
Jefferson County,"N8TV Adventures, LLC","2197 Hwy 26
Warm Springs, OR 97761
(44.7639364255524, -121.26242489646282)",7 am to 7 pm M-F,http://wwwn8tvadventures.com,541-553-9721,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One Year Tyvek Tag,59,30,721
Josephine County,Galice Resort,"11744 Galice Road
Merlin, OR 97532
(42.51784358711472, -123.44526223119266)",7 am-9 pm 7-Days a week,http://www.galice.com,541-476-3818,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One Year Tyvek Tag,3,2,2368
Lane County,REI-Eugene,"306 Lawrence St
Eugene, OR 97401
(44.05636781764008, -123.0988011378517)",Mon-Fri 10am-9pm; Sat 10am-9pm; Sun 10am-7pm,http://www.rei.com/stores/43,541-465-1800,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,13,7,2371
Lane County,Oregon Paddle Sports,"520 Commercial St Ste K
Eugene, OR 97402
(44.05425441087124, -123.1671765917394)",Mon-Fri 9am-6pm; Sat 9am- 5pm,http://www.oreongpaddlesports.com,541-505-9020,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,14,7,2371
Lane County,Underway LLC - Skookum Marine,"9439 West Enid Rd.
Eugene, OR 97402",Mon-Sat 9 am to 5 pm,http://www.skookummarine.com/,541-463-0555,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tags,,,
Marion County,Salem Summit Company,"246 State St
Salem, OR 97301
(44.940488, -123.041456)",Mon-Fri 10am-6pm; Sat 10am-5pm; Sun 12pm-4pm,http://www.salemsummitco.com,503-990-7305,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,21,11,2409
Multnomah County,"Next Adventure, Inc.","426 Grand Ave
Portland, OR 97214
(45.519601817452035, -122.66069032425834)",N/A,https://nextadventure.net/,503-233-0706,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,42,21,2410
Multnomah County,Portland Kayak Company,"6600 Macadam Ave
Portland, OR 97239
(45.47648177999446, -122.6718130768453)",Mon-Fri 10am-6pm; Sat 9am-6pm; Sun 10am-5pm,http://www.portlandkayak.com/,503-459-4050,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,38,19,2410
Multnomah County,Willamette Sailing Club ,"6336 Beaver Ave
Portland, OR 97239
(45.47845674935189, -122.6713623705457)",N/A,http://willamettesailingclub.com/,503-246-5345,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One year Tyvek Tag,36,18,2410
Multnomah County,Oregon Whitewater Association,"111 SW 5th Ave
Portland, OR 97204
(45.52253887349389, -122.67557743068)",N/A,http://oregonwhitewater.org/,503-522-7470,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,36,18,2410
Multnomah County,Alder Creek Kayak Supply Inc.,"200 Tomahawk Island Dr
Portland, OR 97217
(45.606461170402504, -122.67014202652018)",Daily 10am-6pm ,http://www.aldercreek.com/,503-285-0464,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,Two Year Tyvek Tag,44,22,2410
Multnomah County,REI- Portland #13,"1405 Johnson St
Portland, OR 97209
(45.528638111886885, -122.68543527999553)",Mon-Fri 10am-9pm; Sat 10am-9pm; Sun 10am-7pm,http://www.rei.com/stores/13,503-221-1938,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,One & Two Year Tyvek Tag,33,17,2410
Multnomah County,Gorge Performance,"7400 Macadam Ave
Portland, OR 97219
(45.47071358667961, -122.6716141807139)",Mon-Fri 10am-8pm; Sat 10am-7pm,http://www.gorgeperformance.com/,503-246-6646,https://data.oregon.gov/views/aeq8-uffp/files/5325b2dc-9f5b-4f52-9f28-f8432912f43d,Two Year Tyvek Tag,38,19,2410
