Hospital Name,Patient Days,Observed Infections,Predicted Infections,SIR,SIR 95% CI,SIR Interpretation (2015 US Baseline),2020 HHS Targets,County,HPP Region,Location 1,SIR Icon,Benchmark Icon,2010 House Districts,2010 Senate Districts,Counties
Silverton Hospital,7764,1,1.83,0.547,"0.027, 2.698",Fewer infections,SIR Target (<0.7) Met,MARION,Region2,"342 FAIRVIEW STREET
SILVERTON 97381
(45.0044832, -122.7899933)",https://data.oregon.gov/views/3265-cjwy/files/4c708dc6-c365-4f0c-95af-3593c60e42db,https://data.oregon.gov/views/3265-cjwy/files/52bc76c3-224d-4f60-8b51-4e3a15e03ee4,18,9,2409
Shriner's,1722,0,0.2,,*,#s too small to calculate,ZERO Infections,MULTNOMAH,Region1,"3101 SOUTHWEST SAM JACKSON PARK ROAD
PORTLAND 97239
(45.5009462, -122.6843061)",,https://data.oregon.gov/views/3265-cjwy/files/d6a5e1a0-5554-4545-9126-ee040920cb11,36,18,2410
Sacred Heart Medical Center - Riverbend,102189,47,70.92,0.663,"0.493, 0.874",Statistically fewer infections,SIR Target (<0.7) Met,LANE,Region3,"3333 RIVERBEND DR
SPRINGFIELD 97477
(44.080908, -123.026475)",https://data.oregon.gov/views/3265-cjwy/files/ff0adea1-1c6f-4a91-8eee-8f80ec9b7941,https://data.oregon.gov/views/3265-cjwy/files/09580baa-1736-4d8f-b865-94a401e45bec,12,6,2371
Sky Lakes Medical Center,21153,15,13.19,1.138,"0.661, 1.834",More infections,Target Not Met,KLAMATH,Region7,"2865 DAGGETT AVENUE
KLAMATH FALLS 97601
(42.2529597, -121.7846535)",https://data.oregon.gov/views/3265-cjwy/files/636be2ee-5ba2-40b4-bd8a-01f828348d8f,,56,28,2369
St. Charles Medical Center - Bend,62096,45,41,1.098,"0.810, 1.456",More infections,Target Not Met,DESCHUTES,Region7,"2500 NORTHEAST NEFF ROAD
BEND 97701
(44.067636, -121.2693136)",https://data.oregon.gov/views/3265-cjwy/files/6972eb64-a3fe-42a2-80dc-563ccd5160ff,,54,27,2362
Tuality Community Hostpital,14745,7,6.41,1.092,"0.478, 2.160",More infections,Target Not Met,WASHINGTON,Region1,"335 SOUTHEAST 8TH AVENUE
HILLSBORO 97123
(45.5194749, -122.9781033)",https://data.oregon.gov/views/3265-cjwy/files/47e60940-1152-4ebc-9d8d-0cb1e17a37cf,,29,15,724
St. Alphonsus Medical Center - Ontario,6208,1,2.82,0.355,"0.018, 1.749",Fewer infections,SIR Target (<0.7) Met,MALHEUR,Region9,"351 SW 9TH STREET
ONTARIO 97914
(44.025249, -116.976891)",https://data.oregon.gov/views/3265-cjwy/files/ea6ef5e4-d5b7-42ec-9a37-e2aa5d93649e,https://data.oregon.gov/views/3265-cjwy/files/b9d89c3b-a84f-4fa0-a3e0-110ce28ebb10,60,30,2408
Good Samaritan Regional Medical Center,40710,15,22.37,0.67,"0.390, 1.081",Fewer infections,SIR Target (<0.7) Met,BENTON,Region2,"3600 NORTHWEST SAMARITAN DRIVE
CORVALLIS 97330
(44.6034337, -123.2523328)",https://data.oregon.gov/views/3265-cjwy/files/35b1d94d-1ca2-4398-beec-3ce9d5becb2f,https://data.oregon.gov/views/3265-cjwy/files/3bc85648-3f1b-4d62-a558-99738627101f,16,8,2316
Providence St. Vincent Medical Center,122949,58,89.12,0.651,"0.499, 0.835",Statistically fewer infections,SIR Target (<0.7) Met,WASHINGTON,Region1,"9205 SOUTHWEST BARNES ROAD
PORTLAND 97225
(45.5106612, -122.7718284)",https://data.oregon.gov/views/3265-cjwy/files/9ecfa82a-70df-4ccf-80c9-e82b47b7fb9a,https://data.oregon.gov/views/3265-cjwy/files/0a4e22e3-f53c-47f3-90d9-51c78b695fc1,34,17,724
Providence Willamette Falls Medical Center,19226,4,8.47,0.472,"0.150, 1.139",Fewer infections,SIR Target (<0.7) Met,CLACKAMAS,Region1,"1500 DIVISION STREET
OREGON CITY 97045
(45.3559686, -122.5880138)",https://data.oregon.gov/views/3265-cjwy/files/d57c3f32-543a-41b5-a331-118a2c072627,https://data.oregon.gov/views/3265-cjwy/files/4e95658a-8dc7-4eac-b57f-1811e8a7b773,40,20,2317
Ashland Community Hospital,4597,0,1.65,0," , 1.812",Fewer infections,SIR Target (<0.7) Met & ZERO Infections,JACKSON,Region5,"280 MAPLE STREET
ASHLAND 97520
(42.2057909, -122.7247932)",https://data.oregon.gov/views/3265-cjwy/files/f6caf990-e0bc-4ddb-9861-c93dcbf8d575,https://data.oregon.gov/views/3265-cjwy/files/65acd586-de65-45f4-8861-149f5026eda3,5,3,2367
Asante Rogue Regional Medical Center,68362,29,46.75,0.62,"0.423, 0.879",Statistically fewer infections,SIR Target (<0.7) Met,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/3265-cjwy/files/5bbe18de-cc4d-4702-9acd-bfe5a4cfd972,https://data.oregon.gov/views/3265-cjwy/files/54d96ac1-5ec2-4e36-83d7-b8ef6d2aec66,6,3,2367
