"project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Jackson Place","601 Jackson St","Oregon City","Housing Authority of Clackamas County","503-655-8267","7",,,"7",,,
"Kings Berry Heights","14290 Marjorie Ln","Oregon City","ILP Corp.","503-656-5258","260",,,"180","60","20",
"Meadowlark Apts","13630 Garden Meadow Dr","Oregon City","Cascade Management Inc.","503-518-1704","15",,,"14","1",,
"Oregon City Terrace","600 May St","Oregon City","Cascade Management Inc.","503-655-2747","48",,,"10","26","12",
"Oregon City View Manor","200 Longview Hwy","Oregon City","HA of Clackamas County","503-794-8089","100",,,"40","35","15","10"
"Our Apts","1308 Otter Ln","Oregon City","Cascade Management Inc.","503-518-1704","4",,,,"4",,
"Rosewood Terrace","235 Pearl St","Oregon City","Northwest Real Estate Capital Corp.","503-650-0971","38",,,"36","2",,
"Leland","18980 Leland Rd","Oregon City","Cascadia Behavioral Healthcare","503-232-6971","10",,,,"10",,
"Country Garden Apts","17170 Beers St","Sandy","Robert G. Montgomery","503-665-0502","10",,,"10",,,
"Cedar Park Gardens","39451 McCormick","Sandy","Cascade Management Inc.","503-668-6534","20",,,"19","1",,
"Holiday Gardens","39665 Evans St","Sandy","Viridian Management","503-668-4642","28",,,"24","4",,
"Firwood Village Apts","39501 Evans St","Sandy","Viridian Management","503-630-3935","24",,,"2","16","6",
"Hummingbird Apts","970 SE 33rd St","Sandy","Robert G. Montgomery","503-666-2844","6",,,"6",,,
"Sandy Vista","40747 SE Hwy 26","Sandy","Cascade Management Inc.","503-668-3003","54",,,"10","16","24","4"
"Autumn Park","10922 SW Wilsonville Rd","Wilsonville","Cascade Management Inc.","503-682-4044","144",,,"40","80","24",
"Carriage Estates","10305 SW Wilsonville Rd","Wilsonville","Cascade Management Inc.","503-200-4682",,,,,,,
"The Charleston","11609 SW Toulouse St","Wilsonville","Cascade Management Inc.","503-682-7178","52",,,"51","1",,
"Creekside","7825 SW Wilsonville Rd","Wilsonville","Income Property Management","503-855-4426","44",,,"44",,,
"Montebello Apts","29796 SW Montebello Dr","Wilsonville","Viridian Management","503-682-1919","50",,,"16","34",,
"Rain Garden","29197 SW Orleans Ave","Wilsonville","Cascade Management Inc.","503-682-8486","29",,"29",,,,
"Renaissance Court","11520 SW Zurich St","Wilsonville","Cascade Management Inc.","503-582-1111","21",,,"20","1",,
"Wiedeman Park Apts","299400 SW Brown Rd","Wilsonville","Cascade Management Inc.","503-582-9550","58",,,"34","24",,
"Wilsonville Heights","30125 SW Brown Rd","Wilsonville","Viridian Management","503-682-1919","24",,,"24",,,
