"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Douglas","Grandview Homes","1010 NE Crescent St","Roseburg","United Community Action Network (UCAN)","541-956-4050","24",,,,"12","8","4"
"Douglas","Historic Schaeffer House","928 SE Pine St","Roseburg","United Community Action Network (UCAN)","541-492-3510","2",,,,,"2",
"Douglas","Kohlhagen","911 Lane Ave","Roseburg","Umpqua Community Property Management","541-378-4233","53",,"42","11",,,
"Douglas","Neu Place","524 W Homewood Ln","Roseburg","Umpqua Community Property Management","541-673-4909","12",,,,"10","2",
"Douglas","Orchard Knoll","1401 NW Veterans Wy","Roseburg","Housing Authority of Douglas County","541-464-2690","65","64",,"1",,,
"Douglas","Parkside Village","2794 NE Douglas Ave","Roseburg","Guardian Real Estate Services","541-672-2214","36",,,,"18","18",
"Douglas","Princeton Court Apts","840 W Princeton Ave","Roseburg","Umpqua Community Property Management","541-672-4552","26",,,,"13","13",
"Douglas","Rice House","1047 SE Rice Ave","Roseburg","United Community Action Network (UCAN)","541-492-3506","1",,,,,,"1"
"Douglas","Rose Apts.","805 SE Stephens St","Roseburg",,"541-673-5588","40",,,,,,
"Douglas","Rose Villa Apts","2525 NE Stephens St","Roseburg","Cascade Management Inc.","541-673-0736","91",,"30","25","32","4",
"Douglas","Roseburg Project","2937 W Jay Ave","Roseburg","Cascade Management Inc.","541-673-2240","10",,,"10",,,
"Douglas","Sunset Apts","1800 NE Sunset","Roseburg","Umpqua Community Property Management","541-378-4233","31",,,"4","12","15",
"Douglas","Trillium Terrace","2970 W Toby Ct","Roseburg","United Community Action Network","541-492-3510","8",,,"8",,,
"Douglas","Vine Street Court","2166 NE Vine St","Roseburg","Housing Authority of Douglas County","541-672-9343","70",,,"12","36","22",
"Douglas","Westview Commons","1067 Lookingglass Rd","Roseburg","Viridian Management","541-440-3777","18",,,"17","1",,
"Douglas","Calapooia Crossing","279 Taylor St","Sutherlin","Umpqua Community Property Management","541-459-3947","11",,,"2","5","4",
"Douglas","Big Valley Apts","1350 E 1st Ave","Sutherlin","Viridian Management","541-440-3777","58",,,"44","14",,
"Douglas","Landing Place Apts","875 Landing St","Sutherlin","Umpqua Community Property Management","541-459-3947","3",,,,,"1","2"
"Douglas","Madison Place","588 E Central Ave","Sutherlin","United Community Action Network (UCAN)","541-492-3510","5",,"5",,,,
"Douglas","North Slope Village","1007 W 6th Ave","Sutherlin","Cascade Management Inc.","541-459-5504","24",,,"2","12","8","2"
"Douglas","Sunset House","1366 Sunset Ln","Sutherlin","United Community Action Network (UCAN)","541-492-3506","1",,,,,,"1"
"Douglas","Terrace Manor","1051 E Central Ave","Sutherlin","Viridian Management","541-863-4972","12",,,,"12",,
"Douglas","Blueridge Apts I","317 SW Hart Ave","Winston","Housing Authority of Douglas County","541-679-9505","71",,,"6","18","12",
"Douglas","Christy Court","189 Glenhart Ave","Winston","Guardian Real Estate Services","541-679-8819","34",,,"8","14","12",
"Douglas","Liberty Pointe Apts","220 SE Gregory Dr","Winston","United Community Action Network (UCAN)","541-492-3510","6",,,"6",,,
"Douglas","Mariposa Villa Apts","292 SE Gregory Dr","Winston","United Community Action Network (UCAN)","541-492-3510","9",,,"9",,,
"Douglas","New Vista Village","290 SE Gregory Dr","Winston","United Community Action Network (UCAN)","541-492-3510","7",,,,"7",,
"Douglas","Pine Tree Apts","209 NW Glenhart Ave","Winston","Guardian Real Estate Services","541-679-8819","36",,,"6","18","12",
"Douglas","Applegate Village","393 Alder St","Yoncalla","Housing Authority of Douglas County","541-673-6548","15",,,,"13","2",
