Facility Name,BSI Count,Patient Months,BSI/100 Pt. Months,National BSI Mean,Comparison Interpretation,SIR Icon,County,HPPRegion,Location 1
MCMINNVILLE DIALYSIS,2,514,0.39,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/a2b60039-8bb2-4c91-9578-2b0f7a7dec76,YAMHILL,Region2,"200 NE NORTON LANE
MCMINNVILLE 97128
(45.200953, -123.166538)"
NE SALEM DIALYSIS,5,515,0.97,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/841f3ce3-309c-4c16-a978-b4bde066333b,MARION,Region2,"4792 PORTLAND ROAD NE
SALEM 97305
(44.992967, -122.984847)"
RAY YASUI DIALYSIS CENTER,2,374,0.53,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/e2ad3ffc-6d10-461d-9b13-6b50d3b7f029,MULTNOMAH,Region1,"2737 NE MARTIN LUTHER KING JR BLVD
PORTLAND 97212
(45.542565, -122.66166)"
NORTHEAST PORTLAND RENAL CENTER,2,986,0.2,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/53f0e3fb-34fa-4470-b260-d160f189bc93,MULTNOMAH,Region1,"703 NE HANCOCK STREET
PORTLAND 97212
(45.536494, -122.658277)"
PNRS BEAVERTON DIALYSIS CENTER,2,1263,0.16,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/5d401ece-621d-4872-82f0-cf6467c74c80,MULTNOMAH,Region1,"4905 NE MARTIN LUTHER KING BLVD SUITE 200
PORTLAND 97227
(45.558425, -122.661586)"
FMC MILTON FREEWATER,2,231,0.87,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/67570e43-65b5-4171-8fa7-ae3484eeb412,UMATILLA,Region9,"1213 S MAIN STREET
MILTON FREEWATER 97862
(45.923844, -118.38207)"
FMC SALEM,4,1518,0.26,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/1de4153d-dcae-4562-ba00-5ed91b0941fc,MARION,Region2,"440 LANCASTER DR NE
SALEM 97301
(44.934739, -122.983151)"
FMC SPRINGFIELD,7,1385,0.51,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/b69495c2-65ad-46c6-b30f-a58b6077c128,LANE,Region3,"304 Q STREET
SPRINGFIELD 97477
(44.062096, -123.022107)"
FMC WEST SALEM,2,565,0.35,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/69f3e31d-63e7-4167-8e0c-862b61c66e4a,POLK,Region1,"1060 2ND STREET NW
SALEM 97304
(44.942648, -123.056092)"
FRESENIUS MEDICAL CARE SANDY DIALYSIS,1,201,0.5,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/e02ab191-069f-4c50-a5e5-c8cc284425d8,CLACKAMAS,Region1,"37139 HIGHWAY 26
SANDY 97055
(45.401624, -122.281705)"
GRANTS PASS II DIALYSIS,5,633,0.79,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/fa58eb83-a490-4bb1-af2e-baeb40ffd737,JOSEPHINE,Region5,"1055 REDWOOD AVENUE
GRANTS PASS 97527
(42.422395, -123.349827)"
HERMISTON COMMUNITY DIALYSIS CENTER,0,453,0,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/773e3ba1-32ab-4095-97f5-876cae3d214c,UMATILLA,Region9,"1155 W LINDA AVENUE
HERMISTON 97838
(45.846022, -119.311561)"
HILLSBORO DIALYSIS CENTER,1,131,0.76,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/70f1086b-20e0-4710-b510-f0fd9cd73284,WASHINGTON,Region1,"2500 NW 229TH AVENUE, SUITE 300 BLDG E
HILLSBORO 97124
(45.545948, -122.909809)"
KLAMATH FALLS DIALYSIS,6,691,0.87,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/d7da9d26-f46f-44c0-9c32-20d18c66a6e0,KLAMATH,Region7,"2230 N ELDORADO AVENUE
KLAMATH FALLS 97601
(42.248104, -121.786801)"
MERIDIAN PARK DIALYSIS CENTER,1,617,0.16,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/e3071e0a-9979-4ee4-94f7-270577abece6,WASHINGTON,Region1,"19255 SW 65TH AVENUE, SUITE 100
TUALATIN 97062
(45.381563, -122.744012)"
NOBLE WOODS DIALYSIS CLINIC,3,649,0.46,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/b11e35fb-f52e-4f16-8879-f9d94fd06b04,WASHINGTON,Region1,"5333 W BASELINE
HILLSBORO 97123"
OREGON KIDNEY CENTER,1,978,0.1,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/81e63973-15b9-4b55-9c23-b1d696d38f7e,MULTNOMAH,Region1,"5318 NE IRVING STREET
PORTLAND 97213
(45.528222, -122.608715)"
PNRS COLUMBIA RIVER THE DALLES,1,257,0.39,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/3285a868-dd69-400a-b9b8-09710ba1bd55,WASHINGTON,Region1,"2715 SW 153RD DRIVE
BEAVERTON 97006
(45.501739, -122.8358)"
PNRS EASTERN OREGON DIALYSIS CENTER,0,228,0,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/0e7506b0-083c-4d7a-9685-4abc30a4045f,WASCO,Region6,"411 LONE PINE BLVD
THE DALLES 97058
(45.605582, -121.139703)"
PNRS HOLLYWOOD DIALYSIS CENTER,9,1122,0.8,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/1078c8b1-7471-4cac-9a7b-3c6af806e8d4,MULTNOMAH,Region1,"2801 N GANTENBEIN, ROOM 4400
PORTLAND 97227
(45.543936, -122.669445)"
PNRS/THC RAINES DIALYSIS CENTER,5,673,0.74,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/f239e2a5-4fcd-4eea-8378-e65500f146f7,WASHINGTON,Region1,"1809 MAPLE STREET
FOREST GROVE 97116
(45.51715, -123.091241)"
REDWOOD DIALYSIS,0,270,0,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/ba0bbef0-df1f-4350-93d2-0737402f9b24,HOOD RIVER,Region6,"1151 MAY STREET
HOOD RIVER 97031
(45.70416, -121.523169)"
WALKER ROAD DIALYSIS,0,577,0,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/f239dca4-28c1-4c25-9ff7-ca0f14305bd4,TILLAMOOK,Region2,"1000 THIRD STREET
TILLAMOOK 97141
(45.456322, -123.854951)"
WOODBURN DIALYSIS,1,783,0.13,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/d25f90a5-3215-4919-9435-fa4a4814007a,MARION,Region2,"1840 NEWBERG HWY SUITE 140
WOODBURN 97071
(45.149775, -122.868118)"
PNRS EMANUEL PEDIATRIC DIALYSIS,1,86,1.16,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/4dbf048e-f33b-44e9-9c07-872ffa715871,UNION,Region9,"10601 WALTON RD
LA GRANDE 97850
(45.337025, -118.057642)"
PNRS MCMINNVILLE KIDNEY CENTER,2,455,0.44,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/4e121724-bac0-4b87-ba7e-ad81502f03d0,MULTNOMAH,Region1,"2824 NE WASCO STREET, SUITE 100
PORTLAND 97232
(45.532342, -122.636813)"
ROSEBURG/MERCY DIALYSIS,8,1028,0.78,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/14d1f4dd-a573-49f0-996f-01693506c70d,JACKSON,Region5,"760 GOLF VIEW DRIVE, SUITE 100
MEDFORD 97504
(42.315078, -122.823105)"
SHERWOOD DIALYSIS CENTER,0,307,0,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/6ccb09fa-d1ff-49d6-90e9-ee27ec6b81fa,MARION,Region2,"1220 LIBERTY STREET NE
SALEM 97301
(44.952037, -123.033695)"
PNRS NEWBERG DIALYSIS CENTER,0,256,0,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/92047fc3-7004-4aac-9357-6f26df0f3396,YAMHILL,Region2,"345 SE NORTON LANE
MCMINNVILLE 97128
(45.199427, -123.166848)"
PNRS ST HELENS DIALYSIS,1,323,0.31,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/b5fcf2d9-a863-491a-9b2c-f04400ebe1bb,COLUMBIA,Region1,"500 N COLUMBIA RIVER HIGHWAY, SUITE 510
SAINT HELENS 97051
(45.864544, -122.819604)"
PNRS TUALATIN KIDNEY CENTER,5,821,0.61,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/f963d239-1caf-47b9-a1df-456f89803e24,WASHINGTON,Region1,"7780 SW MOHAWK STREET
TUALATIN 97062
(45.376325, -122.758123)"
ROGUE VALLEY DIALYSIS,2,2110,0.09,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/32c101a4-296c-461f-b784-e488433ee870,JOSEPHINE,Region5,"201 SW L STREET
GRANTS PASS 97526
(42.435926, -123.330874)"
PNRS NORTH COAST  DIALYSIS CLINIC,2,441,0.45,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/205f513d-73c2-4fc3-84c8-5294a04c7278,YAMHILL,Region2,"3100 HAWORTH AVE
NEWBERG 97132
(45.307968, -122.948072)"
PNRS ROSE QUARTER DIALYSIS CENTER,2,1306,0.15,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/3164830e-1f87-4d9b-a1c7-84f91fba0d84,CLATSOP,Region1,"2120 EXCHANGE STREET, SUITE 100
ASTORIA 97103
(46.18852, -123.818215)"
PNRS TWIN OAKS,4,765,0.52,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/24fc955c-f13f-47fb-a463-528ecb533ff9,WASHINGTON,Region1,"15201 NW GREENBRIER PARKWAY BLDG C
BEAVERTON 97006
(45.526411, -122.833497)"
US RENAL CARE GRESHAM DIALYSIS,3,954,0.31,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/f08da69c-692c-43b4-bd26-451f55f517d4,WASHINGTON,Region1,"21035 SW PACIFIC HIGHWAY
SHERWOOD 97140
(45.367013, -122.847807)"
SALEM DIALYSIS,2,942,0.21,1.27,Better: statistically fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/de907785-7261-47f4-aa19-498dd8e6a44f,DOUGLAS,Region3,"2410 NW EDENBOWER BLVD, SUITE 178
ROSEBURG 97471
(43.235882, -123.367264)"
SALEM NORTH DIALYSIS,3,607,0.49,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/7e7d5a8d-9abb-4781-91d5-3fa7121de26a,MARION,Region2,"3550 LIBERTY ROAD S SUITE 100
SALEM 97302
(44.904272, -123.050689)"
US RENAL CARE TILLAMOOK DIALYSIS,1,193,0.52,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/2c7c4ca3-5be1-4b74-9924-f30db2c0f224,MULTNOMAH,Region1,"1360 EAST POWELL BOULEVARD
GRESHAM 97030
(45.497996, -122.417575)"
USRC PORTLAND DIALYSIS CENTER,9,772,1.17,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/7152f141-568a-4e8e-a6e1-00d5feaa245b,MULTNOMAH,Region1,"10595 SE STARK STREET
PORTLAND 97216
(45.519014, -122.554236)"
WEST LINN DIALYSIS CENTER,1,198,0.51,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/aea8f844-3005-4ca6-a92c-c7b557c96725,CLACKAMAS,Region1,"19056 WILLAMETTE DRIVE
WEST LINN 97068
(45.387628, -122.64184)"
WILLAMETTE VALLEY RENAL CENTER,2,484,0.41,1.27,Better: fewer infections,https://data.oregon.gov/views/3bu4-7bnc/files/7dae90d4-fa47-47e0-8c15-8fe58b57d7f0,CLACKAMAS,Region1,"1510 DIVISION STREET, SUITE 90
OREGON CITY 97045
(45.357292, -122.588358)"
