"grant_period","grant_number","recipient","project_title","amount","abstract","county","oregon_congressional_district","library_type"
"2020-2021","20-04-1A","University of Oregon Libraries","Creating Pathways to Oregon Historic Landscape Arch Coll","54614.00","A Project Archivist will preserve, arrange, and describe drawings, files, and photographs contained in the professional papers of Oregonian landscape designers Elizabeth Lord, Edith Schryver, Barbara Fealy, and Chester E. Corry. These collections provide insight into the working lives of the first women working in landscape architecture in Oregon, as well as local and state government management of public land of interest to current patrons.","Lane","4","academic"
"2020-2021","20-03-1A","Willamette University","Hatfield Congressional Legislative Series","88656.75","A professional archivist will process and begin digitization of the Mark O. Hatfield Congressional Legislative Series—a regionally and nationally significant collection of materials from U.S. Senator and Oregon Governor Mark O. Hatfield (R-OR, 1967-1997).","Marion","5","academic"
"2020-2021","20-01-4P","Roseburg Public Library","Roseburg Public Library STEAM Programming","24757.14","Purchase supplies to develop STEAM (Science, Technology, Engineering, Art, and Math) programming for all students in the Roseburg area. BUltimately, establishing these programs will provide a sustainable, long-term source of STEAM education for students from kindergarten to high school graduation.","Douglas","4","public"
"2020-2021","20-06-2M","Harney County Library","Honor Our Past, Embrace Our Future","40766.00","Much of Harney County’s history is in danger of being lost or unused because of our limited resources to identify, store and preserve our valuable historical and cultural records. Upgrading the web presence and equipment used to store and display local history will preserve resources and expand access of these resources to a much wider audience.","Harney","2","public"
"2020-2021","20-02-5P","Mt Angel Public Library","Laptop Lab To Go","14026.24","With seven laptop computers in a portable case, a portable screen, projector and wireless printer, Mt. Angel Public Library will provide free computer/technology classes in the library and around the community to those who desire them. The programs will include basic computer literacy (MS Office Suite, Internet, computer safety and security, email, and social media), and genealogical research.","Marion","5","public"
"2020-2021","20-08-2P","Toledo Public Library","A Room for Our Tomorrows","11610.00","The library will upgrade the  community meeting room by adding technology and hardware to encourage new uses such as small business conferencing space and community education opportunities.","Lincoln","4","public"
"2019-2020","19-04-1a","Lewis and Clark College, Aubrey R. Watzek Library","Vietnamese Portland: Memory, History, and Community (Year 2)","42246.00","Lewis & Clark College Special Collections is collecting oral histories, documents, photographs, and ephemera from members of the Vietnamese community in and around Portland, Oregon. In the second year of this project, we will add depth and diversity of the collection, and promote access and use of the collection.","Multnomah","3","academic"
"2019-2020","19-05-5m","Linn-Benton Community College","Linn County Community Literacy Partnership","81453.00","While a variety of organizations provide tutoring, no one in Linn County has a program designed to meet the specific needs of adults with very low literacy (defined as below a 5th grade level for the purposes of this program). This project creates an ongoing partnership between Linn-Benton Community College, the Linn Libraries Consortium, the GED Network, and local non-profit organizations such as Albany Partnership for Housing and Community Development and the Community Services Consortium, provides resources to create the framework that will allow the partners to provide the curriculum, learning resources, and trained tutors necessary to increase adult literacy in our community.","multiple","4","academic"
"2019-2020","19-07-2m","Oregon College of Oriental Medicine","Kam Wah Chung: A Historical Archive of Chinese Medicine in Rural Oregon","39610.00","The Oregon College of Oriental Medicine, working in collaboration with the historic Kam Wah Chung & Company Museum in John Day, Oregon, through this project will create an online digital archive that includes images and translations of various Chinese medical artifacts stored in the museum, which is a designated National Landmark. This digital archive will be of interest to those concerned with Oregon history, the Chinese immigrant experience in the American West, and Traditional Chinese Medicine. Many of the items in this collection are fragile, and in order to preserve the collection, members of the general public are restricted from accessing the artifacts at the museum; by building a digital representation of this collection and translating the written materials, we will further increase access to and interest in the collection.","Multnomah","3","academic"
"2019-2020","19-09-2m","Treasure Valley Community College","Making Academic Resources Accessible","35000.00","College libraries are essential in providing access to course materials through reserves collections. These collections ensure equitable access to required materials that are extremely cost prohibitive for students. Current ILSs do not accommodate the fluid structure of a reserves collection or the changing formats of course materials. This grant will fund the development of an innovative module for the Evergreen ILS, an open source ILS used by five Oregon community colleges and over 70 non-academic libraries in the Sage Library System, while refreshing the reserves collections at TVCC and Linn Benton Community College.","Malheur","2","academic"
"2019-2020","19-10-1a","University of Oregon Libraries","Retrospective Conversion of UO Libraries Rare Book Card Catalog","85216.00","A large quantity of unique material at the UO Libraries, particularly early printed books, are accessible only through various manual catalogs which are unavailable to users off-site. The University of Oregon (UO) Libraries holds the largest rare book collection in the Pacific Northwest, consisting of over 175,000 titles, most of which were published before 1900. Of those titles, 27,000 were printed before 1880 and are currently uncataloged and hidden from the public. This project will convert the card catalog for 20,000 of those rarest titles. UO will provide staffing to enhance MARC metadata; upload MARC records into the online catalog; barcode and label titles; shift titles into the physical collection; and provide public outreach through an open house and physical exhibit on rare book discoveries made during the project.","Lane","4","academic"
"2019-2020","19-11-1m","Willamette University, Archives & Special Collections","Preserving the Legacy of an Oregon Archivist and Artist: Making Accessible the Chuck Williams Collections","81156.00","This project will preserve, promote, and make publicly accessible the archival collections of Charles Otis “Chuck” Williams II (1943-2016). Williams was an Oregon-based professional photographer and environmental activist who was of Cascade Chinook descent and a member of the Grand Ronde Tribe. Willamette University’s Chuck Williams Activist Papers collection documents Williams’s integral role in preserving the Columbia River Gorge and leadership in the grass-roots activism resulting in the National Scenic Act. Oregon State University’s Chuck Williams Photo Collection—part of its Oregon Multicultural Archives— showcases Williams’s prolific career as a photographer during the 1980s and 1990s, and documents a wide variety of cultural celebrations, Pacific Northwest landscapes, and tribal communities in Oregon. Together, these collections provide a unique perspective of Oregon’s history around topics such as environmental and political science, photography, and the state’s multicultural history. As part of this project, Willamette and Oregon State Universities propose to process both collections, digitize selected content, and host a public exhibit and programming celebrating Williams’s work.","Marion","5","academic"
"2019-2020","19-01-1m","C. Giles Hunt Memorial Library/Sutherlin Library Foundation","Bookshare For Those In Care","9250.00","This project will provide book readers and age appropriate books to both ends of the age spectrum: our pre-school children and seniors in their respective care facilities. We will achieve this by carefully selecting quality age-specific books, transporting catalogued materials to those  who do not have transportation or cannot get it, and providing volunteers that will read to those in each location and train others to be readers as well.","Umatilla","4","public"
"2019-2020","19-02-2m","Coquille Public Library","Coquille Valley Sentinel Digitization","4390.00","This project is a collaborative partnership between the Coquille Public Library and the Oregon Digital Newspaper Program (ODNP) to digitize, archive, and make available online images of historic newspaper editions of the Coquille Valley Sentinel for the period 1923-1936.","Coos","4","public"
"2019-2020","19-03-1m","Helix Advancement Partnership Network","Helix Old School Library Renovation","8852.00","HAPN' s current project is a Library and Children's Room expansion in the Old Helix Grade School Building, including a technology upgrade. This LSTA grant will help fund the technology part of this larger project, including purchase of a projector, wall mounted screen and speakers. Through the Library and Children's Room Expansion, HAPN and the Helix Library will support youth and families who attend the library's summer movie series. This project also addresses LSTA's goal to foster lifelong learning by improving the library's capacity to offer and increase community services and programs.","Umatilla","2","public"
"2019-2020","19-06-2m","Nyssa Public Library","Gate City Journal Digitization and Access Phase 1","13379.00","This project is a collaborative partnership between the Nyssa Public Library and the Oregon Digital Newspaper Program (ODNP) to digitize, archive, and make available online images of historic newspaper editions of the The Nyssa Gate City Journal for the period 1953-1977.","Malheur","2","public"
"2019-2020","19-08-1s","Oregon Historical Society Research Library","Digitizing the Oregon Story: Creating Access to Significant Legal and Political Oral Histories at the Oregon Historical Society","77431.00","This project will create global access to 212 interviews in the OHS Research Library collection, unique primary source documentation of Oregon politics, law, and government on local, county, state, federal and international levels currently on obsolescent analog tapes. Interviewees include lawmakers, judges, and government officials, with a wide variety of perspectives and insights. Virtual access to these historically significant recordings will benefit students, educators, scholars, and all Oregonians, with broad appeal for scholarship, education, and informed citizenship.","Multnomah","3","special"
"2018-2019","18-02-1a","Lewis and Clark College, Aubrey R. Watzek Library","Vietnamese Portland: Memory, History, Community","30100.00","Lewis & Clark Special Collections will build an archive that documents the experience of Vietnamese-Americans in Portland, and will include both a physical and digital presence. We are collecting oral histories, records, photographs, and ephemera from members of this community in order to better understand the complex urban landscape of Portland and to record the diverse histories that make up our city.","Multnomah","3","academic"
"2018-2019","18-01-1a","Central Oregon Community College, Barber Library & Learning Commons","Children's Literature & Equity Resource Center (CLERC)","32064.00","The Children's Literature and Equity Resources Center (CLERC) at the COCC Barber Library & Learning Commons provides a dedicated space and collection of literature selected on the merits of expanding dialogue and understanding about the diversity of human experience. This grant aims to support efforts to expand this collection as well as its impact by providing a related resource to the ampus community, future and current educators, and early learning advocates throughout Central Oregon. To promote its meaningful use, COCC's Early Childhood program in collaboration with the Library will offer related programming opportunities as part of professional workshops and trainings open to the early learning profressionals and practitioners in the region and beyond.","Deschutes","2","academic"
"2018-2019","18-03-1p","Multnomah County Library","Prioritizing and Evaluating Equitable Library Outreach","119606.00","This project will include 20 facilitated ""design thinking"" meetings with library staff and focused conversations about library outreach at every branch location. We will engage library managers, youth services staff, regional meanagers, and others in discussions designed to identify shared purposes for and enhanced knowledge about library outreach. This conversations will culminate in several partial day summits as library outreach becomes an equity-based priority that staff feel empowered and competent to handle. This project will initially improve institutional capacity and operations. Ultimately, civic engagement will benefit since an equitable library service access and delivery plan will improve users' ability to participate in our community.","Multnomah","3","public"
"2018-2019","18-06-2p","Scappoose Public Library District","Scappoose Public Library District ILS Migration and Merger with St. Helens Public Library Catalog","18216.00","The Scappoose Public Library will migrate to the integrating library system (ILS) that is currently in use by the St. Helens Public Library. This will enhance both libraries' infrastructure by providing a joint ILS that is cloud hosted, web based, and compatible with mobile devices. It will also enhance St. Helens patrons' discovery of ebooks as the new catalog will have the ability to check out ebooks directly. This merger coud serve as an intial building block for future union catalogs among other libraries in Columbia County.","Columbia","1","public"
"2018-2019","18-05-2m","Warrenton Community Library & Seaside Public Library","Library Automation and RFID Project","36566.00","We are automating the Warrenton Community Library and updating the technology services of both Warrenton and Seaside Libraries for teh communities of Warrenton and Seaside and the unincorporated areas surrounding both of these towns. The expected benefits will be to provide better service, reliable, consistent circulation of library materials, better reports and tracking of services, the ability to deter library theft, and to inventory library items. Additional technology services for library patrons will include an online library catalog, access to digital ebooks and audiobooks, and the ability of library patrons to login and handle their own library accounts.","Clatsop","1","public"
"2018-2019","18-07-3p","Umatilla County Special Library District","Friends of Umatilla County Libraries","30020.00","This project will improve the support that libraries within the UCSLD receive from their Friends groups by hiring a consultant to teach best practices for Friends groups. Practices covered in the training will include: Recruitment strategies for new members, how to develop volunteer support for library activities, and successful strategies for planning future development including events and activities. With these tools, Friends groups will be able to help improve the financial situation of the library they support. In addition to directly benefiting the UCSLD libraries, this project will benefit all rural libraries as completion of the project will include the creation of a best practices manual for rural Friends groups that can be used throughout the state.","Umatilla","2","public"
"2018-2019","18-08-3p","Washington County Cooperative Library Services","Fostering Grade Level Reading, Year 2","73116.00","Fostering Grade Level Reading strive to increase the number of students reading at grade level by the end of 3rd grade. The 2018 LSTA grant will fund a pilot project to try out, evaluate, and improve the Fostering Grade Level Reading set of digital resources and training curriculum that were created with 2017 LSTA funds. The Fostering Grade Level Reading pilot project will provide library staff and other out-of-school time providers the opportunity to use the set of resources to plan, implement, and evaluate research-based literacy programs for K-3rd grade students. An evaluation will demonstrate the impact this project has on students' reading achievement. The evaluation will be a tool that libraries and out-of-school programs can use to develop partnerships with schools, demonstrate their value in community-wide education initiatives, and advocate for support.","Washington","1","public"
"2018-2019","18-10-4p","Vale City Emma Humphrey Memorial Library","It's Never Too Late to Learn: Computer Basics","21102.00","We will provide classes for adults and senior citizens to improve digital literacy and ability to access information outside the classroom and library setting such as job applications and government documents, in order to help each individual improve their own quality of life, increase general knowledge, and to increase their abilities to become self-reliant.","Malheur","2","public"
"2018-2019","18-11-5p","Independence Public Library","Library Night at the Maker Space","16400.00","The Independence Public Library will provide educational programming and materials that assist area residents to utilize the new Maker Space and will provide community access to the Maker Space on a regular weekly schedule to enable users to meet their lifelong learning goals, and to explore new areas of interest.","Polk","5","public"
"2018-2019","18-12-5p","Waldport Public Library","Community Math Outreach","10593.00","We expect the benefits of the grant project's additions to our STEM programs and services to bring up mathematical proficiency scores of current and future south Lincoln County youth, and foster a community of math-mindedness, making success in STEM programs and work attainable through confident skills. Augmenting the current programs in place at the local schools will lead to more time available for math for more students in all walks of life, particularly those who are underserved or homeless in south Lincoln County and need a safe place to be after normal school hours.","Lincoln","5","public"
"2018-2019","18-04-1p","Springfield Public Library","For Every Student, a Library, Year 3","8000.00","Our goal is to contiue to extend access to public library service to every student enrolled in Springfield Public Schools and their families regardless of whether they live within the current service boundary of Springfield Public Library or not. By continuing to make library access available to current For Every Student, a Library cardholders and also by continuing outreach efforts to reach additional students and their families, the library supports learning and literacy efforts for all Springfield Public School students and their families. We will further develop an ongoing strategy with the school district, and other community agencies and organizations, and to establish a funding mechanism to sustain this service based upon the allocation of local resources.","Lane","4","public"
"2018-2019","18-09-4s","Oregon Library Association","Connecting Library Standards to the Classroom","17977.00","This project will improve the teaching of information literacy skills in Oregon, both by classroom teachers and by library staff, through both an increase in knowledge about the standards and increase in understanding of how to apply the standards to teaching. It will establish a list of interdisciplinary practices that are common to both OSLIBS and CCSS, including combined standards for each grade level K-14. It will also create a searchable website that combines information literacy standards from OSLIBS, K-12 content areas (including CCSS), identifies interdisciplinary practices and creates combined standards for information literacy.","statewide","statewide","school"
"2017-2018","17-04-2a","Orbis Cascade Alliance","Extending Digital Collections Support for the Northwest (Year 2)","16500.00","The project will extend digital collections metadata workshops and direct support to non-Alliance members at cultural heritage institutions (libraries, archives, museums, historical societies) in Oregon and Washington, as well as continuing metadata workshops and direct support for Alliance members. The project will result in increased knowledge of the Alliance’s Dublin Core Best Practices, improve the ability of institutions region-wide to clean up existing digital collections metadata, increase the number of digital objects cleaned up and ready for aggregation, and create data essential for the development of a DPLA hub for the region.","statewide","statewide","academic"
"2017-2018","17-07-1a","Southern Oregon University","Preserving the Past for the Future","35329.00","Preserving the Past for the Future: Digitizing Discovered Collections adds four free and
publicly available digital collections to Southern Oregon University’s digital archives.
These collections, Historic Logging Photos, Oregon Pear Box Labels, SmokeJumper
Images, and Historic Ashland Photos constitute significant content that deserves to be
available online for and used by the citizens of Oregon rather than hidden away in back
rooms and cabinets. Digitized material will be available through SOU’s Southern Oregon
Digital Archives: http://soda.sou.edu. Promotional material and strategies make the
collections available to complement and extend education and regional public
programming.","Jackson","2","academic"
"2017-2018","17-08-1a","University of Oregon Libraries","Quincy Scott Political Cartoons Digitization and Rehousing","89340.00","We will rehouse each cartoon in acid-free folders; create an online finding aid to the collection, describing each item in Archives West; scan each cartoon and apply descriptive metadata to each surrogate. The users will be undergraduates, graduate students, faculty and scholars in Oregon, nationally, and worldwide. Expected benefits include preservation-quality housing for the print cartoons and easier, immediate, and wider access via the digital collection.","Lane","4","academic"
"2017-2018","17-03-5m","Early Learning Washington County","Bridging Cultures - Growing Early Scientist","100000.00","This project will target immigrants/refugees, low income, non/limited English speaking persons, persons with disabilities, child care providers, and those with limited functional literacy, pre-k children, and rural, suburban and urban populations. There are multiple benefits associated with this project: reduce persistent academic achievement gaps with emphasis on math and science; foster equitable access and efficacy of current resources; reduce the cultural disconnection between parents and educators/schools and develop an “I know how to do it/self-efficacy” culture; support home child care providers with improved opportunities for training.","Washington","1","public"
"2017-2018","17-02-2p","Coos Bay Public Library","Connecting YOU to CBPL","16000.00","This project will provide engaging, informative videos to Coos Bay patrons via YouTube that will connect them with youth-focused events in the library and the community. It will also provide high quality software and technology to Coos Bay teens that will allow them to become creators and to develop important digital media literacy skills.","Coos","4","public"
"2017-2018","17-01-1p","Clackamas County Business & Community Services","Libros for Oregon: Collections Connect Communities, Year 2","14779.00","In order to improve library services to Oregon's Hispanic/Latino communities, especially those in rural areas, Libros for Oregon will support Spanish-language collection development in Oregon libraries by: making the resources of the Guadalajara Book Fair more accessible through cooperative book-buying; helping participating libraries to develop and implement outreach plans for connecting their enhanced collections with their Hispanic/Latino communities; and creating a ""Best of FIL"" booklist (annotated to show US availability) for all Oregon libraries to use in collection development.","Clackamas","statewide","public"
"2017-2018","17-06-5a","Oregon Library Association","Project Outcome","10000.00","The OLA: Public Library Division’s implementation of Project Outcome in Oregon will provide the Project Outcome Regional Training for Oregon public library leaders, incorporating a train-the-trainer approach to increase the reach of the training to more library staff, to enable library leaders to implement outcome measurement locally. This effort will help library leaders drive change, influence local decision making, and demonstrate the true impact of essential library services to their community.","statewide","statewide","public"
"2017-2018","17-09-1p","Springfield Public Library","For Every Student, a Library, Year 2","14622.00","Our goal is to extend access to public library service to every student enrolled in
Springfield Public Schools and their families regardless of whether they live within the
current service boundary of Springfield Public Library or not. We will further develop an
ongoing strategy with the school district, and other community agencies and
organizations to establish a funding mechanism to sustain this service based upon the
allocation of local resources.","Lane","4","public"
"2017-2018","17-11-5p","Washington County Cooperative Library Services","Fostering Grade Level Reading","78048.00","The Fostering Grade Level Reading pilot project will provide library staff and other out-of-school time providers the opportunity to use the set of resources to plan, implement, and evaluate research-based literacy programs for K-3rd grade students.","Washington","1","public"
"2017-2018","17-05-4s","Oregon Library Association","Oregon School Library Standards Learning Objectives and Grade Level Alignment, Year 2","17583.00","The Standards Committee will create grade level articulation, learning goals, and alignment to the Common Core State Standards (CCSS) for the library standards. Library staff across the state will use these resources to increase their understanding of how the standards should be applied to each grade level in teaching, providing more consistent teaching of the standards across the state. Although the benefit is most readily seen in teacher knowledge, the long-term benefit is in the increase in student knowledge and application of information literacy skills.","statewide","statewide","school"
"2016-2017","16-07-1a","Orbis Cascade Alliance","Building Digital Collections Capacity for the Northwest: Metadata Cleanup, Training and Support","59950.00","This project will take tangible steps identified at the 2015 Northwest Digital Summit by building capacity for digital collections metadata cleanup, training, and support. These steps move the Orbis Cascade Alliance closer to submitting an application to be a regional hub for the Digital Public Library of America.","statewide","statewide","academic"
"2016-2017","16-11-1a","Pacific University Library","Washington County Unified Oral Histories Project","103442.00","This project will digitize, preserve, and provide centralized online access to 900 oral histories owned by a dozen different cultural institutions in Washington County. These histories record unique memories of immigration, changing patterns of land use, economic transitions, war and politics. The project will also demonstrate how a large audio-visual collection in analog format can be digitized and preserved at a reasonable cost and in a sustainable manner.","Washington","1","academic"
"2016-2017","16-08-1a","Oregon Health & Sciences University Library","Public Health in Oregon: Accessing Historical Data for Scientific Discovery, Year 2","34540.00","The goal of this project is to serve public health professionals and related interdisciplinary researchers by developing a digital resource that provides open access to historical records on public health in Oregon. Access to both scans of original materials, as well as machine-readable datasets extracted from the materials will be a key feature. The second year will focus on completing the collection and promoting the resource throughout the state.","Multnomah","3","academic"
"2016-2017","16-03-5m","Early Learning Washington County","Bridging Cultures - Growing Early Readers","100000.00","This project will create family-friendly early literacy book bags containing developmentally, culturally and linguistically appropriate books in Arabic, Chinese, English, Somaili, Spanish or Vietnamese for Washington County residents. Distribution of bags will be coordinated through the Refugee Self Sufficiency Program (DHS) as well as other community based groups working with refugee communities. A permanent collection of books for refugee families at the Beaverton City Library will also be expanded to serve several high need elementary school catchment areas near the library.","Washington","1","public"
"2016-2017","16-01-1p","Clackamas County Business & Community Services","Libros for Oregon: Collections Connect Communities","3891.00","This grant will create a program for Oregon libraries to collaborate on Spanish collection development and implement outreach activities. The program will send representatives to the Feria Internacional del Libro (FIL) in Guadalajara to purchase high quality Spanish-language books for participating libraries, will help libraries to develop and implement outreach plans for working with their Hispanic communities, and create a “Best of FIL” booklist for all Oregon libraries to use in collection development. Year 1 will focus on setting up a sustainable program infrastructure.","Clackamas","statewide","public"
"2016-2017","16-02-2m","Curry County Library Foundation","Curry County Library Network ILS Migration and Merger with Coos County Coastline Catalog","48111.00","This Curry County Library Network project will upgrade Curry County libraries (Agness, Chetco, Curry Public, Langlois, and Port Orford) to a modern integrated library system, allowing them to provide current and updated library services such as faceted searching, online account management, automated notifications, and digital resource integration. Curry County libraries will enter into a cooperative agreement with Coos County and the libraries in both counties will share a single catalog and courier service. Together the two counties will be able to provide more comprehensive services, programming, and expanded online access to their rural populations.","Curry","4","public"
"2016-2017","16-06-3p","Newberg Public Library","Early Learning Kits","58000.00","This project will create early literacy kits (based on the Multnomah County model) for 10,000 at-risk families with 0-5 year olds in the Polk, Yamhill, and Marion county region. Distribution will be coordinated with Early Learning Hubs in those counties.","Yamhill","1","public"
"2016-2017","16-04-1p","Independence Public Library","Maker Space to Go","35960.00","The Independence Public Library will work with a university intern to develop programs and equipment for portable maker space projects that encourage the development of problem solving skills in today's technology-driven world for children, teens and adults. Programs at local libraries (primarily members of the Chemeketa Cooperative Regional Library Service) will be presented and project kits will be made available to areas libraries, schools and after school programs. This project will allow libraries to better assess and plan for this type of programming.","Polk","5","public"
"2016-2017","16-05-3p","Multnomah County Library","Evaluating Listos Para El Kinder, Year 2","39619.00","This project's goal over a two-year period is to carry out rigorous process and outcomes-based evaluations designed to collect information to improve Multnomah's Listos para el Kínder Program's impact on kindergarten readiness for Spanish-speaking children, implement any needed program modifications and add to the growing body of knowledge about what approaches work best for Spanish-speaking children entering kindergarten. The goal for year two is to conduct an outcomes-based ""promising practices"" evaluation. This approach will help produce empirical evidence that can be used to promote the program within the community and with potential funders.","Multnomah","3","public"
"2016-2017","16-13-1p","Springfield Public Library","For Every Student, a Library","27744.00","Springfield Public Library seeks to provide families with children enrolled in Springfield Public Schools, but reside outside current service boundaries, with library services including a free library card. The grant will initially subsidize the project, but work with community agencies and organizations to develop a sustainable funding mechanism for the services will also take place.","Lane","4","public"
"2016-2017","16-10-1o","Oregon Library Association","Oregon School Library Standards Learning Objectives and Grade Level Alignment","20350.00","OASL seeks to align the Oregon Department of Education-adopted Oregon School Library Standards to a grade level continuum of information literacy skills. Currently the standards have indicators that are not grade specific, making teaching in between grades or schools inconsistent. The project will align the standards to appropriate grades or a range of grades and create a matrix that provides clarity so the standards can be taught across Oregon in a consistent manner and are in a framework that promotes the creation of measurable outcomes.","statewide","statewide","school"
"2016-2017","16-09-1m","Oregon Historical Society","Reuniting Finley and Bohlman","66705.00","The Oregon Historical Society will coordinate with Oregon State University Archives to digitize, preserve and present unique materials and photographs from Oregon conservationists and photographers William L. Finley, Irene Barnhart Finley and Herman T. Bohlman. This collaboration will demonstrate how institutions can align processes to present unified access to shared resources. Public programs about the collections will be presented throughout Oregon.","Multnomah","3","special"
"2015-2016","15-09-2a","Oregon Health & Sciences University Library","Public Health in Oregon: Accessing Historical Data for Scientific Discovery","40684.00","The Oregon Health and Science University archives hold extensive 19th -20th century collections documenting public health in Oregon. Many of the records deal with under-served populations including rural communities, the disabled, the mentally ill, ethnic minorities and adolescents. This valuable research is not digitally accessible, which hinders modern research. The project will digitize such materials and extract data from a curated selection for research, teaching and scientific discovery.","Multnomah","3","academic"
"2015-2016","15-10-2a","University of Oregon","Next Generation Newspaper Preservation","106000.00","Next Generation Newspaper Preservation project provides the base equipment and infrastructure to continue to preserve Oregon’s newspaper content through digitization as the current microfilming infrastructure becomes obsolete. Following the recommendation in the Oregon State Library consultant’s report, “Oregon's Digital Collections: Recommendations,” this project extends the existing Oregon Digital Newspaper Program, which is primarily a microfilm digitization program to-date, by developing a process for preserving Oregon’s newspapers through direct digitization. The Next Generation Newspaper Preservation will acquire the equipment needed for direct digitization, work with three different Oregon newspapers to create a model digitization workflow for preservation, and develop a cost model of digitization for preservation of and access to Oregon’s newspapers.","Lane","4","academic"
"2015-2016","15-06-2m","Albany Public Library, Lebanon Public Library, & Linn-Benton Community College","Linn County Cooperative Library System, Year 2","47676.00","In spring 2014 the Linn County Cooperative Libraries project used LSTA funds to migrate the holdings of the Scio, Sweet Home, and Harrisburg libraries to the ILS shared by the Albany, Lebanon and Linn-Benton Community College Libraries. In 2015 the project is creating a website to be used by county residents to access statewide databases and the catalog. The Linn Libraries Consortium is establishing a resource sharing and delivery system as well as continuing training, holdings clean up, and software configuration.","Linn","4","multiple"
"2015-2016","15-02-2m","Baker County Library District","A Clean Slate: Increasing Cataloging Capacity in the Sage Library System, Year 2","47704.00","The Sage Library System covers half of the state of Oregon, including over 70 libraries of various types. Unfortunately, the varying skill levels in the system paired with growth in the consortium have resulted in an inconsistent bibliographic database. This frustrates patrons who use our online catalog and makes it difficult for them to find what they want. Sage hired a full-time Cataloging Specialist to train Sage members in cataloging, clear up database inconsistencies, and lay the groundwork for consistent cataloging so that Sage can better connect its patrons with the items they want.","multiple","2","multiple"
"2015-2016","15-07-3p","Multnomah County Library","Evaluating Listos Para El Kinder","29576.00","In year one of two, the Multnomah County Library will carry out a process evaluation designed to collect information that will be used to improve the program's impact on kindergarten readiness for Spanish-speaking children; determine what modifications might be needed and implement those program modifications; and add to the growing body of knowledge about what approaches work best for Spanish-speaking children entering kindergarten. This grant follows project 12-03-3p Listos Para Aprender.","Multnomah","3","multiple"
