"reference_no_","status","date_open","date_closed","respondent","address_1","address_2","city","state","zip","contactflagonaddr1","business_type","complaint_description","closing_description","location_by_zip","geo_data_location"
"FF6507-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","BIG LOTS STORES, INC.*","300 PHILLIPI RD",,"COLUMBUS","OH","43228",,"Not Assigned","Private Class Action","Class Action Fairness Act Notice","
,  43228
(39.956854, -83.127376)",
"FF6512-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","HABITAT FOR HUMANITY OF THE MID-WILLAMETTE VALLEY","1220 12TH ST SE",,"SALEM","OR","97302",,"Used Merchandise Stores, inc. antiques, second hand goods","Acted unconscionably by delivering a dangerous product","DOJ has No Jurisdiction","
,  97302
(44.903639, -123.051956)",
"FF6502-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","WORKPLACE COMPLIANCE SERVICES*","2755 COMMERCIAL ST SE, STE 101-260",,"SALEM","OR","97302",,"All Other Support Services","False or misleading ""invoice""","Consumer Did Not Request Action","
,  97302
(44.903639, -123.051956)",
"FF6504-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","PARACHUTE PUBLICITY","544 SE OAK ST STE A",,"PORTLAND","OR","97214",,"Performing Arts: Musical groups & artists","Failed to fulfill contract","DOJ has No Jurisdiction","
,  97214
(45.514174, -122.644663)",
"FF6517-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","SWEETHEART SCAM VICTIM",,,,,,,"Private Party Elder Fraud","Elder Financial Exploitation","Information Only",,
"FF6479-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","DOUGLAS COUNTY CIRCUIT COURT","1036 SE DOUGLAS AVE # 201",,"ROSEBURG","OR","97470",,"Justice, Public Order & Safety Activities","General allegation of unlawful conduct","Information Only","
,  97470
(43.230616, -123.272184)",
"FF6505-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","FUCCILLO AFFILIATES OF FLORIDA, INC",,,,,,,"Not Assigned","Private Class Action","Class Action Fairness Act Notice",,
"FF6486-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","EVOLUCION INNOVATIONS INC DATA BREACH","122 N 36TH STREET",,"SEATTLE","WA","98107",,"Recreation: Sporting goods stores","Lost or mishandled consumer's personal data","Information Only","
,  98107
(47.667804, -122.375438)",
"FF6516-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","MICHAEL E GIBBONS",,,,,,,"Private Party Elder Fraud","Elder Financial Exploitation","Private Lawsuit (Elder Abuse)",,
"FF6430-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","SWEETHEART SCAM VICTIM",,,,,,,"Private Party Elder Fraud","Elder Financial Exploitation","Information Only",,
"FF6448-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","CHARTER COMMUNICATIONS*","REGULATORY COMPLAINTS","6399 S FIDDLERS GREEN CIRCLE","GREENWOOD VILLAGE","CO","80111",,"Broadcasting: TV via cable","Service quality lower than what the complainant ordered or expected","Referred Complainant Elsewhere","
,  80111
(39.612472, -104.881366)",
"FF6456-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","OREGON BLOOMED","8700 SW 26TH AVE",,"PORTLAND","OR","97219",,"Marijuana Related","General allegation of unlawful conduct","Referred Complainant Elsewhere","
,  97219
(45.456622, -122.705771)",
"FF6440-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","DEALER PROCESSING",,,,"OR",,,"Motor Vehicle Service Contracts","Telemarketer called complainant after complainant directed them not to call","Information Only",,
"FF6427-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","SUSAN TURNER",,,,,,,"Private Party Elder Fraud","Elder Financial Exploitation","Private Lawsuit (Elder Abuse)",,
"FF6441-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","PHISHING SCHEME",,,,,,,"Fraudulent Entity","Phishing / Pharming","Information Only",,
"FF6467-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","UNITED WHOLESALE MORTGAGE","585 SOUTH BOULEVARD E",,"PONTIAC","MI","48341",,"Credit/Lending: Mortgage & Nonmortgage Brokers","Service quality lower than what the complainant ordered or expected","Referred Complainant Elsewhere","
,  48341
(42.627643, -83.298676)",
"FF6450-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","AMAZON IMPOSTER",,,,,,,"Fraudulent Entity","Phishing / Pharming","Information Only",,
"FF6444-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","PORTLAND STATE UNIVERSITY*","BOX 751",,"PORTLAND","OR","97207",,"Education: Colleges, Universities & Professional Schools","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  97207
(45.516018, -122.681425)",
"FF6461-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","CRAIGSLIST SCAM VICTIM",,,,,,,"Private Party - No Jurisdiction","General allegation of unlawful conduct","DOJ has No Jurisdiction",,
"FF6433-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","COMCAST*","CINDY COOK/GOV'T. RELATIONS LIAISON","14243 SW TERMAN RD","BEAVERTON","OR","97005",,"Broadcasting: TV via cable","False or misleading offering price","Referred Complainant Elsewhere","
,  97005
(45.49181, -122.804932)",
"FF6462-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","CHARLENE PATTERSON",,,,,,,"Private Party Elder Fraud","Elder Financial Exploitation","Private Lawsuit (Elder Abuse)",,
"FF6451-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","AT&T MOBILITY LLC*","OFFICE OF THE PRESIDENT","308 S AKARD ST, RM 1110","DALLAS","TX","75202",,"Telecommunications: Cellular & Other Wireless","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  75202
(32.779989, -96.803609)",
"FF6466-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","SUMMIT CLEANING & RESTORATION","PO BOX 493",,"STAYTON","OR","97383",,"Construction Contractors, All Other Special Trade","Failed to deliver any goods or services","Referred Complainant Elsewhere","
,  97383
(44.799005, -122.740686)",
"FF6463-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","SHAUN JOHNSON PAVING",,,,,,,"Fraudulent Entity","Elder Financial Exploitation","Information Only",,
"FF6465-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","RONALD LOUIS ZITZEWITZ",,,,,,,"Private Party - No Jurisdiction","General allegation of unlawful conduct","Information Only",,
"FF6460-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","WINNEBAGO SERVICE","124 E 4TH AVE",,"JUNCTION CITY","OR","97488",,"Manufacturing: Motor Home","General allegation of unlawful conduct","Referred Complainant Elsewhere","
,  97488
(44.112893, -122.457811)",
"FF6439-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","APPLE INC IMPOSTER",,,,,,,"Fraudulent Entity","Phishing / Pharming","Information Only",,
"FF6434-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","UNUM GROUP DATA BREACH","1 FOUNTAIN SQUARE",,"CHATTANOOGA","TN","37402",,"Insurance: Health and Medical","Lost or mishandled consumer's personal data","Information Only","
,  37402
(35.046971, -85.313344)",
"FF6435-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","TECH SUPPORT VICTIM",,,,,,,"Fraudulent Entity","Elder Financial Exploitation","Information Only",,
"FF6431-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","ARCO AMPM #83261","850 LAWSON AVE",,"WOODBURN","OR","97071",,"Fuel: Gasoline Stations","Charging an excessive price","Referred Complainant Elsewhere","
,  97071
(45.141489, -122.84069)",
"FF6432-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","MICROSOFT IMPOSTER VICTIM",,,,,,,"Fraudulent Entity","Elder Financial Exploitation","Information Only",,
"FF6437-19","Closed","2019-12-30T00:00:00.000","2019-12-30T00:00:00.000","ACTIVE NETWORK LLC DATA BREACH","717 NORTH HARWOOD STREET SUITE 2500",,"DALLAS","TX","75201",,"Publishers: Software","Lost or mishandled consumer's personal data","Information Only","
,  75201
(32.786781, -96.79859)",
"FF6422-19","Closed","2019-12-26T00:00:00.000","2019-12-26T00:00:00.000","DOUGLAS ELECTRIC CO-OP, INC","1981 NE STEPHENS",,"ROSEBURG","OR","97470",,"Electric Service Provider:  retail sales","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","DOJ has No Jurisdiction","
,  97470
(43.230616, -123.272184)",
"FF6426-19","Closed","2019-12-26T00:00:00.000","2019-12-26T00:00:00.000","DATAVERIA",,,,"OR",,,"Publishers: Database and Directory","Service quality lower than what the complainant ordered or expected","DOJ has No Jurisdiction",,
"FF6418-19","Closed","2019-12-26T00:00:00.000","2019-12-26T00:00:00.000","LYFT*","185 BERRY STREET, SUITE 5000",,"SAN FRANCISCO","CA","94110",,"Travel: Transit & Ground Passenger Transportation","Service quality lower than what the complainant ordered or expected","DOJ has No Jurisdiction","
,  94110
(37.749202, -122.41575)",
"FF6425-19","Closed","2019-12-26T00:00:00.000","2019-12-26T00:00:00.000","WELLS FARGO BANK, NA*","PO BOX 560947",,"CHARLOTTE","NC","28256",,"Credit/Lending: Commercial Banking","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  28256
(35.222936, -80.840161)",
"FF6405-19","Closed","2019-12-24T00:00:00.000","2019-12-24T00:00:00.000","AT&T MOBILITY LLC*","OFFICE OF THE PRESIDENT","308 S AKARD ST, RM 1110","DALLAS","TX","75202",,"Telecommunications: Cellular & Other Wireless","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  75202
(32.779989, -96.803609)",
"FF6411-19","Closed","2019-12-24T00:00:00.000","2019-12-24T00:00:00.000","COMCAST IMPOSTER",,,,,,,"Fraudulent Entity","General allegation of unlawful conduct","Information Only",,
"FF6409-19","Closed","2019-12-24T00:00:00.000","2019-12-24T00:00:00.000","NECTAR SLEEP","8705 SW HALL BLVD",,"BEAVERTON","OR","97003",,"Marijuana Related","Service quality lower than what the complainant ordered or expected","Referred Complainant Elsewhere","
,  97003
(45.506026, -122.884189)",
"FF6412-19","Closed","2019-12-24T00:00:00.000","2019-12-24T00:00:00.000","PRECISION GARAGE DOORS","101 N MAIN AVE., #106",,"GRESHAM","OR","97030",,"Construction Contractors, Generally","Demanded payment for patent infringement or licensing","DOJ has No Jurisdiction","
,  97030
(45.507276, -122.431683)",
"FF6401-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","CRAIGSLIST RENTAL SCAM",,,,,,,"Private Party - No Jurisdiction","Phishing / Pharming","Information Only",,
"FF6365-19","Closed","2019-12-23T00:00:00.000","2019-12-30T00:00:00.000","PENSION PLANNERS NORTHWEST DATA BREACH","1600 VALLEY RIVER DRIVE, SUITE 340",,"EUGENE","OR","97401",,"Investments: Investment Advice, exc brokers but inc. estate planners","Lost or mishandled consumer's personal data","Information Only","
,  97401
(44.0665, -123.080966)",
"FF6376-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","DAVID A JOHNSON",,,,,,,"Private Party Elder Fraud","Elder Financial Exploitation","Private Lawsuit (Elder Abuse)",,
"FF6389-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","OAK ESTATES MHC, LLC",,,,,,,"Real Estate: Manufactured home park management, leasing, develop.","False or misleading description of quality, quantity, or nature of goods or services","Private Lawsuit (UTPA)",,
"FF6390-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","BUYER SCAM",,,,,,,"Private Party - No Jurisdiction","General allegation of unlawful conduct","Information Only",,
"FF6375-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","CRAIGSLIST RENTAL SCAM",,,,,,,"Private Party - No Jurisdiction","Phishing / Pharming","Information Only",,
"FF6378-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","REMOTE ACCESS SCAM VICTIM",,,,,,,"Fraudulent Entity","General allegation of unlawful conduct","Information Only",,
"FF6400-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","PAYPAL*","EXECUTIVE ESCALATIONS","12312 PORT GRACE BLVD.","LAVISTA","NE","68128",,"Financial Transactions Processing","Acted unconscionably during collection activity","Referred Complainant Elsewhere","
,  68128
(41.182252, -96.060922)",
"FF6386-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","RAPID CASH","3849 SE POWELL BLVD",,"PORTLAND","OR","97202",,"Credit/Lending: Payday/Refund loans","Acted unconscionably during collection activity","Referred Complainant Elsewhere","
,  97202
(45.483127, -122.64001)",
"FF6391-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","MODA CENTER","1 N CENTER CT ST",,"PORTLAND","OR",,,"Performing Arts: Promoters of Entertainment Events w/Facility","General allegation of unlawful conduct","Information Only",,
"FF6374-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","AT&T MOBILITY LLC*","OFFICE OF THE PRESIDENT","308 S AKARD ST, RM 1110","DALLAS","TX","75202",,"Telecommunications: Cellular & Other Wireless","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  75202
(32.779989, -96.803609)",
"FF6370-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","SHELL GAS STATION","56896 VENTURE LN",,"SUNRIVER","OR","97707",,"Fuel: Gasoline Stations","General allegation of unlawful conduct","Referred Complainant Elsewhere","
,  97707
(43.847139, -121.471292)",
"FF6382-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","UNITED FINANCE CO","2743 N. PACIFIC HWY",,"MEDFORD","OR","97501",,"Credit/Lending: Sales Financing","Acted unconscionably during collection activity","Referred Complainant Elsewhere","
,  97501
(42.302682, -122.886931)",
"FF6403-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","DIVISION OF CHILD SUPPORT/DOJ*","1162 COURT ST",,"SALEM","OR","97301",,"General Government","Service quality lower than what the complainant ordered or expected","Referred Complainant Elsewhere","
,  97301
(44.948512, -123.006732)",
"FF6367-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","SOCIAL SECURITY IMPOSTER",,,,,,,"Fraudulent Entity","General allegation of unlawful conduct","Information Only",,
"FF6372-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","REBECCA SUMMERS",,,,,,,"Private Party Elder Fraud","Elder Financial Exploitation","Private Lawsuit (Elder Abuse)",,
"FF6381-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","AT&T MOBILITY LLC*","OFFICE OF THE PRESIDENT","308 S AKARD ST, RM 1110","DALLAS","TX","75202",,"Telecommunications: Cellular & Other Wireless","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  75202
(32.779989, -96.803609)",
"FF6395-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","AT&T MOBILITY LLC*","OFFICE OF THE PRESIDENT","308 S AKARD ST, RM 1110","DALLAS","TX","75202",,"Telecommunications: Cellular & Other Wireless","False or misleading representation of terms of sale","Referred Complainant Elsewhere","
,  75202
(32.779989, -96.803609)",
"FF6383-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","VERIZON WIRELESS*","ATTN: JOSEPH SHEBROE","15505 SAND CANYON AVE BLDG D 305","IRVINE","CA","92618",,"Telecommunications: Cellular & Other Wireless","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  92618
(33.670881, -117.737624)",
"FF6380-19","Closed","2019-12-23T00:00:00.000","2019-12-23T00:00:00.000","BOTTLE DROP REDEMPTION CENTERS","12403 NE GLISAN",,"PORTLAND","OR","97230",,"Retail: Generally","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  97230
(45.541205, -122.502699)",
"FF6343-19","Closed","2019-12-20T00:00:00.000","2019-12-20T00:00:00.000","US BANK IMPOSTER",,,,,,,"Fraudulent Entity","General allegation of unlawful conduct","Information Only",,
"FF6340-19","Closed","2019-12-20T00:00:00.000","2019-12-23T00:00:00.000","BENCH CRAFT COMPANY*","16600 SW 72ND AVE",,"PORTLAND","OR","97224",,"Advertising Agency","Failed to fulfill contract","Voluntarily Resolved","
,  97224
(45.407281, -122.793534)",
"FF6349-19","Closed","2019-12-20T00:00:00.000","2019-12-20T00:00:00.000","MUNICIPAL SERVICES BUREAU","PO BOX 16755",,"AUSTIN","TX","78761",,"Credit/Lending: Collection Agencies","Acted unconscionably during collection activity","Referred Complainant Elsewhere","
,  78761
(30.264979, -97.746598)",
"FF6355-19","Closed","2019-12-20T00:00:00.000","2019-12-30T00:00:00.000","FRONTIER COMMUNICATIONS NORTHWEST INC*","CONSUMER RELATIONS DEPT","1398 SOUTH WOODLAND BLVD","DELANO","FL","32720",,"Telecommunications: Internet Service Provider (ISP)","Acted unconscionably during collection activity","Voluntarily Resolved","
,  32720
(29.02782, -81.344851)",
"FF6341-19","Closed","2019-12-20T00:00:00.000","2019-12-20T00:00:00.000","COMCAST*","CINDY COOK/GOV'T. RELATIONS LIAISON","14243 SW TERMAN RD","BEAVERTON","OR","97005",,"Broadcasting: TV via cable","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  97005
(45.49181, -122.804932)",
"FF6345-19","Closed","2019-12-20T00:00:00.000","2019-12-20T00:00:00.000","CHARTER COMMUNICATIONS*","REGULATORY COMPLAINTS","6399 S FIDDLERS GREEN CIRCLE","GREENWOOD VILLAGE","CO","80111",,"Broadcasting: TV via cable","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  80111
(39.612472, -104.881366)",
"FF6362-19","Closed","2019-12-20T00:00:00.000","2019-12-20T00:00:00.000","OREGON DEPARTMENT OF REVENUE*","1433 SW 6TH AVE","PO BOX 159","PORTLAND","OR","97202",,"General Government","Service quality lower than what the complainant ordered or expected","Referred Complainant Elsewhere","
,  97202
(45.483127, -122.64001)",
"FF6337-19","Closed","2019-12-20T00:00:00.000","2019-12-20T00:00:00.000","WAWA, INC DATA BREACH","260 WEST BALTIMORE PIKE",,"WAWA","PA","19063",,"Fuel: Gasoline Stations","Lost or mishandled consumer's personal data","Information Only","
,  19063
(39.918571, -75.409371)",
"FF6361-19","Closed","2019-12-20T00:00:00.000","2019-12-20T00:00:00.000","ZESTADS LIMITED",,,,,,,"Telecommunications: Internet Related Business","Failed to deliver goods, services or refund despite demand by complainant","Information Only",,
"FF6360-19","Closed","2019-12-20T00:00:00.000","2019-12-20T00:00:00.000","CREDIT CONCEPTS, INC","220 W 7TH AVE",,"EUGENE","OR","97401",,"Credit/Lending: Collection Agencies","Service quality lower than what the complainant ordered or expected","Information Only","
,  97401
(44.0665, -123.080966)",
"FF6293-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","HEALTH INSURANCE SCAM*",,,,,,,"Fraudulent Entity","False or misleading representation of source by caller ID spoofing","Information Only",,
"FF6316-19","Closed","2019-12-19T00:00:00.000","2019-12-27T00:00:00.000","CENTER OF OCULAR PROSTHETICS","2525 NW LOVEJOY AVE, STE 306",,"PORTLAND","OR","97210",,"Health: Medical products","Medical: misleading, confusing, or deceptive billing","Voluntarily Resolved","
,  97210
(45.539466, -122.718669)",
"FF6301-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","CRAIGSLIST RENTAL SCAM VICTIM",,,,,,,"Private Party - No Jurisdiction","General allegation of unlawful conduct","Information Only",,
"FF6319-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","FEDEX CORPORATION*","GRAHAM ASKEW ESQ","LITIGATION DEPARTMENT","MEMPHIS","TN","38125",,"Mail: Couriers","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","DOJ has No Jurisdiction","
,  38125
(35.028033, -89.796672)",
"FF6331-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","AMOS FINANCIAL LLC","3330 SKOKIE VALLEY ROAD, SUITE 301",,"HIGHLAND PARK","IL","60035",,"Credit/Lending: Mortgage Loan Servicing","Acted unconscionably during collection activity","Referred Complainant Elsewhere","
,  60035
(42.182578, -87.808789)",
"FF6333-19","Closed","2019-12-19T00:00:00.000","2019-12-27T00:00:00.000","McKENZIE WILLAMETTE MEDICAL CENTER","1460 G ST",,"SPRINGFIELD","OR","97477",,"Health: Hospitals","Medical: misleading, confusing, or deceptive billing","Voluntarily Resolved","
,  97477
(44.061225, -123.015424)",
"FF6292-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","THE SHORT INTEREST, LLC","2031 NORTH MCCLELLAN STREET",,"PORTLAND","OR","97217",,"Investments: Investment Advice, exc brokers but inc. estate planners","Failed to obtain professional license, certification, or bond","Referred Complainant Elsewhere","
,  97217
(45.577751, -122.686065)",
"FF6315-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","GENESIS BANKCARD SERVICES INC.*","PO BOX 4499",,"BEAVERTON","OR","97076",,"Credit/Lending: Credit Card Issuing","Senior Citizen","Referred Complainant Elsewhere","
,  97076
(45.48652, -122.795841)",
"FF6328-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","ONEMAIN FINANCIAL SERVICES, INC*","2533 NE HWY 99E, STE A",,"MCMINNVILLE","OR","97128",,"Credit/Lending: Consumer Lending","False or misleading representation of terms of sale","Referred Complainant Elsewhere","
,  97128
(45.204068, -123.237142)",
"FF6313-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","MACHINERYMAX, INC","P.O.  BOX 1332",,"RIPON","CA","95366",,"Manufacturing: Machinery","Failed to fulfill contract","Referred Complainant Elsewhere","
,  95366
(37.756787, -121.128369)",
"FF6321-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","TENDER HOME CARE","2225 STEWART PKWY",,"ROSEBURG","OR","97471",,"Health: Homes for the Elderly","Failed to fulfill contract","Referred Complainant Elsewhere","
,  97471
(43.226663, -123.497413)",
"FF6303-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","OREGON COMMUNITY CREDIT UNION*","PO BOX 77002",,"SPRINGFIELD","OR","97475",,"Credit/Lending: Credit Unions","Service quality lower than what the complainant ordered or expected","Referred Complainant Elsewhere","
,  97475
(44.07752, -123.042022)",
"FF6330-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","PROVIDENCE HEALTH & SERVICES*","PO BOX 3299",,"PORTLAND","OR","97208",,"Health: Offices of Physicians, Mental Health","Service quality lower than what the complainant ordered or expected","Referred Complainant Elsewhere","
,  97208
(45.527305, -122.678918)",
"FF6299-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","IRS IMPOSTER*",,,,,,,"Fraudulent Entity","General allegation of unlawful conduct","Information Only",,
"FF6298-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","BEVERLYANN LEE",,,,,,,"Credit/Lending: Reverse Mortgages","Elder Financial Exploitation","Private Lawsuit (Elder Abuse)",,
"FF6324-19","Closed","2019-12-19T00:00:00.000","2019-12-19T00:00:00.000","VERIZON WIRELESS*","ATTN: JOSEPH SHEBROE","15505 SAND CANYON AVE BLDG D 305","IRVINE","CA","92618",,"Telecommunications: Cellular & Other Wireless","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  92618
(33.670881, -117.737624)",
