"product_name","company","epa_reg_no","note","active_ingredient","pesticide_type","ag_worker_protection_standard_applies","_"
"Stargus","Marrone Bio Innovations, Inc.","84059-28",,"Bacillus amyloliquefaciens","Fungcide","Yes",
"ARBER BIO FUNGICDE","EVERGREEN WAY INC","84059-28-97021",,"BACILLUS AMYLOLIQUEFACIENS F727","FUNGICIDE","NO",
"DOUBLE NICKEL 55 BIOFUNGICIDE","CERTIS USA LLC","70051-108",,"BACILLUS AMYLOLIQUEFACIENS STRAIN D747","FUNGICIDE","Yes",
"DOUBLE NICKEL LC BIOFUNGICIDE","CERTIS USA LLC","70051-107",,"BACILLUS AMYLOLIQUEFACIENS STRAIN D747","FUNGICIDE","Yes",
"TRIATHLON BA","OHP, INC.","70051-107-59807",,"BACILLUS AMYLOLIQUEFACIENS STRAIN D747","BIOFUNGICIDE/BACTERICIDE","YES",
"DEFGUARD","GENERAL HYDROPONICS","91865-3",,"BACILLUS AMYLOLIQUEFACIENS STRAIN D747*","FUNGICIDE BACTERICIDE","YES",
"MONTEREY COMPLETE DISEASE CONTROL","LAWN & GARDEN PRODUCTS INC.","70051-107-54705",,"BACILLUS AMYLOLIQUEFACIENS STRAIN D747*","BIOFUNGICIDE/BACTERICIDE","NO",
"MONTEREY COMPLETE DISEASE CONTROL RTU","LAWN & GARDEN PRODUCTS INC.","70051-114-54705",,"BACILLUS AMYLOLIQUEFACIENS STRAIN D747*","MONTEREY COMPLETE DISEASE CONTROL RTU","NO",
"COMPANION MAXX LIQUID BIOLOGICAL FUNGICIDE","PLANT HEALTH INTERMEDIATE INC","94485-4",,"BACILLUS AMYLOLIQUEFACIENS STRAIN ENV503","FUNGICIDE","YES",
"AMPLITUDE ST","MARRONE BIO INNOVATIONS","84059-28","CANNABIS GROWN FOR SEED ONLY","BACILLUS AMYLOLIQUEFACIENS STRAIN F727 CELLS AND SPENT FERMENTATION MEDIA","FUNGICIDE, BACTERICIDE","YES",
"Zorda WG","Valent Biosciences LLC","73049-522",,"Bacillus amyloliquefaciens, strain PTA-4838","Fungicide","Yes",
"LIFEGARD WG","CERTIS","70051-119","HEMP  ONLY","BACILLUS MYCOIDES ISOLATE J","BIOLOGICAL PLANT ACTIVATOR","YES",
"PRO-MIX BIOFUNGICIDE + MYCORRHIZAE","PREMIER HORTICULTURE  INC.","74267-4",,"BACILLUS PUMILUS  STRAIN GHA 180","FUNGICIDE, PGR - GROWTH STIMULATOR","Yes",
"PRO-MIX BRK20 BIOFUNGICIDE
+ MYCORRHIZAE","PREMIER HORTICULTURE  INC.","74267-4",,"BACILLUS PUMILUS  STRAIN GHA 180","FUNGICIDE, PGR - GROWTH STIMULATOR","Yes",
"PRO-MIX BRK BIOFUNGICIDE + MYCORRHIZAE","PREMIER HORTICULTURE  INC.","74267-4",,"BACILLUS PUMILUS  STRAIN GHA 180","FUNGICIDE, PGR - GROWTH STIMULATOR","Yes",
"PRO-MIX BX -GENERAL PURPOSE GROWING MEDIUM BIOFUNGICIDE + MYCORRHIZAE","PREMIER HORTICULTURE  INC.","74267-4",,"BACILLUS PUMILUS  STRAIN GHA 180","FUNGICIDE, PGR - GROWTH STIMULATOR","Yes",
"PRO-MIX HP -GENERAL PURPOSE GROWING MEDIUM BIOFUNGICIDE + MYCORRHIZAE","PREMIER HORTICULTURE  INC.","74267-4",,"BACILLUS PUMILUS  STRAIN GHA 180","FUNGICIDE, PGR - GROWTH STIMULATOR","Yes",
"PRO-MIX LP15 BIOFUNGICIDE + MYCORRHIZAE","PREMIER HORTICULTURE  INC.","74267-4",,"BACILLUS PUMILUS  STRAIN GHA 180","FUNGICIDE, PGR - GROWTH STIMULATOR","Yes",
"SONATA","BAYER CROPSCIENCE LP","264-1153","CANNABIS GROWN FOR OIL ONLY","BACILLUS PUMILUS STRAIN QST 2808 (SPORES, SOLIDS, SOLUBLES, AND WATER)","FUNGICIDE","YES",
"COMPANION BIOLOGICAL FUNGICIDE WETTABLE POWDER","GROWTH PRODUCTS  LTD","71065-4",,"BACILLUS SUBTILIS GB03","BIOLOGICAL FUNGICIDE","YES",
"COMPANION LIQ BIOLOGICAL FUNG","GROWTH PRODUCTS  LTD","71065-3",,"BACILLUS SUBTILIS GB03","FUNGICIDE","Yes",
"COMPANION LIQ BIOLOGICAL FUNG GREENHOUSE NURSERY&ORNA CROP2-3-2","GROWTH PRODUCTS  LTD","71065-3",,"BACILLUS SUBTILIS GB03","FUNGICIDE","Yes",
"COMPANION LIQ BIOLOGICAL FUNG HYDROPONICS 2-3-2","GROWTH PRODUCTS  LTD","71065-3",,"BACILLUS SUBTILIS GB03","FUNGICIDE, PGR - GROWTH STIMULATOR","Yes",
"PREMIER PRO-MIX BX W/BIOFUNGICIDE","PREMIER HORTICULTURE  INC.","74267-1",,"BACILLUS SUBTILIS  MBI 600","FUNGICIDE, PGR - GENERAL","Yes",
"PRO-MIX W/BIOFUNGICIDE","PREMIER HORTICULTURE  INC.","74267-1",,"BACILLUS SUBTILIS  MBI 600","FUNGICIDE, PGR - GENERAL","Yes",
"RHAPSODY","AGRAQUEST  INC.","69592-19",,"BACILLUS SUBTILIS QST713 STRAIN","FUNGICIDE","Yes",
"RHAPSODY","BAYER CROPSCIENCE LP","264-1155",,"BACILLUS SUBTILIS QST713 STRAIN","FUNGICIDE, BACTERICIDE","Yes",
"SERENADE ASO","BAYER CROPSCIENCE LP","264-1152",,"BACILLUS SUBTILIS QST713 STRAIN","FUNGICIDE","Yes",
"SERENADE GARDEN DISEASE CONTROL CONC.","BAYER CROPSCIENCE LP","264-1152",,"BACILLUS SUBTILIS QST713 STRAIN","FUNGICIDE","No",
"SERENADE GARDEN DISEASE CONTROL R-T-SPRAY","BAYER CROPSCIENCE LP","264-1152",,"BACILLUS SUBTILIS QST713 STRAIN","FUNGICIDE","No",
"SERENADE GARDEN DISEASE CONTROL -RTU- /ORGANIC GARDENING","BAYER CROPSCIENCE LP","264-1154",,"BACILLUS SUBTILIS QST713 STRAIN","FUNGICIDE","No",
"SERENADE MAX","BAYER CROPSCIENCE LP","264-1151",,"BACILLUS SUBTILIS QST713 STRAIN","FUNGICIDE","Yes",
"SERENADE OPTI","BAYER CROPSCIENCE LP","264-1160",,"BACILLUS SUBTILIS QST713 STRAIN","FUNGICIDE","Yes",
"SERENADE OPTIMUM /ORGANIC PRODUCTION","BAYER CROPSCIENCE LP","264-1160",,"BACILLUS SUBTILIS QST713 STRAIN","FUNGICIDE","Yes",
"AVIV","SEIPASA, S.A.","91473-1-86182",,"BACILLUS SUBTILIS STRAIN IAB/BS03","FUNGICIDE","Yes",
"BT NOW","BIOSAFE SYSTEMS","89046-12-70299",,"BACILLUS THURINGIENSIS SSP","INSECTICIDE","YES",
"AGREE WG BIOLOGICAL INSECTICIDE","CERTIS USA LLC","70051-47",,"BACILLUS THURINGIENSIS SSP. AIZAWAI","INSECTICIDE","YES",
"XENTARI DRY FLOWABLE
/ORGANIC PRODUCTION","VALENT BIOSCIENCES CORP.","73049-40",,"BACILLUS THURINGIENSIS SSP. AIZAWAI","INSECTICIDE","Yes",
"B.T.I GRANULES","SUMMIT CHEMICAL COMPANY","6218-86",,"BACILLUS THURINGIENSIS SSP. ISRAELENSIS","LARVACIDE","Yes",
"GNATROL WDG BIOLOGICAL LARVICIDE /ORGANIC PRODUCTION","VALENT BIOSCIENCES CORP.","73049-56",,"BACILLUS THURINGIENSIS SSP. ISRAELENSIS","INSECTICIDE","Yes",
"DIPEL DRY FLOW","VALENT BIOSCIENCES CORP.","73049-39",,"BACILLUS THURINGIENSIS SSP. KURSTAKI 0","INSECTICIDE","Yes",
"BIOBIT HP BIO INSECTICIDE WETTABLE POWDER/ORGANIC PRODUCTION","VALENT BIOSCIENCES CORP.","73049-54",,"BACILLUS THURINGIENSIS SSP. KURSTAKI 1","INSECTICIDE","Yes",
"DIPEL PRO DF BIOLOGICAL INSECTICIDE DRY FLOW","VALENT BIOSCIENCES CORP.","73049-39",,"BACILLUS THURINGIENSIS SSP. KURSTAKI 1","INSECTICIDE","Yes",
"FORAY XG BIOLOGICAL INSECTICIDE","VALENT BIOSCIENCES CORP.","73049-46",,"BACILLUS THURINGIENSIS SSP. KURSTAKI 1","INSECTICIDE","No",
"CRYMAX BIOINSECTICIDE","CERTIS USA LLC","70051-86",,"BACILLUS THURINGIENSIS SSP. KURSTAKI 7841","INSECTICIDE","Yes",
"BIOPROTEC PLUS","AEF GLOBAL, INC.","89046-12",,"BACILLUS THURINGIENSIS SSP. KURSTAKI STRAIN EVB-113-19","BIOLOGICAL INSECTICIDE","YES",
"LEPROTEC","VESTARON CORPORATION","89046-12-88847",,"BACILLUS THURINGIENSIS SSP. KURSTAKI STRAIN EVB-113-19","INSECTICIDE","Yes",
"MONTEREY B.t. RTU /ORGANIC GARDENING","LAWN & GARDEN PRODUCTS INC.","70051-113-54705",,"BACILLUS THURINGIENSIS SSP. KURSTAKI STRAIN SA-12","INSECTICIDE","No",
"JAVELIN WG","CERTIS USA LLC","70051-66",,"BACILLUS THURINGIENSIS,
SUBSPECIES KURSTAKI STRAIN SA- 11 SOLIDS, SPORES, AND LEPIDOPTERAN ACTIVE TOXINS","INSECTICIDE","Yes",
"BIOCERES WP","BIOSAFE SYSTEMS","89600-2",,"BEAUVARIANA BASSIANA","INSECTICIDE","YES",
"BotaniGard Optima ES","Certis USA LLC","82074-17","Use on Hemp Only","Beauveria bassiana strain GHA","Mycoinsecticide","Yes",
"BOTANIGARD ES","LAM INTERNATIONAL","82074-1",,"BEAUVERIA BASSIANA STRAIN GHA","INSECTICIDE","Yes",
"MYCOTROL WPO","LAM INTERNATIONAL","82074-2",,"BEAUVERIA BASSIANA STRAIN GHA","INSECTICIDE, MITICIDE","YES",
"VELIFER","BASF CORP","71840-22",,"BEAUVERIA BASSIANA STRAIN PPRI 5339","INSECTICIDE/MITICIDE","Yes",
"CONC WORRYFREE VEGOL YEAR- ROUND PESTICIDAL OIL","LILLY MILLER BRANDS - CENTRAL GARDEN & PET","67702-4-33116",,"CANOLA OIL","FUNGICIDE, INSECTICIDE","No",
"MIGHTY","NPK INDUSTRIES","89819-1","See alert at bottom of list","CANOLA OIL, PYRETHRINS","INSECTICIDE","NO",
"MONTEREY TAKE DOWN GARDEN SPRAY","LAWN & GARDEN PRODUCTS INC.","67702-5-54705","See alert at bottom of list","CANOLA OIL, PYRETHRINS","INSECTICIDE","No",
"MONTEREY TAKE DOWN GARDEN SPRAY-RTU","LAWN & GARDEN PRODUCTS INC.","67702-6-54705","See alert at bottom of list","CANOLA OIL, PYRETHRINS","INSECTICIDE","No",
"ORTHO ELEMENTALS GARDEN INSECT KILLER","ORTHO GROUP  THE","67702-6-239","See alert at bottom of list","CANOLA OIL, PYRETHRINS","INSECTICIDE","No",
"WORRYFREE BRAND GARDEN INSECT CONTROL R-T-U","LILLY MILLER BRANDS - CENTRAL GARDEN & PET","67702-6-33116","See alert at bottom of list","CANOLA OIL, PYRETHRINS","INSECTICIDE","No",
"Burnout Formula II Fast Acting Weed and Grass Killer Concentrate","Bonide Products, Inc.","67702-54-4",,"Caprylic Acid, Capric Acid","Herbicide","No",
"BurnOut Formula II Fast Acting Weed and Grass Killer Ready to Use","Bonide Products, Inc.","67702-59-4",,"Caprylic Acid, Capric Acid","Herbicide","No",
"Captain Jack's Deadweed Brew Concentrate","Bonide Products, Inc.","67702-54-4",,"Caprylic Acid, Capric Acid","Herbicide","No",
"Captain Jack's Deadweed Brew Ready to Use","Bonide Products, Inc.","67702-59-4",,"Caprylic Acid, Capric Acid","Herbicide","No",
"SUPPRESS","WESTBRIDGE AGRICULTURAL PROD.","51517-9",,"CAPRYLIC ACID, CAPRIC ACID","HERBICIDE","Yes",
"FIREWORXX","OHP, INC.","67702-54-59807",,"CAPRYLIC ACID/ CAPRIC ACID","HERBICIDE","Yes",
"HOMEPLATE","CERTIS USA LLC","67702-54-70051",,"CAPRYLIC ACID/CAPRIC ACID","HERBICIDE","Yes",
"CAPTIVA","GOWAN CO.","10163-326",,"CAPSAICIN, GARLIC OIL/POWDER, SOYBEAN OIL","INSECTICIDE, INSECT REPELLENT","Yes",
"ORTHO MOLE B GON MOLE & VOLE REPELLENT READY-TO- SPRAY","ORTHO GROUP  THE","NA",,"CASTOR OIL, GERANIOL, PEPPERMINT OIL","RODENTICIDE","No",
"MOLE & VOLE STOPPER
GRANULAR","MESSINA WILDLIFE MANAGEMENT","NA",,"CASTOR OIL, GERANIOL,
PEPPERMINT OIL","RODENTICIDE","No",
"ORTHO MOLE B GON MOLE &
VOLE REPELLENT GRANULES","ORTHO GROUP  THE","NA",,"CASTOR OIL, GERANIOL,
PEPPERMINT OIL","RODENTICIDE","No",
"MOLE & VOLE STOPPER","MESSINA WILDLIFE MANAGEMENT","NA",,"CASTOR OIL, ROSEMARY OIL, MINT OIL","RODENT REPELLENT","NO",
"Liquid Fence Mole Repellent Concentrate3","Liquid Fence Co Inc","NA",,"Castor Oil, Sodium Lauryl Sulfate","Mole Repellent","No",
"BIOREND","AGNUBIO INC","91664-1",,"CHITOSAN","PLANT DEFENSE BOOSTER","YES",
"BIOREND PLANT DEFENSE BOOSTER","AG NUBIO, INC.","91664-1",,"CHITOSAN","PLANT GROWTH REGULATOR","YES",
"GRANDEVO CG","MARRONE BIO INNOVATIONS","84059-27",,"CHROMOBACTERIUM SUB STRAIN PRAA4-1 CELLS","INSECTICIDE","Yes",
"GRANDEVO PTO","ENGAGE AGRO USA -TSG-","84059-17-87865",,"CHROMOBACTERIUM SUB STRAIN PRAA4-1 CELLS","INSECTICIDE","Yes",
"GRANDEVO PTO","MARRONE BIO INNOVATIONS","84059-17",,"CHROMOBACTERIUM SUB STRAIN PRAA4-1 CELLS","INSECTICIDE","Yes",
"Grandevo WDG","Marrone Bio Innovations, Inc.","84059-27",,"Chromobacterium subtsugae","Insecticide","Yes",
"Long Shadow","Circadian Crop Sciences","N/A",,"Cinammon Oil","Fungicide, Miticide, Insecticide, Nematicide, Bactericide","No",
"SEICAN","SEIPASA, S.A.","91473-2",,"CINNAMEALDEHYDE","INSECTICIDE, MITICIDE, FUNGICIDE","Yes",
"CANELYS","ATLANTICA AGRICOLA USA INC","NA",,"CINNAMON OIL","INSECTICIDE, MITICIDE, FUNGICIDE","NO",
"CINNERATE","SEIPASA S.A.","NA",,"CINNAMON OIL","INSECTICIDE/MITICIDE/FUNGICIDE","No",
"DR. EARTH FINAL STOP WEED AND GRASS HERBICIDE","DR. EARTH CO.","NA",,"CINNAMON OIL, CITRIC ACID, CLOVE OIL, ROSEMARY OIL, SESAME OIL, THYME OIL","HERBICIDE","No",
"ED ROSENTHAL'S ZERO TOLERANCE HERBAL PESTICIDE CONCENTRATE","NATURAL GARDEN SOLUTIONS LLC","NA",,"CINNAMON OIL, CLOVE OIL, ROSEMARY OIL, THYME OIL","MITICIDE, INSECTICIDE, FUNGICIDE","No",
"ED ROSENTHAL'S ZERO TOLERANCE HERBAL PESTICIDE RTU","NATURAL GARDEN SOLUTIONS LLC","NA",,"CINNAMON OIL, CLOVE OIL, ROSEMARY OIL, THYME OIL","MITICIDE, INSECTICIDE, FUNGICIDE","No",
"ED ROSENTHAL'S ZERO TOLERANCE HERBAL PESTICIDE FUNGICIDE","NATURAL GARDEN SOLUTIONS LLC","NA",,"CINNAMON OIL, CLOVE OIL, THYME OIL","FUNGICIDE","No",
"DR. EARTH FINAL STOP SLUG & SNAIL KILLER SPRAY","DR. EARTH COMPANY","NA",,"CINNAMON OIL, GARLIC OIL, PEPPERMINT OIL, ROSEMARY OIL, SESAME OIL, THYME OIL","MOLLUSCICIDE","No",
"DR. EARTH FINAL STOP YARD & GARDEN INSECT KILLER","DR. EARTH COMPANY","NA",,"CINNAMON OIL, GARLIC OIL,
PEPPERMINT OIL, ROSEMARY OIL, SESAME & SESAME OIL, THYME OIL","MITICIDE, INSECTICIDE","No",
"GUARD 'N SPRAY","RHIZOFLORA INC","NA",,"CINNAMON OIL, ROSEMARY OIL, SESAME OIL","MITICIDE, INSECTICIDE, FUNGICIDE","No",
"Earth's Ally Disease Control","Sarasota Green Group","NA",,"Citric Acid","Fungicide","No",
"Earth's Ally Disease Control Concentrate","Sarasota Green Group","NA",,"Citric Acid","Fungicide","No",
"Grower's Ally Fungicide","Sarasota Green Group","NA",,"Citric Acid","Fungicide","No",
"Grower's Ally Fungicide Concentrate","Sarasota Green Group","NA",,"Citric Acid","Fungicide","No",
"Protection Plus","Environmental Plant Management","NA",,"Citric Acid","Insecticide, Fungicide","No",
"BIG TIME EXTERMINATOR","APOGEE GARDEN PRODUCTS INC","NA",,"CITRIC ACID","FUNGICIDE, MITICIDE","NO",
"CHESTER BOONE'S ALL PURPOSE","STEP FARM SYSTEMS, LLC","N/A",,"CITRIC ACID","INSECTICIDE, FUNGICIDE, MITICIDE","NO",
"CITRIBOOST","VITAL EARTH RESOURCES INC","NA",,"CITRIC ACID","ANTIMICROBIAL","NO",
"CLEANTECH EXECUTE ATTACK SYSTEM","NPK INDUSTRIES","N/A",,"CITRIC ACID","INSECTICIDE, FUNGICIDE, MITICIDE","NO",
"ELIMINATOR","AMAZING DOCTOR ZYMES, THE","NA",,"CITRIC ACID","MITICIDE, INSECTICIDE","No",
"FLYING SKULL NUKE EM","AMERICAN AGRICULTURE","NA",,"CITRIC ACID","MITICIDE, INSECTICIDE, FUNGICIDE","No",
"FUNGOUT","AEF GLOBAL, INC.","N/A",,"CITRIC ACID","FUNGICIDE, BACTERICIDE","NO",
"GARDEN ANGEL PLANT SPRAY PLUS SEAWEED","TURPENS ORGANIC GARDENS LLC","NA",,"CITRIC ACID","INSECTICIDE, FUNGICIDE","No",
"MAC'S MIRACLE MILDEW WASH","MAC INC","NA",,"CITRIC ACID",,"No",
"PM 80","FLYING SKULL PLANT PRODUCTS","NA",,"CITRIC ACID","FUNGICIDE","NO",
"PROCIDIC","GREENSPIRE GLOBAL INC.","NA",,"CITRIC ACID","BACTERICIDE, FUNGICIDE","NO",
"PROCIDIC2","GREENSPIRE GLOBAL INC.","NA",,"CITRIC ACID","BACTERICIDE, FUNGICIDE","NO",
"SUPER SAFE CONCENTRATE","AMERICAN AGRICULTURE","NA",,"CITRIC ACID","INSECTICIDE","NA",
"Burnout Fast Acting Weed and Grass Killer Concentrate","Bonide Products, Inc.","NA",,"Citric Acid, Clove Oil","Herbicide","No",
"Burnout Fast Acting Weed and Grass Killer Ready to Use","Bonide Products, Inc.","NA",,"Citric Acid, Clove Oil","Herbicide","No",
"Burnout II Fast Acting Weed and Grass Killer Concentrate","Bonide Products, Inc.","NA",,"Citric Acid, Clove Oil","Herbicide","No",
"CAPTAIN JACK'S DEADWEED BREW CA READY TO USE","BONIDE PRODUCTS LLC","NA",,"CITRIC ACID, CLOVE OIL","HERBICIDE","NO",
"WEED CONTROL","PUREAG","NA",,"CITRIC ACID, CORN OIL, PEPPERMINT OIL","HERBICIDE","No",
"ATOMIC GREEN","SIMPLY NATURAL SOLUTIONS","NA",,"CITRIC ACID, GARLIC, PEPPERMINT OIL","MITICIDE","NO",
"LIQUID LADYBUG SPIDER MITE SPRAY","ECO ORGANICS -ASAP PRODUCTS LLC-","NA",,"CITRIC ACID, GERANIOL, PEPPERMINT OIL","MITICIDE","No",
"Athena IPM","Athena Products Inc","N/A",,"Citric Acid, Peppermint Oil, Lemongrass Oil, Geraniol","Insecticide","No",
"BIOMITE","NATURAL PLANT PROTECTION","70057-1",,"CITRONELLA OIL, FARNESOL, GERANIOL, NEROLIDOL","INSECTICIDE","Yes",
"Captain Jack's Neem Oil Concentrate","Bonide Products, Inc.","70051-2-4",,"Clarified Hydrophobic Extract of Neem Oil","Insecticide, Fungicide, Miticide","No",
"Captain Jack's Neem Oil Concentrate","Bonide Products LLC","70051-2-4","Home and Garden Use Only","Clarified Hydrophobic Extract of Neem Oil","Fungicide, Insecticide, Miticide","No",
"Captain Jack's Neem Oil Ready to Use","Bonide Products, Inc.","70051-13-4",,"Clarified Hydrophobic Extract of Neem Oil","Insecticide, Fungicide, Miticide","No",
"GREEN LIGHT NEEM CONC.","GREEN LIGHT  A VALENT USA COMPANY","70051-2-85827",,"CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL","FUNGICIDE, INSECTICIDE","Yes",
"MONTEREY NEEM OIL - RTU
/ORGANIC GARDENING","LAWN & GARDEN PRODUCTS INC.","70051-13-54705",,"CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL","FUNGICIDE, INSECTICIDE","No",
"NATURAL GUARD BRAND NEEM","VOLUNTARY PURCHASING GROUPS","70051-2-7401",,"CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL","FUNGICIDE, INSECTICIDE","No",
"TRIACT 70","OHP","70051-2-59807",,"CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL","FUNGICIDE, INSECTICIDE, MITICIDE","YES",
"ORTHO TREE & SHRUB FRUIT TREE SPRAY CONC","ORTHO GROUP  THE","70051-75-239","See alert at bottom of list","CLARIFIED HYDROPHOBIC
EXTRACT OF NEEM OIL, PIPERONYL BUTOXIDE, PYRETHRINS","FUNGICIDE, INSECTICIDE","No",
"FERTI-LOME TRIPLE ACTION","VOLUNTARY PURCHASING GROUPS","70051-111-7401","See alert at bottom of list","CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL, PYRETHRINS","FUNGICIDE, INSECTICIDE","No",
"FERTI-LOME TRIPLE ACTION R-T- S","VOLUNTARY PURCHASING GROUPS","70051-111-7401","See alert at bottom of list","CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL, PYRETHRINS","FUNGICIDE, INSECTICIDE","No",
"FRUIT TREE SPRAY PLUS","LAWN & GARDEN PRODUCTS INC.","70051-111-54705","See alert at bottom of list","CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL, PYRETHRINS","FUNGICIDE, INSECTICIDE","No",
"SHIELD-ALL PLUS BROAD SPECTRUM INSECTICIDE FUNGICIDE  MITICIDE","GARDENS ALIVE! INC.","70051-111-56872","See alert at bottom of list","CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL, PYRETHRINS","FUNGICIDE, INSECTICIDE","No",
"NATURE-CIDE ALL PURPOSE INSECTICIDE","PACIFIC SHORE HOLDINGS","NA",,"CLOVE OIL, COTTONSEED OIL","INSECTICIDE","No",
"BONIDE MITE X RTU","BONIDE PRODUCTS INC","NA",,"CLOVE OIL, COTTONSEED OIL, GARLIC OIL","MITICIDE","No",
"PESTOUT BROAD SPECTRUM MITICIDE/INSECTICIDE","JH BIOTECH INC.","NA",,"CLOVE OIL, COTTONSEED OIL, GARLIC OIL","MITICIDE, INSECTICIDE","No",
"SAFERGRO PEST OUT","JH BIOTECH INC.","NA",,"CLOVE OIL, COTTONSEED OIL, GARLIC OIL","MITICIDE, INSECTICIDE","No",
"ALL PER-PLUS CONCENTRATE","ALLPER-PLUS","NA",,"CLOVE OIL, GERANIUM OIL, ROSEMARY OIL",,"No",
"ALL PER-PLUS READY TO USE","ALLPER-PLUS","NA",,"CLOVE OIL, GERANIUM OIL, ROSEMARY OIL",,"No",
"SPIDER MITE KILLER","EXOTIC NUTRIENTS LLC","NA",,"CLOVE OIL, LEMONGRASS OIL, ROSEMARY OIL, SPEARMINT OIL","MITICIDE","NA",
"POWER SI CONTROL","HPI DISTRIBUTION CORP","NA",,"CLOVE OIL, PEPPERMINT OIL","INSECTICIDE","NO",
"ANNIHILATION","THE NANOTECHNICAL GROUP","NA",,"CLOVE OIL, ROSEMARY OIL","INSECTICIDE","NA",
