"agency_sponsor","title","short_description","start_date_time","end_date_time","state","details","contact_name","phone","contact_email","web_link","calendar_link","map_location","city","audience_type","registration_deadline"
"SCORE Portland ","2022's Hottest Businesses, Markets & Trends-SCORE Portland ","Will 2022 be a year of recovery or discovery? Or perhaps a bit of both? The start of a new year is the perfect time for small business owners and startups to learn the newest business trends and startup ideas.","2022-01-06T10:00:00.000","2022-01-06T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1514606&tp_key=1a7f070bc5&origination=https%253A//portlandor.score.org/pdx-score-workshops%253Ff%25255B0%25255D%253Dim_field_format_ref%25253A45%2526f%25255B1%25255D%253Dim_field_business_stage%25253A442)",,,,,
"Oregon Association of Minority Entrepreneurs (OAME)","  Coffee and Issues Meeting-Oregon Association of Minority Entrepreneurs (OAME)","  Coffee and Issues Meeting","2021-12-31T07:00:00.000","2021-12-31T08:30:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/event/coffee-and-issues/?instance_id=48)",,,,,
"SCORE Portland ","Critical Questions & Information Needed to Do Proper Business Planning-SCORE Portland ","Join this hands-on webinar session, led by SCORE Mentor John Tile, which will cover: The basics of a business plan and will provide a few samples A step-by-step process to develop the key information for your business plan What you will need in order to do a simple business plan for yourself and a more detailed business plan if you need a bank loan","2021-12-28T10:00:00.000","2021-12-28T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1512315&tp_key=5a748764d3&sti=scoreeventpage&origination=https%253A//portlandor.score.org/pdx-score-workshops%253Ff%25255B0%25255D%253Dim_field_business_stage%25253A442%2526f%25255B1%25255D%253Dim_field_format_ref%25253A45)",,,,,
"SCORE Portland ","Critical Questions & Information Needed to Do Proper Business Planning-SCORE Portland ","You have decided to start a business and fulfill your entrepreneurial spirit and dream of working for yourself. Starting a business is a tough decision and needs proper planning.  Believe it or not, there are several ways to methodically ask yourself the proper questions to determine if you are ready and what you need to do.","2021-12-28T10:00:00.000","2021-12-28T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1512315&tp_key=5a748764d3&sti=scoreeventpage&origination=https%253A//portlandor.score.org/pdx-score-workshops%253Ff%25255B0%25255D%253Dim_field_format_ref%25253A45%2526f%25255B1%25255D%253Dim_field_business_stage%25253A442)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ","2021-12-23T12:00:00.000","2021-12-23T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-12-21T09:00:00.000","2021-12-21T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"SCORE Portland ","Google My Business for Home-Based Business Owners - Get Found Without Using Your Home Address-SCORE Portland ","STOP! Before you show your home address on your Google My Business page, check out this workshop!  If you are using your home address in your Google My Business listing, or you haven't created an account because you don't want to use your home address on such a public forum, then this workshop is for you.","2021-12-16T10:00:00.000","2021-12-16T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1514595&tp_key=2aeb271ff4&origination=https%253A//portlandor.score.org/pdx-score-workshops%253Ff%25255B0%25255D%253Dim_field_format_ref%25253A45%2526f%25255B1%25255D%253Dim_field_business_stage%25253A442)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-12-16T09:00:00.000","2021-12-16T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Oregon Association of Minority Entrepreneurs (OAME)","  Eugene Coffee and Issues-Oregon Association of Minority Entrepreneurs (OAME)","OAME Eugene Coffee & Issues Meeting","2021-12-16T07:30:00.000","2021-12-16T09:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"Southern Oregon University SBDC","QuickBooks Series: Customer Accounting and Equity Accounts-Southern Oregon University SBDC","This virtual class, over Zoom in our QuickBooks Series, will cover liabilities, equity and how to record sales items with and without the use of accounts receivable. We will cover how to setup credit cards, loans, and discuss recording principal and interest correctly. We will discuss equity as it relates to comingling accounts and expenses, as well as how to setup Customers, and subcustomers for organizing jobs and projects. We will revisit appropriate treatment of recording sales and payment processor fees, and progress invoicing. If time permits, an introduction into job estimating will be given in this section.","2021-12-15T11:30:00.000","2021-12-15T13:30:00.000","PDT","Cost: $20",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=91410040)",,,,,
"Secretary of State","Advanced Notary Webinar","Free advanced training for current notaries ONLY","2021-12-15T09:00:00.000","2021-12-15T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"SCORE Portland ","The New Must Have Marketing Strategy For 2022-SCORE Portland ","2022 will bring in some fundamental changes to the way we market our products and services, requiring us to adjust strategies, campaigns, and budget.  Identifying opportunities now and preparing a thoughtful, streamlined, and inventive marketing plan that is relevant to today's consumer mindset and industry shifts will allow you to accelerate your financial goals and competitive edge.","2021-12-14T10:00:00.000","2021-12-14T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://portlandor.score.org/event/new-must-have-marketing-strategy-2022)",,,,,
"Klamath Community College SBDC","Smart Start-Up-Klamath Community College SBDC","A 2-hour class designed specifically for those considering self-employment or new to owning a business. Gain the information needed before you begin business. Topics include feasibility, market research, business plan basics, start-up financing, insurance, legal structures, registration & licensing, and much more! Participants will be provided with resources, handouts, and checklists!","2021-12-11T09:00:00.000","2021-12-11T11:00:00.000","PDT","Cost: $30",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=170410072)",,,,,
"Chemeketa Community College SBDC","Ready, Set, Start Your Business-Chemeketa Community College SBDC","Are you ready to start your business? Not sure if you have everything in order or you don’t know what you don’t know?   Begin your business the right way. Come and learn about:   business structure  business registration  licensing  taxes  miscellaneous rules and regulations","2021-12-10T12:00:00.000","2021-12-10T13:30:00.000","PDT","Cost: $49",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410078)",,,,,
"Oregon Association of Minority Entrepreneurs (OAME)","Veterans Committee-Oregon Association of Minority Entrepreneurs (OAME)","OAME Veterans Business Committee","2021-12-10T09:00:00.000","2021-12-10T10:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"Oregon Association of Minority Entrepreneurs (OAME)","Contractors & AEPT Meeting-Oregon Association of Minority Entrepreneurs (OAME)","Contractors & AEPT Meeting","2021-12-10T07:30:00.000","2021-12-10T09:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ","2021-12-09T12:00:00.000","2021-12-09T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"Columbia Gorge Community College SBDC","Writing an Effective Business Plan-Columbia Gorge Community College SBDC","A well thought out Business Plan is the cornerstone of any business. Learn the essential elements needed to plan for or to continue a successful business . In addition, the comprehensive elements of a SWOT analysis will be studied.","2021-12-09T09:00:00.000","2021-12-09T12:00:00.000","PDT","Cost: $25",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410154)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-12-09T09:00:00.000","2021-12-09T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Columbia Gorge Community College SBDC","-Columbia Gorge Community College SBDC","¿Estás interesado en iniciar tu propio negocio? En esta clase hablaremos de los requisitos y como planear y administrar tu negocio de comida.","2021-12-08T18:00:00.000","2021-12-08T20:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410171)",,,,,
"Columbia Gorge Community College SBDC","-Columbia Gorge Community College SBDC","Tienes una idea de negocio y no sabes por donde comenzar? Hablaremos de como iniciar un negocio, requisitos, registraciones y puntos de contacto.","2021-12-08T15:00:00.000","2021-12-08T17:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410159)",,,,,
"Mt. Hood Community College SBDC","What’s Missing in your Website and Social Media-Mt. Hood Community College SBDC","Whether you sell a product or service, your website and social media are the cornerstones of your marketing and visibility. Get a short checklist to find out what you are missing when it comes to marketing your business online.","2021-12-08T14:00:00.000","2021-12-08T16:00:00.000","PDT","Cost: $60",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=70410099)",,,,,
"Columbia Gorge Community College SBDC","Quien es tu cliente-Columbia Gorge Community College SBDC","Aquí te ayudaremos a identificar tu cliente meta, formas de llegar a tu cliente y crear un plan o estrategias para llegar a el.","2021-12-08T12:00:00.000","2021-12-08T14:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410173)",,,,,
" Lane Community College SBDC"," Intro to Entrepreneurship-Lane Community College SBDC","Learn about...  evaluating your business idea, essential business topics, the importance of market analysis, how to create a business plan, analyzing your idea, and building financial projections.","2021-12-08T11:00:00.000","2021-12-08T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=1410058)",,,,,
" Columbia Gorge Community College SBDC","Entendiendo estados financieros-Columbia Gorge Community College SBDC","En esta clase hablaremos de los estados financieros de tu negocio, como leerlos, como utilizarlos han la planeaciónde tu negocio y para comparar tu negocio con la industria en la que te encuentras.","2021-12-08T09:00:00.000","2021-12-08T11:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410166)",,,,,
"Blue Mountain Community College SBDC","Tax Preparation & Year End Assessment Basics-Blue Mountain Community College SBDC","It’s almost time to gather information and prepare taxes. This course will provide checklists and reminders about what is most important. The session will be engaging and full of helpful information for business owners to not only be ready for this year’s taxes, but also how to organize information for the future. A tool to review how the business performed through the year will be introduced. An introduction to how to use the year end information to make future decisions will be covered.","2021-12-08T09:00:00.000","2021-12-08T10:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=10410024)",,,,,
"Southern Oregon University SBDC","Hiring - Contractor or Employee and Employee Manuals-Southern Oregon University SBDC","This virtual class over Zoom is part of our ‘Learn at Lunch’ series. In this virtual class, you will learn when it is legal and appropriate to hire a contractor and when you should hire an employee.  The value of having an employee manual will be discussed, as well as what key policies you should include in your manual and other content to consider when writing your employee manual.","2021-12-07T12:00:00.000","2021-12-07T13:00:00.000","PDT","Cost: $20",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=91410042)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-12-07T09:00:00.000","2021-12-07T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Chemeketa Community College SBDC","Meet Your Small Business Development Center-Chemeketa Community College SBDC","Are you just starting out on your business journey? Not sure if owning a business is right for you? Are you wondering where to find out what you need and where you can get expert help to begin? Join us for this brief introduction to business ownership. Find out about the classes and coaching services available through SBDC and our partner organizations. ","2021-12-03T12:00:00.000","2021-12-03T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410084)",,,,,
"Clackamas Community College SBDC","Going Into Business-Clackamas Community College SBDC","Find out what's involved to start and operate a business in Oregon so you can determine if entrepreneurship is the right fit for you. Set yourself up for success and learn about resources that can assist you with financing, researching, and management.","2021-12-02T18:30:00.000","2021-12-02T21:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=40410055)",,,,,
"Columbia Gorge Community College SBDC","Developing your Business Brand-Columbia Gorge Community College SBDC","Learn to create a brand style guide to help you present your business consistently. Your visual brand acts as the guide to sharing your product or service both externally and internally and how you communicate your business effectively.","2021-12-02T13:00:00.000","2021-12-02T16:00:00.000","PDT","Cost: $25",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410136)",,,,,
"SCORE Portland ","Win Customers With Your Website-SCORE Portland ","How do you set your website up to win over customers? Your website has to attract and engage visitors, educate them about your products and services, and convert them into customers. Success begins with a plan!","2021-12-02T10:00:00.000","2021-12-02T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://portlandor.score.org/event/win-customers-your-website)",,,,,
"Secretary of State","Advanced Notary Webinar","Free advanced training for current notaries ONLY","2021-12-02T09:00:00.000","2021-12-02T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Blue Mountain Community College SBDC","Balance Sheets 101-Blue Mountain Community College SBDC","Small business owners need to know the basics about financial statements. This course will focus on the balance sheet and include a quick look at the income statement and cash flow analysis since all work together. The session will be engaging and full of helpful information for business owners to know about what their balance sheet tells them about the business and how to use it to maximize potential.","2021-12-02T09:00:00.000","2021-12-02T10:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=10410023)",,,,,
"Columbia Gorge Community College SBDC","Starting a New Business-Columbia Gorge Community College SBDC","Are you considering starting a business and don’t know where to start? This course will teach you about business registration, business structure, licensing and basic information needed to get your business started.","2021-12-02T09:00:00.000","2021-12-02T12:00:00.000","PDT","Cost: $25",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410148)",,,,,
"Central Oregon Community College SBDC","Preparing for Launch-Central Oregon Community College SBDC","Do you have a great idea that you think could be a successful business, but just don't know how to get started? Cover the basics in this two-hour class and decide if running a business is for you. ","2021-12-01T11:00:00.000","2021-12-01T13:00:00.000","PDT","Cost: $29",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=20410065)",,,,,
"The Small Business Administration (SBA) & Public Private Strategies Institute (PPSI)","Resources and Relief for Your Small Business - Access to Capital-The Small Business Administration (SBA) & Public Private Strategies Institute (PPSI)","The Small Business Administration (SBA) & Public Private Strategies Institute (PPSI) are providing educational opportunities for you to learn more about programs that will help your business get back on track. These sessions will take place every two weeks and run through December 2021.  This is part of an effort to ensure that American small businesses know about the many resources to help their business grow and additional resources to help their businesses thrive!","2021-12-01T11:00:00.000","2021-12-01T12:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://publicprivatestrategies.zoom.us/webinar/register/WN_kvOntye2SJuZ_idgIQWqng?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-12-01T09:00:00.000","2021-12-01T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"SCORE Portland ","Work Smarter, Not Harder: How to Systematically DO the Highest Value Activities in Your Business-SCORE Portland ","Everyone knows they’re supposed to work “smarter” not harder, but how do you actually get yourself to do this with an overfull to-do list that goes on for pages?  In the face of competing demands for your time and attention we’ll bottom line the way to actually DO “working smarter”, not theoretically, but practically speaking, from an “in the trenches” perspective. ","2021-11-30T10:00:00.000","2021-11-30T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1505286&tp_key=5009229758&sti=scoreeventpage)",,,,,
"U.S. Small Business Administration (SBA)","SBA Celebrates National Native American Heritage Month-U.S. Small Business Administration (SBA)","Join the U.S. Small Business Administration (SBA) for an online panel discussion with Native American business owners who will share their small business stories, how they pivoted during the pandemic, and the SBA resources they used to start and grow their businesses.","2021-11-30T10:00:00.000","2021-11-30T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.eventbrite.com/e/sba-celebrates-national-native-american-heritage-month-registration-213095031977?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-11-30T09:00:00.000","2021-11-30T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
" Chemeketa Community College SBDC","Salem Capitol Connections -Chemeketa Community College SBDC","Salem Capitol Connections provides Oregon entrepreneurs with opportunities to connect with public and private entities that lead to sustainable business relationships and opportunities.","2021-11-30T07:30:00.000","2021-11-30T09:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410037)",,,,,
"U.S. Small Business Administration","12th Annual Small Business Saturday","Small Business Saturday allows consumers to make an impact in their neighborhoods by supporting local small businesses from nearly every sector – from manufacturing to e-commerce, to Mom-and-Pop shops on Main Street. The day is designed to support local businesses that create jobs, boost the economy, and enliven neighborhoods around the country.","2021-11-27T06:00:00.000","2021-11-27T23:59:00.000","PDT","Cost: No fee",,,,"Shop Small Businesses (https://www.sba.gov/article/2021/nov/18/sba-administrator-encourages-americans-shopsmallr-12th-annual-small-business-saturdayr?utm_medium=email&utm_source=govdelivery)",,,,,
"Oregon Association of Minority Entrepreneurs (OAME)","Oregon Association of Minority Entrepreneurs (OAME)","Coffee and Issues Meeting - OAME Center 731 N. Hayden Meadows Dr. Main Conference Room Portland OR 97217","2021-11-26T07:00:00.000","2021-11-26T08:30:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"Columbia Gorge Community College SBDC","Entendiendo estados financieros-Columbia Gorge Community College SBDC","En esta clase hablaremos de los estados financieros de tu negocio, como leerlos, como utilizarlos han la planeaciónde tu negocio y para comparar tu negocio con la industria en la que te encuentras.","2021-11-24T18:00:00.000","2021-11-24T20:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410165)",,,,,
"Columbia Gorge Community College SBDC","Crear un menu que venda por ti-Columbia Gorge Community College SBDC","En esta clase hablaremos de las estrategias de posiciones de platillos en el menú, formulas para costos, entender los costos de cada platillo y como utilizar tu menú para que haga las ventas por ti.","2021-11-24T15:00:00.000","2021-11-24T17:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410161)",,,,,
"Columbia Gorge Community College SBDC","Iniciando un carro de comida-Columbia Gorge Community College SBDC","¿Estás interesado en iniciar tu propio negocio? En esta clase hablaremos de los requisitos y como planear y administrar tu negocio de comida.","2021-11-24T12:00:00.000","2021-11-24T14:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410170)",,,,,
"Columbia Gorge Community College SBDC","Comenzando tu negocio-Columbia Gorge Community College SBDC","Tienes una idea de negocio y no sabes por donde comenzar? Hablaremos de como iniciar un negocio, requisitos, registraciones y puntos de contacto.","2021-11-24T09:00:00.000","2021-11-24T11:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410158)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ","2021-11-23T12:00:00.000","2021-11-23T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"Klamath Community College SBDC","Smart Start-Up-Klamath Community College SBDC","A 2-hour class designed specifically for those considering self-employment or new to owning a business. Gain the information needed before you begin business. Topics include feasibility, market research, business plan basics, start-up financing, insurance, legal structures, registration & licensing, and much more! Participants will be provided with resources, handouts, and checklists!","2021-11-19T17:30:00.000","2021-11-19T19:30:00.000","PDT","Cost: $30",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=170410070)",,,,,
"Chemeketa Community College SBDC","Ready, Set, Start Your Business -Chemeketa Community College SBDC","Are you ready to start your business? Not sure if you have everything in order or you don’t know what you don’t know?   Begin your business the right way. Come and learn about: business structure, business registration, licensing, taxes, miscellaneous rules and regulations.  The information presented can help you eliminate mistakes before they happen. This fast-paced class is the perfect first step!","2021-11-19T12:00:00.000","2021-11-19T13:30:00.000","PDT","Cost: $49",,,,"Register and Pay  (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410077)",,,,,
