"overall_project_name","key_number","overall_description","overall_benefits","mntr_cd1","child_project_name","child_project_key_number","previous_project_cost","current_project_cost","previous_bid_opening_date","current_bid_opening_date","previous_completion_date","current_completion_date","create_date","region","opt","congressional_district","state_senate_district","state_representative_district"
"Monroe Street and U.S. 20 Intersection in Harney County","17095",,,,"US20/395: MONROE STREET (BURNS) INTERSECTION","14675","1022000","1022000","9/23/2010","9/23/2010","10/31/2011","10/31/2011","5/31/2013","5","L","2","30","60"
"Monroe Street and U.S. 20 Intersection in Harney County","17095","The Monroe Street and U.S. Highway 20 Intersection in Harney County project is located on a city street in Burns. It intersects with U.S. 20/U.S. 395 in the heart of Burns. Monroe Street leads to the Burns Paiute Tribe Casino and a recently zoned industrial area. The scope of the project is to reconfigure the intersection into a more typical simple ""T"" configuration with adequate space between other connecting city streets.Multiple businesses are located in the project limits, including: a credit union, a tire store, auto sales, state offices, and restaurants.","The project is needed to reduce traffic accidents and congestion. The intersection experiences a high number of accidents due to the current configuration, high local traffic volumes, and left-turn movements.","Construction is complete.",,,,,,,,,,,,,,
"Izee-Paulina Highway in Grant County","17094",,,,"IZEE - PAULINA HWY RECONSTRUCT","13959","4338089","4041838","1/12/2010","1/12/2010",,,"5/31/2013","5","L","2","30","59"
"Izee-Paulina Highway in Grant County","17094","The Izee-Paulina Highway in Grant County project will improve pavement condition and safety on the Izee-Paulina Highway, a county road in Grant County.The project will rehabilitate about 16 miles of pavement and address some minor curve corrections needed for safety improvements on the Izee-Paulina Highway.","The Izee-Paulina Highway is an east to west route that bisects the south west corner of Grant County, Oregon.  It is a rural route that extends through mostly public lands.  The eastern half of the route begins at US 395 south of Canyon City, Oregon.  It is the alternate route used to support traffic and freight movement during US 26 closures (usually related to spring flooding).

This route provides access for resource management forces traveling to the National Wild and Scenic River (South Fork) of the John Day River, the Black Canyon Wilderness of the Ochoco National Forest, the Strawberry Mountain Wilderness of the Malheur National Forest, and BLM and State Lands used for recreation.  It functions as the alternative route to US 26 for the transportation of timber, hay, livestock, other freight goods, and emergency services.

The pavement in the project location is fatigued and in need of rehabilitation.","Construction is complete.  Nice job!",,,,,,,,,,,,,,
"Interstate 84 Chain Up Areas East of Pendleton","17093",,,,"I84: REGION 5 CHAIN UP AREAS","16010","2701000","2867702","9/20/2012","9/20/2012","1/6/2014","1/6/2014","11/27/2013","5","S","2","V","V"
"Interstate 84 Chain Up Areas East of Pendleton","17093","Construction is Complete.  This is the last update for this project.Construction is Complete.  This is the last update for this project.","<P>During winter conditions trucks need additional space to pull off of Interstate 84 and install or remove tire chains to allow them to safely make it over the summits that occur through the Blue Mountain passes along Interstate 84.</P>
<P>A chain-up area adjacent to the freeway is valuable to help keep traffic moving safely and decrease congestion immediately adjacent to the travel lane. Along freeway sections where trucks do not have designated chain-up areas drivers sometimes stop on the freeway shoulders or directly in travel lanes to install or remove chains, creating extreme safety hazards for drivers and passing vehicles.</P>
<P>An increased number of designated areas for removing chains will also help extend the life of the pavement surface by reducing the number of chained trucks driving on bare pavement. Overall, chain-up areas provide a safe location for drivers to install or remove chains and improve mobility with fewer delays during winter storm events.</P>
<br><P>Note: $300,000 of JTA money was transferred from the ""I84: REGION 5 CHAIN UP AREAS"" project to the ""FFO-I-84:BALDOCK SLOUGH-SOUTH BAKER INTERCHANGE"" project in order to construct one of the chain-up locations. Bringing in the $21M Baldock Slough project increased the size of this project considerably. The bids came in low for the Baldock project, so the JTA funds were not needed and were returned to this Chain-up Areas project, and decreasing its size back to the original $4.7M.</P>","The first project is in the construction phase.  The second phase will bid in April 2013.",,,,,,,,,,,,,,
"State Highway 207/State Highway 206 Intersections","17092","The State Highway 207 and State Highway 206 Intersections project is located at the intersection of Oregon 207 and Oregon 206 in Morrow County. The project will realign or rebuild several intersections. Intersections will be improved at Shobe Canyon, Clarks Canyon, Rhea Creek, Gooseberry and Porcupine roads. Each of these roads are farm to market roads and are vital to Morrow County’s economy.","All of the roads mentioned above enter Oregon 207 and/or Oregon 206 at differing angles. Realigning each intersection at 90 degrees to the highway will allow traffic to negotiate turning movements more efficiently","Construction is complete.",,,,,,,,,,,,,,
"State Highway 207/State Highway 206 Intersections","17092",,,,"OR207: CORRIDOR SECTION IMPROVEMENTS (PHASE 2)","17140","392556","496408","3/7/2011","3/7/2011",,,"5/31/2013","5","L","2","30","57"
"Westland Road/Lamb/Walker Intersection Improvements Project","17091",,,,"WESTLAND RD/LAMB/WALKER INTERSECTION IMPROVEMENTS","16786","1036945","1004401","10/1/2009","10/1/2009",,,"1/2/2014","5","L","2","29","57"
"Westland Road/Lamb/Walker Intersection Improvements Project","17091","The Westland Road in Umatilla County project is located on Westland Road, a county road in Umatilla County. The Westland Road project consists of designing and constructing improvements at the Lamb Road, Walker Road, and Westland Road Intersection located south-west of Hermiston. 
 Improvements include realigning Lamb Road to be the through roadway and realigning Walker Road and Westland Road to tee into Lamb Road. Utility coordination and relocation may be necessary pending preliminary design. Right-of-way acquisition is necessary for the project on Lamb Road and Walker Road. Bridge widening may be necessary on Westland Road pending preliminary design. Overlaying the approach roads will be considered during the design process depending on an analysis of the available funding.","The main benefit of this project will be to improve the intersection safety by realigning the approach roads and making Lamb Road the through roadway. Lamb Road was selected to be the through roadway by Umatilla County in 2006 as a part of a feasibility study that presented several alternatives.","Construction is complete..",,,,,,,,,,,,,,
"State Highway 82 Alternate: Enterprise-Joseph","17090",,,,"STATE HIGHWAY 82 ALTERNATE: ENTERPRISE-JOSEPH","16785","5122962","5109274","4/16/2013","4/16/2013",,,"5/31/2013","5","L","2","29","57"
"State Highway 82 Alternate: Enterprise-Joseph","17090","This State Highway 82 Alternate Route in Wallowa County project is located along Hurricane Creek Road in Wallowa County. This project will rebuild Hurricane Creek Road. <P>This roadway serves as the only alternate route to Oregon 82 between the communities of Enterprise and Joseph. This project is identified within the local Transportation System Plan and will improve the alternate route to Oregon 82 for vehicle and bike/pedestrian traffic.</P>

<P>The planned improvements for this project include: rebuilding the roadway, improving two curves, providing a visitor turn-out, widening the roadway, and adding shoulders that accommodate bicyclists.</P>","<P>Conditions along Hurricane Creek Road have deteriorated over time. Currently the roadway suffers from frost heave and contains two curves that need realignment to alleviate safety concerns. During the spring, summer, and fall months, the roadway is used as a vehicle and bicycle scenic route by folks visiting the area.</P>

<P>Adding a vehicle turn-out and shoulders for bicycles and pedestrians will help delineate traffic from the other facility users, creating a safer environment along Hurricane Creek Road. These elements will remove users from the state high-way system, thereby reducing safety conflicts along Oregon 82.During the winter months Hurricane Creek Road provides an alternative route where viable alternate to Oregon 82 is not currently available.</P>","The project has bid, Kerr Construction has notice to proceed, starting work May 20th.",,,,,,,,,,,,,,
"Pierce Road Improvements (Union County)","17089","The Pierce Road Improvements in Union County project is located on Pierce Road, a Union County road. The project consists of roadway improvements for Pierce Road from Oregon 203 north to Oregon 82 for an approximate length of 3.7 miles, and roadway improvements on Airport Road east of Pierce Road for an approximate length of 0.6 mile. <P>Pierce Road is a farm to market road. Major connections are Oregon 82, Oregon 237, US 30, and I-84.</P>
<P>The roadway improvements for Pierce Road consist of shoulder widening, asphalt base repair, asphalt overlay, and related improvements. The roadway section will have 26 feet of asphalt surfacing and 2-foot gravel shoulders on each side. Roadside slopes will be flattened to improve safety. The roadway improvements on Airport Road consist of asphalt base repair and asphalt overlay. No right-of-way will be needed for either section of roadway and very limited utility work will be required.</P>","Pierce Road is a primary connector road between state Oregon 82, Oregon 237, and Oregon 203. It is also the primary access to the La Grande/Union County Airport. Pierce Road also provides access to major industries including Boise Cascade, two travel trailer manufacturers, and the Union County Airport Business Park. The existing pavement structure is at the end of its useful life and an overlay is needed to preserve the existing pavement. The existing roadway section varies in width and shoulder slopes at many locations are steeper than 3:1. Shoulder grading is needed to improve safety. The Airport Road pavement surface is at the end of its useful life and an overlay is needed to preserve the existing pavement.","Construction is Complete.  This is the last update for this project.",,,,,,,,,,,,,,
"Pierce Road Improvements (Union County)","17089",,,,"PIERCE ROAD IMPROVEMENTS","16784","4977824","5000000","1/5/2011","1/5/2011",,,"11/27/2013","5","L","2","29","57"
"NW Washington Ave (Ontario) Realignment","17088",,,,"NW WASHINGTON AVENUE REALIGNMENT","16783","7952741","4452741","9/30/2012","9/30/2012",,,"2/1/2019","5","L","2","30","60"
"NW Washington Ave (Ontario) Realignment","17088","NW Washington Avenue is located in Ontario, Oregon. The street is a secondary route that connects the downtown retail and commercial areas to Oregon 201 and I84 at the North Ontario Interchange. The project will reconstruct a portion of NW Washington Avenue on a new alignment. <P>The North Ontario Interchange has just recently been completed. As part of that project, the intersection of NW Washington and Oregon 201 was moved away from the interchange to allow for safer traffic flow. A portion of NW Washington Avenue must now be realigned to allow for safer and more efficient traffic flow on NW Washington Avenue.</P>

<P>Some of the design elements include: new pavement, curb, gutter and sidewalks, drainage, and water and sewer improvements.</P>","The project is needed to improve the safety and efficiency of the existing route.","The project construction is complete.  ODOT Right of Way is finishing up the property transfers and jurisdictional exchanges before the project is closed.  Some remaining JTA funds will go toward additional components within the project boundaries.  The City of Onatario is currently working to define this proposed work..",,,,,,,,,,,,,,
"Interstate 84 Spring Creek Climbing Lane","17087",,,,"FFO - I-84: GLOVER INTERCHANGE - ORO DELL","16021","1381000","1381000",,,,,"6/17/2016","5","S","2","28","58"
"Interstate 84 Spring Creek Climbing Lane","17087",,,,"FFO-I-84 KAMELA INTCHG - 2ND ST UXING (LA GRANDE)","17989","46860100","42870635","4/11/2013","4/11/2013","8/15/2016","8/15/2016","6/17/2016","5","S","2","29","57"
"Interstate 84 Spring Creek Climbing Lane","17087",,,,"I84: SPRING CREEK CLIMBING LANE","16799","204000","204000",,,,,"8/20/2015","5","S","2","29","57"
"Interstate 84 Spring Creek Climbing Lane","17087","The Interstate 84 Spring Creek Climbing Lane project is located in Union County and will construct a third lane between mile posts 246.6 and 248.1 westbound. At completion of the project, commercial vehicles would be restricted to the right lanes, keeping the left lane open to passenger vehicles. This allows passenger vehicles to proceed at posted speeds without delay when commercial vehicles overtake each other. In the winter this would also allow emergency and winter maintenance vehicles to navigate around trucks that have blocked the truck lanes. New 12-foot-wide travel lanes for trucks will be constructed of concrete to withstand wear and extend the life of the new roadway.","<P>The project would alleviate bottlenecks that occur when both lanes of the interstate are being used by commercial vehicles, serving to improve freight mobility and minimize delays for passenger vehicles.</P>
<P>The six percent westbound grade on I-84 at Spring Creek is a frequent and year-round bottleneck for freeway traffic. In the summer months the differential speeds between large vehicles and passenger vehicles creates traffic safety issues. When large vehicles overtake each other at slow speeds, traffic delays occur as passenger vehicles are delayed behind the slow moving vehicles. In the winter months, large vehicles frequently spin out on the grade which blocks the freeway. This section experiences frequent and lengthy winter related closures. The mountainous terrain precludes alternative routes for this section. As a result, the closures become a large burden to freight and passenger mobility through Eastern Oregon.</P>","The project is complete.  This is the last update on this project.  6/17/16",,,,,,,,,,,,,,
"Chandler Lane Reconstruction (Baker County)","17086",,,,"CHANDLER LANE RECONSTRUCTION (BAKER COUNTY)","16782","2429000","2429000","10/1/2009","10/1/2009",,,"12/23/2013","5","L","2","30","60"
"Chandler Lane Reconstruction (Baker County)","17086","The Chandler Lane Reconstruction in Baker County project is located on Chandler Lane, a county road.The project will reconstruct Chandler Lane between I-84 and U.S. 30 to provide an alternate truck route.","<P>Increasing traffic in the interchange area coupled with future development will create additional conflict points than can be mitigated by constructing a local parallel street network to move traffic away from the interchange.</P>
<P>The project will enhance freight mobility by providing a connector between I-84 and U.S. 30. Chandler Lane is the first east/west crossing of the Powder River, approximately five miles north of the Baker City limits and Hughes Lane. The project would solve a line of sight safety issue at the Powder River Bridge by increasing the road grade elevation at the bridge’s east approach.</P>","Construction is completete.",,,,,,,,,,,,,,
"Chico Road Reconstruction (Baker County)","17085",,,,"CHICO ROAD RECONSTRUCTION (BAKER COUNTY)","16781","622000","622000","9/30/2012","9/30/2012",,,"12/23/2013","5","L","2","30","60"
"Chico Road Reconstruction (Baker County)","17085","This Chico Road Reconstruction in Baker County project is located on Chico Road, a county road.The project will reconstruct Chico Road, a freight route to the Elkhorn View Industrial Park. The project is in Baker County’s Transportation System Plan.","Chico Lane is a critical freight route in Baker County. The project will improve freight mobility by enhancing the route’s ability to handle heavy loads and to function as a connector between Baker City’s truck route and U.S. 30. The project will improve congestion by increasing the use of this route and relieving congestion on Pocahontas Road.  The reconstruction of Chico Road will enhance safety for trucks traveling south on U.S. 30 by removing congestion at the intersection of U.S. 30 and Pocahontas Road.","Construction is complete.",,,,,,,,,,,,,,
"U.S. Highway 97: Redmond Reroute Phase 2","17084",,,,"5TH ST & 6TH ST: EVERGREEN TO JACKPINE (REDMOND)","17907","6089000","6066025","7/19/2012","7/19/2012","10/31/2014","10/31/2014","2/24/2015","4","L","2","27","53"
"U.S. Highway 97: Redmond Reroute Phase 2","17084","The U.S. Highway 97: Redmond Reroute, Phase II project will reconstruct 6th Street from Deschutes Avenue to Jackpine Avenue. <P>The project will include the following elements:</P><UL><LI>The section from Deschutes Avenue to Antler Avenue will be constructed to the City’s new downtown modernized concrete section, including stamped crosswalks, colored intersections and parking areas, mid-block crosswalks, curb extensions, street furniture and landscape amenities, etc.</LI><LI>The section from Antler Avenue to Jackpine Avenue will be reconstructed and modernized with an asphalt section, but will also include limited curb extensions and similar urban amenities.</LI><LI>The project includes off-site stormwater improvements in the Greenwood/ Fir Avenue area to pipe stormwater from downtown to the Dry Canyon (west), as well as piping upgrades to the existing stormwater lines in Kingwood/Jackpine Avenue.</LI><LI>Existing traffic signals will be replaced at the intersections of Evergreen Avenue with 5th and 6th Streets, and Black Butte Avenue and 6th Street.  A new traffic signal will be installed at the intersection of Black Butte Avenue and 5th Street.</LI></UL>","For the past 50 years, 5th/6th Street has served as US 97 through Redmond. The Project will reconstruct 6th Street in downtown Redmond to restore it to a modernized condition and replace a grossly deteriorated paved surface. The Project will help revitalize downtown Redmond and build upon the investment of the first phase of the US 97 Reroute project as well as the ARRA funded 5th Street Reconstruction Project and the City’s 6th Street Demonstration Project (Urban Renewal funded).","The project project was completed in October 2013.",,,,,,,,,,,,,,
