Hospital Name,Procedures Performed,Procedure Type,Observed Infections,Predicted Infections,2016 SIR,SIR 95% CI,SIR Interpretation (2006-08 US Baseline),2013 HHS Targets,Percentile on 2014 National SIR Distribution,County,HPP Region,Location 1,SIR Icon,Benchmark Icon,2010 House Districts,2010 Senate Districts,Counties
Providence Portland Medical Center,591,KPRO,1,4.24,0.236,"0.012, 1.163",Fewer infections,SIR Target (<0.75) Met,36-40%,MULTNOMAH,Region1,"4805 NORTHEAST GLISAN STREET
PORTLAND 97213
(45.52742, -122.6137641)",https://data.oregon.gov/views/2dni-sbp5/files/8c7ae4ca-5544-47a9-933e-70ca19861ce5,https://data.oregon.gov/views/2dni-sbp5/files/079d8aff-fbc6-4d12-bda7-59da237a632b,46,23,2410
Providence Seaside Hospital,27,KPRO,1,0.14,*,*,#s too small to calculate,,*,CLATSOP,Region1,"725 SOUTH WAHANNA ROAD
SEASIDE 97138
(45.9890003, -123.9120832)",,,32,16,2318
Providence St. Vincent Medical Center,525,KPRO,3,3.92,0.765,"0.195, 2.082",Fewer infections,Target Not Met,66-70%,WASHINGTON,Region1,"9205 SOUTHWEST BARNES ROAD
PORTLAND 97225
(45.5106612, -122.7718284)",https://data.oregon.gov/views/2dni-sbp5/files/97fc608e-8afc-4808-ab63-1895a39c59f3,,34,17,724
Providence Willamette Falls Medical Center,295,KPRO,1,1.82,0.55,"0.028, 2.714",Fewer infections,SIR Target (<0.75) Met,51-55%,CLACKAMAS,Region1,"1500 DIVISION STREET
OREGON CITY 97045
(45.3559686, -122.5880138)",https://data.oregon.gov/views/2dni-sbp5/files/4761beaf-8c47-4eb4-b521-f6eaaa1b95ab,https://data.oregon.gov/views/2dni-sbp5/files/24b48012-df7f-41da-ac60-59c2e3f57a73,40,20,2317
Sacred Heart Medical Center - Riverbend,1062,KPRO,1,8,0.125,"0.006, 0.616",Statistically fewer infections,SIR Target (<0.75) Met,31-35%,LANE,Region3,"3333 RIVERBEND DR
SPRINGFIELD 97477
(44.080908, -123.026475)",https://data.oregon.gov/views/2dni-sbp5/files/dc71e6cf-b777-43aa-86cb-58c76ea2f96c,https://data.oregon.gov/views/2dni-sbp5/files/e73bdbdf-8e27-4f72-9b87-a74a2536b0eb,12,6,2371
Salem Hospital,818,KPRO,7,4.25,1.646,"0.720, 3.256",More infections,Target Not Met,91-95%,MARION,Region2,"890 Oak St SE, Salem, OR 97301
SALEM 97301
(44.932538, -123.033944)",https://data.oregon.gov/views/2dni-sbp5/files/1203993c-8ba5-4e07-b52b-b5eebce80a67,,21,11,2409
Samaritan Albany General Hospital,176,KPRO,0,1.2,0," , 2.503",Fewer infections,SIR Target (<0.75) Met & ZERO Infections,0-30%,LINN,Region2,"1046 6TH AVENUE SOUTHWEST
ALBANY 97321
(44.631601, -123.1162322)",https://data.oregon.gov/views/2dni-sbp5/files/f7347f24-9464-44cd-b1d4-378e1599c952,https://data.oregon.gov/views/2dni-sbp5/files/4fb850ed-8804-4bb4-b3fd-b3cf509b3d5c,15,8,2407
Samaritan North Lincoln Hospital,13,KPRO,1,0.08,*,*,#s too small to calculate,,*,LINCOLN,Region2,"3043 NORTHEAST 28TH STREET
LINCOLN CITY 97367
(44.9855152, -123.9963271)",,,10,5,2372
Samaritan Pacific Communitites Hospital,19,KPRO,1,0.11,*,*,#s too small to calculate,,*,LINCOLN,Region2,"930 SOUTHWEST ABBEY STREET
NEWPORT 97365
(44.6291047, -124.0597775)",,,10,5,2372
Santiam Memorial Hospital,13,KPRO,0,0.06,*,*,#s too small to calculate,ZERO Infections,*,MARION,Region2,"1401 NORTH 10TH AVENUE
STAYTON 97383
(44.8051122, -122.7847402)",,https://data.oregon.gov/views/2dni-sbp5/files/78d394bf-13e7-4c0d-a778-26614475c9b0,17,9,2409
Silverton Hospital,200,KPRO,1,0.85,*,*,#s too small to calculate,,*,MARION,Region2,"342 FAIRVIEW STREET
SILVERTON 97381
(45.0044832, -122.7899933)",,,18,9,2409
Sky Lakes Medical Center,240,KPRO,1,1.4,0.715,"0.036, 3.525",Fewer infections,SIR Target (<0.75) Met,66-70%,KLAMATH,Region7,"2865 DAGGETT AVENUE
KLAMATH FALLS 97601
(42.2529597, -121.7846535)",https://data.oregon.gov/views/2dni-sbp5/files/7ba61a83-fd35-493a-ab5c-f4bb6ca61d6e,https://data.oregon.gov/views/2dni-sbp5/files/6ba616a4-f873-4b4e-8aed-af0a88ee12d7,56,28,2369
St. Alphonsus Medical Center - Baker City,55,KPRO,1,0.22,*,*,#s too small to calculate,,*,BAKER,Region9,"3325 POCAHONTAS ROAD
BAKER CITY 97814
(44.794763, -117.846872)",,,60,30,2315
St. Alphonsus Medical Center - Ontario,116,KPRO,0,0.76,*,*,#s too small to calculate,ZERO Infections,*,MALHEUR,Region9,"351 SW 9TH STREET
ONTARIO 97914
(44.025249, -116.976891)",,https://data.oregon.gov/views/2dni-sbp5/files/7b0ab5f0-2401-4d40-b33e-a798b1f6c27e,60,30,2408
St. Anthony Hospital,71,KPRO,0,0.36,*,*,#s too small to calculate,ZERO Infections,*,UMATILLA,Region9,"2801 st. anthony way
PENDLETON 97801
(45.648587, -118.812262)",,https://data.oregon.gov/views/2dni-sbp5/files/1c567f55-608f-4f14-ac1b-c59bc2108748,58,29,2413
St. Charles Medical Center - Bend,938,KPRO,4,4.72,0.848,"0.269, 2.046",Fewer infections,Target Not Met,71-75%,DESCHUTES,Region7,"2500 NORTHEAST NEFF ROAD
BEND 97701
(44.067636, -121.2693136)",https://data.oregon.gov/views/2dni-sbp5/files/8822c18f-e38e-4721-93c8-3f5f9016c4ec,,54,27,2362
St. Charles Medical Center - Redmond,17,KPRO,0,0.07,*,*,#s too small to calculate,ZERO Infections,*,DESCHUTES,Region7,"1253 NORTH CANAL BOULEVARD
REDMOND 97756
(44.288663, -121.1696273)",,https://data.oregon.gov/views/2dni-sbp5/files/9d211f7c-30c2-447c-8903-b66982742ae9,53,27,2362
Tillamook County Hospital,29,KPRO,0,0.15,*,*,#s too small to calculate,ZERO Infections,*,TILLAMOOK,Region2,"1000 3RD STREET
TILLAMOOK 97141
(45.4566359, -123.8544868)",,https://data.oregon.gov/views/2dni-sbp5/files/30e6b000-7d8c-42ed-bc3a-99d8670d7dcd,32,16,2412
Tuality Community Hostpital,125,KPRO,0,0.68,*,*,#s too small to calculate,ZERO Infections,*,WASHINGTON,Region1,"335 SOUTHEAST 8TH AVENUE
HILLSBORO 97123
(45.5194749, -122.9781033)",,https://data.oregon.gov/views/2dni-sbp5/files/e025da94-7994-415e-ba8a-08d642c1a3f4,29,15,724
Willamette Valley Medical Center,51,KPRO,0,0.33,*,*,#s too small to calculate,ZERO Infections,*,YAMHILL,Region2,"2700 SOUTHEAST STRATUS AVENUE
MCMINNVILLE 97128
(45.1990006, -123.164851)",,https://data.oregon.gov/views/2dni-sbp5/files/6634a2c9-3f9d-41c6-adb5-d065dcd94872,24,12,2453
