"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,Webinar/Webcast Link,Owner,Agenda Upload,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Accountancy State Board,BOA CPE Committee,"BOA, CPE Committee ",09/11/2012 01:30:00 PM,09/11/2012 03:30:00 PM,"3218 Pringle Rd, SE, #110", Salem,OR,"August 27, 2012


NOTICE OF PUBLIC MEETING
BOARD OF ACCOUNTANCY
CONTINUING PROFESSIONAL EDUCATION (CPE) COMMITTEE

The Oregon State Board of Accountancy's Continuing Professional Education Committee (CPE) will hold its regularly scheduled meeting September 11, 2012 at 1:30 p.m. via teleconference as outlined below.

Primary agenda topics include, but are not limited to, discussion for recommendations to the Board regarding Municipal Auditor Applicants, CPE courses, and licensee reinstatements.

A request for an interpreter for the hearing impaired or any other accommodations for persons with disabilities should be made to the Board office at least 48 hours prior to the meeting.

For more information:
Cathy Orias – Phone: 503-378-2270 - Cathy.orias@state.or.us 
Heather Shepherd – 503-378-2262 - Heather.shepherd@state.or.us
Board of Accountancy Main Phone:  503-378-4181.",Yes,Cathy Orias,503-378-2270,cathy.orias@state.or.us,https://oregon.gov/boa,,,Cathy Orias,503-378-2270,cathy.orias@state.or.us,,877-326-2337,9901145150,,,,cathy.orias@state.or.us,,,,,
Accountancy State Board,Peer Review Oversight Committee,Discussion of Peer Review Oversight issues,09/25/2012 10:00:00 AM,09/25/2012 12:00:00 PM,"3218 Pringle Rd SE, #110", Salem,OR,"Principal subjects to be discussed at the meeting include, but are not limited to, recommendations to the Board regarding peer review issues.",Yes,Heather Shepherd,503-378-2262,heather.shepherd@state.or.us,http://cms.oregon.egov.com/BOA/Pages/about_us.aspx,,,David Hunter,503-378-2235,david.hunter@state.or.us,,,,,,,cathy.orias@state.or.us,,,,,
Accountancy State Board,Laws and Rules Task Force,review of statute and rule changes,01/06/2014 10:30:00 AM,,3218 Pringle Rd SE 2nd Floor Conference Room, Salem,OR,Task force reviews possible statutory and administrative rule changes.,,Kimberly Fast,503.378.2268,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/TrMdGog4lQ7skv3zSW9Ho7ZgPcuQUoh62L1laqP7PDw?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,CPE Committee Meeting,Board of Accountancy Continuing Professional Education Committee,11/06/2012 01:30:00 PM,11/06/2012 03:00:00 PM,"3218 Pringle Road SE, #110", Salem,OR,"Board of Accountancy Continuing Professional Education Committee
The Oregon State Board of Accountancy's Continuing Professional Education Committee (CPE) will hold its regularly scheduled meeting November 6, 2012 at 1:30 p.m. via teleconference as outlined below.

Primary agenda topics include, but are not limited to, discussion for recommendations to the Board regarding Municipal Auditor Applicants, CPE courses, and licensee reinstatements.

Committee members and the public may participate in this teleconference by calling the number noted below and entering the conference ID access code.  Members and the public may also attend in person at the Board of Accountancy business office located at 3218 Pringle Rd SE, Suite 110, Salem, OR  97302

Please dial:  877-326-2337
Enter Conference ID Access Code:  9901145150

A request for an interpreter for the hearing impaired or any other accommodations for persons with disabilities should be made to the Board office at least 48 hours prior to the meeting.

For more information:
Cathy Orias – Phone: 503-378-2270 - Cathy.orias@state.or.us 
Main Phone:  503-378-4181.",Yes,Cathy Orias,503-378-2270,cathy.orias@state.or.us,http://www.oregon.gov/boa/Pages/index.aspx,,,,David Hunter,david.r.hunter@state.or.us,,877-326-2337,9901145150,,,,cathy.orias@state.or.us,,,,,
Accountancy State Board,Board of Accountancy Meeting,Board Meeting,10/21/2012 08:30:00 AM,10/22/2012 05:00:00 PM,"3218 Pringle Rd SE, 2nd Floor Conf Rm", Salem,OR,"The Oregon Board of Accountancy will meet for Board Work Session and Regular Board Meeting October 21-22, 2012.",Yes,Kimbely Sisk,503-378-2268,kimberly.sisk@state.or.us,http://www.oregon.gov/BOA/Pages/Public-Meeting-Notices.aspx,,,David Hunter,503-378-4181,david.hunter@state.or.us,,,,http://www.oregon.gov/BOA/Pages/Public-Meeting-Notices.aspx,,,cathy.orias@state.or.us,,,,,
Accountancy State Board,Qualifications Committee Meeting,Discuss potential CPA applications,04/23/2014 09:00:00 AM,,Telephone Conference, Salem,OR,,,Marika Garvey,,marika.b.garvey@oregon.gov,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/O9JFyIpCw41i1txC6BBeX5cWadA-Xz1ks8So0uxmHtU?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Board Meeting,Review Proposed Orders and Approve Applications,05/05/2014 08:30:00 AM,,Conference Call, Salem,OR,,Yes,Kimberly Fast,,kimberly.fast@oregon.gov,,,,,,,,1-877-326-2337,9901145150,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/Lzl_nu61VfAqGY3mSR544L8oO-VqbkzXYbZjPGa_uy4?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Public Board Meeting,Reveiw Committee and Board activity,06/02/2014 08:30:00 AM,,"Board of Accountancy Office, 2nd floor conference room", Salem,OR,,,Kimberly Fast,,kimberly.fast@oregon.gov,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/ouHVe9nuWUm8SLEv2yv1AT1ufrukOu25nU9HDKK1wlk?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Work Session,Work Session planning meeting,10/20/2013 08:30:00 AM,10/20/2013 03:00:00 PM,3218 Pringle Rd Large Conference Room , Salem,OR,Board work session and planning meeting.  Discuss various topics,,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/00000000-0000-0000-0000-000000000000?,,,,
Accountancy State Board,CPE Committee Meeting,Review applications for Municipal licenses,06/24/2014 12:00:00 PM,,Telephone Conference, Salem,OR,Review applications for applicants applying for the municipal roster.,,Kristen Adamson,,kristen.m.adamson@oregon.gov,,,,,,,,1-877-326-2337,9901145150,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/IziAdk3DTr_o025-KFQKhHNTxtc0djtTkuPw29y0ldI?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Board of Accountancy ,Board of Accountancy - Regular Board Meeting,10/22/2012 08:30:00 AM,10/22/2012 05:00:00 PM,3218 Pringle Rd SE 2nd Floor Conf Room, Salem,,"The Board of Accountancy will be holding a Board Work Session on October 21, 2012 and Regular Board Meeting On October 22, 2012.",Yes,Kimberly Sisk,503-378-2268,cathy.orias@state.or.us,http://www.oregon.gov/BOA/Pages/Public-Meeting-Notices.aspx,,,David Hunter,503-378-4181,david.hunter@state.or.us,,,,http://www.oregon.gov/BOA/Pages/Public-Meeting-Notices.aspx,,,cathy.orias@state.or.us,,,,,
Accountancy State Board,Work Session,Review Rule and Policy Changes,06/01/2014 08:30:00 AM,06/01/2014 03:00:00 PM,"BOA Office, 2nd Floor Conference Room", Salem,OR,,,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/ttgTwOcsCmkmYVNyZfWDu_07Os1tj3C-KUMXG1Ca_nY?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Board Meeting,Regular Board Meeting,10/21/2013 08:30:00 AM,10/21/2013 04:00:00 PM,3218 Pringle Rd SE Large Conference Rooom, Salem,OR,,yes,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/00000000-0000-0000-0000-000000000000?,,,,
Accountancy State Board,BOA Qualifications Committee,Regularly scheduled meeting of Qualifications Committee by Teleconference,09/19/2012 09:00:00 AM,09/19/2012 10:30:00 AM,"3218 Pringle RD, SE, Ste. #110", Salem,OR,"Purpose of BOA Qualifications Meeting:
Principal subjects to be discussed at the meeting include, but are not limited to, recommendations to the Board regarding Certified Public Accountant Certificates and Public Accountant license applications filed with the Board of Accountancy.",Yes,Heather Shepherd,503,heather.shepherd@state.or.us,http://cms.oregon.gov/BOA/pages/meetings.aspx,,,David Hunter,503-378-2235,,,877-326-2337,9901145150,,,,cathy.orias@state.or.us,,,,,
Accountancy State Board,Administrative Rule Hearing,Review Proposed Administrative Rule Changes,12/11/2014 01:00:00 PM,12/11/2014 02:00:00 PM,3218 Pringle Rd SE - 2nd Floor Conference, Salem,OR,,Yes,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Special Board Meeting ,Oregon Board of Accountancy Special Board Meeting by Telephone Conference,11/06/2012 10:00:00 AM,11/06/2012 12:00:00 PM,"3218 Pringle Rd SE, 1st Floor Conference Room", Salem,OR,"NOTICE OF PUBLIC MEETING
OREGON BOARD OF ACCOUNTANCY
Special Board Meeting by Telephone Conference
Tuesday, November 6, 2012 at 10:00 a.m.
Morrow Crane Building
3218 Pringle Rd SE, Salem, Oregon 
1st Floor Conference Room

AGENDA
Purpose of Meeting:  Consideration of DAS CIO report on the Oregon Board of Accountancy Replacement System (OBARS), the online licensing project, review and acceptance of Board meeting minutes and other items
An executive session pursuant to ORS 192.660(2)(h) to consult with legal counsel regarding potential anticipated  litigation.  Executive Sessions are closed to the public.  The Board anticipates that the public portion of the meeting will begin at approximately 10:30.
10:00 a.m.
Executive Session pursuant to ORS 192.660(2)(h)

10:30 a.m.
1.	Call to Order and approval of agenda (public meeting)
2.	Announce recording of meeting
3.	Approval of Minutes
	A.	August 6, 2012 Public Session
	B.	October 21, 2012 Public Session
	C.	October 22, 2012 Public Session
4.	Discussion on DAS CIO OBARS Review
5.	Scott Winegardner Lic # 9367 Reinstatement Application
6.	Keith Wilhelm Stipulation and Order
7.	2013 Proposed Board and Committee Meeting Calendar

*Some, but not all, Board members may appear by telephone
The meeting location is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities, should be made at least 48 hours before the meeting to Kimberly Sisk at 503.378.2268",Yes; public session portion,Kimberly Sisk,503-378-2268,kimberly.sisk@state.or.us,http://www.oregon.gov/boa/Pages/index.aspx,,,Kimberly Sisk,503-378-2268,kimberly.sisk@state.or.us,,877-326-2337,9901145150,http://www.oregon.gov/BOA/Pages/meetings.aspx,,,cathy.orias@state.or.us,,,,,
Accountancy State Board,Board Meeting,Review compliance and licensing files,10/20/2015 08:00:00 AM,10/20/2015 05:00:00 PM,3218 Pringle Rd SE - Large Conference Room, Salem,OR,,,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Complaints Committee,Review complaints filed with the Board office,07/15/2013 08:30:00 AM,,"Board Office, 2nd Floor Conference Room", Salem,OR,,,Bethany Reeves,,bethany.reeves@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Qualifications Committee,Review CPA Applications,05/03/2013 10:00:00 AM,,Board Office/Telephone, Salem,OR,,,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Qualifications Committee Meeting,Review applications for indivuduals with experience in Industry,05/05/2015 09:00:00 AM,05/05/2015 11:00:00 AM,Phone Conference, Salem,OR,Review applications for licensure for those who received experience in industry.,,Joel Parks,503-378-2262,joel.parks@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Continuing Professional Education Committee,Review municipal auditor applications,04/28/2015 01:00:00 PM,04/28/2015 03:00:00 PM,Telephone Meeting, Salem,OR,,,Kristen Adamson,503-378-2264,kristen.m.adamson@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Complaints Committee,review complaint case files,05/14/2013 08:30:00 AM,,3218 Pringle Rd SE 2nd Floor , Salem,OR,,,Bethany Reeves,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Continuing Professional Education Committee,Review applications for Municipal licenses,09/10/2013 01:30:00 PM,,Telephone Conference, Salem,,,,Heather Shepherd,,heather.shepherd@state.or.us,,,,,,,,1-877-326-2337,9901145150,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/00000000-0000-0000-0000-000000000000?,,,,
Accountancy State Board,CPE Committee Meeting,Review Municipal Auditor Applications,04/22/2014 01:30:00 AM,,Telephone Conference, Salem,OR,,,Kristen Adamson,,kristen.m.adamson@oregon.gov,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/C0p-b2VITV9GF7pjz5UtUY9M96nUcDvKYL0Q1YcOYmY?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Peer Review Oversight Committee,Peer Review Activities and Contract Review,01/17/2013 10:00:00 AM,01/15/2013 12:00:00 PM,Telephone Conference, Salem,OR,,,Kimberly Sisk,503-378-4181,kimberly.sisk@state.or.us,,,,,,,,1-877-326-2337,9901145150,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Special Board Meeting,Approve Minutes and discuss various topics,03/18/2013 08:30:00 AM,03/18/2013 10:00:00 AM,Board Office, Salem,OR,"Review minutes from February 4-5, 2013 meeting and discuss other Board related matters.",,Kimberly Fast,503-378-2268,kimberly.fast@state.or.us,,,,Kimberly Fast,503-378-2268,kimberly.fast@state.or.us,,1-877-326-2337,9901145150,http://authoring-cms.oregon.egov.com/BOA/Pages/meetings.aspx,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Board Meeting,"review applications for licensure, discuss current topics and review disciplinary cases",02/10/2014 10:30:00 AM,,2nd Floor Conference Room 3218 Pringle Rd SE, Salem,OR,,,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/Qjh4DtaryufMJLIIZGH0qVGEIUPMVAmpYKD0AGX_1aE?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Laws and Rules Task Force,Review proposed rule amendments,10/07/2014 10:00:00 AM,,3218 Pringle Rd SE - Large Upstairs Conference Room, Salem,OR,,,Kimberly Fast,,kimberly.fast@oregon.gov,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/C-6I8PFADCesJTJSGwIU9BJZZHLm1yekVUkQG637dVI?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Complaints Committee,Review Disciplinary Actions,11/07/2014 08:30:00 AM,11/07/2014 04:00:00 PM,Board of Accountancy 3218 Pringle Rd SE,Salem,OR,,,Bethany Reeves,503-378-2270,bethany.reeves@oregon.gov,,,,,,,,,,,,,,,http://www.oregon.gov/boa/Pages/public_mtgs.aspx,,,
Accountancy State Board,Board Meeting,Special Board Meeting + Executive Session,05/06/2013 08:30:00 AM,,3218 Pringle Rd SE , Salem,OR,,,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Laws and Rules Task Force,Planning and Goal Setting Statute and Rule Changes,05/15/2014 10:30:00 AM,,"Board of Accountancy Office, 2nd Floor", Salem,OR,,,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/pYIHPD3KVfRMZROFKZeJI62dLTnYA8VbqAXXR13fAY8?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,CPE Committee,Review applications for the municipal roster,11/18/2014 09:01:00 AM,11/18/2014 09:01:00 AM,Telephone Conference,Salem ,OR,,Yes,Kristen Adamson,503-378-2264,kristen.m.adamson@oregon.gov,,,,,,,,1-877-326-2337,269 342 3387,,,,,,,,,
Accountancy State Board,Complaints Committee Meeting,Review Complaint files submitted to the Board,01/11/2013 08:30:00 AM,01/07/2013 02:00:00 PM,2nd Floor Conference Room Morrow Crane Building, Salem,OR,The Complaints committee will meet to discuss complaints filed with the Board of Accountancy.,,Kimberly Sisk,503-378-2268,kimberly.sisk@state.or.us,,,,,,,,1-877-326-2337,9901145150,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,CPE Committee,Review applications for admission to Municipal Roster,01/08/2013 01:30:00 PM,01/07/2013 03:00:00 PM,Phone Conference, Salem,OR,Review applications for admission to the Municipal Roster.,,Kimberly Sisk,,kimberly.sisk@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Board Meeting,Review applicants and disciplinary actions,12/15/2014 08:30:00 AM,12/15/2014 04:00:00 PM,3218 Pringle Rd SE - 2nd Floor Conference Room, Salem,OR,,Yes,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Cancelled Peer Review Oversight Committee,Cancellation of PROC for Board of Accountancy,11/08/2012 09:00:00 AM,,3218 Pringle Rd SE, Salem,OR,"Cancellation of PROC for Board of Accountancy regular committee meeting original scheduled for November 8, 2012",,Heather Shepherd,503-378-4181,Heather.shepherd@state.or.us,,,,,,,,,,,,,cathy.orias@state.or.us,,,,,
Accountancy State Board,Complaints Committee Meeting,,01/29/2016 08:30:00 AM,01/29/2016 04:00:00 PM,3218 Pringle Rd SE, Salem,OR,,,Joel Parks,503-378-2262,joel.parks@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Peer Review Oversight Committee,Review of peer review topics,07/16/2013 10:00:00 AM,,Telephone Conference, Salem,OR,,,Bethany Reeves,,bethany.reeves@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Complaints Commitee (BOACC),Review discipinary cases,06/05/2015 08:30:00 AM,06/05/2015 03:00:00 PM,3218 Pringle Rd SE,Salem,OR,,,Bethany Reeves,503-3782270,bethany.reeves@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Board of Accountancy Work Session,Board reveiw of Laws and Rules Task Force Recommendations,01/10/2014 08:30:00 AM,,3218 Pringle Rd SE 2nd Floor Conference Room, Salem,OR,,,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Qualifications Committee Meeting,Qualifications Committee Meeting by Telephone Conference,11/14/2012 09:00:00 AM,11/14/2012 11:00:00 AM,"3218 Pringle Rd SE, #110", Salem,OR,"NOTICE OF PUBLIC MEETING
OREGON BOARD OF ACCOUNTANCY
Qualifications Committee Meeting by Telephone Conference

Wednesday, November 14, 2012 at 9:00 a.m.
Morrow Crane Building
3218 Pringle RD SE #110
Salem OR  97302

Purpose of Meeting:	
Principal subjects to be discussed at the meeting include, but are not limited to, recommendations to the Board regarding Certified Public Accountant certificate and Public Accountant license applications filed with the Board of Accountancy.
",Yes,Heather Shepherd,503-378-2262,heather.shepherd@state.or.us,,,,Heather Shepherd,503-378-4181,heather.shepherd@state.or.us,,1-877-326-2337,9901145150,,,,cathy.orias@state.or.us,,,,,
Accountancy State Board,Board Meeting,Regular Meeting to review disciplinary action and license files,08/11/2014 08:30:00 AM,08/11/2014 05:00:00 PM,3218 Pringle Rd SE, Salem,OR,,,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Board Meeting,,02/05/2016 08:30:00 AM,02/05/2016 04:30:00 PM,3218 Pringle Rd SE - Training Center,Salem,OR,"Review compliance cases, license applications and discuss current topics",yes,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Complaints Committee,Review discipinary cases,04/24/2015 08:00:00 AM,04/24/2015 05:00:00 PM,"3218 Pringle Rd SE, Large Conference Room", Salem,OR,,,Bethany Reeves,503-378-2270,bethany.reeves@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Board Meeting,Regular Scheduled Board Meeting,02/05/2013 08:30:00 AM,02/05/2013 05:00:00 PM,2nd Floor Conference Room, Salem,OR,"Meeting will be held at Board office:

3218 Pringle Rd SE
2nd Floor Conference Room",Yes,Kimberly Sisk,503-378-4181,kimberly.sisk@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Board Special Meeting,Review ORS and OAR changes,01/10/2014 08:30:00 AM,,"Board Office, 3218 Pringle Rd SE Salem OR ", Salem,OR,,,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/wxCxvPfTVZOJEbo7pIwLv-_XtFj-EkBZmzTPf1hJMS0?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Board Meeting,,08/03/2015 08:30:00 AM,08/03/2015 04:00:00 PM,3218 Pringle Rd SE 2nd Floor Conference Room, Salem,OR,,,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,CPE Committee Meeting,Reveiw Municipal Auditor Applications,02/06/2014 11:00:00 AM,,Conference Call, Salem,OR,,,Kimberly Fast,,kimberly.fast@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/OXNykKCWQp-UGfGAG3cBJIqreVO1e5HnZEs_LHqITFY?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Qualifications Committee,Review applications for licensure,09/23/2015 09:00:00 AM,09/23/2015 02:00:00 PM,3218 Pringle Rd SE   Large Conference Room, Salem,OR,,,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Board Meeting,Review Settlement Proposals and Minutes,03/19/2015 10:00:00 AM,03/19/2015 01:00:00 PM,Conference Call / 3218 Pringle Rd SE #110,Salem,OR,,,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,,,,,,
Accountancy State Board,Qualifications Committee Meeting,Review applications from applicants with experience gained while employed in industry,09/11/2013 09:00:00 AM,,Telephone Conference, Salem,OR,,,Heather Shepherd,,heather.shepherd@state.or.us,,,,,,,,1-877-326-2337,9901145150,,,,kimberly.sisk@state.or.us,,,,,
Accountancy State Board,Qualifications Committee,Review CPA licensure applications,07/16/2014 11:00:00 AM,,3218 Pringle Rd SE , Salem,OR,,,Kristen Adamson,,kristen.m.adamson@oregon.gov,,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/a7ie-xy2g/files/8M5YmD0CNMrtndPxbObLnTU-4Gv8TLNFRuemtHc7Peo?filename=application%2Fpdf%3B+charset%3Dbinary,,,,
Accountancy State Board,Qualifications Committee,Review licensing application files,04/25/2013 10:30:00 AM,,3218 Pringle Rd SE 2nd Floor Conference Room, Salem,OR,,,Heather Shepherd,503-378-2262,heather.shepherd@state.or.us,,,,,,,,,,,,,kimberly.sisk@state.or.us,,,,,
