"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Webinar/Webcast Link,Map Location,Owner,Agenda Upload,Weblink to Meeting Minutes/Summaries
Transportation Department,North East Area Commission on Transportation,NEACT Meeting,02/07/2013 09:00:00 AM,,3012 Island Road, La Grande,,,Lisa,,Lisa.a.hill@odot.state.or.us,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Mid-Willamette Valley Area Commission on Transportation,MWACT Meeting,02/07/2013 03:00:00 PM,,"MWCCOG, 100 High St SE, Suite 200", Salem,,Yes,Lori,,lomoore@mwvgoc.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Central Oregon Area Commission on Transportation,COACT Exec Meeting,02/07/2013 04:00:00 PM,,"City of Redmond Public Works, 243 East Antler", Redmond,,,Gary,,gary.c.farnsworth@odot.state.or.us,http://coic2.org/community-development/central-oregon-area-commission-on-transportation/,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,MPO Policy Board Meeting,CAMPO,02/13/2013 05:00:00 PM,02/13/2013 07:00:00 PM,4077 SW Research Way, Corvallis,,,C.Wahl,,carla.s.wahl@odot.state.or.us,,,,,,,,,,,,,carla.s.wahl@odot.state.or.us,,
Transportation Department,Lane Area Commission on Transportation,Meeting to discuss transportation within Lane County Area,02/13/2013 05:30:00 PM,02/13/2013 07:30:00 PM,644 A Street, Springfield,LaneACT.ORG,,Savannah Crawford,,savannah.crawford@odot.state.or.us,,,,,,,,,,,,,savannah.crawford@odot.state.or.us,,
Transportation Department,Bicycle/Pedestrian Advisory Committee,Bike/Ped and Transportation Enhancement,02/15/2013 09:00:00 AM,02/15/2013 05:00:00 PM,"Transportation Building, 355 Capitol St NE", Salem,Joint meeting of the OBPAC and TE advisory committees: they will award proposals but will not be taking public input.,yes,Sheila Lyons,(503) 986-3555,sheila.a.lyons@odot.state.or.us,,,,Sheila Lyons,(503) 986-3555,sheila.a.lyons@odot.state.or.us,,,,,,,shelley.m.snow@odot.state.or.us,,
Transportation Department,Winter Recreation Advisory Committee,Regular meeting of the WRAC,02/20/2013 10:00:00 AM,,800 Airport Road, Salem,The Winter Recreation Advisory Committee meets throughout the year to advise the Department of Transportation on matters related to the winter recreation parking (Sno-Park) program.,,Karen Morrison,,karen.j.morrison@state.or.us,,,,,,,,,,,,,karen.j.morrison@state.or.us,,
Transportation Department,NEACT/SEACT Joint Meeting,NEACT/SEACT Joint Meeting,02/21/2013 09:00:00 AM,,Teleconference,,"Teleconference meeting. Phone number: (866) 680-0168, participant code 793556",,Lisa,,lisa.a.hill@odot.state.or.us,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Region 1 STIP Enhance Project Selection Committee Meeting #2,A regional body composed of elected officials and other transportation stakeholders that are making recommendations to the OTC for the 15-18 STIP cycle,02/26/2013 03:00:00 PM,02/26/2013 05:00:00 PM,"123 NW Flanders, Portland, OR 97217 Conf. Rm. A/B", Portland,,,Kelly Brooks,,kelly.brooks@odot.state.or.us,,,,,,,,,,,,,kelly.brooks@odot.state.or.us,,
Transportation Department,Cascades West Area Commission on Transportation ,CWACT Meeting,02/28/2013 05:00:00 PM,02/28/2013 07:00:00 PM,1400 Queen Ave. SE, Albany,,,C.Wahl,,carla.s.wahl@odot.state.or.us,,,,,,,,,,,,,carla.s.wahl@odot.state.or.us,,
Transportation Department,South Central Oregon ACT Meeting,SCOACT Meeting,03/01/2013 10:30:00 AM,,"Pacific Crest Federal Credit Union, 2950 Washburn Way", Klamath Falls,,,Butch,,butch.hansen@odot.state.or.us,,,,,,,,877-298-8255,6213140,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Mid-Willamette Valley Area Commission on Transportation,MWACT meeting,03/07/2013 03:30:00 PM,,"MWVCOG, 100 High Street SE, Suite 200", Salem,,Yes,Lori,,lomoore@mwvcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Oregon Traffic Control Devices Committee,Bi-monthly meeting,03/08/2013 09:00:00 AM,03/08/2013 12:00:00 PM,"ODOT, TLC Bldg., 4040 Fairview Industrial Dr.", Salem,Passing Lane Striping; Trucks Warning Sign for Highway Work Zones; Sign Policy & Guideline Update – TODS and Logo Signs; Jurisdictionally Blind Road Safety Program; Presentation on NCUTCD Meeting,Yes,kathleen mcconnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,kathleen mcconnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,734-414-0271,500038,,,,kathleen.e.mcconnell@odot.state.or.us,,
Transportation Department,Public Transportation Advisory Committee (PTAC),PTAC meetings are typically held the second Monday of every other month from 1:00 p.m. to 4:30 p.m.,03/11/2013 01:00:00 PM,03/11/2013 04:30:00 PM,"ODOT TLC Building, 4040 Fairview Industrial Dr.", Salem,PTAC provides a forum for public and special-needs transportation providers within Oregon and provides input regarding significant transportation issues to the Oregon Transportation Commission and the Public Transit Division.,Yes,Martha Smith,503-986-3416,PTAC@odot.state.or.us,http://www.oregon.gov/ODOT/PT/Pages/about/ptac.aspx,,,Martha Smith,503-986-3416,PTAC@odot.state.or.us,,,,,,,jenny.erickson@odot.state.or.us,,http://www.oregon.gov/ODOT/PT/Pages/about/ptac.aspx
Transportation Department,Rogue Valley Area Commission on Transportation,RVACT Meeting,03/12/2013 09:00:00 AM,,"Grants Pass City Council Chambers, 101 NW A Street", Grants Pass,,,Pat,,pfoley@rvcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,MPO Policy Board Meeting,CAMPO,03/13/2013 05:00:00 PM,03/13/2013 06:00:00 PM,4077 SW Research Way, Corvallis,,,C.Wahl,,carla.s.wahl@odot.state.or.us,,,,,,,,,,,,,carla.s.wahl@odot.state.or.us,,
Transportation Department,Lane ACT Meeting,Lane ACT Meeting,03/13/2013 05:30:00 PM,,"ODOT Area 5, 644 A Street", Springfield,,,Stacy,,sclausson@lcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Lane Area Commission on Transportation,Meeting to discuss transportation within Lane County area,03/13/2013 05:30:00 PM,03/13/2013 07:30:00 PM,644 A Street, Springfield,,,Savannah Crawford,,savannah.crawford@odot.state.or.us,,,,,,,,,,,,,savannah.crawford@odot.state.or.us,,
Transportation Department,Central Oregon Area Commission on Transportation,COACT Meeting,03/14/2013 03:00:00 PM,,"City of Redmond Public Works Training Room, 243 E Antler Drive", Redmond,,,Andrew,,aspreadborough@coic.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Central Oregon ACT Meeting,COACT Meeting,03/14/2013 03:00:00 PM,,"City of Redmond Public Works, 243 E Antler Ave", Redmond,,,Gary,,gary.c.farnsworth@odot.state.or.us,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,South East Area Commission on Transportation,SEACT meeting,03/25/2013 10:00:00 AM,,"Grant County Regional Airport, Conference Room, 720 Airport Rd ", John Day,,,Judy,,judy.moore@geodc.net,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Cascades West Area Commission on Transportation,CWACT Meeting,03/28/2013 05:00:00 PM,03/28/2013 07:00:00 PM,1400 Queen Ave. SE, Albany,,,C.Wahl,,carla.s.wahl@odot.state.or.us,,,,,,,,,,,,,carla.s.wahl@odot.state.or.us,,
Transportation Department,North East Area Commission on Transportation,NEACT meeting,04/04/2013 09:00:00 AM,,3012 Island Avenue, La Grande,,,Lisa,,lisa.a.hill@odot.state.or.us,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Mid Willamette Valley Area Commission on Transportation,MWACT,04/04/2013 03:30:00 PM,,"MWVCOG, 100 High St. SE, Suite 200", Salem,,,Lori,,lomoore@mwvcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Bicycle & Pedestrian Advisory Committee,Bike/Ped advisory group,04/09/2013 01:00:00 PM,04/09/2013 03:00:00 PM,"Via phone, or 555 13th St. NE", Salem,,Yes,Sheila Lyons,(503) 986-3555,sheila.a.lyons@odot.state.or.us,,,,Sheila Lyons,(503) 986-3555 or 711,sheila.a.lyons@odot.state.or.us,,,,,,,shelley.m.snow@odot.state.or.us,,
Transportation Department,Bicycle/Pedestrian & Trans. Enhancement,Joint meeting of two committees,04/17/2013 09:00:00 AM,04/17/2013 03:00:00 PM,555 13th St. NE, Salem,,Yes,Sheila Lyons,(503) 986-3555,sheila.a.lyons@odot.state.or.us,,,,Sheila Lyongs,(503) 986-3555,sheila.a.lyons@odot.state.or.us,,,,,,,shelley.m.snow@odot.state.or.us,,
Transportation Department,CWACT,Exec Commitee,04/25/2013 03:00:00 PM,04/25/2013 04:00:00 PM,Benton County 5th Street, Corvallis,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,Lane Area Commission on Transportation,LaneACT,05/08/2013 05:30:00 PM,,"Oregon Department of Transportation, Area 5, 644 A Street", Springfield,,yes,Stacy,,sclauson@lcog.org,,,,,,,true,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Northwest Oregon Area Commission on Transportation,NWACT meeting,05/09/2013 01:00:00 PM,,"Guy Boyington Building, 857 Commercial St", Astoria,,,Mary,,mbmcarthur@nworegon.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Central Oregon Area Commission on Transportation,COACT,05/09/2013 03:00:00 PM,,"City of Redmond Public Works Training Room, 243 E. Antler Avenue", Redmond,,,Andrew,,aspreadborough@coic.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Oregon Traffic Control Devices Committee,Bi-monthly meeting (Joint meet w/ITE),05/10/2013 09:00:00 AM,05/10/2013 03:00:00 PM,Marion County Public Works, Salem,May meeting is a joint meeting with ITE; VMS Guidelines Update; Strong Yellow Green vs. Yellow for Pedestrian Warning Signs; Sign Policy & Guideline Updates; 2070 Signal Timing Software Procurement,Yes,kathleen mcconnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,kathleen mcconnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,,,,kathleen.e.mcconnell@odot.state.or.us,,
Transportation Department,South West Area Commission on Transportation,SWACT,05/10/2013 10:00:00 AM,,"Port of Coos Bay Conference Room, 125 Central Ave ", Coos Bay,,,Lajuana,,Lajuana.Baldwin@odot.state.or.us,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Public Transportation Advisory Committee (PTAC),PTAC meetings are typically held the second Monday of every other month from 1:00 p.m. to 4:30 p.m.,05/13/2013 01:00:00 PM,05/13/2013 04:30:00 PM,"ODOT TLC Building, 4040 Fairview Industrial Dr.", Salem,PTAC provides a forum for public and special-needs transportation providers within Oregon and provides input regarding significant transportation issues to the Oregon Transportation Commission and the Public Transit Division.,Yes,Martha Smith,503-986-3416,PTAC@odot.state.or.us,http://www.oregon.gov/ODOT/PT/Pages/about/ptac.aspx,,,Martha Smith,503-986-3416,PTAC@odot.state.or.us,,,,,,,jenny.erickson@odot.state.or.us,,http://www.oregon.gov/ODOT/PT/Pages/about/ptac.aspx
Transportation Department,South East Area Commission on Transportation,SEACT Meeting,05/20/2013 10:00:00 AM,,Teleconference, Pendleton,"Teleconference:
Phone in - 866-590-5055
Participant Code - 815388",,Karen,,karen.kendall@geodc.net,,,,,,,,866-590-5055,815388,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,CWACT,Exec Committee,05/23/2013 03:00:00 PM,05/23/2013 04:00:00 PM,Benton County 5th St, Corvallis,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,North East Area Commission on Transportation,NEACT Meeting,06/06/2013 09:00:00 AM,,3012 Island Avenue, La Grande,,,Lisa,(541) 963-3179,lisa.a.hill@odot.state.or.us,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Mid Willamette Valley Area Commission on Transportation,MWACT Meeting,06/06/2013 03:30:00 PM,,"100 High St. SE, Suite 200", Salem,,,Lori,,lomoore@mwvcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Bicycle and Pedestrian Advisory Committee,Bike/Ped Citizen Advisory Committee,06/07/2013 09:00:00 AM,06/07/2013 03:30:00 PM,123 NW Flanders, Portland,,Yes,Sheila Lyons,(503) 986-3555,sheila.a.lyons@odot.state.or.us,,,,Sheila Lyons,(503) 986-3555,sheila.a.lyons@odot.state.or.us,,,,,,,shelley.m.snow@odot.state.or.us,,
Transportation Department,Newberg-Dundee Bypass Project,Newberg-Dundee Bypass Project Open House,06/11/2013 06:00:00 PM,06/11/2013 08:00:00 PM,"Dundee Community Center, 1026 OR 99W", Dundee,Come by and get the latest information on the Newberg-Dundee Bypass Project.,Yes,Lou Torres,503-986-2880,louis.c.torres@odot.state.or.us,http://www.oregonjta.org/region2/?p=highway99w&expandable=2,,,,,,,,,,,,sally.ridenour@odot.state.or.us,,
Transportation Department,Newberg-Dundee Bypass Project,Newberg-Dundee Bypass Project Open House,06/12/2013 06:00:00 PM,06/12/2013 08:00:00 PM,"Chehalem Youth Center, 620 N. Morton Street", Newberg,Come by and get the latest information about the Newberg-Dundee Bypass project.,yes,Lou Torres,503-986-2880,louis.c.torres@odot.state.or.us,http://www.oregonjta.org/region2/?p=highway99w&expandable=2,,,,,,,,,,,,sally.ridenour@odot.state.or.us,,
Transportation Department,CAMPO,Linn Benton & Lincoln Counties,06/12/2013 06:00:00 PM,06/12/2013 07:00:00 PM,Benton Sunrise Rm, Corvallis,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,CWACT,Exec Committee,06/27/2013 03:00:00 PM,06/27/2013 04:00:00 PM,Benton County 5th St, Corvallis,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,Public Transportation Advisory Committee (PTAC),PTAC meetings are typically held the second Monday of every other month from 1:00 p.m. to 4:30 p.m.,07/08/2013 01:00:00 PM,07/08/2013 04:30:00 PM,"ODOT TLC Building, 4040 Fairview Industrial Dr.", Salem,PTAC provides a forum for public and special-needs transportation providers within Oregon and provides input regarding significant transportation issues to the Oregon Transportation Commission and the Public Transit Division.,Yes,Martha Smith,503-986-3416,PTAC@odot.state.or.us,,,,Martha Smith,503-986-3416,PTAC@odot.state.or.us,,,,,,,jenny.erickson@odot.state.or.us,,http://www.oregon.gov/ODOT/PT/Pages/about/ptac.aspx
Transportation Department,CAMPO,Linn Benton & Lincoln Counties,07/10/2013 05:00:00 PM,07/10/2013 07:00:00 PM,Benton Sunrise Rm, Corvallis,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,Winter Recreation Advisory Committee,Regular meeting of the WRAC,07/17/2013 08:30:00 AM,,800 Airport Road, Salem,The WRAC meets throughout the year to advise the Department of Transportation on matters related to the winter recreation parking (Sno-Park)program.,,Karen Morrison,,karen.j.morrison@state.or.us,,,,,,,,,,,,,karen.j.morrison@state.or.us,,
Transportation Department,Oregon Traffic Control Devices Committee,Bi-monthly meeting,07/19/2013 09:00:00 AM,07/19/2013 12:00:00 PM,"ODOT TLC Building, Alsea Conf. Room, 4040 Fairview Industrial Dr", Salem,Experimental Review Process discussion; Update of ODOT’s Experience with Bike Signals; Update on 2070 Signal Timing Software; Signal Policy and Guidelines Revisions; Update on EV Charging Signs / Sign Policy & Guidelines Update; Pooled Fund Study Update; Weight Limit Signs at Bridges.,Yes,Kathleen Mcconnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,http://www.oregon.gov/ODOT/HWY/TRAFFIC-ROADWAY/Pages/traffic_control_devices_committee.aspx,,,Kathleen McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,215-861-0692,500038,,,,kathleen.e.mcconnell@odot.state.or.us,,
Transportation Department,NEACT/SEACT Joint Meeting,NEACT/SEACT Joint Meeting,08/01/2013 09:00:00 AM,,"Community Connections, 2810 Cedar St", Baker City,,,Judy,,Judy.Moore@geodc.net,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Mid_Willamette Valley Area Commission on Transportation,MWACT Meeting,08/01/2013 03:30:00 PM,,"100 High Street SE, Suite 200", Salem,,,Lori,,lomoore@mwvcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Corvallis Area Metro Planning Org,CAMPO,08/06/2013 05:00:00 PM,08/06/2013 07:00:00 PM,"Sunset Bldg, Mary's Peak Rm", Corvallis,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,South West Area Commission on Transportation,SWACT Meeting,08/09/2013 10:00:00 AM,08/09/2013 12:00:00 PM,"Coos County Annex, 201 N. Adams", Coquille,,,Lajuana,,Lajuana.Baldwin@odot.state.or.us,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Bicycle/Pedestrian Advisory Committee,Bike/Ped Advisory Committee,08/12/2013 09:30:00 AM,08/12/2013 04:00:00 PM,555 13th St. NE, Salem,,Yes,Sheila Lyons,503-986-3555,sheila.a.lyons@odot.state.or.us,,,,Sheila Lyons,503-986-3555,sheila.a.lyons@odot.state.or.us,,,,,,,shelley.m.snow@odot.state.or.us,,
Transportation Department,Rogue Valley Area Commission on Transportation,RVACT Meeting,08/13/2013 09:00:00 AM,08/13/2013 11:30:00 AM,"ODOT Confrerence Rooms, 100 Antelope Road, White City",,,,Pat,,pfoley@rvcog.org,,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,
Transportation Department,Albany Area Metro Planning Org,AAMPO,08/21/2013 02:00:00 PM,08/21/2013 04:00:00 PM,Albany MPO, Albany,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,Cascades West area Commission,CWACT,08/22/2013 03:00:00 PM,08/22/2013 05:00:00 PM,1400 Queen Ave, Albany,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,Public Transportation Advisory Committee (PTAC),PTAC meetings are typically held the second Monday of every other month from 1:00 p.m. to 4:30 p.m.,09/09/2013 01:00:00 PM,09/09/2013 04:30:00 PM,"ODOT TLC Building, 4040 Fairview Industrial Dr.", Salem,PTAC provides a forum for public and special-needs transportation providers within Oregon and provides input regarding significant transportation issues to the Oregon Transportation Commission and the Public Transit Division.,Yes,Martha Smith,503-986-3416,PTAC@odot.state.or.us,http://www.oregon.gov/ODOT/PT/Pages/about/ptac.aspx,http://www.oregon.gov/ODOT/COMM/PublishingImages/fairviewmap_w.jpg,,Martha Smith,503-986-3416,PTAC@odot.state.or.us,,,,http://www.oregon.gov/ODOT/PT/docs/PTAC/2013/2013-08-PTAC-September-2013-Agenda.pdf,,,jenny.erickson@odot.state.or.us,,http://www.oregon.gov/ODOT/PT/Pages/about/ptac.aspx
Transportation Department,Corvallis Metro Planning Org,CAMPO,09/11/2013 05:00:00 PM,09/11/2013 07:00:00 PM,301 SW 4th Street #240, Corvallis,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,Lane Area Commission on Transportation,LaneACT,09/11/2013 05:30:00 PM,,"ODOT Area 5. 644 A Street, Springfield", Springfield,,Yes,Kevin,,kevin.r.beckstrom@odot.state.or.us,http://www.oregon.gov/ODOT/COMM/pages/act_lanecounty.aspx,,,,,,,,,http://www.oregon.gov/ODOT/COMM/pages/act_lanecounty.aspx,,,kevin.r.beckstrom@odot.state.or.us,,http://www.oregon.gov/ODOT/COMM/pages/act_lanecounty.aspx
Transportation Department,Cascades West Area Commission,CWACT,09/12/2013 01:00:00 PM,09/12/2013 05:00:00 PM,ODOT Reg 2 HQ, Salem,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
Transportation Department,Central Oregon Area Commission on Transportation,COACT,09/12/2013 03:00:00 PM,,"City of Redmond Public Works, 243 E Antler Ave.", Redmond,,,Scott,,scotta@coic.org,http://coic2.org/community-development/central-oregon-area-commission-on-transportation/,,,,,,,,,http://coic2.org/community-development/central-oregon-area-commission-on-transportation/,,,kevin.r.beckstrom@odot.state.or.us,,http://coic2.org/community-development/central-oregon-area-commission-on-transportation/
Transportation Department,Oregon Traffic Control Devices Committee,Bi-monthly meeting,09/13/2013 09:00:00 AM,09/13/2013 12:00:00 PM,"ODOT TLC Bldg, Alsea Conf. Rm, 4040 Fairview Industrial Dr. SE", Salem,Sign Policy & Guidelines Update; Signal Policy and Guidelines Revisions; Pooled Fund Study Update; Presentation on June NCUTCD Meeting.,Yes,kathleen mcconnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,Kathi McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,215-861-0692,500038,,,,kathleen.e.mcconnell@odot.state.or.us,,http://www.oregon.gov/ODOT/HWY/TRAFFIC-ROADWAY/pages/traffic_control_devices_committee.aspx
Transportation Department,South West Area Commission on Transportation,SWACT meeting,09/13/2013 10:00:00 AM,,"Coos County Annex, 201 N Adams", Coquille,,,Lajuana,,Lajuana.BALDWIN@odot.state.or.us,http://www.oregon.gov/ODOT/COMM/pages/act_swact.aspx,,,,,,,,,http://www.oregon.gov/ODOT/COMM/pages/act_swact.aspx,,,kevin.r.beckstrom@odot.state.or.us,,http://www.oregon.gov/ODOT/COMM/pages/act_swact.aspx
Transportation Department,Speed Zone Review Panel Hearing,Proposed Changes to Speed Related OAR's,09/13/2013 01:00:00 PM,09/13/2013 02:30:00 PM,"ODOT, TLC Bldg., Alsea Conf. Rm., 4040 Fairview Industrial Dr.", Salem,"Discussion concerning proposed changes to OAR 734-020-0010, Establishment of Speed Limits on Interstate Highways and upcoming changes to OAR 734-020-0018 and 734-020-0019 concerning variable speed limits.",Yes,kathleen mcconnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,Kathleen McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,215-861-0692,500038,,,,kathleen.e.mcconnell@odot.state.or.us,,
Transportation Department,NEACT/SEACT joint meeting,NEACT/SEACT joint meeting,09/19/2013 10:30:00 AM,,Grant County Regional Airport, John Day,,yes,Tom,,Thomas.M.STRANDBERG@odot.state.or.us,http://www.oregon.gov/ODOT/COMM/pages/act_neact.aspx,,,,,,,,,,,,kevin.r.beckstrom@odot.state.or.us,,http://www.oregon.gov/ODOT/COMM/pages/act_neact.aspx
Transportation Department,Albany Metro Planning Org,AAMPO,09/25/2013 02:00:00 PM,09/25/2013 03:30:00 PM,COG Office Upstairs, Albany,,,Kassy Bricco,,kassy.m.bricco@odot.state.or.us,,,,,,,,,,,,,kassy.m.bricco@odot.state.or.us,,
