"guideline_number","title"
"112","Lung volume reduction surgery"
"113","Diseases of lips"
"114","Femoroacetabular impingement syndrome"
"115","Extracorporeal photopheresis"
"116","Intraocular steroid treatments"
"117","Removal of tori and excision of hyperplastic tissue"
"118","Obstructive sleep apnea diagnosis and treatment for children"
"119","Carotid endarterectomy"
"120","Pediatric trigger thumb"
"121","Concussion and post concussion syndrome"
"122","Oral health risk assessment in medical settings"
"123","Dental fillings for posterior teeth"
"124","Alcohol septal ablation"
"125","Carotid artery stenting"
"126","Applied behavior analysis interventions for self-injurious behavior"
"127","Gender dysphoria"
"128","Foreign bodies in the GI tract"
"129","Fecal incontinence"
"130","Blepharoplasty"
"131","Hypotony"
"132","Acne conglobata"
"133","Acute peripheral motor and digital nerve injury"
"134","Neonatal nasolacrimal duct obstruction"
"135","Fibromyalgia"
"136","Collapsed vertebra"
"137","Benign bone tumors"
"138","Obstructive and reflux uropathy"
"139","Frenotomy for tongue-tie in newborns"
"140","Breastfeeding support and supplies"
"141","Laryngeal stenosis or paralysis; dysphonia"
"142","Stereotactic body radiation therapy"
"143","Treatment of unilateral hearing loss"
"144","Proton pump inhibitor therapy for gastroesophageal reflux disease (GERD)"
"145","Treatments for benign prostate enlargement with lower urinary tract symptoms"
"146","Ablation procedures for atrial fibrillation"
"147","IVC filters for active pulmonary embolism (PE)/deep vein thrombosis (DVT)"
"148","Biomarker tests of cancer tissue"
"149","Sclerotherapy of fluid collections"
"150","Fetal MRI"
"151","Cardiac transplant genetic testing for transplant rejection"
"152","Unspecified conduct disorder"
"153","Planned out-of-hospital birth"
"154","Ear drum repair"
"155","Electric tumor treatment fields for glioblastoma"
"156","Encounter for desensitization to allergens"
"157","Wigs"
"158","Hallux rigidus"
"159","Smoking and surgical treatment of erectile dysfunction"
"160","Congenital muscular torticollis"
"161","Sacroiliac anesthetic injections and sacroiliac joint fusion"
"162","Long-acting reversible contraceptive (LARC) placement"
"163","Skin substitutes for chronic skin ulcers"
"164","Percutaneous repair of paravalvular leaks"
"165","Fecal microbiota transplant"
"166","Breast reduction surgery for macromastia"
"167","Cholecystectomy for cholecystitis and biliary colic"
"168","Intrastromal corneal ring segments"
"169","Orthodontics and craniofacial surgery for craniofacial anomalies"
"170","Intrathecal or epidural drug infusion"
"171","Lattice degeneration, asymptomatic retinal breaks and round holes"
"172","INTERVENTIONS WITH MARGINAL CLINICAL BENEFIT OR LOW COST-EFFECTIVENESS FOR CERTAIN CONDITIONS"
"173","INTERVENTIONS THAT ARE UNPROVEN, HAVE NO CLINICALLY IMPORTANT BENEFIT OR HAVE HARMS THAT OUTWEIGH BENEFITS FOR CERTAIN CONDITIONS"
"174","CRYOABLATION OF PULMONARY TUMORS"
"175","MEDICATION-ASSISTED TREATMENT OF OPIOID DEPENDENCE"
"176","OPPORTUNISTIC SALPINGECTOMY"
"177","DEEP BRAIN STIMULATION FOR PARKINSON’S DISEASE"
"178","VITAL SITE DEFINITION FOR BURN LINES"
