"division","classification","position","title","_07_31_17","_08_31_17","_09_30_17","_10_31_17","_11_30_17","_12_31_17","_01_31_18","_02_28_18","_03_31_18","_4_30_18","_5_31_18","_06_30_18","_07_31_18","_08_31_18","sept18","_10_31_18","_11_30_2018","_12_31_2018","total"
"Administration","Accounting Technician 3","4103404","BASIC LIFE INSURANCE - $5.000",,,,,,,,,,,,"0.99","0.99","0.99","0.99","0.99","0.99",,"5.94"
"Administration","Accounting Technician 3","4103404","DENTAL INSURANCE",,,,,,,,,,,,"134.45","134.45","134.45","134.45","134.45","134.45",,"806.70"
"Administration","Accounting Technician 3","4103404","EMPLOYMENT RELATIONS BOARD ASSESSMENT",,,,,,,,,,,"2.14","2.14","2.14","2.14","2.14","2.14","2.14",,"14.98"
"Administration","Accounting Technician 3","4103404","HEALTH INSURANCE",,,,,,,,,,,,"1819.15","1819.15","1819.15","1819.15","1819.15","1819.15",,"10914.90"
"Administration","Accounting Technician 3","4103404","PERS PENSION OBLIGATION BOND PAYMENT",,,,,,,,,,,"136.80","226.98","226.98","226.98","226.98","237.40","237.40",,"1519.52"
"Administration","Accounting Technician 3","4103404","PERS RETIREMENT",,,,,,,,,,,"370.25","614.32","614.32","614.32","614.32","642.51","642.51",,"4112.55"
"Administration","Accounting Technician 3","4103404","PUBLIC EMPLOYEES' BENEFIT BOARD FEES",,,,,,,,,,,,"3.25",,,,,,,"3.25"
"Administration","Accounting Technician 3","4103404","REGULAR EMPLOYEES SALARY",,,,,,,,,,,"2206.52","3661.00","3661.00","3661.00","3661.00","3829.00","3829.00",,"24508.52"
"Administration","Accounting Technician 3","4103404","SOCIAL SECURITY & MEDICARE",,,,,,,,,,,"168.79","274.74","280.19","280.19","280.20","293.04","293.04",,"1870.20"
"Administration","Accounting Technician 3","4103404","WORKERS' BENEFIT FUND ASSESSMENT",,,,,,,,,,,"1.46","1.76","1.84","1.90","1.84","1.83","1.83",,"12.73"
"Administration","Electronic Publishing Design Specialist 3","4213415","BASIC LIFE INSURANCE - $5.000","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.89","17.72"
"Administration","Electronic Publishing Design Specialist 3","4213415","DENTAL INSURANCE","132.36","132.36","132.36","132.36","132.36","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","148.41","2556.45"
"Administration","Electronic Publishing Design Specialist 3","4213415","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","38.30"
"Administration","Electronic Publishing Design Specialist 3","4213415","HEALTH INSURANCE","1532.32","1532.32","1532.32","1532.32","1532.32","1752.21","1752.21","1752.21","1752.21","1752.21","1752.21","1752.21","1752.21","1752.21","1752.21","1752.21","1752.21","1846.97","30535.09"
"Administration","Electronic Publishing Design Specialist 3","4213415","PERS PENSION OBLIGATION BOND PAYMENT","302.04","302.04","302.04","302.04","312.11","312.11","312.11","312.11","312.11","312.11","327.71","330.97","330.97","330.97","330.97","330.97","330.97","330.97","5725.32"
"Administration","Electronic Publishing Design Specialist 3","4213415","PERS RETIREMENT","844.71","844.71","844.71","844.71","844.71","844.71","844.71","844.71","844.71","844.71","886.94","895.75","895.75","895.75","895.75","895.75","895.75","895.75","15604.29"
"Administration","Electronic Publishing Design Specialist 3","4213415","PUBLIC EMPLOYEES' BENEFIT BOARD FEES","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","6.50","5.90","116.40"
"Administration","Electronic Publishing Design Specialist 3","4213415","REGULAR EMPLOYEES SALARY","5034.00","5034.00","5034.00","5034.00","5034.00","5034.00","5034.00","5034.00","5034.00","5034.00","5034.00","5084.00","5084.00","5084.00","5084.00","5084.00","5084.00","5084.00","90962.00"
"Administration","Electronic Publishing Design Specialist 3","4213415","SOCIAL SECURITY & MEDICARE","375.41","375.40","375.42","375.40","375.41","375.62","375.62","375.62","375.62","375.62","394.88","398.89","398.89","398.90","398.88","398.89","398.89","398.43","6941.80"
"Administration","Electronic Publishing Design Specialist 3","4213415","WORK OUT OF CLASS & LEADWORK",,,,,,,,,,,"251.70","254.20","254.20","254.20","254.20","254.20","254.20","254.20","2031.10"
"Administration","Electronic Publishing Design Specialist 3","4213415","WORKERS' BENEFIT FUND ASSESSMENT","1.79","1.69","2.02","2.28","1.79","1.90","2.30","1.96","1.94","2.31","2.38","2.10","1.73","1.89","2.06","2.10","2.10","1.75","36.34"
"Administration","Executive Assistant","10080061","BASIC LIFE INSURANCE - $5.000","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.85","17.00"
"Administration","Executive Assistant","10080061","DENTAL INSURANCE","82.05","82.05","82.05","82.05","82.05","82.01","82.01","82.01","82.01","82.01","82.01","82.01","82.01","82.01","82.01","82.01","82.01","84.82","1479.19"
"Administration","Executive Assistant","10080061","HEALTH INSURANCE","1187.86","1187.86","1187.86","1187.86","1187.86","1204.66","1204.66","1204.66","1204.66","1204.66","1204.66","1204.66","1204.66","1204.66","1204.66","1204.66","1204.66","1239.90","21635.12"
"Administration","Executive Assistant","10080061","PERS PENSION OBLIGATION BOND PAYMENT","271.38","271.38","298.14","284.76","294.25","294.25","294.25","294.25","294.25","294.25","294.25","311.86","311.86","311.86","311.86","343.05","343.05","343.05","5446.40"
"Administration","Executive Assistant","10080061","PERS RETIREMENT","758.96","758.96","833.80","796.38","796.38","796.38","796.38","796.38","796.38","796.38","796.38","844.03","844.03","844.03","844.03","928.44","928.44","928.44","14841.99"
"Administration","Principle Executive Manager D","0016001","HEALTH INSURANCE",,,,,,,,,,,,,"525.65","525.68",,,,,"1051.33"
"Administration","Executive Assistant","10080061","REGULAR EMPLOYEES SALARY","4523.00","4523.00","4969.00","4746.00","4746.00","4746.00","4746.00","4746.00","4746.00","4746.00","4746.00","5030.00","5030.00","5030.00","5030.00","5018.59","5018.59","5018.59","87170.18"
"Administration","Executive Assistant","10080061","SOCIAL SECURITY & MEDICARE","341.64","341.63","375.75","358.69","358.69","358.62","358.63","358.62","358.63","358.62","358.63","380.35","380.34","380.35","380.36","418.82","418.82","418.64","6686.60"
"Administration","Executive Assistant","10080061","WORK OUT OF CLASS & LEADWORK",,,,,,,,,,,,,,,,"514.41","514.41","514.41","1280.32"
"Administration","Executive Assistant","10080061","WORKERS' BENEFIT FUND ASSESSMENT","2.09","2.09","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.09","2.09","2.44","2.44","2.44","2.44","42.52"
"Administration","Executive Assistant","10080062","BASIC LIFE INSURANCE - $5.000","0.95","0.95",,,,,,,,,,,,,,,,,"1.90"
"Administration","Executive Assistant","10080062","DENTAL INSURANCE","72.12","72.12",,,,,,,,,,,,,,,,,"144.24"
"Administration","Executive Assistant","10080062","HEALTH INSURANCE","864.98","864.98",,,,,,,,,,,,,,,,,"1729.96"
"Administration","Executive Assistant","10080062","REGULAR EMPLOYEES SALARY","4523.00","4523.00",,,,,,,,,,,,,,,,,"9046.00"
"Administration","Executive Assistant","10080062","SOCIAL SECURITY & MEDICARE","342.24","342.23",,,,,,,,,,,,,,,,,"684.47"
"Administration","Executive Assistant","10080062","WORKERS' BENEFIT FUND ASSESSMENT","2.09","2.09",,,,,,,,,,,,,,,,,"4.18"
"Administration","Executive Support Specialist 2","0016001","BASIC LIFE INSURANCE - $5.000",,,,,,,,,,,,"0.99",,,,,,,"0.99"
"Administration","Executive Support Specialist 2","0016001","DENTAL INSURANCE",,,,,,,,,,,,"100.54",,,,,,,"100.54"
"Administration","Executive Support Specialist 2","0016001","HEALTH INSURANCE",,,,,,,,,,,,"1297.94",,,,,,,"1297.94"
"Administration","Executive Support Specialist 2","0016001","PERS PENSION OBLIGATION BOND PAYMENT",,,,,,,,,,,,"283.22",,,,,,,"283.22"
"Administration","Executive Support Specialist 2","0016001","PERS RETIREMENT",,,,,,,,,,,,"766.51",,,,,,,"766.51"
"Administration","Executive Support Specialist 2","0016001","REGULAR EMPLOYEES SALARY",,,,,,,,,,,,"6827.25",,,,,,,"6827.25"
"Administration","Executive Support Specialist 2","0016001","SOCIAL SECURITY & MEDICARE",,,,,,,,,,,,"521.89",,,,,,,"521.89"
"Administration","Executive Support Specialist 2","0016001","WORKERS' BENEFIT FUND ASSESSMENT",,,,,,,,,,,,"2.44",,,,,,,"2.44"
"Administration","Executive Support Specialist 2","1008006","BASIC LIFE INSURANCE - $5.000",,"0.95","0.95","0.95","0.95","0.99","0.99","0.99","0.99","0.99","0.99",,,,,,,,"9.74"
"Administration","Executive Support Specialist 2","1008006","DENTAL INSURANCE",,"119.01","119.01","119.01","119.01","100.54","100.54","100.54","100.54","100.54","100.54",,,,,,,,"1079.28"
"Administration","Executive Support Specialist 2","1008006","HEALTH INSURANCE",,"1399.98","1399.98","1399.98","1399.98","1297.94","1297.94","1297.94","1297.94","1297.94","1297.94",,,,,,,,"13387.56"
"Administration","Executive Support Specialist 2","1008006","HOLIDAY PAY",,,,,,,"195.70","156.56",,,,,,,,,,,"352.26"
"Audits","State Auditor 2","0099003","DENTAL INSURANCE","132.36","132.36","132.36",,,,,,,,,,,,,,,,"397.08"
"Administration","Executive Support Specialist 2","1008006","PERS PENSION OBLIGATION BOND PAYMENT",,"47.20","271.38","271.38","280.43","280.43","292.56","290.13","280.43","280.43","280.43",,,,,,,,"2574.80"
"Administration","Executive Support Specialist 2","1008006","PERS RETIREMENT",,"132.00","758.96","758.96","758.96","758.96","791.80","785.23","758.96","758.96","758.96",,,,,,,,"7021.75"
"Administration","Executive Support Specialist 2","1008006","REGULAR EMPLOYEES SALARY",,"786.61","4523.00","4523.00","4523.00","4523.00","4523.00","4523.00","4523.00","4523.00","4523.00",,,,,,,,"41493.61"
"Administration","Executive Support Specialist 2","1008006","SOCIAL SECURITY & MEDICARE",,"55.40","341.23","341.22","341.23","345.61","360.57","357.58","345.60","345.61","345.60",,,,,,,,"3179.65"
"Administration","Executive Support Specialist 2","1008006","WORKERS' BENEFIT FUND ASSESSMENT",,"0.45","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44",,,,,,,,"22.41"
"Administration","Fiscal Analyst 2","0036045","BASIC LIFE INSURANCE - $5.000",,,,,,,,,,"0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.89","8.81"
"Administration","Fiscal Analyst 2","0036045","DENTAL INSURANCE",,,,,,,,,,"84.65","84.65","84.65","84.65","84.65","84.65","84.65","84.65","86.34","763.54"
"Administration","Fiscal Analyst 2","0036045","EMPLOYMENT RELATIONS BOARD ASSESSMENT",,,,,,,,,"2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","21.40"
"Administration","Fiscal Analyst 2","0036045","HEALTH INSURANCE",,,,,,,,,,"1097.23","1097.23","1097.23","1097.23","1097.23","1097.23","1097.23","1097.23","1156.73","9934.57"
"Administration","Fiscal Analyst 2","0036045","PERS PENSION OBLIGATION BOND PAYMENT",,,,,,,,,,,"703.86","300.76","300.76","300.76","300.76","315.21","315.21","315.21","2865.53"
"Administration","Fiscal Analyst 2","0036045","PERS RETIREMENT",,,,,,,,,,,"1904.95","814.00","814.00","814.00","814.00","853.10","853.10","853.10","7755.44"
"Administration","Fiscal Analyst 2","0036045","REGULAR EMPLOYEES SALARY",,,,,,,,,"1746.55","4803.00","4803.00","4851.00","4851.00","4851.00","4851.00","5084.00","5084.00","5084.00","46218.25"
"Administration","Fiscal Analyst 2","0036045","SOCIAL SECURITY & MEDICARE",,,,,,,,,"133.61","362.63","362.62","366.30","364.39","364.38","364.39","382.21","382.21","383.98","3482.76"
"Administration","Fiscal Analyst 2","0036045","WORKERS' BENEFIT FUND ASSESSMENT",,,,,,,,,"0.90","2.10","2.28","1.96","1.81","1.60","1.89","1.88","1.88","1.83","18.46"
"Administration","Human Resource Analyst 2","4303405","BASIC LIFE INSURANCE - $5.000","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99",,,,"0.99","0.99","0.89","14.75"
"Administration","Human Resource Analyst 2","4303405","DENTAL INSURANCE","61.15","61.15","61.15","61.15","61.15","49.81","49.81","49.81","49.81","49.81","49.81","49.81",,,,"107.79","107.79","137.13","1007.13"
"Administration","Human Resource Analyst 2","4303405","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14",,,"2.14","2.14","2.14","34.02"
"Administration","Information Systems Specialist 4","1503009","HEALTH INSURANCE","766.16","766.16","766.16","766.16","766.16",,,,,,,,,,,,,,"3830.80"
"Administration","Human Resource Analyst 2","4303405","HEALTH INSURANCE","766.16","766.16","766.16","766.16","766.16","648.96","648.96","648.96","648.96","648.96","648.96","648.96",,,,"1280.79","1280.79","1907.73","12859.98"
"Administration","Human Resource Analyst 2","4303405","PERS PENSION OBLIGATION BOND PAYMENT","363.36","363.36","363.36","372.24","393.82","393.82","393.82","393.82","393.82","393.82","393.82","397.79","36.16",,,,,"311.86","4964.87"
"Administration","Human Resource Analyst 2","4303405","PERS RETIREMENT","1016.20","1016.20","1016.20","1041.03","1065.87","1065.87","1065.87","1065.87","1065.87","1065.87","1065.87","1076.60","97.88",,,,,"844.03","13569.23"
"Administration","Human Resource Analyst 2","4303405","REGULAR EMPLOYEES SALARY","6056.00","6056.00","6056.00","6204.00","6352.00","6352.00","6352.00","6352.00","6352.00","6352.00","6352.00","6416.00","2722.66",,,"5283.00","5283.00","5030.00","93570.66"
"Administration","Human Resource Analyst 2","4303405","SOCIAL SECURITY & MEDICARE","463.98","463.98","463.98","475.30","486.63","486.73","486.72","486.73","486.72","486.73","486.72","491.62","208.29",,,"420.85","420.85","384.57","7198.67"
"Administration","Human Resource Analyst 2","4303405","WORK OUT OF CLASS & LEADWORK",,,,,,,,,,,,,,,,"264.15","264.15",,"528.30"
"Administration","Human Resource Analyst 2","4303405","WORKERS' BENEFIT FUND ASSESSMENT","2.09","2.09","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44",,,,"2.44","2.44","2.44","35.90"
"Administration","Human Resource Analyst 3","0003001","BASIC LIFE INSURANCE - $5.000","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.89","17.72"
"Administration","Human Resource Analyst 3","0003001","DENTAL INSURANCE","132.36","132.36","132.36","132.36","132.36","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","145.52","148.41","2556.45"
"Administration","Human Resource Analyst 3","0003001","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","38.30"
"Administration","Human Resource Analyst 3","0003001","HEALTH INSURANCE","1291.15","1291.15","1291.15","1291.15","1291.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1819.15","1890.58","30176.13"
"Administration","Human Resource Analyst 3","0003001","PERS PENSION OBLIGATION BOND PAYMENT","436.02","445.37","441.36","441.36","492.92","478.62","478.62","478.62","478.62","478.62","478.62","495.49","506.45","506.45","506.45","506.45","506.45","506.45","8662.94"
"Administration","Human Resource Analyst 3","0003001","PERS RETIREMENT","1732.43","1769.60","1753.67","1753.67","1895.36","1840.36","1840.36","1840.36","1840.36","1840.36","1840.36","1905.25","1947.40","1947.40","1947.40","1947.40","1947.40","1947.40","33536.54"
"Administration","Human Resource Analyst 3","0003001","PUBLIC EMPLOYEES' BENEFIT BOARD FEES","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","2.95","58.20"
"Administration","Human Resource Analyst 3","0003001","REGULAR EMPLOYEES SALARY","6920.87","7069.34","7005.71","7005.70","7571.73","7352.00","7352.00","7352.00","7352.00","7352.00","7352.00","7417.17","7409.15","7409.15","7409.15","7409.15","7409.15","7409.15","131557.42"
"Administration","Human Resource Analyst 3","0003001","SOCIAL SECURITY & MEDICARE","546.94","558.86","553.74","553.75","599.22","580.78","580.80","580.78","580.78","580.79","580.79","601.61","615.14","615.13","615.14","615.13","615.13","614.83","10589.34"
"Administration","Human Resource Analyst 3","0003001","WORK OUT OF CLASS & LEADWORK","346.04","353.46","350.28","350.29","378.59","367.60","367.60","367.60","367.60","367.60","367.60","574.62","759.45","759.45","759.45","759.45","759.45","759.45","9115.58"
"Administration","Human Resource Analyst 3","0003001","WORKERS' BENEFIT FUND ASSESSMENT","2.09","2.09","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.44","2.09","2.09","2.44","2.44","2.44","2.44","42.52"
"Administration","Information Systems Specialist 2","4123410","BASIC LIFE INSURANCE - $5.000","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.85","17.00"
"Administration","Information Systems Specialist 2","4123410","EMPLOYMENT RELATIONS BOARD ASSESSMENT","1.92","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","2.14","38.30"
"Administration","Information Systems Specialist 2","4123410","HEALTH INSURANCE","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.05","386.15","6949.00"
"Administration","Information Systems Specialist 2","4123410","OVERTIME PAYMENTS",,,,"34.22",,,,,,,,,,,,,,,"34.22"
"Administration","Information Systems Specialist 2","4123410","PERS PENSION OBLIGATION BOND PAYMENT","205.20","205.20","205.20","235.31","224.99","223.79","225.78","224.99","226.18","225.39","224.99","228.67","268.12","270.03","266.21","265.25","265.25","271.46","4267.26"
"Administration","Information Systems Specialist 2","4123410","PERS RETIREMENT","573.88","573.88","573.88","658.08","608.92","605.69","611.07","608.92","612.15","610.00","608.92","618.90","725.65","730.82","720.48","717.90","717.90","734.71","11625.96"
"Administration","Information Systems Specialist 2","4123410","REGULAR EMPLOYEES SALARY","3188.00","3188.00","3188.00","3270.36","3339.00","3339.00","3339.00","3339.00","3339.00","3339.00","3339.00","3372.00","3372.00","3372.00","3372.00","3530.00","3530.00","3530.00","60206.36"
