Meeting Title,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Contact Name,Phone Number,Contact Email,ADA Contact,Owner,Agenda Upload,Agenda Download
"OBMT January 30, 2017 Board Meeting","January 30, 2017 09:00 AM","January 30, 2017 04:00 PM",728 Hawthorne Ave NE , Salem,OR,,Ekaette Udosenata,5033658657,Ekaette.udosenata@state.or.us,,,,Jan_30_2017_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/6e0d802b-beee-4e6f-a4b6-4fc5efda1abd?download=true&filename=Jan_30_2017_Agenda%20(PUBLIC).pdf)
"OBMT November 14, 2016 Board Meeting","November 14, 2016 09:00 AM","November 14, 2016 04:00 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,Nov_14_2016_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/48edbb5f-2492-4cea-b3d1-856f1a81162e?download=true&filename=Nov_14_2016_Agenda%20(PUBLIC).pdf)
"OBMT September 12, 2016 Board Meeting","September 12, 2016 09:00 AM","September 12, 2016 04:00 PM",728 Hawthorne Ave NE , Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,Sept_12_2016_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/dd7785a2-a923-4c5d-81ac-1e0b8fab6d6e?download=true&filename=Sept_12_2016_Agenda%20(PUBLIC).pdf)
"OBMT July 18, 2016  Board Meeting","July 18, 2016 09:00 AM","July 18, 2016 04:00 PM",728 Hawthorne Ave NE , Salem,OR,,Ekaette Udosenata,5033658657,ekaette.udosenata@state.or.us,,,,
"OBMT May 20-21, 2016 Board Meeting","May 20, 2016 09:00 AM","May 21, 2016 04:00 PM","East West College, 525 NE Oregon St", Portland,OR,The May Traveling Board Meeting will Adjourn @ 4:00 pm (Ending time may vary),Ekaette Udosenata-Harruna,503-365-8657,ekaette.udosenata@state.or.us,,,,May_20-21_2016_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/7b702f60-d570-4fb8-a27f-c59b938bcbb8?download=true&filename=May_20-21_2016_Agenda%20(PUBLIC).pdf)
"OBMT March 14, 2016 Board Meeting","March 14, 2016 09:00 AM","March 14, 2016 08:00 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata-Harruna,503-365-8657,ekaette.udosenata@state.or.us,,,,March_14_2016_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/1f36b2dd-e571-41eb-ae34-031bb267866c?download=true&filename=March_14_2016_Agenda%20(PUBLIC).pdf)
Rules Committee Meeting,"February 12, 2016 09:00 AM","February 12, 2016 12:00 PM",728 Hawthorne Ave NE, Salem,OR,Rules Committee Meeting will Adjourn @ 12:00 (Ending time may vary),Ekaette Udosenata-Harruna,503-365-8657,ekaette.udosenata@state.or.us,,,,2.12.16_rules_meeting_notice_agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/0a72efa0-1641-49cd-bcbb-d40f024ac20f?download=true&filename=2.12.16_rules_meeting_notice_agenda.pdf)
"OBMT January 25, 2016 Board Meeting","January 25, 2016 09:00 AM","January 25, 2016 02:45 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata,503-365-8657,ekaette.udosenata@state.or.us,,,,January_25_2016_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/710f776b-fb64-496a-8291-2ce3481a890b?download=true&filename=January_25_2016_Agenda%20(PUBLIC).pdf)
OBMT Board Meeting ,"November 09, 2015 09:03 AM","November 09, 2015 02:45 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata-Harruna,,ekaette.udosenata@state.or.us,,,,Nov_9_2015_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/QoOipaaEgegsx5-Ef6Tc1Wget3R3JO0J08wiwffmXIs?download=true&filename=Nov_9_2015_Agenda%20(PUBLIC).pdf)
Rules Hearing,"October 26, 2015 09:05 AM","October 26, 2015 09:15 AM",728 Hawthorne Ave NE , Salem,OR,,Ekaette Udosenata-Harruna,,ekaette.udosenata@state.or.us,,,,
OBMT Board Meeting,"September 14, 2015 09:03 AM","September 13, 2015 04:59 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata-Harruna,,ekaette.udosenata@state.or.us,,,,Sept_14_2015_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/qqrPQXoqAsnDusDpw-cb_paBOZ2OuABYOSqdzxqYTdg?download=true&filename=Sept_14_2015_Agenda%20(PUBLIC).pdf)
Rules Committee,"August 10, 2015 09:05 AM","August 10, 2015 11:30 AM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata-Harruna,,ekaette.udosenata@state.or.us,,,,
OBMT Board Meeting,"July 20, 2015 09:03 AM","July 21, 2015 04:09 PM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata-Harruna,,ekaette.udosenata@state.or.us,,,,July_20_2015_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/jgWvMkGrP7jl2k_VGh1hrb9nfn_50otr9WYFJQ7hIiw?download=true&filename=July_20_2015_Agenda%20(PUBLIC).pdf)
OBMT Board Meeting,"May 29, 2015 09:02 AM","May 30, 2015 03:14 PM"," 1108 E Marina Dr, ",Hood River,OR,,Ekaette Udosenata-Harruna,,ekaette.udosenata@state.or.us,,,,May_29-30_2015_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/P8veYEmYfuES302RSK5aXJMrgXQzh7ZN-4W_frZLZzg?download=true&filename=May_29-30_2015_Agenda%20(PUBLIC).pdf)
Rules Hearing,"May 21, 2015 09:00 AM","May 21, 2015 09:09 AM",728 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata-Harruna,,ekaette.udosenata@state.or.us,,,,
Board Meeting,"March 09, 2015 09:00 AM","March 09, 2015 03:19 PM",748 Hawthorne Ave NE , Salem,OR,,Ekaette Udosenata-Harruna,503-365-8657,ekaette.udosenata@state.or.us,,,,March_9_2015_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/Ge1t9F7VZhvOTO6xFSjN_Ha-Dybxk9b9JMI8GxkdR_E?download=true&filename=March_9_2015_Agenda%20(PUBLIC).pdf)
Rules Hearing,"March 06, 2015 09:00 AM","March 06, 2015 09:22 AM",748 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata-Harruna,,ekaette.udosenata@state.or.us,,,,
Insurance Billing and Fee Splitting Task Force,"January 26, 2015 09:00 AM","January 26, 2015 02:00 PM",101 W 10th Ave, Eugene,OR,Lane Community College Downtown Campus,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
Board Meeting,"January 12, 2015 09:00 AM","January 12, 2015 04:00 PM",748 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata-Harruna,503-365-8657,ekaette.udosenata@state.or.us,,,,January_12_2015_Agenda (PUBLIC).pdf (https://data.oregon.gov/views/gs36-7t8m/files/y3TUy0b_qAeP82rkCs-xvx-oMeVUKQBMLAmQOHLHXpo?download=true&filename=January_12_2015_Agenda%20(PUBLIC).pdf)
Board Meeting,"November 17, 2014 09:00 AM","November 17, 2014 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
Rules Committee Meeting,"October 06, 2014 09:00 AM","October 06, 2014 10:15 AM",748 Hawthorne Ave NE, Salem,OR,"Review Proposed Rules Effective July 1, 2015
  Modifications for Electronic Fingerprint,
  Definitions
  Cap for Late Fee;
  Good Moral Character and Professional Fitness
  Rules on Photographing or Filming
  Remove Hand Washing Signage requirement.

Review Proposed Rules Effective January 1, 2016
  Continuing Education
  Licensure
  Lapsed License

",Ekaette Udosenata Harruna,503--365-8657,ekaette.udosenata@state.or.us,Ekaette Udosenata Harruna,,,10.6.2014_rules_meeting_notice_agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/0CHVtNFiiRVTfLoPu7lFESErbuqVim5Ne5ip2YB59L8?download=true&filename=10.6.2014_rules_meeting_notice_agenda.pdf)
Board Meeting,"September 22, 2014 09:00 AM","September 22, 2014 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
"August 11, 2014 Rules Committee Meeting","August 11, 2014 09:00 AM","August 11, 2014 12:00 PM",748 Hawthorne Ave NE, Salem,OR,,OBMT,,ekaette.udosenata@state.or.us,,ekaette.udosenata@state.or.us,https://data.oregon.gov/views/aqnn-vgzt/files/JMbZKm6baSIgFlvkTCkSa5pBJG8bJtkTotgPv1vxWKc?filename=application%2Fpdf%3B+charset%3Dbinary,
Board Meeting,"July 21, 2014 09:00 AM","July 21, 2014 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,Crystal Quatier,,crystal.quatier@state.or.us,,christine.west@state.or.us,,
"July 21, 2014 Board Meeting","July 21, 2014 09:00 AM","July 21, 2014 05:00 PM",748 Hawthorne Ave NE, Salem,OR,,OBMT,,ekaette.udosenata@state.or.us,Ekaette Udosenata,ekaette.udosenata@state.or.us,https://data.oregon.gov/views/aqnn-vgzt/files/BAESg_eTUpn7VeGYJEowh1uTXacpx9RyqiG3UKrqUHM?filename=application%2Fpdf%3B+charset%3Dbinary,
"March 17, 2014 Board Meeting","July 17, 2014 09:00 AM","July 17, 2014 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,OBMT,,ekaette.udosenata@state.or.us,,ekaette.udosenata@state.or.us,https://data.oregon.gov/views/aqnn-vgzt/files/1EBVt4nZN9kP_aCzR_UIcK1CU5WXGbXfIYKXA9KNF7o?filename=application%2Fpdf%3B+charset%3Dbinary,
Continuing Education Task Force,"June 30, 2014 09:00 AM","June 30, 2014 10:30 AM",748 Hawthorne Ave NE , Salem,OR,,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,,,6.30.2014.CE.Notice.pdf (https://data.oregon.gov/views/gs36-7t8m/files/8SB70Y_ujdBQ6b56Jlmv5R-VAZRPaNaaouvO7NC8exg?download=true&filename=6.30.2014.CE.Notice.pdf)
Board Meeting - Day 2 of 2 Traveling Board meeting,"May 17, 2014 09:00 AM","May 17, 2014 03:30 PM",Rogue Community College 3345 Redwood Hwy, Grants Pass,OR,"Yearly 2-day traveling board meeting, the planning meeting.",Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
"May 16-17, 2014 Board Meeting","May 16, 2014 10:00 AM","May 17, 2014 01:30 PM","Rogue Community College-North Café 3345 Redwood Hwy Grants Pass, Oregon 97527", Grants Pass,OR,,OBMT,,ekaette.udosenata@state.or.us,Ekaette Udosenata-Harruna,ekaette.udosenata@state.or.us,https://data.oregon.gov/views/aqnn-vgzt/files/2fwICc9j6HVWG26lxPCzCYE6BrxQ4RKbKqeD9u_mzSQ?filename=application%2Fpdf%3B+charset%3Dbinary,
Rules Hearing,"May 16, 2014 09:00 AM","May 16, 2014 10:00 AM",Rogue Community College 3345 Redwood Hwy   , Grants Pass,OR,Rules Hearing to adopt rules on 7/1/2014,Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Board Meeting - Day 1 of 2 Traveling Meeting,"May 16, 2014 09:00 AM","May 16, 2014 04:30 PM",Rogue Community College 3345 Redwood Hwy, Grants Pass,OR,The yearly 2-day traveling Board meeting. This is the Boards planning meeting. ,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
Board Meeting,"March 17, 2014 09:00 AM","March 17, 2014 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
"January 13, 2014 Board Meeting","January 13, 2014 09:00 AM","January 13, 2014 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,OBMT,,ekaette.udosenata@state.or.us,,ekaette.udosenata@state.or.us,https://data.oregon.gov/views/aqnn-vgzt/files/79ylGDZFYC8qhQvfM01Bo8UWlayr_c0YzeLbUwdI_HE?filename=application%2Fpdf%3B+charset%3Dbinary,
Board Meeting,"January 13, 2014 09:00 AM","January 13, 2014 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
Rules Hearing ,"November 18, 2013 09:00 AM","November 18, 2013 10:00 AM",OBMT Office 748 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
"November 18, 2013 Board Meeting","November 18, 2013 09:00 AM","November 18, 2013 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,OBMT,,ekaette.udosenata@state.or.us,,ekaette.udosenata@state.or.us,https://data.oregon.gov/views/aqnn-vgzt/files/SN3uuSbMGw9nInqJ7FfCD6kW2VG8RnfKXyJ3E2jbZ58?filename=application%2Fpdf%3B+charset%3Dbinary,
Board Meeting,"November 18, 2013 09:00 AM","November 18, 2013 04:30 PM",OBMT Office 748 Hawthorne Ave NE, Salem,OR,Rules Hearing 9-10 am,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
Exam Task Force,"October 28, 2013 06:30 PM","October 28, 2013 09:00 PM",East West College of Healing Arts 525 NE Oregon St, Portland,OR,"Public is allowed for the first two agenda items and then public is excused for the executive session of the meeting. 
1. Job Task Analysis Review
2. Compliance Statistics
3. Public Comment
4. Public and Visitors Excused
5. Executive Session (no public)
a. Review Practical Exam",Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
Education Committee,"October 14, 2013 09:00 AM","October 14, 2013 11:00 AM",748 Hawthorne Ave NE , Salem,OR,,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
Board Meeting,"September 23, 2013 09:00 AM","September 23, 2013 04:30 PM",OBMT Office 748 Hawthorne Ave NE, Salem,OR,,Ekaette Udosenata Harruna,,ekaette.udosenata@state.or.us,,christine.west@state.or.us,,
"September 23, 2013 Board Meeting","September 23, 2013 09:00 AM","September 23, 2013 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,OBMT,,ekaette.udosenata@state.or.us,,ekaette.udosenata@state.or.us,https://data.oregon.gov/views/aqnn-vgzt/files/aQFDOVvq6sttjt_Lcgbkpxa8UXyg8zAbRmJ0CrDj_PE?filename=application%2Fpdf%3B+charset%3Dbinary,
Education Committee,"August 09, 2013 09:30 AM","August 09, 2013 11:30 AM","University of Western States, Hampton Hall Conf Room 290 NE 132nd Ave", Portland,OR,"The committee is addressing the boards assignment -  
Should Board approve CE classes?
a.If so what topics should be accepted/approved?

Meeting location: 
University of Western States
290 NE 132nd Ave
Portland, OR 97230",Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Board Meeting,"July 22, 2013 09:00 AM","July 22, 2013 04:30 PM",OBMT Office 748 Hawthorne Ave NE, Salem,OR,,Diana Nott,,diana.nott@state.or.us,,christine.west@state.or.us,,
"July 22, 2013 Board Meeting","July 22, 2013 09:00 AM","July 22, 2013 04:30 PM",748 Hawthorne Ave NE, Salem,OR,,OBMT,,ekaette.udosenata@state.or.us,,ekaette.udosenata@state.or.us,https://data.oregon.gov/views/aqnn-vgzt/files/efwitWcedQ36adbyotde2rY2CXnChEuhJV0Yvv6DvSk?filename=application%2Fpdf%3B+charset%3Dbinary,
Traveling Board Meeting,"May 17, 2013 09:00 AM","May 18, 2013 05:00 PM","Lane Community College, 101 W. 10th Ave.", Eugene,OR,"This is a two day traveling Board meeting. 
Friday starts at 9:00 a.m. and ends at approximately 5:00 p.m.
Saturday starts at 9:00 a.m. and ends at approximately 5:00 p.m.

The meeting agenda will be posted in May, the link to the Web page is below.",Diana Nott,,diana.nott@state.or.us,,christine.west@state.or.us,,
Rules Hearing,"May 16, 2013 09:00 AM","May 16, 2013 11:00 AM",748 Hawthorne Ave NE, Salem,OR,"Rules hearing to adopt amended rules 
",Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Education Committee ,"May 03, 2013 10:00 AM","May 03, 2013 12:00 PM","Pioneer Pacific College, 27375 SW Parkway Ave, Room H105", Wilsonville,OR,Reviewing Continuing Education Requirements,Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Rules Committee,"March 15, 2013 09:00 AM","March 15, 2013 11:00 AM",748 Hawthorne Ave NE, Salem,OR,"review and edit rules: 

a.	Review Internal Cavity Massage
b.	Review Discipline 
c.	Review Exemption
d.	Review Budget 
e.	Write Fiscal Impact Statement

meeting scheduled from 9-11 am, may end earlier if work complete. ",Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Board Meeting,"March 11, 2013 09:00 AM","March 11, 2013 04:30 PM",OBMT Office 748 Hawthorne Ave NE, Salem,OR,,Diana Nott,,diana.nott@state.or.us,,christine.west@state.or.us,,
Board Meeting,"January 14, 2013 09:00 AM","January 14, 2013 04:00 PM",OBMT Office 748 Hawthorne Ave NE, Salem,OR,,Diana Nott,,diana.nott@state.or.us,,christine.west@state.or.us,,
Rule Hearing,"November 26, 2012 09:00 AM","November 26, 2012 10:00 AM",748 Hawthorne Ave NE, Salem,OR,,Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Board Meeting,"November 26, 2012 09:00 AM","November 26, 2012 05:00 PM",Board of Massage Therapists 748 Hawthorne Ave NE, Salem,OR,,Diana Nott,,Diana.Nott@state.or.us,,christine.west@state.or.us,,
Board Meeting,"October 15, 2012 09:00 AM","October 15, 2012 05:00 PM",Board of Massage Therapists 748 Hawthorne Ave NE, Salem,OR,,Diana Nott,,Diana.Nott@state.or.us,,christine.west@state.or.us,,
Rules Committee,"September 27, 2012 09:00 AM","September 27, 2012 11:00 AM","Board of Massage Therapists, 748 Hawthorne Ave NE", Salem,OR,"Review Internal Cavity Massage
Review Class Certification
Discuss Breema Exemption
Discuss “Successful Completion” Definition
Write Fiscal Impact Statement",Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Scope of Practice,"September 14, 2012 01:00 PM","September 14, 2012 03:00 PM",Oregon School of Massage 9500 SW Barbur Blvd #100, Portland,OR,,Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Education Committee,"September 14, 2012 10:00 AM","September 14, 2012 12:00 PM",Oregon School of Massage 9500 SW Barbur Blvd #100, Portland,OR,,Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Rules Committee,"August 13, 2012 09:00 AM","August 13, 2012 10:00 AM",748 Hawthorne Ave, Salem,OR,,Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Board Meeting,"August 06, 2012 09:00 AM","August 06, 2012 05:00 PM",Board of Massage Therapists 748 Hawthorne Ave NE, Salem,OR,,Diana Nott,,Diana.Nott@state.or.us,,christine.west@state.or.us,,
Education,"July 20, 2012 10:00 AM","July 20, 2012 12:00 PM",Oregon School of Massage 9500 SW Barbur Blvd #100, Portland,OR,,Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Education,"June 29, 2012 10:00 AM","June 29, 2012 12:00 PM",Oregon School of Massage 9500 SW Barbur Blvd #100, Portland,OR,,Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Rules Hearing,"June 11, 2012 09:00 AM","June 11, 2012 10:00 AM",Board of Massage Therapists 748 Hawthorne Ave NE, Salem,OR,"Rules Hearing to adopt TWO(2) NEW RULES: 
BREAST MASSAGE
INTERNAL CAVITY MASSAGE

AMEND FOUR (4) RULES:
CREDENTIALING REVIEW
LICENSURE
BACKGROUND CHECKS
FEES",Christine West,503-365-8657 ext 302,Christine.West@state.or.us,,christine.west@state.or.us,,
Board Meeting,"June 11, 2012 09:00 AM","June 11, 2012 05:00 PM",Board of Massage Therapists 748 Hawthorne Ave NE, Salem,OR,,Diana Nott,503-365-8657 x 301,diana.nott@state.or.us,,christine.west@state.or.us,,
Scope of Practice Committee,"May 18, 2012 01:00 PM","May 18, 2012 03:00 PM",Oregon School of Massage 9500 SW Barbur Blvd #100 , Portland,OR,"Agenda topics: 
Review Modality Endorsement on License
Review Proposed Board Name Changes",Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Education Committee,"May 18, 2012 10:00 AM","May 18, 2012 12:00 PM",Oregon School of Massage 9500 SW Barbur Blvd #100 , Portland,OR,"Agenda Topics 
Review suggestions for the Model Curriculum from the All Schools meeting
a. Final Review of Pathology List
b. Final Review of Muscle List Review",Christine West,,christine.west@state.or.us,,christine.west@state.or.us,,
Board Meeting ,"May 14, 2012 09:00 AM","May 14, 2012 05:00 PM",Board of Massage Therapists 748 Hawthorne Ave NE, Salem,OR,,Diana Nott,503-365-8657 x 301,diana.nott@state.or.us,,christine.west@state.or.us,,
Scope of Practice Committee,"April 13, 2012 01:00 PM","April 13, 2012 03:00 PM",Oregon School of Massage 9500 SW Barbur Blvd #100, Portland,OR,,Christine West,503-365-8657 x 302,christine.west@state.or.us,,christine.west@state.or.us,,
Education Committee,"April 13, 2012 10:00 AM","April 13, 2012 12:00 PM",Oregon School of Massage 9500 SW Barbur Blvd #100, Portland,OR,,Christine West,503-365-8657 x 302,christine.west@state.or.us,,christine.west@state.or.us,,
Board Meeting Day 2,"March 31, 2012 09:00 AM","March 31, 2012 12:00 PM",University of Western States 2900 NE 132nd Avenue, Portland,OR,"Board Bylaws - 
Peer Review Audit - 
a) Bi-monthly Board Meetings
b) Key Performance Measures
c) Consistency in Discipline
d) Complaint Form on Web Page - 
Board Mission, Vision, and Values
a) Five Year Plan
b) Ten Year Plan",Diana Nott,503-365-8657 x 301,diana.nott@state.or.us,,christine.west@state.or.us,,
Board Meeting Day 1,"March 30, 2012 09:00 AM","March 30, 2012 05:00 PM",University of Western States 2900 NE 132nd Avenue, Portland,OR,,Diana Nott,503-365-8657 X 301,diana.nott@state.or.us,,christine.west@state.or.us,,
Massage Therapists Board Meeting,"February 13, 2012 09:00 AM","February 13, 2012 05:00 PM",Oregon Board of Massage Therapists, Salem,OR,"Board Meeting
scheduled 9 am - 5 pm, but may end early; see agenda",Diana Nott,,diana.nott@state.or.us,,christine.west@state.or.us,,
