Agency Sponsor,Title,Short Description,Start Date/Time,End Date/Time,State,Details,Contact Name,Phone,Web Link,Calendar Link,Map Location
Oregon Association of Minority Entrepreneurs: OAME,Veterans Business Committee,,08/13/2021 09:00:00 AM,08/13/2021 10:00:00 AM,PDT,Cost: No fee,,,Contact OAME (https://oame.org/contact-oame/),,
Oregon Association of Minority Entrepreneurs: OAME,Coffee and Issues Meeting,AT: OAME Center 731 N. Hayden Meadows Dr. Main Conference Room Portland OR 97217,08/27/2021 07:00:00 AM,08/27/2021 08:30:00 AM,PDT,Cost: No fee,,,Contact OAME (https://oame.org/contact-oame/),,
Salem Capitol Connections,City of Salem Public Works Operations Building,"Howard S. Wright Project Manager, Evan Grimm, and staff will present the upcoming Salem Operations Center Building Project currently under design and provide subcontractors with information about how they can get involved in the the project.",08/31/2021 07:30:00 AM,08/31/2021 09:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410034),,
Columbia Gorge Community College SBDC,Comenzando tu negocio,"Tienes una ide de negocio y no sabes por donde comenzar? Hablaremos de como iniciar un negocio, requisitos, registraciones y puntos de contacto.",08/10/2021 09:00:00 AM,08/10/2021 11:00:00 AM,PDT,Tarifa: Sin costo,,, Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410097),,
Columbia Gorge Community College SBDC,Crear un menu que venda por ti,"En esta clase hablaremos de las estrategias de posiciones de platillos en el menú, formulas para costos, entender los costos de cada platillo y como utilizar tu menú para que haga las ventas por ti.",08/10/2021 03:00:00 PM,08/10/2021 05:00:00 PM,PDT,Tarifa: Sin costo,,, Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410106),,
Columbia Gorge Community College SBDC,Entendiendo estados financieros,"En esta clase hablaremos de los estados financieros de tu negocio, como leerlos, como utilizarlos han la planeaciónde tu negocio y para comparar tu negocio con la industria en la que te encuentras.",08/10/2021 06:00:00 PM,08/10/2021 08:00:00 PM,PDT,Tarifa: Sin costo,,, Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410110),,
Columbia Gorge Community College SBDC,Quien es tu cliente-Columbia Gorge Community College SBDC,"Aquí te ayudaremos a identificar tu cliente meta, formas de llegar a tu cliente y crear un plan o estrategias para llegar a el.",12/08/2021 12:00:00 PM,12/08/2021 02:00:00 PM,PDT,Tarifa: Sin costo,,,Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410173),,
Columbia Gorge Community College SBDC,Iniciando un carro de comida,¿Estas interesado en iniciar tu propio negocio? En esta clase hablaremos de los requisitos y como planear y administrar tu negocio de comida.,08/10/2021 12:00:00 PM,08/10/2021 02:00:00 PM,PDT,Tarifa: Sin costo,,,Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410103),,
Secretary of State,Basics Notary Webinar,Free training to become a notary,08/12/2021 09:00:00 AM,08/12/2021 12:00:00 PM,Oregon,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ",Monique Bourque,971-701-5075,Notary resources (https://sos.oregon.gov/business/Pages/notary.aspx),Notary seminar schedule (https://notsem.sos.state.or.us/),"255 Capitol Street NE, Suite 151
Salem, OR 97310
(44.939191, -123.028192)"
OMEP (Oregon Manufacturing Extension Partnership),"Innovating Solutions – ERP Next, a Public/Private Partnership at Work",SEDCOR July Economic Business Forum Webinar,07/14/2021 12:00:00 PM,07/14/2021 01:00:00 PM,PST,Cost: No Fee,,,Register Online (https://us02web.zoom.us/webinar/register/WN_sv0mGETXRDCOUgTdd_TKUw),,
Oregon Manufacturing Extension Partnership (OMEP),The Business Imperative of Inclusion and Diversity,"Leading an organization with an inclusion and diversity (I&D) mindset can boost innovation, attract and retain top talent, and enable your organization to better serve the growing diversity of your clients and communities.",07/19/2021 10:00:00 AM,07/19/2021 11:15:00 AM,PDT,Cost: No Fee,,,Register Online (https://www.mossadams.com/events/2021/07/the-business-imperative-of-inclusion-and-diversity),,
Oregon Manufacturing Extension Partnership (OMEP),Rethink KPIs: Which Metrics You Should Focus On,"The COVID-19 pandemic has changed the way higher education leaders view and report on key performance indicators (KPIs). While most finance professionals still embrace a less-is-more approach to monitoring KPIs, institutions often have a thirst for more information—if measuring three KPIs helps operations, wouldn’t measuring 10 be even better? Not necessarily.",07/27/2021 10:00:00 AM,07/27/2021 11:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://www.mossadams.com/events/2021/07/rethink-kpis-which-metrics-you-should-focus-on),,
U.S. Small Business Administration,3-Day Virtual Conference during National Small Business Week,"This event will include educational presentations and panel discussions that help both new and existing businesses to recover, adapt and innovate in this challenging time.",09/23/2021 07:00:00 AM,09/23/2021 01:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI%3A4%3BF%3AQS%2110100&ShowKey=110126%3Dscoreeventpage),,
Mercy Corps Northwest,Rebuilding Your Foundations Under COVID,"This class is designed for business owners who in the last year who suffered losses in revenue saw declines in customers, or had to make operational changes due to COVID-19.",07/06/2021 04:00:00 PM,08/03/2021 07:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://www.mercycorpsnw.org/event/online-rebuilding-your-foundations-under-covid-tuesdays-beginning-july-6/),,
OMEP(Oregon Manufacturing Extension Partnership),How to Develop Forward Thinking Financial Dashboards,Strong financial reporting is essential to a company’s current and long-term success. Your company’s financial data should tell the story of your organization’s health—in its current state and in the future.,07/14/2021 12:00:00 PM,07/14/2021 01:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://www.mossadams.com/events/2021/07/how-to-develop-forward-thinking-financial-dashboar),,
The U.S. Small Business Administration,3-Day Virtual Conference during National Small Business Week,"This event will include educational presentations and panel discussions that help both new and existing businesses to recover, adapt and innovate in this challenging time.",09/24/2021 07:00:00 AM,09/24/2021 01:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI%3A4%3BF%3AQS%2110100&ShowKey=110126%3Dscoreeventpage),,
U.S. Small Business Administration,Getting Back on Track: Help is Here,Getting Back on Track: Help is Here,07/15/2021 11:00:00 AM,07/15/2021 12:00:00 PM,PDT,,,,Register Online (https://us02web.zoom.us/webinar/register/WN_4v5-NjdPQVGlvrUXwVROVA?utm_medium=email&utm_source=govdelivery),,
SCORE Central Oregon,The Million Dollar Marketer's Roadmap - How to Build a Solid Digital Marketing Foundation,"From working with thousands of small business marketers and studying the daily practices of successful ones, this value-packed workshop provides a roadmap for any small business owner to build a solid digital marketing foundation and strive toward those coveted seven figures of revenue.",07/22/2021 10:00:00 AM,07/22/2021 11:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1468913&tp_key=53533e69c7&sti=scoreeventpage),,
Oregon Association of Minority Entrepreneurs,OAME,Contractors & AEPT Meeting,07/09/2021 07:30:00 AM,07/09/2021 09:00:00 AM,PDT,Cost: No Fee,,,Contact OAME to register (https://oame.org/contact-oame/),,
Livelihood NW,Business Development Series,5 Weekly sessions starting 9/22/21,09/22/2021 04:00:00 PM,10/20/2021 06:00:00 PM,PDT,Cost: $175 for all 5 sessions,,,Register Online (https://livelihoodnw.org/business-development-series),,
Mt. Hood Community College SBDC,Start Your Business in Oregon Tips,Start Your Business in Oregon Tips,08/17/2021 01:00:00 PM,08/17/2021 02:00:00 PM,PDT,Cost: No fee,,,Register Online (http://learn.mhcc.edu/modules/shop/index.html?action=section&OfferingID=871&SectionID=4312),,
Hispanic Metropolitan Chamber,Latino Leadership Networking Event-Hispanic Metropolitan Chamber,Latino Leadership Networking Event,10/26/2021 05:30:00 PM,10/26/2021 06:30:00 PM,PDT,Cost: No fee,,,Register Online (https://us02web.zoom.us/meeting/register/tZEqdOiqrz0sE9FwzpOhmL4RXWyxHaIP5Fi-),,
Chemeketa Community College SBDC,"Ready, Set, Start Your Business",Are you ready to start your business? Not sure if you have everything in order or you don’t know what you don’t know?  Begin your business the right way. Come and learn about:   business structure  business registration  licensing  taxes  miscellaneous rules and regulations,08/19/2021 12:00:00 PM,08/19/2021 02:00:00 PM,PDT,Cost: No fee,,,Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410059),,
SCORE Central Oregon,Local Search Engine Optimization(SEO) Strategies to Get Your Business Found Online,"When people are looking for products or services from local businesses, 97% of them turn to the internet. So if you own a local business, will people find YOUR company’s website when they search online?",07/29/2021 10:00:00 AM,07/29/2021 11:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://centraloregon.score.org/event/local-search-engine-optimizationseo-strategies-get-your-business-found-online),,
SBA Pacific Northwest Region,Understanding Tax Credits,Join the SBA Pacific Northwest Region for this webinar when a local IRS representative will provide detailed information to help you navigate various small business tax credits and how they can benefit your business.,07/22/2021 10:00:00 AM,07/22/2021 11:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://www.eventbrite.com/e/small-business-understanding-tax-credits-tickets-162594465423?utm_medium=email&utm_source=govdelivery),,
Oregon Manufacturing Extension Partnership (OMEP),Cybersecurity Forum,The content will be targeted to both management and technical staff working toward cybersecurity compliance with the Department of Defense’s Cybersecurity Maturity Model Certification (CMMC) and other cybersecurity efforts.,07/15/2021 09:00:00 AM,07/15/2021 10:30:00 AM,PDT,Cost: No Fee,,,Register Online (https://www.pndc.us/index.php?option=com_jevents&task=icalrepeat.detail&evid=529&Itemid=115&year=2021&month=07&day=15&title=cybersecurity-forum-&uid=979956f1b9daf999c3f3857b646f11e9&catids=22|24|47|42|25),,
Oregon Association of Minority Entrepreneurs,OAME,Veterans Committee,07/09/2021 09:00:00 AM,07/09/2021 10:00:00 AM,PDT,Cost: No Fee,,,Contact OAME to register (https://oame.org/contact-oame/),,
U.S. Small Business Administration,3-Day Virtual Conference during National Small Business Week,"This event will include educational presentations and panel discussions that help both new and existing businesses to recover, adapt and innovate in this challenging time.",09/22/2021 10:00:00 AM,09/22/2021 01:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI%3A4%3BF%3AQS%2110100&ShowKey=110126%3Dscoreeventpage),,
Oregon Manufacturing Extension Partnership (OMEP),4 Words that Could Change Your Business Forever,4 Words that Could Change Your Business Forever: Have you considered Exporting?  Don’t miss this informative training opportunity for leaders who are interested in exploring new sales channels. Exporting is not as difficult as you might think and offers profitable long-term rewards.,07/28/2021 02:00:00 PM,07/28/2021 03:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://us02web.zoom.us/webinar/register/WN_1sePfyLgRB6VSuITWUT0rw),,
Oregon Manufacturing Extension Partnership (OMEP),State and Local Tax Considerations for E-commerce Businesses,"If left unattended, taxes imposed by the state and local jurisdictions can wreak havoc on your company’s hard-earned success, put constraints on your company’s finances and cash flow, and place a heavy burden on your team’s valuable time.",07/20/2021 10:00:00 AM,07/20/2021 11:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://www.mossadams.com/events/2021/07/state-and-local-tax-considerations-for-e-commerce?mkt_tok=Mzg0LUJYQi02MzAAAAF9_Q3TQGsnmJSjwavz6VGp3l8e7d6uR-XwViqADlv0n-sPQ9kT_MokcjokrFXYnJ4TErwPbsx5DxE82qsHn3sz5SVU5p24woNRz1mPCQRV4k4#registration),,
SCORE Central Oregon,Attract Clients and Position Your Brand with Content Marketing,"In this webinar, SCORE Mentor Jasmine Powers will show you five key ways to get control of your content marketing for attracting clients and positioning your brand.",07/15/2021 10:00:00 AM,07/15/2021 11:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1470282&tp_key=dfab5ce7df&sti=scoreeventpage),,
Oregon's Procurement Technical Assistance Center (GCAP),Are You Eligible for the HUBZone Program?,The Historically Underutilized Business Zone (HUBZone) Program helps  small businesses in urban and rural communities gain preferential access  to federal procurement opportunities.,07/14/2021 09:00:00 AM,07/14/2021 10:00:00 AM,OR,Cost: No Fee,,,Register Online (https://center-gateway.com/2/gateway/020000/events/event_detail;event_id=60811),,
SCORE Central Oregon,How To Leverage LinkedIn for Lead Generation,"If you are wondering how to use LinkedIn properly so you can get noticed, build your 1st-degree connections, gain exposure, and boost revenue for your business, tune in!",07/27/2021 10:00:00 AM,07/27/2021 11:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1469238&tp_key=41233b06fc&sti=scoreeventpage),,
,OAME Coffee and Issues,Monthly networking meeting of the Oregon Association of Minority Entrepreneurs,02/25/2022 07:30:00 AM,02/25/2022 09:00:00 AM,,,,,http://www.oame.org,,
Oregon Association of Minority Entrepreneurs (OAME),Coffee and Issues ,"In person meeting at the OAME Center,  731 N Hayden Meadows Dr, Portland OR 97217. Phone # 503-249-7744 ",07/30/2021 07:00:00 AM,07/30/2021 08:30:00 AM,PDT,Cost: No Fee,,,Online contact form: (https://oame.org/contact-oame/),,
Hispanic Metropolitan Chamber,HMC'S LATINO NETWORKING EVENT ,"Time: 6:00pm – 8:00pm  Place: Rex Hill Winery 30835 Oregon 99W, Newberg, OR 97132 Sponsor: Wells Fargo ",07/21/2021 06:00:00 PM,07/21/2021 08:00:00 PM,PDT,Cost: $35 to members & $45 non-members,,,RSVP Online (https://www.eventbrite.com/e/latino-networking-event-tickets-159187551251),,
Columbia Gorge Community College SBDC,Comenzando tu negocio-Columbia Gorge Community College SBDC,"Tienes una idea de negocio y no sabes por donde comenzar? Hablaremos de como iniciar un negocio, requisitos, registraciones y puntos de contacto.",10/06/2021 09:00:00 AM,10/06/2021 11:00:00 AM,PDT,Tarifa: Sin costo,,,Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410155),,
US Small Business Administration ,Finance & Equity,An equitable recovery for small businesses in the wake of devastating economic impact from the COVID-19 pandemic presents an imperative and an opportunity.,07/22/2021 09:00:00 AM,07/22/2021 10:30:00 AM,PDT,Cost: No Fee,,,Register Online (https://www.reimaginemainstreet.org/finance-and-equity?utm_medium=email&utm_source=govdelivery),,
SCORE - Portland,Starting a Food Cart Business ,"Learn all the steps required to open a food cart business in the Portland area. This workshop covers licensing, agency approvals, estimated costs and other issues that can lead to a successful food cart business.",08/03/2021 09:00:00 AM,08/03/2021 11:00:00 AM,PDT,Cost: $10 per person,,,Register Online (https://events.r20.constantcontact.com/register/eventReg?oeidk=a07eiaadzfncadb2cba&oseq=&c=&ch=),,
Mercy Corps Northwest,Funding Friday,Access to capital is vital for all small businesses and it provides a unique challenge during COVID-19. The funding landscape is constantly changing.,07/23/2021 01:30:00 PM,07/23/2021 02:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://www.mercycorpsnw.org/event/online-webinar-funding-friday-july-23/?utm_medium=email&utm_source=govdelivery),,
 Sign up for SBA email updates U.S. Small Business Administration, National Small Business Week Virtual Summit,"Join the SBA September 13 – September 15, 2021, for the National Small Business Week Virtual Summit to learn new business strategies, meet other business owners, and chat with industry experts. This free online event will include educational webinars, updates on resources for small businesses and a networking chat room for business owners and aspiring entrepreneurs.",09/13/2021 08:00:00 AM,09/15/2021 03:00:00 PM,PDT,Cost: No fee,,,Register Online (https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI:4;F:QS!10100&ShowUUID=5B16BB3D-BC6D-4177-9AE2-A8BF674E851C&AffiliateData=SBALandingPage&Referrer=https%3A%2F%2Fwww.sba.gov%2F),,
SCORE - Vancouver,Growing Your Business 3 - Marketing Your Business,"This SCORE webinar focuses on Marketing your Business. We’ll look at setting acquiring market data source information online or from your Library. A discussion on setting Marketing Goals for your business follows. And we’ll look at the all-important aspects of pricing, branding and competitor analysis.",07/24/2021 10:00:00 AM,07/24/2021 11:00:00 AM,PDT,Cost: Free,,,Register online (https://score.tfaforms.net/17?EventID=a105a000006v4RL&origination=https%3A//vancouver.score.org/event/growing-your-business-3-marketing-your-business%3Futm_medium%3Demail%26utm_source%3Dgovdelivery&_gl=1*q1kstr*_ga*NzU4Njk5MTEwLjE2MTgzMzAwMDU.*_ga_JDKRHEG2B3*MTYyNjc5NzcwNC4xLjAuMTYyNjc5NzcwNC4w&_ga=2.86503953.841098032.1626797705-758699110.1618330005),,
 Chemeketa Community College SBDC,Salem Capitol Connections -Chemeketa Community College SBDC,Salem Capitol Connections provides Oregon entrepreneurs with opportunities to connect with public and private entities that lead to sustainable business relationships and opportunities.,11/30/2021 07:30:00 AM,11/30/2021 09:00:00 AM,PDT,Cost: No fee,,,Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410037),,
Reinventing Rural ,Get Started – A CO.STARTERS Workshop to Help Launch Your Small Business – Harney County,"At: Harney County Chamber of Commerce Community Center 484 North Broadway Avenue, Burns",07/21/2021 05:00:00 PM,07/21/2021 08:00:00 PM,PDT,Cost: Free,,,Register Online (https://reinventingrural.com/event/get-started-harney-july2021/),,
Reinventing Rural,Get Started – A CO.STARTERS Workshop to Help Launch Your Small Business – Philomath,"At: Maxtivity Art and Craft Creative Space 1604 Main Street, Philomath",07/27/2021 09:00:00 AM,07/27/2021 12:00:00 PM,PDT,Cost: Free,,,Register Online (https://reinventingrural.com/event/get-started-philomath-july27/),,
Reinventing Rural,Get Started workshop developed by CO.STARTERS,Get Started is a three-hour workshop that gives you the tools to get your startup business idea moving forward. This is a virtual event!,08/10/2021 05:30:00 PM,08/10/2021 08:30:00 PM,PDT,Cost: No Fee,,,Register Online (https://reinventingrural.com/event/get-started-a-co-starters-workshop-to-help-launch-your-business-virtual/),,
Reinventing Rural,Get Started – A CO.STARTERS Workshop to Help Launch Your Business,Get Started is a three-hour workshop that gives you the tools to get your startup business idea moving forward.,08/24/2021 09:00:00 AM,08/24/2021 12:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://reinventingrural.com/event/get-started-philomath-august24/),,
WE - Women Entrepreneurs,Women Entrepreneurs WE Chat Ask Your Burning Small Business Questions,"Marlene Peterson, Melinda Short, and Anne Whittington have a combined 30 years of small businesses experience.   Each of them have over 5 years working as SBDC small business advisors. Additionally, they all have started and owned numerous rural small businesses in industries including construction, food, daycare, and digital marketing. ",07/23/2021 10:00:00 AM,07/23/2021 11:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://us02web.zoom.us/meeting/register/tZIqde-rqD4rHdPTqBmNSKjCuoEfhYvoLgpv),,
Salem Capitol Connections,How does Cybercrime affect YOUR business?,Join Supriya Shanbhag from the Mount Hood Small Business Development Center for an information session on cybersecurity,07/27/2021 07:30:00 AM,07/27/2021 09:00:00 AM,PDT,Cost: No Fee,,,Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410033),,
"Business Oregon, OMEP",4 Words that Could Change Your Business Forever: Have you considered Exporting?,Don’t miss this informative training opportunity for leaders who are interested in exploring new sales channels. Exporting is not as difficult as you might think and offers profitable long-term rewards.  The Riddle of the Exporter ™ seminar is sponsored by Business Oregon with the help of OMEP. This session will share a simple 8 step exporting process for small businesses. Now is the perfect time to consider exporting.,07/28/2021 02:00:00 PM,07/28/2021 03:00:00 PM,Oregon,Free online webinar,Alexa Byers,,Register for the free webinar  (https://www.omep.org/event/4-words-that-could-change-your-business-forever/),,
LIVELIHOOD NW,INTRO TO BOOKKEEPING,"This one-night workshop goes over the basics of bookkeeping. If you aren’t sure where to start when it comes to small business bookkeeping, this is a great first step!  ",10/04/2021 04:00:00 PM,10/04/2021 06:00:00 PM,PDT,Cost: $25,,,Register Online (https://livelihoodnw.org/intro-to-bookkeeping),,
SCORE Webinar,The Business Model Canvas PLUS - Develop Action Plans for Key Elements of Your Business Model Canvas,"The Business Model Canvas (BMC) is a one-page visual framework for planning, developing, and testing the business model(s) of an organization",08/31/2021 10:00:00 AM,08/31/2021 11:30:00 AM,PDT,Cost: No fee,,,Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1482629&tp_key=f6688bd417&sti=scoreeventpage),,
U.S. Small Business Administration Office of Capital Access ,COVID EIDL Webinar Series,The U.S. Small Business Administration Office of Capital Access will host a webinar series for small business owners to discuss the COVID EIDL (Economic Injury Disaster Loan) program’s small business loans. ,07/27/2021 10:00:00 AM,08/02/2021 06:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://publicprivatestrategies.zoom.us/webinar/register/WN_h2n4crRtQrSq-yYdUK1LHg?utm_medium=email&utm_source=govdelivery),,
U.S. Small Business Administration,WOSB Certification Eligibility and Application Process Webinar,SBA’s Women-Owned Small Business Federal Contracting Program oversees the process for Women-Owned Small Businesses (WOSBs) and Economically Disadvantaged Women-Owned Small Business certifications,08/26/2021 03:00:00 PM,08/26/2021 04:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery),,
U.S. Small Business Administration ,WOSB Certification Eligibility and Application Process Webinar,"Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ",09/09/2021 12:00:00 PM,09/09/2021 01:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery),,
U.S. Small Business Administration,WOSB Certification Eligibility and Application Process Webinar,"Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more",09/23/2021 12:00:00 PM,09/23/2021 01:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery),,
Columbia Gorge Community College SBDC,Comenzando tu negocio,"Columbia Gorge Community College SBDC-Comenzando tu negocio-Tienes una ide de negocio y no sabes por donde comenzar? Hablaremos de como iniciar un negocio, requisitos, registraciones y puntos de contacto.",08/31/2021 03:00:00 PM,08/31/2021 05:00:00 PM,PDT,Tarifa: Sin costo,,,Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410099),,
U.S. Small Business Administration,WOSB Certification Eligibility and Application Process Webinar,"Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more",10/14/2021 12:00:00 PM,10/14/2021 01:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery),,
U.S. Small Business Administration,SBA Celebrates Rural Entrepreneurship,You will also learn about resources available from the SBA and USDA to help rural entrepreneurs compete in the marketplace: launch or expand businesses; receive counseling; funding opportunities; and help to recover or rebuild from disasters.,08/26/2021 10:00:00 AM,08/26/2021 11:00:00 AM,PDT,Cost: No fee,,,Register Online (https://www.eventbrite.com/e/sba-celebrates-rural-entrepreneurship-registration-166336463841?utm_medium=email&utm_source=govdelivery),,
U.S. Small Business Administration,WOSB Certification Eligibility and Application Process Webinar,"Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ",10/28/2021 12:00:00 PM,10/28/2021 01:00:00 PM,PDT,Cost: No Fee,,,Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery),,
