Facility Name,View Marina Details Below,Location,Phone,website,Waterbody,Region,Ownership,Facility Owner,Contact,Date Pledged,Date Certified,Type,Boat Slips,Home Slips,Boater Services
Columbia Point Yacht Club 1,https://data.oregon.gov/views/w2n2-ruq7/files/WjnKXoCZ-0mq0RY1qzgk1wNPm9xUhH1CVXoKjs3K-rk,"233 N Hayden Bay Dr.
Portland, OR 98684
(45.609696, -122.668778)",,,Columbia River,Portland Area,Private,,Shannon Chambers,10/14/2009,01/20/2010,Private Yacht Club,47,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Rose City Yacht Club,https://data.oregon.gov/views/w2n2-ruq7/files/3E2sAUO07ZbjSmZneWG8UqJGpZtAKtvH1I_STqft3e8,"3737 N.E. Marine Dr.
Portland, OR 97211
(45.600849, -122.626315)",503-282-2049,http://www.rosecityyachtclub.org/,Columbia River,Portland Area,Private,,Dick Dyer,02/16/2006,04/12/2007,Private Yacht Club,150,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
McCuddy's Marine Drive Marina,https://data.oregon.gov/views/w2n2-ruq7/files/2c9LDw87tqhXRcyqmUSBfrpQArlCzBkzup86vdc-dPQ,"2901 NE Marine Dr.
Portland, OR 97211
(45.600797, -122.635323)",503-289-7879,http://www.mccuddysmarina.com/marinas/haydenIsland.html,Columbia River,Portland Area,Private,McCuddy's Marina,Mark McCuddy,11/30/2005,04/02/2009,Marina,200,0,https://data.oregon.gov/views/w2n2-ruq7/files/CQqJCV-SsNYFqY-MvyBGlL-lWVk7F4JyxjQnV1nlTvQ
Rasmusen Sea Scout Base,https://data.oregon.gov/views/w2n2-ruq7/files/m3PA04lnxxcZYsAQa4KOfTjwDo1qu9QRPSMZfe48cOI,"7005 NE Marine Dr.
Portland, OR 97218
(45.595708, -122.590699)",,,Columbia River,Portland Area,,,Jim Larsen,06/24/2007,05/30/2009,Private Yacht Club,20,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Oregon Yacht Club,https://data.oregon.gov/views/w2n2-ruq7/files/ZrQK0YFl6_sjvv1pn7rpTL7Svz_UJ03iaMTZk_ezxik,"6901 SE Oaks Park Way
Portland, OR 97202
(45.474376, -122.66236)",,http://oregonyachtclub.com/,Willamette River,Portland Area,Private,,Rie Luft,04/26/2009,05/04/2009,Floating Home Moorage,0,38,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Jantzen Bay Marina,https://data.oregon.gov/views/w2n2-ruq7/files/0ccU0Lfvhn9CtuPlL_OSOIpXuJqp9bAJL4qwJ8K29nI,"12010 N. Jantzen Ave.
Portland, OR 97217
(45.609477, -122.676415)",503-283-2444,http://www.columbiacrossings.com/jantzen.html,Columbia River,Portland Area,Private,Columbia Crossings,John Villanueva,11/30/2005,05/09/2006,Marina,446,0,https://data.oregon.gov/views/w2n2-ruq7/files/9_9bT5IwhjnKE2_A8-7Z1nL6XP7JUXkoGH2O0SFhrog
St. Helens Marina,https://data.oregon.gov/views/w2n2-ruq7/files/TIEhTUANGWrBsLiTa8G0SmA1xv4fnVBEf4cEqXs6ZRE,"134 N. River St.
St. Hellens, OR 97051
(45.867002, -122.798276)",503-397-4162,,Lower Columbia River,Lower Columbia River,Private,"St. Helens Marina, Inc.",Brad Hendrickson,12/14/2005,03/14/2007,Marina,220,0,https://data.oregon.gov/views/w2n2-ruq7/files/jRQfSCVQTNCI9qxW8Jb4Wc2PYqOONbWcVnOSqh5ypO0
McCuddy's Hayden Island Marina,https://data.oregon.gov/views/w2n2-ruq7/files/0WJUM1sXkvXWQUnWAEALzfBCx5EGjUH3ZsGFTtu7s8k,"250 NE Tomahawk Island Dr.
Portland, OR 97217
(45.604075, -122.663425)",503-289-7879,http://www.mccuddysmarina.com/marinas/haydenIsland.html,Columbia River,Portland Area,Private,McCuddy's Marina,Andrew Richardson,11/30/2005,06/19/2008,Marina,175,0,https://data.oregon.gov/views/w2n2-ruq7/files/877MYrT0ExdZ5_RLXnCHJIguGEwDepn-hk8Q34HhOPs
Island Cove Floating Homes,https://data.oregon.gov/views/w2n2-ruq7/files/cs7WU1PphVIyXMHrDTi92oI7VdKMkOpcv3fJdwNwjZs,"11604 N. Island Cove Lane
Portland, OR 97217
(45.606766, -122.674204)",503-283-2444,http://www.columbiacrossings.com/index.html,Columbia River,Portland Area,Private,Columbia Crossings,John Villanueva,11/30/2005,01/24/2007,Floating Home Moorage,0,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
River Place Marina,https://data.oregon.gov/views/w2n2-ruq7/files/hjMujPD_jDZoAO6sQN04JCygT8txGp3xtrJ9fNQlUQo,"1750 SW Harbor Way
Portland, OR 97207
(45.509435, -122.672731)",503-241-8283,http://www.columbiacrossings.com/riverplace.html,Willamette River,Portland Area,Private,Columbia Crossings,John Villanueva,08/01/2006,11/28/2006,Marina,106,0,https://data.oregon.gov/views/w2n2-ruq7/files/nCC_MCYg0fSbojzFgYds_tq6yJeDF9ITu1lZskO_S6Q
Port of St. Helens - Scappoose Bay Marina,https://data.oregon.gov/views/w2n2-ruq7/files/OUVW98nkhGe68yVhB4PYsov3g9jSsCmFF1zXoi2bUpI,"57420 Old Portland Rd.
Warren, OR 97053
(45.827762, -122.837835)",503-397-2888,http://www.portsh.org/node/138,Scappoose Bay,Lower Columbia River,Public,Port of St. Helens,Craig Allison,11/28/2005,03/14/2007,Marina,86,0,https://data.oregon.gov/views/w2n2-ruq7/files/FvMNRQty5ScczfeVzCiRMcAE5N2SPtoi0tLPdqgDKuk
Detroit Lake Marina,https://data.oregon.gov/views/w2n2-ruq7/files/YdVYALDiQ51cefLFggdyjyDhn3onLN3Xf9WezO936yk,"115 Breitenbush Rd
Detroit, OR 97342
(44.73907, -122.151163)",503-854-3423,http://detroitlakemarina.com/index.html,Detroit Lake,Cascade Lakes,Private,,Scott and Callie Lunski,,06/08/2011,Marina,110,0,https://data.oregon.gov/views/w2n2-ruq7/files/QLpGznqqHRujhRygdpPf55JqAx4rLwX7BToztUaxazQ
Salmon Harbor Marina,https://data.oregon.gov/views/w2n2-ruq7/files/xtTSq3iR_Q88JPL5WFQlnZlnfauRym2JnKnER6feTwA,"100 Ork Rock Rd.
Winchester Bay, OR 97467
(43.675278, -124.179167)",541-271-3407,http://www.salmonharbormarina.com/,Winchester Bay,South Central Coast,Public,,Jeff Vander Kley,03/03/2006,03/19/2007,Marina,550,0,https://data.oregon.gov/views/w2n2-ruq7/files/7s4QNLkXjp5uaoYlZCaPNMtaQUSw_1X9KgN6eUzWTDs
Pier 39,https://data.oregon.gov/views/w2n2-ruq7/files/3UFQaREb6fFKvd-k-DzLUa1p1LHfMjSwt7ibus-9dXk,"100 39th St
Astoria, OR 97103
(46.196334, -123.797667)",503-325-2502,http://www.pier39-astoria.com/,Columbia River,North Coast,Private,,Floyd Holcom,12/02/2005,06/27/2007,Marina,0,0,https://data.oregon.gov/views/w2n2-ruq7/files/fYMdxuqcb8RIpnOJL9r_uIEjk_i1eTZvIzy9ecEOgJw
Port of Newport - South Beach Marina,https://data.oregon.gov/views/w2n2-ruq7/files/RPmVA2A-3xgLy8fdZPOVEA3hjNE2jefhAMNOHurRnBM,"600 SE Bay Boulevard
Newport, OR 97365
(44.620463, -124.050073)",541-867-3321,http://www.portofnewport.com/recreational-marina/index.php,Yaquina Bay,Central Coast,Public,Port of Newport,Chris Urbach,04/24/2006,08/06/2008,Marina,450,0,https://data.oregon.gov/views/w2n2-ruq7/files/gtFW65zOA2sgWNwtafCvAU8Yn4A1XkElSgoaSBFBNEQ
Port of Cascade Locks,https://data.oregon.gov/views/w2n2-ruq7/files/SBOzkiODxXiPo4QAWbVWnhP5Za6ltmmrSZ_zU9Gbz44,"Marine Park
Cascade Locks, OR 97014
(45.671356, -121.892565)",541-374-8619,http://www.portofcascadelocks.org/marina.htm,Columbia River,Upper Columbia River,Public,Port of Cascade Locks,Kristi Bengtson,07/25/2007,08/19/2008,Marina,37,0,https://data.oregon.gov/views/w2n2-ruq7/files/r-n5GuGxXOvV1-aBBMPRVlFsc0WsCi3PkkwMTDMixts
Port of Toledo,https://data.oregon.gov/views/w2n2-ruq7/files/jwRqLpqpVSpFCwr6mIFn5Bdfg5qMxpRYlNC778F_Ujs,"385 NW 1st St.
Toledo, OR 97391
(44.618492, -123.937636)",541-336-5207,http://www.portoftoledo.org/pot_ocm.html,Depot Slough,Central Coast,Public,Port of Toledo,Bud Shoemake,11/14/2005,04/16/2007,Marina,36,0,https://data.oregon.gov/views/w2n2-ruq7/files/CU5jh4i5Jlpip7VLDqLrTSbi5j0JOh_jtNI7yHt-qnE
Port of Alsea,https://data.oregon.gov/views/w2n2-ruq7/files/yypJutK5Aju94VJ_YAmNzA4x1wfk1SwnnVSXduBmpFY,"365 Port St.
Waldport, OR 97394
(44.434425, -124.058913)",541-563-3872,http://portofalsea.com/home.cfm?dir_cat=82718,Alsea Bay,Central Coast,Public,Port of Alsea,Maggie Rivers,03/17/2006,06/07/2007,Marina,12,0,https://data.oregon.gov/views/w2n2-ruq7/files/TjKv0FwfylpYEVxkbwQiN3MF2eX4mdo3dEt2heww72s
Depoe Bay Harbor,https://data.oregon.gov/views/w2n2-ruq7/files/Hc0lPI5gZxwhGV50OYipNbLUDIp4nQ9m0qLkGgfnSFw,"285 SE Coast Guard Dr.
Depoe Bay, OR 97341
(44.809167, -124.059444)",541-765-2361,,Depoe Bay,Central Coast,Public,City of Depoe Bay,Phil Shane,07/10/2006,06/26/2007,Marina,120,0,https://data.oregon.gov/views/w2n2-ruq7/files/uuu44MwtGxIaV_FafFHq5EWzR1-x7If9Ba0WnuLDPgU
Port of Umatilla Marina,https://data.oregon.gov/views/w2n2-ruq7/files/aUi1T2MrmP9uKG0ZSMKRjHvRAXmHnBYLYsL9r4Pz93U,"1710 Quincy
Umatilla, OR 97882
(45.925278, -119.326667)",541-922-3939,http://www.umatillarvpark.com/marina.html,Columbia River,Upper Columbia River,Public,Port of Umatilla,Larry Ray,10/09/2008,11/17/2009,Marina,122,0,https://data.oregon.gov/views/w2n2-ruq7/files/P808NTTs2z6WrUYw43NkcmAcDvBkIuKP5NeF7Umg_lE
Garibaldi Marina,https://data.oregon.gov/views/w2n2-ruq7/files/3qt2FX2_TpPDipS211tGBvDrcuggtYdI-Ka47aZ63-M,"302 Mooring Basin Rd.
Garibaldi, OR 97118
(45.556254, -123.914307)",503-332-3312,http://www.garibaldimarina.com,Tillamook Bay,North Coast,Private,,Jeff Folkema,12/02/2005,06/30/2011,Marina,75,0,https://data.oregon.gov/views/w2n2-ruq7/files/1pwC3T_0-Bd9T0_0yD4nXiffiU347mvpphwRtB8pmz0
Portland Yacht Club,https://data.oregon.gov/views/w2n2-ruq7/files/C_WKw7gvKYnzmYI1sjYnKIsTOWN_CUTVOGi_n3HvKGc,"1241 NE Marine Dr.
Portland, OR 97211
(45.60107, -122.651889)",503-285-1922,http://portlandyc.com/,Columbia River,Portland Area,Private,,Fred Carter,02/23/2006,11/28/2006,Private Yacht Club,220,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Waverly Marina,https://data.oregon.gov/views/w2n2-ruq7/files/Qu-vhqaX3yu-ifTBa-hLnMXafP7vX3A-sc2iUQJrUxQ,"513 SE Marion St.
Portland, OR 97282
(45.460615, -122.660236)",503-231-3985,http://www.waverlymarina.org/,Willamette River,Portland Area,Private,Waverly Marina Association,Mike Wellock,11/30/2005,07/23/2007,Marina,152,0,https://data.oregon.gov/views/w2n2-ruq7/files/uqM5djWCLHjwalIjTe4N_8fS7739a7NPxFF2Xmd8Mgc
Jantzen Beach Moorage,https://data.oregon.gov/views/w2n2-ruq7/files/lw5dbAg7NHgv3_5MluMjCVF6Bzf1mPWhXGDa4nQw6vI,"1881 N. Jantzen Ave.
Portland, OR 97217
(45.611498, -122.688695)",503-283-2151,http://www.jbmi.net,Columbia River,Portland Area,Private,,Kathy Harrison,10/06/2009,01/07/2010,Floating Home Moorage,0,177,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Pelican Marina,https://data.oregon.gov/views/w2n2-ruq7/files/bSh53TXYTh4fcr8NAMW89e3J3Q-b6jeVEDRvyyua5l8,"928 Front St.
Klamath Falls, OR 97601
(42.240278, -121.809167)",541-882-5834,,Upper Klamath Lake,Southern Oregon,Private,,Ronald Hahn,07/26/2006,04/14/2008,Marina,80,0,https://data.oregon.gov/views/w2n2-ruq7/files/lT0QH9FldoINa2_AduC_rqVie6nUEI0bAesvGDGBX2A
Cove Palisades Resort & Marina,https://data.oregon.gov/views/w2n2-ruq7/files/N9xjZiHXVjF0Fi86XJrxNf2rfCCVOE_7XOFAqN7vBjE,"5700 SW Marine Dr.
Culver, OR 97734
(44.563085, -121.265544)",541-546-3521,http://www.covepalisadesresort.com/,Lake Billy Chinook,Central Oregon,Private,,Gary Popp,02/25/2009,05/13/2009,Marina,150,0,https://data.oregon.gov/views/w2n2-ruq7/files/BdnXtK5oTrpAcIm5pH8u7sZVeKvBEZC_Ukmmu6FMlSk
Port of Garibaldi Marina,https://data.oregon.gov/views/w2n2-ruq7/files/cvyx1EWV4ncMe2GBqu3fFcGZH2IRnIcoywtnF_0XvmM,"402 S. 7th St.
Garibaldi, OR 97118
(45.555579, -123.914146)",503-322-3292,http://portofgaribaldi.org/facilities.htm,Tillamook Bay,North Coast,Public,Port of Garibaldi,Kevin Greenwood,12/05/2006,06/30/2011,Marina,277,0,https://data.oregon.gov/views/w2n2-ruq7/files/TAz816Hmbs-10psm-lYbQAWKnAgwocM6qefxN5qFcg0
Port of Astoria - West Mooring Basin,https://data.oregon.gov/views/w2n2-ruq7/files/LY5BL5xO0uPiexHk0w3-8lrLAYYkulFYIsYPKkzJGlM,"352 Industry
Astoria, OR 97103
(46.188611, -123.853611)",503-325-8279,http://www.portofastoria.com/marina_west_geninfo.html,Columbia River,North Coast,Public,Port of Astoria,Ken Smith,12/02/2005,12/17/2009,Marina,335,0,https://data.oregon.gov/views/w2n2-ruq7/files/-k7dm4wANY3rTmL4MdJQQnXQYL2n_u7kmlMFTLLWYVc
Embarcadero Marina,https://data.oregon.gov/views/w2n2-ruq7/files/x1CnVj_C1T1gifsUyL0pLrH6h1Vi-EsMopVVDgV7On0,"1000 SE Bay Blvd
Newport, OR 97365
(44.630556, -124.04111)",541-265-8521,http://www.embarcadero-resort.com/marina.htm,Yaquina Bay,Central Coast,Private,,Nancy France,04/16/2007,04/20/2012,Marina,233,0,
Waterside Marina,,"707 N. Hayden Island Dr., Suite 201
Portland, OR 97217
(45.612122, -122.671863)",,http://www.viewthewaterside.com/marina.php,Columbia River,Portland Area,Private,,Steve Morrison,11/20/2008,07/14/2009,Marina,70,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Port of Astoria - East Mooring Basin,,"Foot of 36th St.
Astoria, OR 97103
(46.194712, -123.802271)",503-325-8279,http://www.portofastoria.com/marina_east_geninfo.html,Columbia River,North Coast,Public,Port of Astoria,Ken Smith,12/02/2005,12/17/2009,Marina,82,0,https://data.oregon.gov/views/w2n2-ruq7/files/G4yjvNuwUAZpQAW9_NBsoM8xTcPMhKo_sCw1xovrbTU
Port of Astoria - Pier 3 Boatyard,,"rivermile 13, Columbia River
Astoria, OR 97103
(46.186884, -123.862536)",503-325-8279,http://www.portofastoria.com/boatyard_geninfo.html,Columbia River,North Coast,Public,Port of Astoria,Ken Smith,,12/17/2009,Boatyard,0,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Multnomah Channel Yacht Club,,"50990 Dike Rd.
Scappoose, OR 97056
(45.735779, -122.851222)",503-543-5055,http://mcyc1.org/,Multnomah Channel,Lower Columbia River,Private,,Robert Gedde,11/28/2005,07/13/2006,Private Yacht Club,30,0,https://data.oregon.gov/views/w2n2-ruq7/files/FqVd6eTrve3xvOV_oGDpniGEpUypQKMP6IR6v2kj0iM
Port of Hood Rier Marina,https://data.oregon.gov/views/w2n2-ruq7/files/acbzbN3KYseVZoqT4RawtdIlTMhuYqJ5FJEQo9gA3AA,"720 E. Port Marina Dr.
Hood River, OR 97031
(45.712449, -121.506068)",541-386-1645,http://www.portofhoodriver.com/waterfront/index.php,Columbia River,Upper Columbia River,Public,Port of Hood River,Melissa Halseth,07/19/2011,04/25/2012,Marina,166,0,
Schooner Creek Boat Works,https://data.oregon.gov/views/w2n2-ruq7/files/L5Y0uurRgifoldj5VdCyfIFAM8o3IGXOB6TUnhn6SNQ,"3255 N. Hayden Island Dr.
Portland, OR 97217
(45.619380511343195, -122.69307200433303)",503-735-0569,http://www.schoonercreek.com,Columbia River,Portland Area,Private,,Steve Rander,12/08/2011,12/29/2011,Boatyard,0,0,https://data.oregon.gov/views/w2n2-ruq7/files/crTJQOe0vvWlRYYvR2J7ONrmp79OwbkUml74O0FB4js
Port of Coos Bay - Charleston Shipyard,,"63131 Troller Road
Charleston, OR 97420
(43.336067, -124.31702)",541-297-2713,http://www.charlestonmarina.com,Coos Bay,South Central Coast,Public,Port of Coos Bay,Aaron Simons,02/16/2012,05/24/2012,Boatyard,0,0,
Prineville Reservoir Resort,https://data.oregon.gov/views/w2n2-ruq7/files/pl2pC_sOGp3FKJcgz8kpusWEme-wu228ji3kkW0buFE,"19600 SE Juniper Canyon Rd
Prineville, OR 97754
(44.123889, -120.688333)",541-447-7468,http://www.prinevillereservoirresort.com/Moorage.html,Prineville Reservoir,Central Oregon,Private,,Rick Mayers,08/21/2012,08/21/2012,Marina,100,0,
Port of Gold Beach,https://data.oregon.gov/views/w2n2-ruq7/files/2fKH5qtYXGBpy1E2MBK9XVHYCugzO6qpt4v0vbO96yY,"29891 Harbor Way
Gold Beach, OR 97444
(42.420833, -124.421667)",541-247-6269,http://www.portofgoldbeach.com,Rogue River,South Coast,Public,Port of Gold Beach,Debbie Collins,05/08/2007,09/13/2012,Marina,100,0,
