Facility Name,Patient Months,Observed Infections,Predicted Infections,2016 SIR,SIR 95% CI,SIR Interpretation (2015 US baseline),County,HPP Region,Location 1,SIR Icon
PNRS NORTH COAST  DIALYSIS CLINIC,488,3,3.4835,0.861,"      0.219, 2.344",Fewer infections,CLASTOP,Region1,"2120 EXCHANGE ST
ASTORIA 97103
(46.1888442, -123.8180512)",https://data.oregon.gov/views/3a7t-p58d/files/7341cd8a-f503-412c-9a90-0700bf25aede
PNRS ROSE QUARTER DIALYSIS CENTER,1250,5,6.3033,0.793,"      0.291, 1.758",Fewer infections,MULTNOMAH,Region1,"4905 NE MARTIN LUTHER KING BLVD
PORTLAND 97211
(45.558438, -122.661812)",https://data.oregon.gov/views/3a7t-p58d/files/20e62652-88e0-41a5-910e-36838eabc16c
PNRS ST HELENS DIALYSIS,301,2,1.5969,1.252,"      0.210, 4.138",More infections,COLUMBIA,Region1,"500 N COLUMBIA RIVER HIGHWAY, SUITE 510
SAINT HELENS 97051
(45.864544, -122.819604)",https://data.oregon.gov/views/3a7t-p58d/files/96a1507e-2d9a-4abd-8a18-96e727f56684
PNRS/THC RAINES DIALYSIS CENTER,723,4,5.0667,0.789,"      0.251, 1.904",Fewer infections,WASHINGTON,Region1,"1809 MAPLE STREET
FOREST GROVE 97116
(45.517464, -123.091236)",https://data.oregon.gov/views/3a7t-p58d/files/8685c7b4-00db-4f87-9f3a-19889d347d2e
PNRS TUALATIN KIDNEY CENTER,919,5,5.2551,0.951,"      0.349, 2.109",Fewer infections,WASHINGTON,Region1,"7780 SW MOHAWK STREET
TUALATIN 97062
(45.376328, -122.758248)",https://data.oregon.gov/views/3a7t-p58d/files/9b1d68c0-3254-4010-9f6f-bdb2d46b934a
PNRS TWIN OAKS,794,4,4.4878,0.891,"      0.283, 2.150",Fewer infections,WASHINGTON,Region1,"1815 NW 169TH PL
BEAVERTON 97006
(45.5326852, -122.852786199)",https://data.oregon.gov/views/3a7t-p58d/files/205e97b1-6474-4781-a6ae-b2d6e3824180
PORTLAND GATEWAY DIALYSIS,610,1,2.5701,0.389,"      0.019, 1.919",Fewer infections,MULTNOMAH,Region1,"9932 NE HALSEY STREET
PORTLAND 97220
(45.533495, -122.561021)",https://data.oregon.gov/views/3a7t-p58d/files/e8a67319-d34c-4857-b80e-2a51fbb3c09e
PORTLAND MLK DIALYSIS,103,0,0.7243,0,"           , 4.136",Fewer infections,MULTNOMAH,Region1,"2737 NE MARTIN LUTHER KING BLVD
PORTLAND 97212
(45.542565, -122.66166)",https://data.oregon.gov/views/3a7t-p58d/files/eb0b7b48-3cd4-40e2-b48d-168f1205cf79
RAY YASUI DIALYSIS CENTER,367,2,2.016,0.992,"      0.166, 3.278",Fewer infections,HOOD RIVER,Region6,"1125 MAY STREET, SUITE 302
HOOD RIVER 97031
(45.70416, -121.523044)",https://data.oregon.gov/views/3a7t-p58d/files/d5c6f633-9792-453d-9adb-3f362c77fded
REDWOOD DIALYSIS,292,0,1.6196,0,"           , 1.850",Fewer infections,JOSEPHINE,Region5,"201 SW L ST
GRANTS PASS, OR 97526
(42.435668, -123.331078)",https://data.oregon.gov/views/3a7t-p58d/files/4af7def8-8be5-4935-ad65-0765d3378924
ROGUE VALLEY DIALYSIS,2138,8,12.5408,0.638,"      0.296, 1.211",Fewer infections,JACKSON,Region5,"760 GOLF VIEW DR UNIT 100
MEDFORD 97504
(42.3152096, -122.823954399)",https://data.oregon.gov/views/3a7t-p58d/files/841bc775-3ae7-40c1-9856-323dc89cb2db
ROSEBURG/MERCY DIALYSIS,1015,5,8.1307,0.615,"      0.225, 1.363",Fewer infections,DOUGLAS,Region5,"2599 NW EDENBOWER BLVD
ROSEBURG 97471
(43.2389, -123.3616536)",https://data.oregon.gov/views/3a7t-p58d/files/986747f2-7cb9-49f4-a08e-ad9b241b9703
SALEM DIALYSIS,1064,7,7.149,0.979,"      0.428, 1.937",Fewer infections,MARION,Region2,"3550 LIBERTY RD
SALEM 97302
(44.9038322, -123.0497212)",https://data.oregon.gov/views/3a7t-p58d/files/8c133916-ea6f-4512-9be8-9a6d506fc7ef
SALEM NORTH DIALYSIS,663,8,4.1398,1.932,"      0.897, 3.670",More infections,MARION,Region2,"1220 LIBERTY ST. NE
SALEM 97301
(44.951877, -123.033357)",https://data.oregon.gov/views/3a7t-p58d/files/9b8e2a7c-ed69-4e8c-aed2-d6c058b6be22
SHERWOOD DIALYSIS CENTER,286,0,1.7666,0,"           , 1.696",Fewer infections,WASHINGTON,Region1,"21035 SW PACIFIC HWY
SHERWOOD 97140
(45.3675053, -122.848034699)",https://data.oregon.gov/views/3a7t-p58d/files/7c07f123-98b4-49d2-80a7-5df636768c0b
USRC PORTLAND DIALYSIS CENTER,744,4,3.1115,1.286,"      0.408, 3.101",More infections,MULTNOMAH,Region1,"10595 SE STARK STREET
PORTLAND 97216
(45.519014, -122.554236)",https://data.oregon.gov/views/3a7t-p58d/files/8ee53830-b6cf-483b-bd8f-155d7731e9b6
US RENAL CARE GRESHAM DIALYSIS,949,7,5.4977,1.273,"      0.557, 2.519",More infections,MULTNOMAH,Region1,"1360 E. POWELL BLVD
GRESHAM 97030
(45.4979064, -122.4179652)",https://data.oregon.gov/views/3a7t-p58d/files/8caba822-df08-4135-ac50-b805c910f489
US RENAL CARE TILLAMOOK DIALYSIS,244,0,1.4216,0,"           , 2.107",Fewer infections,TILLAMOOK,Region1,"1000 3RD ST
TILLAMOOK 97141
(45.4569, -123.85418099)",https://data.oregon.gov/views/3a7t-p58d/files/8273a6f3-cb88-4634-9a71-33ebf8d11e1e
WALKER ROAD DIALYSIS,491,3,2.3825,1.259,"      0.320, 3.427",More infections,WASHINGTON,Region1,"15050 SW KOLL PARKWAY, SUITE 3
BEAVERTON 97006
(45.5137521, -122.8318112)",https://data.oregon.gov/views/3a7t-p58d/files/033edc91-b0c7-4009-ba24-89379c53b1b3
WEST LINN DIALYSIS CENTER,267,0,1.3097,0,"           , 2.287",Fewer infections,CLACKAMAS,Region1,"19056 WILLAMETTE DRIVE
WEST LINN 97068
(45.387628, -122.64184)",https://data.oregon.gov/views/3a7t-p58d/files/0c5a63ca-5889-43f2-a353-07e5f177030a
WILLAMETTE VALLEY RENAL CENTER,503,5,2.0589,2.428,"      0.890, 5.383",More infections,CLACKAMAS,Region1,"1510 DIVISION STREET, SUITE 90
OREGON CITY 97045
(45.357292, -122.588358)",https://data.oregon.gov/views/3a7t-p58d/files/720a8d49-a867-4a3c-9e9d-43a3d9782539
WOODBURN DIALYSIS,836,3,3.9657,0.756,"      0.192, 2.059",Fewer infections,MARION,Region2,"1840 NEWBERG HWY SUITE 140
WOODBURN 97071
(45.149754, -122.867983)",https://data.oregon.gov/views/3a7t-p58d/files/c5d9df9f-1011-4bf7-9fa7-c0fc4fec6fa7
