Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Housing Rulemaking Advisory Committe Meeting,Rulemaking regarding HB 2001 and HB 2003,05/07/2020 11:00:00 AM,05/07/2020 03:00:00 PM,Basement Hearing Room: 635 Capitol St., Salem,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
Oregon Ocean Policy Advisory Council,OPAC is Oregon's legislatively established stakeholder advisory committee. ,05/06/2020 09:00:00 AM,05/06/2020 04:00:00 PM,Department of Human Services Building, North Bend,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,true,,,,,,,,http://oregonocean.info/,,,,
Housing Rulemaking Advisory Committee Meeting,Rulemaking regarding HB 2001 and HB 2003,04/02/2020 11:00:00 AM,04/02/2020 03:00:00 PM,Basement Hearing Room: 635 Capitol St., Salem,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
BOEM and Oregon Intergovernmental Task Force,Bureau of Ocean Energy Management and State of Oregon Intergovernmental Task Force on Marine Renewable Energy.,04/02/2020 09:00:00 AM,04/02/2020 04:00:00 PM,TBD,Salem,,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,,,,,,,,,
Housing Rulemaking Advisory Committee Meeting,Rulemaking regarding HB 2001 and HB 2003,02/27/2020 11:00:00 AM,02/27/2020 03:00:00 PM,Basement Hearing Room: 635 Capitol St., Salem,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
TSP Rocky Habitat Public Comment Event,A meeting to discuss amendments to the Rocky Habitat Management Strategy. ,02/21/2020 02:00:00 PM,02/21/2020 03:00:00 PM,Online,Salem,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,true,https://zoom.us/j/628354286,888 683 5191 ,628 354 286,,,,,http://oregonocean.info/,,,,
TSP Rocky Habitat Public Comment Event,A meeting to discuss amendments to the Rocky Habitat Management Strategy. ,02/19/2020 04:00:00 PM,02/19/2020 05:30:00 PM,"Myrtlewood Room, Coos Bay Public Library", Coos Bay,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,,,,,http://oregonocean.info/,,,,
TSP Rocky Habitat Public Comment Event,A meeting to discuss amendments to the Rocky Habitat Management Strategy. ,02/18/2020 04:00:00 PM,02/18/2020 05:30:00 PM,"Warren Room, Tolovana Inn, ", Cannon Beach,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,,,,,http://oregonocean.info/,,,,
TSP Rocky Habitat Public Comment Event,A meeting to discuss amendments to the Rocky Habitat Management Strategy. ,02/12/2020 03:30:00 PM,02/12/2020 05:00:00 PM,Hatfield Marine Science Center, Newport,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,,,,,http://oregonocean.info/,,,,
TSP Rocky Habitat Public Comment Event,Anmeeting to discuss amendments to the Rocky Habitat Management Strategy. ,02/11/2020 03:30:00 PM,02/11/2020 05:00:00 PM,Portland State Office Building -  800 NE Oregon St , Portland,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,,,,,http://oregonocean.info/,,,,
Community Conversation on Oregon’s Housing Initiative,Community conversation to discuss new Oregon housing initiatives,01/30/2020 06:00:00 PM,01/30/2020 08:00:00 PM,"Harmony Campus, 7738 SE Harmony Road", Milwaukie,,Department of Land Conservation and Development,(503) 373-0050,dlcd.info@state.or.us,,,,,,,,,,,https://www.oregon.gov/lcd/NN/Press%20Releases/20191219_CommunityConversation_PDXEast.pdf,,,,https://www.oregon.gov/lcd/NN/Press%20Releases/20191219_CommunityConversation_PDXEast.pdf,,,,
Community Conversation on Oregon’s Housing Initiative,Community conversation to discuss new Oregon housing initiatives,01/29/2020 07:00:00 PM,01/29/2020 09:00:00 PM,"Willow Creek Center, 241 SW Edgeway Dr.",Hillsboro,,Department of Land Conservation and Development,(503) 373-0050,dlcd.info@state.or.us,,,,,,,,,,,https://www.oregon.gov/lcd/NN/Press%20Releases/20191219_CommunityConversation_PDXWest.pdf,,,,https://www.oregon.gov/lcd/NN/Press%20Releases/20191219_CommunityConversation_PDXWest.pdf,,,,
Housing Rulemaking Advisory Committee Meeting,Rulemaking regarding HB 2001 and 2003,01/22/2020 11:00:00 AM,01/22/2020 03:00:00 PM,Basement Hearing Room: 635 Capitol St., Salem,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
Middle Housing Model Code Technical Advisory Committee (MCTAC),,01/09/2020 01:00:00 PM,01/09/2020 03:00:00 PM,"Department of Energy, 550 Capitol St. NE", Salem,,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
Middle Housing Model Code Technical Advisory Committee (MCTAC),,01/09/2020 01:00:00 PM,01/09/2020 03:00:00 PM,"Department of Energy, 550 Capitol St., NE", Salem,,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
Middle Housing Model Code Technical Advisory Committee (MCTAC),,01/09/2020 01:00:00 PM,01/09/2020 03:00:00 PM,"Department of Energy, 550 Capitol St. NE", Salem,,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
Housing Rulemaking Advisory Committee Meeting,Rulemaking regarding HB 2001 and HB 2003,12/16/2019 11:00:00 AM,12/16/2019 02:00:00 PM,Basement Hearing Room: 635 Capitol St., Salem,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
CANCELLED: Citizen Involvement Advisory Committee,Meeting has been cancelled,12/05/2019 09:00:00 AM,12/05/2019 12:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Salem,,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,https://www.oregon.gov/lcd/About/Pages/CIAC.aspx,,,,
Commission Meeting,Regular meeting of the Land Conservation and Development Commission,11/21/2019 08:00:00 AM,11/22/2019 05:00:00 PM,"Umpqua Discovery Center, 409 River Front Way",Reedsport,Yes,Esther Kooistra,503-934-0045,esther.kooistra@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,https://www.oregon.gov/lcd/Commission/Pages/Meetings.aspx,,,,
Housing Rulemaking Advisory Committee Meeting,Rulemaking regarding HB 2001 and HB 2003,11/14/2019 10:00:00 AM,11/14/2019 02:00:00 PM,Basement Hearing Room: 635 Capitol St., Salem,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
Oregon's New Housing Initiatives: How Will They Affect Our Communties,,11/06/2019 06:00:00 PM,11/06/2019 08:00:00 PM,Council Chambers at Kent Taylor Civic Hall 200 NE 2nd Street, McMinnville,,Ethan Stuckmayer,503-934-0619,ethan.stuckmayer@state.or.us,,,,,,,,,,,,,,,https://www.oregon.gov/lcd/UP/Pages/Housing-Resources.aspx,,,,
TSP Rocky Habitat Working Group,An OPAC subcommittee meeting to discuss amendments to the Rocky Habitat Management Strategy. ,11/05/2019 10:00:00 AM,11/05/2019 01:00:00 PM,"Basement Hearing Room, Department of Land Conservation and Development, 635 Capitol St NE, Suite 150",Salem,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,Andy Lanier,,Andy.lanier@state.or.us,true,https://zoom.us/j/977488603,,,https://www.oregonocean.info/index.php/opac-documents/workinggroups/tspwg-p3/2019-november-5/1970-draft-meeting-agenda-11-5-2019/file,,,,http://oregonocean.info/,,,,
Green Corridor Rulemaking Advisory Committee Meeting,,10/29/2019 01:00:00 PM,10/29/2019 05:00:00 PM,"Sand Hollow Conference Rm, Port of Morrow, 2 Marine Drive", Boardman,,Jon Jinings,541-318-7920,jon.jinings@state.or.us,,,,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Green-Corridor.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Green-Corridor.aspx,,,,
Oregon Ocean Policy Advisory Council,OPAC is Oregon's legislatively established stakeholder advisory committee. ,10/21/2019 08:30:00 AM,10/21/2019 03:30:00 PM,Best Western Agate Beach Hotel,Salem,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,,,,,http://oregonocean.info/,,,,
TSP Rocky Habitat Working Group,An OPAC subcommittee meeting to discuss amendments to the Rocky Habitat Management Strategy. ,10/18/2019 01:00:00 PM,10/18/2019 04:00:00 PM,"Oregon Coast Aquarium, Gleason Room, 2820 SE Ferry Slip Rd", Newport,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,Andy Lanier,,Andy.lanier@state.or.us,,https://www.oregonocean.info/index.php/opac-documents/workinggroups/tspwg-p3/2019-october-18/1967-draft-meeting-agenda-10-18-2019,,,https://www.oregonocean.info/index.php/opac-documents/workinggroups/tspwg-p3/2019-october-18/1967-draft-meeting-agenda-10-18-2019/file,,,,http://oregonocean.info/,,,,
BOEM and Oregon Intergovernmental Task Force,Bureau of Ocean Energy Management and State of Oregon Intergovernmental Task Force on Marine Renewable Energy.,09/27/2019 08:00:00 AM,09/27/2019 01:00:00 PM,Portland State Office Building -  800 NE Oregon St , Portland,Yes,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,,,,,true,https://www.boem.gov/Task-Force-Meeting-7/,,,,,,,https://www.boem.gov/Oregon/,,,,
Citizen Involvement Advisory Committee,Joint meeting with the Land Conservation and Development Commission,09/26/2019 09:00:00 AM,09/26/2019 05:00:00 PM,TBD - Portland Metro Location, Portland,Yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,https://www.oregon.gov/lcd/About/Pages/CIAC.aspx,,,,
Commission Meeting,Regular meeting of the Land Conservation and Development Commission,09/26/2019 08:00:00 AM,09/27/2019 05:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Tigard,Yes,Esther Kooistra,503-934-0045,esther.kooistra@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,https://www.oregon.gov/lcd/Commission/Pages/Meetings.aspx,,,,
TSP Rocky Habitat Working Group,An OPAC subcommittee meeting to discuss amendments to the Rocky Habitat Management Strategy. ,09/12/2019 11:00:00 AM,09/12/2019 04:00:00 PM,"Oregon Coast Aquarium, Gleason Room, 2820 SE Ferry Slip Rd", Newport,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,true,https://zoom.us/j/977488603,1 855 880 1246 , 977 488 603,https://www.oregonocean.info/index.php/opac-documents/workinggroups/tspwg-p3/2019-september-12/1947-rocky-habitat-working-group-draft-meeting-agenda-9-12-2019/file,,,,http://oregonocean.info/,,,,
Land Conservation and Development Commission Meeting,Special hearing: Petition for Enforcement - City of Eugene,09/04/2019 10:00:00 AM,09/04/2019 12:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Salem,"Limited testimony will be accepted, as described above",Esther Kooistra,503-934-0045,esther.kooistra@state.or.us,,,,,,,,,,,https://www.oregon.gov/lcd/Commission/Documents/2019-09_Agenda_SpecialMtg.pdf,,,,,2019-08_Agenda_SpecialMtg.pdf (https://data.oregon.gov/views/gs36-7t8m/files/67a45e98-92df-4598-84ce-b5c7739127d0?download=true&filename=2019-08_Agenda_SpecialMtg.pdf),,,
TSP Rocky Habitat Working Group,An OPAC subcommittee meeting to discuss amendments to the Rocky Habitat Management Strategy. ,08/26/2019 10:00:00 AM,08/26/2019 04:00:00 PM,Oregon Parks and Recreation Department - Seal Rock Office Conference Room & Remote, Newport,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,Andy Lanier,5039340072,Andy.Lanier@state.or.us,true,https://zoom.us/j/977488603,1 855 880 1246,977 488 603,https://www.oregonocean.info/index.php/opac-documents/workinggroups/tspwg-p3/2019-august-26/1942-draft-meeting-agenda-rocky-habitat-working-group-8-26-2019/file,,,,http://oregonocean.info/,,,,
TSP Rocky Habitat Working Group,An OPAC subcommittee meeting to discuss amendments to the Rocky Habitat Management Strategy. ,07/25/2019 09:00:00 AM,07/25/2019 12:00:00 PM,Guin Library Seminar Room Hatfield Marine Science Center, Newport,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,Andy Lanier,,Andy.lanier@state.or.us,true,https://zoom.us/j/977488603,,,https://www.oregonocean.info/index.php/opac-documents/workinggroups/tspwg-p3/2019-june-25/1938-draft-meeting-agenda-7-25-2019/file,,,,http://oregonocean.info/,,,,
Commission Meeting,Regular meeting of the Land Conservation and Development Commission,07/25/2019 09:00:00 AM,07/26/2019 05:00:00 PM,"Hotel Condon, 202 S. Main Street", Condon,Yes,Esther Kooistra,503-934-0045,esther.kooistra@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,https://www.oregon.gov/lcd/Commission/Pages/Meetings.aspx,,,,
TSP Rocky Habitat Working Group,An OPAC subcommittee meeting to discuss amendments to the Rocky Habitat Management Strategy. ,07/09/2019 09:00:00 AM,07/09/2019 10:30:00 AM,Online,Salem,Yes,Andy,5039340072,Andy.lanier@state.or.us,,,,,,,true,https://zoom.us/j/977488603,1 855 880 1246 , 977 488 603,https://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/2019-july-9/1931-draft-meeting-agenda-7-9-2019/file,,,,http://oregonocean.info/,,,,
Citizen Involvement Advisory Committee,,06/06/2019 09:00:00 AM,06/06/2019 12:00:00 PM,Teleconference, Salem,Yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,,,Katie Lahey,503-938-0401,katie.lahey@state.or.us,true,https://zoom.us/j/531222475,1-888-683-5191,531222475,https://www.oregon.gov/lcd/About/Documents/20190606_CIACAgenda.pdf,,,,https://www.oregon.gov/lcd/About/Pages/CIAC.aspx,20190606_CIACAgenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/069630ad-6457-4b22-9b94-c1ab1c620831?download=true&filename=20190606_CIACAgenda.pdf),,,
Commission Meeting,Regular meeting of the Land Conservation and Development Commission,05/23/2019 08:00:00 AM,05/24/2019 05:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Salem,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,https://www.oregon.gov/lcd/Commission/Pages/Meetings.aspx,,,,
Goal 18: Pre-1977 Development Focus Group,,05/22/2019 12:30:00 PM,05/22/2019 04:00:00 PM,"Rainbow Room at the Agate Beach Best Western, 3019 N Coast Hwy", Newport,,Meg Reed,541-754-0811,dlcd.goal18@state.or.us,,,,,,,,,,,,,,,,,,,
Territorial Sea Plan Working Group (OPAC Subcommittee) on Rocky Shores,	A meeting of an Ocean Policy Advisory Council subcommittee to discuss amendments to Part 3 of the TSP.,05/02/2019 12:00:00 PM,05/02/2019 03:00:00 PM,"DLCD Basement Hearing Room, 635 Capitol St NE, Suite 150",Salem,Yes,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,,,,Andy.lanier@state.or.us,,https://zoom.us/j/977488603 (https://zoom.us/j/977488603%20),1 855 880 1246 ,977 488 603,https://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/2019-april-2/1899-tsp-part-3-working-group-meeting-agenda-5-2-2019,,,,https://www.oregonocean.info/,,,,
Ocean Policy Advisory Council Meeting,,04/03/2019 09:00:00 AM,04/03/2019 04:00:00 PM,"Holiday Inn 3301 Market St NE, Salem, OR 97301",Salem,Yes,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,,,,,true,https://www.oregonocean.info/,,,,,,,https://www.oregonocean.info/,,,,
Citizen Involvement Advisory Committee,,03/28/2019 09:00:00 AM,03/28/2019 12:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Salem,yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,true,https://zoom.us/j/133701906,1-888-683-5191,133 701 906,,,,,https://www.oregon.gov/lcd/About/Pages/CIAC.aspx,,,,
Commission Meeting,Regular meeting of the Land Conservation and Development Commission,03/21/2019 08:00:00 AM,03/22/2019 05:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Salem,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,https://www.oregon.gov/lcd/Commission/Pages/Meetings.aspx,,,,
OPAC Webinar - Rocky Shores Management Strategy Draft Review,An online work session of the Ocean Policy Advisory Council focused on a review of the Draft Part Three amendments.  ,02/21/2019 02:00:00 PM,02/21/2019 03:30:00 PM,"	Department of Land Conservation and Development, Basement Hearing Room, 635 Capitol St NE, Suite 150",Salem,No,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,,,,,true,https://zoom.us/j/788272811,,,,,,,https://www.oregonocean.info/,,,,
Territorial Sea Plan Working Group (OPAC Subcommittee) on Rocky Shores,	A meeting of an Ocean Policy Advisory Council subcommittee to discuss amendments to Part 3 of the TSP.,02/07/2019 01:00:00 PM,02/07/2019 04:00:00 PM,"Gleason Room, Oregon Coast Aquarium 2820 SE Ferry Slip Rd",Newport,Yes,Andy,5039340072,Andy.lanier@state.or.us,,,,,,Andy.lanier@state.or.us,true,https://zoom.us/j/977488603 (https://zoom.us/j/977488603%20),1 855 880 1246,977 488 603,https://www.oregonocean.info/index.php/opac-documents/workinggroups/tspwg-p3/2019-february-7/1856-draft-rocky-shores-meeting-agenda-2-7-2019/file,,,,https://www.oregonocean.info/,,,,
Commission Meeting,Regular meeting of the Land Conservation and Development Commission,01/24/2019 09:00:00 AM,01/25/2019 05:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Salem,yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,https://www.oregon.gov/LCD/Commission/Documents/2019-01_Item_1_Salem_Agenda.pdf,,,,https://www.oregon.gov/lcd/Commission/Pages/Meetings.aspx,,,,
Goal 18: Pre-1977 Development Focus Group,,01/16/2019 01:30:00 PM,01/16/2019 03:30:00 PM,"Cove Room at the Agate Beach Best Western, 3019 N Coast Hwy", Newport,,Meg Reed,541-754-0811,meg.reed@state.or.us,,,,,,,,,,,,,,,,,,,
Territorial Sea Plan Working Group (OPAC Subcommittee) on Rocky Shores,	A meeting of an Ocean Policy Advisory Council subcommittee to discuss amendments to Part 3 of the TSP.,01/16/2019 09:30:00 AM,01/16/2019 12:00:00 PM,"	Department of Land Conservation and Development, Basement Hearing Room",Salem,Yes,Andy,5039340072,Andy.lanier@state.or.us,,,,,,,,https://zoom.us/j/977488603 (https://zoom.us/j/977488603%20),1 855 880 1246 ,977 488 603,https://www.oregonocean.info/index.php/component/jevents/eventdetail/47/24%7C32%7C25%7C26%7C27%7C34/rocky-shores-working-group-meeting?Itemid=1,,,,https://www.oregonocean.info/,,,,
Solar Rulemaking Advisory Committee,Rulemaking advisory committee meeting,12/11/2018 10:00:00 AM,12/11/2018 03:00:00 PM,"635 Capitol Street, Basement Hearing Room", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,https://goo.gl/maps/i6MFF3E3bet,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,,,,,
Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement.,12/06/2018 09:00:00 AM,12/06/2018 12:00:00 PM,"635 Capitol St., Ste. 250", Salem,yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,true,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
Solar Rulemaking Advisory Committee,Rulemaking advisory committee,11/14/2018 10:00:00 AM,11/14/2018 02:00:00 PM,"635 Capitol Street, Basement Hearing Room", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,https://goo.gl/maps/i6MFF3E3bet,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,,,,,
test,public comment wanted,11/01/2018 10:45:00 AM,11/01/2018 10:45:00 AM,online, Salem,,Casaria Taylor,,casaria.taylor@state.or.us,,,,,,,,,,,,,,,,,,,
Solar Rulemaking Advisory Committee,Rulemaking advisory committee meeting,10/29/2018 10:00:00 AM,10/29/2018 02:00:00 PM,"635 Capitol Street, Basement Hearing Room", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,https://goo.gl/maps/i6MFF3E3bet,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,,,,,
