"document_type","document_name","file_link","document_date","author"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-October-21-OR-Votes-County-Sub-Committee-Meeting-Minutes.pdf","2021-10-21T00:00:00.000","Bryan Edgerton"
"Minutes","Executive Steering Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-August-12-OR-votes-ESC-meeting-minutes.pdf","2021-08-12T00:00:00.000","Tim Esau"
"Report","Quality Assurance Report","https://sos.oregon.gov/admin/Documents/transparency/2021-November-1-Oregon-Votes-Quality-Assurance.pdf","2021-11-01T00:00:00.000","Gartner"
"Report","Quality Assurance Report","https://sos.oregon.gov/admin/Documents/transparency/2022-February-2-Oregon-Votes-Quality-Assurance.pdf","2022-02-02T00:00:00.000","Gartner"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2022-January-13-OR-Votes-Executive-Steering-Committee.pdf","2022-01-13T00:00:00.000","Bryan Edgerton"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2022-January-25-OR-Votes-County-Sub-Committee-Meeting-Presentation.pdf","2022-01-25T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2022-January-25-OR-Votes-Sub-Committee-Meeting.pdf","2022-01-25T00:00:00.000","Tim Esau"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2021-December-16-OR-Votes-County-Sub-Committee-Meeting-Presentation.pdf","2021-12-16T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-December-16-OR-Votes-Sub-Committee-Meeting.pdf","2021-12-16T00:00:00.000","Tim Esau"
"Minutes","Executive Steering Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2021-December-9-OR-votes-ESC-meeting-minutes.pdf","2021-12-09T00:00:00.000","Tim Esau"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2021-December-9-OR-Votes-Executive-Steering-Committee.pdf","2021-12-09T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2022-February-17-OV-County-Sub-Committee-Meeting-Minutes.pdf","2022-02-17T00:00:00.000","Tim Esau"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2022-February-17-OV-County-Sub-Committee-Status-Presentation.pdf","2022-02-17T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2022-March-16-OV-County-Sub-Committee-Meeting-Minutes.pdf","2022-03-16T00:00:00.000","Tim Esau"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2022-March-16-OV-County-Sub-Committee-Status-Presentation.pdf","2022-03-16T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2022-April-21-OV-County-Sub-Committee-Meeting-Minutes.pdf","2022-04-21T00:00:00.000","Tim Esau"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2022-February-17-OR-Votes-Executive-Steering-Committee-Presentation.pdf","2022-02-18T00:00:00.000","Bryan Edgerton"
"Report","Quality Assurance Report","https://sos.oregon.gov/admin/Documents/transparency/2022-April-20-Oregon-Votes-Quality-Assurance.pdf","2022-04-20T00:00:00.000","Gartner"
"Status","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2022-April-21-OV-County-Sub-Committee-Status-Presentation.pdf","2022-04-21T00:00:00.000","Bryan Edgerton"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2022-March-10-OR-Votes-Executive-Steering-Commitee-Presentation.pdf","2022-03-10T00:00:00.000","Bryan Edgerton"
"Status","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2022-April-14-OR-Votes-Executive-Steering-Committee-Presentation.pdf","2022-04-14T00:00:00.000","Bryan Edgerton"
"Staus","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2022-May-12-OR-Votes-Executive-Steering-Committee-Presentation.pdf","2022-05-12T00:00:00.000","Bryan Edgerton"
"Staus","Project Executive Status Report","https://sos.oregon.gov/admin/Documents/transparency/2022-June-21-OR-Votes-Executive-Steering-Committee-Presentation.pdf","2022-06-21T00:00:00.000","Bryan Edgerton"
"Staus","County Sub-Committee Status Presentation","https://sos.oregon.gov/admin/Documents/transparency/2022-June-16-OV-County-Sub-Committee-Status-Presentation.pdf","2022-06-16T00:00:00.000","Bryan Edgerton"
"Minutes","County Sub-Committee Meeting Minutes","https://sos.oregon.gov/admin/Documents/transparency/2022-June-16-OV-County-Sub-Committee-Meeting-Minutes.pdf","2022-06-16T00:00:00.000","Tim Esau"
"Report","Quality Assurance Report","https://sos.oregon.gov/admin/Documents/transparency/2022-June-10-Oregon-Votes-Quality-Assurance.pdf","2022-06-16T00:00:00.000","Gartner"
