"agency","report_name","report_number","month","year","contract_audit","url","type","supp_doc_name1","supp_doc_num1","support_doc_url1","supp_doc_name2","supp_doc_num2","support_doc_url2","supp_doc_name3","supp_doc_num3","support_doc_url3","supp_doc_name4","supp_doc_num4","support_doc_url4","supp_doc_name5","supp_doc_num5","support_doc_url5","supp_doc_name6","supp_doc_num6","support_doc_url6","supp_doc_name7","supp_doc_num7","support_doc_url7","day"
"Mortuary and Cemetery Board, State","Special Review","1997-49","5","1997","false","6704459",,,,,,,,,,,,,,,,,,,,,,,"29"
"Multi-Agency","Federal Compliance Report and Internal Control: Report For the Year Ending June 30, 1996","1997-64","6","1997","false","6710474",,,,,,,,,,,,,,,,,,,,,,,"15"
"Naturopathic Examiners, Board of","Special Review","1997-51","5","1997","false","6710461",,,,,,,,,,,,,,,,,,,,,,,"29"
"Nursing, State Board of","Special Review July 1, 1995 to June 30, 1996","1997-66","7","1997","false","6710476",,,,,,,,,,,,,,,,,,,,,,,"1"
"Nursing, State Board of","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Occupational Therapy Licensing Board","Special Review","1997-53","5","1997","false","6710463",,,,,,,,,,,,,,,,,,,,,,,"29"
"Optometry, Oregon Board of","Special Review","1997-47","5","1997","false","6704457",,,,,,,,,,,,,,,,,,,,,,,"29"
"Parks and Recreation Department, Oregon","Review of the Salem Office's Over-the-Counter Sales Receipts","1997-79","11","1997","false","6710487",,,,,,,,,,,,,,,,,,,,,,,"12"
"Parole and Post-Prison Supervision, Board of","Special Review","1997-72","9","1997","false","6710481",,,,,,,,,,,,,,,,,,,,,,,"9"
"Pharmacy, State Board of","Special Review","1997-44","5","1997","false","6704454",,,,,,,,,,,,,,,,,,,,,,,"29"
"Physical Therapist Licensing Board","Special Review","1997-55","5","1997","false","6710465",,,,,,,,,,,,,,,,,,,,,,,"29"
"Police, Department of Oregon","Department of Administrative Statewide Financial Management System: Phase 3A Review","1997-76","10","1997","false","6710484",,,,,,,,,,,,,,,,,,,,,,,"13"
"Police, Department of Oregon","Appointments to State Service","1997-84","12","1997","false","6704449",,,,,,,,,,,,,,,,,,,,,,,"14"
"Psychologist Examiners, State Board of","Special Review","1997-54","5","1997","false","6710464",,,,,,,,,,,,,,,,,,,,,,,"29"
"Public Employees Retirement System","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Public Employees Retirement System","July 1, 1995 to June 30, 1996","1997-42","5","1997","false","6704452",,,,,,,,,,,,,,,,,,,,,,,"23"
"Public Safety Standards and Training, Department of","Board on Public Safety Standards and Training: July 1, 1992 to December 31, 1995","1997-20","2","1997","false","6710498",,,,,,,,,,,,,,,,,,,,,,,"7"
"Public Utility Commission, Oregon","Special Review July 1, 1995 through June 30, 1996","1997-38","5","1997","false","6710510",,,,,,,,,,,,,,,,,,,,,,,"8"
"Racing Commission, Oregon","Special Review","1997-15","1","1997","false","6710496",,"Management Letter","862-2003-04-01","6710491",,,,,,,,,,,,,,,,,,,"23"
"Radiologic Technology, Board of","Special Review","1997-52","5","1997","false","6710462",,,,,,,,,,,,,,,,,,,,,,,"29"
"Revenue, Department of","Department of Administrative Statewide Financial Management System: Phase 3A Review","1997-76","10","1997","false","6710484",,,,,,,,,,,,,,,,,,,,,,,"13"
"Revenue, Department of","Opportunities to Improve Delinquent Debt Collection: by State Agencies","1997-77","10","1997","false","6710485",,,,,,,,,,,,,,,,,,,,,,,"28"
"Revenue, Department of","Appointments to State Service","1997-84","12","1997","false","6704449",,,,,,,,,,,,,,,,,,,,,,,"14"
"Revenue, Department of","Special Review - Change of Director March 31, 1997","1997-41","5","1997","false","6704451",,,,,,,,,,,,,,,,,,,,,,,"20"
"Speech-Language Pathology and Audiology, State Board of Examiners","Special Review","1997-58","5","1997","false","6710468",,,,,,,,,,,,,,,,,,,,,,,"29"
"Student Assistance Commission","Statewide Financial Management System Phase 2B Part 1 Review","1997-21","2","1997","false","6710512",,,,,,,,,,,,,,,,,,,,,,,"11"
"Transportation, Oregon Department of","Opportunities to Improve Delinquent Debt Collection: by State Agencies","1997-77","10","1997","false","6710485",,,,,,,,,,,,,,,,,,,,,,,"28"
"Transportation, Oregon Department of","Grant County Transportation District Loss of Public Funds","1997-05","1","1997","false","6710492",,,,,,,,,,,,,,,,,,,,,,,"15"
"Transportation, Oregon Department of","New Licensing System - Software Contract Expenditures Special Review","1997-13","1","1997","false","6710494",,,,,,,,,,,,,,,,,,,,,,,"21"
"Transportation, Oregon Department of","Personal Services Contracts Procurement Practices","1997-19","2","1997","false","6710497",,,,,,,,,,,,,,,,,,,,,,,"17"
"Treasurer, Office of the State","Administrative Accounts January 1, 1995 to June 30, 1996","1997-71","7","1997","false","6710480",,,,,,,,,,,,,,,,,,,,,,,"5"
"University System, Oregon","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Veterans' Affairs, Department of","Opportunities to Reduce State Employee Travel Costs","1997-36","4","1997","false","6710508",,,,,,,,,,,,,,,,,,,,,,,"17"
"Veterinary Medical Examining Board","Special Review","1997-50","5","1997","false","6710460",,,,,,,,,,,,,,,,,,,,,,,"29"
"Water Resources Department","Special Review","1997-68","7","1997","false","6710478",,,,,,,,,,,,,,,,,,,,,,,"3"
"Water Resources Department","Water Development Loan Program Special Review","1997-82","12","1997","false","6710490",,,,,,,,,,,,,,,,,,,,,,,"12"
"Youth Authority, Oregon","Security and Safety at Youth Correctional Facilities","1997-65","6","1997","false","6710475",,,,,,,,,,,,,,,,,,,,,,,"16"
"Administrative Services, Department of","Printer Contract July 18, 1994 to July 17, 1997","1998-44","12","1998","false","6710535",,,,,,,,,,,,,,,,,,,,,,,"16"
"Administrative Services, Department of","Computer Center General Controls Review","1998-39","10","1998","false","6710530",,,,,,,,,,,,,,,,,,,,,,,"11"
"Bar, Oregon State","For the Years Ended December 31, 1997, and 1996","1998-15","5","1998","false","6710550",,,,,,,,,,,,,,,,,,,,,,,"10"
"Bar, Oregon State","For the Two-Year Period Ended December 31, 1997","1998-27","7","1998","false","6710522",,,,,,,,,,,,,,,,,,,,,,,"4"
"Consumer and Business Services, Department of","Change of Administration Audit","1998-21","6","1998","false","6710516",,,,,,,,,,,,,,,,,,,,,,,"21"
"Corrections, Department of","Prison Construction Program Long-Range Planning and Budgeting","1998-43","12","1998","false","6710534",,,,,,,,,,,,,,,,,,,,,,,"15"
"Corrections, Department of","Prison Construction - Infrastructure Planning and Development","1998-26","7","1998","false","6710521",,,,,,,,,,,,,,,,,,,,,,,"3"
"Corrections, Department of","Prison Construction Procurement and Contract Development","1998-30","7","1998","false","6710525",,,,,,,,,,,,,,,,,,,,,,,"7"
"Driver and Motor Vehicles Services","Driver and Motor Vehicle Services: A Limited Review of Cash Handling at Selected Field Offices","1998-28","7","1998","false","6710523",,,,,,,,,,,,,,,,,,,,,,,"5"
"Economic and Community Development Department, Oregon","Water Fund July 1, 1996 to June 30, 1997","1998-13","5","1998","false","6710548",,,,,,,,,,,,,,,,,,,,,,,"8"
"Economic and Community Development Department, Oregon","Special Public Works Fund July 1, 1996 to June 30, 1997","1998-14","5","1998","false","6710549",,,,,,,,,,,,,,,,,,,,,,,"9"
"Education, Oregon Department of","Child and Adult Care Food Program A Child's Place For the Two-Year Period Ended June 30, 1996","1998-40","11","1998","false","6710531",,,,,,,,,,,,,,,,,,,,,,,"12"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Years Ended June 30, 1997 and 1996","1998-16","5","1998","false","6710554",,,,,,,,,,,,,,,,,,,,,,,"11"
"Geology and Mineral Industries, Department of","July 1, 1996 to June 30, 1997","1998-29","7","1998","false","6710524",,,,,,,,,,,,,,,,,,,,,,,"6"
"Housing and Community Services Department","For the Years Ended June 30, 1998 and 1997","1998-46","12","1998","false","6710536",,,,,,,,,,,,,,,,,,,,,,,"17"
"Human Services, Department of","Adult and Family Services Division: Review of State-subsidized Child Care Payments","1998-35","9","1998","false","6710529",,,,,,,,,,,,,,,,,,,,,,,"10"
"Human Services, Department of","Computer Center General Controls Review","1998-49","12","1998","false","6710538",,,,,,,,,,,,,,,,,,,,,,,"19"
"Human Services, Department of","Senior and Disabled Services Division: Facility Abuse Complaint Investigations, Estate Administration, and Adult Foster Home Licensing Calendar Year 1996","1998-07","3","1998","false","6710544",,,,,,,,,,,,,,,,,,,,,,,"17"
"Human Services, Department of","State Office for Services to Children and Families Mental Health and Developmental Disabilities Services Division Investigation of Seiders Enterprises, Inc.","1998-19","5","1998","false","6710514",,,,,,,,,,,,,,,,,,,,,,,"14"
"Legislative Audit Committee","Report to the Joint Legislative Audit Committee: December 3, 1998","1998-41","12","1998","false","6704451",,,,,,,,,,,,,,,,,,,,,,,"13"
"Lottery Commission, Oregon State","July 1, 1997 to June 30, 1998 and 1997","1998-47","12","1998","false","6710537",,,,,,,,,,,,,,,,,,,,,,,"18"
"Marine Board, Oregon State","July 1, 1996 through June 30, 1997","1998-31","8","1998","false","6710526",,,,,,,,,,,,,,,,,,,,,,,"7"
"Massage Therapists, State Board of","Change of Director July 1, 1996 through July 31, 1997","1998-09","3","1998","false","6710545",,,,,,,,,,,,,,,,,,,,,,,"18"
"Multi-Agency","Federal Compliance Report and Internal Control Report: For the Fiscal Year Ended June 30, 1997","1998-23","6","1998","false","6710518",,,,,,,,,,,,,,,,,,,,,,,"23"
"Parks and Recreation Department, Oregon","Oregon State Fair and Exposition Center: Special Review","1998-06","2","1998","false","6710543",,,,,,,,,,,,,,,,,,,,,,,"13"
"Parks and Recreation Department, Oregon","Limited Review of Cash Handling, Accounting for Credit Card Sales, and Selected Reservations Northwest Information Systems Controls","1998-51","12","1998","false","6710540",,,,,,,,,,,,,,,,,,,,,,,"21"
"Public Employees Retirement System","July1, 1996 to June 30, 1997","1998-04","2","1998","false","6710542",,,,,,,,,,,,,,,,,,,,,,,"12"
"Revenue, Department of","Property Tax Exemptions","1998-10","3","1998","false","6710546",,,,,,,,,,,,,,,,,,,,,,,"19"
"Revenue, Department of","General and Personal Income Tax Application Controls","1998-12","5","1998","false","6710547",,,,,,,,,,,,,,,,,,,,,,,"7"
"Student Assistance Commission","Oregon State Scholarship Commission: July 1, 1996 through June 30, 1997","1998-22","6","1998","false","6710517",,,,,,,,,,,,,,,,,,,,,,,"22"
"Transportation, Oregon Department of","Oregon Transportation Infrastructure Bank July 1, 1996, to June 30, 1997","1998-17","5","1998","false","6710555",,,,,,,,,,,,,,,,,,,,,,,"12"
"Transportation, Oregon Department of","Special Review - Change of Director, July 1, 1995-through December 31, 1995","1998-02","1","1998","false","6710541",,,,,,,,,,,,,,,,,,,,,,,"16"
"Transportation, Oregon Department of","Overhead Costs","1998-33","9","1998","false","6710527",,,,,,,,,,,,,,,,,,,,,,,"8"
"Transportation, Oregon Department of","Statewide Transportation Improvement Program Project Delivery","1998-42","12","1998","false","6710533",,,,,,,,,,,,,,,,,,,,,,,"14"
"Transportation, Oregon Department of","Oregon Transportation Infrastructure Bank July 1, 1996, to June 30, 1997","1998-17","5","1998","false","6710555",,,,,,,,,,,,,,,,,,,,,,,"12"
"Transportation, Oregon Department of","Rogue Valley Transportation District","1998-20","5","1998","false","6710515",,,,,,,,,,,,,,,,,,,,,,,"15"
"Transportation, Oregon Department of","Highway Construction","1998-24","7","1998","false","6710519",,,,,,,,,,,,,,,,,,,,,,,"1"
"Transportation, Oregon Department of","Sources and Uses of Highway Funds","1998-25","7","1998","false","6710520",,,,,,,,,,,,,,,,,,,,,,,"2"
"Transportation, Oregon Department of","Driver and Motor Vehicle Services: A Limited Review of Cash Handling at Selected Field Offices","1998-28","7","1998","false","6710523",,,,,,,,,,,,,,,,,,,,,,,"5"
"Veterans' Affairs, Department of","July 1, 1997 through June 30, 1998","1998-50","12","1998","false","6710539",,,,,,,,,,,,,,,,,,,,,,,"20"
"Women, Commission for","Change of Director May 1, 1997 through January 31, 1998","1998-18","5","1998","false","6710513",,,,,,,,,,,,,,,,,,,,,,,"13"
"Accountancy, Board of","Review of Cash Handling Procedures","1999-16","5","1999","false","6710567",,,,,,,,,,,,,,,,,,,,,,,"10"
"Administrative Services, Department of","Statewide Financial Management System (SFMS) Computer Applications Controls","1999-40","12","1999","false","6710590",,,,,,,,,,,,,,,,,,,,,,,"27"
"Administrative Services, Department of","State Controller's Division Special Investigation","1999-03","3","1999","false","6710556",,,,,,,,,,,,,,,,,,,,,,,"9"
"Administrative Services, Department of","Year 2000 Statewide Project Office Review","1999-05","3","1999","false","6710558",,,,,,,,,,,,,,,,,,,,,,,"11"
"Administrative Services, Department of","Small Purchase Order Transaction System Special Review","1999-25","7","1999","false","6710576",,,,,,,,,,,,,,,,,,,,,,,"15"
"Administrative Services, Department of","Year 2000 Statewide Project Office Review","1999-31","9","1999","false","6710582",,,,,,,,,,,,,,,,,,,,,,,"16"
"Administrative Services, Department of","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Agriculture, Department of","Change of Director","1999-43","12","1999","false","6710592",,,,,,,,,,,,,,,,,,,,,,,"30"
"Architect Examiners, State Board of","For the Year Ended June 30, 1998","1999-06","3","1999","false","6710559",,,,,,,,,,,,,,,,,,,,,,,"12"
"Bar, Oregon State","Professional Liability Fund: For the Years Ended December 31, 1998, and 1997","1999-17","5","1999","false","6710568",,,,,,,,,,,,,,,,,,,,,,,"11"
"Children and Families, Oregon Commission on","Change of Director and Risk Assessment","1999-30","9","1999","false","6710581",,,,,,,,,,,,,,,,,,,,,,,"15"
"Children's Trust Fund of Oregon","July 1, 1997 to June 30, 1998","1999-12","3","1999","false","6710565",,,,,,,,,,,,,,,,,,,,,,,"18"
"Columbia River Gorge Commission","July 1, 1997 to June 30, 1998","1999-14","4","1999","false","6710566",,,,,,,,,,,,,,,,,,,,,,,"2"
"Consumer and Business Services, Department of","Building Codes Division Revenue Collection July 1, 1997","1999-35","11","1999","false","6710586",,,,,,,,,,,,,,,,,,,,,,,"10"
"Corrections, Department of","Prison Construction Oversight","1999-11","3","1999","false","6710564",,,,,,,,,,,,,,,,,,,,,,,"17"
"Corrections, Department of","Change Order Management and Subcontractor Bidding","1999-39","11","1999","false","6710589",,,,,,,,,,,,,,,,,,,,,,,"18"
"Corrections, Department of","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Crook County School District","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Driver and Motor Vehicles Services","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Economic and Community Development Department, Oregon","Special Public Works Fund July 1, 1997 to June 30, 1998","1999-23","6","1999","false","6710574",,,,,,,,,,,,,,,,,,,,,,,"24"
"Economic and Community Development Department, Oregon","Water Fund July 1, 1997 to June 30, 1998","1999-24","6","1999","false","6710575",,,,,,,,,,,,,,,,,,,,,,,"25"
"Education, Oregon Department of","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Years Ended June 30, 1998 and 1997","1999-19","5","1999","false","6710570",,,,,,,,,,,,,,,,,,,,,,,"13"
"Energy, Oregon Department of","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Engineering and Land Surveying, State Board of","For the Year Ended June 30, 1998","1999-07","3","1999","false","6710560",,,,,,,,,,,,,,,,,,,,,,,"13"
"Geologist Examiners, State Board of","For the Year Ended June 30, 1998","1999-08","3","1999","false","6710561",,,,,,,,,,,,,,,,,,,,,,,"14"
"Geology and Mineral Industries, Department of","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Government Accountability Hotline","Informational Report on the Secretary of State's Government Waste Hotline","1999-18","5","1999","false","6710569",,,,,,,,,,,,,,,,,,,,,,,"12"
"Human Services, Department of","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Human Services, Department of","Office of Medical Assistance Programs Hospital Billings","1999-29","8","1999","false","6710580",,,,,,,,,,,,,,,,,,,,,,,"10"
"Landscape Architect Board","For the Year Ended June 30, 1998","1999-09","3","1999","false","6710562",,,,,,,,,,,,,,,,,,,,,,,"15"
"Legislative Audit Committee","Report to the Legislative Audit Committee: November 17, 1999","1999-37","11","1999","false","6710587",,,,,,,,,,,,,,,,,,,,,,,"16"
