"registry_number","business_name","entity_type","nonprofit_type","address","address_continued","city","state","zip_code"
"13111018","POWELL CEMETERY ASSOCIATION INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","997 EDGEWOOD DR NW",,"ALBANY","OR","97321"
"13169610","THE CHAMBERLIN HOUSE, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","421 WATER AVE NE","STE 2300","ALBANY","OR","97321"
"14778419","CHRISTMAS STORYBOOK LAND, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","3136 QUAIL AVE SE",,"ALBANY","OR","97322"
"20410312","ALBANY PUBLIC SCHOOLS FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 W 1ST AVE",,"ALBANY","OR","97321"
"7859382","CASA OF LINN COUNTY, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"9135583","WREN COMMUNITY CEMETERY ASSOCIATION, INC","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","5346 ERMINE ST SE",,"ALBANY","OR","97322"
"13043187","THE COMMUNITY AFTER-SCHOOL PROGRAM","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","250 BROADALBIN SW STE 255",,"ALBANY","OR","97321"
"14602387","HISTORIC CAROUSEL AND MUSEUM","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","503 1ST AVE W",,"ALBANY","OR","97321"
"21878988","ALBANY MENNONITE HOME/VILLAGE FOUNDATION, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","5353 COLUMBUS STREET SE",,"ALBANY","OR","97322"
"28561488","SWEET HOME ALUMNI FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","35959 EICHER RD SE",,"ALBANY","OR","97322"
"29985686","THE ALBANY PUBLIC LIBRARY FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","732 BROADALBIN SW",,"ALBANY","OR","97321"
"31996283","ALBANY AREA HABITAT FOR HUMANITY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 WEST 1ST AVE",,"ALBANY","OR","97321"
"31996283","ALBANY AREA HABITAT FOR HUMANITY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 WEST 1ST AVE",,"ALBANY","OR","97321"
"31996283","ALBANY AREA HABITAT FOR HUMANITY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 WEST 1ST AVE",,"ALBANY","OR","97321"
"31996283","ALBANY AREA HABITAT FOR HUMANITY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 WEST 1ST AVE",,"ALBANY","OR","97321"
"31996283","ALBANY AREA HABITAT FOR HUMANITY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 WEST 1ST AVE",,"ALBANY","OR","97321"
"31996283","ALBANY AREA HABITAT FOR HUMANITY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 WEST 1ST AVE",,"ALBANY","OR","97321"
"31996283","ALBANY AREA HABITAT FOR HUMANITY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 WEST 1ST AVE",,"ALBANY","OR","97321"
"31996283","ALBANY AREA HABITAT FOR HUMANITY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 WEST 1ST AVE",,"ALBANY","OR","97321"
"32242083","ALBANY PARTNERSHIP FOR HOUSING AND COMMUNITY DEVELOPMENT","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 1ST AVE W",,"ALBANY","OR","97321"
"43867688","ABC HOUSE, INC","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW","PO BOX 983","ALBANY","OR","97321"
"43867688","ABC HOUSE, INC","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW","PO BOX 983","ALBANY","OR","97321"
"43867688","ABC HOUSE, INC","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW","PO BOX 983","ALBANY","OR","97321"
"43867688","ABC HOUSE, INC","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW","PO BOX 983","ALBANY","OR","97321"
"48354880","LINN COUNTY VICTIM IMPACT PANEL, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","300 4TH AVE SW LINN COUNTY COURTHOUSE","2600 SW PACIFIC BOULEVARD","ALBANY","OR","97321"
"55640883","FRIENDS OF LINN COUNTY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","30680 HORSESHOE DR SW",,"ALBANY","OR","97321"
"57430382","CAMP ATTITUDE, OREGON, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1320 NW THORN DR",,"ALBANY","OR","97321"
"58143380","SWEET HOME COMMUNITY FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2158 BURKHART ST SE",,"ALBANY","OR","97322"
"60085884","FETAL ALCOHOL SPECTRUM CONSULTATION, EDUCATION AND TRAINING SERVICES , INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","4654 NW POWERS AVE",,"ALBANY","OR","97321"
"60478386","MARIO AND ALMA PASTEGA FAMILY FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1823 SPRINGHILL DR NE",,"ALBANY","OR","97321"
"60974384","CORVALLIS CARING PLACE","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","5353 COLUMBUS ST SE",,"ALBANY","OR","97322"
"65724685","MID-WILLAMETTE FAMILY YMCA FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","3201 PACIFIC BLVD SW",,"ALBANY","OR","97321"
"74160780","BENTON FURNITURE SHARE","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","3160 SE 14TH AVE",,"ALBANY","OR","97322"
"74417883","EDUCARE AFRICA","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"74417883","EDUCARE AFRICA","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"74417883","EDUCARE AFRICA","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"74417883","EDUCARE AFRICA","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"317297","HEAD START IN LINCOLN COUNTY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","250 SW BROADALBIN SUITE A",,"ALBANY","OR","97321"
"1573690","OREGON TURFGRASS FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","3212 NW SPARKS AVE",,"ALBANY","OR","97321"
"5436993","WEST ALBANY SPORTS FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","3212 NW SPARKS AVENUE",,"ALBANY","OR","97321"
"13460696","HOUSING, EMPLOYMENT & LEARNING PROGRAMS FOR SELF-SUFFICENCY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","250 BROADALBIN ST SW STE 2A",,"ALBANY","OR","97321"
"15282593","WEST LANE CHARTER SCHOOL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","436 1ST AVE W",,"ALBANY","OR","97321"
"17412792","FIRST CHRISTIAN CHURCH PREPRIMARY SCHOOL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"17412792","FIRST CHRISTIAN CHURCH PREPRIMARY SCHOOL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"17412792","FIRST CHRISTIAN CHURCH PREPRIMARY SCHOOL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"17412792","FIRST CHRISTIAN CHURCH PREPRIMARY SCHOOL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"18112292","K-9 HOMEFINDERS & RESCUE, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","34533 OAKVILLE RD SW",,"ALBANY","OR","97321"
"18536490","PARKSIDE COURT APARTMENTS","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 1ST AVE W",,"ALBANY","OR","97321"
"30010995","STRENGTHENING RURAL FAMILIES","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","5885 NESTUCCA AVE NE",,"ALBANY","OR","97321"
"31433790","LINN DRUG INTERVENTION PROGRAM, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","420 SW 3RD AVE STE 102",,"ALBANY","OR","97321"
"38379095","LINN COUNTY VETERANS MEMORIAL ASSOCIATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1928 SPICER WAYSIDE",,"ALBANY","OR","97321"
"42453597","WEST ALBANY BULLDOG BOOSTER CLUB","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2100 ELM ST SW",,"ALBANY","OR","97321"
"45928298","OAKVILLE YOUTH MEMORIAL SCHOLARSHIP FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","201 W FIRST ST","PO BOX 40","ALBANY","OR","97321"
"46896296","LOVE INC OF LINN COUNTY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","35656 OAKVILLE RD",,"ALBANY","OR","97321"
"54803698","LINN COUNTY CULTURAL COALITION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","3010 FERRY ST SW",,"ALBANY","OR","97322"
"61887395","GLOBAL NUTRITION EMPOWERMENT","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","3025 NW HURLEYWOOD DR",,"ALBANY","OR","97321"
"69940097","THE JIREH PROJECT","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","6423 SEDONA RD",,"ALBANY","OR","97321"
"70009296","MERCY HOUSE INTERNATIONAL, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","411 2ND AVE SW",,"ALBANY","OR","97321"
"78006393","CASCADES WEST COMMUNITY DEVELOPMENT CORPORATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","C/O OCWCOG","1400 QUEEN AVENUE SE SUITE 201","ALBANY","OR","97322"
"79960291","BLUESUN, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 WEST 1ST AVE",,"ALBANY","OR","97321"
"83583790","NEW ROOTS HOUSING","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1250 QUEEN AVE SE",,"ALBANY","OR","97322"
"86073294","VETS HELPING VETS HQ","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","237 SW 3RD AVE",,"ALBANY","OR","97321"
"91753997","WILLAMETTE COMMUNITY GARDENS","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1088 FRONT AVE NE",,"ALBANY","OR","97321"
"95115391","CAREER TECH HIGH SCHOOL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","250 BROADALBIN ST SW STE 2A",,"ALBANY","OR","97321"
"98581094","LINN DEFENDERS, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","EVASHEVSKI, ELLIOTT, CIHAK & HEDIGER, PC","100 CALAPOOIA ST SW","ALBANY","OR","97321"
"103026191","GOD'S HANDS REACHING HAITI","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","RYAN HAAN","130 W FIRST AVENUE","ALBANY","OR","97321"
"103026191","GOD'S HANDS REACHING HAITI","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","RYAN HAAN","130 W FIRST AVENUE","ALBANY","OR","97321"
"103026191","GOD'S HANDS REACHING HAITI","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","RYAN HAAN","130 W FIRST AVENUE","ALBANY","OR","97321"
"103026191","GOD'S HANDS REACHING HAITI","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","RYAN HAAN","130 W FIRST AVENUE","ALBANY","OR","97321"
"103026191","GOD'S HANDS REACHING HAITI","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","RYAN HAAN","130 W FIRST AVENUE","ALBANY","OR","97321"
"103026191","GOD'S HANDS REACHING HAITI","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","RYAN HAAN","130 W FIRST AVENUE","ALBANY","OR","97321"
"103026191","GOD'S HANDS REACHING HAITI","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","RYAN HAAN","130 W FIRST AVENUE","ALBANY","OR","97321"
"103026191","GOD'S HANDS REACHING HAITI","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","RYAN HAAN","130 W FIRST AVENUE","ALBANY","OR","97321"
"105426597","SOUTH WILLAMETTE VALLEY HONOR FLIGHT","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2217 40TH AVE SE",,"ALBANY","OR","97322"
"108272790","HOPE INTERNATIONAL, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","917 19TH AVE SE","SUITE C","ALBANY","OR","97321"
"108636291","THE HAPPY CAT CLUB","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","3090 RAILROAD ST SE",,"ALBANY","OR","97322"
"109459099","NERDS ABROAD","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1250 HILL ST SE",,"ALBANY","OR","97322"
"119112498","DORIS AND BILL SCHARPF FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","920 ELM ST SW",,"ALBANY","OR","97321"
"120134192","TEA EVENTS PDX INC","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2609 4TH AVE SE",,"ALBANY","OR","97321"
"121041990","ALBANY PARKS & RECREATION FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT COWGILL","130 FIRST AVENUE W","ALBANY","OR","97321"
"121041990","ALBANY PARKS & RECREATION FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT COWGILL","130 FIRST AVENUE W","ALBANY","OR","97321"
"121041990","ALBANY PARKS & RECREATION FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT COWGILL","130 FIRST AVENUE W","ALBANY","OR","97321"
"121041990","ALBANY PARKS & RECREATION FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT COWGILL","130 FIRST AVENUE W","ALBANY","OR","97321"
"121041990","ALBANY PARKS & RECREATION FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT COWGILL","130 FIRST AVENUE W","ALBANY","OR","97321"
"121041990","ALBANY PARKS & RECREATION FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT COWGILL","130 FIRST AVENUE W","ALBANY","OR","97321"
"121041990","ALBANY PARKS & RECREATION FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT COWGILL","130 FIRST AVENUE W","ALBANY","OR","97321"
"121041990","ALBANY PARKS & RECREATION FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT COWGILL","130 FIRST AVENUE W","ALBANY","OR","97321"
"123422198","ALBANY HEIGHTS HOMEOWNERS ASSOCIATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1319 29TH AVE SE",,"ALBANY","OR","97322"
"130110893","ALBANY SAFETY FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2023 KODIAK AVE SW",,"ALBANY","OR","97321"
"130928591","CIVIL RIGHTS FOR SENIORS A NON-PROFIT CORPORATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1640 BROADWAY ST SW",,"ALBANY","OR","97321"
"130271190","PRO NOSTALGIA DRAG RACING ASSOCIATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2687 QUINCE ST NW",,"ALBANY","OR","97321"
"131890394","RYKERS FOUNDATION FOR POMPE DISEASE","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2946 NE DRIFT CT",,"ALBANY","OR","97321"
"134512094","REGENERATIVE ROOTS","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","840 LAUREL PL NW",,"ALBANY","OR","97321"
"134863091","WILLAMETTE QUALITY CARE","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2601 UMATILLA ST SW APT 3",,"ALBANY","OR","97321"
"137107496","RIDERS NEEDING ASSISTANCE","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","891 N POINTE DR NW",,"ALBANY","OR","97321"
"140595497","ELAKHA ALLIANCE","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","4184 CLAY PL SE",,"ALBANY","OR","97322"
"141437293","GINGLES CEMETERY ASSOCIATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","7682 NW SPRINGHILL DR",,"ALBANY","OR","97321"
"151543098","BYOG","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","560 FAIRMONT DR NE",,"ALBANY","OR","97322"
"152539392","CUMBERLAND COMMUNITY EVENTS CENTER","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","201 1ST AVE W",,"ALBANY","OR","97321"
"155061394","VILLAGE RESOURCES","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","5050 SE COLUMBUS #158",,"ALBANY","OR","97322"
"157583692","REDHAWKS FLIGHT CLUB, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT G COWGILL","130 FIRST AVE W","ALBANY","OR","97321"
"157583692","REDHAWKS FLIGHT CLUB, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT G COWGILL","130 FIRST AVE W","ALBANY","OR","97321"
"157583692","REDHAWKS FLIGHT CLUB, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT G COWGILL","130 FIRST AVE W","ALBANY","OR","97321"
"157583692","REDHAWKS FLIGHT CLUB, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT G COWGILL","130 FIRST AVE W","ALBANY","OR","97321"
"157583692","REDHAWKS FLIGHT CLUB, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT G COWGILL","130 FIRST AVE W","ALBANY","OR","97321"
"157583692","REDHAWKS FLIGHT CLUB, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT G COWGILL","130 FIRST AVE W","ALBANY","OR","97321"
"157583692","REDHAWKS FLIGHT CLUB, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT G COWGILL","130 FIRST AVE W","ALBANY","OR","97321"
"157583692","REDHAWKS FLIGHT CLUB, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","SCOTT G COWGILL","130 FIRST AVE W","ALBANY","OR","97321"
"159309690","LINN ECONOMIC DEVELOPMENT GROUP","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","321 1ST AVE E STE 3A",,"ALBANY","OR","97321"
"162391990","YOUNG ROOTS OREGON","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","1216 33RD AVE SE",,"ALBANY","OR","97322"
"170199393","THE LORD'S PORTER","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2660 IMPERIAL DRIVE NW",,"ALBANY","OR","97321"
"171936397","DAM WORTH IT COMPANY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","130 1ST AVENUE WEST",,"ALBANY","OR","97321"
"172992993","ACCOUNT-ABILITY OREGON","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","3875 DOGWOOD AVE SE",,"ALBANY","OR","97322"
"173640690","HGOF CHARITABLE ACTION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","212 1ST AVE SE # 100",,"ALBANY","OR","97321"
"180940398","THE COMFORT & JOY PROJECT","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","C/O AMVETS","1215 PACIFIC BLVD SE","ALBANY","OR","97321"
"181962797","PERLENFEIN FAMILY FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","631 KOUNS DR NW",,"ALBANY","OR","97321"
"182284399","RISE ABOVE THE DISORDER","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","314 CASTING ST SE",,"ALBANY","OR","97322"
"185513398","RESTORE AMERICA ONE LIFE AT A TIME INC","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","2225 SE PACIFIC BLVD","SUITE 107","ALBANY","OR","97321"
"188777198","HANGING WITH THE FELLAS","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","889 MEADOW CT NE",,"ALBANY","OR","97322"
"192854991","VALENCIA COOPER SECOND CHANCE OPPORTUNITY SCHOLARSHIP AWARD INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"192854991","VALENCIA COOPER SECOND CHANCE OPPORTUNITY SCHOLARSHIP AWARD INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"192854991","VALENCIA COOPER SECOND CHANCE OPPORTUNITY SCHOLARSHIP AWARD INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"192854991","VALENCIA COOPER SECOND CHANCE OPPORTUNITY SCHOLARSHIP AWARD INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","100 CALAPOOIA ST SW",,"ALBANY","OR","97321"
"6231211","IMAGINE POSSIBILITIES, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","4450 SW 184TH",,"ALOHA","OR","97007"
"10518918","EDWARDS CENTER, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","4375 SW EDWARDS PL",,"ALOHA","OR","97078"
"22780985","ALOHA HIGH BOOSTER CLUB, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","18550 SW KINNAMAN RD",,"ALOHA","OR","97007"
"45718285","SHERIFF'S OFFICE FOUNDATION OF WASHINGTON COUNTY, OREGON","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","18525 SW VINCENT STREET",,"ALOHA","OR","97007"
"54727483","FAMILIES FOR INDEPENDENT LIVING","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","17900 SW FRANCES ST",,"ALOHA","OR","97006"
"57581788","MACWILLIAMS FAMILY FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","20145 SW NANCY LANE",,"ALOHA","OR","97007"
"71998281","SWEDISH ROOTS IN OREGON","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","7639 SW CRISP DRIVE",,"ALOHA","OR","97007"
"25516196","CENTURY COMMUNITY FOOTBALL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","19890 SW PIKE STREET",,"ALOHA","OR","97078"
"30372296","DAYTIME ENRICHMENT ACTIVITIES & RECREATION, INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","17900 SW FRANCES STREET",,"ALOHA","OR","97003"
"51235498","ASIAN EDUCATION FOUNDATION","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","7472 SW 195TH PL",,"ALOHA","OR","97007"
"72713697","OREGON STATE BUTTON SOCIETY","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","21147 SW DANA CT.",,"ALOHA","OR","97003"
"108506296","ALOHA WARRIORS SOFTBALL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","19886 SW SONIA LN",,"ALOHA","OR","97007"
"110205598","ALOHA COMMUNITY FARMERS MARKET","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","19890 SW PIKE ST",,"ALOHA","OR","97078"
"113696892","MARLEE V FUND","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","21845 SW YORK ST",,"ALOHA","OR","97003"
"116273798","HILLSBORO YOUTH USA SOFTBALL","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","20522 SW LYON COURT",,"ALOHA","OR","97078"
"127165298","ALOHA BREEZE SOFTBALL-COMBS","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","20522 SW LYON CT",,"ALOHA","OR","97078"
"168379395","ROSE CITY RABBIT RESCUE","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","5250 SW 197TH AVENUE",,"ALOHA","OR","97078"
"180110190","OUTDOOR RECREATIONAL CONQUEST","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","4647 SW MASTERS LOOP APT 146",,"ALOHA","OR","97078"
"187809497","THE FLIP MUSEUM INC.","DOMESTIC NONPROFIT CORPORATION","PUBLIC BENEFIT","18525 SW VINCENT ST",,"ALOHA","OR","97078"
