"full_library_name","address","county","type_of_library","mailing_address","phone_number","fax_number","email_address","website","library_system_membership","geo_address","full_address"
"Columbia Gorge Community College Library","400 E Scenic Drive, The Dalles, OR 97058-3434","Wasco","Academic",,"541-506-6081","541-506-6082","library@cgcc.edu","http://www.cgcc.edu/library",,"POINT (-121.188397 45.590932)","POINT (-121.188397 45.590932)"
"Lyons Public Library","279 Eighth Street, Lyons, OR 97358","Linn","Public","448 Cedar, Lyons, OR 97358","(503) 859-2366",,"lyonspl@ccrls.org","http://lyons.ccrls.org/","CCRLS","POINT (-122.613147 44.774972)","POINT (-122.613147 44.774972)"
"Confederated Tribes of Coos, Lower Umpqua & Siuslaw Tribal Library","1245 Fulton Ave., Coos Bay, OR 97420","Coos","Tribal","1245 Fulton Ave., Coos Bay, OR 97420","(541) 888-1317",,,"https://ctclusi.org/",,"POINT (-124.265368 43.383301)","POINT (-124.265368 43.383301)"
"Multnomah County Library","919 NE 19th Avenue, Suite 250, Portland, OR 97232","Multnomah","Public","919 NE 19th Avenue, Suite 250, Portland, OR 97232","(503) 988-7870","(503) 988-5441","https://multcolib.org/we-can-help-anything","http://www.multcolib.org","NONE","POINT (-122.646471 45.528303)","POINT (-122.646471 45.528303)"
"North Plains Public Library","31334 NW Commercial St., North Plains, OR 97133","Washington","Public","31360 NW Commercial St., North Plains, OR 97133","(503) 647-5051","(503) 647-5043","info@nplibrary.org","https://www.northplains.org/library","WCCLS","POINT (-122.999651 45.597654)","POINT (-122.999651 45.597654)"
"Beaverton City Library","12375 SW 5th St, Beaverton, OR 97005","Washington","Public","12375 SE 5th St, Beaverton, OR 97005","(503) 644-2197","(503) 574-3436","librarymail@beavertonoregon.gov","http://www.beavertonlibrary.org","WCCLS","POINT (-122.804195 45.48332)","POINT (-122.804195 45.48332)"
"Confederated Tribes of Grand Ronde Library","9615 Grand Ronde Road, Building L, Grand Ronde, OR 97347","Polk","Tribal","9615 Grand Ronde Road, Grand Ronde, OR 97347","503-879-1488","503 879-2286","Kathy.Cole@grandronde.org","http://www.grandronde.org/departments/education/library/",,"POINT (-123.611844 45.074677)","POINT (-123.611844 45.074677)"
"Jackson County Library Services - Rogue River Branch Library","412 E Main St, Rogue River, OR 97537","Jackson","Public",,"(541) 864-8850","(541) 864-8871","info@jcls.org","http://www.jcls.org","NONE","POINT (-123.165414 42.432924)","POINT (-123.165414 42.432924)"
"Columbia Basin Fish & Wildlife Library (fka StreamNet Library)","700 N.E. Multnomah St., Suite 515, Portland, OR 97232","Multnomah","Special","700 N.E. Multnomah St, Suite 1200, Portland, OR 97232","(503) 238-0667",,"Fishlib@critfc.org","http://www.streamnetlibrary.org",,"POINT (-122.658016 45.531498)","POINT (-122.658016 45.531498)"
"Klamath County Library - Malin Branch Library","2307 Front St, Malin, OR 97632","Klamath","Public","PO Box 525, Malin, OR 97632","(541) 723-5210","(541) 723-5210","malinstaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.406894 42.013248)","POINT (-121.406894 42.013248)"
"Sandy Public Library","38980 Proctor Blvd, Sandy, OR 97055","Clackamas","Public","38980 Proctor Blvd, Sandy, OR 97055","(503) 668-5537","(503) 668-3153","saref@lincc.org","http://www.ci.sandy.or.us/library","LINCC","POINT (-122.26192 45.397297)","POINT (-122.26192 45.397297)"
"Jackson County Library Services - Gold Hill Branch Library","202 Dardanelles Street, Gold Hill, OR 97525","Jackson","Public","PO Box 258, Gold Hill, OR 97525","(541) 855-1994","(541) 855-1994","info@jcls.org","http://www.jcls.org","NONE","POINT (-123.048859 42.43141)","POINT (-123.048859 42.43141)"
"Multnomah County Library - Belmont Library","1038 SE Cesar Chavez BLVD, Portland, OR 97214","Multnomah","Public",,"503.988.5123",,,,"NONE","POINT (-122.622923 45.515215)","POINT (-122.622923 45.515215)"
"Gladstone Public Library","135 E Dartmouth, Gladstone, OR 97027","Clackamas","Public","135 E Dartmouth, Gladstone, OR 97027","(503) 656-2411","(503) 655-2438","gladstonepubliclibrary@gmail.com","http://gladstonepubliclibrary.org/","LINCC","POINT (-122.593856 45.380509)","POINT (-122.593856 45.380509)"
"Jackson County Library Services - Prospect Branch Library","150 Mill Creek Dr, Prospect, OR 97536","Jackson","Public",,"(541) 560-3668","(541) 560-3668","info@jcls.org","http://www.jcls.org","NONE","POINT (-122.488702 42.753809)","POINT (-122.488702 42.753809)"
"Glendale Community Library","190 Third Street, Glendale, OR 97442","Douglas","Volunteer","PO Box 907, Glendale, OR 97442","(541) 832-2360","(541) 832-2360",,"https://www.libraryglendale.org/","NONE","POINT (-123.427568 42.736703)","POINT (-123.427568 42.736703)"
"Monmouth Public Library","168 Ecols St. S., Monmouth, OR 97361","Polk","Public","PO Box 10, Monmouth, OR 97361","(503) 838-1932","(503) 838-3899",,"http://www.ci.monmouth.or.us/library","CCRLS","POINT (-123.231783 44.847769)","POINT (-123.231783 44.847769)"
"Emma Humphrey Library","150 A St E, Vale, OR 97918","Malheur","Public","150 A St E, Vale, OR 97918","(541) 473-3902",,"valecitylibrary@gmail.com","https://www.cityofvale.com/government/departments/emma-humphrey-library/","NONE","POINT (-117.239682 43.981893)","POINT (-117.239682 43.981893)"
"Klamath County Library - Keno Branch Library","15555 Hwy. 66, Space 8, Keno, OR 97627","Klamath","Public","PO Box 283, Keno, OR 97627","(541) 273-0750","(541) 273-0750","kenostaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.93179 42.125542)","POINT (-121.93179 42.125542)"
"Lake County Library - Paisley Branch Library","513 Mill St, Paisley, OR 97636","Lake","Public","PO Box 99, Paisley, OR 97636","(541) 943-3911",,"janm@lakecountylibrary.org","http://www.lakecountylibrary.org/","NONE","POINT (-120.544083 42.693862)","POINT (-120.544083 42.693862)"
"Salem Public Library - West Salem Branch Library","395 Glen Creek Road NW, Salem, OR 97304","Marion","Public","P.O. Box 14810, Salem, OR 97309","(503) 588-6301","(503)-588-6397",,,"CCRLS","POINT (-123.048641 44.950174)","POINT (-123.048641 44.950174)"
"Portland Community College - Cascade Campus","705 N Killingsworth, Portland, OR 97217-2399",,"Academic","PO Box 19000, Portland, OR 97280-0990","971 722 5322",,"https://www.pcc.edu/library/about/people/contact/email-a-librarian/","http://www.pcc.edu/library/",,"POINT (-122.674635 45.562689)","POINT (-122.674635 45.562689)"
"Cow Creek Band of Umpqua Indians Tribal Library","2371 Stephens Street Suite 100, Roseburg, OR 97470","Douglas","Tribal","2371 Stephens Street Suite 100, Roseburg, OR 97470","(541) 672-9405",,"info@cowcreek.com","https://www.cowcreek-nsn.gov/",,"POINT (-123.352794 43.238649)","POINT (-123.352794 43.238649)"
"Scio Public Library","38957 NW 1st, Scio, OR 97374","Linn","Public","PO Box 37, Scio, OR 97374","(503) 394-3342","(503) 394-2340","lmurray.cityofscio@smt-net.com","http://ci.scio.or.us/library.htm","NONE","POINT (-122.849806 44.704709)","POINT (-122.849806 44.704709)"
"Jackson County Library Services - Phoenix Branch Library","510 W 1st St, Phoenix, OR 97535","Jackson","Public","PO Box 277, Phoenix, OR 97535","(541) 535-7090","(541) 535-7090","info@jcls.org","http://www.jcls.org","NONE","POINT (-122.819462 42.27156)","POINT (-122.819462 42.27156)"
"Tillamook County Library","1716 Third St, Tillamook, OR 97141","Tillamook","Public","1716 Third St, Tillamook, OR 97141","(503) 842-4792","(503) 815-8194",,"http://tillabook.org/","NONE","POINT (-123.846541 45.456324)","POINT (-123.846541 45.456324)"
"Washington County Law Library","111 NE Lincoln Street, Hillsboro, OR 97124","Washington","Special","111 NE Lincoln Street, Hillsboro, OR 97124","(503) 846-8880","(503) 846-3515","lawlibrary@co.washington.or.us","http://www.co.washington.or.us/LawLibrary/index.cfm",,"POINT (-122.989303 45.523946)","POINT (-122.989303 45.523946)"
"Myrtle Creek Library","231 Division Street, Myrtle Creek, OR 97457","Douglas","Volunteer","PO Box 57, Myrtle Creek, OR 97457","(541) 863-5945","(541) 863-5945",,"https://www.friendsofmyrtlecreeklibrary.org/hours-and-contact","NONE","POINT (-123.284713 43.027478)","POINT (-123.284713 43.027478)"
"Grant County Library","507 S Canyon Blvd, John Day, OR 97845","Grant","Public","507 S Canyon Blvd, John Day, OR 97845","(541) 575-1992","541-575-1380","grant047@ortelco.net","http://www.grantcountylibrary.net","NONE","POINT (-118.952469 44.410238)","POINT (-118.952469 44.410238)"
"Washington County Cooperative Library Services - West Slope Community Library","3678 SW 78th Ave., Portland, OR 97225","Washington","Public","3678 SW 78th Ave, Portland, OR 97225","(503) 292-6416","(503) 292-6932","kristent@wccls.org","http://wccls.org","WCCLS","POINT (-122.757737 45.493128)","POINT (-122.757737 45.493128)"
"Umatilla County Special Library District","425 S Main, Pendleton, OR 97801","Umatilla","Public","PO Box 1689, Pendleton, OR 97801","(541) 276-6449",,"director@ucsld.org","http://www.ucsld.org","UCSLD","POINT (-118.786134 45.670495)","POINT (-118.786134 45.670495)"
"Columbia County Law Library","270 S. First St., St. Helens, OR 97051","Columbia","Special","PO Box 1400, St. Helens, OR 97051","(503) 396-5344",,"Ccll@columbiacll.org",,,"POINT (-122.797886 45.862699)","POINT (-122.797886 45.862699)"
"Jackson County Library Services - Ruch Branch Library","7919 HIGHWAY 238, JACKSONVILLE, OR 97530-9729","Jackson","Public",,"(541) 899-7438","(541) 899-7438","info@jcls.org","http://www.jcls.org","NONE",,
"Baker County Public Library - Richland Branch Library","42008 Moody Rd, Richland, OR 97870","Baker","Public",,"(541) 893-6088",,"richland@bakerlib.org",,"NONE","POINT (-117.162934 44.769503)","POINT (-117.162934 44.769503)"
"Baker County Public Library - Bookmobile","2400 Resort St, Baker City, OR 97814","Baker","Public",,"(541) 403-1390",,"bookmobile@bakerlib.org",,"NONE","POINT (-117.828984 44.781058)","POINT (-117.828984 44.781058)"
"Oregon Institute of Technology Libraries - Wilsonville Library","27500 SW Parkway Ave., Wilsonville, OR 97070-9296",,"Academic","27500 SW Parkway Ave, Wilsonville, OR 97070","(503) 821-1258","(503) 218-1126",,"http://www.oit.edu/libraries/about/collections/wilsonville",,"POINT (-122.768345 45.322847)","POINT (-122.768345 45.322847)"
"Willamette University - Mark O. Hatfield Library","900 State St., Salem, OR 97301-3930","Marion","Academic","900 State St., Salem, OR 97301-3930","503-370-6312","503-370-6141",,"http://library.willamette.edu/",,"POINT (-123.029549 44.937624)","POINT (-123.029549 44.937624)"
"Klamath County Library - Gilchrist Branch Library","138306 Michigan Ave, Gilchrist, OR 97737","Klamath","Public","PO Box 633, Gilchrist, OR 97737","(541) 433-2186","(541) 433-2186","gilchriststaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.68665 43.477367)","POINT (-121.68665 43.477367)"
"Cottage Grove Public Library","700 E Gibbs Ave, Cottage Grove, OR 97424","Lane","Public","700 E Gibbs Ave, Cottage Grove, OR 97424","(541) 942-3828",,"library@cottagegrove.org","http://cottagegrove.org/library","NONE","POINT (-123.060682 43.798723)","POINT (-123.060682 43.798723)"
"Umatilla County Law Library","216 SE 4th Street, Room 330, Pendleton, OR 97801","Umatilla","Special","216 SE 4th Street, Room 330, Pendleton, OR 97801","(541) 278-6306",,"law@umatillacounty.net",,,"POINT (-118.783435 45.673395)","POINT (-118.783435 45.673395)"
"Tillamook County Library - Manzanita Branch Library","571 Laneda, Manzanita, OR 97130","Tillamook","Public",,"503-368-6665",,,,"NONE","POINT (-123.931597 45.719221)","POINT (-123.931597 45.719221)"
"Pacific Bible College","28 Fir St., Suite 212, Medford, OR 97501","Jackson","Academic","28 Fir St., Suite 212, Medford, OR 97501","541-776-9942","541-770-9065","terry.p@pacificbible.edu","https://pacificbible.edu/academics/library/",,"POINT (-122.873649 42.324841)","POINT (-122.873649 42.324841)"
"Elgin Public Library","1699 Division Street, Elgin, OR 97827","Union","Public","1699 Division Street, Elgin, OR 97827","(541) 437-2860","(541) 437-0997","publiclibrary@cityofelginor.org","https://cityofelginor.org/city-library","NONE","POINT (-117.926582 45.564886)","POINT (-117.926582 45.564886)"
"Chetco Community Public Library","405 Alder St, Brookings, OR 97415","Curry","Public","405 Alder St, Brookings, OR 97415","(541) 469-7738","(541) 469-6746","contact@chetcolibrary.org","http://www.chetcolibrary.org","NONE","POINT (-124.276004 42.052487)","POINT (-124.276004 42.052487)"
"Maitripa Institute","1119 SE Market Street, Portland, OR 97214","Multnomah","Academic",,"503-235-2477","503-231-6408","library@maitripa.org","http://www.maitripa.org/library/",,"POINT (-122.654525 45.510804)","POINT (-122.654525 45.510804)"
"Ontario Library District - Ontario Community Library Bookmobile","388 SW 2nd Ave, Ontario, OR 97914","Malheur","Public","388 S.W. 2nd Ave, Ontario, OR 97914","5418896371","541-889-4279","ontariolibrarydirector@gmail.com","http://www.ontariolibrarydistrict.org","NONE","POINT (-116.968141 44.025617)","POINT (-116.968141 44.025617)"
"Baker County Public Library - Halfway Branch Library","260 Gover Lane, Halfway, OR 97834","Baker","Public","PO Box 922, Halfway, OR 97834","(541) 742-5279",,"halfway@bakerlib.org",,"NONE","POINT (-117.108932 44.875371)","POINT (-117.108932 44.875371)"
"Lane Community College - Library","4000 E 30th Ave, Eugene, OR 97405-0640","Lane","Academic","4000 E 30th Ave, Eugene, OR 97405-0640","541-463-5220","541-463-4150",,"https://library.lanecc.edu",,"POINT (-123.034706 44.014138)","POINT (-123.034706 44.014138)"
"Multnomah County Library - Northwest Library","2300 NW Thurman St., Portland, OR 97210","Multnomah","Public",,"503-988-5123",,,,"NONE","POINT (-122.699199 45.535497)","POINT (-122.699199 45.535497)"
"Deschutes Public Library System - East Bend Library","62080 Dean Swift Road, Bend, OR 97701","Deschutes","Public","62080 Dean Swift Road, Bend, OR 97701","(541) 330-3760",,,"http://www.deschuteslibrary.org/eastbend/","NONE","POINT (-121.271204 44.054383)","POINT (-121.271204 44.054383)"
"Harrisburg Public Library","354 Smith St, Harrisburg, OR 97446","Linn","Public","PO Box 378, Harrisburg, OR 97446","(541) 995-6949","(541) 995-9244","lross@ci.harrisburg.or.us","http://www.ci.harrisburg.or.us/library","NONE","POINT (-123.17024 44.272322)","POINT (-123.17024 44.272322)"
"Keizer Community Library","980 Chemawa Road NE, Keizer, OR 97303","Marion","Volunteer","980 Chemawa Road NE, Keizer, OR 97303","(503) 390-2370",,"books.keizerlibrary@gmail.com","http://www.keizerlibrary.org/home",,"POINT (-123.018974 44.996896)","POINT (-123.018974 44.996896)"
"Agness Community Library District","03925 Cougar Lane, Agness, OR 97406","Curry","Public","PO Box 33, Agness, OR 97406","(541) 247-6323","(541) 247-6323","Agnesscommunitylibrary@gmail.com","https://agnesscommunitylibrary.weebly.com/",,"POINT (-124.06995 42.556862)","POINT (-124.06995 42.556862)"
"Pacific Northwest College Of Art at Willamette University - PNCA at Willamette","511 NW Broadway, Portland, OR 97209","Multnomah","Academic","511 NW Broadway, Portland, OR 97209","503-821-8966",,"pnca-library@willamette.edu","http://library.pnca.edu",,"POINT (-122.677578 45.526978)","POINT (-122.677578 45.526978)"
"Pacific Evangelical School of Ministry","11501 SE Sunnyside Rd., Suite 300, Happy Valley, OR 97015","Clackamas","Academic","11501 SE Sunnyside Rd., Suite 300, Happy Valley, OR 97015","(503) 427-0000",,,"http://pesm.scoolaid.net/bin/home",,"POINT (-122.544871 45.432171)","POINT (-122.544871 45.432171)"
"Warm Springs Community Library","1144 Warm Springs Street, Warm Springs, OR 97761","Jefferson","Tribal","PO Box C, 1144 Warm Springs Street, Warm Springs, OR 97761","541-553-1078",,,"https://warmsprings-nsn.gov/",,"POINT (-121.269191 44.763461)","POINT (-121.269191 44.763461)"
"Treasure Valley Community College - Library","650 College Blvd, Ontario, OR 97914-3423","Malheur","Academic",,"541-881-5929","541-881-2724","librarian@tvcc.cc","https://www.tvcc.cc/library/",,"POINT (-116.974443 44.022129)","POINT (-116.974443 44.022129)"
"Adams Public Library","190 North Main Street, Adams, OR 97810","Umatilla","Public","PO Box 20, Adams, OR 97810","(541) 566-3038","(541) 566-2077","library@cityofadamsoregon.com","http://www.cityofadamsoregon.com","UCSLD","POINT (-118.563071 45.767466)","POINT (-118.563071 45.767466)"
"Jackson County Library Services - White City Branch Library","3143 Ave C, White City, OR 97503","Jackson","Public",,"(541) 864-8880","(541) 864-8889","info@jcls.org","http://www.jcls.org","NONE","POINT (-122.834417 42.43684)","POINT (-122.834417 42.43684)"
"Helix Public Library","119 Columbia St, Helix, OR 97835","Umatilla","Public","PO Box 324, Helix, OR 97835","(541) 457-6130","(541) 457-6130","helixlibrary@helixtel.com","http://helixlibrary.weebly.com","UCSLD","POINT (-118.657654 45.849623)","POINT (-118.657654 45.849623)"
"Athena Public Library","418 E Main St, Athena, OR 97813","Umatilla","Public","PO Box 450, Athena, OR 97813","(541) 566-2470","(541) 566-2470","athenalibrary@cityofathena.com","http://athenalibrary.weebly.com/","UCSLD","POINT (-118.488657 45.811707)","POINT (-118.488657 45.811707)"
"Sacred Heart Medical Center at RiverBend","3333 RiverBend Drive, Springfield, OR 97477","Lane","Special","Sacred Heart Medical Center @ RiverBend, 3333 RiverBend Drive, Springfield, OR 97477","(541) 222-2280","(541) 222-2289","libraryshmc@peacehealth.org","http://www.peacehealth.org/Oregon/HIL/hilhome.htm",,"POINT (-123.028624 44.081376)","POINT (-123.028624 44.081376)"
"Jackson County Library Services - Butte Falls Branch Library","626 Fir Ave., Butte Falls, OR 97522","Jackson","Public","PO Box 138, Butte Falls, OR 97522","(541) 865-3511","(541) 865-3511","info@jcls.org","http://www.jcls.org","NONE","POINT (-122.567328 42.541836)","POINT (-122.567328 42.541836)"
"Western Oregon University - Hamersly Library","345 N Monmouth Ave, Monmouth, OR 97361-1314","Polk","Academic",,"503-838-8418","503-838-8399",,"https://wou.edu/library/",,"POINT (-123.237317 44.851955)","POINT (-123.237317 44.851955)"
"Pacific University Library","2043 College Way, Forest Grove, OR 97116-1797","Washington","Academic",,"503-352-2204","503-352-1416",,"http://www.lib.pacificu.edu/",,"POINT (-123.111022 45.521418)","POINT (-123.111022 45.521418)"
"Klamath Community College - Learning Resource Center","7390 S 6th St, Klamath Falls, OR 97603","Klamath","Academic",,"541-880-2206","541-885-7758",,"https://www.klamathcc.edu/Academics/LRC",,"POINT (-121.700733 42.197768)","POINT (-121.700733 42.197768)"
"Jackson County Library Services - Medford Branch Library","205 S Central Ave, Medford, OR 97501","Jackson","Public",,"(541) 774-8689","(541) 774-6748","info@jcls.org","http://www.jcls.org","NONE","POINT (-122.870122 42.324345)","POINT (-122.870122 42.324345)"
"Southern Wasco County Library","507 Grant Ave, Maupin, OR 97037","Wasco","Public","PO Box 328, Maupin, OR 97037","(541) 395-2208",,"southernwascolibrary@gmail.com","http://wascocountylibrary.com/","WCLSD","POINT (-121.081958 45.175694)","POINT (-121.081958 45.175694)"
"Oregon State University - Guin Library","2030 SE Marine Science Dr, Newport, OR 97365-5296","Lincoln","Academic","2030 SE Marine Science Dr, Newport, OR 97365","541-867-0249",,"hmsc.library@oregonstate.edu","http://guin.library.oregonstate.edu/",,"POINT (-124.047161 44.622148)","POINT (-124.047161 44.622148)"
"Umpqua Community College Library","1140 Umpqua College Rd., Roseburg, OR 97470-0226","Douglas","Academic","PO Box 967, Roseburg, OR 97470","541-440-4640","541-440-4637",,"http://www.umpqua.edu/library",,"POINT (-123.333625 43.289031)","POINT (-123.333625 43.289031)"
"Multnomah County Library - Midland Regional Library","805 SE 122nd Ave, Portland, OR 97233","Multnomah","Public",,"503-988-5123",,,"http://www.multcolib.org/agcy/mid.html","NONE","POINT (-122.537736 45.516263)","POINT (-122.537736 45.516263)"
"Klamath County Loyd De Lap Law Library","126 S. Third St., Klamath Falls, OR 97601","Klamath","Special","126 S. Third St., Klamath Falls, OR 97601","(541) 882-8895 x30","(541) 882-6166","lawlibrary@klamathlibrary.org","https://klamathlibrary.org/loyd-de-lap-law-library",,"POINT (-121.784577 42.222545)","POINT (-121.784577 42.222545)"
"Canyonville Library","250 N. Main Street, Canyonville, OR 97417","Douglas","Volunteer","PO Box 147, Canyonville, OR 97417","(541) 839-4727",,"canyonvillelibrary@gmail.com",,"NONE","POINT (-123.280618 42.929944)","POINT (-123.280618 42.929944)"
"Flora M. Laird Memorial Library","435 5th St, Myrtle Point, OR 97458","Coos","Public","435 5th St, Myrtle Point, OR 97458","(541) 572-2591","(541) 572-5168","myrtlepointlibrary@gmail.com","https://www.ci.myrtlepoint.or.us/general/page/flora-m-laird-memorial-library","CCLSD","POINT (-124.142129 43.063859)","POINT (-124.142129 43.063859)"
"Arlington Public Library","500 W First St, Arlington, OR 97812","Gilliam","Public","PO Box 339, Arlington, OR 97812","541-705-2555","541-705-2575","arlingtonpubliclibraryor97812@gmail.com","http://arlington.ploud.net/","NONE","POINT (-120.20381 45.717713)","POINT (-120.20381 45.717713)"
"Lower Umpqua Library District","395 Winchester Ave, Reedsport, OR 97467","Douglas","Public","395 Winchester Ave, Reedsport, OR 97467","(541) 271-3500","(541) 271-1027","library@luld.org","https://www.luld.org/","NONE","POINT (-124.096175 43.701814)","POINT (-124.096175 43.701814)"
