"year","quarter","locationabbr","locationdesc","topicdesc","measuredesc","datasource","provisiongroupdesc","provisiondesc","provisionvalue","citation","provisionaltvalue","datatype","comments","enacted_date","effective_date","geolocation","displayorder","topictypeid","topicid","measureid","provisiongroupid","provisionid"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Roll-Your-Own Tobacco Tax","Yes","ALA. CODE § 40-25-2","2","Yes/No",,"1/1/1995","1/1/1995","
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1010LEG","674ERO","10GRP","380"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Moist Snuff Tobacco","OSH","Restrictions","Type of Tax","Per Ounce","ALA. CODE § 40-25-2","0",,,"1/1/1995","1/1/1995","
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1020LEG","681EMS","10GRP","391"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Cigar Tax ($ each)","0.0405","ALA. CODE § 40-25-2","0.0405","Money",,"4/2/2014","10/1/2014","
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1010LEG","671CIG","10GRP","413"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Type of Tax","No Provision",,"0",,,,,"
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1010LEG","671CIG","10GRP","415"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Little Cigar Tax ($ per pack of 20)","No Provision",,"0","Money",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1010LEG","672LCG","10GRP","417"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Type of Tax","Wholesale Price","ALASKA STAT. § 43.50.300","0",,,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1010LEG","672LCG","10GRP","419"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Cigarette","OSH","Restrictions","Cigarette Tax ($ per pack)","2.000","Alaska Stat. §§ 43.50.090 and 43.50.190","2","Money",,"7/24/2004","1/1/2005","
,  
(64.84507995700051, -147.72205903599973)","5","LEG","1010LEG","670CGR","10GRP","411"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Chewing Tobacco","OSH","Restrictions","Chewing Tobacco Tax ($ per ounce)","No Provision",,"0","Money",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1020LEG","680CHW","10GRP","408"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Roll-Your-Own Tobacco Tax ($ per ounce)","No Provision",,"0","Money",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1010LEG","674ERO","10GRP","381"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Dissolvable Tobacco","OSH","Restrictions","Dissolvable Tobacco Tax","Yes","ALASKA STAT. § 43.50.300","2","Yes/No",,,,"
,  
(64.84507995700051, -147.72205903599973)","1","LEG","1020LEG","684EDT","10GRP","400"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Dissolvable Tobacco","OSH","Restrictions","Dissolvable Tobacco Tax ($ per ounce)","No Provision",,"0","Money",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1020LEG","684EDT","10GRP","401"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Moist Snuff Tobacco","OSH","Restrictions","Percent Value","75","ALASKA STAT. § 43.50.300","75","Number",,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","3","LEG","1020LEG","681EMS","10GRP","390"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Little Cigar Tax","Yes",,"2","Yes/No",,,,"
,  
(64.84507995700051, -147.72205903599973)","1","LEG","1010LEG","672LCG","10GRP","416"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Percent Value","75","ALASKA STAT. § 43.50.300","75","Number",,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","3","LEG","1010LEG","673EPT","10GRP","378"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Snus Tobacco","OSH","Restrictions","Snus Tobacco Tax ($ per ounce)","No Provision",,"0","Money",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1020LEG","683EST","10GRP","397"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Moist Snuff Tobacco","OSH","Restrictions","Moist Snuff Tobacco Tax ($ per ounce)","No Provision",,"0","Money",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1020LEG","681EMS","10GRP","389"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Chewing Tobacco","OSH","Restrictions","Percent Value","75","ALASKA STAT. § 43.50.300","75","Number",,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","3","LEG","1020LEG","680CHW","10GRP","409"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Percent Value","75","ALASKA STAT. § 43.50.300","75","Number",,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","3","LEG","1010LEG","671CIG","10GRP","414"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Percent Value","75","ALASKA STAT. § 43.50.300","75","Number",,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","3","LEG","1010LEG","672LCG","10GRP","418"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Type of Tax","Wholesale Price","ALASKA STAT. § 43.50.300","0",,,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1010LEG","671CIG","10GRP","415"
"2022","3","AK","Alaska","Legislation - Tax Stamp","Tax Stamp","OSH","Requirements","Other Requirements","No Provision",,"0","Ranking",,,,"
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1030LEG","690CET","12GRP","352"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Dry Snuff Tobacco","OSH","Restrictions","Dry Snuff Tobacco Tax ($ per ounce)","No Provision",,"0","Money",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1020LEG","682EDS","10GRP","393"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Type of Tax","Wholesale Price","ALASKA STAT. § 43.50.300","0",,,"1/1/1995","1/1/1995","
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1010LEG","674ERO","10GRP","383"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Type of Tax","Wholesale Price","ALASKA STAT. § 43.50.300","0",,,"1/1/1995","1/1/1995","
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1010LEG","673EPT","10GRP","379"
"2022","3","AK","Alaska","Legislation - Tax Stamp","Tax Stamp","OSH","Requirements","Barcode/Scannable Code Required","No Provision",,"0","Ranking",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1030LEG","690CET","12GRP","350"
"2022","3","AK","Alaska","Legislation - Tax Stamp","Tax Stamp","OSH","Requirements","Tax Stamp Required","Yes","ALASKA STAT. § 43.50.090","2","Ranking",,"6/16/2003","1/1/2004","
,  
(64.84507995700051, -147.72205903599973)","1","LEG","1030LEG","690CET","12GRP","349"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Pipe Tobacco Tax ($ per ounce)","No Provision",,"0","Money",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1010LEG","673EPT","10GRP","377"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Moist Snuff Tobacco","OSH","Restrictions","Type of Tax","Wholesale Price","ALASKA STAT. § 43.50.300","0",,,"1/1/1995","1/1/1995","
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1020LEG","681EMS","10GRP","391"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Dry Snuff Tobacco","OSH","Restrictions","Dry Snuff Tobacco Tax","Yes","ALASKA STAT. § 43.50.300","2","Yes/No",,"1/1/1995","1/1/1995","
,  
(64.84507995700051, -147.72205903599973)","1","LEG","1020LEG","682EDS","10GRP","392"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Cigar Tax","Yes",,"2","Yes/No",,,,"
,  
(64.84507995700051, -147.72205903599973)","1","LEG","1010LEG","671CIG","10GRP","412"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Moist Snuff Tobacco","OSH","Restrictions","Moist Snuff Tobacco Tax","Yes","ALASKA STAT. § 43.50.300","2","Yes/No",,"1/1/1995","1/1/1995","
,  
(64.84507995700051, -147.72205903599973)","1","LEG","1020LEG","681EMS","10GRP","388"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Cigar Tax ($ each)","No Provision",,"0","Money",,,,"
,  
(64.84507995700051, -147.72205903599973)","2","LEG","1010LEG","671CIG","10GRP","413"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Dissolvable Tobacco","OSH","Restrictions","Percent Value","75","ALASKA STAT. § 43.50.300","75","Number",,"5/27/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1020LEG","684EDT","10GRP","403"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Chewing Tobacco","OSH","Restrictions","Type of Tax","Wholesale Price","ALASKA STAT. § 43.50.300","0",,,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1020LEG","680CHW","10GRP","410"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Snus Tobacco","OSH","Restrictions","Type of Tax","Wholesale Price","ALASKA STAT. § 43.50.300","0",,,"1/1/1995","1/1/1995","
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1020LEG","683EST","10GRP","399"
"2022","3","AK","Alaska","Legislation - Tax Stamp","Tax Stamp","OSH","Requirements","Encrypted Image/Hologram Required","No Provision",,"0","Ranking",,,,"
,  
(64.84507995700051, -147.72205903599973)","3","LEG","1030LEG","690CET","12GRP","351"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Pipe Tobacco Tax","Yes","ALASKA STAT. § 43.50.300","2","Yes/No",,"1/1/1995","1/1/1995","
,  
(64.84507995700051, -147.72205903599973)","1","LEG","1010LEG","673EPT","10GRP","376"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Dry Snuff Tobacco","OSH","Restrictions","Type of Tax","Wholesale Price","ALASKA STAT. § 43.50.300","0",,,"1/1/1995","1/1/1995","
,  
(64.84507995700051, -147.72205903599973)","4","LEG","1020LEG","682EDS","10GRP","395"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Snus Tobacco","OSH","Restrictions","Percent Value","75","ALASKA STAT. § 43.50.300","75","Number",,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","3","LEG","1020LEG","683EST","10GRP","398"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Roll-Your-Own Tobacco Tax","Yes","ALASKA STAT. § 43.50.300","2","Yes/No",,"1/1/1995","1/1/1995","
,  
(64.84507995700051, -147.72205903599973)","1","LEG","1010LEG","674ERO","10GRP","380"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Dissolvable Tobacco","OSH","Restrictions","Type of Tax","Wholesale Price","ALASKA STAT. § 43.50.300","0",,,,,"
,  
(64.84507995700051, -147.72205903599973)","5","LEG","1020LEG","684EDT","10GRP","404"
"2022","3","AK","Alaska","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Percent Value","75","ALASKA STAT. § 43.50.300","75","Number",,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","3","LEG","1010LEG","674ERO","10GRP","382"
"2022","3","AK","Alaska","Legislation - Tax Non-Combustible Tobacco","Dry Snuff Tobacco","OSH","Restrictions","Percent Value","75","ALASKA STAT. § 43.50.300","75","Number",,"5/28/1997","10/1/1997","
,  
(64.84507995700051, -147.72205903599973)","3","LEG","1020LEG","682EDS","10GRP","394"
