"year","quarter","locationabbr","locationdesc","topicdesc","policytopic","datasource","setting","title","status","citation","statusaltvalue","datatype","comments","enacteddate","effectivedate","geolocation","displayorder","policytypeid","healthtopicid","policytopicid","settingid","provisionid"
"2010","1","KY","Kentucky","Physical Activity","Bicycling","DNPAO","Community","Bicycle and Bikeway Program","Enacted","R19202","1","Text","(Abstract - Establishes procedures related to the Bicycle and Bikeway Program. ), (BillHistory - )","2010-01-01T00:00:00.000",,"(37.645970271, -84.774971048)","50","REG","003PA","005BIK","002COM","3338"
"2010","1","TX","Texas","Obesity","Sugar Sweetened Beverages","DNPAO","Early Care and Education","Nutrition And Food Service","Enacted","R18528","1","Text","(Abstract - Amends rules concerning the basic requirements for snack and meal-times, how often to feed children in care, and serving powdered milk and fruit or vegetable juices. ), (BillHistory - )","2010-01-01T00:00:00.000",,"(31.827240407, -99.426770206)","43","REG","002OB","046SSB","001ECE","3461"
"2009","1","MA","Massachusetts","Obesity","Body Mass Index (BMI)","DNPAO","School/After School","Student Nutrition and Wellness","Dead","HD1736","3","Text","(Abstract - Relates to student nutrition and wellness. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 446.)",,,"(42.27687047, -72.082690675)","29","LEG","002OB","006BMI","004SAS","2689"
"2009","1","CO","Colorado","Nutrition","Agriculture and Farming","DNPAO","Community","Long Appropriations Bill","Enacted","S259","1","Text","(Abstract - Enacts the Long Appropriations Bill.), (BillHistory - 06/22/2009 - Session Law Chaptered.  Chapter No. 464)","2009-01-01T00:00:00.000",,"(38.843840757, -106.133610921)","10","LEG","001NUT","017AGF","002COM","2282"
"2009","1","NY","New York","Obesity","Appropriations","DNPAO","Community","Jerome Park Reservoir","Dead","A1133","3","Text","(Abstract - Dedicates the tract of land known as Jerome Park Reservoir in the borough of the Bronx as park land of the city of New York. ), (BillHistory - 01/07/2009 - INTRODUCED.;01/07/2009 - To ASSEMBLY Committee on TOURISM, ARTS AND SPORTS DEVELOPMENT.)",,,"(42.827001032, -75.543970427)","28","LEG","002OB","002APP","002COM","2270"
"2010","1","NJ","New Jersey","Obesity","Appropriations","DNPAO","Community","Transit Villages Act","Dead","A2825","3","Text","(Abstract - Relates New Jersey Transit Villages Act. ), (BillHistory - 05/20/2010 - FILED.;06/10/2010 - INTRODUCED.;06/10/2010 - To ASSEMBLY Committee on TRANSPORTATION, PUBLIC WORKS AND INDEPENDENT AUTHORITIES.)",,,"(40.130570048, -74.273691288)","28","LEG","002OB","002APP","002COM","2964"
"2009","1","MA","Massachusetts","Nutrition","School Nutrition","DNPAO","School/After School","School Nutrition","Dead","HD638","3","Text","(Abstract - Relates to school nutrition. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 2092.)",,,"(42.27687047, -72.082690675)","21","LEG","001NUT","043SNU","004SAS","2693"
"2009","1","TX","Texas","Obesity","Appropriations","DNPAO","Community","Partnership for Children in Nature","Dead","H3271","3","Text","(Abstract - Relates to the Partnership for Children in Nature.), (BillHistory - 03/10/2009 - INTRODUCED.;03/18/2009 - To HOUSE Committee on CULTURE, RECREATION, AND TOURISM.)",,,"(31.827240407, -99.426770206)","28","LEG","002OB","002APP","002COM","2046"
"2010","1","OK","Oklahoma","Nutrition","Task Forces/Councils","DNPAO","Restaurant/Retail","Food Availability","Dead","S1352","3","Text","(Abstract - Relates to food availability, creates the Rural Food Desert Task Force. ), (BillHistory - 01/05/2010 - PREFILED.;02/01/2010 - INTRODUCED.;02/02/2010 - To SENATE Committee on AGRICULTURE AND RURAL DEVELOPMENT.)",,,"(35.472031356, -97.521070214)","23","LEG","001NUT","047TFC","006RES","517"
"2008","1","NH","New Hampshire","Nutrition","Medical Care","DNPAO","Community","Bicycles on Roadways","Dead","LSR638","3","Text","(Abstract - Relates to the operation of bicycles on roadways.), (BillHistory - 12/02/2008 - FILED.)",,,"(43.655950113, -71.50036092)","16","LEG","001NUT","026MEC","002COM","429"
"2011","1","UT","Utah","Nutrition","Appropriations","DNPAO","Community","Short Title - State Food Stamps Program","Dead","S193","3","Text","(Abstract - (Short Title) Relates to state food stamps program for farmers' market.   ), (BillHistory - 02/05/2011 - INTRODUCED.)",,,"(39.360700171, -111.587130635)","2","LEG","001NUT","002APP","002COM","4690"
"2009","1","MN","Minnesota","Physical Activity","Pedestrians/Walking","DNPAO","Community","Capital Improvements","Dead","S844","3","Text","(Abstract - Relates to capital improvements, authorizes the sale and issuance of bonds, appropriates money to construct trails in Ramsey County.), (BillHistory - 02/19/2009 - INTRODUCED.;02/19/2009 - To SENATE Committee on FINANCE.)",,,"(46.355648736, -94.794200503)","69","LEG","003PA","052PED","002COM","1976"
"2009","1","NJ","New Jersey","Obesity","Initiatives and Programs","DNPAO","School/After School","Childhood Obesity Prevention","Dead","S2911","3","Text","(Abstract - Designates State Coordinator for Childhood Obesity Prevention and Awareness.), (BillHistory - 06/11/2009 - FILED.;06/15/2009 - INTRODUCED.;06/15/2009 - To SENATE Committee on HEALTH, HUMAN SERVICES AND SENIOR CITIZENS.)",,,"(40.130570048, -74.273691288)","46","LEG","002OB","053INP","004SAS","1549"
"2011","1","MA","Massachusetts","Nutrition","Farm Direct Foods","DNPAO","School/After School","Healthy School Meals","Dead","HD1500","3","Text","(Abstract - Promotes healthy school meals.   ), (BillHistory - 01/20/2011 - FILED.;01/20/2011 - Assigned HOUSE Bill No. 1056)",,,"(42.27687047, -72.082690675)","8","LEG","001NUT","015FDF","004SAS","4051"
"2010","1","HI","Hawaii","Nutrition","Farmers Markets","DNPAO","Community","Aliomanu Road Reconstruction","Dead","S2060","3","Text","(Abstract - Authorizes the issuance of General Obligation bonds for the County of Kauai. ), (BillHistory - 01/20/2010 - INTRODUCED.;01/20/2010 - To SENATE Committee on WAYS AND MEANS.)",,,"(21.304850435, -157.857749403)","9","LEG","001NUT","016FAM","002COM","2570"
"2010","1","MA","Massachusetts","Nutrition","School Nutrition","DNPAO","School/After School","School Nutrition","Dead","S2322","3","Text","(Abstract - Relates to school nutrition. ), (BillHistory - 03/11/2010 - INTRODUCED.;03/11/2010 - New Text of H 4459.)",,,"(42.27687047, -72.082690675)","21","LEG","001NUT","043SNU","004SAS","293"
"2009","1","TX","Texas","Obesity","Appropriations","DNPAO","School/After School","Curriculum Requirements","Enacted","R16691","1","Text","(Abstract - Establishes additional requirements for high school health classes.), (BillHistory - )","2009-01-01T00:00:00.000",,"(31.827240407, -99.426770206)","28","REG","002OB","002APP","004SAS","2362"
"2009","1","NY","New York","Obesity","Appropriations","DNPAO","School/After School","Physical Education Instruction","Enacted","R20467","1","Text","(Abstract - Amends rule to revise physical education instruction requirements for elementary programs and establish qualifications and appropriate training of coaches.), (BillHistory - )","2009-01-01T00:00:00.000",,"(42.827001032, -75.543970427)","28","REG","002OB","002APP","004SAS","2399"
"2009","1","NY","New York","Nutrition","Task Forces/Councils","DNPAO","School/After School","Office Of Nutrition And Fitness","Dead","A3095","3","Text","(Abstract - Establishes the office of nutrition and fitness. ), (BillHistory - 01/22/2009 - INTRODUCED.;01/22/2009 - To ASSEMBLY Committee on GOVERNMENTAL OPERATIONS.)",,,"(42.827001032, -75.543970427)","23","LEG","001NUT","047TFC","004SAS","3026"
"2011","1","CT","Connecticut","Obesity","Liability and Indemnity","DNPAO","Restaurant/Retail","Tax on Soft Drinks","Dead","S256","3","Text","(Abstract - Concerns a tax on soft drinks, imposes a tax on soft drinks.   ), (BillHistory - 01/19/2011 - INTRODUCED.;01/20/2011 - To JOINT Committee on FINANCE, REVENUE AND BONDING.)",,,"(41.56266102, -72.649840952)","39","LEG","002OB","030LAI","006RES","3637"
"2009","1","MI","Michigan","Physical Activity","Public Transportation","DNPAO","Community","Regional Transportation Authority","Dead","S1031","3","Text","(Abstract - Establishes regional transportation authority in Detroit region. ), (BillHistory - 12/17/2009 - INTRODUCED.;12/17/2009 - To SENATE Committee on TRANSPORTATION.)",,,"(44.661319543001, -84.71439027)","63","LEG","003PA","040TRS","002COM","2782"
"2008","1","VT","Vermont","Physical Activity","Initiatives and Programs","DNPAO","Work Place","Senate Resolution <br>","Enacted","SR27","1","Text","(Abstract - Designates April 30 as National Walk@Lunch Day and encourages all Vermonters to recognize the importance of walking in a healthy lifestyle. ), (BillHistory - Bill History Unavailable)","2008-01-01T00:00:00.000",,"(43.625381239, -72.517640791)","70","LEG","003PA","053INP","005WKP","5755"
"2010","1","VA","Virginia","Nutrition","Medical Care","DNPAO","Community","Route 1 Corridor","Dead","HJR119","3","Text","(Abstract - Establishes a joint subcommittee to study the creation of a U.S. Route 1 Corridor. ), (BillHistory - 01/13/2010 - INTRODUCED.;01/13/2010 - To HOUSE Committee on RULES.;02/16/2010 - Left in committee.)",,,"(37.542680674, -78.457890463)","16","LEG","001NUT","026MEC","002COM","3228"
"2010","1","TX","Texas","Obesity","Portion Size","DNPAO","Early Care and Education","Nutrition And Food Service","Enacted","R18528","1","Text","(Abstract - Amends rules concerning the basic requirements for snack and meal-times, how often to feed children in care, and serving powdered milk and fruit or vegetable juices. ), (BillHistory - )","2010-01-01T00:00:00.000",,"(31.827240407, -99.426770206)","42","REG","002OB","038POS","001ECE","3461"
"2009","1","TX","Texas","Obesity","Appropriations","DNPAO","School/After School","Physical Education Curriculum","Dead","H3741","3","Text","(Abstract - Relates to physical education curriculum and instruction in public schools.), (BillHistory - 03/12/2009 - INTRODUCED.;03/19/2009 - To HOUSE Committee on PUBLIC EDUCATION.)",,,"(31.827240407, -99.426770206)","28","LEG","002OB","002APP","004SAS","2224"
"2010","1","NE","Nebraska","Physical Activity","Physical Education Requirements","DNPAO","School/After School","Accreditation","Enacted","R1717","1","Text","(Abstract - Amends rules concerning the accreditation of schools. Specifies goals for Physical Education curriculum in elementary, middle, and secondary schools.), (BillHistory - )","2010-01-01T00:00:00.000",,"(41.641040988001, -99.365720623)","61","REG","003PA","036PER","004SAS","3385"
"2010","1","OR","Oregon","Obesity","Body Mass Index (BMI)","DNPAO","Community","Multimodal Transportation Fund Program","Enacted","R32193","1","Text","(Abstract - Proposes rules regarding the Multimodal Transportation Fund Program earnings. Dedicates program earnings to passenger rail and rail projects. Relates to lottery bond proceeds.  ), (BillHistory - )","2010-01-01T00:00:00.000",,"(44.567449424, -120.155031326)","29","REG","002OB","006BMI","002COM","4840"
"2009","1","LA","Louisiana","Nutrition","Appropriations","DNPAO","Community","Residential Licensing","Enacted","R11863","1","Text","(Abstract - Amends rules relating to residential licensing and emergency shelters. Refers to child caring agencies offering emergency shelter care to children.), (BillHistory - )","2009-01-01T00:00:00.000",,"(31.312660644, -92.445680071)","2","REG","001NUT","002APP","002COM","2332"
"2010","1","MI","Michigan","Obesity","Food Restrictions","DNPAO","School/After School","School Grant Program","Dead","H6040","3","Text","(Abstract - Creates farm-to-school grant program. ), (BillHistory - 04/13/2010 - INTRODUCED.;04/13/2010 - To HOUSE Committee on AGRICULTURE.)",,,"(44.661319543001, -84.71439027)","35","LEG","002OB","020FOR","004SAS","348"
"2010","1","HI","Hawaii","Physical Activity","Public Safety","DNPAO","Community","Parking in Bicycle Paths","Dead","HCR257","3","Text","(Abstract - Requests the city and county of Honolulu to enforce prohibitions to deter parking in bicycle paths. ), (BillHistory - 03/10/2010 - INTRODUCED.;03/12/2010 - To HOUSE Committee on TRANSPORTATION.)",,,"(21.304850435, -157.857749403)","62","LEG","003PA","039SAF","002COM","2060"
"2009","1","MI","Michigan","Obesity","Food Restrictions","DNPAO","School/After School","School Soft Drink Ban","Dead","S279","3","Text","(Abstract - Prohibits sale or distribution of soft drinks to students in schools.), (BillHistory - 02/19/2009 - INTRODUCED.;02/19/2009 - To SENATE Committee on EDUCATION.)",,,"(44.661319543001, -84.71439027)","35","LEG","002OB","020FOR","004SAS","1344"
"2011","1","MT","Montana","Obesity","Liability and Indemnity","DNPAO","Restaurant/Retail","Soft Drink and Sugared Beverage Excise Tax","Dead","D1204","3","Text","(Abstract - Implements soft drink and sugared beverage excise tax, relates to sales taxation. ), (BillHistory - 12/02/2010 - Draft request received.;12/03/2010 - Draft on Hold.)",,,"(47.066528972, -109.424420645)","39","LEG","002OB","030LAI","006RES","2891"
"2011","1","MI","Michigan","Nutrition","Breastfeeding","DNPAO","Community","Breastfeeding in Public","Dead","S554","3","Text","(Abstract - Protects breastfeeding in public as a civil right.   ), (BillHistory - 06/30/2011 - INTRODUCED.;06/30/2011 - To SENATE Committee on JUDICIARY.)",,,"(44.661319543001, -84.71439027)","4","LEG","001NUT","007BFD","002COM","4104"
"2010","1","AK","Alaska","Obesity","Appropriations","DNPAO","School/After School","Physical Education Standards","Enacted","R3980","1","Text","(Abstract - Establishes new regulations concerning physical education standards. ), (BillHistory - )","2010-01-01T00:00:00.000",,"(64.845079957001, -147.722059036)","28","REG","002OB","002APP","004SAS","3292"
"2009","1","MN","Minnesota","Physical Activity","Built Environment and Street-Scale Design","DNPAO","Community","Natural Resources","Dead","H2004","3","Text","(Abstract - Relates to natural resources, appropriates money for a bicycle and pedestrian trail grant.), (BillHistory - 03/23/2009 - INTRODUCED.;03/23/2009 - To HOUSE Committee on FINANCE.)",,,"(46.355648736, -94.794200503)","68","LEG","003PA","049BED","002COM","1370"
"2010","1","ID","Idaho","Nutrition","Media Campaigns","DNPAO","Community","Community Infrastructure Districts","Dead","H536","3","Text","(Abstract - Amends and repeals existing law relating to community infrastructure districts. ), (BillHistory - 02/15/2010 - INTRODUCED.;02/16/2010 - To HOUSE Committee on LOCAL GOVERNMENT.)",,,"(43.682630005, -114.363730042)","19","LEG","001NUT","031MDC","002COM","2581"
"2012","1","IL","Illinois","Obesity","Food Restrictions","DNPAO","Restaurant/Retail","An Act Concerning Health  <br>","Dead","H5700","3","Text","(Abstract - Prohibits artificial trans fat from being served in retail establishments, with exceptions, and in school vending machines.), (BillHistory - 02/16/2012 INTRODUCED; 02/16/2012 To HOUSE Committee on RULES.)","2012-01-01T00:00:00.000",,"(40.485010283, -88.997710178)","35","LEG","002OB","020FOR","006RES","5595"
"2011","1","NY","New York","Obesity","Appropriations","DNPAO","Community","Surcharge for Parking in a Bicycle Lane","Dead","S3938","3","Text","(Abstract - Relates to violations and a mandatory surcharge for parking in a bicycle lane. Applies to stopping or standing of motor vehicles as well.  ), (BillHistory - 03/10/2011 - INTRODUCED.;03/10/2011 - To SENATE Committee on CITIES.)",,,"(42.827001032, -75.543970427)","28","LEG","002OB","002APP","002COM","4403"
"2011","1","NY","New York","Nutrition","Appropriations","DNPAO","School/After School","School Body Mass Index Analysis","Dead","A922","3","Text","(Abstract - Requires schools to implement a method to measure, report, and analyze the body mass index of its students.  ), (BillHistory - 01/05/2011 - INTRODUCED.;01/05/2011 - To ASSEMBLY Committee on EDUCATION.)",,,"(42.827001032, -75.543970427)","2","LEG","001NUT","002APP","004SAS","4365"
"2010","1","WA","Washington","Obesity","Food Restrictions","DNPAO","Restaurant/Retail","Food Systems","Enacted","EO10","1","Text","(Abstract - Provides for the repealing of tax increases on certain processed foods, bottled water, candy, and carbonated beverages enacted by the 2010 legislature. ), (BillHistory - Initiative approved by voters 11/02/2010)","2010-01-01T00:00:00.000",,"(47.522278629, -120.47001079)","35","LEG","002OB","020FOR","006RES","3492"
"2011","1","TX","Texas","Physical Activity","Public Transportation","DNPAO","Community","Bicycle Accommodation","Dead","H3731","3","Text","(Abstract - Relates to the accommodation of bicycles, pedestrians, and mass transit riders on streets and highways.   ), (BillHistory - 03/11/2011 - INTRODUCED.;03/23/2011 - To HOUSE Committee on TRANSPORTATION.)",,,"(31.827240407, -99.426770206)","63","LEG","003PA","040TRS","002COM","4638"
"2011","1","WV","West Virginia","Nutrition","Access to Healthy Foods","DNPAO","Community","Sales Tax on Food","Dead","H2977","3","Text","(Abstract - Eliminates the sales tax on food effective July 1, 2011.   ), (BillHistory - 02/01/2011 - INTRODUCED.;02/01/2011 - To HOUSE Committee on FINANCE.)",,,"(38.665510202, -80.712640135)","1","LEG","001NUT","001AHF","002COM","4781"
"2009","1","MI","Michigan","Nutrition","Trans Fats","DNPAO","Community","Fitness Credit","Dead","H4109","3","Text","(Abstract - Provides an income tax deduction for fitness center memberships and exercise equipment.), (BillHistory - 01/22/2009 - INTRODUCED.;01/22/2009 - To HOUSE Committee on TAX POLICY.)",,,"(44.661319543001, -84.71439027)","24","LEG","001NUT","050FAT","002COM","335"
