"projectid","address","project_name","prior_site_name","street_number","street_name","neighborhood","developer","status","year_complete","project_type","permit_type","zoning","pb_special_permit","building_permit","total_gfa","lot_area","far","use_type","total_of_units","of_affordable_units","hotelrooms","parking_spaces","note","latlong","latitude","longitude"
"274","75 Ames Street","Broad Institute Expansion","","75","Ames Street","MIT / Area 2","Boston Properties","Complete","2014","New Construction","Planning Board Special Permit","MXD","PB257","1111176-001974","250000","66599","3.76","Office/R&D","0","None",,"See note","Parking to be accomodated in existing Cambridge Center garages.","(42.3634729027, -71.0880155899999)","42.3635","-71.088"
"671","222 Jacobs Street","Building J/K","","222","Jacobs Street","East Cambridge","DivcoWest","Complete","2019","New Construction","Planning Board Special Permit","NP/PUD-6","PB179","BLDC-057377-2017","371828","42461","2.66","Office/R&D","0","None",,"334","FAR for overall Cambridge Crossing development. Portion of 611,000 SF building and related parcel located in Somerville not included.","(42.3720309393998, -71.0754302739999)","42.372","-71.0754"
"347","181 Walden Street","Lincoln Way Apartments Replacement","","181","Walden Street","Neighborhood 9","Cambridge Housing Authority","Complete","2013","Addition/Alteration","Planning Board Special Permit","C-1/C-2","PB244","810165-047040","106600","134838","0.81","Residential","70","70",,"54","Project added a net of 10 affordable units,","(42.3874714749998, -71.1286557109999)","42.3875","-71.1287"
"405","1971 Massachusetts Avenue","The Rand at Porter/Miso Block Redevelopment","","1971","Massachusetts Avenue","North Cambridge","Urban Spaces","Complete","2017","New Construction","Large Project Review","BC","N/A","BLDM-022573-2015","26351","14044","1.81","Residential","20","2",,"20","Includes demolition of existing retail building.","(42.390126234, -71.12051184)","42.3901","-71.1205"
"341","625 Putnam Avenue",,"","625","Putnam Avenue","Cambridgeport","Homeowners Rehab, Inc.","Complete","2012",,"Planning Board Special Permit","SD-8A/C-1","PB240","1210065-039725","44303","27970","1.88","Residential","40","40",,"28",,"(42.3562787810001, -71.1063483199998)","42.3563","-71.1063"
"605","80-84 Cambridgepark Drive","Luxe at Alewife","","80-84","Cambridgepark Drive","North Cambridge","Hanover","Complete","2018","New Construction","Planning Board Special Permit","O-2A/AOD-6","PB292","BLDM-051623-2016","292400","174496","1.7","Residential","254","30",,"185","Parking includes 94 spaces shared with nearby office buildings. 121 spaces sited underneath residential structure. Remainder included in separate phase 541 space garage. Formerly 88 Cambridgepark Dr.","(42.3933390102998, -71.143912736)","42.3933","-71.1439"
"660","201-203 Concord Turnpike","Tempo at Alewife Station Phase 1","","201-203","Concord Turnpike","North Cambridge","Criterion Development Partners","Complete","2019","New Construction","Planning Board Special Permit","SP-4A","PB326","BLDM-070311-2018","67128","166468","1.95","Residential","74","9",,"80","Includes demolition of existing motel and bowling alley. Second phase includes 259 units out of 320.  Total project 324,440 SF and 239 parking spaces.","(42.399565, -71.1490979999999)","42.3996","-71.1491"
"681","314 Main Street","Building 5","","314","Main Street","MIT / Area 2","MIT","Complete","2020","New Construction","Planning Board Special Permit","C-3B MXD/PUD 5","PB303","BLDC-077288-2018","372110","36002","4.48","Office/R&D","0","None",,"See note","Includes demolition of existing low-rise retail building. Parking at 25 Hayward Street garage. FAR for entire MIT Kendall Square SoMa project area including retained buildings.","(42.362222, -71.0866309999999)","42.3622","-71.0866"
"321","1066 Cambridge Street","Elm Place","","1066","Cambridge Street","Wellington Harrington","Just A Start","Complete","2011","New Construction","As of Right","BA/C-1","N/A","309148-011420","27732","16084","1.6","Residential","19","19",,"19",,"(42.37292557, -71.0953008569999)","42.3729","-71.0953"
"394","20 Child Street","Building N - Twenty/20","","20","Child Street","East Cambridge","HYM Investments","Complete","2015","New Construction","Planning Board Special Permit","NP/PUD-6","PB179","BLDC-003384-2013","388000","49284","2.66","Residential","355","41",,"184","FAR for overall North Point development.","(42.371614925, -71.071995059)","42.3716","-71.072"
"673","181 Morgan Avenue","Building Q1","","181","Morgan Avenue","East Cambridge","DivcoWest","Complete","2021","New Construction","Planning Board Special Permit","NP/PUD-6","PB179","43776","18851","14799","2.66","Office/R&D","0","None",,"0","FAR for overall Cambridge Crossing development.","(42.372098, -71.076492)","42.3721","-71.0765"
"654","1-3 Langdon Street","Basement Housing","","1-3","Langdon Street","Agassiz","Chestnut Hill Realty","Complete","2016","Change of Use","Planning Board Special Permit","C-2/B","PB290","BLDM-029678-2015","26892","16380","2.8","Residential","5","1",,"See note","Conversion of existing basement space to residential. Parking requirements waived.  FAR and GAF based on existing structure.","(42.380915, -71.1202689999999)","42.3809","-71.1203"
"358","40 Norris Street",,"former North Cambridge Catholic HS","40","Norris Street","North Cambridge","Lacourt Family LLC","Complete","2014","Addition/Alteration","Planning Board Special Permit","B","PB252","1112152-037888","45578","25700","1.8","Residential","25","4",,"27",,"(42.395095963, -71.12965307)","42.3951","-71.1297"
"370","100 Binney Street",,"","100","Binney Street","East Cambridge","Alexandria Real Estate","Complete","2017","New Construction","Planning Board Special Permit","IA-1/PUD-3A","PB243","BLDC-029720-2015","356941","54433","7.12","Office/R&D","0","None",,"321","185 spaces in on-site underground garage and 136 allocated from 50/60 Binney Street garage.","(42.3651253725, -71.080833431)","42.3651","-71.0808"
"389","10 Glassworks Avenue","Avalon North Point Lofts","former Maple Leaf Building","10","Glassworks Avenue","East Cambridge","Archstone Development","Complete","2014","Alteration/Change of Use","Planning Board Special Permit","NP/PUD-6","PB175","1112137-020645","63210","247431","3.77","Residential","104","12",,"See note","Parking located in existing Avalon Bay / Archstone Phase I garage.","(42.3702704199998, -71.072853428)","42.3703","-71.0729"
"376","150 Second Street",,"","150","Second Street","East Cambridge","Skanska USA","Complete","2013","New Construction","Planning Board Special Permit","IA-1/BA/PUD-4B","PB231A","911010-047417","108600","109972","2.24","Office/R&D","0","None",,"94",,"(42.3669884019998, -71.0791549049999)","42.367","-71.0792"
"311","424-430 Windsor Street",,"former Immaculate Conception Church","424-430","Windsor Street","Wellington Harrington","Just A Start","Complete","2012","Alteration/Change of Use","Planning Board Special Permit","C-1","PB229","0811191-051098","20856","15704","1.32","Residential","14","14",,"14",,"(42.3713550370001, -71.093692496)","42.3714","-71.0937"
"644","1336-1362 Massachusetts Avenue","Harvard Smith Campus Center","former Holyoke Center","1336-1362","Massachusetts Avenue","Riverside","Harvard University","Complete","2018","Alteration","Board of Zoning Appeals","BB","N/A","BLDC-043682-2016","95000","74913","1.27","Institutional","0","None",,"130","Project consists of significant updates to building formerly known as Holyoke Center and adjacent publicly-accessible privately-owned open space. 130 existing parking spaces retained.","(42.3729711139, -71.1184801529999)","42.373","-71.1185"
"407","75-77 New Street",,"","75-77","New Street","Neighborhood 9","AbodeZ Acorn LLC","Complete","2021","New Construction","Planning Board Special Permit","IA-1","PB286","BLDM-058523-2017","92800","49256","1.95","Residential","93","11",,"94","Includes replacement of pre-existing warehouse.","(42.3890557930998, -71.1402272539999)","42.3891","-71.1402"
"650","47 Bishop Allen Drive",,"","47","Bishop Allen Drive","The Port/Area IV","Watermark Central Venture","Complete","2019","New Construction","Planning Board Special Permit","BA/C-1","PB320","BLDM-064722-2017","24531","11893","2.1","Residential","23","3",,"12","12 parking spaces located off-site at 65 Bishop Allen Drive.","(42.3647459999998, -71.0999479999999)","42.3647","-71.0999"
"387","22, 27 Cottage Park Avenue",,"","22, 27","Cottage Park Avenue","North Cambridge","Cottage Park Realty Trust","Complete","2013","Alteration/Change of Use","Planning Board Special Permit","B/SD-2","PB267","512262-014569","35590","13959","2.55","Residential","16","2",,"21",,"(42.3986372147, -71.1331830719999)","42.3986","-71.1332"
"378","610 Main Street","Pfizer Phase 2/North Building","","610","Main Street","The Port/Area IV","MITIMCO","Complete","2016","New Construction","Planning Board Special Permit","IB","PB238","BLDC-015112-2014","238264","210215","2.75","Office/R&D","0","None",,"270","FAR includes Phase I building. 650 Parking spaces in underground garage. 380 spaces allocated to Phase I and 700 Main St.","(42.3627081479, -71.094159285)","42.3627","-71.0942"
"409","15-33 Richdale Avenue","Hathaway Lofts","","15-33","Richdale Avenue","Neighborhood 9","Hathaway Lofts LLC","Complete","2016","Addition/Alteration","Planning Board Special Permit","C-1A","PB284","	BLDM-022489-2014","65384","42043","1.58","Residential","46","5",,"46",,"(42.3884694858, -71.122293024)","42.3885","-71.1223"
"381","30 Acorn Park Drive","400 Discovery Park","","30","Acorn Park Drive","North Cambridge","Bulfinch Company","Complete","2019","New Construction","Planning Board Special Permit","SD-4","PB198","BLDC-057678-2017","126618","1154420","0.61","Office/R&D","0","None",,"See note","FAR is for entire Discovery Park development. Parking allocated from Discovery Park inventory.","(42.3981808077, -71.147799178)","42.3982","-71.1478"
"635","18-26 Chauncy Street","Basement Housing","","18-26","Chauncy Street","Neighborhood 9","Chestnut Hill Realty","Complete","2020","Alteration","Planning Board Special Permit","C-2/A-1/BAOD","PB311","BLDM-071904-2018","11152","28027","2.87","Residential","9","1",,"0","Conversion of existing basement space to add residential units to existing 98 unit building.  FAR is for entire existing building.","(42.3791859999998, -71.1228739999999)","42.3792","-71.1229"
"700","5 Columbia Street","Link Cambridge","","5","Columbia Street","The Port/Area IV","Watermark Central Venture","Complete","2019","New Construction","Planning Board Special Permit","BB/BA/C-1","PB321","BLDC-068516-2018","65000","2776","6.5","Residential","60","13",,"See note","Parking included with 415 Massachusetts Avenue. FAR for entire project.","(42.3640979999998, -71.099726)","42.3641","-71.0997"
"365","8 Education Street","EF Building 2 - Offices & Hult Business School","","8","Education Street","East Cambridge","Congress Group Ventures","Complete","2014","New Construction","Planning Board Special Permit","NP/PUD-6","PB262","BLDC-014347-2014","295000","138000","2.14","Office/R&D","0","None",,"126",,"(42.3696155885998, -71.068963569)","42.3696","-71.069"
"234","450 Kendall Street","Lofts Building","","450","Kendall Street","East Cambridge","Biomed Realty Trust","Complete","2015","New Construction","Planning Board Special Permit","O-3/PUD-3","PB141","BLDC-008322-2013","53000","14463","3.66","Office/R&D","0","None",,"See note","Parking is provided in Cambridge Research Park pooled facility.","(42.3633954768, -71.0815284589999)","42.3634","-71.0815"
"670","145 Broadway","Akamai Building","","145","Broadway","East Cambridge","Boston Properties","Complete","2019","New Construction","Planning Board Special Permit","MXD","PB315","BLDC-061774-2017","453768","56760","6.27","Office/R&D","0","None",,"457","Also known as 11 Cambridge Center.  Replacement of existing 78,636 SF office building.  457 space parking garage includes managed parking (i. e., valet).  FAR for entire MXD Infill project.","(42.3648343377, -71.088843502)","42.3648","-71.0888"
"652","850 Cambridge Street","King Open School Complex","","850","Cambridge Street","Wellington Harrington","City of Cambridge","Complete","2019","New Construction","Planning Board Special Permit","C-1","PB323","BLDC-059462-2017","233862","527492","0.47","Institutional","0","None",,"105","Replacement of King Open School complex. FAR includes existing Frisoli Youth Center. Project includes two school buildings, library branch, pool replacement, and offices for School Department.","(42.372, -71.0911239999999)","42.372","-71.0911"
"669","10 Education Circle","EF Building 3 including Student Housing","","10","Education Circle","East Cambridge","EFEKTRA Schools, Inc","Complete","2019","New Construction","Planning Board Special Permit",,"PB328","BLDC-071000-2018","228354","125000","2.4","Institutional","148","0",,"110","Current use is as DCR storage yard. 148 graduate student apartments and 144 undergraduate dorm rooms. Not subject to inclusionary zoning requirement.","(42.3708953245999, -71.0706504169999)","42.3709","-71.0707"
"655","25 Hayward Street","SoMa Garage","","25","Hayward Street","MIT / Area 2","MIT","Complete","2020","New Construction","Planning Board Special Permit","C-3B MXD/PUD 5","PB303","BLDC-053887-2017","0","0","4.48","Parking Garage","0","None",,"See note","Includes 1,121 space subsurface garage. Will serve four SoMa buildings at 238-380 Main Street. Includes replacement of existing surfaces lots and academic spaces. FAR for entire MIT Kendall Square SoMa project area including retained buildings.","(42.362282088, -71.085862875)","42.3623","-71.0859"
"646","253 Walden Street",,"former Masse Hardware Parking Lot and Warehouse","253","Walden Street","Neighborhood 9","Eric Hoagland","Complete","2019","New Construction","As of Right","BA-4","N/A","BLDC-046326-2016","34265","14102","2.43","Residential","27","3",,"27","Includes demolition of existing warehouse.","(42.3862359999998, -71.131409)","42.3862","-71.1314"
"390","165 Cambridgepark Drive","Fuse Apartments Phase 2","","165","Cambridgepark Drive","North Cambridge","Hines Interests Limited","Complete","2016","New Construction","Planning Board Special Permit","O-2A/AOD-6","PB272","BLDM-009426-2013","112000","119274","2.35","Residential","98","11",,"92","FAR for all project phases.","(42.3953600162, -71.147417335)","42.3954","-71.1474"
"318","500 Main Street","MIT Cancer Research Center","","500","Main Street","MIT / Area 2","MIT","Complete","2011","New Construction","Planning Board Special Permit","C-3B","PB232","608243-026682","308756","2012983","2.01","Office/R&D","0","None",,"See note","171 parking spaces allocated from existing MIT parking pool.","(42.3624833789999, -71.089004152)","42.3625","-71.089"
"369","75/125 Binney Street",,"","75/125","Binney Street","East Cambridge","Alexandria Real Estate","Complete","2015","New Construction","Planning Board Special Permit","IA-1/PUD-3A","PB243","1112169-012177","338258","104185","3.37","Office/R&D","0","None",,"304","Garage totals 397 spaces with 76 allocated to 270 Third Street and 17 allocated to 161 First Street.","(42.365799477, -71.0807416859999)","42.3658","-71.0807"
"402","168-174 Hampshire Street",,"former KFC","168-174","Hampshire Street","The Port/Area IV","Agnosis Developmnet LLC","Complete","2014","New Construction","As of Right","BA","N/A","213013-027680","23543","10100","2.33","Residential","11","1",,"11",,"(42.3720348797, -71.098960054)","42.372","-71.099"
"656","121 First Street","Parcel A","","121","First Street","East Cambridge","Urban Spaces LLC","Complete","2019","New Construction","Planning Board Special Permit","IA-1/BA/PUD-4B","PB231A","BLDC-052710-2017","56691","16500","2.35","Office/R&D","0","None",,"50","FAR includes earlier phases at 150 First and 65 Bent Streets and 4 buildings in this phase.  Parking includes 8 spaces on site and 42 at 107 First St garage. Replaces existing commercial structure.","(42.366802, -71.07801)","42.3668","-71.078"
"343","1991-2013 Massachusetts Avenue","St. James at Porter Square","","1991-2013","Massachusetts Avenue","North Cambridge","Oaktree Development","Complete","2021","Addition","Planning Board Special Permit","BA-2/NMAOD","PB241","BLDM-076394-2018","94099","58194","1.75","Residential","46","5",,"64","64 total spaces on-site include 46 spaces for 1991-2013 Mass Ave and 18 spaces for adjacent St. James Church. FAR includes existing 22,560 SF church.","(42.3908306590998, -71.121366624)","42.3908","-71.1214"
"621","249 Third Street","Lofts at Kendall Square","","249","Third Street","East Cambridge","Equity Residential","Complete","2020","New Construction","Planning Board Special Permit","IA-1 ECHO","PB301","BLDM-066649-2017","71917","26918","2.67","Residential","84","12",,"59","2 parking spaces on site and 57 accomodated at existing parking facility at 195 Binney Street.","(42.366835, -71.082172)","42.3668","-71.0822"
"356","1801 Massachusetts Avenue","Lesley University Lunder Arts Center","","1801","Massachusetts Avenue","Agassiz","Lesley University","Complete","2015","Addition/Alteration","Planning Board Special Permit","BA-2/NMAOD","PB253","BLDC-011478-2014","74500","28063","2.65","Institutional","0","None",,"See note","Parking allocated from Lesley University pool.","(42.386577908, -71.118749535)","42.3866","-71.1187"
"351","1063-1077 Massachusetts Avenue",,"","1063-1077","Massachusetts Avenue","Mid-Cambridge","Brighton Allston Properties","Complete","2012","New Construction","Planning Board Special Permit","BB/HSOD","PB248","1210047-032973","31952","8954","3.57","Residential","20","2",,"20",,"(42.3703541869999, -71.1131289789999)","42.3704","-71.1131"
"706","88 Ames Street","Proto Kendall Square","","88","Ames Street","MIT / Area 2","Boston Properties","Complete","2018","New Construction","Planning Board Special Permit","MXD","PB294","BLDC-038200-2016","216000","16542","13.06","Residential","280","36",,"140","Parking accommodated in existing Cambridge Center East Garage. No new spaces constructed.","(42.3631357717, -71.0877519099998)","42.3631","-71.0878"
