"ward_precinct","race","candidate","count"
"Ward 1, Precinct 2","Sen in General Court (1st Suff & Middlesex)","Blank",
"Ward 1, Precinct 2","Sen in General Court (2nd Middlesex)","PATRICIA D JEHLEN",
"Ward 1, Precinct 2","Sen in General Court (2nd Middlesex)","WI - Leland Cheung",
"Ward 1, Precinct 2","Sen in General Court (2nd Middlesex)","All Others",
"Ward 1, Precinct 2","Sen in General Court (2nd Middlesex)","Blank",
"Ward 1, Precinct 2","Rep in General Court (26th Middlesex)","MIKE CONNOLLY ","1230"
"Ward 1, Precinct 2","Rep in General Court (26th Middlesex)","WI - Timothy J. Toomey, Jr","21"
"Ward 1, Precinct 2","Rep in General Court (26th Middlesex)","All Others","11"
"Ward 1, Precinct 2","Rep in General Court (26th Middlesex)","Blank","299"
"Ward 1, Precinct 2","Rep in General Court (8th Suffolk)","JAY D LIVINGSTONE",
"Ward 1, Precinct 2","Rep in General Court (8th Suffolk)","Write-in",
"Ward 1, Precinct 2","Rep in General Court (8th Suffolk)","Blank",
"Ward 1, Precinct 2","Rep in General Court (25th Middlesex)","MARJORIE C DECKER",
"Ward 1, Precinct 2","Rep in General Court (25th Middlesex)","Write-in",
"Ward 1, Precinct 2","Rep in General Court (25th Middlesex)","Blank",
"Ward 1, Precinct 2","Rep in General Court (29th Middlesex)","JONATHAN HECHT",
"Ward 1, Precinct 2","Rep in General Court (29th Middlesex)","Write-in",
"Ward 1, Precinct 2","Rep in General Court (29th Middlesex)","Blank",
"Ward 1, Precinct 2","Rep in General Court (24th Middlesex)","DAVID M ROGERS",
"Ward 1, Precinct 2","Rep in General Court (24th Middlesex)","Write-in 50",
"Ward 1, Precinct 2","Rep in General Court (24th Middlesex)","Blank",
"Ward 1, Precinct 2","Sheriff (Middlesex District)","PETER J KOUTOUJIAN ","1218"
"Ward 1, Precinct 2","Sheriff (Middlesex District)","Write-in","14"
"Ward 1, Precinct 2","Sheriff (Middlesex District)","Blank","329"
"Ward 1, Precinct 2","Question 1 (Slot Machines)","YES","425"
"Ward 1, Precinct 2","Question 1 (Slot Machines)","NO","1020"
"Ward 1, Precinct 2","Question 1 (Slot Machines)","Blank","116"
"Ward 1, Precinct 2","Question 2 (Charter Schools)","YES","523"
"Ward 1, Precinct 2","Question 2 (Charter Schools)","NO","942"
"Ward 1, Precinct 2","Question 2 (Charter Schools)","Blank","96"
"Ward 1, Precinct 2","Question 3 (Farm Animals)","YES","1242"
"Ward 1, Precinct 2","Question 3 (Farm Animals)","NO","250"
"Ward 1, Precinct 2","Question 3 (Farm Animals)","Blank","69"
"Ward 1, Precinct 2","Question 4 (Marijuana)","YES","1067"
"Ward 1, Precinct 2","Question 4 (Marijuana)","NO","440"
"Ward 1, Precinct 2","Question 4 (Marijuana)","Blank","54"
"Ward 1, Precinct 3","President & Vice President","CLINTON & KAINE","1365"
"Ward 1, Precinct 3","President & Vice President","STEIN & BARAKA","20"
"Ward 1, Precinct 3","President & Vice President","TRUMP & PENCE","202"
"Ward 1, Precinct 3","President & Vice President","WI - Kotlikoff & Leamer","0"
"Ward 1, Precinct 3","President & Vice President","WI - McMullin & Johnson","8"
"Ward 1, Precinct 3","President & Vice President","All Others","25"
"Ward 1, Precinct 3","President & Vice President","Blank","11"
"Ward 1, Precinct 3","Rep in Congress (5th District)","KATHERINE M CLARK",
"Ward 1, Precinct 3","Rep in Congress (5th District)","Write-in",
"Ward 1, Precinct 3","Rep in Congress (5th District)","Blank",
"Ward 1, Precinct 3","Rep in Congress (7th District)","MICHAEL E CAPUANO","1356"
"Ward 1, Precinct 3","Rep in Congress (7th District)","WI - Timothy J. Toomey, Jr","1"
"Ward 1, Precinct 3","Rep in Congress (7th District)","All Others","26"
"Ward 1, Precinct 3","Rep in Congress (7th District)","Blank","302"
"Ward 1, Precinct 3","Councillor (6th District)","TERRENCE W KENNEDY","1292"
"Ward 1, Precinct 3","Councillor (6th District)","Write-in","20"
"Ward 1, Precinct 3","Councillor (6th District)","Blank","373"
"Ward 1, Precinct 3","Sen in General Court (Middlesex & Suffolk)","SAL N DiDOMENICO","1280"
"Ward 1, Precinct 3","Sen in General Court (Middlesex & Suffolk)","Write-in","23"
"Ward 1, Precinct 3","Sen in General Court (Middlesex & Suffolk)","Blank","382"
"Ward 1, Precinct 3","Sen in General Court (1st Suff & Middlesex)","JOSEPH A BONCORE ",
"Ward 1, Precinct 3","Sen in General Court (1st Suff & Middlesex)","Write-in",
"Ward 1, Precinct 3","Sen in General Court (1st Suff & Middlesex)","Blank",
"Ward 1, Precinct 3","Sen in General Court (2nd Middlesex)","PATRICIA D JEHLEN",
"Ward 1, Precinct 3","Sen in General Court (2nd Middlesex)","WI - Leland Cheung",
"Ward 1, Precinct 3","Sen in General Court (2nd Middlesex)","All Others",
"Ward 1, Precinct 3","Sen in General Court (2nd Middlesex)","Blank",
"Ward 1, Precinct 3","Rep in General Court (26th Middlesex)","MIKE CONNOLLY ","1292"
"Ward 1, Precinct 3","Rep in General Court (26th Middlesex)","WI - Timothy J. Toomey, Jr","21"
"Ward 1, Precinct 3","Rep in General Court (26th Middlesex)","All Others","14"
"Ward 1, Precinct 3","Rep in General Court (26th Middlesex)","Blank","358"
"Ward 1, Precinct 3","Rep in General Court (8th Suffolk)","JAY D LIVINGSTONE",
"Ward 1, Precinct 3","Rep in General Court (8th Suffolk)","Write-in",
"Ward 1, Precinct 3","Rep in General Court (8th Suffolk)","Blank",
"Ward 1, Precinct 3","Rep in General Court (25th Middlesex)","MARJORIE C DECKER",
"Ward 1, Precinct 3","Rep in General Court (25th Middlesex)","Write-in",
"Ward 1, Precinct 3","Rep in General Court (25th Middlesex)","Blank",
"Ward 1, Precinct 3","Rep in General Court (29th Middlesex)","JONATHAN HECHT",
"Ward 1, Precinct 3","Rep in General Court (29th Middlesex)","Write-in",
"Ward 1, Precinct 3","Rep in General Court (29th Middlesex)","Blank",
"Ward 1, Precinct 3","Rep in General Court (24th Middlesex)","DAVID M ROGERS",
"Ward 1, Precinct 3","Rep in General Court (24th Middlesex)","Write-in 50",
"Ward 1, Precinct 3","Rep in General Court (24th Middlesex)","Blank",
"Ward 1, Precinct 3","Sheriff (Middlesex District)","PETER J KOUTOUJIAN ","1247"
"Ward 1, Precinct 3","Sheriff (Middlesex District)","Write-in","17"
"Ward 1, Precinct 3","Sheriff (Middlesex District)","Blank","421"
"Ward 1, Precinct 3","Question 1 (Slot Machines)","YES","479"
"Ward 1, Precinct 3","Question 1 (Slot Machines)","NO","987"
"Ward 1, Precinct 3","Question 1 (Slot Machines)","Blank","219"
"Ward 1, Precinct 3","Question 2 (Charter Schools)","YES","622"
"Ward 1, Precinct 3","Question 2 (Charter Schools)","NO","913"
"Ward 1, Precinct 3","Question 2 (Charter Schools)","Blank","150"
"Ward 1, Precinct 3","Question 3 (Farm Animals)","YES","1235"
"Ward 1, Precinct 3","Question 3 (Farm Animals)","NO","284"
"Ward 1, Precinct 3","Question 3 (Farm Animals)","Blank","166"
"Ward 1, Precinct 3","Question 4 (Marijuana)","YES","1027"
"Ward 1, Precinct 3","Question 4 (Marijuana)","NO","515"
"Ward 1, Precinct 3","Question 4 (Marijuana)","Blank","143"
"Ward 2, Precinct 1","President & Vice President","CLINTON & KAINE","1342"
"Ward 2, Precinct 1","President & Vice President","JOHNSON & WELD","31"
"Ward 2, Precinct 1","President & Vice President","STEIN & BARAKA","32"
"Ward 2, Precinct 1","President & Vice President","TRUMP & PENCE","74"
"Ward 2, Precinct 1","President & Vice President","WI - Kotlikoff & Leamer","0"
"Ward 2, Precinct 1","President & Vice President","WI - McMullin & Johnson","0"
"Ward 2, Precinct 1","President & Vice President","All Others","27"
"Ward 2, Precinct 1","President & Vice President","Blank","15"
"Ward 2, Precinct 1","Rep in Congress (5th District)","KATHERINE M CLARK",
"Ward 2, Precinct 1","Rep in Congress (5th District)","Write-in",
"Ward 2, Precinct 1","Rep in Congress (5th District)","Blank",
"Ward 2, Precinct 1","Rep in Congress (7th District)","MICHAEL E CAPUANO","1270"
"Ward 2, Precinct 1","Rep in Congress (7th District)","WI - Timothy J. Toomey, Jr","1"
"Ward 2, Precinct 1","Rep in Congress (7th District)","All Others","15"
"Ward 2, Precinct 1","Rep in Congress (7th District)","Blank","235"
"Ward 2, Precinct 1","Councillor (6th District)","TERRENCE W KENNEDY","1234"
"Ward 2, Precinct 1","Councillor (6th District)","Write-in","14"
"Ward 2, Precinct 1","Councillor (6th District)","Blank","273"
"Ward 2, Precinct 1","Sen in General Court (Middlesex & Suffolk)","SAL N DiDOMENICO","1198"
"Ward 2, Precinct 1","Sen in General Court (Middlesex & Suffolk)","Write-in","15"
"Ward 2, Precinct 1","Sen in General Court (Middlesex & Suffolk)","Blank","308"
"Ward 2, Precinct 1","Sen in General Court (1st Suff & Middlesex)","JOSEPH A BONCORE ",
"Ward 2, Precinct 1","Sen in General Court (1st Suff & Middlesex)","Write-in",
"Ward 2, Precinct 1","Sen in General Court (1st Suff & Middlesex)","Blank",
"Ward 2, Precinct 1","Sen in General Court (2nd Middlesex)","PATRICIA D JEHLEN",
"Ward 2, Precinct 1","Sen in General Court (2nd Middlesex)","WI - Leland Cheung",
"Ward 2, Precinct 1","Sen in General Court (2nd Middlesex)","All Others",
"Ward 2, Precinct 1","Sen in General Court (2nd Middlesex)","Blank",
"Ward 2, Precinct 1","Rep in General Court (26th Middlesex)","MIKE CONNOLLY ","1202"
"Ward 2, Precinct 1","Rep in General Court (26th Middlesex)","WI - Timothy J. Toomey, Jr","2"
"Ward 2, Precinct 1","Rep in General Court (26th Middlesex)","All Others","14"
"Ward 2, Precinct 1","Rep in General Court (26th Middlesex)","Blank","303"
"Ward 2, Precinct 1","Rep in General Court (8th Suffolk)","JAY D LIVINGSTONE",
"Ward 2, Precinct 1","Rep in General Court (8th Suffolk)","Write-in",
"Ward 2, Precinct 1","Rep in General Court (8th Suffolk)","Blank",
"Ward 2, Precinct 1","Rep in General Court (25th Middlesex)","MARJORIE C DECKER",
"Ward 2, Precinct 1","Rep in General Court (25th Middlesex)","Write-in",
"Ward 2, Precinct 1","Rep in General Court (25th Middlesex)","Blank",
"Ward 2, Precinct 1","Rep in General Court (29th Middlesex)","JONATHAN HECHT",
"Ward 2, Precinct 1","Rep in General Court (29th Middlesex)","Write-in",
"Ward 2, Precinct 1","Rep in General Court (29th Middlesex)","Blank",
"Ward 2, Precinct 1","Rep in General Court (24th Middlesex)","DAVID M ROGERS",
"Ward 2, Precinct 1","Rep in General Court (24th Middlesex)","Write-in 50",
"Ward 2, Precinct 1","Rep in General Court (24th Middlesex)","Blank",
"Ward 2, Precinct 1","Sheriff (Middlesex District)","PETER J KOUTOUJIAN ","1112"
"Ward 2, Precinct 1","Sheriff (Middlesex District)","Write-in","17"
"Ward 2, Precinct 1","Sheriff (Middlesex District)","Blank","392"
"Ward 2, Precinct 1","Question 1 (Slot Machines)","YES","468"
"Ward 2, Precinct 1","Question 1 (Slot Machines)","NO","862"
"Ward 2, Precinct 1","Question 1 (Slot Machines)","Blank","191"
"Ward 2, Precinct 1","Question 2 (Charter Schools)","YES","556"
"Ward 2, Precinct 1","Question 2 (Charter Schools)","NO","831"
"Ward 2, Precinct 1","Question 2 (Charter Schools)","Blank","134"
"Ward 2, Precinct 1","Question 3 (Farm Animals)","YES","1070"
"Ward 2, Precinct 1","Question 3 (Farm Animals)","NO","287"
"Ward 2, Precinct 1","Question 3 (Farm Animals)","Blank","164"
"Ward 2, Precinct 1","Question 4 (Marijuana)","YES","939"
"Ward 2, Precinct 1","Question 4 (Marijuana)","NO","446"
"Ward 2, Precinct 1","Question 4 (Marijuana)","Blank","136"
"Ward 2, Precinct 2","President & Vice President","CLINTON & KAINE","433"
"Ward 2, Precinct 2","President & Vice President","JOHNSON & WELD","27"
"Ward 2, Precinct 2","President & Vice President","STEIN & BARAKA","10"
"Ward 2, Precinct 2","President & Vice President","TRUMP & PENCE","19"
"Ward 2, Precinct 2","President & Vice President","WI - Kotlikoff & Leamer","0"
"Ward 2, Precinct 2","President & Vice President","WI - McMullin & Johnson","10"
"Ward 2, Precinct 2","President & Vice President","All Others","10"
"Ward 2, Precinct 2","President & Vice President","Blank","2"
"Ward 2, Precinct 2","Rep in Congress (5th District)","KATHERINE M CLARK",
"Ward 2, Precinct 2","Rep in Congress (5th District)","Write-in",
"Ward 2, Precinct 2","Rep in Congress (5th District)","Blank",
"Ward 2, Precinct 2","Rep in Congress (7th District)","MICHAEL E CAPUANO","426"
"Ward 2, Precinct 2","Rep in Congress (7th District)","WI - Timothy J. Toomey, Jr","0"
"Ward 2, Precinct 2","Rep in Congress (7th District)","All Others","10"
"Ward 2, Precinct 2","Rep in Congress (7th District)","Blank","75"
"Ward 2, Precinct 2","Councillor (6th District)","TERRENCE W KENNEDY","423"
"Ward 2, Precinct 2","Councillor (6th District)","Write-in","6"
"Ward 2, Precinct 2","Councillor (6th District)","Blank","82"
"Ward 2, Precinct 2","Sen in General Court (Middlesex & Suffolk)","SAL N DiDOMENICO",
"Ward 2, Precinct 2","Sen in General Court (Middlesex & Suffolk)","Write-in",
"Ward 2, Precinct 2","Sen in General Court (Middlesex & Suffolk)","Blank",
"Ward 2, Precinct 2","Sen in General Court (1st Suff & Middlesex)","JOSEPH A BONCORE ","415"
"Ward 2, Precinct 2","Sen in General Court (1st Suff & Middlesex)","Write-in","8"
"Ward 2, Precinct 2","Sen in General Court (1st Suff & Middlesex)","Blank","88"
"Ward 2, Precinct 2","Sen in General Court (2nd Middlesex)","PATRICIA D JEHLEN",
"Ward 2, Precinct 2","Sen in General Court (2nd Middlesex)","WI - Leland Cheung",
"Ward 2, Precinct 2","Sen in General Court (2nd Middlesex)","All Others",
"Ward 2, Precinct 2","Sen in General Court (2nd Middlesex)","Blank",
"Ward 2, Precinct 2","Rep in General Court (26th Middlesex)","MIKE CONNOLLY ",
"Ward 2, Precinct 2","Rep in General Court (26th Middlesex)","WI - Timothy J. Toomey, Jr",
"Ward 2, Precinct 2","Rep in General Court (26th Middlesex)","All Others",
"Ward 2, Precinct 2","Rep in General Court (26th Middlesex)","Blank",
"Ward 2, Precinct 2","Rep in General Court (8th Suffolk)","JAY D LIVINGSTONE","418"
"Ward 2, Precinct 2","Rep in General Court (8th Suffolk)","Write-in","6"
"Ward 2, Precinct 2","Rep in General Court (8th Suffolk)","Blank","87"
"Ward 2, Precinct 2","Rep in General Court (25th Middlesex)","MARJORIE C DECKER",
"Ward 2, Precinct 2","Rep in General Court (25th Middlesex)","Write-in",
"Ward 2, Precinct 2","Rep in General Court (25th Middlesex)","Blank",
"Ward 2, Precinct 2","Rep in General Court (29th Middlesex)","JONATHAN HECHT",
"Ward 2, Precinct 2","Rep in General Court (29th Middlesex)","Write-in",
"Ward 2, Precinct 2","Rep in General Court (29th Middlesex)","Blank",
"Ward 2, Precinct 2","Rep in General Court (24th Middlesex)","DAVID M ROGERS",
"Ward 2, Precinct 2","Rep in General Court (24th Middlesex)","Write-in 50",
"Ward 2, Precinct 2","Rep in General Court (24th Middlesex)","Blank",
"Ward 2, Precinct 2","Sheriff (Middlesex District)","PETER J KOUTOUJIAN ","411"
"Ward 2, Precinct 2","Sheriff (Middlesex District)","Write-in","10"
"Ward 2, Precinct 2","Sheriff (Middlesex District)","Blank","90"
"Ward 2, Precinct 2","Question 1 (Slot Machines)","YES","131"
"Ward 2, Precinct 2","Question 1 (Slot Machines)","NO","331"
"Ward 2, Precinct 2","Question 1 (Slot Machines)","Blank","49"
"Ward 2, Precinct 2","Question 2 (Charter Schools)","YES","251"
"Ward 2, Precinct 2","Question 2 (Charter Schools)","NO","221"
"Ward 2, Precinct 2","Question 2 (Charter Schools)","Blank","39"
"Ward 2, Precinct 2","Question 3 (Farm Animals)","YES","395"
"Ward 2, Precinct 2","Question 3 (Farm Animals)","NO","95"
"Ward 2, Precinct 2","Question 3 (Farm Animals)","Blank","21"
"Ward 2, Precinct 2","Question 4 (Marijuana)","YES","373"
"Ward 2, Precinct 2","Question 4 (Marijuana)","NO","119"
"Ward 2, Precinct 2","Question 4 (Marijuana)","Blank","19"
"Ward 2, Precinct 3","President & Vice President","CLINTON & KAINE","761"
"Ward 2, Precinct 3","President & Vice President","JOHNSON & WELD","26"
"Ward 2, Precinct 3","President & Vice President","STEIN & BARAKA","19"
"Ward 2, Precinct 3","President & Vice President","TRUMP & PENCE","79"
"Ward 2, Precinct 3","President & Vice President","WI - Kotlikoff & Leamer","1"
"Ward 2, Precinct 3","President & Vice President","WI - McMullin & Johnson","5"
"Ward 2, Precinct 3","President & Vice President","All Others","15"
"Ward 2, Precinct 3","President & Vice President","Blank","7"
"Ward 2, Precinct 3","Rep in Congress (5th District)","KATHERINE M CLARK",
"Ward 2, Precinct 3","Rep in Congress (5th District)","Write-in",
"Ward 2, Precinct 3","Rep in Congress (5th District)","Blank",
"Ward 2, Precinct 3","Rep in Congress (7th District)","MICHAEL E CAPUANO","756"
"Ward 2, Precinct 3","Rep in Congress (7th District)","WI - Timothy J. Toomey, Jr","0"
"Ward 2, Precinct 3","Rep in Congress (7th District)","All Others","8"
"Ward 2, Precinct 3","Rep in Congress (7th District)","Blank","149"
"Ward 2, Precinct 3","Councillor (6th District)","TERRENCE W KENNEDY","717"
"Ward 2, Precinct 3","Councillor (6th District)","Write-in","8"
"Ward 2, Precinct 3","Councillor (6th District)","Blank","188"
"Ward 2, Precinct 3","Sen in General Court (Middlesex & Suffolk)","SAL N DiDOMENICO",
"Ward 2, Precinct 3","Sen in General Court (Middlesex & Suffolk)","Write-in",
"Ward 2, Precinct 3","Sen in General Court (Middlesex & Suffolk)","Blank",
"Ward 2, Precinct 3","Sen in General Court (1st Suff & Middlesex)","JOSEPH A BONCORE ","701"
"Ward 2, Precinct 3","Sen in General Court (1st Suff & Middlesex)","Write-in","8"
"Ward 2, Precinct 3","Sen in General Court (1st Suff & Middlesex)","Blank","204"
"Ward 2, Precinct 3","Sen in General Court (2nd Middlesex)","PATRICIA D JEHLEN",
"Ward 2, Precinct 3","Sen in General Court (2nd Middlesex)","WI - Leland Cheung",
"Ward 2, Precinct 3","Sen in General Court (2nd Middlesex)","All Others",
"Ward 2, Precinct 3","Sen in General Court (2nd Middlesex)","Blank",
"Ward 2, Precinct 3","Rep in General Court (26th Middlesex)","MIKE CONNOLLY ",
"Ward 2, Precinct 3","Rep in General Court (26th Middlesex)","WI - Timothy J. Toomey, Jr",
"Ward 2, Precinct 3","Rep in General Court (26th Middlesex)","All Others",
"Ward 2, Precinct 3","Rep in General Court (26th Middlesex)","Blank",
"Ward 2, Precinct 3","Rep in General Court (8th Suffolk)","JAY D LIVINGSTONE","704"
"Ward 2, Precinct 3","Rep in General Court (8th Suffolk)","Write-in","7"
"Ward 2, Precinct 3","Rep in General Court (8th Suffolk)","Blank","202"
"Ward 2, Precinct 3","Rep in General Court (25th Middlesex)","MARJORIE C DECKER",
"Ward 2, Precinct 3","Rep in General Court (25th Middlesex)","Write-in",
"Ward 2, Precinct 3","Rep in General Court (25th Middlesex)","Blank",
"Ward 2, Precinct 3","Rep in General Court (29th Middlesex)","JONATHAN HECHT",
"Ward 2, Precinct 3","Rep in General Court (29th Middlesex)","Write-in",
"Ward 2, Precinct 3","Rep in General Court (29th Middlesex)","Blank",
"Ward 2, Precinct 3","Rep in General Court (24th Middlesex)","DAVID M ROGERS",
"Ward 2, Precinct 3","Rep in General Court (24th Middlesex)","Write-in 50",
"Ward 2, Precinct 3","Rep in General Court (24th Middlesex)","Blank",
"Ward 2, Precinct 3","Sheriff (Middlesex District)","PETER J KOUTOUJIAN ","694"
"Ward 2, Precinct 3","Sheriff (Middlesex District)","Write-in","10"
"Ward 2, Precinct 3","Sheriff (Middlesex District)","Blank","209"
"Ward 2, Precinct 3","Question 1 (Slot Machines)","YES","207"
"Ward 2, Precinct 3","Question 1 (Slot Machines)","NO","641"
"Ward 2, Precinct 3","Question 1 (Slot Machines)","Blank","65"
"Ward 2, Precinct 3","Question 2 (Charter Schools)","YES","448"
"Ward 2, Precinct 3","Question 2 (Charter Schools)","NO","413"
"Ward 2, Precinct 3","Question 2 (Charter Schools)","Blank","52"
"Ward 2, Precinct 3","Question 3 (Farm Animals)","YES","713"
"Ward 2, Precinct 3","Question 3 (Farm Animals)","Blank","43"
"Ward 2, Precinct 3","Question 4 (Marijuana)","YES","614"
"Ward 2, Precinct 3","Question 4 (Marijuana)","NO","269"
"Ward 2, Precinct 3","Question 4 (Marijuana)","Blank","30"
"Ward 3, Precinct 1","President & Vice President","CLINTON & KAINE","1354"
"Ward 3, Precinct 1","President & Vice President","JOHNSON & WELD","51"
"Ward 3, Precinct 1","President & Vice President","STEIN & BARAKA","45"
"Ward 3, Precinct 1","President & Vice President","TRUMP & PENCE","176"
"Ward 3, Precinct 1","President & Vice President","WI - Kotlikoff & Leamer","0"
"Ward 3, Precinct 1","President & Vice President","WI - McMullin & Johnson","5"
"Ward 3, Precinct 1","President & Vice President","All Others","18"
"Ward 3, Precinct 1","President & Vice President","Blank","17"
"Ward 3, Precinct 1","Rep in Congress (5th District)","KATHERINE M CLARK",
"Ward 3, Precinct 1","Rep in Congress (5th District)","Write-in",
