"fiscal_year","service","department_name","division_name","category","description","amount","fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Misc. Additional Comp","6000","General Fund"
"2023","General Government","Finance","Budget","Travel & Training","Travel/Training (in State) Sum.","1000","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Longevity/Salaries & Wages","1250","General Fund"
"2023","General Government","Finance","Purchasing","Salaries & Wages","Overtime Salaries/Wages","1000","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Longevity/Salaries & Wages","2000","General Fund"
"2023","General Government","Mayor","Administration","Salaries & Wages","Health Insurance","112820","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Other Ordinary Maintenance","Administration & Gen Supplies","6500","General Fund"
"2023","Public Safety","Animal Commission","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","2000","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Pensions","190700","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Salaries & Wages","Temporary Salaries/Wages","40510","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","19630","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","265670","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","452420","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1382675","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Medical Supplies","110000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","4500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","1400","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Salaries & Wages","Permanent Salaries/Wages","2519480","General Fund"
"2023","Public Safety","License Commission","Administration","Travel & Training","Travel/Training (in State) Sum.","1200","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Permanent Salaries/Wages","1518665","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Travel & Training","Travel/Training (in State) Sum.","47500","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Medicare","247065","General Fund"
"2023","Public Safety","Police","Tactical Operations","Salaries & Wages","Overtime Salaries/Wages","100000","General Fund"
"2023","Public Safety","Police","Training","Salaries & Wages","Health Insurance","258180","General Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Salaries & Wages","Temporary Salaries/Wages","9000","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Parking Management","Salaries & Wages","Dental Insurance","22070","Parking Fund"
"2023","General Government","City Clerk","Administration","Other Ordinary Maintenance","Professional and Technical Services","10000","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Pensions","38140","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Medicare","1135","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Temporary Salaries/Wages","44735","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Food and Food Service Supplies","300","General Fund"
"2023","General Government","Election Commission","Administration","Travel & Training","Travel/Training (in State) Sum.","3950","General Fund"
"2023","General Government","Employee Benefits","Pensions","Salaries & Wages","Pensions","3968450","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Salaries & Wages","Permanent Salaries/Wages","136345","General Fund"
"2023","General Government","Executive","Leadership","Salaries & Wages","Longevity/Salaries & Wages","2000","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Salaries & Wages","Medicare","3540","General Fund"
"2023","General Government","Executive","Public Information Office","Salaries & Wages","Permanent Salaries/Wages","515845","General Fund"
"2023","General Government","Finance","Administration","Salaries & Wages","Permanent Salaries/Wages","229320","General Fund"
"2023","General Government","Finance","Assessing","Salaries & Wages","Permanent Salaries/Wages","1376635","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Medicare","6335","General Fund"
"2023","General Government","Finance","Budget","Salaries & Wages","Medicare","7290","General Fund"
"2023","General Government","Finance","Budget","Travel & Training","Travel/Train. (out of State) Sum","3000","General Fund"
"2023","General Government","Finance","Information Technology","Salaries & Wages","Permanent Salaries/Wages","4287595","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Health Insurance","110550","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Medical Supplies","20000","General Fund"
"2023","General Government","Finance","Purchasing","Salaries & Wages","Misc. Additional Comp","14300","General Fund"
"2023","General Government","Finance","Revenue","Salaries & Wages","Misc. Additional Comp","24900","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Health Insurance","75900","General Fund"
"2023","General Government","Law","Administration","Salaries & Wages","Medicare","28475","General Fund"
"2023","General Government","Mayor","Administration","Salaries & Wages","Dental Insurance","7550","General Fund"
"2023","General Government","Mayor","Administration","Travel & Training","Travel/Train. (out of State) Sum","14500","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Salaries & Wages","Temporary Salaries/Wages","46565","General Fund"
"2023","General Government","Public Celebrations","Events","Other Ordinary Maintenance","Professional and Technical Services","200","General Fund"
"2023","Public Safety","Animal Commission","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","955","General Fund"
"2023","Public Safety","Community Safety","Administration","Other Ordinary Maintenance","Other Supplies","32805","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Pensions","76280","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","6235","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Salaries & Wages","Permanent Salaries/Wages","3746685","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Salaries & Wages","Pensions","286050","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","24160","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","578830","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","389645","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","27775","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","369290","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","2050250","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1369460","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Energy","375975","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Food and Food Service Supplies","345","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Supplies","203800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","300","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","2000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","1550","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Salaries & Wages","Health Insurance","73700","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Salaries & Wages","Pensions","533960","General Fund"
"2023","Public Safety","Inspectional Services","Weights & Measures","Travel & Training","Dues & Subscriptions","150","General Fund"
"2023","Public Safety","License Commission","Administration","Travel & Training","Travel/Train. (out of State) Sum","3620","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Health Insurance","86740","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Pensions","95350","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Vehicle Supplies","148105","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Travel & Training","Travel/Train. (out of State) Sum","85000","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Salaries & Wages","Misc. Additional Comp","15735","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Medicare","121735","General Fund"
"2023","Public Safety","Police","Procedural Justice","Salaries & Wages","Pensions","38140","General Fund"
"2023","Public Safety","Police","Tactical Operations","Salaries & Wages","Medicare","10695","General Fund"
"2023","Public Safety","Police","Technical Services","Other Ordinary Maintenance","Communication","119700","General Fund"
"2023","Public Safety","Police","Training","Salaries & Wages","Dental Insurance","19630","General Fund"
"2023","Public Safety","Police Review and Advisory Board","Administration","Travel & Training","Dues & Subscriptions","400","General Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Salaries & Wages","Permanent Salaries/Wages","609940","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Other Ordinary Maintenance","Rentals and Leases","1200","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Extraordinary Expenditures","Additional Equipment","120000","Parking Fund"
"2023","General Government","City Clerk","Administration","Salaries & Wages","Permanent Salaries/Wages","989105","General Fund"
"2023","General Government","City Clerk","Administration","Other Ordinary Maintenance","Other Supplies","42000","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Health Insurance","223600","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Pensions","324190","General Fund"
"2023","General Government","City Council","Administration","Travel & Training","Travel/Train. (out of State) Sum","49500","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Medicare","8290","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Pensions","76280","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Temporary Salaries/Wages","65550","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Communication","43600","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Food and Food Service Supplies","500","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Professional and Technical Services","70125","General Fund"
"2023","General Government","Election Commission","Administration","Travel & Training","Travel/Train. (out of State) Sum","120","General Fund"
"2023","General Government","Employee Benefits","Insurance","Salaries & Wages","Fringe Benefits","4847695","General Fund"
"2023","General Government","Employee Benefits","Pensions","Salaries & Wages","Health Insurance","14663990","General Fund"
"2023","General Government","Executive","Diversity","Other Ordinary Maintenance","Food and Food Service Supplies","3000","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Salaries & Wages","Misc. Additional Comp","4105","General Fund"
"2023","General Government","Executive","Housing Liaison","Salaries & Wages","Misc. Additional Comp","10800","General Fund"
"2023","General Government","Executive","Leadership","Salaries & Wages","Health Insurance","223370","General Fund"
"2023","General Government","Executive","Leadership","Other Ordinary Maintenance","Food and Food Service Supplies","8500","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Salaries & Wages","Health Insurance","86740","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Travel & Training","Dues & Subscriptions","2750","General Fund"
"2023","General Government","Executive","Public Information Office","Salaries & Wages","Pensions","76280","General Fund"
"2023","General Government","Executive","Public Information Office","Travel & Training","Travel/Train. (out of State) Sum","7000","General Fund"
"2023","General Government","Finance","Administration","Salaries & Wages","Pensions","19070","General Fund"
"2023","General Government","Finance","Administration","Travel & Training","Travel/Training (in State) Sum.","500","General Fund"
"2023","General Government","Finance","Assessing","Salaries & Wages","Pensions","247910","General Fund"
"2023","General Government","Finance","Assessing","Travel & Training","Travel/Training (in State) Sum.","6750","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Medicare","7705","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Temporary Salaries/Wages","20120","General Fund"
"2023","General Government","Finance","Budget","Salaries & Wages","Health Insurance","78100","General Fund"
"2023","General Government","Finance","Budget","Other Ordinary Maintenance","Communication","37500","General Fund"
"2023","General Government","Finance","Budget","Travel & Training","Dues & Subscriptions","1100","General Fund"
"2023","General Government","Finance","General Services","Other Ordinary Maintenance","Other Purchased Services","35000","General Fund"
"2023","General Government","Finance","Information Technology","Salaries & Wages","Pensions","705590","General Fund"
"2023","General Government","Finance","Information Technology","Other Ordinary Maintenance","Repairs and Maint (Services)","3486290","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Health Insurance","225570","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Pensions","57210","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Food and Food Service Supplies","2000","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1700","General Fund"
"2023","General Government","Finance","Purchasing","Salaries & Wages","Medicare","12465","General Fund"
"2023","General Government","Finance","Purchasing","Other Ordinary Maintenance","Professional and Technical Services","3500","General Fund"
"2023","General Government","Finance","Revenue","Salaries & Wages","Medicare","16040","General Fund"
"2023","General Government","Finance","Revenue","Other Ordinary Maintenance","Other Purchased Services","34600","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Health Insurance","110550","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Permanent Salaries/Wages","280620","General Fund"
"2023","General Government","Law","Administration","Salaries & Wages","Health Insurance","353630","General Fund"
"2023","General Government","Law","Administration","Other Ordinary Maintenance","Other Purchased Services","5000","General Fund"
"2023","General Government","Law","Administration","Travel & Training","Travel/Training (in State) Sum.","2940","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Communication","10500","General Fund"
"2023","General Government","Mayor","Administration","Travel & Training","Dues & Subscriptions","14500","General Fund"
"2023","General Government","Public Celebrations","Arts and Culture","Salaries & Wages","Permanent Salaries/Wages","115085","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Salaries & Wages","Permanent Salaries/Wages","527155","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Other Ordinary Maintenance","Repairs and Maint (Supplies)","50000","General Fund"
"2023","General Government","Public Celebrations","Events","Other Ordinary Maintenance","Other Supplies","2000","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Medicare","4140","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Permanent Salaries/Wages","274370","General Fund"
"2023","Public Safety","Community Safety","Administration","Salaries & Wages","Health Insurance","221100","General Fund"
"2023","Public Safety","Community Safety","Administration","Other Ordinary Maintenance","Energy","10000","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Dental Insurance","22900","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Overtime Salaries/Wages","210000","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Energy","24650","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","2000","General Fund"
"2023","Public Safety","Electrical","Administration","Travel & Training","Travel/Training (in State) Sum.","3500","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Salaries & Wages","Pensions","820010","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Travel & Training","Travel/Train. (out of State) Sum","12850","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Salaries & Wages","Overtime Salaries/Wages","20000","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Travel & Training","Travel/Train. (out of State) Sum","13000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","37750","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","25670","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","336190","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","897295","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","264530","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","37340","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","32175","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","668200","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","441120","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","40550","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","45025","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","687225","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","5887820","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1434145","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Educational Supplies","500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Energy","43500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Food and Food Service Supplies","450","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Property Related Services","700","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Purchased Services","400","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Supplies","2260","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","5000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","270","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1400","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","150445","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","1900","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Travel & Training","Travel/Train. (out of State) Sum","25000","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Salaries & Wages","Dental Insurance","3800","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Other Ordinary Maintenance","Food and Food Service Supplies","500","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Salaries & Wages","Overtime Salaries/Wages","77000","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Travel & Training","Travel/Train. (out of State) Sum","5295","General Fund"
"2023","Public Safety","Inspectional Services","Weights & Measures","Other Ordinary Maintenance","Vehicle Supplies","625","General Fund"
"2023","Public Safety","License Commission","Administration","Salaries & Wages","Permanent Salaries/Wages","824225","General Fund"
"2023","Public Safety","License Commission","Administration","Travel & Training","Dues & Subscriptions","1200","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Salaries & Wages","Temporary Salaries/Wages","10000","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Health Insurance","446740","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Misc. Additional Comp","6800","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Pensions","99920","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Other Property Related Services","346500","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1000","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Salaries & Wages","Overtime Salaries/Wages","22000","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Travel & Training","Judgments","155000","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Salaries & Wages","Pensions","1488870","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Salaries & Wages","Medicare","50300","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Other Ordinary Maintenance","Professional and Technical Services","2000","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Longevity/Salaries & Wages","2008115","General Fund"
"2023","Public Safety","Police","Planning, Budget & Personnel","Other Ordinary Maintenance","Other Supplies","59550","General Fund"
"2023","Public Safety","Police","Procedural Justice","Salaries & Wages","Misc. Additional Comp","2700","General Fund"
"2023","Public Safety","Police","Professional Standards","Salaries & Wages","Misc. Additional Comp","4935","General Fund"
"2023","Public Safety","Police","Tactical Operations","Salaries & Wages","Longevity/Salaries & Wages","80585","General Fund"
"2023","Public Safety","Police","Tactical Operations","Extraordinary Expenditures","Additional Equipment","80000","General Fund"
"2023","Public Safety","Police","Technical Services","Salaries & Wages","Permanent Salaries/Wages","491520","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Medicare","9090","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Other Ordinary Maintenance","Repairs and Maint (Services)","2000","General Fund"
"2023","Public Safety","Police","Training","Other Ordinary Maintenance","Administration & Gen Supplies","2000","General Fund"
"2023","Public Safety","Police Review and Advisory Board","Administration","Other Ordinary Maintenance","Professional and Technical Services","1200","General Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Salaries & Wages","Medicare","9450","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Salaries & Wages","Pensions","76280","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Other Ordinary Maintenance","Energy","26000","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Other Ordinary Maintenance","Professional and Technical Services","320500","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Travel & Training","Dues & Subscriptions","4165","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Travel & Training","Travel/Training (in State) Sum.","3900","Parking Fund"
"2023","General Government","City Clerk","Administration","Salaries & Wages","Health Insurance","357730","General Fund"
"2023","General Government","City Clerk","Administration","Salaries & Wages","Pensions","209770","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Pensions","5010415","General Fund"
"2023","General Government","City Clerk","Administration","Other Ordinary Maintenance","Communication","79510","General Fund"
"2023","General Government","City Clerk","Administration","Travel & Training","Travel/Train. (out of State) Sum","3100","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Dental Insurance","3020","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Medicare","19535","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Misc. Additional Comp","5400","General Fund"
"2023","General Government","City Council","Administration","Other Ordinary Maintenance","Communication","7500","General Fund"
"2023","General Government","City Council","Administration","Travel & Training","Dues & Subscriptions","23200","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Dental Insurance","11400","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Medicare","2420","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Medicare","650","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Overtime Salaries/Wages","10000","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Permanent Salaries/Wages","479755","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Temporary Salaries/Wages","82225","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","6000","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Communication","61500","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Communication","31480","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Food and Food Service Supplies","500","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Other Property Related Services","4000","General Fund"
