"accession_number","artist_ful","last_name","first_name","title","series","actual_address","location","location_type_main","location_type","additional_location_info","latitude","longitude","the_geom","google_map","art_year","major_conservation","featured","display_term","detailed_m","website_category","object_type","dimensions","interior_exterior","permission_required","permission_type","neighborhood","tags_keywords_main","tag_keywords","tour_card","conservation_status","temporary_permanent","photo_website_url","short_desc"
"CAC.81.03","Vusumuzi Maduna","Maduna","Vusumuzi","Inner City Totem I",,"5 Callender Street","Cambridge Community Center","Non-city building","Non-city building","Front entrance","42.36543405","-71.11116808","POINT (-71.11116808045665 42.36543405033039)","https://www.google.com/maps/search/?api=1&query=42.36543405,-71.11116808","1981","2020","yes",,"Steel and Wood","Sculpture","Sculpture","540"""" (h) x 48"""" (w) x 18"""" (d)","Exterior","no",,"Riverside","abstract","abstract; black artist; african art; history","Time Out for History",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Maduna_CAC8101_PerspectivePhoto.JPG",
"CAC.92.02b","Edward Levine","Levine","Edward","(Block)","Floating Stones",,"Roethlisberger Park","Park","Park;Playground","St. Peter’s Ball Field (right of right-field),","42.38723211","-71.13365114","POINT (-71.13365113960845 42.3872321101157)","https://www.google.com/maps/search/?api=1&query=42.38723211,-71.13365114","1992","0","no",,"Granite blocks with steel inlay, polished-granite inlays (in ground)","Sculpture","Stone","24”(h) x 25”(w) x 25” (each block); 849” x 513” overall","Exterior","no",,"Neighborhood Nine","abstract","stone; abstract; landscape",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG",
"CAC.92.03.35","Nancy Webb","Webb","Nancy","(Ladybird Beetle and Cloverleaf)","Untitled",,"Charles Park","Park","Park; Pathway","Intersection at Edwin H. Land Blvd. and Charles Street","42.36674076","-71.07644062","POINT (-71.0764406200993 42.366740760040926)","https://www.google.com/maps/search/?api=1&query=42.36674076,-71.07644062","1992","0","no",,"Bronze","Sculpture","Bronze","Various sizes ranging from : 16”(h) x 25.5”(w) x 6”(d) and up to 15”(dia.)","Exterior","no",,"East Cambridge","nature","insect; beetle; plant; flower; nature; tiny; treasure; look close","Look Close! Find a Tiny Treasure",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_35_Webb.jpg",
"CAC.02.01u","Mags Harries & Lajos Heder","Harries; Heder","Mags; Lajos","(Valve plate)","Drawn Water","85 Oxford Street","Maria L. Baldwin Elementary School","School","School; Public Building; Pathway","Bronze relief in sidewalk outside of building","42.38238557","-71.11635368","POINT (-71.11635367945287 42.3823855700949)","https://www.google.com/maps/search/?api=1&query=42.38238557,-71.11635368","2002","0","no",,"Bronze","Sculpture","Bronze","8"""" (dia.)","Exterior","no",,"Agassiz","water","water; swimming; play; spirit; fun","This Way to Play",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201u_Baldwin.JPG",
"CAC.86.06","Gene Cauthen","Cauthen","Gene","Pole Climbers",,"60 Columbia Street","Clement Morgan Park","Park","Park; Playground","Near Columbus St. entrance","42.36493793","-71.09866566","POINT (-71.09866565952021 42.36493793020223)","https://www.google.com/maps/search/?api=1&query=42.36493793,-71.09866566","1986","0","no",,"Bronze","Sculpture","Bronze","106""""(h) x 19""""(dia.)","Exterior","no",,"The Port","community","history; neighborhood; community",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cauthen_CAC8606_PoleClimbers.jpg",
"CAC.07.04a","Ken Speiser","Speiser","Ken",,"Hearth","155 Harvard Street","Greene-Rose Heritage Park","Park","Park; Playground","Between Harvard Street and Dickinson Street near playground","42.36613066","-71.09499245","POINT (-71.0949924503028 42.36613065980613)","https://www.google.com/maps/search/?api=1&query=42.36613066,-71.09499245","2007","2020","no",,"Red clay bricks, steel, aggregate concrete","Sculpture","Brick Sculpture",,"Exterior","no",,"The Port","bench","bench; brick; respite; seat; sit","Relish a Respite",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/speiser_cac0707ad_perspectivephoto.JPG",
,"David Fichter","Fichter","David","Fletcher-Maynard Academy Mosaics",,"225 Windsor Street","Fletcher Maynard Academy","School","School; Public Building","At front entrance","42.36703677","-71.0955866","POINT (-71.09558660022603 42.36703677002447)","https://www.google.com/maps/search/?api=1&query=42.36703677,-71.0955866","2020","0","yes",,"Glass tile","Mosaic","Mosaic","2.5' (h) X 9' (w)","Exterior","no",,,"community","community; children; education; cambridge",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Fichter_CAC_Overall_PerspectivePhoto.JPG",
"CAC.97.02.18","David Phillips","Phillips","David","(Snail)","Spiral",,"Quincy Square","Public Square","Public Square","Bronze snails are fence post tops, located at various points on the spiral iron fence that surrounds park and the island traffic median across the intersection","42.37216874","-71.11532146","POINT (-71.11532146008479 42.372168740288444)","https://www.google.com/maps/search/?api=1&query=42.37216874,-71.11532146","1997","0","no",,"Cast bronze","Sculpture","Bronze","5”-6.5”(h) x 3”-5”(w) x 3”-5.5”(d)","Exterior","no",,"Mid-Cambridge","insect","snail; nature; insect",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970218_Spiral.jpg",
"CAC.80.07a","Juliet Kepes","Kepes","Juliet","(Owl)","Untitled (Birds)","99 Clarendon Avenue","Clarendon Avenue Playground","Park","Park; Playground","Mounted to low stone wall; Intersection at Massachusetts Avenue and Clarendon Avenue","42.39970798","-71.13259766","POINT (-71.13259765992278 42.399707980062274)","https://www.google.com/maps/search/?api=1&query=42.39970798,-71.13259766","1980","2020","yes",,"Bronze","Sculpture","Bronze relief","13”(h) x 18.5”(w)","Exterior","no",,"North Cambridge","animal","bird; animal; wings; soar; fly; flight","Take Flight",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Kepes_CAC8007a_PerspectivePhoto.JPG",
"CAC.92.03.18","Nancy Webb","Webb","Nancy","(Clover)","Untitled",,"Charles Park","Park","Park; Pathway","Intersection at Edwin H. Land Blvd. and Charles Street","42.36689967","-71.07648462","POINT (-71.07648461996767 42.36689966983832)","https://www.google.com/maps/search/?api=1&query=42.36689967,-71.07648462","1992","0","no",,"Bronze","Sculpture","Bronze Relief","Various sizes ranging from : 16”(h) x 25.5”(w) x 6”(d) and up to 15”(dia.)","Exterior","no",,"East Cambridge","nature","plant; flower; nature; tiny; treasure; look close","Look Close! Find a Tiny Treasure",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_18_Webb.jpg",
"CAC.86.03f","David Phillips","Phillips","David","(Small handprint and stones)","Beach Fragments",,"Lechmere Canal Park","Park","Park","Inlaid in brick, under the park pavilion","42.36931992","-71.07560944","POINT (-71.07560943983518 42.36931991963944)","https://www.google.com/maps/search/?api=1&query=42.36931992,-71.07560944","1986","0","no",,"Silicon bronze in brick","Sculpture","Bronze Relief","16”(h) x 16”(w)","Exterior","no",,"East Cambridge","nature","beach; water; stone; nature; music; symbol; feet; hands; ocean; sea;","Ode to the Ocean",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8603f_BeachFragments.JPG",
"CAC.01.012a-b","Lillian Hsu","Hsu","Lillian","Sitting Coves",,"70 Rindge Avenue","Gately Youth Center","Public Building","Public Building","a) Ground floor, located in hallways, b) Ground flloor, located under stairwell","42.39234383","-71.12800379","POINT (-71.12800379023317 42.39234383021543)","https://www.google.com/maps/search/?api=1&query=42.39234383,-71.12800379","2001","0","no",,"Wood, acrylic paint and glass block","Sculpture","Bench","a) 84”(h) x 240”(w) x 36”(d), b) 60”(h) x 92”'(w) x 36”(d)","Interior","yes","Call Public Art Administrator, 617-349-4388","North Cambridge","bench","color; seating; bench",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Hsu_CAC0102a_SittingCoves.jpg",
"CAC.89.04b","Lilli Ann Rosenberg","Rosenberg","Lilli Ann",,"Turtles",,"Edward Alden Park","Playground","Playground; Park","Play area; Intersection at Sacramento Street and Oxford Street","42.38283463","-71.1164841","POINT (-71.11648409939656 42.382834630211434)","https://www.google.com/maps/search/?api=1&query=42.38283463,-71.1164841","1989","0","no",,"Ceramic tiles (glazed), natural shell, glass, millefiori in concrete forms","Sculpture","Sculpture","4.5”(h) x 33”(L) x 26”(w)","Exterior","no",,"Agassiz","animal","turtle; animal; ocean; water; sea; sea creature","Ode to the Ocean",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_82_04b_Rosenberg.jpg",
"CAC.03.01c","Murray Dewart","Dewart","Murray","Kyrie Gate","The Late Flower Alphabet","495 Franklin Street","Franklin Street Park","Park","Park","In a pocket park entrance","42.36781854","-71.11037121","POINT (-71.11037121026312 42.367818540231156)","https://www.google.com/maps/search/?api=1&query=42.36781854,-71.11037121","2003","0","no",,"Granite and Bronze","Sculpture","Granite Archway with Bronze Top","48” (h) x 48”(w) x 10”(d)","Exterior","no",,"Riverside","abstract","garden; plant; grow; nurture; abstract; symbol; entryway","Plant Yourself in a Garden",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dewart_TheLateFlowerAlphabet_c_KyrieGate.JPG",
"CAC.92.02d","Edward Levine","Levine","Edward","(Block)","Floating Stones",,"Roethlisberger Park","Park","Park;Playground","St. Peter’s Ball Field (right of right-field),","42.3871868","-71.13367639","POINT (-71.13367639017088 42.38718680014471)","https://www.google.com/maps/search/?api=1&query=42.3871868,-71.13367639","1992","0","no",,"Granite blocks with steel inlay, polished-granite inlays (in ground)","Sculpture","Stone","24”(h) x 25”(w) x 25” (each block); 849” x 513” overall","Exterior","no",,"Neighborhood Nine","abstract","stone; abstract; landscape",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG",
"CAC.96.01f","Nancy O'Neil","O'Neil","Nancy","(Pangea globe and Moroccan tile patterns)","Untitled","85 Oxford Street","Maria L. Baldwin Elementary School","School","School; Public Building","Stairwell, levels 2-3 (right)","42.38234493","-71.11637995","POINT (-71.11637995042403 42.382344929802294)","https://www.google.com/maps/search/?api=1&query=42.38234493,-71.11637995","1996","0","no",,"Hand-painted stained glass","Stained Glass","Stained glass","28”(h) x 22”(w)","Interior","yes","Call Public Art Administrator, 617-349-4388","Agassiz","light","glass, color, light",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_96_01f_ONeil.JPG",
"CAC.83.01a","David Judelson","Judelson","David","Brickworker","Brickworker and Ballplayer",,"Rindge Field","Pathway","Park; Pathway","Intersection at Pemberton Street and Haskell Street","42.39055228","-71.12782085","POINT (-71.12782084996931 42.39055228032591)","https://www.google.com/maps/search/?api=1&query=42.39055228,-71.12782085","1983","0","no",,"Handmade brick and masonry","Sculpture","Sculpture","60”(h) x 63”(w) x 54.75”(d)","Exterior","no",,"North Cambridge","community","brick; labor; baseball; community",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Judelson_CAC8301a_PerspectivePhoto.JPG",
"CAC.92.03.4b","Nancy Webb","Webb","Nancy","(Praying Mantis)","Untitled",,"Charles Park","Park","Park; Pathway","Intersection at Edwin H. Land Blvd. and Charles Street","42.36610538","-71.07661488","POINT (-71.07661487969804 42.36610537961966)","https://www.google.com/maps/search/?api=1&query=42.36610538,-71.07661488","1992","0","no",,"Bronze","Sculpture","Bronze Relief","Various sizes ranging from : 16”(h) x 25.5”(w) x 6”(d) and up to 15”(dia.)","Exterior","no",,"East Cambridge","nature","insect; mantis; nature; tiny; treasure; look close","Look Close! Find a Tiny Treasure",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_4b_Webb.jpg",
"CAC.02.01t","Mags Harries & Lajos Heder","Harries; Heder","Mags; Lajos","(Valve plate)","Drawn Water","15 Upton Street","The Amigos School","School","School; Public Building; Pathway","Bronze relief in sidewalk outside of building","42.36293385","-71.10860868","POINT (-71.10860868033032 42.36293384988134)","https://www.google.com/maps/search/?api=1&query=42.36293385,-71.10860868","2002","0","no",,"Bronze","Sculpture","Bronze","8"""" (dia.)","Exterior","no",,"Cambridgeport","water","water; swimming; diving; scuba; play; spirit; fun","This Way to Play",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/HarriesHeder_CAC0201t_Amigos.JPG",
"CAC.04.01d","Michael Glier","Glier","Michael","Dog Walker/Coffee Break/Fire Hydrant","Town Green","344 Broadway","City Hall Annex","Public Building","Public Building","1st floor, west wall, lobby","42.37007904","-71.10338243","POINT (-71.10338242957394 42.370079040224795)","https://www.google.com/maps/search/?api=1&query=42.37007904,-71.10338243","2004","2017","no",,"Acrylic and charcoal on sheetrock","Mural","Painted Mural","d) 92""""(h) x 130""""(w)","Interior","no",,"Mid-Cambridge","community","about Cambridge; city; drawing, community; civic; government; democracy","Sense of City",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Glier_04b_TownGreen_coffeebreak.jpg",
"CAC.96.01b","Nancy O'Neil","O'Neil","Nancy","(Flying dove and Algonquian wampum belt)","Untitled","85 Oxford Street","Maria L. Baldwin Elementary School","School","School; Public Building","Stairwell, levels sub-1 (right)","42.38234493","-71.11637995","POINT (-71.11637995042403 42.382344929802294)","https://www.google.com/maps/search/?api=1&query=42.38234493,-71.11637995","1996","0","no",,"Hand-painted stained glass","Stained Glass","Stained glass","28”(h) x 22”(w)","Interior","yes","Call Public Art Administrator, 617-349-4388","Agassiz","light","glass, color, light",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_96_01b_ONeil.JPG",
"CAC.99.08e","William Reimann","Reimann","William","(Column with black crown night heron)","Untitled",,"Corporal Burns Park","Park","Park; Pathway","Intersection at Memorial Drive and Flagg Street","42.36767988","-71.11605987","POINT (-71.11605987022361 42.36767987985166)","https://www.google.com/maps/search/?api=1&query=42.36767988,-71.11605987","1999","2020","yes",,"Granite (sandblasted) and paint","Sculpture","Stone","38”(h) x 9”(w) x 9”(d)","Exterior","no",,"Riverside","animal","bird; nature; animal; critter; creature","Inspect a Cantabridgian Creature",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_e_Reimann.JPG",
"CAC.01.04","William Reimann","Reimann","William","(Dudley Street)","Untitled",,"Reverend Thomas J. Williams Park","Park","Park; Pathway; Playground","Columns are located at the 3 entrances to the park","42.39564067","-71.13042782","POINT (-71.13042782052851 42.3956406699228)","https://www.google.com/maps/search/?api=1&query=42.39564067,-71.13042782","2000","0","no",,"Granite (sandblasted) and paint","Sculpture","Stone","47”(h) x 15”(w) x 15”(d) (each)","Exterior","no",,"North Cambridge","insect","butterfly; insect; entryway; wings; soar; fly; flight","Take Flight",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_01_04_Reimann.JPG",
"CAC.87.06n","David Phillips","Phillips","David","(Small frog water fountain)","Levitated Stone",,"Dana Park","Park","Park; Playground","Intersection at Corporal McTernan Street and Magazine street, outside of playground","42.36113272","-71.10764911","POINT (-71.10764911027547 42.36113272009926)","https://www.google.com/maps/search/?api=1&query=42.36113272,-71.10764911","1987","0","no",,"Silicon bronze","Sculpture","Bronze Relief","10.5""""(dia.) (each)","Exterior","no",,"Cambridgeport","animal","frog; animal; fountain; outdoors; land; flora; fauna; nature","Next Stop Nature",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_13.JPG",
"CAC.97.02.14","David Phillips","Phillips","David","(Snail)","Spiral",,"Quincy Square","Public Square","Public Square","Bronze snails are fence post tops, located at various points on the spiral iron fence that surrounds park and the island traffic median across the intersection","42.37225325","-71.11523619","POINT (-71.11523619052043 42.372253250241215)","https://www.google.com/maps/search/?api=1&query=42.37225325,-71.11523619","1997","0","no",,"Cast bronze","Sculpture","Bronze","5”-6.5”(h) x 3”-5”(w) x 3”-5.5”(d)","Exterior","no",,"Mid-Cambridge","insect","snail; nature; insect",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970214_Spiral.jpg",
"CAC.18.01.4","Marc Cooper","Cooper","Marc",,"Untitled (Moses Youth Center Collaborative)","243 Harvard Street","Moses Youth Center","Public Building","Public Building; Park","back of building on deck","42.3684011","-71.10075015","POINT (-71.10075014949413 42.36840110029605)","https://www.google.com/maps/search/?api=1&query=42.3684011,-71.10075015","2018","0","no",,"Mixed media/ Wood, canvas, fiberglass, paint, collage, and polyester surfboard resin","Sculpture","Sculpture","52.25""""(h) x 48""""(w) x 36""""(d)","Exterior","no",,,"Abstract","abstract; shape; garden; surf",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cooper_Untitled_04.jpg",
"CAC.97.02.21","David Phillips","Phillips","David","(Snail)","Spiral",,"Quincy Square","Public Square","Public Square","Bronze snails are fence post tops, located at various points on the spiral iron fence that surrounds park and the island traffic median across the intersection","42.37231848","-71.11562041","POINT (-71.11562040974341 42.37231848019866)","https://www.google.com/maps/search/?api=1&query=42.37231848,-71.11562041","1997","0","no",,"Cast bronze","Sculpture","Bronze","5”-6.5”(h) x 3”-5”(w) x 3”-5.5”(d)","Exterior","no",,"Mid-Cambridge","insect","snail; nature; insect",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970221_Spiral.jpg",
"CAC.1979.05o","Lilli Ann Rosenberg","Rosenberg","Lilli Ann","(Sun)","Untitled","673 Cambridge Street","Millers River Apartments","Non-city building","Non-city building","On building facade","42.37208319","-71.08729677","POINT (-71.08729677009748 42.37208319026865)","https://www.google.com/maps/search/?api=1&query=42.37208319,-71.08729677","1979","0","no",,"Ceramic tiles, glazed","Mosaic","Mosaic mural; Sculpture","32.5”(h) x 35”(w)","Exterior","no",,"East Cambridge","community","neighborhood; family; community; city; tree; nature; bird; animal; fish; sports; truck",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC7905o_Rosenberg_MillersRiver_2019.JPG",
"CAC.89.02","Dimitri Gerakaris","Gerakaris","Dimitri","(Sunflower)","Centanni Way Garden Sculpture",,"Centanni Way Park/Bullfinch Sq","Pathway","Pathway","Walkway between Bullfinch Square and the Probate Courthouse","42.37014688","-71.07915851","POINT (-71.079158510039 42.37014688018899)","https://www.google.com/maps/search/?api=1&query=42.37014688,-71.07915851","1989","0","no",,"Painted galvanized iron","Sculpture","Metal","72”(h) x 48”(w) x 36”(d)","Exterior","no",,"East Cambridge","nature","metal; flower; plant; nature","Plant Yourself in a Garden",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Gerakaris_CAC8902_CentanniWayGardenSculpture_02.JPG",
"CAC.99.10b","Mierle Ukeles","Ukeles","Mierle","(Throne Room for the Queen and King of the Hill)","Turnaround/Surround",,"Danehy Park","Park","Park; Playground","Top of hill","42.38886959","-71.13546376","POINT (-71.13546375978162 42.388869590045104)","https://www.google.com/maps/search/?api=1&query=42.38886959,-71.13546376","2004","2017","no",,"Cast aluminum","Landscape","Bench","50”(h) X 176”(w); 50”(h) x 108”(w)","Exterior","no",,"Neighborhood Nine","land design","gathering; land design; bench; abstract; biking; bike path","Push Those Pedals",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/cac_99_10_2ab_ukeles.JPG",
"CAC.83.03","Alston """"Stoney"""" Conley","Conley","Alston “Stoney”","Room of Maps",,"359 Broadway","King Open School (until 2020), the Ola Portuguese Dual Language Immersion Program","School","School; Public Building","2nd floor, on west wall of the school library","42.37060805","-71.10386923","POINT (-71.10386923041067 42.370608050245565)","https://www.google.com/maps/search/?api=1&query=42.37060805,-71.10386923","1983","0","no",,"Fresco with pigments","Mural","Fresco Mural","63""""(h) x 247""""(w) x 25""""(d)","Interior","yes","Call Public Art Administrator, 617-349-4388","Mid-Cambridge","map","map; drawing",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Conley_CAC8303_RoomofMaps_crop.jpg",
