"city","company","type","rate","rate_measure","revenue_14_15"
"Fossil","Columbia Basin Electric","Electric","4.00","FF","14476"
"Lexington ","Columbia Basin Electric Co-OP","Electric",,"FF","10135"
"Columbia City","Columbia River PUD","Electric","5.00","FF","50178.080000000002"
"Albany","Comcast","Cable","5.00","FF","590070"
"Columbia City","Comcast","Cable","5.00","FF","25311.84"
"Corvallis","Comcast","Cable","5.00","FF","656900"
"Dayton","Comcast","Cable","5.00","FF","18510"
"Harrisburg","Comcast","Cable","5.00","FF","37031"
"Hillsboro","Comcast","Cable","5.00","FF","871227"
"Lafayette","Comcast","Cable","5.00","FF","33165"
"Lake Oswego","Comcast","Cable","5.00","FF","511000"
"McMinnville","Comcast","Cable","5.00","FF","135657.59"
"Milwaukie","Comcast","Cable","5.00","FF",
"Newberg","Comcast","Cable","5.00","FF","180313.52000000002"
"Oregon City","Comcast","Cable","5.00","FF","409097.3"
"Portland","Comcast","Cable","5.00","FF",
"Sherwood","Comcast","Cable","5.00","FF","189773"
"Sherwood","Comcast","Telecom","7.00","PT","42098"
"Sweet Home","Comcast","Cable","5.00","FF","86876.160000000003"
"Tangent","Comcast","Telecom","5.50","FF","11503"
"Troutdale","Comcast","Cable","5.00","FF","58937"
"Waterloo","Comcast","Cable","5.89","FF",
"Waterloo","Comcast","Cable","5.89","FF","2008.03"
"West Linn","Comcast","Cable","5.00","FF","318000"
"Wood Village","Comcast","Cable","7.00","FF","6947"
"Sherwood","Comcast - PEG","Cable",,"FF","36734"
"Salem","COMCAST BUSINESS Communications, LLC","Cable","7.00","PT",
"Springfield","Comcast Digital","Cable","5.00","FF","116050.47"
"Portland","Comcast IP Phone of Oregon LLC","Cable","5.00","FF",
"Salem","COMCAST IP Phone of Oregon, LLC","Cable","7.00","PT","536173.81000000006"
"Corvallis","Comcast Voice","Telecom","7.00","FF","177000"
"Springfield","Comcast Wireless Backhaul","Cable","5.00","FF","18254.13"
"Portland","Communication Management Services","Cable",,"FF","245.03"
"Coquille","Comspan","Cable","5.00","FF","4889"
"Myrtle Point","Comspan Communications","Telecom","5.00","FF","1534"
"Roseburg","Comspan Communications","Cable","5.00","FF","14524.51"
"Albany","Consumers Power","Electric","5.00","FF","87766"
"Corvallis","Consumers Power","Electric","5.00","FF","184000"
"Detroit","Consumers Power Inc","Electric","6.00","FF","27258"
"Salem","CONVERGIA, INC.","Cable","7.00","PT",
"Coos Bay","Coos Bay Sanitary","Solid Waste","5.00","FF","78063"
"Roseburg","Cordia Communications","Cable","5.00","FF",
"Hillsboro","Cost Management Services","Natural Gas","3.00","PT","6274.33"
"Madras","Crestview","Cable","5.00","FF","21712.07"
"Portland","Cricket Communications","Cable",,"PFF","39245"
"Roseburg","Cricket Communications","Cable","5.00","FF",
"Salem","Cricket Communications","Cable","7.00","PT","1862.1399999999999"
"Joseph","Crystal Broadband","Cable",,"FF",
"Salem","D&O Garbage Service","Solid Waste","7.00","FF","248583.63"
"Yachats","Dahl Disposal","Solid Waste","3.00","FF","7756"
"Salem","DataVision Communications, LLC.","Cable","7.00","FF","10000"
"Roseburg","Dishnet Wireline","Cable","5.00","FF","600.79999999999995"
"Oakland","Douglas Fastnet","Other","5.00","FF","661"
"Yoncalla","Douglas Fastnet","Telecom","5.00","FF","1225"
"Roseburg","Douglas Services","Cable","5.00","FF","60981.33"
"Hermiston","Eastern Oregon Telecom","Telecom","3.00","FF","12906"
"Irrigon","Eastern Oregon Telecom","Cable","3.00","FF","67.31"
"Lake Oswego","Electric Lightwave","Telecom","5.00","FF","16582"
"Oregon City","Electric Lightwave","Telecom",,"FF","6750"
"Portland","Electric Lightwave","Cable","5.00","FF","656960.92000000004"
"Salem","Electric Lightwave","Cable","7.00","FF",
"Springfield","Electric Lightwave","Cable","5.00","FF","139.19999999999999"
"Beaverton","Electric Lightwave/Integra","Telecom","5.00","FF","71601"
"Creswell","EPUD","Electric","5.00","FF","57827"
"Salem","Eschelon Telecom","Cable","7.00","PT","17061.879999999997"
"Springfield","Eschelon Telecom","Cable","5.00","FF","3869.63"
"Hermiston","EZ Wireless","Telecom","3.00","FF",
"Hillsboro","Fibersphere Communications","Cable",,"FF","6000"
"Roseburg","FIRST COMMUNICATION, LLC","Cable","5.00","FF","18.25"
"Salem","FIRST COMMUNICATION, LLC","Cable","7.00","PT","354.46999999999991"
"Lake Oswego","Frontier","Cable","5.00","FF","90000"
"McMinnville","Frontier","Cable","5.00","FF","26824.45"
"Newberg","Frontier","Cable","5.00","FF","45539.26"
"Sherwood","Frontier","Cable","5.00","PT","48313"
"Troutdale","Frontier","Cable","5.00","FF",
"Wood Village","Frontier","Cable",,"FF",
"Sherwood","Frontier - PEG","Cable",,"FF","7673"
"Aumsville","Frontier Communications Corp.","Cable",,"FF","3353.15"
"Beaverton","Frontier Communications Corp.","Telecom","4.03","FF","84366"
"Coos Bay","Frontier Communications Corp.","Telecom","7.00","FF","45974"
"Coquille","Frontier Communications Corp.","Telecom","5.00","FF","9592"
"Dayton","Frontier Communications Corp.","Telecom","7.00","FF","2503"
"Detroit","Frontier Communications Corp.","Telecom","5.00","FF","1147"
"Hillsboro","Frontier Communications Corp.","Cable","7.00","PT","235064.99"
"Lafayette","Frontier Communications Corp.","Telecom","7.00","FF","2107"
"McMinnville","Frontier Communications Corp.","Telecom","7.00","FF","31784.31"
"Newberg","Frontier Communications Corp.","Telecom","7.00","PT","40118.17"
"Sandy","Frontier Communications Corp.","Telecom","7.00","PT","23866"
"Sherwood","Frontier Communications Corp.","Telecom","7.00","PT","26881"
"Silverton","Frontier Communications Corp.","Telecom","4.00","PT","11712.25"
"Tigard","Frontier Communications Corp.","Cable","5.00","FF","94316"
"Troutdale","Frontier Communications Corp.","Telecom","7.00","PT","29348"
"Portland","Frontier Communications Northwest Inc. fka Verizon fka GTE","Cable","5.00","FF",
"Portland","FSH Communications Long Distance","Cable",,"FF","1857.4"
"Madras","FTV Communication","Cable",,"PFf","15814.64"
"Aumsville","FTX Networks","Cable",,"FF","99.32"
"Roseburg","GLOBAL CROSSING","Cable","5.00","FF","326.68"
"Salem","GLOBAL CROSSING (Level 3 Comm starting Jan-2012)","Cable","7.00","PT",
"Salem","Global Tel*Link Corp","Cable","7.00","PT","755.93999999999994"
"Roseburg","Granite Communications","Cable","5.00","FF","5409.68"
"Springfield","Granite Communications","Cable","5.00","FF","3990.2"
"Helix","Helix Telephone","Cable",,,
"Redmond","High Country Disposal","Solid Waste","7.00","FF","281097"
"Milwaukie","Hoodview Disposal & Recycling","Solid Waste","5.00","FF","14930"
"Sandy","Hoodview Disposal & Recycling","Solid Waste","3.00","FF","51715"
"Adams","Humbert Refuse","Solid Waste","5.00","FF","521.01"
"Athena","Humbert Refuse","Solid Waste","2.00","FF","2443.3000000000002"
"Helix","Humbert Refuse","Solid Waste",,"FF","304.14"
"Grants Pass","Hunter Communications","Telecom","7.00","PT","5994"
"Klamath Falls","Hunter Communications","Cable","7.00","FF","23840.3"
"Springfield","Hunter Communications","Cable",,,
"Roseburg","IBM Global","Cable","5.00","FF","162.78"
"Roseburg","IDT Domestic Telecom","Cable","5.00","FF","58.92"
"Salem","iNETWORKS GROUP, INC.","Cable","7.00","PT","91.1"
"Hermiston","Inland Development Corp./Windwave Communications","Telecom","3.00","FF","882"
"Corvallis","Integra","Telecom","7.00","FF","20600"
"Hillsboro","Integra","Cable",,"FF","31991.06"
"Roseburg","Integra","Cable","5.00","FF","10856.23"
"Springfield","Integra","Cable","5.00","FF","16641.61"
"Tigard","Integra","Cable","5.00","FF","57712"
"Milwaukie","Integra Telecom (ELI)","Telecom","7.00","FF","4447"
"Salem","Integra Telecom (ELI)","Cable","7.00","FF","127810.99"
"Bend","Integra/Electric Lightwave","Cable",,"FF","43695.98"
"Roseburg","IONEX","Cable","5.00","FF","1161.47"
"Coos Bay","IONEX Birch","Telecom","7.00","FF","8"
"Springfield","IP Networked Services","Cable","5.00","FF","67.010000000000005"
"Salem","IP NETWORKED Services (Integra Tele)","Cable","7.00","PT","595.45000000000005"
"Portland","IRNE aka Integrated Regional Network Enterprise","Cable","5.00","FF","28857.96"
"Salem","IXC HOLDINGS, INC","Cable","7.00","PT",
"Myrtle Point","J&L Sanitation","Solid Waste",,"FF","100"
"Portland","Kinder Morgan Cochin","Other","3.70","PFF","64207.199999999997"
"Westfir","Lane Electric Coop","Electric","3.00","FF","7562.22"
"Portland","LCP Oregon Holdings LLC","Other","3.99","PFF","23602.799999999999"
"Coos Bay","Les Sanitary","Solid Waste","5.00","FF","74514"
"Roseburg","Level (3)","Cable","5.00","FF","243.64"
"Portland","Level 3","Cable","5.00","FF","519347.08"
"Springfield","Level 3","Cable","5.00","FF","5262.85"
"Salem","LEVEL 3 COMM. - Revenue","Cable","7.00","FF","33314.49"
"Salem","LEVEL 3 COMM. -Footage","Telecom","3.84","PFF","28891.71"
"Hillsboro","Level 3 Communications","Cable",,"FF","5729.77"
"Oregon City","Level 3 Communications","Telecom","2.75","PFF","32018.25"
"Portland","Lewis and Clark College","Other",,"Other","20000"
"Astoria","Lightspeed Networks","Other","7.00","FF","20261"
"Baker City","Lightspeed Networks","Telecom","7.00","FF",
"Coquille","Lightspeed Networks","Telecom","7.00","FF","6365"
"Hermiston","Lightspeed Networks","Telecom","7.00","FF","5485"
"Milwaukie","Lightspeed Networks","Telecom","7.00","FF",
"Portland","Lightspeed Networks Inc dba LS Networks","Cable","5.00","FF","54905.89"
"Salem","Loren's Sanitary Service","Solid Waste","7.00","FF","23528.5"
"Albany","LS Networks","Telecom","7.00","FF","21915"
"Athena","LS Networks","Telecom","7.00","FF","30.82"
"Canby","LS Networks","Telecom",,"FF","123"
"Coos Bay","LS Networks","Telecom","7.00","FF","27409"
"Corvallis","LS Networks","Telecom","7.00","FF","14250"
"Grants Pass","LS Networks","Telecom","7.00","PT","43031"
"Hillsboro","LS Networks","Cable",,"FF","6184.77"
"Jefferson","LS Networks","Telecom","6.00","FF","1344"
"Klamath Falls","LS Networks","Cable","7.00","FF","33061.629999999997"
"Roseburg","LS Networks","Cable","5.00","FF","3382.12"
"Salem","LS Networks","Cable","7.00","FF","36835.370000000003"
"Springfield","LS Networks","Cable",,,
"Portland","Lucid Energy","Other",,"Other","1000"
"John Day","M.D. Communications LLC","Telecom","7.00","FF","4541"
"Hermiston","M2 Mach Media","Telecom","3.00","FF",
"Beaverton","MACC - Comcast + Frontier","Cable","5.00","FF","693883"
"Tigard","MACC/Comcast & Frontier","Cable","5.00","FF","532563"
"Madras","Madras Sanitary","Solid Waste","5.00","FF","49044.09"
"Roseburg","MASERGY COMMUNICATIONS, Inc.","Cable","5.00","FF","433.69"
"Salem","MASERGY COMMUNICATIONS, Inc.","Cable","7.00","PT","471.12"
"Yachats","Pioneer Telephone","Telecom","4.00","FF","4586"
"Portland","MCI Metro aka MCI Metro Access Transmission Services","Cable","5.00","FF","82287.929999999993"
"Harrisburg","MCI Metro Transmission Services","Telecom","5.39","PFF","12014"
"Hillsboro","MCI Worldcom","Cable",,"FF","31205.05"
"Roseburg","McLeodUSA Telecommunications Services","Cable","5.00","FF","6.67"
"Portland","McLeodUSA Telecommunications Services, LLC d/b/a PAETEC Business Services","Cable","5.00","FF","54856.83"
"Salem","MEGAPATH CORPORATION (Includes COVAD Comm. Jan-Dec 2011)","Cable","7.00","PT","400.52"
"Milwaukie","Mel Deines","Solid Waste","5.00","FF","15900"
"Newberg","Met Tel","Cable","7.00","PT","220.5"
"Salem","Met Tel","Cable","7.00","PT","1994.51"
"Sherwood","Met Tel","Telecom","7.00","PT","1571"
"Newberg","MetTel","Cable",,"FF",
"Independence","MINET","Cable","5.00","FF",
"Independence","MINET","Telecom","5.00","FF",
"Salem","Mitel Cloud Services, Inc.","Cable","7.00","PT","1187.3"
"Springfield","MiTel Net Solutions","Cable","5.00","FF","12.21"
"Independence","Monmouth Power","Electric","5.00","FF",
"Salem","NEW GLOBAL TELECOM","Cable","7.00","PT",
"Lake Oswego","New Path (Crown Castle)","Telecom","5.00","FF","10000"
"Portland","NewPath Networks","Cable","5.00","FF","5000"
"Springfield","Nextiva, Inc.","Cable","5.00","FF","10"
"Hillsboro","Noble Americas Energy Solutions","Natural Gas","3.00","PT","558.73"
"Hillsboro","Noble Americas Energy Solutions","Electric","3.50","PT","262958.46999999997"
"Antelope","NONE","Cable",,"FF",
"Depoe Bay ","North Lincoln Sanitary","Solid Waste","5.00","FF","9318"
"The Dalles","Northern Wasco County PUD","Electric","3.00","FF","773185.44"
"Roseburg","Northstar Telecommunications","Cable","5.00","FF",
"Canby","Northwest Natural","Natural Gas","5.00","FF","148347"
"Coquille","Northwest Natural","Natural Gas","5.00","FF","14655"
"Athena","Vonage","Cable",,,
"Dallas","Northwest Natural","Natural Gas","5.00","FF","170000"
"Lyons","Northwest Natural","Natural Gas","3.00","FF","6669.14"
"Myrtle Point","Northwest Natural","Natural Gas","5.00","FF","8807"
"Oregon City","Northwest Natural","Natural Gas","5.00","FF","424426.96"
"Albany","Northwest Natural Gas","Natural Gas","5.00","FF","655353"
"Beaverton","Northwest Natural Gas","Natural Gas","3.00","FF","620779"
,"Northwest Natural Gas","Natural Gas","2.00","PT","115000"
"Astoria","Northwest Natural Gas Co","Natural Gas","5.00","FF","174582"
"Portland","NW Metal Fab","Cable","5.00","FF","19000"
"Columbia City","NW Natural","Natural Gas","5.00","FF","20362.82"
"Coos Bay","NW Natural","Natural Gas","5.00","FF","57112"
"Corvallis","NW Natural","Natural Gas","5.00","FF","600500"
"Depoe Bay ","NW Natural","Natural Gas","3.00","FF","17551"
"Halsey","NW Natural","Natural Gas","5.00","FF","9036"
"Harrisburg","NW Natural","Natural Gas","5.00","FF","33636"
"Independence","NW Natural","Natural Gas","5.94","FF",
"Jefferson","NW Natural","Natural Gas","5.00","FF","19385.009999999998"
"Lafayette","NW Natural","Natural Gas","3.00","FF","15026"
"Lake Oswego","NW Natural","Natural Gas","3.00","FF","380510"
"McMinnville","NW Natural","Natural Gas","3.00","FF","135308.5"
"Milwaukie","NW Natural","Natural Gas","5.00","FF","247918"
"Salem","NW Natural","Natural Gas","5.00","FF",
"Sandy","NW Natural","Natural Gas","5.00","FF","131635"
"Scio","NW Natural","Natural Gas",,"PT","11050"
"Sherwood","NW Natural","Natural Gas","5.00","FF","244935"
"Silverton","NW Natural","Natural Gas","5.00","FF","128367.93"
"Tigard","NW Natural","Natural Gas","5.00","FF","1223251"
"Troutdale","NW Natural","Natural Gas","2.94","PT","121070"
"Troutdale","NW Natural","Natural Gas","3.00","FF","123540"
"Waterloo","NW Natural","Natural Gas","5.00","FF","1124.74"
"West Linn","NW Natural","Natural Gas","5.00","FF","414911"
"Wood Village","NW Natural","Natural Gas","2.94","PT","18587.02"
"Wood Village","NW Natural","Natural Gas","3.00","FF","18996.68"
"Aumsville","NW Natural Gas","Natural Gas",,"FF","30462.17"
"Clatskanie","NW Natural Gas","Natural Gas","5.00","FF","9019"
"Newberg","NW Natural Gas","Natural Gas","5.00","FF","225134.09"
"Sheridan","NW Natural Gas","Natural Gas","6.00","FF","55028"
"Sweet Home","NW Natural Gas","Natural Gas","5.00","FF","72473.22"
"Tangent","NW Natural Gas","Natural Gas","5.00","FF","15567"
"The Dalles","NW Natural Gas","Natural Gas","4.25","FF","105907.95"
