"polycode","county","region","color","val1","val2"
"MO-52","Pike","North East","#EBCFFF","fgjk","4557"
"MO-11","Carroll","Central","#2E71A2","adsf","689"
"MO-5C","Saline","Central","#2E71A2","adsf","56332"
"MO-2D","Howard","Central","#2E71A2","qer","23"
"MO-0A","Boone","Central","#2E71A2","tgjh","6476"
"MO-0E","Callaway","Central","#2E71A2","qewr","6787"
"MO-4C","Osage","Central","#2E71A2","fhjy","89"
"MO-1A","Cole","Central","#2E71A2","rtyu","89786"
"MO-42","Miller","Central","#2E71A2","tyu","56453"
"MO-0F","Camden","Central","#2E71A2","ghj","565767"
"MO-47","Morgan","Central","#2E71A2","fgh","678789"
"MO-44","Moniteau","Central","#2E71A2","vbnm","890078"
"MO-1B","Cooper","Central","#2E71A2","tyu","78967867"
"MO-46","Montgomery","East","#BDDEFF","vmgh","67"
"MO-39","Lincoln","East","#BDDEFF","dfhj","78"
"MO-62","St.Charles","East","#BDDEFF","ryt","678"
"MO-6D","Warren","East","#BDDEFF","yet","7890"
"MO-25","Gasconade","East","#BDDEFF","ety","345456"
"MO-24","Franklin","East","#BDDEFF","fjh","345"
"MO-65","St.Louis","East","#BDDEFF","rtyu","456"
"MO-73","St.Louis_City","East","#BDDEFF","fhjy","567"
"MO-32","Jefferson","East","#BDDEFF","gfjk","5634"
"MO-4E","Pemiscot","South East","#FFE0C1","fgjk","345"
"MO-23","Dunklin","South East","#FFE0C1","adsf","644"
"MO-48","New_Madrid","South East","#FFE0C1","adsf","456"
"MO-67","Stoddard","South East","#FFE0C1","qer","456567"
"MO-0C","Butler","South East","#FFE0C1","tgjh","567"
"MO-43","Mississippi","South East","#FFE0C1","qewr","76867"
"MO-5F","Scott","South East","#FFE0C1","fhjy","6767"
"MO-10","Cape_Girardeau","South East","#FFE0C1","rtyu","123"
"MO-4F","Perry","South East","#FFE0C1","tyu","56657"
"MO-66","Ste.Genevieve","South East","#FFE0C1","ghj","7898"
"MO-64","St.Francois","South East","#FFE0C1","fgh","76546"
"MO-6E","Washingtion","South East","#FFE0C1","vbnm","23"
"MO-1C","Crawford","South East","#FFE0C1","tyu","34"
"MO-51","Phelps","South East","#FFE0C1","vmgh","5645"
"MO-3F","Maries","South East","#FFE0C1","dfhj","4557"
"MO-55","Pulaski","South East","#FFE0C1","ryt","689"
"MO-6B","Texas","South East","#FFE0C1","yet","56332"
"MO-21","Dent","South East","#FFE0C1","ety","23"
"MO-2F","Iron","South East","#FFE0C1","fjh","6476"
"MO-5A","Reynolds","South East","#FFE0C1","rtyu","6787"
"MO-60","Shannon","South East","#FFE0C1","fhjy","89"
"MO-2E","Howell","South East","#FFE0C1","gfjk","89786"
"MO-4B","Oregon","South East","#FFE0C1","fgjk","56453"
"MO-5B","Ripley","South East","#FFE0C1","adsf","565767"
"MO-12","Carter","South East","#FFE0C1","adsf","678789"
"MO-6F","Wayne","South East","#FFE0C1","qer","890078"
"MO-09","Bolinger","South East","#FFE0C1","tgjh","78967867"
"MO-3E","Madison","South East","#FFE0C1","qewr","67"
"MO-6C","Vernon","South West","#BAFFD2","fhjy","78"
"MO-06","Barton","South West","#BAFFD2","rtyu","678"
"MO-31","Jasper","South West","#BAFFD2","tyu","7890"
"MO-49","Newton","South West","#BAFFD2","ghj","345456"
"MO-3C","McDonald","South West","#BAFFD2","fgh","345"
"MO-05","Barry","South West","#BAFFD2","vbnm","456"
"MO-37","Lawrence","South West","#BAFFD2","tyu","567"
"MO-1D","Dade","South West","#BAFFD2","vmgh","5634"
"MO-14","Cedar","South West","#BAFFD2","dfhj","345"
"MO-63","St.Clair","South West","#BAFFD2","ryt","644"
"MO-2B","Hickory","South West","#BAFFD2","yet","456"
"MO-54","Polk","South West","#BAFFD2","ety","456567"
"MO-27","Greene","South West","#BAFFD2","fjh","567"
"MO-16","Christian","South West","#BAFFD2","rtyu","76867"
"MO-6A","Taney","South West","#BAFFD2","fhjy","6767"
"MO-68","Stone","South West","#BAFFD2","gfjk","345"
"MO-4D","Ozark","South West","#BAFFD2","fgjk","345"
"MO-22","Douglas","South West","#BAFFD2","rtyughj","5675678"
"MO-72","Wright","South West","#BAFFD2","ghjk","6789"
"MO-70","Webster","South West","#BAFFD2","vnm","778"
"MO-1E","Dallas","South West","#BAFFD2","vnmgh","76866"
"MO-35","Laclede","South West","#BAFFD2","rtyufd","5645"
