"department","subject","contents","url","timestamp"
"Health and Wellness","Amendments to Prescription Monitoring Act","HEALTH/WELLNESS--Amendments to Prescription Monitoring Act 
----------------------------------------------------------------
Legislation introduced today, March 31, will amend the Prescription Monitoring Act to reflect proposed changes to the Nova Scotia Prescription Monitoring Board.

In 2005, the Prescription Monitoring Act and its regulations established the Nova Scotia Prescription Monitoring Program to promote the appropriate use of monitored drugs such as opioids and benzodiazepines. It aims to reduce the abuse and misuse of these medications by promoting good prescribing practices and informing research activities.

Changes to the act include: 
-- strengthening the Department’s oversight and fiduciary responsibilities
-- increasing the number of public board members from two to four to increase diversity, including those living with chronic pain, people who work in the field and people who have lived experience with drug misuse
-- shifting authority to the Minster of Health and Wellness from governor-in-council for the appointment of non-voting directors and director responsible for licensing
-- minor housekeeping changes

“The governance changes to the Prescription Monitoring Act will help advance our goals of monitoring prescribing practices and ensuring practitioners are accountable for safe and appropriate healthcare delivery,” said Michelle Thompson, Minister of Health and Wellness. “We’re doing this by creating a more inclusive, responsive and efficient way to monitor controlled substances in our province.” 

The changes are based on recommendations from the Prescription Monitoring Program Board Strategic Plan and an independent review.

Additional Resources:
Prescription Monitoring Act: https://nslegislature.ca/sites/default/files/legc/statutes/prescmon.htm 

Bills tabled in the legislature this spring are available at: https://nslegislature.ca/legislative-business/bills-statutes/bills/assembly-64-session-1 

-30-","https://novascotia.ca/news/release/?id=20220331005","2022-03-31T13:12:00.000"
"Health and Wellness","Amendment to Hospitals Act","HEALTH/WELLNESS--Amendment to Hospitals Act
----------------------------------------------------------------
The government introduced an amendment to the Hospitals Act today, March 31, to allow nurse practitioners to admit patients to hospital. 

“Patients deserve a positive healthcare experience from the moment they access care to the moment they can return home,” said Michelle Thompson, Minister of Health and Wellness. “Permitting nurse practitioners to admit patients means timely access to care for patients, increased hospital efficiency, and improved movement of patients through their healthcare journey.”

Currently, only physicians, midwives and dentists can admit a patient to hospital. Nurse practitioners can assess, treat and discharge patients, but can’t admit them, even though they are trained and licensed to do so.

Quotes:
“This is good news for Nova Scotians. Amending the Hospitals Act to grant nurse practitioners the authority to admit to hospital optimizes the nurse practitioner scope of practice and will enhance access to care for patients.”
     - Sue Smith, CEO and Registrar, Nova Scotia College of Nursing 

Quick Facts:
-- Nova Scotia joins Ontario, Manitoba, and British Columbia in allowing nurse practitioners to admit patients to hospital
-- the Hospitals Act was last amended in 2015 to allow nurse practitioners to discharge patients from hospital
-- the Homes for Special Care Act currently authorizes nurse practitioners to admit people to long-term care facilities 

Additional Resources:
Bills tabled in the legislature this spring are available at: https://nslegislature.ca/legislative-business/bills-statutes/bills/assembly-64-session-1 

-30-","https://novascotia.ca/news/release/?id=20220331004","2022-03-31T13:10:00.000"
"Education and Early Childhood Development","Réduction des frais de garde d'enfants pour les familles","ÉDUCATION ET DÉVELOPPEMENT DE LA PETITE ENFANCE-- Réduction des frais de garde d'enfants pour les familles
------------------------------------------------------
Les frais pour les services agréés de garde d'enfants seront réduits de 25 %, en moyenne, à compter du vendredi 1er avril.

Grâce à l'Accord entre le Canada et la Nouvelle-Écosse sur l'apprentissage et la garde des jeunes enfants à l'échelle du Canada, les parents économiseront de 3 $ à 10,50 $ par jour, par enfant, selon l'âge de l'enfant. 

« Je suis ravie de pouvoir offrir de vraies économies aux familles de la province, affirme Becky Druhan, ministre de l'Éducation et du Développement de la petite enfance de la Nouvelle-Écosse. Il s'agit de la première réduction des frais en vue d'atteindre l'objectif de 10 $ par jour, en moyenne, en 2026, et il s'agit d'un grand pas vers des services de garde d'enfants plus abordables et plus accessibles pour les parents. » 

Les économies seront appliquées directement à la facture des parents. Les centres agréés de garde d'enfants qui acceptent l'entente de financement annuel de 2022-2023 reflétant les principes de l'Accord recevront un financement complet afin de compenser la réduction des frais. Jusqu'à présent, 98 % des exploitants ont signé l'entente, ce qui représente 99 % des places dans les services de garde d'enfants de la province.

La réduction des frais est rétroactive au 1er janvier 2022. Les parents recevront donc un remboursement ou un crédit de leur centre de garde d'enfants pour le montant payé au-delà des nouveaux frais de janvier à mars. Le remboursement ou le crédit devrait être offert aux parents d'ici la fin du mois de mai.  

Les efforts se poursuivent en ce qui a trait à la stratégie de la Nouvelle-Écosse « Excellence dans l'éducation de la petite enfance », qui entraînera une augmentation des salaires et des avantages sociaux pour les éducatrices de la petite enfance dès l'automne.

Le gouvernement du Canada offre un investissement transformateur visant à bâtir un système d'apprentissage et de garde de jeunes enfants à l'échelle du Canada en collaboration avec ses partenaires provinciaux, territoriaux et autochtones. Presque toutes les provinces et tous les territoires du Canada, y compris la Nouvelle-Écosse, ont annoncé une réduction des frais de garde d'enfants ou offrent déjà des frais moyens de 10 $ par jour ou moins pour les services agréés de garde d'enfants.

Citations
« Cette réduction des frais de garde d'enfants est une étape importante vers l'atteinte de l'objectif visant à offrir des frais moyens de 10 $ par jour pour les services agréés d'apprentissage et de garde des jeunes enfants, ce qui apporte une aide véritable aux familles de toute la province. Nous continuerons à travailler avec le gouvernement de la Nouvelle-Écosse pour faire en sorte que les enfants aient accès aux services d'apprentissage et de garde de qualité, abordables et inclusifs dont ils ont besoin pour réussir. »
     - Karina Gould, ministre fédérale de la Famille, des Enfants et du Développement social

« Cette réduction de 25 % des frais de garde d'enfants me permettra d'économiser un bon montant d'argent chaque mois. Les avantages sont nombreux. J'ai moins d'inquiétudes du point de vue financier, ce qui réduit le stress et me permet d'être un meilleur parent, et les économies nous permettent de faire plus de choses que nous ne pouvions pas nous permettre de faire auparavant comme des voyages en famille, des contributions au REEE de mes enfants et des activités parascolaires. Ces occasions contribuent au développement de mes enfants directement et à long terme. » 
     - Kelly MacDonald, parent de deux jeunes enfants, comté de Cumberland

« Les familles sont au coeur de notre travail et je suis ravie de pouvoir leur offrir des économies considérables, en commençant par 25 %. Pour certaines familles qui utilisent les services du North End Daycare, les frais de garde d'enfants représentent la moitié de leur budget. Cette réduction permettra aux familles d'utiliser cet argent pour d'autres choses au profit de leurs enfants. »  
     - Karen Wright, directrice générale, North End Day Care

Faits en bref
-- La réduction de 25 % est la première étape dans la réduction des frais de garde d'enfants de 50 %, en moyenne, d'ici la fin de l'année 2022, et un pas vers l'atteinte de l'objectif d'offrir des frais moyens de 10 $ par jour d'ici au 31 mars 2026.
-- La réduction des frais pour les services agréés de garde d'enfants est basée sur les frais de 2019.
-- Les fournisseurs de services agréés de garde d'enfants reçoivent de l'aide financière supplémentaire cette année dans le cadre de leur entente de financement annuel, y compris du financement visant à compenser la réduction de 25 % des frais facturés aux parents, et une subvention ponctuelle à l'appui d'un gel des frais facturés aux parents qui est entré en vigueur en juillet 2021.

Ressources supplémentaires 
Explication des réductions des frais quotidiens : https://www.ednet.ns.ca/childcare

La Province crée une nouvelle table de consultation sur la petite enfance et invite les personnes intéressées à présenter une demande pour devenir membres. Les demandes doivent être soumises au plus tard le 8 avril à l'aide du formulaire en ligne : https://www.ednet.ns.ca/childcare.

-30-","https://novascotia.ca/news/release/?id=20220331003","2022-03-31T13:09:00.000"
"Education and Early Childhood Development","Families Will Pay Less for Child Care","EDUCATION/EARLY CHILDHOOD DEVELOPMENT--Families Will Pay Less for Child Care
---------------------------------------------------------
Families will see their fees for accessing licensed, funded child care reduced by 25 per cent, on average, starting Friday, April 1.

Through the Nova Scotia Canada-wide Early Learning and Child Care Agreement, parents will save anywhere between $3 and $10.50 per day, per child, based on the child’s age. 

“I’m incredibly excited to offer real savings to families across the province,” said Becky Druhan, Nova Scotia Minister of Education and Early Childhood Development. “This is the first fee reduction on our way to achieving $10 a day daycare, on average, for families by 2026 and a major step towards making child care more affordable and accessible for parents.” 

Parents will see the savings applied directly to their bills. Licensed centres that accept the 2022-23 annual funding agreement, which reflects the principles of the Canada-wide agreement, will be provided with full funding to offset the fee reduction. To date, 98 per cent of operators have signed the agreement, representing 99 per cent of child-care spaces in the province.

Reduced fees are applied retroactively to January 1, 2022, meaning parents will receive a cheque or credit from their child-care centre for amounts paid above the new rates from January to March. Parents can expect to see the retroactive funds by the end of May.  

Work continues on Nova Scotia’s Excellence in Early Childhood Education workforce strategy, which will result in higher wages and benefits for early childhood educators by this fall.

The Government of Canada is making a transformative investment to build a Canada-wide early learning and child-care system in partnership with provincial, territorial and Indigenous partners. Nearly all of Canada’s provinces and territories, including Nova Scotia, have either announced child-care fee reductions or have already achieved an average cost of $10-a-day or lower for regulated child care.

Quotes:
“This reduction in child-care fees is a meaningful step toward achieving regulated early learning and child care for an average of $10-a-day, making a real difference for families across the province. We will continue to work with the Government of Nova Scotia to help ensure that children have access to the high-quality, affordable, and inclusive early learning and child care they need to succeed.”
     - Karina Gould, federal Minister of Families, Children and Social Development

“The 25 per cent fee reduction is going to free a large amount of money each month that normally goes towards my daycare bill. The benefits are numerous - less financial worries alleviates stress which allows me to be a better parent, and the extra money allows us more opportunities to do things that we might not have been able to afford before like family trips, savings to contribute to my children's RESP, and extracurricular activities. These opportunities benefit my children's development directly and long-term.” 
     - Kelly MacDonald, parent of two young children, Cumberland County

“Families are at the heart of our work and I’m very excited that we will be able to pass down significant savings, starting with 25 per cent. For some of the families who attend North End Daycare, child-care costs take up to 50 per cent of their budget. This reduction will allow our families to use money for other things that benefit them and their children.”  
     - Karen Wright, Executive Director, North End Day Care

Quick Facts:
-- the 25 per cent reduction is an initial step in reducing child-care fees for Nova Scotian families by 50 per cent, on average, by the end of 2022, and in achieving an average of $10-a-day child care by March 31, 2026
-- the fee reductions in licensed, funded child-care centres are based on 2019 fees
-- licensed, funded child-care providers are receiving additional financial supports this year through their annual funding agreement, including funding to offset the 25 per cent fee reduction for parents and a one-time grant to support a freeze on parent fees that took effect in July 2021

Additional Resources:
A breakdown of daily fee reduction amounts can be found at: https://www.ednet.ns.ca/childcare

The Province is creating a new engagement table on child care and inviting interested Nova Scotians to apply to be members by April 8, using the online form at: https://www.ednet.ns.ca/childcare

-30-","https://novascotia.ca/news/release/?id=20220331002","2022-03-31T13:06:00.000"
"Community Services","Overnight Shelter in Halifax Extended","COMMUNITY SERVICES-- Overnight Shelter in Halifax Extended
-----------------------------------------------------------------
The Province will provide $195,000 to extend an emergency overnight shelter in Halifax until June 30 to ensure that people experiencing homelessness have a safe and warm place to sleep as cold weather continues. 

“We are pleased to invest in Brunswick Street Mission to ensure anyone who needs overnight shelter has a safe place to sleep,” said Karla MacFarlane, Minister of Community Services. “This will provide continuing support to people experiencing homelessness while we work on connecting people with more permanent supportive housing options.”

Twenty-five beds will be available at the Brunswick Street Mission from 9 p.m. until 8 a.m. from April 1 to June 30. This site replaces the temporary overnight shelter that has been operating at the Pavilion on the Halifax Common since March 1. 

Quotes:
“Brunswick Street Mission recognizes that an overnight shelter does not solve the housing crisis in Halifax. However, we know there is a need for a warm space that offers overnight comfort, and we are happy to step up and fill this need for our unhoused community.”
     - Derek Pace, Executive Director, Brunswick Street Mission

Quick Facts:
-- the shelter will be located at 2107 Brunswick St., Halifax
-- Brunswick Street Mission provides services for people who are homeless or at risk of homelessness, including a food bank and trustee services
-- as of March 29, there were 512 people in Halifax Regional Municipality experiencing homelessness according to the By-Name List maintained by the Affordable Housing Association of Nova Scotia

-30-","https://novascotia.ca/news/release/?id=20220331001","2022-03-31T09:56:00.000"
"Lieutenant-Governor","Une médaille commémorative créée pour le jubilé de platine de la reine","LIEUTENANT-GOUVERNEUR--Une médaille commémorative créée pour le jubilé de platine de la reine 
----------------------------------------------------------------
Le lieutenant-gouverneur Arthur J. LeBlanc a annoncé aujourd’hui 30 mars la création de la Médaille du jubilé de platine de la reine Elizabeth II (pour la Nouvelle-Écosse). 

Le programme de la médaille souligne le 70e anniversaire de l’accession au trône de la reine en 1952, un jalon sans précédent, et il rend hommage aux contributions et aux réalisations importantes des Néo-Écossaises et des Néo-Écossais.

« Sa Majesté a été un exemple du véritable sens du devoir. Le programme de la médaille du jubilé est une belle occasion de rendre hommage à des personnes remarquables de la Nouvelle-Écosse qui, tout comme Sa Majesté, se sont consacrées au service dans l’intérêt des gens, de leur collectivité et de leur pays, tout particulièrement durant la pandémie », a indiqué le lieutenant-gouverneur Arthur J. LeBlanc. 

Cinq mille médailles seront décernées dans la province d’ici le 5 février 2023. 

« C’est grâce à leur dévouement auprès des autres, à leur bonté et à leur bénévolat que les gens de la Nouvelle-Écosse contribuent chaque jour au mieux-être de leurs collectivités. Rendre hommage de cette manière au legs historique de la reine donne l’occasion de souligner ces contributions, de mettre à l’honneur nos nombreux liens avec la monarchie et d’attirer l’attention sur l’engagement communautaire qui est l’image de marque de notre manière de vivre en Nouvelle-Écosse », a renchéri le premier ministre Tim Houston. 

Le Secrétariat au protocole et aux honneurs du ministère des Affaires intergouvernementales, en collaboration avec le Bureau du lieutenant-gouverneur, administrera le programme. 

Le processus officiel de mise en nomination commencera le 1er mai. 

On trouvera ici des renseignements sur le programme de la médaille et sur les critères de mise en nomination : https://novascotia.ca/jubileemedal (en anglais seulement). 

Faits en bref
-- La cérémonie inaugurale de présentation de médailles est prévue le 2 juin 2022 pour coïncider avec des célébrations partout dans le Commonwealth ce jour-là. 
-- Le programme de la médaille prend pour modèle celui de la très populaire médaille du jubilé de diamant de la reine Elizabeth II qui a permis de rendre hommage à 3 800 personnes de la Nouvelle-Écosse en 2012. 

-30-","https://novascotia.ca/news/release/?id=20220330004","2022-03-30T15:30:00.000"
"Lieutenant-Governor","Commemorative Medal Created for Queen’s Platinum Jubilee","LIEUTENANT-GOVERNOR--Commemorative Medal Created for Queen’s Platinum Jubilee 
----------------------------------------------------------------
Lt.-Gov. Arthur J. LeBlanc announced the establishment of the Queen Elizabeth II’s Platinum Jubilee Medal (Nova Scotia) today, March 30.

The medal program marks the unprecedented 70th anniversary of the Queen’s accession to the throne in 1952 and honours significant contributions and achievements by Nova Scotians.

“The Queen has exemplified the true meaning of public service. The Platinum Jubilee Medal program is a welcome opportunity to celebrate outstanding Nova Scotians who, like Her Majesty, have dedicated themselves to service, community and country, particularly during the pandemic,” said Lt-Gov. LeBlanc.

Five thousand medals will be awarded across the province through February 5, 2023. 

“Nova Scotians make a difference in their communities every day through countless acts of public service, kindness and volunteerism. Honouring the Queen’s historic legacy in this way provides an opportunity to meaningfully recognize those contributions, mark our many cultural ties to the monarchy and celebrate the call to service that is a hallmark of our way of life in Nova Scotia,” said Premier Tim Houston. 

The Department of Intergovernmental Affairs’ Protocol and Honours Secretariat, in partnership with the Office of the Lieutenant-Governor, will administer the program. 

The formal nomination process begins May 1. 

Information about the medal program and nomination criteria is available at: https://novascotia.ca/jubileemedal

Quick Facts:
-- the inaugural presentation ceremony is planned for June 2 to coincide with Commonwealth-wide celebrations that day
-- the medal program is modelled on the highly successful Queen Elizabeth II’s Diamond Jubilee Medal, which saw 3,800 Nova Scotians recognized in 2012 

-30-","https://novascotia.ca/news/release/?id=20220330003","2022-03-30T15:30:00.000"
"Health and Wellness / Finance and Treasury Board","Rebate for Fertility Treatments, Surrogacy-related Medical Expenses","FINANCE/TREASURY BOARD/HEALTH/WELLNESS--Rebate for Fertility Treatments, Surrogacy-related Medical Expenses
------------------------------------------------------
Nova Scotians struggling to expand their families through fertility treatments and surrogacy will benefit from a new tax measure introduced in legislation today, March 30.

The Province will offer a refundable tax credit equal to 40 per cent of the cost of fertility treatments provided by a Nova Scotia-licensed medical practitioner or infertility treatment clinic and for surrogacy-related medical expenses. This measure makes Nova Scotia the first province in Canada to provide this kind of support for surrogacy.

“We recognize the struggle that hopeful parents face starting a family. Not only are infertility challenges extraordinarily stressful, but the cost of fertility treatments and surrogacy-related medical expenses are significant barriers,” said Michelle Thompson, Minister of Health and Wellness. “We’re so happy to help Nova Scotians realize their dreams of becoming parents by reducing the financial burden of fertility treatments and surrogacy-related medical expenses.”

The Nova Scotia Fertility and Surrogacy Rebate, part of Budget 2022-23, will provide coverage for people seeking assistance with parenthood, including from the 2SLGBTIQ+ community who previously had no option but to pay the full cost.

There is no limit on the number of treatments that an individual can claim, but the maximum annual claim is $20,000 in eligible costs for a maximum annual tax credit of $8,000.

The new assistance is reflected in an amendment to the Income Tax Act introduced today. More details will be released in due course.

Quotes:
“For those struggling with fertility, and for those who need to access fertility services in order to have a baby, there is a significant negative impact on their mental health, their productivity at work and at home, and also their relationships. The average cost of a single round of IVF in Canada is $20,000 and surrogacy costs are significantly higher, making it an unattainable medical procedure for many to access. This will enable thousands of Nova Scotians to access the care that they need in their province, in order to make their dream of starting a family a reality.”
     - Carolynn Dube, Executive Director, Fertility Matters Canada

Quick Facts:
-- if medically needed services are not offered in the province, a licensed practitioner in Nova Scotia can refer a patient elsewhere
-- Fertility Matters Canada estimates one in six Nova Scotians will face fertility challenges or will need to access fertility care

Additional Resources:
Bills tabled in the legislature this spring are available at: https://nslegislature.ca/legislative-business/bills-statutes/bills/assembly-64-session-1

More information on Budget 2022-23 is available at: https://novascotia.ca/budget/ 

Mandate letter of the Minister of Health and Wellness: https://novascotia.ca/exec_council/letters-2021/ministerial-mandate-letter-2021-DHW.pdf

Mandate letter of the Minister of Finance and Treasury Board: https://novascotia.ca/exec_council/letters-2021/ministerial-mandate-letter-2021-ECO,-FTB-GA-LR.pdf

-30-","https://novascotia.ca/news/release/?id=20220330002","2022-03-30T13:11:00.000"
"Fisheries and Aquaculture","Sportfishing Season Opens April 1","FISHERIES/AQUACULTURE--Sportfishing Season Opens April 1
----------------------------------------------------------------
Nova Scotians can enjoy sportfishing on one of the province’s many waterways when the 2022 season opens Friday, April 1.

“Sportfishing is a springtime tradition in our province – a very popular, healthy outdoor activity enjoyed by more Nova Scotians than ever before. Sportfishing also supports jobs and economic activity in our rural communities and is important to our tourism industries,” said Fisheries and Aquaculture Minister Steve Craig. “I remind anglers to think ‘safety first’ when enjoying time on the water. Please use appropriate catch and release techniques and limit harvests so this valuable sport remains sustainable.”

The sportfishing sector is steadily growing and currently generates about $85 million annually.

Sportfishing licences may be purchased at https://novascotia.ca/fish/sportfishing/ or in person at Department of Natural Resources and Renewables field offices and various retail vendors throughout the province.

Quotes: 
“The Nova Scotia Salmon Association is excited about the opening of the upcoming 2022 sportfishing season. We encourage all sportfishers to practice sound conservation methods such as catch and release and, if you have a chance, please take a kid fishing. Teaching a child to fish encourages an appreciation for nature, promotes a healthy lifestyle and teaches patience.”
      - Brent Locke, Executive Director, Nova Scotia Salmon Association

Quick Facts: 
-- in 2021, more than 78,000 sportfishing licences were sold – the highest participation since 1985 
-- the rules for the 2022 season are outlined in the Anglers’ Handbook and 2022 Summary of Regulations, which is supplied to purchasers of fishing licences and is also available online 

Additional Resources:
The Anglers’ Handbook and 2022 Summary of Regulations: https://beta.novascotia.ca/documents/anglers-handbook

Department of Natural Resources and Renewables offices: https://novascotia.ca/natr/staffdir/offices.asp   

Sportfishing licence vendors: https://beta.novascotia.ca/find-fishing-licence-sportfishing-vendor

Nova Scotia Salmon Association: https://www.nssalmon.ca/

-30-","https://novascotia.ca/news/release/?id=20220330001","2022-03-30T11:56:00.000"
"Finance and Treasury Board","Nova Scotia Budget 2022-23 Invests in Cape Breton Island","FINANCE/TREASURY BOARD--Nova Scotia Budget 2022-23 Invests in Cape Breton Island
----------------------------------------------------------------
Providing solutions to Nova Scotia’s most pressing challenges, including fixing healthcare, strategically growing the population and economy and investing in supports for Nova Scotia families and communities will benefit Cape Breton Island.

Today, March 29, Finance and Treasury Board Minister Allan MacMaster tabled Budget 2022-23: Solutions for Healthcare, Solutions for Nova Scotians.

“At its core, Budget 2022-23 is about people. It invests thoughtfully in the areas Nova Scotians care about most, while also planning for the needs of a province that is growing,” said Minister MacMaster.

With revenues of $12.7 billion and consolidated expenses of $13.2 billion, Budget 2022-23 estimates a deficit of $506.2 million. Spending in healthcare is estimated at $5.7 billion, an increase of $413.4 million from last year.

Highlights of 2022-23 investments that will benefit Cape Breton Island include:
-- continued investments in the Cape Breton Regional Municipality Healthcare Redevelopment project
-- new funding to make virtual care available to everyone on the Need a Family Practice Registry and expand the kind of care available through virtual care
-- two permanent mental health and addictions clinical assistants in Eastern Zone while psychiatrist recruitment continues
-- establishing an obesity clinic in Eastern Zone to better support surgical outcomes and wait times
-- 28 new nursing seats at Cape Breton University (CBU) and continued support for the nursing seats added in 2020
-- funding to expand operating room capacity in Cape Breton
-- funding for Hospice Cape Breton
-- continued school construction – Breton Education Centre, Glace Bay Elementary and Northside middle school
-- funding to continue the new Healthy Schools Grant for all public schools
-- $1 million toward the redesign and upgrade of Charlotte Street in Sydney to create a welcoming, accessible and green destination
-- Highland Village Redevelopment project
-- New Waterford Community Wellness Centre project
-- funding to continue the new Healthy Schools Grant for all public schools
-- expansion of the gravel road program and additional funding of $30 million for bridge repair and renewal
-- introduction of the More Opportunities for Skilled Trades program, which, starting in the 2022 tax year, will return provincial personal income tax paid on the first $50,000 of earnings for eligible people under the age of 30.

Solutions for Healthcare, Solutions for Nova Scotians builds on recent 2021-22 investments in Cape Breton, including a new Centre for Discovery and Innovation at CBU, funding to support CBU’s strategic health initiative and funding to support future growth and repairs at J.A. Douglas McCurdy Sydney Airport.

Quick Facts:
-- Budget 2022-23 contains $1.6 billion for capital projects, the largest single-year capital investment in the province’s history
-- the Capital Plan includes generational projects like the QEII New Generation and CBRM Healthcare Redevelopment projects and highway twinning
-- the budget also contains the final forecast for 2021-22, which updates the surplus to $107.7 million
-- additional appropriations related to the forecast, totalling $304.7 million, are required by seven departments and offices since the December forecast

Additional Resources:
To view the budget documents, visit: https://novascotia.ca/budget

-30-","https://novascotia.ca/news/release/?id=20220329006","2022-03-29T13:25:00.000"
"Finance and Treasury Board","Nova Scotia Budget 2022-23 Invests in Northern Nova Scotia","FINANCE/TREASURY BOARD--Nova Scotia Budget 2022-23 Invests in Northern Nova Scotia
----------------------------------------------------------------
Providing solutions to Nova Scotia’s most pressing challenges, including fixing healthcare, strategically growing the population and economy and investing in supports for Nova Scotia families and communities will benefit Northern Nova Scotia.

Today, March 29, Finance and Treasury Board Minister Allan MacMaster tabled Budget 2022-23: Solutions for Healthcare, Solutions for Nova Scotians.

“At its core, Budget 2022-23 is about people. It invests thoughtfully in the areas Nova Scotians care about most, while also planning for the needs of a province that is growing,” said Minister MacMaster.

With revenues of $12.7 billion and consolidated expenses of $13.2 billion, Budget 2022-23 estimates a deficit of $506.2 million. Spending in healthcare is estimated at $5.7 billion, an increase of $413.4 million from last year.

Highlights of 2022-23 investments that will benefit Northern Nova Scotia include:
-- continued work on the North Cumberland Health Centre in Pugwash
-- design work at Cumberland Regional Health Care Centre in Amherst
-- new funding to make virtual care available to everyone on the Need a Family Practice Registry and expand the kind of care available through virtual care
-- new residence for Nova Scotia Community College’s Pictou campus
-- construction work at the Nova Scotia Provincial Exhibition grounds in Bible Hill
-- upgrades to the C.A Douglas Grandstand at Truro Raceway
-- funding for continued work at Springhill Elementary School
-- funding to continue the new Healthy Schools Grant for all public schools
-- Highway 104 twinning from Sutherlands River to Antigonish
-- expansion of the gravel road program and additional funding of $30 million for bridge repair and renewal
-- introduction of the More Opportunities for Skilled Trades program, which, starting in the 2022 tax year, will return provincial personal income tax paid on the first $50,000 of earnings for eligible people under the age of 30.

Quick Facts:
-- Budget 2022-23 contains $1.6 billion for capital projects, the largest single-year capital investment in the province’s history
-- the Capital Plan includes generational projects like the QEII New Generation and CBRM Healthcare Redevelopment projects and highway twinning
-- the budget also contains the final forecast for 2021-22, which updates the surplus to $107.7 million
-- additional appropriations related to the forecast, totalling $304.7 million, are required by seven departments and offices since the December forecast

Additional Resources:
To view the budget documents, visit: https://novascotia.ca/budget

-30-","https://novascotia.ca/news/release/?id=20220329005","2022-03-29T13:24:00.000"
"Finance and Treasury Board","Nova Scotia Budget 2022-23 Invests in Central Nova Scotia","FINANCE/TREASURY BOARD--Nova Scotia Budget 2022-23 Invests in Central Nova Scotia
----------------------------------------------------------------
Providing solutions to Nova Scotia’s most pressing challenges, including fixing healthcare, strategically growing the population and economy and investing in supports for Nova Scotia families and communities will benefit Central Nova Scotia.

Today, March 29, Finance and Treasury Board Minister Allan MacMaster tabled Budget 2022-23: Solutions for Healthcare, Solutions for Nova Scotians.

“At its core, Budget 2022-23 is about people. It invests thoughtfully in the areas Nova Scotians care about most, while also planning for the needs of a province that is growing,” said Minister MacMaster.

With revenues of $12.7 billion and consolidated expenses of $13.2 billion, Budget 2022-23 estimates a deficit of $506.2 million. Spending in healthcare is estimated at $5.7 billion, an increase of $413.4 million from last year.

Highlights of 2022-23 investments that will benefit Central Nova Scotia include:
-- continued funding for the QEII New Generation project
-- new funding to enable 2,500 more surgeries, expand operating room hours and add 28 beds and staffing at Dartmouth General Hospital
-- funding to address surgery backlogs due to COVID-19 at IWK Health Centre
-- funding for more cataract surgeries
-- funding to open the province’s first mental health acute day hospital at the QEII Health Sciences Centre
-- new funding to make virtual care available to everyone on the Need a Family Practice Registry and expand the kind of care available through virtual care
-- 26 new nursing seats at Dalhousie University
-- funding to support the work of the joint planning task force on housing in Halifax Regional Municipality
-- capital funding for planning, design and construction of new Nova Scotia Community College residences, including at the Akerley and Ivany campuses, to address local housing issues
-- funding to continue the new Healthy Schools Grant for all public schools
-- introduction of the More Opportunities for Skilled Trades program, which, starting in the 2022 tax year, will return provincial personal income tax paid on the first $50,000 of earnings for eligible people under the age of 30
-- continued funding for the Highway 102 Aerotech Connector and Highway 107 Sackville-Bedford-Burnside Connector.

Quick Facts:
-- Budget 2022-23 contains $1.6 billion for capital projects, the largest single-year capital investment in the province’s history
-- the Capital Plan includes generational projects like the QEII New Generation and CBRM Healthcare Redevelopment projects and highway twinning
-- the budget also contains the final forecast for 2021-22, which updates the surplus to $107.7 million
-- additional appropriations related to the forecast, totalling $304.7 million, are required by seven departments and offices since the December forecast

Additional Resources:
To view the budget documents, visit: https://novascotia.ca/budget

-30-","https://novascotia.ca/news/release/?id=20220329004","2022-03-29T13:23:00.000"
"Finance and Treasury Board","Nova Scotia Budget 2022-23 Invests in Valley Region","FINANCE/TREASURY BOARD--Nova Scotia Budget 2022-23 Invests in Valley Region
----------------------------------------------------------------
Providing solutions to Nova Scotia’s most pressing challenges, including fixing healthcare, strategically growing the population and economy and investing in supports for Nova Scotia families and communities, will benefit the Valley region.

Today, March 29, Finance and Treasury Board Minister Allan MacMaster tabled Budget 2022-23: Solutions for Healthcare, Solutions for Nova Scotians.

“At its core, Budget 2022-23 is about people. It invests thoughtfully in the areas Nova Scotians care about most, while also planning for the needs of a province that is growing,” said Minister MacMaster.

With revenues of $12.7 billion and consolidated expenses of $13.2 billion, Budget 2022-23 estimates a deficit of $506.2 million. Spending in healthcare is estimated at $5.7 billion, an increase of $413.4 million from last year.

Highlights of 2022-23 investments that will benefit the Valley region include:
-- new funding to make virtual care available to everyone on the Need a Family Practice Registry and expand the kind of care available through virtual care
-- additional funding for Valley Hospice
-- more support for efforts to recruit healthcare professionals
-- Kentville Justice Centre renovations
-- Highway 101 twinning from Three Mile Plains to Falmouth
-- creation of an African Nova Scotian Affairs regional office in Digby
-- funding to continue the new Healthy Schools Grant for all public schools
-- expansion of the gravel road program and additional funding of $30 million for bridge repair and renewal
-- introduction of the More Opportunities for Skilled Trades program, which, starting in the 2022 tax year, will return provincial personal income tax paid on the first $50,000 of earnings for eligible people under the age of 30

Quick Facts:
-- Budget 2022-23 contains $1.6 billion for capital projects, the largest single-year capital investment in the province’s history
-- the Capital Plan includes generational projects like the QEII New Generation and CBRM Healthcare Redevelopment projects and highway twinning
-- the budget also contains the final forecast for 2021-22, which updates the surplus to $107.7 million
-- additional appropriations related to the forecast, totalling $304.7 million, are required by seven departments and offices since the December forecast

Additional Resources:
To view the budget documents, visit: https://novascotia.ca/budget

-30-","https://novascotia.ca/news/release/?id=20220329003","2022-03-29T13:21:00.000"
