"implementation_year","school_board","school_number","school_name","address_1","community","province","postal_code","telephone","fax","email","georeference"
"2017-18","Strait Regional Centre for Education","1160","St. Mary's Education Centre/Academy","121 Old Rd Hill","Sherbrooke","Nova Scotia","B0J 3C0","902-522-2035","902-522-2336","mike.macisaac@srce.ca","POINT (-61.972413 45.150439)"
"2018-19","Strait Regional Centre for Education","936","Tamarac Education Centre","57 Tamarac Dr","Port Hawkesbury","Nova Scotia","B9A 3G2","902-625-6650","902-625-6654","melaniem.macdonald@srce.ca","POINT (-61.339502 45.622392)"
"2018-19","Strait Regional Centre for Education","388","Whycocomagh Education Centre","50 Norman McLeod Rd","Whycocomagh","Nova Scotia","B0E 3M0","902-756-2441","902-756-3882","rick.welton@srce.ca","POINT (-61.125282 45.972061)"
"2019-20","Chignecto Central Regional Centre for Education","639","A. G. Baillie Memorial School","477 Victoria Ave Ext.","New Glasgow","Nova Scotia","B2H 1X1","902-755-8240","902-755-8255","mcneilap@ccrce.ca","POINT (-62.657203 45.595085)"
"2020-21","Chignecto Central Regional Centre for Education","248","Advocate District School","3521 Highway 209","Advocate","Nova Scotia","B0M 1A0","902-392-3400","902-392-3401","DickinsonD@ccrce.ca","POINT (-64.788232 45.34086)"
"2017-18","Chignecto Central Regional Centre for Education","1194","Bible Hill Consolidated School","103 Pictou Road","Truro","Nova Scotia","B2N 2S2","902-896-5511","902-896-5516","FougereKJ@ccrce.ca","POINT (-63.259464 45.375883)"
"2018-19","Chignecto Central Regional Centre for Education","16","Brookfield Elementary School","233 Highway 289","Brookfield","Nova Scotia","B0N 1C0","902-673-5050","902-673-5052","WeatherbeeKL@ccrce.ca","POINT (-63.265065 45.25708)"
"2018-19","Chignecto Central Regional Centre for Education","27","Chiganois Elementary School","11145 Hwy 2","Masstown","Nova Scotia","B0M 1G0","902-662-4420","902-662-4422","HarnishK@ccrce.ca","POINT (-63.466347 45.384338)"
"2018-19","Chignecto Central Regional Centre for Education","14","Cobequid Consolidated Elementary School","2998 Highway 236","Old Barns","Nova Scotia","B6L 1K3","902-896-5560","902-896-5565","McInnisND@ccrce.ca","POINT (-63.385396 45.35036)"
"2019-20","Chignecto Central Regional Centre for Education","36","Cobequid District Elementary School","8993 Highway 354","Noel","Nova Scotia","B0N 2C0","902-369-2960","902-369-2961","EikelenboomN@ccrce.ca","POINT (-63.746788 45.292051)"
"2019-20","Chignecto Central Regional Centre for Education","1104","Cumberland North Academy","879 Highway 204","Brookdale","Nova Scotia","B4H 3Y1","902-661-2464","902-661-2438","WellsK@ccrce.ca","POINT (-64.157401 45.801407)"
"2018-19","Chignecto Central Regional Centre for Education","230","Cyrus Eaton Elementary School","171 Queen Street","Pugwash","Nova Scotia","B0K 1L0","902-243-3900","902-243-3903","WellsSE@ccrce.ca","POINT (-63.660195 45.853112)"
"2018-19","Chignecto Central Regional Centre for Education","28","Debert Elementary School","1320 Masstown Road","Debert","Nova Scotia","B0M 1G0","902-662-4400","902-662-4404","fultzs@ccrce.ca","POINT (-63.460125 45.437532)"
"2020-21","Chignecto Central Regional Centre for Education","408","Dr. W. A. MacLeod Consolidated","6193 Stellarton Trafalgar Road","Riverton","Nova Scotia","B0K 1S0","902-755-8450","902-755-8455","StaceyRL@ccrce.ca","POINT (-62.665093 45.541829)"
"2020-21","Chignecto Central Regional Centre for Education","31","Elmsdale District Elementary School","75 MacMillan Drive","Elmsdale","Nova Scotia","B2S 1A5","902-883-5350","902-883-5353","LangilleLD@ccrce.ca","POINT (-63.523525 44.960086)"
"2020-21","Chignecto Central Regional Centre for Education","30","Enfield District School","29 Catherine Street","Enfield","Nova Scotia","B2T 1L4","902-883-5300","902-883-5302","knolt@ccrce.ca","POINT (-63.528931 44.952963)"
"2018-19","Chignecto Central Regional Centre for Education","414","F. H. MacDonald Academy","123 School Rd","Thorburn","Nova Scotia","B0K 1W0","902-922-3805","902-922-3820","DoyleNM@ccrce.ca","POINT (-62.508409 45.59257)"
"2020-21","Chignecto Central Regional Centre for Education","665","G. R. Saunders Elementary School","71 Bridge Avenue","Stellarton","Nova Scotia","B0K 1S0","902-755-8230","902-755-8238","cormierel@ccrce.ca","POINT (-62.665161 45.562129)"
"2020-21","Chignecto Central Regional Centre for Education","26","Great Village Elementary School","8849 Highway 2","Great Village","Nova Scotia","B0M 1L0","902-668-6500","902-668-6506","kennedyka@ccrce.ca","POINT (-63.596285 45.412331)"
"2020-21","Chignecto Central Regional Centre for Education","1145","Harmony Heights Elementary","25 Cedar Drive","Truro","Nova Scotia","B2N 5W3","902-896-5798","902-897-8922","fitzgeraldd@ccrce.ca","POINT (-63.248374 45.363002)"
"2017-18","Chignecto Central Regional Centre for Education","15","Hilden Elementary School","1737 Truro Road","Hilden","Nova Scotia","B0N 1C0","902-896-5750","902-896-5751","KaulbachL@ccrce.ca","POINT (-63.289032 45.307892)"
"2017-18","Chignecto Central Regional Centre for Education","661","Junction Road Elementary School","19 Junction Road","Springhill","Nova Scotia","B0M 1X0","902-597-4240","902-597-4247","MaddisonAlickS@ccrce.ca","POINT (-64.057753 45.652615)"
"2018-19","Chignecto Central Regional Centre for Education","38","Kennetcook District Elementary School","4369 Highway 236","Kennetcook","Nova Scotia","B0N 1P0","902-362-3300","902-362-3303","PeverilMF@ccrce.ca","POINT (-63.716453 45.181197)"
"2020-21","Chignecto Central Regional Centre for Education","949","Maple Ridge Elementary School","1066 Hwy 2","Lantz","Nova Scotia","B2S 1M8","902-883-5361","902-883-5360","IsenorR@ccrce.ca","POINT (-63.488336 44.983268)"
"2020-21","Chignecto Central Regional Centre for Education","971","McCulloch Education Centre","350 Wellington St","Pictou","Nova Scotia","B0K 1H0","902-485-7991","902-485-7992","macdonaldos@ccrce.ca","POINT (-62.709857 45.687404)"
"2017-18","Chignecto Central Regional Centre for Education","1189","New Glasgow Academy","93 Albert Street","New Glasgow","Nova Scotia","B2H 5W8","902-755-8400","902-755-8438","FrancisA@ccrce.ca","POINT (-62.637793 45.587241)"
"2017-18","Chignecto Central Regional Centre for Education","9","North River Elementary School","80 Mountain Lee Road","North River","Nova Scotia","B6L 6M2","902-896-5530","902-896-5532","bishopameroha@ccrce.ca","POINT (-63.263064 45.400818)"
"2018-19","Chignecto Central Regional Centre for Education","231","Northport Consolidated Elementary School","7110 Highway 366","Northport","Nova Scotia","B0L 1E0","902-661-2490","902-661-2491","TrenholmA@ccrce.ca","POINT (-63.871803 45.941223)"
"2018-19","Chignecto Central Regional Centre for Education","1151","Oxford Regional Education Centre","249 Lower Main St","Oxford","Nova Scotia","B0M 1P0","902-447-4513","902-447-4517","StarrattD@ccrce.ca","POINT (-63.863141 45.738851)"
"2019-20","Chignecto Central Regional Centre for Education","649","Parrsboro Regional Elementary School","43 School St","Parrsboro","Nova Scotia","B0M 1S0","902-254-5605","902-254-5609","collinsonn@ccrce.ca","POINT (-64.327969 45.405355)"
"2018-19","Chignecto Central Regional Centre for Education","39","Rawdon District Elementary School","3713 Highway 354","Upper Rawdon","Nova Scotia","B0N 2N0","902-632-6660","902-632-6662","noddinm@ccrce.ca","POINT (-63.710987 45.070033)"
"2018-19","Chignecto Central Regional Centre for Education","251","River Hebert District School","2843 Barronsfield Rd.","River Hebert","Nova Scotia","B0L 1G0","902-251-3200","902-251-3210","SpenceD@ccrce.ca","POINT (-64.377985 45.692545)"
"2019-20","Chignecto Central Regional Centre for Education","441","Salt Springs Elementary School","2080 West River Station Road","Pictou Co","Nova Scotia","B0K 1P0","902-925-6000","902-925-6006","NelsonRD@ccrce.ca","POINT (-62.892456 45.532369)"
"2019-20","Chignecto Central Regional Centre for Education","4","Scotsburn Elementary School","4100 Scotsburn Road","Scotsburn","Nova Scotia","B0K 1R0","902-485-7980","902-485-7981","McCarronG@ccrce.ca","POINT (-62.856434 45.653811)"
"2017-18","Chignecto Central Regional Centre for Education","34","Shubenacadie District Elementary School","54 Mill Village Rd","Shubenacadie","Nova Scotia","B0N 2H0","902-758-4600","902-758-4608","HarveyC@ccrce.ca","POINT (-63.413287 45.087378)"
"2020-21","Chignecto Central Regional Centre for Education","1105","Spring Street Academy","59 Spring Street","Amherst","Nova Scotia","B4H 1S4","902-661-2499","902-661-2431","JanesH@ccrce.ca","POINT (-64.202732 45.831667)"
"2019-20","Chignecto Central Regional Centre for Education","1195","Tatamagouche Regional Academy","92 Blair Ave","Tatamagouche","Nova Scotia","B0K 1V0","902-657-6235","902-657-6210","HolmesB@ccrce.ca","POINT (-63.298645 45.713455)"
"2018-19","Chignecto Central Regional Centre for Education","428","Thorburn Consolidated School","13 New Row","Thorburn","Nova Scotia","B0K 1W0","902-922-3840","902-922-3844","barkersp@ccrce.ca","POINT (-62.563033 45.561594)"
"2017-18","Chignecto Central Regional Centre for Education","692","Trenton Elementary School","1 Sixth Street","Trenton","Nova Scotia","B0K 1X0","902-755-8460","902-755-8466","FortuneM@ccrce.ca","POINT (-62.633541 45.616165)"
"2020-21","Chignecto Central Regional Centre for Education","1146","Truro Elementary School","125 Curtis Drive","Truro","Nova Scotia","B2N 0C5","902-896-5755","902-896-5786","LyndsJN@ccrce.ca","POINT (-63.284127 45.34726)"
"2019-20","Chignecto Central Regional Centre for Education","40","Uniacke District School","551 Highway 1","Mount Uniacke","Nova Scotia","B0N 1Z0","902-866-5100","902-866-5105","KingJL2@ccrce.ca","POINT (-63.823825 44.887241)"
"2018-19","Chignecto Central Regional Centre for Education","18","Upper Stewiacke Elementary School","5327 Highway 289","Upper Stewiacke","Nova Scotia","B0N 2P0","902-671-3000","902-671-3002","TaitKA@ccrce.ca","POINT (-62.994956 45.219582)"
"2020-21","Chignecto Central Regional Centre for Education","12","Valley Elementary School","96 Salmon River Road","Valley","Nova Scotia","B6L 2S5","902-896-5540","902-896-5544","WallK@ccrce.ca","POINT (-63.204264 45.393131)"
"2018-19","Chignecto Central Regional Centre for Education","227","Wallace Consolidated Elementary School","3853 Highway 307","Wallace","Nova Scotia","B0K 1Y0","902-257-6100","902-257-6102","DornDG@ccrce.ca","POINT (-63.472817 45.812171)"
"2018-19","Chignecto Central Regional Centre for Education","3","Walter Duggan Consolidated School","2370 Spring Garden Road","Westville","Nova Scotia","B0K 2A0","902-396-2700","902-396-2707","SlaterA@ccrce.ca","POINT (-62.718884 45.569044)"
"2019-20","Chignecto Central Regional Centre for Education","29","West Colchester Consolidated School","27 Maple Ave.","Bass River","Nova Scotia","B0M 1B0","902-647-3500","902-647-3505","HumeK@ccrce.ca","POINT (-63.780168 45.415014)"
"2017-18","Chignecto Central Regional Centre for Education","662","West End Memorial School","77 McGee Street","Springhill","Nova Scotia","B0M 1X0","902-597-4242","902-597-4248","hoarp@ccrce.ca","POINT (-64.065205 45.641025)"
"2017-18","Chignecto Central Regional Centre for Education","1190","West Highlands Elementary School","18 Maltby Court","Amherst","Nova Scotia","B4H 2L6","902-661-2420","902-661-2440","RiouxK@ccrce.ca","POINT (-64.211431 45.8183)"
"2019-20","Chignecto Central Regional Centre for Education","407","West Pictou Consolidated School","1999 Highway 376","Pictou","Nova Scotia","B0K 1H0","902-485-7960","902-485-7966","TurnerCA@ccrce.ca","POINT (-62.795265 45.657268)"
"2018-19","Chignecto Central Regional Centre for Education","1148","Winding River Consolidated","272 Kitchener Street","Stewiacke","Nova Scotia","B0N 2J0","902-639-3199","902-639-3196","OakleyC@ccrce.ca","POINT (-63.329959 45.134379)"
"2017-18","Halifax Regional Centre for Education","512","Admiral Westphal Elementary","6 Fourth Street","Dartmouth","Nova Scotia","B2X 3A5","902-435-8305","902-435-1749","awes@hrce.ca","POINT (-63.54535 44.686077)"
"2019-20","Halifax Regional Centre for Education","513","Alderney Elementary","2 Penhorn Drive","Dartmouth","Nova Scotia","B2Y 3K1","902-464-2040","902-464-2686","alderney@hrce.ca","POINT (-63.546125 44.679481)"
"2020-21","Halifax Regional Centre for Education","317","Ash Lee Jefferson Elementary","10 Lockview Road","Fall River","Nova Scotia","B2T 1J1","902-860-4163","902-860-4191","aljs@hrce.ca","POINT (-63.615865 44.817675)"
"2020-21","Halifax Regional Centre for Education","739","Astral Drive Elementary","236 Astral Drive","Dartmouth","Nova Scotia","B2V 1B8","902-462-8500","902-462-8600","ade@hrce.ca","POINT (-63.480598 44.654699)"
"2018-19","Halifax Regional Centre for Education","425","Atlantic Memorial Terence Bay Elementary","3591 Prospect Road","Shad Bay","Nova Scotia","B3T 1Z3","902-852-2166","902-852-5514","amtb@hrce.ca","POINT (-63.77577 44.522842)"
"2019-20","Halifax Regional Centre for Education","326","Atlantic View Elementary","3391 Lawrencetown Road","Lawrencetown","Nova Scotia","B2Z 1R5","902-464-5245","902-464-5246","atvs@hrce.ca","POINT (-63.376196 44.668431)"
"2020-21","Halifax Regional Centre for Education","104","Basinview Drive Community","273 Basinview Drive","Bedford","Nova Scotia","B4A 3X8","902-832-8450","902-832-8461","bdcs@hrce.ca","POINT (-63.67882 44.723357)"
"2020-21","Halifax Regional Centre for Education","304","Beaver Bank Kinsac Elementary","28 Kinsac Road","Beaver Bank","Nova Scotia","B4G 1C5","902-864-6805","902-864-6809","bbks@hrce.ca","POINT (-63.684036 44.84853)"
"2020-21","Halifax Regional Centre for Education","752","Beaver Bank Monarch Drive Elementary","38 Monarch Drive","Beaver Bank","Nova Scotia","B4E 3A5","902-864-7540","902-864-7543","bbmon@hrce.ca","POINT (-63.681481 44.810744)"
"2020-21","Halifax Regional Centre for Education","937","Bedford South","2 Oceanview Drive","Bedford","Nova Scotia","B4A 4J6","902-832-5800","902-832-5805","bedfords@hrce.ca","POINT (-63.679919 44.708968)"
"2020-21","Halifax Regional Centre for Education","291","Beechville Lakeside Timberlea Junior Elementary","22 James Street","Timberlea","Nova Scotia","B3T 1G9","902-876-3236","902-876-3238","bltjr@hrce.ca","POINT (-63.742293 44.659033)"
"2020-21","Halifax Regional Centre for Education","514","Bel Ayr Elementary","4 Bell Street","Dartmouth","Nova Scotia","B2W 2P3","902-435-8353","902-435-8373","belayr@hrce.ca","POINT (-63.50735 44.675983)"
"2019-20","Halifax Regional Centre for Education","322","Bell Park Academic Centre","4 Thomas Street","Lake Echo","Nova Scotia","B3E 1M6","902-829-2388","902-829-2402","bpac@hrce.ca","POINT (-63.403502 44.732214)"
"2018-19","Halifax Regional Centre for Education","515","Bicentennial","85 Victoria Road","Dartmouth","Nova Scotia","B3A 1T9","902-464-2094","902-464-2098","bicent@hrce.ca","POINT (-63.570857 44.671207)"
"2018-19","Halifax Regional Centre for Education","519","Brookhouse Elementary","15 Christopher Avenue","Dartmouth","Nova Scotia","B2W 3G2","902-435-8318","902-435-8323","bes@hrce.ca","POINT (-63.52195 44.679747)"
"2019-20","Halifax Regional Centre for Education","595","Burton Ettinger Elementary","52 Alex Street","Halifax","Nova Scotia","B3N 2W4","902-457-8922","902-457-8928","bees@hrce.ca","POINT (-63.6363 44.652363)"
"2019-20","Halifax Regional Centre for Education","319","Caldwell Road Elementary","280 Caldwell Road","Dartmouth","Nova Scotia","B2V 1A3","902-462-6010","902-462-6017","cres@hrce.ca","POINT (-63.492712 44.660536)"
"2019-20","Halifax Regional Centre for Education","312","Caudle Park Elementary","35 McGee Drive","Lower Sackville","Nova Scotia","B4C 2J1","902-864-6864","902-864-6896","cpes@hrce.ca","POINT (-63.663046 44.765805)"
"2019-20","Halifax Regional Centre for Education","743","Cavalier Drive","116 Cavalier Drive","Lower Sackville","Nova Scotia","B4C 3L9","902-864-7524","902-864-7554","cds@hrce.ca","POINT (-63.662085 44.778328)"
"2018-19","Halifax Regional Centre for Education","611","Central Spryfield","364 Herring Cove Road","Halifax","Nova Scotia","B3R 1V8","902-479-4286","902-479-4295","cses@hrce.ca","POINT (-63.617663 44.611613)"
"2018-19","Halifax Regional Centre for Education","596","Chebucto Heights Elementary","230 Cowie Hill Road","Halifax","Nova Scotia","B3P 2M3","902-479-4298","902-479-4408","ches@hrce.ca","POINT (-63.623847 44.629746)"
"2017-18","Halifax Regional Centre for Education","352","Colby Village Elementary","92 Colby Drive","Dartmouth","Nova Scotia","B2V 1J7","902-464-5152","902-464-5154","cves@hrce.ca","POINT (-63.484835 44.666148)"
"2020-21","Halifax Regional Centre for Education","339","Colonel John Stuart Elementary","5 John Stewart Drive","Cole Harbour","Nova Scotia","B2W 4J7","902-464-5200","902-464-5247","cjses@hrce.ca","POINT (-63.478997 44.6739)"
"2020-21","Halifax Regional Centre for Education","517","Crichton Park Elementary","49 Lyngby Avenue","Dartmouth","Nova Scotia","B3A 3V1","902-464-2503","902-464-2770","crichton@hrce.ca","POINT (-63.564166 44.682806)"
"2020-21","Halifax Regional Centre for Education","1193","Dartmouth South Academy","111 Prince Arthur Avenue","Dartmouth","Nova Scotia","B2Y 0C5","902-464-2081","902-461-0199","dsa@hrce.ca","POINT (-63.548562 44.664906)"
"2019-20","Halifax Regional Centre for Education","601","Duc dAnville Elementary","12 Clayton Park Drive","Halifax","Nova Scotia","B3M 1L3","902-457-8940","902-457-8945","ddes@hrce.ca","POINT (-63.645568 44.662496)"
"2018-19","Halifax Regional Centre for Education","343","Dutch Settlement Elementary","990 Highway 277","Dutch Settlement","Nova Scotia","B2S 2J5","902-883-3000","902-883-3001","dses@hrce.ca","POINT (-63.440343 44.991961)"
"2018-19","Halifax Regional Centre for Education","283","East St Margarets Elementary","8671 Peggys Cove Road","Indian Harbour","Nova Scotia","B3Z 3P5","902-823-2463","902-823-2232","estm@hrce.ca","POINT (-63.936379 44.521855)"
"2019-20","Halifax Regional Centre for Education","614","Elizabeth Sutherland","66 Rockingstone Road","Halifax","Nova Scotia","B3R 2C9","902-479-4427","902-479-4430","ess@hrce.ca","POINT (-63.618623 44.60401)"
"2018-19","Halifax Regional Centre for Education","599","Fairview Heights Elementary","210 Coronation Avenue","Halifax","Nova Scotia","B3N 2N3","902-457-8953","902-457-8957","fhes@hrce.ca","POINT (-63.64888 44.650594)"
"2018-19","Halifax Regional Centre for Education","731","George Bissett Elementary","170 Arklow Drive","Dartmouth","Nova Scotia","B2W 4R6","902-464-5184","902-464-5187","gbes@hrce.ca","POINT (-63.487234 44.678036)"
"2018-19","Halifax Regional Centre for Education","602","Grosvenor Wentworth Park Elementary","4 Downing Street","Halifax","Nova Scotia","B3M 2G4","902-457-8422","902-457-8430","gwp@hrce.ca","POINT (-63.668629 44.685564)"
"2020-21","Halifax Regional Centre for Education","306","Hammonds Plains Consolidated","2180 Hammonds Plains Road","Hammonds Plains","Nova Scotia","B4B 1M5","902-832-8412","902-832-8420","hpcs@hrce.ca","POINT (-63.790139 44.73452)"
"2017-18","Halifax Regional Centre for Education","521","Harbour View Elementary","25 Alfred Street","Dartmouth","Nova Scotia","B3A 4E8","902-464-2051","902-464-2282","hves@hrce.ca","POINT (-63.589114 44.681047)"
"2019-20","Halifax Regional Centre for Education","296","Harrietsfield Elementary","1150 Old Sambro Road","Harrietsfield","Nova Scotia","B3V 1B1","902-479-4230","902-479-4235","hes@hrce.ca","POINT (-63.634878 44.569058)"
