"account_name","nsbi_sector","deal_type","nsbi_financial_contribution","place_name","nsbi_county","postalcode","fiscal_year","longitude","latitude","geocoded_column"
"Unleash Surf Inc.","Travel & Accommodation","Business Development Program","5000","Halifax","Halifax Regional Municipality","B3K3S3","2018 - 2019","-63.590597","44.655797","POINT (-63.59059700000001 44.655797)"
"THE WELL - CREATIVE CONSULTANTS INC.","ICT (includes Digital Media)","Business Development Program","15000","Upper Tantallon","Halifax Regional Municipality","B3Z4R3","2018 - 2019","-63.86772","44.69243","POINT (-63.86772 44.69243)"
"BMC Seafoods Ltd","Fish & Seafood Processing","Business Development Program","3200","Meteghan","Digby","B0W2J0","2018 - 2019","-66.258852","44.158134","POINT (-66.258852 44.158134)"
"Atlantic Institute for Resilience Inc.","Life Sciences","Business Development Program","13750","Halifax","Halifax Regional Municipality","B3H1Y4","2018 - 2019","-63.585161","44.640827","POINT (-63.585161 44.640827)"
"Cribcut","ICT (includes Digital Media)","Business Development Program","7500","Halifax","Halifax Regional Municipality","B3J3R7","2018 - 2019","-63.57614729","44.65208895","POINT (-63.57614729000001 44.65208895)"
"Sealand Building Group Inc","Advanced Manufacturing","Business Development Program","22500","Halifax","Halifax Regional Municipality","B4B1G2","2018 - 2019","-63.741086","44.724533","POINT (-63.741085999999996 44.724533)"
"Keeping Roads Safe Technologies Inc","ICT (includes Digital Media)","Business Development Program","2850","Bedford","Halifax Regional Municipality","B4B1H1","2018 - 2019","-63.710231","44.722456","POINT (-63.710231 44.722456)"
"Tony's Meats Ltd","Agri-food","Business Development Program","5980","Antigonish","Antigonish","B2G2L2","2018 - 2019","-61.944846","45.654903","POINT (-61.944846000000005 45.654903)"
"Stark International Inc","Energy","Business Development Program","7500","New Glasgow","Pictou","B2H2T3","2018 - 2019","-62.6438518","45.58895964","POINT (-62.6438518 45.58895964)"
"Made with Local Snack Foods Inc.","Agri-food","Business Development Program","15750","Dartmouth","Halifax Regional Municipality","B2Y2V9","2018 - 2019","-63.568797","44.669949","POINT (-63.568797 44.669949)"
"BioMedica Diagnostics Inc","Life Sciences","Business Development Program","13500","Windsor","Hants","B0N2T0","2018 - 2019","-64.318054","44.819594","POINT (-64.318054 44.819594)"
"InterTalk Critical Information Systems Inc","ICT (includes Digital Media)","Business Development Program","14850","Dartmouth","Halifax Regional Municipality","B3B1J4","2018 - 2019","-63.611144","44.704132","POINT (-63.61114400000001 44.704132)"
"Bend Beauty Inc.","Life Sciences","Business Development Program","10000","Halifax","Halifax Regional Municipality","B3J1C7","2018 - 2019","-63.577291","44.639639","POINT (-63.577291 44.639639)"
"Hanatech IOT Inc.","ICT (includes Digital Media)","Business Development Program","15000","Bedford","Halifax Regional Municipality","B4A1E8","2018 - 2019","-63.655971","44.733116","POINT (-63.65597100000001 44.733116)"
"Made with Local Snack Foods Inc.","Agri-food","Business Development Program","2100","Dartmouth","Halifax Regional Municipality","B2Y2V9","2018 - 2019","-63.568797","44.669949","POINT (-63.568797 44.669949)"
"Chocolate Hackers","Agri-food","Business Development Program","375","Halifax","Halifax Regional Municipality","B3K2H7","2018 - 2019","-63.604915","44.665088","POINT (-63.604915 44.665088)"
"Terra Beata","Agri-food","Business Development Program","5500","Bridgewater","Lunenburg","B0J2C0","2018 - 2019","-64.309889","44.37635","POINT (-64.309889 44.37635)"
"DBR Resources LTD.","Business Services","Business Development Program","7469","Waverley","Halifax Regional Municipality","B2R1T3","2018 - 2019","-63.598026","44.785742","POINT (-63.598026 44.785742)"
"Grey Lit Matters Inc","ICT (includes Digital Media)","Business Development Program","7560","Halifax","Halifax Regional Municipality","B3P1A8","2018 - 2019","-63.608219","44.630968","POINT (-63.60821899999999 44.630968)"
"DynaGen Technologies Incorporated","Advanced Manufacturing","Business Development Program","14775","Dartmouth","Halifax Regional Municipality","B3B1W8","2018 - 2019","-63.579683","44.70058","POINT (-63.57968300000001 44.70058)"
"Classic Fine Foods","Agri-food","Business Development Program","4597","Edwardsville","Cape Breton","B2A4S6","2018 - 2019","-60.22160264","46.15678026","POINT (-60.22160264 46.15678026)"
"Spark Engagement Inc","Business Services","Business Development Program","15000","Antigonish","Antigonish","B2G2L2","2018 - 2019","-61.944846","45.654903","POINT (-61.944846000000005 45.654903)"
"Marcato Digital Solutions Inc","ICT (includes Digital Media)","Business Development Program","9975","Sydney","Cape Breton","B1P6J1","2018 - 2019","-60.224927","46.083533","POINT (-60.224927 46.083533)"
"EfficiencyOne Services Inc","Business Services","Business Development Program","2875","Dartmouth","Halifax Regional Municipality","B3B1G5","2018 - 2019","-63.605171","44.69816","POINT (-63.605171 44.69816)"
"3231974 NOVA SCOTIA LIMITED o/a Do Lobster","Fish & Seafood Processing","Business Development Program","7250","Eastern Passage","Halifax Regional Municipality","B3G1M4","2018 - 2019","-63.494322","44.612474","POINT (-63.494322 44.612474)"
"Bereda Training Inc.","ICT (includes Digital Media)","Business Development Program","15000","Halifax","Halifax Regional Municipality","B3J3K5","2018 - 2019","-63.572554","44.644489","POINT (-63.572554 44.644489)"
"Iris Booth Incorporated","Business Services","Business Development Program","8000","Halifax","Halifax Regional Municipality","B3K2Z8","2018 - 2019","-63.581653","44.651755","POINT (-63.581652999999996 44.651755)"
"Densitas Inc","ICT (includes Digital Media)","Business Development Program","15000","Halifax","Halifax Regional Municipality","B3H3Z1","2018 - 2019","-63.59645","44.637136","POINT (-63.59645 44.637136)"
"Atlantic Sea Cucumber Ltd","Fish & Seafood Processing","Business Development Program","15000","Hacketts Cove","Halifax Regional Municipality","B3Z3K7","2018 - 2019","-63.757708","44.662435","POINT (-63.757708 44.662435)"
"Rx Security Inc.","Advanced Manufacturing","Business Development Program","15000","Bedford","Halifax Regional Municipality","B4A2T3","2018 - 2019","-63.646705","44.737949","POINT (-63.646705 44.73794900000001)"
"Tangled Garden","Agri-food","Business Development Program","5700","Grand Pre","Kings","B0P1M0","2018 - 2019","-64.285653","45.095031","POINT (-64.285653 45.095031)"
"Advanced Glazings Ltd","Advanced Manufacturing","Business Development Program","15000","Sydney","Cape Breton","B1P6R7","2018 - 2019","-60.19332","46.143671","POINT (-60.19332000000001 46.143671)"
"Benjamin Bridge Vineyards","Agri-food","Business Development Program","6000","Wolfville","Kings","B4P2R1","2018 - 2019","-64.403589","45.013938","POINT (-64.403589 45.013938)"
"Rotofast Inc","Advanced Manufacturing","Business Development Program","9075","Cape Breton","Cape Breton","B1P4L8","2018 - 2019","-60.183097","46.129316","POINT (-60.183097000000004 46.129316)"
"Novate Systems Inc.","Engineering & Professional","Business Development Program","7000","Dartmouth","Halifax Regional Municipality","B3B1P7","2018 - 2019","-63.61637086","44.70527104","POINT (-63.616370859999996 44.70527104)"
"Safety Made Easy Basic Training","Business Services","Business Development Program","4250","New Glasgow","Pictou","B2H2B9","2018 - 2019","-62.655446","45.58971","POINT (-62.655446000000005 45.58971)"
"Allendale Electronics Ltd","Advanced Manufacturing","Business Development Program","12306","Lockeport","Shelburne","B0T1L0","2018 - 2019","-65.12347","43.71839","POINT (-65.12347 43.71839)"
"Bend Beauty Inc.","Life Sciences","Business Development Program","15000","Halifax","Halifax Regional Municipality","B3J1C7","2018 - 2019","-63.577291","44.639639","POINT (-63.577291 44.639639)"
"MindSea Development Incorporated","ICT (includes Digital Media)","Business Development Program","25000","Halifax","Halifax Regional Municipality","B3J3M8","2018 - 2019","-63.5727","44.647395","POINT (-63.572700000000005 44.647395)"
"Just Us! Coffee Roasters Co-op Ltd","Agri-food","Business Development Program","2500","Wolfville","Kings","B4P2R3","2018 - 2019","-64.348807","45.068884","POINT (-64.348807 45.068884)"
"Site 2020 Inc.","ICT (includes Digital Media)","Business Development Program","25000","Dartmouth","Halifax Regional Municipality","B3B1L3","2018 - 2019","-63.595664","44.704755","POINT (-63.595664000000006 44.704755)"
"Athletigen Technologies Inc","Life Sciences","Business Development Program","25000","Halifax","Halifax Regional Municipality","B3J1G1","2018 - 2019","-63.57539255","44.64341829","POINT (-63.575392550000004 44.64341829)"
"Spring Loaded Technology Incorporated","Life Sciences","Business Development Program","25000","Halifax","Halifax Regional Municipality","B3K1P5","2018 - 2019","-63.596475","44.653518","POINT (-63.59647499999999 44.653518)"
"Boondoc Technologies Inc (The Rounds)","ICT (includes Digital Media)","Business Development Program","8063","Halifax","Halifax Regional Municipality","B3K4X5","2018 - 2019","-63.611268","44.662185","POINT (-63.611268 44.662185)"
"Dragon Veterinary Canada Limited","ICT (includes Digital Media)","Business Development Program","15000","Bedford","Halifax Regional Municipality","B4A1H4","2018 - 2019","-63.674559","44.711731","POINT (-63.67455900000001 44.711731)"
"The 7 Virtues Beauty Inc","Advanced Manufacturing","Business Development Program","15000","Halifax","Halifax Regional Municipality","B3H1B1","2018 - 2019","-63.574296","44.624597","POINT (-63.57429599999999 44.624597)"
"902HipHop Inc.","ICT (includes Digital Media)","Business Development Program","15000","Halifax","Halifax Regional Municipality","B3K4N7","2018 - 2019","-63.594931","44.654736","POINT (-63.59493100000001 44.654736)"
"Sales Beacon","ICT (includes Digital Media)","Business Development Program","6000","Brooklyn","Lunenburg","B0J1H0","2018 - 2019","-64.710851","44.055473","POINT (-64.710851 44.055473)"
"MetOcean Telematics Limited","Oceans Technology","Business Development Program","24750","Dartmouth","Halifax Regional Municipality","B3B1R9","2018 - 2019","-63.595049","44.699403","POINT (-63.595049 44.699403)"
"Peace by Chocolate Inc.","Agri-food","Business Development Program","15000","Antigonish","Antigonish","B2G2G8","2018 - 2019","-61.97936724","45.62856001","POINT (-61.97936724 45.62856001)"
"Blue Harbour Cheese Incorporated","Agri-food","Business Development Program","3750","Halifax","Halifax Regional Municipality","B3K4S7","2018 - 2019","-63.611255","44.665687","POINT (-63.611255 44.665687)"
"Novonix Battery Testing Services Inc","Energy","Business Development Program","15000","Bedford","Halifax Regional Municipality","B4B1H1","2018 - 2019","-63.710231","44.722456","POINT (-63.710231 44.722456)"
"InnovaSea Marine Systems Canada Inc DBA Vemco","ICT (includes Digital Media)","Business Development Program","15000","Hammonds Plains","Halifax Regional Municipality","B4B1L9","2018 - 2019","-63.754376","44.700635","POINT (-63.75437600000001 44.700635)"
"Current Studios Inc","ICT (includes Digital Media)","Export Growth Program","8713","Halifax","Halifax Regional Municipality","B3J3X8","2018 - 2019","-63.576767","44.64669","POINT (-63.57676699999999 44.64669)"
"Live Stor Sydney Limited","Business Services","Export Growth Program","1730","Sydney","Cape Breton","B1L1B8","2018 - 2019","-60.23984215","46.12185596","POINT (-60.23984215 46.12185596)"
"R&G Strategic Inc","Business Services","Export Growth Program","3375","Halifax","Halifax Regional Municipality","B3K5J7","2018 - 2019","-63.59056367","44.64722055","POINT (-63.59056367 44.64722055)"
"Scope Digital Media","Film Production","Export Growth Program","1718","Antigonish","Antigonish","B2G2K8","2018 - 2019","-62.101446","45.551584","POINT (-62.10144600000001 45.551584)"
"Skye Larke Productions Limited","Film Production","Export Growth Program","5175","River John","Pictou","B0K1N0","2018 - 2019","-63.041939","45.747988","POINT (-63.041939000000006 45.747988)"
"Talem Health Analytics Inc","Life Sciences","Export Growth Program","4150","Sydney","Cape Breton","B1R1L8","2018 - 2019","-60.218301","46.14076562","POINT (-60.218301 46.14076562)"
"Digital Cinema Labs Inc.","Film Production","Export Growth Program","1600","Halifax","Halifax Regional Municipality","B3H2V1","2018 - 2019","-63.573651","44.632871","POINT (-63.573651 44.632871)"
"Grey Lit Matters Inc","ICT (includes Digital Media)","Export Growth Program","875","Halifax","Halifax Regional Municipality","B3P1A8","2018 - 2019","-63.608219","44.630968","POINT (-63.60821899999999 44.630968)"
"Roswall Development Incorporated","Energy","Export Growth Program","9200","Halifax","Halifax Regional Municipality","B3M2L3","2018 - 2019","-63.66099","44.683287","POINT (-63.660990000000005 44.683287)"
"EcoPilot Canada Inc.","Engineering & Professional","Export Growth Program","5520","Halifax","Halifax Regional Municipality","B3J3L7","2018 - 2019","-63.575048","44.649083","POINT (-63.575048 44.649083)"
"Made with Local Snack Foods Inc.","Agri-food","Export Growth Program","500","Dartmouth","Halifax Regional Municipality","B2Y2V9","2018 - 2019","-63.568797","44.669949","POINT (-63.568797 44.669949)"
"Accomplice Content Supply Co., Inc.","Film Production","Export Growth Program","5418","Halifax","Halifax Regional Municipality","B3K4C6","2018 - 2019","-63.593146","44.655027","POINT (-63.593146 44.655027000000004)"
"Beyond Food Inc.","Agri-food","Export Growth Program","4717","Dartmouth","Halifax Regional Municipality","B3B1W2","2018 - 2019","-63.580528","44.698469","POINT (-63.580528 44.698469)"
"Chain-Yard Cider Inc","Agri-food","Export Growth Program","2209","Halifax","Halifax Regional Municipality","B3K4C8","2018 - 2019","-63.593851","44.655519","POINT (-63.593851 44.655519)"
"Content Bloom Inc","ICT (includes Digital Media)","Export Growth Program","2105","Bedford","Halifax Regional Municipality","B4A1C6","2018 - 2019","-63.669301","44.724611","POINT (-63.66930099999999 44.724611)"
"East Coast School of Languages (ECSL)","Business Services","Export Growth Program","7206","Halifax","Halifax Regional Municipality","B3J1V6","2018 - 2019","-63.571891","44.646015","POINT (-63.571891 44.646015000000006)"
"Eli Technology","ICT (includes Digital Media)","Export Growth Program","15000","Halifax","Halifax Regional Municipality","B3H2R9","2018 - 2019","-63.573015","44.636975","POINT (-63.573015000000005 44.636975)"
"GeoNavo Positioning Systems Inc","ICT (includes Digital Media)","Export Growth Program","7350","Hammonds Plains","Halifax Regional Municipality","B4B2B8","2018 - 2019","-63.800164","44.734087","POINT (-63.800164 44.734087)"
"InterTalk Critical Information Systems Inc","ICT (includes Digital Media)","Export Growth Program","15939","Dartmouth","Halifax Regional Municipality","B3B1J4","2018 - 2019","-63.611144","44.704132","POINT (-63.61114400000001 44.704132)"
"Jaza Energy Inc.","Energy","Export Growth Program","15650","Halifax","Halifax Regional Municipality","B3L1Y9","2018 - 2019","-63.606168","44.655819","POINT (-63.606168000000004 44.655819)"
"Just Us! Coffee Roasters Co-op Ltd","Agri-food","Export Growth Program","4051","Wolfville","Kings","B4P2R3","2018 - 2019","-64.348807","45.068884","POINT (-64.348807 45.068884)"
"Kula Partners Inc.","Business Services","Export Growth Program","1665","Halifax","Halifax Regional Municipality","B3J3X8","2018 - 2019","-63.576767","44.64669","POINT (-63.57676699999999 44.64669)"
"Lisa Young Lee Inc.","Creative Industries","Export Growth Program","3350","North Sydney","Cape Breton","B2A2S1","2018 - 2019","-60.251151","46.208616","POINT (-60.251151 46.208616)"
"McFadgen's Bakery Limited","Agri-food","Export Growth Program","507","Glace Bay","Cape Breton","B1A3V6","2018 - 2019","-59.95500857","46.20367769","POINT (-59.95500857 46.20367769)"
"Mercator Geological Services Limited","Mining & Mineral Products","Export Growth Program","2187","Dartmouth","Halifax Regional Municipality","B2Y1G4","2018 - 2019","-63.566451","44.666973","POINT (-63.566451 44.666973)"
"Mobia Technology Innovations","ICT (includes Digital Media)","Export Growth Program","25000","Dartmouth","Halifax Regional Municipality","B3B0B3","2018 - 2019","-63.591479","44.7091","POINT (-63.591479 44.7091)"
"Pictou Twist Pictures Inc","Film Production","Export Growth Program","5575","Halifax","Halifax Regional Municipality","B3J1J7","2018 - 2019","-63.573178","44.645217","POINT (-63.573178 44.645217)"
"PitchPerfect Software Inc. operating as Proposify","ICT (includes Digital Media)","Export Growth Program","25000","Halifax","Halifax Regional Municipality","B3J2A2","2018 - 2019","-63.573726","44.646512","POINT (-63.573726 44.646512)"
"RIMOT.IO Inc","ICT (includes Digital Media)","Export Growth Program","2533","Dartmouth","Halifax Regional Municipality","B2Y4M9","2018 - 2019","-63.542698","44.660305","POINT (-63.542698 44.660305)"
"Sand To Sky Productions","Film Production","Export Growth Program","3287","Blind Bay","Halifax Regional Municipality","B3Z1M2","2018 - 2019","-63.757708","44.662427","POINT (-63.757708 44.662427)"
"Seafoam Lavender Company","Agri-food","Export Growth Program","1240","River John","Pictou","B0K1N0","2018 - 2019","-63.041939","45.747988","POINT (-63.041939000000006 45.747988)"
"Shift","Business Services","Export Growth Program","1300","Head Of St Margarets Bay","Halifax Regional Municipality","B3Z1X8","2018 - 2019","-63.919943","44.680846","POINT (-63.91994300000001 44.68084600000001)"
"Site 2020 Inc.","ICT (includes Digital Media)","Export Growth Program","7050","Dartmouth","Halifax Regional Municipality","B3B1L3","2018 - 2019","-63.595664","44.704755","POINT (-63.595664000000006 44.704755)"
"Steinhart Distillery Limited","Agri-food","Export Growth Program","5550","Antigonish","Antigonish","B2G2L1","2018 - 2019","-62.155396","45.566847","POINT (-62.155396 45.566847)"
"Synclavier Digital Corporation Ltd.","ICT (includes Digital Media)","Export Growth Program","2382","D'Escousse","Cape Breton","B0E1K0","2018 - 2019","-61.010749","45.53269","POINT (-61.010749 45.53269)"
"Ultra Electronics Maritime Systems","Advanced Manufacturing","Export Growth Program","1662","Dartmouth","Halifax Regional Municipality","B2Y4N2","2018 - 2019","-63.545652","44.649583","POINT (-63.545652 44.649583)"
"Waterstar Entertainment Inc.","Film Production","Export Growth Program","3412","Halifax","Halifax Regional Municipality","B3H2V2","2018 - 2019","-63.573653","44.632873","POINT (-63.57365300000001 44.632873)"
"Waycobah Contracting Incorporated","Fish & Seafood Processing","Export Growth Program","1730","Whycocomagh","Inverness","B0E3M0","2018 - 2019","-60.965235","46.081461","POINT (-60.965235 46.081461)"
"Afishionado Fish Mongers Inc","Fish & Seafood Processing","Export Growth Program","6132","Bedford","Halifax Regional Municipality","B4A4J8","2018 - 2019","-63.653467","44.723596","POINT (-63.653467000000006 44.723596)"
"Bluedrop Training & Simulation Inc.","Aerospace & Defence","Export Growth Program","2192","Halifax","Halifax Regional Municipality","B3S1N2","2018 - 2019","-63.669584","44.656068","POINT (-63.66958400000001 44.656068000000005)"
"Compass Distillers","Agri-food","Export Growth Program","1027","Halifax","Halifax Regional Municipality","B3K4C4","2018 - 2019","-63.592367","44.654497","POINT (-63.59236700000001 44.654497)"
"Fourth State Energy Incorporated","Energy","Export Growth Program","15000","Halifax","Halifax Regional Municipality","B3J2L4","2018 - 2019","-63.632286","44.654755","POINT (-63.63228600000001 44.654755)"
"Iris Booth Incorporated","Business Services","Export Growth Program","7100","Halifax","Halifax Regional Municipality","B3K2Z8","2018 - 2019","-63.581653","44.651755","POINT (-63.581652999999996 44.651755)"
"Keeping Roads Safe Technologies Inc","ICT (includes Digital Media)","Export Growth Program","6400","Bedford","Halifax Regional Municipality","B4B1H1","2018 - 2019","-63.710231","44.722456","POINT (-63.710231 44.722456)"
"Muwin Estate Wines Ltd","Agri-food","Export Growth Program","4850","New Ross","Lunenburg","B0J2M0","2018 - 2019","-63.916747","44.706544","POINT (-63.91674700000001 44.706544)"
"The Soap Company of Nova Scotia Ltd","Advanced Manufacturing","Export Growth Program","1800","Sherbrooke","Guysborough","B0J3C0","2018 - 2019","-62.026841","45.193706","POINT (-62.026841 45.193706)"
"Topsail Productions Ltd.","Film Production","Export Growth Program","2500","Halifax","Halifax Regional Municipality","B3J1J7","2018 - 2019","-63.573178","44.645217","POINT (-63.573178 44.645217)"
"2 Crows Brewing Ltd","Agri-food","Export Growth Program","2775","Halifax","Halifax Regional Municipality","B3J2G7","2018 - 2019","-63.578146","44.649349","POINT (-63.578146 44.64934900000001)"
"Baie Run Pet Products Inc","Agri-food","Export Growth Program","5212","Halifax","Halifax Regional Municipality","B3J3N2","2018 - 2019","-63.57606155","44.65201157","POINT (-63.57606155 44.65201157)"
"Cartoon Conrad Productions Inc","ICT (includes Digital Media)","Export Growth Program","8411","Beaver Bank","Halifax Regional Municipality","B4G1C5","2018 - 2019","-63.691467","44.853799","POINT (-63.69146700000001 44.853799)"
"Fit First Holdings Inc.","Business Services","Export Growth Program","5050","Dartmouth","Halifax Regional Municipality","B3B1X2","2018 - 2019","-63.595848","44.710189","POINT (-63.595848 44.710189)"
"Imaginal Ventures Inc.","Engineering & Professional","Export Growth Program","794","Halifax","Halifax Regional Municipality","B3K5T9","2018 - 2019","-63.590281","44.662753","POINT (-63.59028099999999 44.662753)"
"JusNova Agriculture Ltd","Agri-food","Export Growth Program","3550","Halifax","Halifax Regional Municipality","B3M1N1","2018 - 2019","-63.641789","44.66397","POINT (-63.641788999999996 44.66397)"
"Skinfix Inc","Advanced Manufacturing","Export Growth Program","15000","Halifax","Halifax Regional Municipality","B3J1R9","2018 - 2019","-63.570552","44.645084","POINT (-63.570552 44.645084)"
"Stark International Inc","Energy","Export Growth Program","2000","New Glasgow","Pictou","B2H2T3","2018 - 2019","-62.6438518","45.58895964","POINT (-62.6438518 45.58895964)"
"Stratigro Business Consulting","Business Services","Export Growth Program","2775","Meteghan","Digby","B0W2J0","2018 - 2019","-66.258852","44.158134","POINT (-66.258852 44.158134)"
"4Deep Inwater Imaging","Oceans Technology","Export Growth Program","1800","Halifax","Halifax Regional Municipality","B4B1G2","2018 - 2019","-63.741086","44.724533","POINT (-63.741085999999996 44.724533)"
"Blois Fish Processing Automation Limited","Fish & Seafood Processing","Export Growth Program","850","Dartmouth","Halifax Regional Municipality","B2V2S7","2018 - 2019","-63.476576","44.653288","POINT (-63.47657600000001 44.653288)"
"Maritime Gourmet Mushrooms Inc","Agri-food","Export Growth Program","2202","Halifax","Halifax Regional Municipality","B3M3Y8","2018 - 2019","-63.667551","44.676453","POINT (-63.66755100000001 44.676453)"
"Steinhart Distillery Limited","Agri-food","Export Growth Program","1175","Antigonish","Antigonish","B2G2L1","2018 - 2019","-62.155396","45.566847","POINT (-62.155396 45.566847)"
"Ven-Rez Products Ltd","Advanced Manufacturing","Export Growth Program","3492","Shelburne","Shelburne","B0T1W0","2018 - 2019","-65.41816","43.66134","POINT (-65.41816 43.66134000000001)"
"Atlantic Flight Attendant Academy","Business Services","Export Growth Program","3000","Halifax","Halifax Regional Municipality","B3H3Y4","2018 - 2019","-63.593557","44.632239","POINT (-63.593557 44.632239000000006)"
"Breton Brewing Co","Agri-food","Export Growth Program","3000","Sydney","Cape Breton","B1R1V7","2018 - 2019","-60.229829","46.116106","POINT (-60.229829 46.116106)"
"Lunenburg County Shipwrights Inc.","Advanced Manufacturing","Export Growth Program","2278","Bridgewater","Lunenburg","B0J2C0","2018 - 2019","-64.309889","44.37635","POINT (-64.309889 44.37635)"
"Raised Performance Media Inc.","Business Services","Export Growth Program","3662","Halifax","Halifax Regional Municipality","B3J2A4","2018 - 2019","-63.574131","44.647278","POINT (-63.574131 44.647278)"
"SalesRight Technologies Inc","ICT (includes Digital Media)","Export Growth Program","750","Halifax","Halifax Regional Municipality","B3J3K5","2018 - 2019","-63.572554","44.644489","POINT (-63.572554 44.644489)"
"Sayle Group Inc","Business Services","Export Growth Program","4925","Hammonds Plains","Halifax Regional Municipality","B4B1W8","2018 - 2019","-63.777975","44.757498","POINT (-63.777975 44.757498)"
"Youx Systems Inc.","ICT (includes Digital Media)","Export Growth Program","512","Halifax","Halifax Regional Municipality","B3S1N5","2018 - 2019","-63.67319911","44.66025623","POINT (-63.673199110000006 44.66025623)"
"6 Joe's Software Inc.","ICT (includes Digital Media)","Export Growth Program","11000","Halifax","Halifax Regional Municipality","B3J3K5","2018 - 2019","-63.572554","44.644489","POINT (-63.572554 44.644489)"
"Barrelling Tide Distillery","Agri-food","Export Growth Program","1700","Port Williams","Kings","B0P1T0","2018 - 2019","-64.362715","45.159695","POINT (-64.36271500000001 45.159695)"
