"producer","contact_name","street_address","city","province","postal_code","phone","fax","email","website","hours","brands"
"Authentic Seacoast Distilling Ltd",,"80 Main Street","Guysborough","Nova Scotia","B0H 1N0",,,,,,
"Avon Community Farmers' Market","Karen Cooper","78 Thomas Street","Windsor","Nova Scotia","B0N 2T0","1 (902) 579-7652",,"avoncommunitymarket@gmail.com","http://www.avoncommunitymarket.weebly.com/about-us.html","Sunday, 10am to 2pm",
"Avondale Sky Winery & Restaurant","Leann Grosvold","80 Avondale Cross Road","Newport Landing","Nova Scotia","B0N 2A0","1 (902) 253-2047","1 (902) 253-2057","info@avondalewine.ca","http://www.avondalesky.com","See Description",
"Baddeck Farmers Market",,"526 Chebucto Street","Baddeck","Nova Scotia","B0E 1B0",,,"baddeckmarket@gmail.com","http://www.baddeckfarmersmarket.com","Wednesdays 11am to 2pm from mid-June to mid-October",
"Bandha Bar",,"6390 Cork St","Halifax","Nova Scotia","B3L 1Z2","(902) 403-3530",,"info@bandhabar.com","http://www.bandhabar.com",,
"Barrington Florist","902 423 9912","1505 Barrington Street","Halifax","Nova Scotia",,,,"barringtonflorist@gmail.com","http://www.barringtonflorist.ca","9 am to 4:30 pm",
"Barteaux Farms","Dwayne Barteaux","806 Moschelle, Hwy 201","Annapolis Royal","Nova Scotia","B0S 1A0","1 (902) 532-2951",,"barteauxfarms@ns.sympatico.ca",,"9 to 5, Seven days a week during the season.   For strawberry U-pick, please call ahead for hours and season of operation.",
"Bayview Poultry Farms Ltd.","Glen Jennings","948 Shore Rd","Debert","Nova Scotia","B0M 1G0","(902) 662-2489","(902) 662-2445",,,,
"Beautiful Hill Farm","Jim and Rhonda Kaine","3512 Hwy 252","Mabou","Nova Scotia","B0E 1X0","1 (902) 945-2425",,"rhondak18@live.com",,"June-November: We are at the Baddeck Market every Wednesday from 11-2 or come right to the farm Tuesday-Saturday (10am-5pm) For CSA's:Drop-off locations",
"Beavercreek Winery","Les & Paulette Wade","496 Carleton Rd","Lawrencetown","Nova Scotia","B0S 1M0","1 (902) 825-9463",,"cherryfarmer@hotmail.com",,"Evenings & weekends",
"Bee Happy Farm","Iris Kedmi","1904 Baddeck Forks Rd.","Baddeck","Nova Scotia","B0E1B0","1 (902) 818-8504",,"info@beehappyfarm.ca","http://www.beehappyfarm.ca",,
"Bentley's Maple","Avard/Jean Bentley","12 Valley Road","Westchester Station",,"B0M 2A0","1 (902) 548-2973","1 (902) 548-2833","jbentley@ns.sympatico.ca",,,"Avard Bentley Maple Products"
"Big Cove Foods",,"120 Big Cove Rd","Thorburn","Nova Scotia","b0k 1w0","1 (902) 921-1600",,"bigcovefoods@gmail.com","http://www.bigcovefoods.com",,
"Billy Stick Food Limited","Bill Toulany, Owner","3221 Hwy 7","Lake Echo",,"B3E 1B2","1 (902) 829-3332","1 (902) 829-2322","bill@billystickfood.com","http://www.billystickfood.com",,"Billy Stick Food"
"Black River Maple Products","Neal Livingston","249 MacLellans Rd.  Riverville","Mabou","Nova Scotia","B0E 1X0","(902) 258-3354",,"neall@ns.sympatico.ca",,"Call beforehand and arrange to purchase syrup and for pick-up.",
"Blomidon Farms",,"2830 Hwy 221, Dempsey Corner","King's County","Nova Scotia","B0P 1C0","(902) 847-0872",,"blomidon@ns.sympatico.ca",,,
"Blomidon Produce Ltd.","Laurie Hennigar, Roy Beckett","1770 Middle Dyke Road","Centerville","Nova Scotia","B0P 1J0","(902) 582-1373",,"nannybuddy@xcountry.tv",,,"Blomidon"
"Blomindon Estate Winery",,"10318 Highway 221","Habitant","Nova Scotia","B0P 1H0","1 (902) 582-7565",,"retail@blomidonwine.ca","http://blomidonwine.ca/","Our retail shop is open from 10am -5pm Mondays thru Saturdays and from 12pm - 5pm on Sundays",
"Blue Barn Farms",,"1800 Hammonds Plains Rd.","Halifax",,"B4B 1P5","1 (902) 499-3399",,"info@bluebarn.ca","http://www.bluebarn.ca",,
"Blueberry Acres","Margie Brown","1225 Middle Dyke Road","Centreville","Nova Scotia","B0P 1J0",,,"mbrown@mycountrymagic.com","http://www.mycountrymagic.com","9 to 5 daily, 7 days a week in August through Labour Day Monday; closed on Mondays after Labour Day",
"Blue Harbour Cheese","Lyndell Findlay","3555 Robie Street","Halifax","Nova Scotia","B3K 4S7","1 (902) 240-0305",,"findlay@blueharbourcheese.com",,"Open Year Round",
"Boates Farm","F. Keith Boates, Brian Boates","432 Bligh Road","Woodville","Nova Scotia","B0P 1G0","(902) 678-7301","1 (902) 678-0771","bb@xcountry.tv","http://www.boatesfarm.ca","U-Pick apples and pears usually opening Labour Day weekend.   For all U-picks please call ahead for hours, season of operation and availability.","Boates"
"Bob Ansem's U-Pick",,"1949 Lakewood Road","Centerville",,"B0P 1J0","(902) 679-0757",,,,"For all U-picks please call ahead for hours and season of operation.",
"Bonny Lea Farm/Herb Garden",,"5 Collicutt Rd. Hwy 14","Chester","Nova Scotia","B0J 1J0","1 (902) 275-5622","1 (902) 275-2567",,"http://www.chesterbound.com/bonnylea",,
"Bonnymans' Wild Blueberries","Angus Bonnyman","19 Pine Street","Tatamagouche","Nova Scotia","B0K 1V0","1 (902) 956-3629",,"nswildblueberries@gmail.com","http://www.facebook.com/NSWildblueberries","Fresh in season (August), frozen year 'round.  We also operate a spray-free wild blueberry u-pick in the third weekend in August   Please check our Facebook page for crop updates and events:  www.facebook.com/NSWildblueberries    Our spray-free wild blueberries are also available from the Grainery Food Co-op and we make regular deliveries to HRM",
"Bosveld's Fruit Farm","Hank or Dirk Bosveld","183 Lamont Road","Lakeville",,"B4N 3V7","1 (902) 678-8767 x902","1 (902) 678-1257","bosveld@auracom.com",,"8am - 6pm. The U-pick is for Strawberries only.   For all U-picks please call ahead for hours and season of operation.",
"Boulangerie La Vendéenne","David Unterweger","500 Highway 325","Blockhouse","Nova Scotia","B0J1E0","(902) 531-3090",,"boulangerie@eastlink.ca",,"Thursday - Sunday: 7am - 5pm",
"Bountywoods Farm","Marvin Weber","10580 Highway 215","South Maitland","Nova Scotia","B0N 2H0","1 (902) 261-2077",,"marvin@bountywoodsfarm.ca","http://www.bountywoodsfarm.ca","May to October 9:00 am - 6:00 pm Tuesday - Saturday",
"Boxing Rock Brewing Company",,"78 Ohio Road","Shelburne","Nova Scotia","B0T1W0","1 (902) 494-9233",,"info@boxingrock.ca","http://www.boxingrock.ca","Tuesday - Saturday, 12 - 6 pm (Oct-May) 7 days a week, 11-7pm (May-Oct)",
"Bramble Corner Produce","Rob Smith","1584 Victoria Rd","Aylesford","Nova Scotia","B0P 1C0","1 (902) 847-3589",,"bramblecornerproduce@yahoo.ca",,"09:00am to 5:00pm or by appointment",
"Bras d'Or Producers","John Eyking","312 Millville Hwy.","Cape Breton",,"B1Y 2E3","(902) 674-2777","(902) 674-2004",,,,
"Bridgewater Farmers' Market Association","Rita Landgraf","685 King Street","Bridgewater","Nova Scotia","BV4 1A3","1 (902) 527-7870",,"info@bridgewaterfarmersmarket.ca","http://www.bridgewaterfarmersmarket.ca","Saturdays, 9 am -1 pm  June to Thanksgiving",
"Brie's Glen farm","Sue MacKay","161 och Lomond Rd","Grand River","Nova Scotia","B0E1M0","(902) 587-2868",,"briesglenfarm@gmail.com",,,
"Broadfork Farm","Shannon Jones and Bryan Dyck","3630 Boars Back Road","River Hebert","Nova Scotia","B0L 1G0","1 (902) 251-2686",,"broadforkfarm@gmail.com","http://www.broadforkfarm.com","Open April to Nov, Please call us to confirm availability.",
"Bruce Family Farm",,"3144 Hwy 201","Centrelea","Nova Scotia","B0S 1C0","(902) 665-2119",,,"http://www.brucefamilyfarm.com","Products available at Annapolis Royal Farmers and Traders Market. Available in many health food stores, call or visit website for locations.   Beef Community Shared Agriculture (CSA) program delivers a monthly share of 10 lbs of different beef cuts. Visit website for details.",
"Bushmann Free Range BIO Farm","Peter","2622 Riverside Rd.","Cleveland",,"B0E 1J0","1 (902) 625-3231",,"pb@nova-scotia.org","http://www.propertyandmore.com","Open Year-Round on Saturdays 1-5 or call ahead",
"Canning Village Meat Market",,"9820 Main Street","Canning",,"B0P 1H0","1 (902) 582-3777",,"nancy.roscoe@ns.sympatico.ca","http://www.villagemeatmarket.ca",,
"Cape Breton Craft & Design Gallery",,"322 Charlotte Street","Sydney","Nova Scotia",,,,,,,
"Cape Breton Farmers' Market Cooperative","Diane MacLean","340 Keltic Drive","Sydney River","Nova Scotia","B1R 1V7",,,"manager@capebretonfarmersmarket.com","http://capebretonfarmersmarket.com/","Saturdays 8:30 am - 1 pm, Year-round",
"Cape North Farmers Market","Claudia Gahlinger","United Church (Masonic) Hall, 60 Bay St. Lawrence Road","Cape North",,,"1 (902) 383-2198",,"claudia.gahlinger@gmail.com",,"Saturdays, 10 am to 1 pm Mid-June to Mid-October",
"Carol Pounder Art","Carol Pounder",,,"Nova Scotia",,,,"carolpounderart@gmail.com","http://www.carolpounderart.com",,
"Casa Nova Fine Beverages",,"2635 Clementsvale Rd.","Bear River","Nova Scotia","B0S 1B0","1 (902) 467-0363",,,"https://www.casanovafinebeverages.com",,
"Casey Fisheries Limited","Linda Walker","146 Water Street","Digby",,"B0V 1A0","(902) 245-5801",,"caseyfisheries@hotmail.com",,"Monday - Friday 8-4 Call in Advance  Clams - shucked Meats and shell Stock (Steamers)",
"Casson Family Farm",,"523 Mountain Rd, RR # 2","Tatamagouche","Nova Scotia","B0K 1V0","(902) 657-0446",,"marcuscasson@hotmail.com",,"A wide variety of vegetables are grown in four greenhouses and six acres of field garden. Vegetables are available from May until late December at the farm or at the Truro Farmers Market.",
"Chedabucto Bay Brewing Company","Audrey Firth","80 Main Street","Guysborough",,"B0H 1N0","(902) 533-2128",,,"http://www.rarebirdpub.com/brewery/index.htm",,
"Chester Farmers' and Artisan",,"20 Smith Road","Chester","Nova Scotia",,,,,,"Friday 10 am - 2 pm, seasonal",
"Chester Farmers and Artisan Market",,"Smith Road","Chester",,,,,,"https://www.facebook.com/ChesterSeasideFarmerArtisanMarket","Fridays, 2 - 5 pm, June to Sept",
"Cheticamp Farmers Market","Sheila McEvoy","Boardwalk Quai Mathieu, Cheticamp Harbour","Cheticamp",,,,,"sheila.leblanc@usainteanne.ca","http://farmersmarketsnovascotia.ca/find-a-market/cheticamp/","The market offers a variety of products aimed at both tourists and residents of the region. Saturdays, 11 am - 2 pm June to October  Range of products are offered including fresh fruits and vegetables, rolls, cakes, various products and local crafts such as hooked rugs, paintings, photography and wood products. Entertainment will be held during the market and is mostly composed of traditional music such as Scottish and Acadian fiddle, and songs of the region.",
"Chez Dugue Meats Inc.","Sam","4011 Highway #14","Windsor Forks",,"B0N 2T0","1 (902) 798-2950",,,,,
"Chipman Farms Ltd.",,"2497 Route 201","Tupperville","Nova Scotia","B0S 1C0","1 (902) 665-2380",,,,"For all U-picks please call ahead for hours and season of operation. U-pick line: 902-665-2374  Strawberry u-pick open approximately from late-June to mid-July Blueberry u-pick open approximately from late-July to mid-September",
"Christensen Vegetable Farms Inc.","Ron and Irene Christensen","284 Alma Road","Alma",,"B0K 2A0","1 (902) 396-5407","1 (902) 396-5396","ichristensen@eastlink.ca",,"July to October Summer - 10 to 8 Fall - 10 to 6","Christensen\\'s"
"City Girl Cakes","Shauna Austin",,"Dartmouth","Nova Scotia","B2Y 4P3","(902) 456-4657",,"shauna@citygirlcakes.com","http://www.citygirlcakes.com","on demand",
"Clearwater Seafood","Tom Miller","757 Bedford Highway","Bedford","Nova Scotia","B4A 3Z7","(902) 443-0333","(902) 443-8365","tjmiller@clearwater.ca","http://shop.clearwater.ca","9AM-7PM",
"Climate Technical Gear Limited","Customer Service","131 Thornhill Drive","Dartmouth","Nova Scotia","B3B 1S2","(902) 468-6382","(902) 468-2367","customerservice@climategear.ca","http://www.climategear.ca","Monday to Friday 8:30 am to 4:30 pm","Sevaen"
"Cochrane Family Farm","Frank Cochrane","5324 Hwy 289","Upper Stewiacke","Nova Scotia","B0N 2P0","1 (902) 671-2378",,"cochranefamilyfarm@bellaliant.com","http://www.cochranefamilyfarm.com","Year round on farm store open Monday to Friday 9am -7pm and Saturday's from 9am-4pm. CSA drop off locations in Brookfield, Truro, Musquodoboit Harbour, and Dartmouth.",
"Cogmagun Poultry Processing Co. Ltd. / Mill Acre Farm","Beth,Cameron and Monica","760 Cogmagun Rd.","Centre Burlington",,"B0N 1E0","1 (902) 757-3840",,"millacrefarm@eastlink.ca","http://www.CogmagunPoultry.ca","Open Year round Monday - Friday, 8am - 5pm",
"Coldspring Farm",,"RR 4, 77 Delusion Rd.","Middleton",,"B0S 1P0","(902) 825-4401","(902) 825-4993","coldspring@ns.sympatico.ca",,"Available at Halifax Farmers Market, Planet Organic, and select locations in Halifax.",
"Coldstream Clear Distillery",,"87 Main St W","Stewiacke","Nova Scotia","B0N 2J0","1 (902) 956-3393",,"sales@coldstreamclear.com","http://www.coldstreamclear.com","Monday - Thursday 10-5:30 PM Friday & Saturday 10-6 PM Sunday 12-5 PM",
"Colp Berry Farms",,"86 Arlyn Colp Rd. Hwy 208","New Germany",,"B0R 1E0","(902) 685-3973","(902) 685-2466",,,,
"Comeau's Farm Market and Garden Centre",,"Hwy #1","Meteghan Centre",,"B0W 2L0","1 (902) 645-2342","1 (902) 645-3459","info@comeausfarmmarket.com","http://www.comeausfarmmarket.com",,
"Comeau's Sea Foods Ltd.","Kim d'Entremont","60 Saulnierville Rd Box 39","Saulnierville","Nova Scotia","B0W 2Z0","1 (902) 769-2101","1 (902) 769-3594","kim@comeausea.com","http://www.comeauseafoods.com","8 am - 5 pm",
"Compass Distillers","info@compassdistillers.ca","2533 Agricola Street","Halifax","Nova Scotia","B3K 4C4","(902) 446-0467",,"info@compassdistillers.ca","http://compassdistillers.ca","Tuesday - Wednesday 2:00pm - 9:00pm, Thursday - Saturday 2:00pm - 12:00am, Sunday 2:00pm - 9:00pm, Monday Closed",
"Corkum's Forest Products","Heather Pick","36 Soldier Rd","Falmouth",,"B0P 1L0","(902) 798-2512",,"thepicks@eastlink.ca",,,
"Cornect Family Farm","Margaret Cornect","365 Cornect Rd","Denver","Nova Scotia","B2H 5C8","(902) 833-2747",,"margaret@cornectfamilyfarm.com","http://www.cornectfamilyfarm.com","If planning to come to farm, please call first. May be in the bee yards!  Can be found at the Antigonish Farmers' Market every Saturday morning from mid May till the last Saturday before Christmas.  Honey, liquid or creamed, un-pasteurized Honey sweetened jams, jellies, pickles and Chutney Honey Butter - regular, cinnamon & orange Honeyliscious! Chocolate Spread (nut free & fat free)   Skin Repair Cream & Lip Balm   Beeswax & Beeswax candles Food Safe Wood Paste",
"Cosman and Whidden Honey Co.","Tom Cosman, Mary Ann Whidden","9925 Hwy 1, RR #2","Wolfville",,"B4P 2R2","(902) 542-9443",,"cwhoney@ns.sympatico.ca","http://www.novascotiahoney.com","Storefront is open seven days a week year round","Cosman and Whidden Pure Nova Scotia Honey"
"Country Delights Farm",,"2859 Malagash Road","Malagash","Nova Scotia","B0K 1E0","1 (902) 257-2981",,,,"Over 40 varieties of apples available from August to November (storage apples until March) from on-farm stand. Open 8 am to 8 pm every day.",
"Cox Bros. Poultry Farm Ltd.","Stacey Sherman","7520 Hwy 214, RR #1","Maitland",,"B0N 1T0","1 (902) 261-2823","1 (902) 261-2409","coxbros@ns.sympatico.ca",,,"EdenValley Farms, Maritime Pride, Cox Bros."
"Cristall Wine Merchants",,"1595 Bedford Hwy","Bedford","Nova Scotia","B4A 3Y4",,,,,,
"Crumbs Gluten Free Bakery","Laura Grant","Products available at the Halifax Farmers Market","Halifax","Nova Scotia","B3J 1R9","(902) 843-3983",,"crumbsglutenfree@gmail.com","http://www.crumbsglutenfree.com","Available at the Halifax Farmers' Market   All products are produced in a dedicated gluten free kitchen, with no chance of cross contamination. Ingredients are sourced locally and organically as much as possible.",
"D&A Foodservices Limited","Pat McCluskey or John Laviolette","552 Windmill Road","Dartmouth","Nova Scotia","B3B 1B3","(902) 468-4715","(902) 468-4715","dafoods@accesscable.net","http://www.dafoods.ca","5 am -12:30 pm Everyday except Saturdays.","Dave's Famous Chicken Wing Sauce"
"Daniels U-Pick","Phil Daniels","4473 Chester Road","Windsor","Nova Scotia","B0N 2T0","(902) 798-5432","(902) 798-0684",,,"U-Pick for apples, pears, and plums. Pre-picked apples, pears, plums, pumpkins, squash, plus jams and jellies.   For all U-picks please call ahead for hours and season of operation.  Also does Wagon Rides and Orchard Tours, have picnic tables for tours.",
"D'Aubin Family Meats","Ralph and Jennifer D'Aubin","607 Granville Street","Bridgetown","Nova Scotia","B0S1C0","1 (902) 665-2848",,"info@daubinfamilymeats.com","http://www.daubinfamilymeats.com","Sunday noon-5:00pm Monday- Closed Tuesday-Saturday 9:30am-6:00pm",
"Dave's Fruit and Vegetables","Mark Howe","322 Main Street","Dartmouth","Nova Scotia","B2X 1T5","1 (902) 434-7004","1 (902) 434-6032",,"http://davesfruitandvegetable.com/","Mon-Sat 9-8, Sun 9-6 Open Year Round  Cell: (902) 478-4122",
"Dee Dee's Ice Cream","Ditta Kasdan","110 Peggy's Point Road","Peggy's Cove",,"B3Z 3S2","1 (902) 221-6614",,"dittak@gmail.com","http://www.deedees.ca","11am - 6 pm",
"Dempsey Corner Orchards",,"2717 Hwy 221","Aylesford",,"B0P 1C0","1 (902) 847-1855","1 (902) 847-1855","dempseycornerorchards@ns.aliantzinc.ca",,"For U-pick please call ahead for hours, season of operation and availability.  Wide range of apple varieties for U-pick: Honeycrisp, MacIntosh, Gala, Gravensteins, Cortland, Red Delicious, Golden Delicious, Gloster, Mutsu, Crispin, Jonagold, Empire, Spartan, Northern Spy, Russet, Wagner, King, Cox Orange and Golden Russet.  U-Pick Pears: Flemish Beauty, Bosc, Anjou, Bartlett, Moon Glow and Clapp.  Open May to November",
"den Haan Greenhouses","Jodi den Haan","394 Fitch Road, RR #3","Lawrencetown","Nova Scotia","B0S 1M0","1 (902) 584-3667","1 (902) 584-3175","jodi@denhaan.ca","http://www.denhaan.ca","Not open to the general public.",
"Dickie's Meats","John Dickie","3532 Hwy 204","West Leicester","Nova Scotia","B4H 3Y1","(902) 667-0454","(902) 661-1272","j.dickie@ns.sympatico.ca",,,"Sunrise, Larsens, ADL, Galco Foods, Valley House, Saputo, Tough \\'N Tasty"
"Dickinson Bros.","David or Karen Dickinson","7799 Hwy, RR #3 Southampton","Southampton",,"B0M 1W0","(902) 546-2342","(902) 546-2787","karen.dickinson@ns.sympatico.ca",,,"Dickinson Bros."
"D.L. Hanna & Sons Ltd",,"5583 Hwy 2, RR#1","Parrsboro",,"B0M 1S0","(902) 254-2283","(902) 254-3316",,,"For all U-picks please call ahead for hours and season of operation.",
"Dobbit Bakehouse","Paul Nicholl","7896 Highway #7","Musquodoboit Harbour","Nova Scotia","B0J 2L0","(902) 889-2919",,"dobbit@seasidehighspeed.com",,"Mon-Fri: 7am - 5pm, Sat: 8am - 5pm, Sun: 9am - 5pm.",
"Domaine de Grand Pre","Cacilia Stutz","11611 Highway #1","Grand Pre",,"BOP 1M0","(902) 542-1743","(902) 542-0060","mail@grandprewines.ca","http://www.grandprewines.com","Monday - Saturday 10 - 6 Sunday 11 - 6  Guided tours offered daily, May to mid October",
"Down East Cleaning Solutions","Danielle Beaudry","44 Wright Avenue","Dartmouth","Nova Scotia","B3B 1G9","(902) 468-8180","(902) 468-8559","dbeaudry@bebbingtonindustries.com",,"8:30 am - 4:30 pm",
"Downey's Delicious","Carole and Dale Downey","401 Spiddle Hill Road","Tatamagouche",,"B0K 1V0","(902) 657-3084",,"Downey.delicious@ns.sympatico.ca",,,
"East Coast Apples Ltd.","Roy Beckett","360 Main Street, Suite 15","Wolfville",,"B4P 1C4","1 (902) 582-1373","1 (902) 582-3512",,,,
"East Coast Lobster Rope Products","Bob or Nancy","5072 Main Street","Oxford","Nova Scotia","B0M 1P0","(902) 397-0112",,"nancy.mills2009@gmail.com","http://www.eastcoastlobsterrope.com","Our online store is Open 24/7",
"Eastern Foodservice","Jeff Clarke, Jim Ross, J. F. Charette","4 Dominion Crescent","Lakeside",,"B3T 1M1","(902) 876-2356","(902) 876-0162",,"http://www.easternmeats.ca/index.htm",,"Eastern Brand"
"East Mountain Ranch","Linda Finnie","15 young Street","Truro","Nova Scotia","B2N 3W3","1 (902) 897-4712",,"highlandspirit8@aol.com","http://www.eastmountainranch.com","April-December at the market in Truro from 8:00am-1:00pm.",
"Ebbett's Meadow Brook Farm","Joe or Lorenda Ebbett","767 Upper River John Rd","Tatamagouche","Nova Scotia","B0K 1V0","1 (902) 657-3420","1 (902) 657-0371","meadowbrook@seasidehighspeed.com","http://www.ebbettsmeadowbrook.com","phone ahead to schedule poultry processing and meat cutting or sausage making.",
"Ebbett's Meadow Brook Farm Market","Joe or Lorenda Ebbett","8647 Highway 311","Tatamagouche","Nova Scotia","B0K 1V0","(902) 657-2122","(902) 657-0371","meadowbrook@seasidehighspeed.com","http://www.ebbettsmeadowbrook.com","Monday-Wednesday closed Thursday & Friday 10-5 Saturday 10-4 Sunday 12-4","Bragg, Camino, Celtic Sea Salt, Eden, Inari, Namaste, Simply Organic, Stash Tea"
"Elderkin's Farm Market & Cider Company","Peter Elderkin","10362 Hwy 1, RR #2 Wolfville","Wolfville",,"B0P 1X0","(902) 542-7198","(902) 542-3842","elderkinsapples@accesswave.ca",,"U-Pick for strawberries, apples, pears and pumpkins. Wide variety of apples including Honeycrisp.  For all U-picks please call ahead for hours and season of operation.  A full-line farm market featuring Elderkin's hard apple cider, a scratch bakery, plants and gifts. Farm tours available.  Open Year Round.",
"Ellora Natural & Organic Food",,"3772  Hwy 331","LaHave","Nova Scotia","B0R 1C0",,,,,,
"Elmridge Farm Ltd",,"765 Bains Road RR2","Centerville",,"B0P 1J0","(902) 582-7203",,"greg@elmridgefarm.com","http://www.elmridgefarm.com",,
"E O Randall Vegetable Farm","Linda and Barry Dunlop","1781 Hwy 1","Auburn","Nova Scotia","B0P 1R0","(902) 847-9822",,"linda.dunlop12@gmail.com",,"8am to 8pm daily",
"Evan's Family Farm Market",,"13482 Hwy 1","Wilmot","Nova Scotia","B0P 1W0","(902) 825-4416",,"terryfevans@msn.com","http://www.evansfamilyfarmmarket.com/","For all U-picks please call ahead for hours and season of operation.",
"Eyking Farms","John Eyking Jr.","300 Millville Highway","Millville",,"B1Y 2E2","1 (902) 674-2777",,"john.eyking@eykingfarms.ca","http://www.eykingfarms.ca",,
"Eyking Under Glass","Chris Eyking","289 Millville Hwy, Millville","Cape Breton",,"B1Y 2E1","1 (902) 674-2825","1 (902) 674-2858",,,,
"Falmouth Fruit & Vegetable Company Ltd.","Robert & Janice Hines, owners","2053 Hwy #1","Falmouth","Nova Scotia","B0P 1L0","(902) 798-0200","(902) 472-3334","ffv@eastlink.ca",,"Daily, 9am to 8pm",
